O iezseignourbarounDie usuouscroiss e	-⌫--|-------|-----|---⌫-|---|------⌫|
Sil sefa ità	|-|-|--⌫-|-|
s onpereconnoistrenauiser	-⌫-|---|---------||-----|
Etilrep aireàmoi quil	-|-|---⌫---|-|--|-|-|
n aitlechiefco pé	|--|-|----|--⌫--|
Quargi uodraiestre	---|||-----|----|
àgra nt ioiemenez	-|---⌫-|---|----|
Et si uoilorendroit	-|-|---|--------|
que uo sle mafiez.	--|--⌫|-||----||
Quan t lienfant	----⌫|-|-----|
l entendentes lesuoses fréez	|--------|-|--|--|--⌫-----|
Lorsremaudi entl eureq uill orentqueron é	---|-------⌫--||---|-⌫|-||----|------⌫-|
AUmatinpar so nlaubequant ildut esclairier	-|----|--|--⌫||---|----|-|--|---------|
LorsfulienfesGuismult bien apar il li é	---|-|-|----|---|---|---|----⌫--⌫--⌫-|
Etu auéoir latou ramontsor le	-|-⌫|-----|-|---⌫|----|--|-|
Entorluifaitu enir	----|--|---|-⌫---|
les ione s	--|----⌫|
cheuali ers.	-------⌫--||
Seignorc e distlienfesor uosapareilliezkar	------|-⌫|---|-|----|-|--|----------|--|
uo sagenuillez	--⌫|---------|
Et prionsDa medieuqui en	-|-----|--⌫-----|--|-|
Que ilnos l aist con querr ec egrantp alai splenier	--|-|--|-⌫---|---⌫-----⌫|-⌫|----|-⌫----⌫|------|
Qu encorp uissonsuéoir Karlemaineauuis fier.	-|----|-⌫------|-----|---------|-|--|---||
Etcil lirespondirent Biau sireuol antie r	-|--|-|-----------|---|---|---⌫-----⌫|
Leschiés contr eorian tsontàg enous	--|-----|-----⌫|-----⌫|---|-|-⌫----|
couchiez .	-------||
HéDiexcedistlienf esq ui en c ro isfu	--|---|-|---|-|---⌫-|-⌫-|-|-⌫--⌫-|-|
SimaïdestuSirecomtu	-||-----|-|---|--|-|
h onset Dieusie s	-⌫--|-|----|--⌫|
C a ncorpuissonsKarlon dedensLui serne	|-⌫---|-------|-----|-----|---⌫----|
desuer tu scomDiexotGuion	--|---⌫--⌫|--|---|-|----|
Ainç oisco nfust	-----⌫--||-⌫|---|
alé letrait	---|-|----|
à.I.archer	-||||-----|
Fendilat ou r de mar brepa rmi an .	----|-|-⌫--⌫|-|---⌫--|--⌫|-|-||
II. moitiés	-||-------|
Ains là sus ne	---|--|--|-|
remest Sarasinnepai e n	-----|------|-|---⌫-⌫|
Quilànefu sto cisde piere oud e	--|--|-|--⌫-|-⌫--|-|----|-|-⌫|
Etl enfesGuisfait panreetmesons e t	-||----|---|---|----|-|-----|-⌫|
a faitgiteretarg ent et ormier	|---|----|-|---⌫--|-|-----|
L es t rés lespauillons	-⌫-|-⌫---|--|--------|
e tles cendaus plo iés .	-⌫|--|------|---⌫---||
Bertran sl i	-------⌫|-⌫|
fil sNaimo nnesestpas	---⌫|-----⌫|-||--|--|
Est ouslifilsOdonBerartde Mondisdie r	---⌫--|-|---|---|-----|-|---------⌫|
Ainç oisfurent	-----⌫--|-----|
montez.Xum. cheualiers.	-----||--||---------||
Cha scu ns fu bienmo n te z sorso ncorantdest rier	---⌫---⌫-|-|---|--⌫-⌫--⌫|--|--⌫|-----|----⌫---|
Etsiontfaittrousser lesm urs et	-|-|--|---|-------|--|-⌫--|-|
le sso miers .	--⌫|--⌫----||
BertransEstoutBerart	-------|-----|-----|
an furen tmesa gier	-|-----⌫|----⌫---|
De Cars audes	-|----⌫---||
a nissent san splusdedelaier .	-⌫|-----|---⌫|---|-|------||
CilSi reslesc onduiequitot	--|--⌫--|--|-⌫-----|--|--|
puetiusticie r	---|--------⌫|
Car ai nçoisqueil	--|--⌫-----|--|-|
uo ien tl or	--⌫---⌫|-⌫-|
se ig nor droit u rier	--⌫--⌫--|-----⌫-⌫---|
Aurachas cun spoor delate steàt ranch ier .	---|----⌫---⌫|---|-|-|--⌫--|-|-⌫-----⌫--||
Ors enuunt li messages ki	-||-|---|-|-------|-|
D eus pust	-⌫--|---|
Emenentlauiande	|-----|-|-----|
à Karlonà uisf er.	-|-----|-|--|-⌫-||
Cil gardentlespassagesles destreis et	--|------|--|-------|--|-------|-|
OR sanuontlienfant qu ioir r entlorchemin	-||-|---|-|-----|--⌫|---⌫-⌫--|--|-----|
CilSi r esle sconduiequidel e ue	--|--⌫-⌫-|--⌫|------|--|-||-⌫-|
quilsistas noce sdesaintArcedeclin	-|-|---|-|----⌫|-|----|---------|
. I. matin se le uaK arles	|||----|-|--⌫-|-⌫----|
lifi lsPepin.	-|--⌫-|----||
Parire s estli	--|--||--|-|
roisdeuant sontrefassis	---|-----|--|---|----|
Et uitamflersesiamb es etsesp iés	-|--|-----|--|----⌫-|-|--|-⌫---|
ets on uis	-|-⌫-|--|
Se s pi ésareg ardez dontli	--⌫|--⌫--||---⌫----|---|-|
cuir sestnoircis.	----⌫|--|------||
Ogierena pelaetNaimo nle	----|-|-⌫---|-|-----⌫|-|
Et Richartle N ormant et Sanson	-|------|-|-⌫-----|-|-----|
EtIo froil euail l antetGautier deBe rri	-|--⌫---|-⌫|----⌫-⌫--|-|------|-|--⌫--|
EtYuon etYu oireet	-|---|-|--⌫---|-|
Hatonet Gondri.	----|-|-----||
B arondistlempereresentendez	-⌫---|---||--------|-------|
enu ersm i	---⌫--|-⌫|
Sim aïtDiexde gloire quionques	-||---|---|-|-----|--|-----|
Ne puisp anre L uiserne	-|---|-⌫---|-⌫------|
s i ai grant pie ce	-⌫|-|----|---⌫-|
Etnauo nspas uitailleà . II.iors	-||---⌫-|--|-------|-||-||---|
es toueracest grans siege guerpir	--⌫-----|---|----|----|------|
Certesie le ferai	-----|-|-|----|
coreci éset maris.	------⌫--|-|----||
p loréli r oisnesepot atenir .	-⌫----|-|-⌫--|-|-|--|-----||
Quantsi homele uoient	----|-|---|-|-----|
grant pitié	----|-----|
loranprist.	--|-|----||
EnonDieuampereresd i st	|--|---|--------|-⌫-⌫-|
Nepoe ́spas uosbonsfa ireneacomplir	-|---⌫-|--|--|---|--⌫--|-|-------|
Q uantlitermes uanra que Ihesui	-⌫---|-|-----|----|--|----||
Nospanromes laterre sansnes.I	--|-------|-|----|---|--|||
.contredit	|--------|
- N a imesdistle m pereres	|-⌫-⌫---|---||-⌫-⌫------|
puist benéir	----|------|
E tnousenuoi t	-⌫|---|-----⌫|
s eco ur sp arlesiensaint plaisir	-⌫---⌫--⌫|-⌫-|-|---|----|------|
Mais por noiant	---|--|-----|
sesmaientainsque soi tauespri	|-------|---|--|---⌫|------|
Aur ail deui ta ille	---⌫|-|-|--⌫--⌫---|
trestot à	------|-|
sonplaisir	--|------|
bienso nost grantpiecera e mp lir.	---|--⌫|--|----|----|--⌫-⌫--⌫--||
enfant cheuaucentbelem entparloisir	-----|---------|-----⌫--|--|-----|
Iusquàlost Karle mainefontles cheuaus	----|-||--|-----⌫----|---|--|------|
ORche uaucen tlimes roiGuio nle	-|---⌫------⌫|-|--|--|----⌫|-|
Etmainentla	-|------|-|
uitaille dontFranc ̧oisont	-------|---|-----⌫---|--|
B er trantlafont menerdeuantletimon i er	-⌫--⌫----|-|---|----|-----|-|-----⌫-⌫-|
Estoutl efil O donBerart deMondidier	-----|-⌫|--|-⌫--|-----|-|--------|
.I.iorsistKarle mainesdeuant sontref	|||--|---|-----⌫-----|-----|--|---|
Etploratendremente tesga r da	-|----|---------|-⌫|----⌫-⌫-|
Et Tierri àlabar be et Yu o n etRenier	-|-----|-|-|---⌫-|-|--⌫-⌫|-|-----|
Mais i l ni	---|-⌫|||
choisim ie Rollant	-----|-⌫-|------|
n e Oliu ier	-⌫|----⌫--|
Ainserentes	---|----|-|
montaignesgarder et espier.	---------|-----|-|-----||
Ba r on distlempe rereie	--⌫-⌫-|---||----⌫---|-|
Quei o ait ousenfléslesi ambes	--|-⌫|-|-⌫--|------|--|-⌫----|
etlespiés.	-|--|----||
An ui tsoniai.I .	--⌫--⌫|-----||||
s ongeien eluousqui er noier	-⌫---|-|-⌫-|---|---⌫-|----|
mes t oitauisfoi que doisaint	|--⌫-⌫--|---|--|--|--|----|
Que estïonsen FranceàPariselu ergier.	--|-------|-|-----|-|----|-|-⌫-----||
Unesib e l egent an issis ans targi er	--|-|-⌫-⌫-⌫|---|-|---|-⌫--|-----⌫-|
Comsecefuissentan grequi	--|-|-|-------|--⌫--|--|
do iuent flamboier .	--⌫----|--------||
Trestuitcommunementme c haoient	-------|----------|-|-⌫------|
pargrant a morles en releuiés	--|----|-⌫--|--|-|--------|
Etpuisreui la	-|---|---|-|
nue uers lecielrepairier	--|---|-|---|--------|
Ap rès si u i	--⌫---|-|-⌫|
p louoiret gre si llier	-⌫-----|-|---⌫--⌫----|
Et a ̀multgr an s tropiaus lablanche	-|-⌫|---|--⌫--⌫|-------|-|------|
noi fn egier.	---⌫|-⌫----||
Des oruo sen	---⌫-|--⌫|-|
o t plus àceler n elu ousquier	-⌫|---|-|----|-⌫-|-⌫--|----|
Sanféissiésgr antp artas baronscheualiers.	|-|---------|--⌫--|-⌫--|-|-----|---------||
Naimesdi st	-----|--⌫-|
l emp erere s eDieu p laist ce ertbiens.	|---⌫----|-⌫|---|-⌫----|-|--|----||
Apr è scemotrega rd eles pla ins de	---⌫--⌫|-|--|----⌫--⌫|--|---⌫--|-|
Montiblier	---------|
uo ituen irlesenfans qui	--⌫-|---⌫-|--|-----|--|
estoient char gie ́	-------|----⌫---⌫|
Lesgonfano nsdesoiec ontre	--|-------⌫-|-|---|-⌫----|
uentbaloier	---|------|
Etch oisilap ou driereque mainent	-|--⌫---|-|-⌫--⌫-----|--|------|
l isomier.	-⌫|-----||
Lo rsqui d al	--⌫-|---⌫-⌫||
emperer esqu eilfust eng ignie ́s	-------⌫-|--⌫|-|---|---⌫-----⌫-|
Car il quidaqu e fuiss e nt Saras insrenoiés.	--|-|----|--⌫|-----⌫-⌫-|-----⌫--|-------||
iluoi tseshomessesp rentà	-|---⌫|--|----|--|-⌫---|-|
ara isnier	---⌫-----|
Barondistlemperereordel	----|---||-------|-|-||
apareilli er	---------⌫-|
Quea nc uinosauron tlifortescu mestier.	--|-⌫--⌫-|--|-----⌫|-|---|---|------||
Ieuo ilà uneeschi e le	-|--⌫|--|--|-----⌫-⌫-|
q uiDiexdo insten c ombrie r.	-⌫-|---|--⌫---|--⌫-⌫------⌫||
CH ARLE Sa	--⌫----⌫||
les enfansue ́u setesgardez	--|-----|--⌫--⌫|-|-------|
uit l es e s cusa ̀ oretles	--|-⌫-|-⌫-⌫--|-⌫|-|-|--|
hiaumesgemés	------|-----|
Les gonfanons desoie	--|--------|-|---|
auuentdes uole pés	-|---|---⌫----⌫---|
Etchoisi lapoudrieredes	-|-----|-|--------|--|
gransdestriersferrés	----|--------|------|
Lors quida lempere reque	---|----||------⌫-|--|
ilfustmalmenés	-|---|--------|
Si quidaqu e	-|----|--⌫|
c e fuissent Saras ins	-⌫|-------|-----⌫--|
et E scler s.	-|-⌫-----⌫||
i lui tseshome s	-⌫|--⌫|--|----⌫|
ses prentà apeler	--|----|-|-----|
Bar ondis tl	---⌫-|---⌫||
emperereor	-------|-|
tostde latorner	---|-||------|
Ceste eschiele	----|-------|
premiereno sco n uienttres passe r.	-------|--⌫|--⌫-⌫----|----⌫-----⌫||
-Sirecedist Ogie r multgran t	|---|-|---|----⌫|---|----⌫|
tortenaués	---|-|----|
Certesiaisile spiésetle s .	-----||-|-|--⌫|----|-|--⌫||
II .poinsenflés	-||----|------|
Queienelesporroi e enmeses triersbouter	--|-|-|--|------⌫|-|--|--⌫-----|-----|
N a .XX X.	|||--⌫||
d emes cous	-⌫|--|---|
. I.Sarasintuer.	|||------|---||
-Baron dist lempererequant	|----|---||-------|----|
morir meuerre ́s	----|-|-----⌫-|
serauostre repr ou ie r	---|-----|----⌫--⌫--⌫|
Queiamèse n uos uies	--|-----|-⌫|--|---|
meil lorseignor n aurés .	----⌫--|------||-----||
EtdistàlautremotHé	-|---|-||----|--|--|
D i exuousm ehaés	-⌫-⌫-|---|-⌫|----|
Iasoloieiepanre	-|-----|-|----|
et chasti aus etci tés	-|------⌫--|-|--⌫---|
Nemepoo ittenir	-|-|---⌫-|----|
chastelnef ermet e ́s	------|-|-⌫-----⌫-⌫-|
Ne grant sal eperrinenemur tant fust leu és	-|----|---⌫|------|-|--|---|---|---⌫--|
Ne pui s maisnoie n tfairetousansuiasotés	-|---⌫|---|----⌫-⌫|----|---|-|--|------|
Quant u ousuientàplaisirDiexlamor t me d onés	----|-⌫--|----|-|------|---|-|---⌫|-|-⌫----|
Lorsplora le m pererenese	---|----||-⌫-⌫-----|-|-|
potcontrester.	--|---------||
Quantleuoientsihome	----|-|-----|-|---|
enapes é.	-||---⌫-||
Seignorce dist Ogiersort ostdel ad ouber	------|-|---|-----|-|-⌫--|-||--⌫----|
faitq ue ilpu et onne l ed oitblasmer	---|-⌫-|-|--⌫-|-|-|-⌫|-⌫--|------|
Nosiron sau	--|----⌫|-|
besoingq uelss oitdouretorner.	------|-⌫---|-⌫--|--|-------||
Ia Damedieu	-|-------|
neplaceq uilemont	-|----|-⌫-|-|---|
doitsauu er	---|----⌫-|
Quenpui sse ret ornerneto utl i	-|-|---⌫--|---⌫----|-|--⌫-|-⌫|
.XII. p er	|--||-⌫-|
A ins soionstuit asarmesocis	-⌫--|-----|---|-|----|---|
et de copés .	-|--⌫-----||
Lors on tlesesperons s orlesnuspiésfremés	---|--⌫|--|-------|-⌫-|--|--|----|------|
a uoit c hau ce nehousiau	-⌫---|-⌫---⌫-|-|------|
porrisles auoitliue ns et liorés)	-----|--|----|-|--⌫-|-|-|----||
Etsiu estenthaub ersl acen thiaumesgemez	-|-|-⌫-----|----⌫--|-⌫----⌫|------|----|
Et ceign entlese spées	-|-----⌫--|--|-⌫-----|
assene streco ste ́s	-|----⌫---|--⌫---⌫-|
Etm onten t es cheuaux coranset abrieués	-|-⌫-----⌫|-|------|-----|-|--------|
Nem eniuentdefain	-|-⌫------|-|---|
ne d e bl és	-|-⌫|--⌫--|
Forque her be de cha nsd	--|--|---⌫-|-|---⌫-||
ara in es et	---⌫--⌫-|-|
Et pendent à	-|------|-|
lor cous lesforsescusbouc lés	--|---|--|---|----|----⌫---|
Pristrentlesroi des lance sas	--------|--|---⌫--|-----⌫|-|
go nfano nsf ermés	--⌫-----⌫-|-⌫-----|
Bienfur ent .Xum. quant ilfuren t	---|---⌫--||--||----|-|-----⌫|
De.IIII.p ars	-||---||-⌫--|
sesont parti	-|---|----|
etdeseuré.	-|-------||
Etli ro islescomm ande	-|-|--⌫-|--|----⌫---|
aucors me ́ism esDé	-|---|--⌫----⌫-|--|
Qui ll espuisse conduireet	-|-⌫|-⌫-|-----|-------|-|
maint àsauueté.	----|-|-------||
Et li b aroncheuauche nt	-|-|-⌫---|---------⌫-|
a s gens corshonorés	-⌫|---|---|-------|
En .I . uallés .	-||||--|---||
I.tertre làlesontencon trés	||-----|--|--|--|-----⌫----|
Ce furen t	-|-----⌫|
lienfant qu ilorentengendrés.	-|-----|-|-|----|---------||
N i au oitfor s descousde maintenant	||--⌫--|---⌫|--|---|-|---------|
Quant uirentles	----|-----|--|
escuscroissusetpaint urés	----|-------|-|-----⌫----|
Lors setbien lidu s	---|--|---|-|--⌫|
Nai mesque de France	---⌫--|--|-|-----|
S i l oten soncuer	|-⌫|-|-|--|---|
lestuetd emander.	|-----|-⌫------||
Lorsbro che l echeualce le	---|---⌫--|-⌫|-----|--⌫-|
partest alé s .	---|--|----⌫||
T restoutlepremerainqu eilaenco ntre ́	-⌫------|-|--------|--⌫|-||----⌫----⌫|
Ce f usonfi lB ertrant quei l ot	-|-⌫|--|--⌫|-⌫------|--|-⌫|-|
e ngendré.	-⌫-------||
Onquesmais neleuitan	-----|---|-|-|--|-|
trestotsonaé.	------|--|--||
Na imesleuitsi la plus enamé	--⌫---|-|--|-|||---|-----|
Que autantna mahome en lacrestien té .	--|-----||-⌫-|---|-|-|--------⌫--||
Ille pris tparle	-|-|----⌫|--|-|
hiaum econtr emontla	-----⌫|-----⌫----|||
Genteme ntle	-------⌫-|-|
salue nelap asranp osné	----|-|||-⌫-|----⌫----|
CilDamed ieu de	--|-----⌫--|-|
main t ent rini t é	----⌫|-|-⌫----⌫-⌫-|
Saut e tgartces en fanspar lasoe	---|-⌫|---|--|--⌫---|--|-|--|
Enf antdo nt estesuos Dequel	---⌫--||-⌫-|----|--|-|---|
terreestes nés	----|----|---|
Estes uos marchéantquic est	----|--|---------|--|-⌫--|
auoir mene ́s	----|----⌫-|
Seuou sleuo lés uendre	-|---⌫|-|--⌫---|-----|
àden ier smon é e ́s	-|---⌫---⌫|---⌫--⌫-⌫-|
Karles liemper eres uos	-----|-|-----⌫---|--|
endonraasse ́s .	-|----|----⌫-||
argentsera	-----|---|
multbienpesés	---|---|-----|
Ianeserésma ispo ure san tres tousuosa é s	-|-|-----|--⌫-|--⌫---⌫|-|----⌫---|--|-⌫--⌫|
EtBertransre spondiquigentils estetber	-|-------|--⌫-----|--|------|--|-|--|
Cilsires uosgarisse	--|----|--|------|
qui enc rois	--|-|-⌫---|
Ne somesmarchéantnelau ons	-|----|---------|-||--⌫--|
AinssomesnédeFrance oùcroiss entli uin	---|----|--|-|-----|--|------⌫--|-|--|
Hom esome sau roiquitantfa itàloer	---⌫|----⌫|-|--|--|---|--⌫-|-|---|
Etuosdequelte rr e e s tesquimaresnetiré s	-|--|-|---|--⌫--⌫|-⌫-⌫--|--|-|----|-----⌫|
Commentaué s uos nonqu isimaraisonés	------|----⌫|--|--|--⌫|-||---------|
-P ar mo nc hiefdi s tDusN ai mesie diraiueri tés	|-⌫-|--⌫|-⌫---|--⌫-⌫|--|-⌫--⌫--|-|----|----⌫---|
Onm a peleNaimonetsuide s .XI I	-||-⌫---|-----|-|--|--⌫||--⌫|
Qua nt B ertra nsui tsonpere s alecuersi	---⌫-|-⌫-----⌫-|--⌫|--|---|||-|---|-|
Qued unegrantloéen e potsorpiésester	--||--|----|----|-⌫|--|--|----|----|
Porcequil ne l	--|-|-|-|-||
osabaisi e r ne aco le r	--|-----⌫-⌫|-|---⌫--⌫|
Que lienf es Guionli otbien deuéé	--|-|---⌫-|----|-|-|---|------|
Apoiquilnechaïdeson	|--|-|-|-|----|-|--|
destrier armé.	-------|----||
Apr èsarespondu	---⌫--||-------|
siah au t escrie ́	-||-⌫--⌫|------⌫|
Daha i saitquien	----⌫-⌫|--|--|-|
chautc e distBertr ansliber.	----|-⌫|---|-----⌫--|-|--||
doituostre fameetuostre filsamer	---|-----|---|-|-----|---|---|
Queonqu esne uéistesantrestotuostreaé	--|----⌫-|-|-------|-|------|-----|--|
Diexcedist dusNaimes	---|-|---|--|-----|
aigefilsen gendre ́	-|-|---|--⌫------⌫|
-Oi ̈lcedistBertrant.I	|--⌫-|-|---|-------|||
.multbiaubac heler.	|---|---|---⌫----||
N a encor pas.I.anque	||----|--||||-|--|
a d oube ́s	-⌫-⌫----⌫-|
Nestpas grai ndres demoibien	|--|--|----⌫----|-|--|---|
estdemonaé.	--|-|--|--||
Paric e l sai nt	--|--⌫-⌫|---⌫-|
apos tre con quierten Noir onpré	----⌫--||-|-----|-|----⌫-|---|
Ielioi ̈ sor sains etp leu ir et iurer	-|-|--⌫|--|----|-|-⌫---⌫-|-|----|
enchamp uéoi r et enc ontrer	-|----|-----⌫|-|---⌫-----|
Iluou sfera l ate steforsdu bu deseurer.	-|---⌫|---|-⌫|--⌫--|---|-|-|-------||
Lessiéaués	------|----|
sa mereen longe ue ueté.	-|---|-|----|--⌫----||
maït Diex d istNaimes	|---|---|-⌫--|-----|
orpuisl e sansderuer	-|---|-⌫|---|-----|
Quantie oidemafemeet	----|-|-|-|-|---|-|
de monfi lparler	-|--|--⌫|-----|
Queie o nquesneui	--|-|-⌫----|-|-|
entrest otmon a é	-|-----⌫-|--|-⌫-|
LIdus O edes d e	-|--|-⌫---|-⌫|
Leng resotmul t cuer	----⌫--|-|---⌫|---|
Il bro chelede str ier	-|---⌫--|-|--⌫---⌫--|
quilic ortderandon	--|-|-⌫--|-|-----|
Pristsonfilparla	----|--|--|--|-|
ge ntils hon	--⌫----|--|
Enuers luile	-----|--|-|
s achasila misà r aison.	-⌫---|-|||--|-|-⌫----||
Ami s ce dis tlidu scommenta ués	---⌫|-|---⌫|-|--⌫|------|-⌫---|
- Sirecedistlienfe sEstous mapele	|---|-|---|-|----⌫|-----||----|
Néssuidedou ceFrancehons	---|--|-|---⌫-|-----|---|
suileroiGuion	--|-|--|----|
Qui enuoieàKarlonu itaillee tgarison	--|-----|-|-----|-⌫------|-⌫|------|
Onquesne luitmessiresi lia fait tel	-----|--⌫|--|--|---|-|-||---|--|
EtdistHuedesd eLeng res Ieletien	-|---|-----|-⌫|----⌫--|-|-|---|
à br icon	-|--⌫---|
Quantilcorone apr ise	----|-|-----||--⌫--|
des eur le	---⌫--|-|
roi Ka rlon	--|--⌫---|
Ilenpendra encore àgra ntdestruccion.	-|-|-----|-----|-|---⌫-|----------||
QuantEstou s lentendi sifr on ci le guernon	----|-----⌫||------|-|--⌫--⌫-|-|------|
Etrooilleles ieussamb lantfaitde fel on	-|------|--|---|----⌫---|---|-|---⌫-|
Où que il	--|--|-|
uoit sonpe resilidi tsans res on	---|--|--⌫-|-|-|--⌫|---|---⌫-|
Parmonchiefda n su iellarsie uos	--|--|----|--⌫-⌫|-⌫------|-|--|
issimes ditesduriche	---|---⌫----|-|----|
Onquesmeillor de l ui	-----|------|-|-⌫-|
necha uçadesperon	-|---⌫---||------|
Par ic elsaintapostre	--|--⌫-|----|------|
c onqu iertenpréNoiron	|-|--⌫---|-|---|-----|
Parp oineu osarrache	--|-⌫-|-|-⌫-|------|
l a barbe et	-⌫|----|-|
le guer non	-|----⌫--|
ne uospo rfent	-|--|--⌫----|
entresc iqu el	-------⌫|-|-|
Etdis t OedesdeLengr esTuas multuerainon	-|---⌫|----|-|-----⌫-|-|-|---|----|--|
Tue sf elet es to u s	-|-⌫|-⌫-|-|--⌫--⌫-⌫|
Estoustapelel on	-----||----||-|
LI dusTie rrid	-|--|---⌫--||
Ardaneabrocie ́ledestrier	-----||------⌫|-|-------|
P ristsonfi lparlaresne Berartde	-⌫---|--|--⌫|--|-|----|-----|-|
Mondisd ier	-------⌫--|
En uerslui	--⌫---|--|
lesachasili prist	-|----|-|-|----|
a ̀h uchier	-⌫|-⌫-----|
Am iscommentasnonG ardenelmenoie r	--⌫-|------|-|--|-⌫---|--|-|----⌫|
-S ireiaino nBera r tl	|-⌫--||-|--⌫|----⌫-⌫||
enfeslirespon di e ́	----|-|------⌫--⌫-⌫|
H onssui auroiG uion	-⌫--|--|-|--|-⌫---|
qui tantfait àprois i er	--|---|---|-|-----⌫-⌫-|
QuienuoieàKarloncesmursetcess omi ers	--|-----|-|-----|--|---|-|--|-⌫---⌫--|
Ettuitsontde uit aillee ttrosséetch argié.	-|---|---|-|---⌫----|-⌫|------|-|--⌫-----||
Etuosde quel terreestesquimaresne	-|--|-|---|----|----|--|-|----|
-Iainon Tie rr idA rdane	||-|--|---⌫--⌫||-⌫----|
. I.c heuali ers.	|||-⌫------⌫--||
QuantBerartuitsonp eremult	----|-----|--|--|-⌫--|---|
anfu core ciés	-|-|----⌫----|
Porce qu ilnel	--|-|-|-|-||
ne baisie r	-|------⌫|
Q ue liroisde B orgoign eli	-⌫-|-|---|-|-⌫-------⌫|-|
fiancie r.	-------⌫||
E tdist àlautrem otD ahés ait quien	-⌫|---|-||----|-⌫-|-⌫----|--|--|-|
Filà p u taingl oton	--|-|-⌫-⌫---|--⌫---|
l echier epautonier	-⌫------⌫|--------|
demain eKa rles co mmeronci tro tier	------⌫|--⌫---|--⌫--|----|---⌫---|
Qu ip orte ́spar Espaigneuosfers	--⌫|-⌫----⌫-|--|-------|--|---|
com mes omier	---⌫-|-⌫----|
Ieu os pripar am orsquemaresnelaschiés.	-|-⌫-|--|--|--⌫--|--|-|----|--------||
QuantTi errisle n ta ndini o tque cor oucier	----|--⌫----||-⌫-⌫--⌫--|||-⌫|--|---⌫-----|
ENFANScedist	-----|-|---|
dusNaimes entende ́senuers mi	--|-----|-------⌫-|-----|-|
CommentanonuosroisG ardésni	------||--|--|---|-⌫-----|||
a itmenti .	-⌫-|----||
Certesonledeuroituergo nderethonir	-----|-|-|------|-----⌫---|-|----|
Qu ant il ueut Karlemaine sonroiaume	--⌫--|-|---|---------|--|------|
Sileueltde	-|-|---|-|
sater refors metre	-|---⌫-|---|----|
etdepartir.	-|-------||
il mesfai tB er tran s	-|------⌫|-⌫--⌫----⌫|
li respondi	-|-------|
Quea ins a ntote	--|-⌫--|-⌫|---|
Francen otnechastelnecit	-----||-|-|------|-|--|
Nenireçut deranteu ai ll ant.	-|||-----|-|----|-⌫--⌫--⌫--||
Etsi richepresentsi	-|-|----|------|-|
uousenuoieic i	---|-----|--⌫|
-Si mai ̈t D ie x di stN aimespor	|-||--⌫-|-⌫--⌫|--⌫-|-⌫----|--|
nu lma l ne le di.	--⌫|--⌫|-|-|-||
priscis auoirs	---|--|-----|
Gardés n iaitmant i .	------|||--|----⌫||
-Il fu prisàCarsaude Bertrans	|-|-|---|-|-------|-------|
liresp o ndi .	-|----⌫-⌫--||
- Quanti ue nistes	|----||--⌫-----|
uo sd istNaimesli	--⌫|-⌫--|-----|-|
-Ci siors estlici nqui mes por uoir	|--⌫|---|--|-|--⌫----⌫--|--|---|
Certesno s lasail l imes à.I	-----|--⌫||-----⌫-⌫---|-|||
. mardimatin	|----|----|
Et sifuleior prise	-|-|-|-|--|----|
ainsleure d e	---||---|-⌫|
La ̀ fupriscis au oirspar	--⌫|-|---|--|--⌫---|--|
foi leuousafi	--|-|---|--|
-Sim a ïtDiex	|-||-⌫--|---|
dis tNaimes on ques mais tel noï	---⌫|-----|--⌫---|---|--||--|
Karlesi sist. III .anslirois	-----||---||--||--|-|---|
de SaintDenis	-|----|----|
Si f ist bienen . I. ior perieres	-|-⌫--|---|-||||--|-------|
M ais ded en sn i	-⌫--|---⌫--⌫|||
mesfire ntua il lant . I.angeuin.	-------⌫-|--⌫--⌫---||||------||
-QueDa mediex lehetBertr a ns li	|--|--⌫-----|-|--|-----⌫-⌫-|-|
Car li rois toutenFra nceasdames	--|-|---|---|-|---⌫--|-|----|
lor maris.	--|----||
-ENFANScedist	|-----|-|---|
T ier rise ntand ez maraison	-⌫---⌫--|-⌫-----⌫-|-|-----|
Ieuos pri po r	-|--|--|--⌫|
Longisfistpardon	-----|---|-----|
Que nedite sleroinu leriens seb iennon	--|-|----⌫|-|--|--⌫-|----|-|-⌫--|--|
Tostuo sferoit	---|--⌫|-----|
tol irle schiéss ousles	---⌫-|--⌫|-----|-⌫--|--|
-Dahai sait distBerars	|-----⌫|--|---|-----|
qui le doute.I.bo ton	--|-|----||||--⌫--|
Tant ch e uauc en tensa mb leq ue autrefl erois ont	---|--⌫-⌫----⌫--⌫|----⌫--⌫-|-⌫-|-|---|-⌫|--|-⌫--|
E ttrou eren tl e roi deuantson p auillon	-⌫|----⌫----⌫|-⌫|--|-----|--|-⌫------|
Samainàsam aisselecommeuoirdolansho n	-|---|-|-|-⌫------|----|---|-----|--⌫|
Preme rainsdescend i Bertr an s	-----⌫----|-------⌫|-----⌫--⌫|
lifilsNaimon	-|---|-----|
Et a uo ques des cendentlich eual ier Guion .	-|-⌫--⌫---|---⌫------|-|--⌫----⌫--|----||
Bertranspar l aprem ier squifu filsdebaron	-------|---⌫-⌫|----⌫---⌫|--|-|---|-|----|
leroiparm ultfiereraison	-|--|--|-⌫--|----|-----|
CilDamediex de gloire	--|-------|-|-----|
qu iLongisfistpardon	--⌫|-----|---|-----|
Et suscit a demort	-|------⌫|-|---|
lecors sa int Las a ron	-|---|--⌫--|---⌫-⌫--|
