qui presdem oise uorratraire	--|---|-|-⌫-|-|----|-----|
i esdirai ia sansman so nge	|-|----|-|---|---⌫--⌫--|
ennui t soniai zzsi fiersonge	-----⌫|-----|-|-|---|----|
qu edepaor m	--⌫|-|---||
enesueilla	-|-------|
etenmoi et apar illai	-|-|--|-|----⌫----|
quecesonge fui esbaie	--|-|----|--|-----|
alai alabaie	---|||----|
tresdeuantlautel no stredame	---|-----||----|--⌫---|---|
illecuigesir tafame	----|-|----|-|---|
deuan t lautelaorison	-----⌫||----||-----|
m olt asorfaitgrantmes prison	-⌫--|-|-|---|----|---⌫-----|
sianbatras ancortago l e	-|-|-----|----|-|--⌫-⌫|
denuoiera teleore se u le	|------||---|--|--⌫-⌫-|
c i bell e formea	-⌫|----⌫|----||
delam aindi euqui	-|-|-⌫--|--⌫-|--|
seigneeauberee	------|------|
en suiespoantee	-|--|--------|
etsimeu ien tagrantmeruelle	-|-|-|-⌫---⌫||----|-------|
de tel anfantquiore	-|--|-----|--|--|
deceltendronqui yer	-|--|------|--|--|
quideust sa grantmati nee	--|----|-|----|----⌫--|
iesir p ar	----|-⌫-|
d esoz ces cortines	-⌫---|--|-------|
ettulanuoies	-|-||------|
a u matines	-⌫|------|
a us matine slasse pechable	-⌫-|------⌫|----|-------|
delamainde	-|-|---|-|
esperitable	----------|
soiestufaitelles aignez	----|-|---|---|-⌫-----|
etbeno iz et pros oigniez	-|----⌫-|-|----⌫------|
queion efameainsi enuoie	--|---⌫|---|----|-----|
uiellel edesuoie	-----|-⌫|------|
doumauuaispenserqueil ot	--|------|-----|--|-|-|
nefu t porl e sorcot	-|--⌫|--|-⌫|-----|
pensa s tm ais	-----⌫-⌫|-⌫--|
sebi en non	-|--⌫-|--|
dame po rdieu	---|--⌫|---|
etpors onnom	-|--|-⌫-|--|
faitl i prodoms dite s u osuoir	---|-⌫|------|----⌫|-⌫-|---|
lieues u ssi porrasueoir	----|-⌫-⌫|-|-----|----|
faitlauielle segetement	---|-|-----|-|-|-|---|
cilse lieu edeliure men t	--|-|----⌫|-------⌫---⌫|
quen atalantqueplus	--|||-----|--|---|
uindrentalesglise	-------|||------|
qu e dedemo reniotpoint	--⌫|-|----⌫-|||-|----|
cil tr ue uesafame	--|--⌫--⌫-|-|---|
en tel point	-|--|----|
com la uie ll eli o tretrait	--|-|---⌫--⌫|-|-⌫|------|
main tena ntcell epart cetrait	----⌫----⌫-|----⌫|---|-|----|
par lesbrazco ntr emontla dresa	--|--|---|--⌫---⌫----|-|----|
puis li di tque paryure sse	---|-|--⌫|--|--|----⌫--|
li afaitepa rmesprison	-||----|--⌫|--------|
s i se nreu indre nte nsamaison	-⌫||-⌫|---⌫-----⌫-|-⌫|-|-----|
etse coucherent	-|-|---------|
la boriois e couri son chief	-|-------⌫|----|--|----|
qui dedormirauoit tal a nt	--|-|-----|----|---⌫-⌫-|
moltli e stpo doumautalan t	---|-|-⌫-|-|--|--------⌫|
uerssonseignore u	---|--|------|-⌫|
quantil n esot lesorplus	----|-|-⌫|--|-|------|
et liborioistotdeu oircui de	-|-|------|--|-|-⌫--|---⌫-|
que safameai t	--|-|---|--⌫|
l a test e w ide	-⌫|----⌫|-⌫--|
deu illerde	-|-⌫----|-|
etq uepuisnefinast dor er	-|-⌫-|---|-|-----||--⌫-|
de uantlaute l et nuitetior	--⌫---||----⌫|-|---|-|--|
porle corr ouzdes ons eignor	--|-|----⌫--|-|-⌫-|-⌫-----|
assez lezsafameseiut	----|--|-|---|-|--|
l i bori ois tant queiors pa rut	-⌫|----⌫--|---|--|---|--⌫--|
queli s olausamon t se hauce	--|-|-⌫----|----⌫|-|----|
l ibor i ois	-⌫|---⌫-⌫--|
se uest et se chauce	-|---|-|-|-----|
etseignesonu isetsoncors	-|-----|--|-⌫-|-|--|---|
etda meaube reesaut e	-|--⌫-|----⌫--|----⌫|
quisesc ria	--||---⌫--|
ahauteuoiz	|----|---|
yysous l auraie	-|---|-⌫|----|
orsuiietrop male ureuse	-|--|-|---|----⌫-----|
yysous lasse do l er euse	-|---|----|--⌫-⌫--⌫---|
quantiaisicel sorcotperdu	----||-|-|--|-----|----|
leboriois la uenu	-|------|-|---|
quilidemande q u	--|-|------|-⌫|
e te llecortetsa et	-⌫|-⌫--|---|-|-|-|
quedecrie rpoi ntnese	--|-|----⌫|---⌫-|-|-|
yysousdolereuselasse	-|---|--------|----|
yysouslasseyy sous	-|---|----|-|---|
oruanr asaia ns	-|----⌫|----⌫-|
qu ipenracelpeti t comiai	--⌫|----|--|----⌫|--||-|
yysous la s se oulespenrai	-|---|--⌫-⌫-|-|--|-----|
carm edioresansm an tir	--|-⌫|-|--|---|-⌫--⌫--|
fait libo riois	---|-|--⌫----|
qu e dieus tait	--⌫|----||--|
porcoitumoi nes s i	--|--|-|---⌫--|-⌫|
grant d uel	----|-⌫--|
p armonchiefielsaur aimonu el	-⌫-|--|----|-||----⌫-|--|-⌫-|
ditla uielle	--|-|-----|
ie luos dira	-||--|---|
queianeuosenmantir a i	--|-|-|--|-|------⌫-⌫|
zzualletuintcia uant	-|-----|---|-|-⌫---|
porrecodreet porafaitier	--|------|-|--|-------|
mota portézzsiensorcot	|-|-⌫-----|-|---|-----|
quer onp uot azzesc ot	--|-⌫---⌫|-||-|---⌫-|
yy des coesouyy	-|--|---|-|-|
ie leprissi malai esbatre	-|-|---|-||---|------|
atout celsor cotrecousant	----|--|---⌫--|--------|
cunp omesentoiepesans	|-|-⌫|-|------|-----|
ensiatot emaco usture	---|----⌫|-|--⌫-----|
ysiparmesauenture	--|--|----------|
ic elio r de fors demon ostel	--⌫-|--⌫|--⌫---|-|--|----|
me scheumest de	--⌫----||--|-|
quei e nesaipas	--|-⌫|-|--|--|
que ferai ges	--|----|-||
qu ant i ene oi n ul autre	--⌫--|-⌫|-|-|-⌫-|----|
et seaucunsnel e	-|-|-----|-|-⌫|
m a nsaigne	|-⌫------|
etle n leueut	-|--⌫|-|---|
ausi noier	---|----|
ieferaiescom en ier	-|----|-----⌫--⌫--|
dieman cheat oz cesmostier s	------⌫--||-⌫-|--|-------⌫|
ilne meto rmiemestier s	-|-||-|-⌫|--|-------⌫|
derenoie rsilaideperte	-|------⌫|-|----|----|
bia ussireoroiez choseaper t e	---⌫-|---|-|---|----|----⌫-⌫|
se dieus me	-|----|-|
dointueoir noel	----|----|---|
g ilais saip end ent m on deel	||----⌫--|-⌫---⌫--|-⌫-|---|
et m aguille ancel sorcot	-||------|-|--|-----|
d onie sui la s seatel	-⌫-|-|--|--⌫-⌫-||--|
s ensiren dr eleme	|---|---⌫--⌫|-|-|
et liualleztoteior uient	-|-|-----|---|--|----|
saiansamoietsi	-----||--|-|-|
me demand e	-|------⌫|
yyso usapaiercommande	-|--⌫-||----|-------|
maisde randresuiesgare e	---|-|-----|--|------⌫|
ormeditesdameauberee	-|-|----|---|------|
futesuos piessaenmaison	----|--|-----|-|-----|
ouil sireporlachoiso n	---|---|--||-------⌫|
dauoirzzpeti tde rellief	|----|-|----⌫|-|------|
quemala uoitmafille	--|--|-⌫---|-|----|
cefuau antbienmenme mbre	-|-|--⌫--|---||-|--⌫---|
ladametrouai en sachambre	-|---|-----|-|-|------|
quiill ecpign oit	--|---⌫-|----⌫--|
sorsonli totdechiefen	--|--|--⌫|-|-|----|-|
e standueunec oste point e	-⌫------|--|-⌫---|-----⌫|
ainz de mesyaus ne	---|-|--|---|-|
uisicoint e	-|-|-----⌫|
ta ntymusaique sormon	--⌫-||----|--|--|--|
m endormitresdesorlacoute	|------|---|----|-|----|
insiicelui i o r m auint	---|-----|-⌫-⌫||----|
m i s ne sa ilas se quedeuint	-⌫-⌫|-|--⌫|---⌫-|--|-----|
maistant quei esache	---|---|--|-⌫|----|
queiolai ssaidesoz la coute	--|||---⌫---|----|-|----|
quant liborio is oitles	----|-|-----⌫-|--|--|
moltli f urentplaisanset belle s	---|-|-⌫----|-------|-|-----⌫|
etuers son ostelsetrai t	-|---|--|----|-|----⌫|
yyhuch eeusi	-|----⌫|-|-|
le sorcotquil	-|-----|-|-|
e tquant itr ueueat achié	-⌫|----||--⌫---|--⌫-----|
a totelesgu ille	|---||----⌫---|
li donattres totepuil le	-|----|----⌫---|----⌫-|
n eus t il pas ioi egrignor	|---⌫|-|--|---⌫|------|
ebienuraiement	|---|--------|
lauiel lederi en neme nt	-|----⌫-|-|--⌫-|-|--⌫-|
que i aitrou eesac outure	--||-|----⌫-|-|-⌫-----|
liezdesauensture	---|-||--------|
li bor io isetbelsendeport e	-|---⌫--⌫-|-|--||-|------⌫|
etdameauberee en	-|---|------|-|
lesorcotetsili liura	-|-----|-|-|-|----|
en sislauielle deliura	--⌫--|-|-----|------|
leborioisde sonmal	-|------|-|--|--|
que pu isne li luta pence r	--|--⌫-|-|-|--|-⌫-----⌫|
queilfudou sorcot del iures	--|-|-|--|-----|---⌫----|
lauiel leotces yyliures	-|----⌫-|-|--|-|-----|
b ien asonloier de ser u i	-⌫--||--|----|--⌫---⌫-⌫|
quanttuity ysont	----|---|-⌫|---|
an greserui	-|--|----|
parcestfableluosu elmostrer	--|---|-----|--|-⌫-|------|
mieusnepu e t	----|-|--⌫-⌫|
onfametrouer	-|---|-----|
quedesoncorsface mesfait	--|-|--|---|---|------|
s e parautre	-⌫|--|----|
fame nosf ait	---|--|-⌫--|
forsdesadro it euoi e	---|-|-|---⌫--⌫|---⌫|
la desuoie	-|------|
quiseroit neteet pure et	--|-----|---|-|---|-|
icinostreflabli aus	--|-----|------⌫--|
