unsbersfuiae nlan tifpopled eu	--|---|-|-|-⌫||--⌫--|----|-⌫-|
au ar ice pris tr entlui ersefal serentiustise	--⌫--⌫--|----⌫--⌫--|---⌫--||---⌫-----|------|
seassemblerentliantifhumedeisraeluindrent	-|-----------|-|----|---|-|-----|-------|
asam uele n	|---⌫--|-⌫|
ramatha silidi str ent sirehuemes degrantedet	------|-|-|--⌫---⌫--|---|---|-|-|----|---|
fi znet i enen t pas tesue ie sne ta lealtet	--⌫|-|-⌫-⌫----⌫|--|--|--⌫--⌫|-|-|------|
reinusdunek i	--|--|---|-⌫|
surnusaitpoested sicu meest	--|--|--|------|-|--⌫-|--|
che unr egned esplut	---⌫-|-⌫---|-⌫-----|
paroleasamuel qu	-----||-----|-|
ila ltre reidemanderent	-|-⌫---|--|----------|
quedeufis t a lcre a t ursesureisunsede	--|--|---⌫|-⌫|---⌫-⌫-⌫-|--|-------||-|
icest re spu nsbienaioiico queli pop les	----|--⌫---⌫-|---|-|-|--|--|-|---⌫--|
unt pasdeg e te ́ tei maism ei	--|--|---⌫-⌫--⌫|--|---|-⌫-|
queionere gne	--|-|-|--⌫--|
sur els s ulunc	--|--|-⌫----|
tute slesou res	----⌫|--|--⌫--|
que fait unt po isq ueio s mena i	--|---|--|--⌫-|-⌫-|-||----⌫|
horsde egypte	---|-|-----|
d esquacestiurmais ore lurrequesteorras	-⌫---||---|--|---|--|--|-------|----|
enepurquant	|---------|
di lur deuantquele	-|--|-----|----|
seignurieequeldreitau er adlireis	--------||---|----|--⌫--⌫-|-|---|
surelsquant	--|--|----|
ilreg nerad	-|---⌫----|
s ur els samuelissilefistreuint	-⌫-|--|-----|---|-|---|-----|
al poplees ilurdistrei mauez demandé d	-|----||-⌫|--|---|--||---|--------⌫|
deus lado i	---||-|-⌫|
s ilad gra ntéd mais sur u us	-⌫||-|---⌫----|---|--|-⌫-|
tele seig nurieaura	---|----⌫----|---|
qu e uosfiz	--⌫|--|--|
asunplaisirprendradesu ns enfradcheualers des	|--|------|------|--|-⌫-|-|---|--------|--|
curlieusdeuantsun char reidesuns	-------|-----|--|----⌫--|--|--|
en frad ses	-|---|--|
cunestables desaltres	----------|--|-----|
uilei ns purs ate rre	-----⌫-|--|-⌫|--⌫--|
arer e p urses blez	---||-⌫-|--|---|
seere pur ses	---||--|--|
armes forg ier esescurresagreiere uoz	----|----⌫--||--|-----|------||--|
f illesles	-⌫----|--|
unesfrunt le suignem enz	---|----|--⌫|------⌫--|
les altres lemangie rles	--|-----|-|------⌫|--|
altresierentalpestrin uozchamps	-----|-----|-|------|--|-----|
u oz bonesu ignesuoz	-⌫-|----|-⌫----|--|
oliuers t oldra	------|-⌫----|
serfsl esdurrauozblez lesfrui zdes	----|-⌫-|----|--|---|--|----⌫|--|
uignes il lesdismeraas sess erianzillesdurrad	-----|-|--|------|-|--|-⌫-----|-|--|-----|
serf s uozance lesle esl it e bac helerie	----⌫|--|----⌫--|-|---⌫--⌫|---⌫------|
prendraeas unseruise	------|||-⌫-|------|
l esmetradeuostrepecun iefrads un plaisi r s e rfs	-⌫-|----|-|-----|-----⌫-|---|-⌫-|------⌫|-⌫-⌫--|
s errez s il	-⌫----||-|
uu s estuueradsuffrirlorescrierez	--⌫|--------|------|----|------|
adeu me rci maisilne	|--|--⌫--|---|-|-|
uusd eigne rad oirpurcoqu e uusdem andez	--|-⌫-----⌫--|--|--|-|--⌫|--|---⌫----|
reie d eg eteze	--||-⌫--⌫---||
luiemeiis si parladsamuelma islipoples	--||--|--⌫-|-----|-----|--⌫-|-|-----|
ne l u olt e scult er	-||-⌫--|-⌫-----⌫-|
einzdistrenttui trei uolumaueir si	---|-------|---⌫|--|----|----|-|
c umeunttutes	-⌫--|--|----|
al tre sgenzeli nostre r einus iugeradeuant	--⌫---⌫|---||-|-----|-⌫-|--|-----|-----|
nus tuzir ade pu r	--|--|--⌫-||--⌫|
nus tuzsecumbater adsa muelc esparoles bi ene scult ad	--|--|-|--------⌫-|--⌫---|-⌫-|------|--⌫-|-⌫-----⌫-|
meis me les mustradki larequestelu r	----⌫-|--|------|-|-|-------|--⌫|
otreiad e samuel	------||-----|
a itantles cungeadpu is ch ascuns al	|----|--|------|--⌫-|--⌫-----|-|
suenturna d	---|-----⌫|
unshue m fuddellign ageben iam in	--|---⌫|--|--|----⌫--|---⌫---⌫-|
forz eu aillanzc is	---||-⌫------|-⌫-|
o utnu m efizfud	-⌫-|--⌫||--|--|
abiel lefiz se or	----|-|--|--⌫-|
belcor le fiz	-----|-|--|
fiz er t aunde l	--|--⌫||-|--⌫|
l igna gegeminiicist	-⌫----⌫-|-----|----|
cisoutunfiz ki	--|--|-|--|-|
outnumsa ulpruzfudea	--|--|--⌫-|---|--|||
esliture b on	-------|-⌫-|
kar entretuzcesdeisraeln	--|----|--|--|-|-----||
outun kip lus	--|-|-|-⌫--|
sur tutlepo ple plusfutalt del	--|--|-|--⌫--|---|--|--|-||
espal deenauant auint que	-----⌫-|-|----|----|--|
aci s lepere saulfurentadnes	|--⌫|-|---|---|-----|----|
adireze pu relsquerre	-----||--⌫|--|-----|
o dunseria ntenueiad	-⌫|-|-----⌫-|------|
sunfi zalquerrep arle muntde	--|--⌫|-|-----|-⌫-|-|---|-|
eparla t err e sa l isae par la terre salim	|--|-|-⌫---⌫|--⌫-⌫--||--|-|----|----|
umestia m elchisedec h	|---|-|-⌫----------⌫|
e par later r egeminipasserentenient truuerent	|--|-|---⌫-⌫|-----|--------||----|--------|
laterresuphuindre nt	-|----|---|------⌫-|
enulenuuele neno i rent	|---|-----|--|-⌫-⌫---|
asunseriantreturnumpar auentur emis	|--|------|-------|--|-------⌫|--|
adiales ad n es	-|-|--|--⌫-⌫-|
misanunchale ire pur nuses t	--||--------⌫-||--|--|--⌫|
cilrespun diuns huemdeu	--|------⌫-|--|---|--|
esten cestecitehuemest de	--|-|----|---|---|--|-|
grantn obilitesaciezque	----|-⌫------|-----|--|
qua nq ueildirradsenzfaillanceauend rad	---⌫--⌫-|-|-----|---|--------|-----⌫--|
purcoen alumiesque la parauentur eil	--|-|-|---|-----|-|--|-------⌫|-|
nu saueierasa ul	--⌫|------|--⌫-|
re spundidorese ital p rud ume enirrumico	--⌫------|--|--⌫-|-|-⌫---⌫--|-|----|--|
queert que	--|--|--|
por terumnusn	---⌫----|--||
auumne pain	---|-|---|
poissu m presenter respundi li altresio a i ici alques	------⌫|--------|-------|-|-----|-|-⌫|--|-----|
arge n tdecoli frumnostrep resentefrad nus	----⌫-⌫|-|-|-|---|-----|-⌫-----||---|--|
alcunadrec ement	----|-----⌫----|
respundi saul m ultasbi en	-------|---|-⌫--|-|--⌫-|
dit c ume il	--|-⌫--|-|
munte rent	-----⌫---|
lemuntufud	-|---||--|
la ci te meschines	-|--⌫-|--------|
truuerentki pu r ewe	--------|-|--⌫|--|
alerentenqu istr ent s eli	------|----⌫----⌫--|-⌫|-|
pr ophe tes ifust	--⌫----⌫--||---|
celes lurdistren tqueilifud	----|--|-------⌫|--|-||--|
e apreschadeuant e storuus	|----|--|-----|-⌫-|-|--|
hasteziuiuint en la	-----|--|---|-|-|
grant cunr eiadaturnéequant	----|----⌫-|-|------||----|
citeuendr ezignele pas le truu e rez deuantlem an g ier	---|-----⌫-|------⌫--|-|----⌫-⌫--|-----|-|-⌫--⌫-⌫--|
i esq u eilu iengeneman ge radkarilla uiande	-⌫---⌫-⌫|-|-⌫----|-|---⌫--⌫--|--|-|-|-----|
benistrad puis	--------|---|
hoste ssedigneradpur cotosti	-----⌫|-|-------|--|-|---||
ale ze pur	---⌫||--|
truu erez atantsen	----⌫---||---||-|
turner en t ambdu ieuindrent	------⌫--⌫|-----⌫||-------|
ee ncu ntrerentl e	|-⌫---⌫-------|-⌫|
s ainthume d euede uout leiur	-⌫---|---|-⌫-||--⌫|--|-|--|
d euant dit	-⌫----|--|
a samueldemainacesture te	|-----|-----||---|--|-|
enueierai un barun de	--------|-|----|-|
terredeben iam in esi l	----|-|---⌫---⌫-||-||
e n uingderasqueducsseit surmun	-⌫-⌫--------|--|---|---|--|--|
pop lede israele il lessalue rade guarat i rad	---⌫-|-|-----||-|--|-----⌫--||------⌫-⌫--|
encuntre les	-------|--|
philistienskarcunreid emun	----------|--|-----|-⌫|--|
po p leai pris purco	--⌫-⌫-|-|---|--|-|
estdeuantmei lur crizcum esam ueluitsaul	--|-----|--|--|---|---⌫|---⌫--|--|---|
lidist deu c ist	-|---|--|-⌫--|
estlibersdunt	--|-|---|---|
io parla ia tei	-|-----⌫||--|
ci st iertsi ressur mun pople	--⌫-|---|--⌫--|--|--|----|
saul ar e innadsamuel eenquis t u	---|--⌫-⌫----|-----||------⌫||
fust li ost elsal	---|-|---⌫--|-|
prophete samuelrespundiiosui	-------|-----|-------|-|--|
li prophetes	-|--------|
e uimeisod	|-----|-|
m e isur iurneras e lematin	-⌫-⌫|---⌫-------||-|----|
sit en irras	-||-|----|
queaselque r tem usterai edesadnes	--|-|-|---⌫|-|-⌫------||--|----|
queperd ufurent	--|----⌫|-----|
cer t einte fraicarrecu urésunt ueirementmaren	---⌫-⌫--|-|---|--|----⌫---|---|--------|--|-|
maremen ttue	-------⌫|--|
serraddes ore eatunli gnagel aseignuriede	-----|--|--|||--|--⌫----|-⌫|--------|-|
is raelsaulrespundidunne sui	--⌫---|---|-------|--|-|--|
fiz g emini dela	--|-⌫----|-|-|
menurlign ee	----|----⌫-|
de i srael elimienslignagesest	-|-⌫----||-|----|-------|--|
det uzce sdebe nia min	-|-⌫-|--⌫|-|--⌫---⌫--|
pur que i auezdit teleparol elore s	---⌫---⌫|---|--|---|-----⌫|----⌫|
menadsamuelsaul e su n cumpaignunen	----|-----|---||--⌫|---------|-|
la chambre	-|------|
al plushalt liuentre ces	-|---|---|--|----|--|
kif ure n t al cunui uiee nuiez eb ie n	-|-⌫---⌫-⌫|-|-----⌫--|-⌫----||-⌫--⌫|
i ou ttr entepa rnunbresamuel	|--⌫|--⌫---|--⌫|-----|-----|
c umand a que	-⌫-----⌫|--|
l umaseist	|-|-----|
de ua ntsaul le	--⌫--⌫-|---|-|
mes realqueiloutparpu ruea ncecumandéque	--|---|--|-|--|--|--⌫----⌫--|-------|--|
asaulfust e stué apres	|---|---|-⌫----|----|
lema nger desc endirenta ndui	-|--⌫---|----⌫-------|-⌫---|
au al enla c ite en	--⌫-|-|-|-⌫--|-|
u nsolier en trerentuil s eherbergerent	-⌫|-----|--⌫------||-|-⌫|-----------|
edepriuet etparlere nt lemati nalleuer	|-|------⌫-|-------⌫-|-|----⌫|-|----|
samuels aul apela	-----|-⌫--|----|
esilidistlieue lieuesiten ir ras	|-|-|---|----|----|-||-|--⌫--|
cume eissu z furent	---|-----⌫|-----|
delhostele uindrentalchief dela	-||-----||-------|-|----|-|-|
cite samue l	---|-----⌫|
areisna dsaul	-------⌫|---|
di alser ia ntqu i laltaua nt	-|-|---⌫--⌫-|-|-⌫|--|---⌫-|
etu m eimes	|-|-⌫----|
ar es te rr asela parole deu orras	--⌫--⌫--⌫--⌫-||-|-----|--|----|
atantsamu el un uaissel	|---|----⌫-|-|------|
aue lietraistaua n t su r	|--⌫--|-----|---⌫-⌫|--⌫|
saul e nuersasi	---|-⌫-----|-|
lidistdeustad	-|---|---||-|
enui nta princ e e	----⌫-||-----⌫||
sunheritage etu deliueras	--|-------||-|--------|
sun pople delur	--|----|-|--|
enemi s ea	-----⌫|||
enseig nesqu antdemeiparti ras	------⌫--|--⌫--|-|--|-----⌫--|
doushumes pres d el sepulcre	---|----|---|-⌫-|-------|
rachelenterredebe niamintru uerase par	-----|-|----|-|--⌫-----|---⌫----||--|
de dui tafosses	--⌫---⌫||-----|
s aillirlesuerr ass ited ir r unt	-⌫-----|--|----⌫-|-⌫|-|-⌫--⌫-⌫--|
que quisauezsunt	--|---|---|---|
iatruuezetis	-|-----||--|
per espur teisenestplaint	---⌫-|--|--||-|--|-----|
ecur iusad	|---⌫--|-|
esté quant d iloc en	----|----||---|-|
irr aseal chai d ne	---⌫-||-|----⌫-⌫-|
thab or u e ndrastreis	----⌫-|-⌫-⌫----|----|
i encunteraskienirrunt abete lliuns	|---------|-|-|-----||----⌫|-|--|
port eratreis	----⌫--|----|
buc elslialt respaine lit ierzuinerranmentte	---⌫--|-|---⌫--|---||-|-⌫---|--|--------|-|
salue re nte	-----⌫--⌫-||
do uspainstedurruntapr e s uendr asal	--⌫-|----|-|------|---⌫-⌫|-----⌫-|-|
mun tdamnedeu	---⌫|-------|
li philistienunt	-|---------|--|
l ur e st aciune	-⌫-|-⌫--⌫----||
quan t en terrasenla cit e	----⌫|--⌫-----|-|-|---⌫|
encunteraslespropheteskida m untuendr unta	---------|--|--------|-||-⌫-⌫--|-----⌫--||
p salterietympans	-⌫-------|------|
f restelse har pesi	-⌫------||---⌫-|-|
proph etizerunteli	-----⌫--------||-|
s einz esperizte durrad s agracee	-⌫---|------|-|-----|-⌫|----||
erranment proph e t izerase	--------|-----⌫-⌫-⌫-----||
ierssempr esamendeze	---|-----⌫-|------||
en unal tr e hume	-|-|--⌫--⌫|---|
muez qua ntco	---|---⌫-|-|
a uendratfaico queteplaistkardeuiert od	-⌫------|--|-|--|-|-----|--|--|---|-|
uadeuan t galgala	-|-----⌫|------|
eio tesiweraietu p urco iuendras	|-|-|------||-|-⌫-|-||------|
queoffrende faces adeu	--|-------|----||--|
eoblati unse sacrefisesse t	|------⌫--||---------|--⌫|
cumeraisuncunduneauo st re real sacrement iesqueiouienge	---|-----|------||--⌫--⌫-|---|--------|-----|-|-----|
atenderasemusteraiqu efa i re	--------||-------|--⌫|--⌫-⌫-|
cumes aul fudpartide	---|-⌫--|--|----|-|
sam ueldeu en b i enle	---⌫--|--|-|-⌫-⌫-|-|
muade tutissi auint	---||--|---|----|
aliurc umes amuel o utdit	-|--|-⌫--|-⌫----|-⌫-|--|
quan tuintal m u ntdamnedeudunt	----⌫|---|-|-⌫-⌫-|-------|---|
samuel out	-----|--|
cumpaign ied e sprophetesencuntra de	--------⌫-|-⌫-⌫|--------|--------⌫||
s eint esper it	-⌫---|-----⌫-|
e nt relsprophetizadcumecouir entcelskideuan t	-⌫--⌫|--|----------|---|-|---⌫--|---|-|-----⌫|
lourentcunudqueentreles	|-----|----|--|----|--|
proph etes pro ph e tizadliuns a	-----⌫---|---⌫--⌫-⌫----|-|--||
lalt resi e nparl a d	|---⌫-|-|-⌫|----⌫-⌫|
queesticoque estau enudasaul	--|--|--|--|--|--⌫---||---|
f izci scument c heles iertsaulentreles p r ophetesrespundi	-⌫-|--⌫|-----|-⌫----|---|---|----|--|-⌫-⌫------|-------|
l ialtresuei rses t	-⌫|-----|---⌫-|--⌫|
equelsdel stuzestauant de	|----||--⌫|--|--|----|-|
luiilpuetestre	--|-|---|----|
emaistreentre l espro phetes	|------|----|-⌫-|---⌫-----|
deco leuad	-|-|----|
cestres pi tcumunalspar laterre	---|---⌫--⌫|-------|--|-|----|
entrelesp ro pheteselumlepuetlabien	----|--|-⌫--⌫-----|||-|-|---|-|---|
ueitalcundebasparag esudeementue nir ahaltescee	---|----|-|--|-----⌫|--------|--⌫--||-------||
a tantces sadsaul deprophetizer	|---|---⌫--|---|-|----------|
e aladaunsununcle	|---||-|--|----|
herberge rsish oste senquistdesuneire	--------⌫|--|-⌫----⌫|------|-|--|---|
liout sam uel saul respundiquisai adnes que	-|--|---⌫--|---|-------|---|-|----|--|
perefur entadi rezio enparlai a sa mueledit	---|---⌫--|---⌫--|-|-|-----||--⌫---||--|
sunttruuémais	---|-----|---|
sam u e loutditdelre g ne nie nt ne	---⌫-⌫-⌫|--|--|--|--⌫-⌫-|---⌫-|-|
limust rat	-|----⌫--|
samuelfistasemb lertut lepople	-----|---|-----⌫--|--|-|----|
en maspha d e	-|------⌫||
ditnostresireski deuest deisrael iouus	--|-----|----|-|--|--|-|-----|-|--|
egypteegetaihorsd e la	-----||----|---|-⌫|-|
poes t easegyptiense	----⌫-⌫|-|--------||
poesteasr eiskimult uu strauaillerent e an guisserent	-----|-|-⌫--|-|---|--⌫|------------||--⌫---------|
encu ntre a uezdegetédeuuostre	----⌫---|-⌫--|------|--|-----|
seignur ki suluussa luad	------|-|--|--|--⌫---|
detuzuozmalse de	-|--|--|---||-|
tribulatiunsesi dites	-----------||-|----|
entre uus ne stpas issima is	----|--||-⌫-|--|---|--⌫-|
re inusdune	--⌫|--|---|
ki nusguart	-|--|----|
defende e par tut seitp u r	------||--|--|---|-⌫-⌫|
nusloresdistsamuelpa rtis sez	--|----|---|-----|--⌫----⌫--|
uusparuo zlignages eparles ma igneeseestez	--|--|--⌫|-------||--|--|--⌫-----||----|
seueralmentdeua ntnostre	----------|----⌫-|-----|
seign ureparsort	-----⌫-||--|---|
lemustradde	-|------|-|
quele ligne elireisserr a d	----|-----⌫|-|---|----⌫-⌫|
loreschaid	----|----|
lasorts ur lalignee	-|---|-⌫-|-|-----|
beni aminerefudfaiteent recelsdebeniamine	----⌫---||----|----|---⌫-|---|-|-------||
lame ign ee	-|--⌫---⌫-|
metr ie a l	----⌫||-⌫|
derain sursau l lefiz cis erranment	-----|--|---⌫|-|--|--|--------|
fudquisma isiln i fud	--|---|--⌫-|-|||--|
pas tru ue zpurcoenqu is trentde	--|---⌫--⌫|--|-|----⌫--⌫----|-|
nos treseign ur sil	---⌫--|-----⌫-||-|
uendr eit unu n ed eurespundita maisun	-----⌫--||--⌫||-⌫-|--------||-----|
est e sise	--||-|-|
tapistig nelepasialerente	-----|--⌫------||------||
d euantsamue l	-⌫----|-----⌫|
lemenere ntsaulestut e nmilepoplee su r els	-|------⌫-|---|----|-⌫--|-|----||--⌫|--|
tuzplushalt	--|---|---|
parut de lespaldeenamu ntdunc di stsamuel al	----|-||------|-|---⌫-|---|--⌫-|-----|-|
ueezqu elbarunnostre sir eadeslit	---|--⌫-|----|-----|---⌫|-|----|
en tre uust uznen	--⌫--|--|-⌫-|--|
adunsq uilre sem bl e	-|--|-⌫-||--⌫---⌫--⌫|
es criad l i	--⌫----|-⌫|
poplesseins	-----|----|
seitlireissalfsse it lireisesamuel	---|-|---|----|--⌫-|-|---||-----|
mustrad alpo ple qu elser uiseil dust faire alre i	------|-|--⌫--|--⌫-|---⌫---|-|---|----|-|--⌫|
eenliur elescrist	|-|----⌫||------|
e en tresorle	|-|-----|-|
m ist sic ungea d	-⌫--|-|-⌫-----⌫|
lepopleeil	-|----||-|
sen part isau lsenalad	|-|----⌫|---⌫||-|---|
maisun engabaa e une partiedel	-----|-|----||--|-----|-||
tuchédlesquerslesewi	------|--|----|-|---|
mais lifizbe li al di strent entre	---|-|--|--⌫--⌫-|--⌫-----|----|
seibapurrad	--|-|-----|
nuscistde noz e nemissalu erourentle	--|---|-|--|-⌫----|----⌫-|-----|-|
endespi tmaisnefist	-|-----⌫|---|-|---|
n aa s li r eis d amo ntostapresu int	-⌫--⌫|-|-⌫--||---⌫|---|----|-⌫--|
enlat erre de galaat	-|-|-⌫---|-|-----|
eguerriaduneci t ekifudapeleeiabese ces	|-------|--|--⌫-⌫|-|--|-----|----||--|
requistrentque ilsepoussenta luia tr iwer	----------|--|-|-|-------||--|-⌫--⌫---|
res pundin aasuolentiers a	---⌫----|-⌫--|---------||
uus mat riweraipar telcuuentque	--||--⌫------|--|--|-----|--|
deu u sloil	-|-⌫-⌫||--|
destre creuerai	-----|-------|
eserrez arepr uce a	|-----||----⌫--||
tu zcesdeisraelissilesoleitfaire a	--⌫|--|-|-----|---|-|-----|----||
sesauersariesquant	--|---------|----|
illes perneitquede meinsfusse ntcuuenables	-|--|------|--|-|----|-----⌫-|---------|
abataillequant	|-------|----|
escus err eitlo il senestrese creués erreitlid estres	---|-⌫---⌫--||-⌫-|--------||-----|-⌫-----|-|-⌫-----|
respundirentcesdeiabes dunen usrespi tsetiurs	-----------|--|-|----|---|-⌫-|-----⌫|--|---|
no strees tre atuzc esde	--⌫---|--⌫--||--|-⌫-|-|
israelsipou maueirrescu sse	-----|-|---⌫|----|-----⌫--|
nuslaten deru m s i	--||----⌫----⌫|-⌫|
nunnu snus rendrumli	--|--⌫|--|------|-|
uind rentengabaathuli rei ssaul man eit	----⌫---|-|------||-|---⌫|---|---⌫--|
enuncierent	|---------|
m alenuuelecumecooid li po ples forment	-⌫--|-----|---|-|--|-|--⌫---|------|
senplainste	|-|------||
plurad est euussaul kidesescultur esrepaira denquist	-----|---⌫---|---|-|-|--|------⌫-|-------⌫|------|
delp lurl acausa e l um	--|-⌫--|-⌫|----|||-|
li cuntad cumicoo ids au l	-|-----|--|--|-⌫-|-⌫--⌫|
formentsecurucad	------|-|------|
e li seinz esp erizcun seil	|-|----|---⌫---|---⌫---|
li dunadd etre nchad	-|----|-⌫----⌫----|
chaltp asdousbo esque	----|-⌫-|---|--⌫-|--|
truuadles p iecespartut e	-----|--|-⌫----|--|---⌫|
la terrede	-|----|-|
is raelenueiade silur mandadt utissifradl	--⌫---|------||-|--|-----|-⌫-|---|---||
des boe s celui kime ie	--|---⌫|----|-|--⌫||
samuel enlostnesiwerad p ur	-----|-||--|-|------|-⌫-|
ourentpou rtrestuit esiwirent tui t saulenseme nt cume	-----|---⌫|-------||-------|---⌫|---|------⌫-|---|
unshuemlioz	--|---|-|-|
fuda numbrezen	--|-⌫------|-|
bezeca truuere ntdes fiz	-----|-------⌫-|--|--|
israeltreis	-----|----|
cenzmilie ede ces	---|----||-|--|
deiuda trente milie	-|---|-----|----|
mander entduncaces d eiabes galaad	------⌫--|---||--|-⌫|----|-----|
quel emat ini	--|-⌫|---⌫-||
u endreient e	-⌫--------||
sucurs lu rfreientrepairerentlimessagea i a bes	-----|--⌫|------|----------|-|------||-⌫-⌫--|
lab on enuuel elurporterente	-|-⌫--⌫|-----⌫|--|--------||
cesdeia bes	--|-|--⌫--|
erranment a cels	--------||---|
deforsman de rentlematina	-----|---⌫--⌫---|-|----||
uu suendrum	--⌫|------|
ee nuostremerci	|-⌫|-----|----|
n usmetr umle n dem ain	-⌫-|----⌫-||-⌫-⌫---⌫--|
s au lpartilosten	-⌫--⌫|----||--|-|
treise cume	----||---|
lalbesescr euasurlerei naas uintsu deemen t	|---||----⌫--|--|-|--|---|---|--⌫------⌫|
e lereie sa	|-|--||-|
gent d escunfiste e ntele	---|-⌫--------||-⌫|---|
fuieles mistque nu lsodaltre	---|--|---|--|--⌫-|-|----|
ne remist aprescesteuictor ielipoplesparlad	-|-----|----|----|------⌫-|-|-----|-----|
asam uelsi	|---⌫--|-|
lidisto refaitesuenir ces ki	-|---|-⌫-|-----|----|--|-|
di strentsaul	--⌫-----|---|
neregnerad	-|-------|
pas sur nusque nus	--|--|--|--|--|
les ociuma corespundisaul	--|----||-|-------|---|
acesti u r deuinen ie rtnu ls	|---|-⌫-⌫|-|-|--|--⌫-|--⌫-|
o c iskar a icest iur	-⌫-⌫-|--||----|--|
faitsaluenisr ael dunc par la	---|---|-|---⌫--|---|---⌫-|
samuelalpoplesil urdist	-----|-|----|-|-⌫-|---|
alumen te n	---|--⌫|-⌫|
galga lae re nu uelumnoz afa iresen dr e itdel	-----⌫-||--⌫--⌫----|--|---⌫---|--⌫--⌫-⌫-|--|
regnelipoplestu iten uait	----|-|-----|--⌫-|-|---|
asasumunseesaul	|-|------||---|
sacrefisesif ir enta	---------||-⌫--⌫--||
deua ioiee alee sce	--||---|||---⌫--|
puis redistsamuel atu tle	---|-----|-----||--⌫|-|
b arnaged israel uos t re	-⌫-----||-----|---⌫-⌫-|
req ue st eai fai tetuta uoz	---⌫--⌫--⌫|-|---⌫-|--||--|
u olentez rei uus	-⌫------|--|--|
aifaited euant	-|---||-⌫----|
auez io sui multenuei llizeencha nize	---|-|--|---|-----⌫---||-----⌫--||
mesfi zsunt	--|--⌫|---|
oduus cun uerséd	-|--|---⌫------|
uusdemai uuenteiesquea cestiur	--|-|-|-⌫-----|-----||---|--|
p arlezdeuers meiicideua n tdeu	-⌫----|-----|--|--|----⌫-⌫|--|
re imustrez s eioai	--⌫|------|-⌫|-|-|
nuldeuusadneu	--|-|--|---||
sunboefsinuldeuus aimis	--|---|-|--|-|--|-|--|
en pla i te	-|---⌫-⌫||
depr ient siluier nul	----⌫---|-|----|--|
pres ts ui qu eie	----⌫|-⌫-|--⌫|-|
lamende respun di lipop les	|-----|------⌫-|-|---⌫--|
au ez q uites	--⌫-|-⌫----|
estese quites	----||-----|
seez deu m eest t estimonie sfist	---|--|-⌫|--|-⌫---------⌫|---|
samuelelireis me iert testimoniesa	-----||-|---|-|---|----------||
cest iurqueen	---|--|--|-|
mes our es	--|---⌫-|
auez si biennuntruuérespundilipoplesil	---|-|---|--|-----|-------|-|-----|-|
t es timonie senuer i tedis ts amu elnostresiresk ifurmad	-⌫--⌫-------⌫|-|---⌫-⌫-|---⌫|-⌫---⌫-|-----|----|-⌫|-----|
moysene aaroneuo z	-----||----||--⌫|
anc es tres menad de	---⌫--⌫---|----|-|
e gyptenusest	-⌫----|--|--|
presentpu rcoieste sque	------|--⌫|-||----⌫|--|
ioparolgeuersuu s de	-|------|---|--⌫|-|
tu tes les	--⌫--|--|
mercizquedeusuus	-----|--|---|--|
adfait eauoz perescum eiacob	-|---|||--|----|---⌫|----|
eneg ypteeuozances trescrierenta deumer ci	-|--⌫---||--|-----⌫---|-------||--|---⌫-|
aar onlurenueiad ede egypte l es	---⌫-|--|------||-|-----|-⌫-|
en g etadeen	--⌫-⌫---||-|
p lantadmai s ilu blierentdeueilles	-⌫-----|---⌫|-|-⌫-------|--||-|--|
liuradasma ins	-----|-|--⌫--|
sisarekicun es tablesert de la	-----|-|---⌫--⌫-----|--|-|-|
cheualerieasore as	---------|---||-|
philis tienseasmains	------⌫----||-|----|
l ereide moabkitu itse	-⌫|--|-|---|-|--⌫-|-|
cumbatire n t	---------⌫-⌫|
a elspuiscrier ent mercied istrent pecchiéauumkar	|--|---|-----⌫--|----||-⌫------|-------|---|--|
te guerpimeseabaal i me aa starothseruimesmais	-|--------|||----⌫-⌫|||-⌫------|-------|---|
a ie karilen estme stier	-⌫-|--|-|-|--|--⌫----|
epr estsu mes d et eiseruir e	|--⌫--|--⌫--|-⌫|-⌫-|-----||
deuuusenueiadge roboal	--|--|------|--⌫-----|
esanson lefort	|-----|-|---|
e b arace i e ptee sa muel	|-⌫---||-⌫-⌫--||--⌫---|
d e liuraduusdeuozenemis kimestrentent ur uus	-⌫-⌫-----|--|-|--|-----|-|-------|---⌫-|--|
quee n uostreter re estes aseursqua nt oretart	--|-⌫|-----|---⌫-|----|-----|---⌫-|--|---|
ueistesque	------|--|
naasli re isdes	---|-|--⌫-|--|
fizamonuu sg uer riout ameiue nistes	--|---|--⌫|-⌫---⌫----||--|--⌫-----|
em edesist esn iert p as	|-⌫|------⌫-||---|-⌫-|
es témaisreiu olum	--⌫--|---|--|-⌫---|
sur nus edegetas tes le	--|--||-------⌫--|-|
re i del ciel	--⌫|--|---|
quilnere gnast	-|-|-|--⌫----|
oreau ezuostre rei	--|--⌫-|-----|--|
que uus requeistese esl eistes side s ore	--|--|---------||---⌫-----|-|--⌫|--|
cr emeznost reseig nureseruez esauoizoeze	--⌫---|----⌫-|----⌫--||-----||-|---|--||
lespro phete s	--|---⌫-----⌫|
parkiil parol e	--|-|-|-----⌫|
necuruciezdunceu useuostrereiparfitemen t	-|-------|---||-⌫-||-----|--|----------⌫|
siwe rezsi	----⌫--|-|
nunlaf orcedeuierte ncun t r euus	--|-|-⌫---|--|---|-⌫----⌫-⌫-⌫|--|
des cunf ir eedestruiree uuseuoz maistres	---⌫----⌫--⌫||--------||--||--|-------|
maisoreest ez	---|--|---⌫-|
ecumfai te	|------⌫-|
