form Cilqu ifist	---|--|--⌫|---|
Nelanque rr o iecorrecierM es	-||-|---⌫--⌫-⌫-|--------|-⌫-|
uolan tiersseiesauoiePlussageet plus bel	-----⌫----|-|-|-----|---|---|-|---|--|
lefer oi e.	-|---⌫--⌫||
Parfoi doncnele hé iem ie	--|--|---|-|-|--|-|-⌫-|
Et sui ieporitant	-|--|-|--|----|
samieNenil	|---|----|
ne qu au nautre	-|-||-⌫|----|
pan siedonca luiS eplusdun	---⌫|-|---||--|-⌫|---||-|
altr e nemag r ee N esaitotean sui e sgaree	----⌫|-||--⌫-⌫-|-⌫|--|---|-|--|-⌫-----|
Car onqu es mesnepans saitant	--|----⌫-|--|-|----⌫--|---|
Anul ho me	|--|--⌫-|
elsiegl euiuantEtmonuuel tozior zle uerroie	-|-----⌫|-----|-|--|---|--|---⌫|-|------|
Iamesial zpa r ti rn	-|--|---⌫|--⌫-⌫--⌫||
anquerroi eTantmabelistqua nt ie le	-|-------⌫|---||------|---⌫-|-|-|
Estceamors Oï lcecroi.	--|-|----|---⌫|-|---||
souantnelremanbrasseSe plus	-----|--|----------|-|---|
O rsoitacreanté.	-⌫|---|--------||
Sianf erai	-|-|-⌫---|
mauo lantéuoir e	-|--⌫-----|----⌫|
mes qu ilne lidesplaise .	--|-|-|-|-|--------||
C esteuol a ntez est	-⌫---|---⌫-⌫---|--|
malueiseMesA morsma	-------|--|-⌫---|||
sianhaïe Quefole an s u ietesbahieNe	-|------|--|---|-|-⌫-⌫|-|------|-|
des fansser ien nem iuautSi mestue t	---⌫-----|-⌫--|-|||---|-||-----⌫|
sof rirsonassau t	---⌫--|--|-----⌫|
gesisage mantu e r sl ui gar dee long uemantEin zmes	-|-|----⌫---|-⌫-⌫-⌫|-⌫-|---⌫--|----⌫-----|---⌫|--|
por luineuos	--|--|-|--|
rien faireMesor	---|----|--|-|
li suitropdeboneire	-|--|---|--------|
grémand oi til	---||-|-⌫--⌫|-|
s a uo irQa nt	-⌫-⌫--⌫-|--⌫-|
par amorne pueta u oir Demoiser ui se ne	--|---|-|---|-⌫-⌫--|-|--|---⌫--⌫-|-|
bonte ́Pa rf or cea mon	-----⌫|--⌫|-⌫--⌫-||--|
orgueldontéSi mestuet	-----|-----|-||-----|
asonpleisirestre.	|--|------|----||
O ruuela mer orsu iamestreOrm	-⌫|---|-⌫--|-|--⌫||-----|-||
aprandraAmor s.	-------|----⌫||
Confeiteman tseruirle	-----------⌫|-----|-|
sui iemoutbien	--|-|---|---|
apriseMo utsuis age des onseruise	-----|--⌫-|--|-⌫--|-|-⌫-|------|
nemanporroit	-||-|------|
re prand re Iaplusnemancouientaprandre.	--⌫-----⌫-|-|---|-||-|------|-------||
Amors u o ldr oit	----|-⌫-⌫---⌫--|
leuuel Que	-|---|--|
sagef u sse	---|-⌫-⌫--|
etsanzorgue l Etdebonei re etacoi ntableuerstoz	-|---|-----⌫|-|-------⌫-|-|----⌫-----|---|--|
seul amiable .	---|------||
Amerailesge	-----|--|-|
tozporunBel	--|--|-|--|
sanblan tdoi f eireachascunMesAmorsnem an seigne	-------⌫|--|-⌫---||------|--|----|-||--⌫-----|
mieQ ua t ozsoieueraieamie	--|-⌫||-⌫-|---|-----|---|
Amorsnemaprantse biennon	----|-||-----|-|---|--|
Por nean tnaige	--|----⌫||-|-|
nonQueSoredamors	--|--|---------|
suic l amee.	--|-⌫-⌫---||
Amer doi s i doiestreameeSile	---|--|-⌫|--|----|---|-|-|
u uelpa rmo nnonprouer	-⌫--|--⌫|--⌫|--|-----|
Q u A morsdoi	-⌫|-⌫---|--|
an m onnontr ouer.	-|-⌫-|--|--⌫---||
Aucunech ose senefieCeq ue la premierepartieE nmon	-----|--⌫--|------|-|-⌫-|-|-------|-----|-⌫|--|
nonestdecolordor Etlim eillor sont	--|--|-|----||-|-|-|-⌫-----|---|
liplus sor .	-|---|--||
Porce tieng	--|-|----|
mon non ameillor Quan monn ona	--|--||------|-|-|--|-⌫-||
dela co lorAcui	-|-|--⌫--||--|
l im iaudreso r ssac orde	-⌫|-⌫------|-⌫-⌫||--⌫---|
EtlafinsAmors	-|-|---|----|
merecordeCa rquiparmon droitnon	-|------|--⌫|--|--|--|----|--|
m ap ele Toziorzamors me	|--⌫--|--|---|----|-|
renouele Etl	-------|-||
unemitiezl autr e d or eDe doreüreclere et	--|-----||----⌫|-⌫--⌫|-|-------|----|-|
soreEtautantditSor edamors	---|-|-----|--|---⌫------|
ComesororeedAmors	---|------||----|
Dore üred orn	----⌫---||-||
est sifi neComeceste	--|-|--⌫-|---|----|
anl umine.	---⌫----||
Mout mad on cAmorseno re e Qant il	---|||-⌫--⌫|----|---⌫--⌫|---|-|
deluimasororeeEt	-|--|||------|-|
iemetrai anlui macure Quede	-|-----|-|--|-|---|--|-|
lu i soiedoreüre Ne	--⌫|---|-------|-|
iamesne man c lamerai .	-|--|-||-|-⌫------||
Oraimet toz iorzamerai.	-|--|-|--|---|-----||
Cui uoir ci abele demande	--|---|-||---|------|
Amorsmecoman deCar	----|-|-----⌫-|--|
iaautresmam or na ura.	-|-----||--⌫-||-⌫--||
Cui chautq uantilnele	--|----|-⌫---|-|-|-|
sauraSeiemeïsm es nelidiQueferoie	----|-|-|------⌫-|-|-|-|--|-----|
senelipriQuid e la chosea	-|-|-|--|--|-⌫|-|----||
desirrierBienla doi t	--------|---|-|---⌫|
requerreetproier.	-------|-|-----||
ComantProierai le ie donques	-----|-------|-|-|------|
P or coiCe nauint onques	-⌫-|--|-||----|-----|
Quefametelfor fetfeïstQued	--|---|--|---⌫--|-----|--||
amorsh om ereq ueï stSeplusda utrenefu	----|-⌫--⌫|---⌫----⌫-|-|---||-⌫---|-|-|
Bienseroiefolep roueeSe	---|-----|---|-⌫----|-|
iedisoiede	-|-----|-|
ma boch eC h ose don ieüsse reproche.	-|----⌫|-⌫-⌫--|--||-----|-------||
Qantdemabo chel esauroitIecu it que	---|-|-|--⌫--|-⌫|------|-|--⌫-|--|
plusuilman auroit SimereprocheroitsouantQue	---|--||-|-----|-|-|-----------|-----|--|
ie le naiproie ́auant.	-||-⌫|-|-----⌫|----||
soitamorssiuilainne	---|----|-|-------|
Queiepri cestuipremerainnePl u s	--|-|--|-----|----------|--⌫-⌫|
andeuroitauoir.	-|------|----||
Dexcomant le	--|-----|-|
porra s auoir	----|-⌫----|
feraicert Anc or	----|---|---⌫-|
naigegairessoffert Porcoitantdemanter	|-|-|-----|------|--|--|---|-------|
med oiue I atandrai tantqu il	-|-⌫---||-------|---|-|-|
saparçoiueCaria nelifer ai	|---------|--|-|-|-|---⌫-|
Biens ansauraaparceuoir Sil onqu es	---||-|----|---------||-|----⌫-|
d amors santremist Ous	|----||--------|-||
i lpar parol ee naprist	-⌫|--|-----⌫|-⌫|-----|
ApristOraigedito iseuse.	-----|-|-|-|--|-⌫-----||
Amorsnestpas	----||--|--|
sigraci euseQ u e	-|-----⌫---|-⌫-⌫|
parp aroleansoitnussagesS	--|-⌫----|-|---|--|----||
auoec ni e stliboensusa ges	----|||-⌫-|-|----|---⌫--|
Par moimeïsmes lesa ibien Ca r	--|--|-------|-|--⌫|---|--⌫|
po isauoirrienParlosange	--⌫|-----|---|--|------|
ne par paro leSanaim out	-|--|----⌫-||-|-|-⌫--|
est éaescol e	---⌫-||-----⌫|
Etparmaintefoizlosangiee Mestoz	-|--|-----|---|--------|--|--|
ior zmansuiestrangiee Selm efetsi chie r	---⌫||-|--|---------|--|-⌫|--|-|----⌫|
conparer Cor	-------||-|
a nsaiplusquebuésda re r .	-⌫|--|---|--|----||-⌫--⌫||
M es dune chose medes poirQuecilnama	-⌫-||--|----|-|---⌫---|--|--||--|
onque ses poir Et siln	-----⌫|--⌫---|-||-||
ai mme nenaamé D onc aige	--⌫--|-|||---|-⌫--|-|-|
seméOusema ncenep uetreprandre Neant plusqu	----|-|----⌫--|-|-⌫--|--------|----|---|-|
el feroitan cendre.	-|-----|-|-----||
Ord elsofrirtantque ieuoieSeiel	-|-⌫-|-----|---|--|-|---|-|--|
porroiemet reanuoie Pa rs anbl ant et par	------|---⌫-|-|---|--⌫|-⌫----⌫--|-|--|
moz couerz.	--|-----||
qu il an serac erz De mamorse req uerre	-|-|-|---|-⌫--|-||---|-|---⌫----|
Orni adoncnule a utre	-||||---|---|-⌫---|
choseMesq uei elaim et	----|--|-⌫-|-⌫||--|-|
ai mm ei amerai lu i	--⌫--⌫||-----|--⌫|
ciletceleEtli unsuer s lautrese	--|-|---|-|-|--|---⌫||----|-|
celeLe i oron tmal	---|-|-⌫-|--⌫|--|
et lanuit pis.	-|-|---|--||
A teldolo ro ntc e mest	|--|----⌫|-⌫-|-⌫||--|
uisAn Bretaignelonc t an s	--|-|--------|---|-⌫--⌫|
estéTantque uintala	----|---|--|---||-|
findesté.	--||----||
Totdro it alentreed oito ure uint	--|---⌫-|||-----||----⌫--|---|
u nsmessa gesdeuer s DoureDeLondr eset	-⌫-|-----⌫--|-----⌫|----|-|-----⌫-|-|
deQu ant orbi reAuroiunesn o uelesdireQui mo u t	-|--⌫---⌫----⌫-|-|--|---|-⌫-⌫----|---|--|--⌫-⌫|
litrob l en tson corage.	-|----⌫-⌫--⌫|--|-----||
Cilliontcont éle	--|-|--|----⌫-|-|
messageQuetro ppueta n Breta ingne	------|--|---⌫|---|-⌫|-----⌫----|
esterCar c illiuold r a	----|--|-⌫-|-|----⌫-⌫|
contres ter Cuisa	-------⌫--|--|-|
terrea u oit comandeeEt sauoit iagrantost	----|-⌫-⌫--|-------|-||----|-|----|--|
mandee Desaterree tdeses	-----|-|-|----|-⌫|-|--|
estoit dedanz Londres misPorla cité	-----|-----|------|--|--|-|----|
contr etenir Aloreque	-----⌫-----|||--|--|
deuroituenir .	------|----||
Qantliroisoï lanouele Tre stoz	---|-|---|--|-|-----|---⌫---|
s esb aron senapele Iriezetplai nsde	-⌫-|-⌫----⌫|-|----|----|-|----⌫-|-|
maut alant .	----⌫----||
facent mialzson	-----|----|--|
t alantDeconfondr e letraïtorLors di tqueli	-⌫----|-|--------⌫|-|-------|---|--⌫|--|-|
blasmese st lor Deso n triboletdes a	------|-⌫-|--|-|--⌫|-----|-|-|-⌫|
guerreC arparau sbaillailsa	-----|-⌫-|--|--⌫|-----|-|-|
terreEt mistan la	----|-|---|-|-|
main aufelo n Qui p iresestdeGue nelon .	---|-|----⌫|--|-⌫---|--|-|---⌫----||
Nia un s eul quibienn otroit	|||-|-⌫--|--|---||-----|
Que liroisa reisonet droitCar	--|-|---||-----|-|----|--|
cel i conseillierent	-|-⌫|-------------|
m isan essil Etsache	-⌫-|-|----|-|----|
biende ue ri téQue anchastelne an	---|-|--⌫--⌫--|--|-|------|-|-|
po r ragarantir son corsQuaf orce	--⌫-⌫-|-------|--|---|-||-⌫---|
antraiefors.	-|----|---||
Ensi leroit uit	---|-|--|-⌫--|
ase üre ntEt	---⌫----⌫-|-|
af ïentformant et iurentQue	--⌫----|------|-|-----|--|
letraïtorli	-|-------|-|
randront Ou	-------|-|
iamesterrenetandr ont	-|--|----|-|-----⌫--|
roisp a rtoteBretaingneFet	---|-⌫-⌫|---|---------|--|
crier q ue nusnirem aingneQuipuis se armes porter	----|-⌫-|--|||---⌫-----|--|----⌫-|----|-----|
e nostQu eaprés lui	-⌫|--|--⌫|-----|--|
neueing ne	-|-----⌫-|
Tote Bretaigneest es meüe Onqueste x oz n efu	---|--------|--|--⌫----|-----|--⌫|-|-⌫|-|
ueüe Conli	----|--|-|
r ois A rtusassanbla	-⌫--|-⌫---|-------|
A les mouo ir	||--⌫----⌫-|
desnessanb la Quan lamer fust	--|--|----⌫-|-|-|-|--|---|
trestoz li mondes	------|-|-----|
Carniparo ient nes les	--|||----⌫---|--|--|
ondesSi l esorentles nes c ouertes.	----|-|-⌫-|----|--|--|-⌫------||
Cesteguerre seraa c ertes.	----|-----|---||-⌫----||
san blepor la noi se Que t ote Bretaigne san uoise	---⌫--|--|-|---⌫-|--|-⌫--|--------||-|----|
Iasontles nestotes passees	-|---|--|--|----|------|
genz quisontam assee sSe uo ntlo gentlez leriuage	---|--|---|--⌫-----⌫|-|--⌫-|--⌫---|--|-|-----|
Alixandreui ntan	--------|--⌫-|-|
corageQue ilail lele roiproie rQue	-----|--|-|---⌫-|-|--|-----⌫|--|
illefacecheualier Carse	-|-|---|--------|--|-|
iamesdoitlosaquerreIllaquerraanc este	-|--|---|--|------|-||------|-|-⌫---|
Ses conpaigno nsauoecluiprant S icon sauol an tezle	--|---------⌫-|----|--|----|-⌫|--|-|---⌫--⌫--|-|
feirecequa anpansé .	----|-|-||-------||
leroi ane stalé .	-|--|-|-⌫-|---||
Deuantson t ref	-----|--|-⌫--|
sest utlirois Qant iluituenir	|---⌫-|-|---|---|-|--|----|
l esGr ezois Ses a deuantlui	-⌫-|--⌫----|--||-----|--|
Sei gnorfetil nelme	---⌫---|--|-|--|-|
celezQuexbesoinzuos	----|---|------|--|
amena çaA lixandresport oz parlaSili	----|--|-⌫--------|--|-⌫-|----|-|-|
a ditson desirrier .	|--|--|--------||
uen uz fe tiluo s suiproi erSicon	---⌫-|--⌫|-|--⌫|--|----⌫-|-|--|
mo nseignorproierdo iPor	--⌫|------|-----|--⌫|--|
mes conpaignonsetp orm oiQueuosno sfa ç oi z	--|----------|-|-⌫-|-⌫-|--|--|--⌫|--⌫--⌫--⌫|
cheualie rs .	--------⌫-||
Li roisre s pont M o utuolantier s Queiare spiznan	-|---|--⌫-⌫---|-⌫-⌫-|---------⌫|--|-|--⌫---||-|
se ra pr is Puisq ue u os mana uezre quis	--⌫-|--⌫-|---|-⌫-|-⌫-||-|-⌫--|--⌫---|
Lorscomande aporterliroisA. x i ii.	---|------||-----|-|---||-⌫-⌫-⌫--|
c heualiersherno is.	-⌫--------|-----⌫-||
Fetestc equeli	--|--|-⌫|--|-|
ro iscoman deCh asc u nsle	--⌫-|-----⌫-|--⌫---⌫-⌫-|-|
s uen herno isd emandeLiroisbailleachascun le	-⌫--|-----⌫-|-⌫-----|-|---|-----||------|-|
arm esetc heualb uen.	---⌫-|-|-⌫----|-⌫--||
Chascunsale suenhernoispris.	-------||-|---|------|---||
Tuit l i .xii .	---|-⌫|----⌫|
furentde pris A rmeset robeset ch eual .	-----|-|---|-⌫---|-|----|-|--⌫---||
Mes autantualutparigalLihern ois	--|-----|----|--|---|-|----⌫--|
auco rsAlixandreQui le uolsistpris i er ou	-|--⌫-|--------|--|-|------|----⌫-⌫-|-|
uandreCon t uit liautre .xii.	-----|--|-⌫--|-|----|----|
Dr oitsor lamer sedesuestirent	--⌫--|--|-|--|-|-----------|
laue rentet baingnierentCariln euostrent ne daignierent Qu	----⌫---|-|-----------|--|-|-⌫|-------|-|----------|-|
a n lorchaufasteueanestuue Dela mer	-⌫|--|-------|--|-|-----|-|-|--|
firen tb a ingetc uue.	-----⌫|-⌫-⌫--|-|-⌫--||
Lare ïnelachose	-|--⌫---|-|----|
setQuiAlixandre	--|--|--------|
pa snehetEinzlaim me	--⌫|-|--|---||---⌫-|
m out etloe etprise.	-⌫--|-|--|-|----||
Feirel iuialt.i.	----|-⌫|----|--|
bel seruiseM out est plusg ranzqu el e	--|------|-⌫--|--|---|-⌫---|-|--⌫|
Trestozsesescrinscerche	------|--|------|-----|
etuuide Tantc	-|----|---||
unech emiseen atreite	--|--⌫----|-||-----|
D e soief u blan cheetbien feiteMoutdeliee	-⌫|---|-⌫|----⌫--|-|---|----|---|-----|
etm outsou til.	-|-⌫--|---⌫--||
Escostu resnauoitunfilNe	-|-----⌫--||----|-|--|-|
fustdoroud ar gentaumains.	---||-|-||--⌫---|-|----||
A uqueudreauoit misesles main sSoredamors deleusan	-⌫|------|----|----|--|----⌫|---------|-|---|-|
leu s Sauoit	---⌫||----|
an trecos upar leusLez l or de sonc hief	--⌫------⌫|--|---|--||-|-|--|-⌫---|
un cheuolEta s	-|-----|-|-⌫|
manc hesetaucol Porsauoiret por esprouer	----⌫--|-|-|--|--|-----|-|--|-------|
Seia porroi th ome trou erQuilun	-|-|------⌫|-⌫--|----⌫-|--||-|
delautredeu isast Ta ntcler em ant	-||----|---⌫----|--⌫-|----⌫--⌫--|
iauisastCar autant ou plu s con li ors	|------|--|-----|-|---⌫|--|-|--|
Estoitl i cheu o x clerset sors	-----|-⌫|----⌫-⌫|----|-|---|
Sor edamorsprantla chemiseSi	---⌫------|----|-|------|-|
Alixand re tramise .	-------⌫-|------||
EtDexcongrantioie	-|--|--|----|---|
ane üstAl i xa n dres sille	-|-⌫---|--⌫-⌫--⌫-⌫---||-|-|
seüst Qu e	-----|--⌫|
la rei ̈ne li anu oie Mout an	-|---⌫--|-|---⌫--|---|-|
re üstcele grantioieQuisoncheuol	--⌫---|---|----|---|--|--|-----|
i a uo itmisSel e seu ̈st queses amisLa	|-⌫--⌫-|--||--⌫|---⌫--|--|--|---|-|
deüs tauoirne p orter .	-----⌫|----|-|-⌫----||
Mo utsandeüstreconf o rter Carele	--⌫-||-|-----|------⌫-⌫---|--|--|
namastmiet antDes esc heu ox	|----|--|-⌫--|-|-⌫-|-⌫---⌫-|
le r emen a nt	-|-⌫----⌫-⌫-|
ComeceluiquAlixandre	---|----|-|--------|
Mesci lnecele nele s otC	--|--⌫|-|---|-|-|-⌫-||
estg ranzenuizqueilnel	--|-⌫---|----|--|-|--|
A upo rtouli	-⌫|--⌫-|-|-|
uasletseleuentuint	-----|-|-----|---|
limess ages	-|----⌫---|
lar ei ̈ne .	-|-⌫--⌫--||
Leuasl et tru eu ean	-|----⌫-|---⌫--⌫|-|
lamarine Salachemisepresante eCelu i cui	-|-----|||-|------|--------⌫|----⌫|--|
elem outa greeEtporce pluschi er e	--|-⌫--|-⌫---|-|--|-|---|---⌫--⌫|
latin t Qu ed e	-|---⌫|--⌫|-⌫|
reïne ui nt.	-----|--⌫-||
Me ssilse üstle s orepl usAncorlamast	--⌫||-|--⌫---|-|-⌫-----⌫-|----||----|
ilassezplus	-|----|---|
Caran eschange nan prei ̈stTot	--|-|-------||-|----⌫--|--|
le mondequilimeïst .	-|----|--|-|-----||
Alixandresplusne demoreQu iln e	---------|---|-|-----|-|-|-⌫|
iceleore .	----|--||
Qan tuestuzfuet atornez Autref le roi	---⌫|-----|-|-|------|-|---|-|--|
s anestalez	|-|--|---|
conpaign onan sanble.	--------⌫-|--⌫-----||
Lareïne si con moisanble Fu	-|-----|-|--|--|-----|-|
autre fuenue seoirPorcequ el e	-|---⌫|----|----|--|-|-|--⌫|
uoloitueoirLes	-----|----|--|
nouiax cheualie rsue nir.	-----|--------⌫-|--⌫--||
Porbiaxlespoïstanteni rMes	--|---|--|-----|-|----⌫|--|
detozliplusbiaxestoitAlixan dr es	-|--|-|---|---|-----|------⌫--⌫-|
Cheualiersontdesorm an	--------|---|--|-||-|
roiparlerai	--|-------|
desormesEt	--|-|--|-|
de lostqui a Londresuint .	-||--|--||------|---||
L iplusdesgenz	-⌫|---|--|---|
seti ntEtcontre lui	-|--⌫-|-|-----|--|
a n r a grant masse .	-⌫|-⌫|----|----||
LicuensAngrésses genz amas seQuanque	-|----|------|--|---|----⌫-|------|
potto r ner	--|--⌫-⌫--|
Porprometrene	--|-------|-|
por doner.	--|----||
Qant il otsagent asanbleeP arnuits	---|-|-|-|---|-------|-⌫-|---||
anfoïan en b leeCardep l usors	-|---|-|--⌫-⌫--|--|-|-⌫-⌫----|
estoithaïzSiredotoit	-----|----|-|-------|
estretraïz	----|-----|
Meseinçois queil s	--|-------|--|-||
anfoïstQ uanque ilpot	-|-----|-⌫-----|-|--|
aLond re spristDe uitaille d oret d	|----⌫--⌫|----|-|-------||-|-||
argentSidepartit ota sa gent	-----|-|------|-⌫-||-|---|
Auroiso ntle snouel es	-|--|--⌫-|--⌫|-----⌫-|
d i tes Qu e	-⌫-⌫--|--⌫|
foï zsan estlitraïtes Auoecluitot e	----⌫||-|--|-|-------|----|--|---⌫|
sa batai lle Et	-|-----⌫--|-|
quetantauoit deuitai lle Etdauoirpris	--|---|----|-|-----⌫--|-||----|---|
an lacité Quapouriet de s erité	-|-|----|-|-----|-|--⌫-⌫-----|
Sontliborio iset	---|-|-----⌫-|-|
roisat ant	---||-⌫--|
r esponduQueiareançonnanprand ra D el	-⌫------|--|-|-------||-|-----⌫-|-⌫-|
traïtorei nz le pandr aSe pre ndre nete nir	-------|--⌫-|-|-----⌫|-|---⌫---|-|--⌫--|
Maintenan ttotelozs	---------⌫|---||-||
esmuetT ant	-----|-⌫--|
qui luindrenta	-|-⌫|-------||
Guine so res.	-----⌫--⌫--||
Aceiorc omantqu il soit oresQuile	|-|--|-⌫----|-|-|---|---|--|-|
chas te luolsistdesfand reN e f ustmie legiers	----⌫--⌫|------|-------⌫-|-⌫|-⌫--|--|------|
aprandre Carl it raïtreslefermaDes qu e la	|------|--|-⌫|-⌫-------|-|----|--|--⌫|-|
traïsonsouc h a	-------|----⌫-⌫|
m ursetde fossez Et s auoit	-⌫--|-|-|-----|-||----|
les mursadossezD epexa guz etpar derriere	--|---|------|-⌫|--|-⌫--|-|--|-------|
Quilnec heïs sentparperri ere .	-|-|-|-⌫-----⌫---|--|-----⌫--||
Aufe rmer auoitmisgrantcous t.	-|--⌫---|----|--|----|----⌫||
Tot i uing et iu ing netetaous tMistau	--|-⌫---|-|--⌫---⌫--|-|----⌫|---|-|
feireleroilleï zEtfosse z	----|-|--------⌫|-|-----⌫|
etponttorneïzTranchieesetb arre set	-|---|-------|---------|-|-⌫----⌫|-|
licesEtportesdefer	----|-|-----|-|--|
coleïcesEt	--------|-|
grant tor de pierre qu arree.	----|--|-|-----|--⌫----||
Onquesniot portefermee	-----|||-|----|-----|
Nepo rpe o rne	-|--⌫|--⌫-⌫|-|
porassaut.	--|-----||
Li chastiaxsisten unpui	-|-------|---|-|-|--|
hautE tpardesoz licortTamise .	---|-⌫|--|----|-|---|-----||
ri uiereestl ozasiseNece	--⌫----|--||-|----|-|-|
iornelo rlutan tendre	--|-|--⌫|--|--⌫-----|
Sa logiernonetas t rez	||-----|--|-|-|-⌫--|
Loze stsorlaTamis e logiee	|-|-⌫-|--|-|-----⌫|-----|
Tot e Tamise lapreeest her bergieeDepauei l l on s	---⌫|-----|-|---|--|---⌫------|-|-----⌫-⌫-⌫--⌫|
ue rzetuer mauzEs	--⌫-|-|---⌫---|-|
colors sefiertlisolauzSireflanb oiela	-----|-|----|-|-----|-|-------⌫--|-|
ri u ierePlus d unegrantli uepleniere .	--⌫-⌫---|---||--|----|--⌫-|-------||
Cil del chastel par	--|--|------|--|
legraui erFurent uenu	-|-----⌫-|-----|---|
esbanoie rSeuleman t	--------⌫|--------⌫|
le slances espoinzLe sescuzdeuantlor pizioinz	--⌫|-----|-|----|--⌫|----|-----|--|--|----|
Ca rp lusd armesn	--⌫|-⌫--||----||
iaporteren t.	|---------⌫||
A cesdeforssanb la nt	|--|-----|----⌫--⌫-|
mostrerentQuegai resnelesre dot oient Qantdesarme ́ uenuesto ient	---------|--|---⌫--|-|--|--⌫---⌫----|---|-------⌫|---|----⌫---|
Alixandr esdel aut re part	--------⌫-|-||---⌫-|---|
Des cheual iers se	--|------⌫---|-|
pr istesga rtQui	--⌫--|----⌫-|--|
d euant aus u ont cenbelant.	-⌫----|--|-⌫--|--------||
D asanbler a aus	|-------||--|
a n apel eses conpaingnonsLunaprés la utre par	-⌫|----⌫|--|-----------||-|-----||-⌫---|--|
lornonsPremier s Cornixquilama	--|---|-------⌫|-----|-|-|--|
mout Apréslui	---|-----|--|
Acordel Es toutEt	-----||--⌫---|-|
puisNe bunal	---|--⌫----|
deMicenesEtAcoridomésdAthenesEt	-|------|-|----------||------|-|
Sal eniq ueEtCharquedondeuersAufrique Parmen idésdeFranchegel	---⌫----⌫-|-|---------|-|---|-------|------⌫----|-|---------|
Fo r t etPinabelNe ruisetNeriol is	--⌫-⌫|-|------|--⌫---|-|------⌫-|
Seignor fetiltalan z	------|--|-|-----⌫|
mest prisQue deles cu etdela	|--|---|--|-||--⌫-|-|-|-|
la nce Aill eacezfeir euneacoi n tance	--⌫--|----⌫||--|----⌫|--|----⌫-⌫----|
Quideuantmoi behorderuienent.	--|-----|--|-------|------||
B ienuoiquepor	-⌫--|--|--|--|
mauue ́s me	-----⌫-|-|
tienentEtponosprise ntcemest ui s	------|-|-|--|-----⌫-|-||--|--⌫|
Qantbehorder deuantnozu i s	---|-------|-----|--|-⌫-⌫|
Sont ci uenutuit desa rmé.	---|-|---|---|----⌫---||
De nou el somesadobéAncornauom es	-|---⌫-|----|-----|----||----⌫-|
fetest r ainneA	--|---⌫-⌫----||
cheualierneaquintainne.	--------|-||---------||
Tr o p a u o nsnozlancespremieres Longuemant	--⌫-⌫|-⌫-⌫-⌫-|--|-----|--------|---------|
gardee santier es.	------⌫|------⌫-||
Nostreescuporcoi fu ren tfetAncorne	-----|---|--|--|--⌫---⌫|--|----|-|
so nttroé nefret.	--⌫-|----|-|---||
Cest unsauoirs quiri en ne ualt S	|--|--|-----|--|--⌫-|-|---||
aestor nonetaass a lt.	|----|--|-||---⌫-⌫-||
Pa ssons leguésesassaillons.	--⌫----|-|---|--|---------||
Cil dïe nt Neuosan f aillons.	--|----⌫-|-|--|-|-⌫------||
Cedit chascu nsSeDex	-|--|------⌫-|-|--|
m e sautNestuos trea mis qui ciuos	-⌫|---||--|---⌫--|-⌫--|--|-|--|
Mai nte nantlor espees cein gnentLorcheuaxceinglen tetes trein gnent	---⌫---⌫---|--|-----|----⌫----|--|-----|--------⌫|-|--⌫-----⌫----|
Mon tentetpranentlor escuz .	---⌫---|-|------|--|----||
Qantlesoren t asco spanduz	---|--|----⌫|-|--⌫|-----|
Les esc uze t les	--|---⌫-|-⌫|--|
lancesp ri sesDe color spointes	-----|-⌫--⌫--|-|-----⌫|------|
p ardeuis esE l gué a	-⌫-|-----⌫-|-⌫|---||
unfr oi s tuit	-|--⌫--⌫|---|
sesleissentEt cildela	|---------|-|--|-|-|
le slances	--⌫|-----|
beis sentSesuontisne lemant ferir.	----⌫---|--|---|----⌫-----|----||
l orsore ntbi enmerirQuin esespar gnentnerefusent	-⌫-|----⌫-|--⌫-|----|--|-⌫-|-----⌫----|-|-------|
Neporausplain	-|--|--|----|
p iénereu ̈sent	-⌫--|-|---⌫----|
Einz fiertchascunssib ienlesuen	---|----|-------|-|-⌫--|-|---|
ac heualiersi buenN	|-⌫-------|-|---||
estuisseuu idierlesarçons.	-------|--⌫----|--|------||
N est indrentmie	-⌫-|-⌫------|--|
por garçonsPormauué sn eporesperdu z.	--|-------|--|------⌫|-⌫|--|-------⌫||
No nt paslorpremiers cosperduzQue.x iii.	|-⌫-|--|--|-------|--|-----|--|--⌫---|
enontde scheu alez .	-|--|--⌫-----⌫---||
o st en estl ic ri zl euez D el o rcos	-⌫-|-|--|-⌫|-⌫--⌫|-⌫---|-⌫|-⌫-⌫|--|
delor chapleïz.	-|--|--------||
fus tboenslifereïz Secillesos assent	---⌫|----|-|------|-|--|--|--⌫-----|
Par lostcore nt lesa rmesprandre	--||--|----⌫-|--|-⌫---|------|
Sise fier ent anl	-|-|----⌫--|-||
ost abruitChascuns	--||----|-------|
lasan fuitQui	-||-|---|--|
lorre menanceniuoient.	--|--⌫------|||-----||
E t liGreuapréslesco nuoie ntFera n tde	-⌫|-|---|-----|--|--⌫-----⌫-|----⌫-⌫|-|
Assezi ottestescolpe es	----||-|-----|-----⌫-|
MesAlixa ndreenotlepris	--|-----⌫---|-|-|-|---|
Car parson corsl ieze t pris	--|--|--|---|-⌫--|-⌫|---|
Anma inn e.iiii.	-|--⌫---⌫|-----|
cheualiersEtli mortgi sent	---------|-|-|---|--⌫---|
