S ii ertilsi	-⌫|-⌫--|-|-|
Deut auntestsa b e auté	--|-⌫---|--|-|-⌫-⌫----|
partut detuzlo e ́é	--|--|-|--|--⌫-⌫--|
Eme intebonep ar ole	|--⌫---|---|-⌫--⌫--|
fud l orsde	--|-⌫--|-|
l iparléé.	-⌫|--------|
Pimentp orte nt	-----|-⌫----⌫-|
eu insenue sseledoréé	|-⌫--|-|--⌫----|------|
Ile s icumpai gnun	-||-⌫|------⌫---|
parla sale pa uéé.	--|-|---|--⌫-----|
Liseruises	-|-------|
t re sq uenoneests unéé .	-⌫--⌫--⌫-|---|--|-⌫------⌫|
MutennuiaRi gmelquilad	--|-----|--⌫---|-|-|-|
dure ́itant.	----⌫|-----|
He rsel otapela e	--⌫----⌫-|----||
ditensuzpirant	--|-|--------|
Belëalez lae nzedites aHerlant	----|---|---⌫-||----||------|
Quil uie ngea mei parle r	-|-|---⌫--||--|-----⌫|
sicumes tcouenant.	-|--|--⌫|--------|
I l sietbien	-⌫|---|---|
queço ee st	--|---⌫|-⌫-|
autre r ien	----|-⌫--|
Forsc ̧oequil me	---|-⌫--|-|-|-|
pramister seir al	------|-|---|-|
de pa rtaunt.	--⌫--⌫------|
Di te sliborle uits il en	--⌫--⌫|-|--|-|--||-|-|
t alau nt.	-⌫----⌫--|
Ne l i f audra or quitneargentnebesau nt. [f.15 a]	-|-⌫|-⌫----|-|---|-|-----|-|-----⌫---⌫-----⌫-|
Asez aikedoner lamerci Deu	---|-|-|----|-|----|--|
Si·n auron tg uerredon apreslui si e nfant.	---|-----⌫|-⌫-------|----|--|-|-⌫-----|
Dame ditHer selottu ta l uostre coman t	---|--|---⌫----|--⌫|-⌫|-----|-----⌫|
Orsenu etelpalais lap ucelë errant	-||-|-⌫-|-|-----|-|-⌫-----|-----|
T rou adle seneschal asun m angers eaunt	-⌫---⌫-|-|--------||--|-⌫----|-⌫----|
Idu[n]ciertilasis	------|---|-|---|
e lia utre s erua nt	|-|-⌫---|-⌫----⌫-|
Pusquil or entseruirei	--|-|-|--⌫--|----|--|
Hunlaf le puissant.	-----|-|--------|
E nl oreillelidittutsuëfcunseillaunt	-⌫||------|-|--|--|----|-----------|
Çoe uusma u ndeRi g mel	---|--|--⌫-⌫--|--⌫-⌫--|
madamela uaillant	-|---|-|-------|
Ke uusuiengeza lui cumfustesp rametant	-|--|------||--|--|-----|-⌫-------|
Erseir aldepart irqu ante nalas tesr iaunt .	-|---|-|------⌫-|--⌫--|-⌫|----⌫--|-⌫-----⌫|
Ele creistrauozd u nspar	--|-------|--|-⌫-⌫-|--|
lemienesci ̈ ant	-|---|----⌫-⌫--|
Si ken se r rezdem eu ztuzdi ssunbien	-||-|--⌫-⌫--|-|-⌫--⌫|--|--⌫|--|---|
uoi llan t.	---⌫----⌫-|
Bele çoedistHerlandio euusseraisiwan t	---|---|---|------|--⌫|--|----|-----⌫|
He rselotsen r euait sunmessageadsummé.	--⌫-----||-|-⌫----|--|------|-|------|
A sa d ame r euintd itliad	|-|-⌫--|-⌫----|-⌫-|-|-|
Ke lisenes chaluientcumilfuddeuisé	-|-|-----⌫---|----|--|-|--|------|
Al departirl e seir	-|-------|-⌫|---|
– quan tilp rist	|----⌫|-|-⌫---|
suncungi é	--|-----⌫-|
KeHornlifizAalo flise r oit	-|---|-|--|----⌫|-|--⌫-⌫--|
eligen tilzl i	|-|---⌫---|-⌫|
corteislalosé.	------||------|
DuncsacezqueRig melde ioieadsuspiré.	---|----|--|---⌫--|-|---|-|--------|
Lo rsful esm ireürmut	--⌫-|-||---⌫-----|--|
tost demandé	---|-------|
Ent uz senssesmira	-|-⌫-|---||-----|
puruëeirsab eaute ́	--|-----|-|-⌫-----⌫|
Pur sauoirde sunuis	--|-----|-|--|--|
cumestbi encoluré[f.15b]	--|--|--⌫-|-------------|
Desmeillursd rask	--|-------|-⌫--||
eloutsuncorsadacesme ́.	-|--|--|---|-|------⌫-|
E lestcor teisee belesaper	-⌫|--|---⌫----||---|-|--|
OratendraHerland	-|------|------|
s i l ferad leauté	|-⌫|----|------|
Diçoequil	|----|-|-|
outp ra misduntilfumutp re ié.	--|-⌫--⌫--|---|-|-|--|-⌫--⌫---|
EHerlandsenleuas itost cumout	|------||-|---|-⌫|---|--|--|
H a derofa pel a sil ad	-⌫-⌫----|-⌫---⌫|-||-|
odluimené	-|--|----|
Ala chambreR igmel main	|-|------|-⌫----|---|
Li us siers lur ourisi·s	-|--⌫----|--|---|---|
adbelapel é	-|--|----⌫-|
Seignursbienuiengezuuss i[ e]n	-------|---|------|--|-⌫|-⌫--|
aiezbongré	---|--|---|
Ke ui siteruolezRi gme lalco rs	-|--⌫----|----|--⌫---⌫|-|--⌫-|
Rigmelles saluës i lu rfe tbelech iere	-----|--|-----|-⌫|--⌫|--⌫|---|--⌫---|
De ausape lerne fuui l aine ne laniere	||--|---⌫--|-|-|--⌫-⌫---|-|------|
Enuers leseneschaladd uncpar lé prem ie re.	-----|-|--------|-|-⌫--|---⌫--|----⌫--⌫--|
Enria unt li	-|---⌫--|-|
addit HerlandDeus	-|--|------|---|
B iensaiu ers	-⌫--|--|-⌫--|
meinestesmenço nger netr ufflere.	--||----|------⌫---|-|--⌫-------|
Mutuus iertbie nrendudem eiquant	--|--|---|---⌫|----|-|-⌫-|----|
liusenere.	---|-|---|
Odcespuceleslaserre z surl aionchiere.	-|--|------|-|-----⌫|--|-⌫|---------|
Siuu sderie nuerseles uole zfai repre i ere	-|--⌫|-|---⌫|---|---|----⌫|---⌫-|---⌫-⌫--|
Bien uoilquel eslefacenten trestote maniere	---|---|-|--⌫-|-|-----|-|-------|------|
Ne serei tbien de me i	-|-----⌫|---|-|--⌫|
ki uusfustmenc ̧on giere.	-|--|---|----⌫---⌫-----|
Beleçoe dist He rlantnequid querenrequiere	---|---|---|--⌫----|-|---|--|--|-------|
Duntm esace maug r émis sires	---|-⌫|---|--|-⌫-⌫-|--|----|
uos tre pere.	---⌫--|----|
El euet uers Had erofk ilaco lurad	--⌫|--|---|---⌫---|-⌫|-|--⌫--|-|
Silad prisparlam a inn e li	-||-|---|--|-|-⌫-⌫-|-⌫|-|
ue utestrefi ere[f.16a]	--⌫-|----|--⌫---------|
Sil as istsursun	-||--⌫--|--|--|
litdun tlacoiltë	--|---⌫|-|------|
Dunpail ealixandrinbonenfu	|-|----⌫|---------|--|-|-|
li o ueriere.	||-⌫-------|
Lacor teiseRig meliusteluis	-|---⌫----|---⌫--|----|--||
ke seitHorn kia mur l adcu nquise	-|---|---|-|-⌫--||-|--⌫-----|
Karilier t lu ncs ebeausdemut	--|-|---⌫|--⌫--||----|-|--|
estrangeguise –	-------|----||
keplus seitbeausentrePeitiers e Pise	-|---|---|----|----|-------||---|
Hornki su r tuz departi s la mestrise .	---|-|--⌫|--|-------⌫|-|--------⌫|
Elquideçoe	-|----|---|
se itil ki taunt l adeni ustise	--⌫-|-|-|----||-|-|-⌫-----|
S ili dit B eaus amis	-⌫|-|--|-⌫---|---|
uui lestremise	---⌫|----|---|
Siuostrepleisir	-|-----|------|
en est en uostre comaundise.	-|--|-|-----|----------|
Beled itl i ua lletnauez	---|-⌫-|-⌫|--⌫---||---|
pas[fait]enquise	--|-----|------|
Kiioesuine keuail	-|--|--|-|-|---|
tropestes t ost e sp rise.	---|----|-⌫--|-⌫--⌫----|
uus aurez unmeillurki	--|----|-|------|-|
meisepris e –	--|-|----⌫||
Sideitilbie nfai resimaït	-|---|-|---⌫|---⌫-|-||---|
s aintDenise	-⌫---|-----|
K arnadmeil lur delui	-⌫-||-|----⌫--|-|--|
entreN orweieeFri se.	----|-⌫-----||---⌫--|
Or q uidebienRig me l quilse ceilt	-|-⌫---|---|---⌫--⌫|-|-|-|----|
parcointise.	--|--------|
Haderof e nten t bienpar sunaparle ment	------|-⌫----⌫|---|--|--|------⌫---|
Keeleestdeceue e n sun auenement	-|--|--|-----|-⌫|--|--------|
Kel quide qu ilseit Horn–s is	|-|----|-|-|---|---||-⌫-|
co rsgent–	--⌫-|---||
Quame n er li deu eitpars unp ram etement	-|---⌫-⌫-|-|---⌫--|--|-⌫-|-⌫---⌫------|
He rland liseneschaus	--⌫----|-|---------|
sine·ladfa itnéén t.	-|---|-|--⌫-|------⌫-|
Ne ueut ke	-|---|-|
blasme enaitsir espuntcointement	-----|-|--|-|-⌫-----|---------|
B eleforme ntuuspris deuostrea pelement .	-⌫--|-----⌫-|--|---|-|-----|-⌫--------⌫|
b ien ueirde u us ke ndi ent to t e	-⌫--|---|-|-⌫-||-⌫|--⌫--|--⌫-⌫|
g ent[f.16b ]	-⌫---------⌫|
Deuo strela rgescede	-|--⌫---|--⌫-----|-|
uostreafai teme nt	-----|----⌫----⌫-|
Ti eletruuéé	--⌫--|-------|
niert tresqua l definement	|---|-----|-⌫|---------|
Decest siecl emuer q uetutpoeple s	-|---|-----⌫|---|-⌫-|--|------⌫|
Pur çoe qu aur ezicel kiuu sier t a	--|---|-|---⌫-|---|-|--⌫|---⌫||
Bienserez pa riga usparl emien escient.	---|----|--⌫----⌫-|--|-⌫|---|-------|
Il est niezees tra iz	-|--|---||--⌫---⌫-|
puruei rpl us reaument.	--|---⌫|--⌫-|--------|
Kediceus que	-||----|--|
certesuautil	-----|---|-|
lesce nt .	--|--⌫--⌫|
bienRigmelke	---|-----|-|
seitde ceiuement	---|--⌫--------|
Equil res pundesi	|-|-|---⌫----|-|
pursun desueiëment	--|--|-----------|
Eparo rguil deseien faceceile ment	|--|-⌫----|-|--|-|---|-----⌫---|
Q u ilnela deintamer	-⌫|-|-|-|----|---|
çoedute mu t forment.	---|---|--⌫|-------|
Orlie stçoeaquoermut	-|-|-⌫-|---||----|--|
granta tisement	----|-⌫-------|
encore amer	-----|---|
plus angoi ssusement	---|-----⌫--------|
Mes apar main aurauera iaueie ̈ment	--|----⌫---|---|----⌫|-----⌫----|
Karenl achambreentreGod sƿiþelpaueme nt.	--|-|-⌫|------|----|---⌫---|-|------⌫--|
Godsƿiþen tre	------|--⌫--|
l acham brekiert	-⌫|----⌫--|-|--|
p auemen téé	-⌫------⌫----|
[Demar bre ed eliosm enu em en t ouree.]	--|---⌫--||-⌫|---|-⌫---⌫--⌫--⌫|------|
No rriceest eitR[igmel]emest resseclaméé	--⌫----|---⌫--|-------||----⌫----|-------|
Bi enco noisseitt restuzdelarealmesn éé	--⌫-|--⌫-------|-⌫-----|-|-|---|----⌫---|
Souentot uëuH ornodlaf açunloéé.	-----|-|---|-⌫--|-|-|-⌫----|------|
Or enuen eitparle r od sa dame a	-|-|---⌫--|-----⌫|-|-|---||
Cu mtr e st uit en	--⌫|--⌫-⌫--⌫--|-|
la s ale sacolurontnotée	-|-⌫--|-|----|--|-----|
Ediente n c omunq uechosëe st	|----|-⌫|-⌫---|-⌫-|-----|-⌫-|
Udelciele stuenupa r [sa]	|--|---|-⌫-|---|--⌫|---|
g rantdestinéé	-⌫---|---------|
Da mene·lpoe tueerken enseitesrag éé	--⌫-|---|---⌫|---|-||-|---|-----⌫---|
U pres estdel murir u	|---|--|--|----||
deltutestpasme ́é	--|--|--|-----⌫--|
Taunt est sa grantbeautépar	----|--|-|----|------|--|
trestutdeu iséé	------|---⌫-----|
ueneit parler.	-----|------|
Quantueitsurl aionc he ́e ́	----|---|--|-⌫|----⌫--⌫--⌫|
Sëeirleseneschald ekiest muta méé	-----|-|--------|-⌫|-|--|--|-⌫----|
ueit Hader ofsurlacoiltepoin tée ́	---|-----⌫-|--|-|-----|----⌫----⌫|
Se ̈eiriust eR[igmel] lagentillo nuréé	--⌫---|----⌫|-------|-|-----||-⌫------|
Apresadhautpa rléen	----|-|---|--⌫---|-|
uoizsideslïéé	---|-|---------|
Bi enuienge	--⌫-|-----|
Haderofd eSu d denelaléé	------|-⌫|--⌫-⌫---|-|----|
Sor fus tuenuo d	|-|---⌫|---|-⌫|
uuscild e uostre cuntréé	--|--|-⌫|-----|--------|
Hornlibonseli be ausod	---|-|---||-|--⌫--|-|
be a u t éalum éé	--⌫-⌫-⌫-⌫-|----⌫---|
Qua ntcel mototR [igmel]purpoiqueln	---⌫-|--|--|-|-⌫------|--|--|-|-||
estdesuéé	--|-------|
Deire e demaltalentadlacolurmue ́ é.	||--||-|--------|-|-|----|---⌫-⌫--|
Pa r oledirraiadu ntbieniertescoté é	--⌫-⌫--|----|-|--⌫-|---|---|-------⌫-|
[E dunt gran tma lsurdratsele n	-|---|----⌫|--⌫|------||--||
estadrescee.]	--|--------||
Auo icumsui	---⌫|--|--|
huni eQuidel efi zToral	----⌫|----|-⌫|--⌫|----|
Pur lesseinz queDeusfist kenese ieleal	--|--|----|--|---|---|-|-|--⌫-|---|
ada m e népar ga bei su nuassal	-|-⌫-⌫-⌫--|--|--⌫---⌫|-⌫|-----|
Tutpurmeiessaierc um fussecumm unal	--|--|--|------|-⌫-|----|----⌫---|
[Se üstli	---⌫---|-|
reis H unlafmaru eïstce st	---|-⌫----|--|-⌫----|--⌫-|
uen gerai bie n–ia nen	---⌫----|---⌫||-|--|
Tut len ferai detrairea coësd e	--||-|----|-------||----|-⌫|
Nefu mes s ihonie puceleenperï al	-|-|--|-⌫|----|-----|-------⌫-|
Cum cists urquidém	--|---|-⌫-------||
adkisefet s eneschal.	-|-|-|--|-⌫--------|
ParDeupo iaiamis s ilne	--|--|--⌫|-|---||-|-|
ue ngentcestmal	--⌫----|---|--|
Silnequiere nt	|-|-|------⌫-|
huniement uergundal.	--------|---------|
Or en ten t	-|--⌫---⌫|
bie nHerlandkecesthaunge morta l	---⌫|------|-||--|-----|-----⌫|
Ke R[igmel]a duer sli	-|-------|-⌫|---⌫|-|
kiestfillereal.	-|--|----|----|
Duncrespundi par senki[ l]	---|-------|--|--||--⌫-|
ier tsageeleal	---⌫|---||---|
Damemerci pur De u lereie s perital	---|----|--|--⌫|-|--|-⌫-⌫------|
Demain amerraiH orntu t eni ercdreitural.	-----|------|-⌫--|--⌫|-|-⌫--|---------|
N os ai ainz pur lo rei	|--⌫-|---|--|-|--|
mun seignurnatural.	--|------|-------|
ainzpurle re[ i] auus Hornamener	---|--|-|---⌫-||--|---|-----|
Tauntia d de feluns esuntsimal parler	----||-⌫|-|-----||---|-|--|-----|
Bien e mallur estt uta	---||--|--|--|-⌫-||
dire cummuner	---|-------|
Qu antsuntde uantle reieuoelent losenger	--⌫--|---|--⌫---|-|--||------|-------|
Eainzcreitho m	|---|----|--⌫|
lemalke le bienalpremi er.	-|--|-|-|---|-|-----⌫--|
aiç oefaitnun pu r	-|--⌫-|---|--|--⌫|
uusess aier.	--|---⌫----|
OruusamerraiHorn odleuis ag ecler–	-|--|------|---|-|-|---⌫--⌫|---||
Io enendorreie u nail tiel	--⌫||-|------|-⌫|--|---|
enpurragrucier–	-|----|------||
Sipurrezale isir odliesbaneier	-|-----||--⌫---|-|-|--------|
Dir euosuolen te z egaber e i u er.	---⌫|--|-----⌫--⌫||----||-⌫-⌫--|
c ha utde s fe luns s en uoelentmalnoter.	-⌫--⌫-|--⌫|--⌫---||-|------|--|-----|
ç oedistRigmel dunc mest oet pard oner	--⌫-|---|-----|---||---⌫--|----⌫---|
Lireelemal t alentqu e	|--||-|---⌫-⌫----|--⌫|
oi einzen penser.	-|---|-|------|
Beleuostre merciçoedistHer landli bier	---|-----|----|---|---|---⌫---|-|---|
Ormenirrai a tauntkar ne	-||-|----|-⌫----|--|-|
pusdemurer	--|------|
Purl ecunrei lereikemestoetaprest er	--|-⌫|-----|-|--|-||-----|------⌫-|
agre édemaina	----⌫-|-----||
sun d isner	--|-⌫----|
Pursa grantcurttenirq u il nitrost	--|-|----|---|----|-⌫|-|||----|
queblasmer[f.18a]	--|-------------|
Purles diuersesge nzke il	--|--|-------|--⌫-|-|-|
ad faitmander.	-|---|------|
Alezçoe ditRigme l seezue r aiparler	---|---|--|-----⌫|---|--⌫-⌫-|-----|
Ne ma lezd eceuan tcume stescostumer.	-||-⌫--|-⌫------⌫|--|-⌫---|--------|
Quantui nt[a]lendemain	----|--⌫-|--||-------|
[mut]gr ant fuli	----|--⌫--|-|-|
Pur b ienseruirHu nlafki lesau tres iustise	--|-⌫--|-----|--⌫---|-|--|--⌫---|------|
Herlau ndliseneschalg rantenten te iad	------⌫-|-|--------|-⌫---|-----⌫-||-|
Quilfussen t acelior bi enserui	-|-|------⌫||--|--|--⌫-|----|
par mestr is e.	--|-----⌫--⌫-|
Nulsn a cunt ast lesmesqu ilorent	---||-⌫----⌫--|--|--|-|-|----|
Estrelesentr emeske H e rlau ndlur	----|--|----⌫---|-|-⌫-⌫----⌫-|--|
Deustaunt se ru i leior fiz	---|----|--⌫--⌫|-|--|--|
deme i nt e marchise	-|--⌫-⌫--⌫|-------|
Mesuncni outunsul ki	--|--|||--|-|--|-|
seruisten c hem ise	------|-|-⌫---⌫--|
Mes en pelic euai reuherminë u	--|-|-----⌫|---⌫-||-------||
Uenblia u tdepaile delmeuzde	|-|----⌫-⌫|-|----|--|---|-|
p aie nïse.	-⌫---⌫-----|
H orn i seruit l e iorkipassot p arf ran chise	-⌫--||-----|-⌫|--|-|-----|-⌫-|-⌫---⌫----|
Trestuz kiieste iententre Breta i gnee	------||||----⌫---|----|----|-⌫--||
must ra uersnulne orgui l	----⌫-|---|--|-|-----⌫|
nefeintise	-|-------|
quil i ertici lke l	-|-|-⌫--|---⌫|-||
empluspr ise.	-|---|--⌫---|
Taunt o nt dames penséde l uien meinte	----|-⌫-|----|-----|-|-⌫-|-|-----|
amur lesdes treinteschau fë eatise.	---|--|---⌫-----|------⌫--||-----|
Horn seruiicel	---|----|---|
iorenunbl ia u tpurprin.	--|-|-|--⌫--⌫-⌫|-------|
En l asalel eior	-|-⌫|---|-⌫|--|
nenoutsigent	--|--|-|---|
Lacoluraueitclere	-|----|----|----|
o u trosin	-⌫-⌫|----|
adue ̈usi cumcr eie deuin	-|--⌫-|-|--|--⌫-||----|
Kene·lu ousisttenir	-|---|-⌫-----|----|
suzcouertur hermin.[f.1 8 b]	--|-------|-----------⌫-⌫-|
Il adl eior portéunecupe dor	-|-|-⌫|--|-----|--|---||-|
Unke sn o rentmellorCesarneCos tentin–	----⌫||-⌫---|-----|----|-|---⌫-----||
Atrifuireierten talléde bonor m elekin	|-------|---|--⌫-----|-|--|-|-⌫-----|
D icel eseru eitilreiHun la f d esu n	|----⌫|----⌫--|-|--|---⌫--⌫|-⌫|--⌫|
Trestuit cildela	-------|--|-|-|
curtuers luierent f ra ri n	---|---|--|----|-⌫--⌫--⌫|
D e be autédeualu r tuit su nt ue rsl iaclin.	-⌫|--⌫----|-|----⌫|---|--⌫-|--⌫-|-⌫|-----|
Herselotlad uëu	-------||-|---|
lafi lleal pala ïn	-|--⌫--|-|----⌫--|
Si cumel trespassot[par]	-|--|-|---------|----|
le palaismarbrin.	-|-----|-------|
Sunse nen adc haungé esunuis	--|--⌫|-|-|-⌫------||--|--|
tientsouin	----|----|
Taunt sesmeru eillal ors	----||------⌫----|-⌫--|
de Horn leor ph anin.	-|---|-|--⌫--⌫----|
Muttos t se re turna asadameal	--|---⌫|-|--⌫----||-|---|-|
Delachambreueleiert	-|-|------||--|---|
duntmasçunsfu	---|-------|-|
Mestrebonestp reisie desle	-----|--|--|-⌫-----|--|-|
te nsreiPepin–	--⌫-|--|----||
Pur direquoutuëuledan zela nge lin	--|---|-|--|---|-|---⌫--|-⌫---⌫--|
gentemollé een b eau té si f in	---||-----||-|-⌫---⌫--|-|-⌫-|
Kedescrir ene·lp otnul clercsage	-|-------⌫|---|-⌫-|--|----|---|
Cumestplei nsdetuzbiens ne me tre en parchemin.	--|--|----⌫-|-|--|----|-|--⌫--|-|---------|
E[l]uien ta	---|----⌫||
sadameu siet	-|---||---|
suz [la]corti ne	--|---|-----⌫-|
E parl o ut deded u zaun	|----⌫-⌫-|-|---⌫-⌫||-|
autre me sch ine.	----|--⌫---⌫---|
Eleritdulce mente paramurbienfine	--|--|-----⌫---||--|---|---|---|
dit ensegre i DameDeu	--|-|-----⌫|---|--|
u usdestine	-⌫-|------|
Unerienqu ai uëuki bien	--|---|-|-|---|-|---|
estang el ine .	--|---⌫--⌫---⌫|
Delmalquauez ëuilen	--|--|-|---|--|-|-|
Ne· lpoetp as	---⌫|---|-⌫-|
esgar de rcuntessener eïne[ f.19a]	-----⌫--⌫|-------|-|-⌫------⌫-----|
Ketresqueladuëu	-|------||-|---|
ne sei t uers luiacline.	-|---⌫|---|--|------|
uestuadun bliautlacolur	----|-|-|-----|-|----|
adpurprine	-|-------|
Estreitest mut e sf lancs epa rterre	------|--|--|-⌫|-⌫----||--⌫|----|
IoecreiqueçoeestH orn	--|---|--|---|--|-⌫--|
ketu te gent	-|--⌫-|---|
est çoe tiel nenadd e	--|---|---|--|-|-⌫|
enPale stine	-|----⌫----|
Nëentr ecresti ëns në eng entsarazine.	--|----⌫|------⌫---|--|-|-⌫--|--------|
seiezde[suz]sadiscipline	----|------|-|---------|
Afaires un com an d[suzcuue r turhermine.]	|----|-⌫-|---⌫--⌫|---|----⌫-⌫--|--------|
Ia hunte nen	-|----||-|
aur ei tdes uzcielpa laïne.	---⌫--⌫|---⌫-|---|--⌫------|
kedemeioüstfaite raui ne	-|-|--|----|----|----⌫-|
E m ei oustsula	|-⌫-|---|--||
s u l e nchambreuen	-⌫-⌫|-⌫|------||-|
Ioe ferei ësun	--|-----⌫-|--|
boen parsain teKatherine.	---|--|----⌫-|---------|
Ia ne· lsaureitparmei	-|---⌫|------|--|--|
p arente necosine.	-⌫-----|-|------|
Taisfoledist Rigme lia nen aurasseisine	---|---|---|-----⌫|-||-|----|------|
S al u i [ple st ]kifistcieleterrë	||-⌫-⌫|----⌫--⌫|-|---|---||-----|
e m arine .	|-⌫-----⌫|
D imei ueirHerselotueïsmes celenfant	-⌫|--|---|-------|----|--|--|-----|
Es tiltielcumlend it	--⌫|-|---|--||-|-⌫-|
siauena nt	-|-----⌫-|
Meruei l le siuiu rai tauntke io·ls eië	------⌫-⌫-|-|---⌫--|----|-|---|-⌫---|
A l amenerdeluitrop demor eHerland.	||-----|-|--|---|-----⌫|-------|
Certes bon sen e sch alnemetie n z c ouena nt	-----|--|---⌫-⌫---⌫-|-|-|---⌫-⌫|-⌫-----⌫-|
Desor mais	--|-|---|
aurasnunen	----|--|-|
lac urtdemu rant.	-|-⌫--|----⌫----|
Her sel ot nulnep oet	---⌫---⌫-|--|-|-⌫--|
dire taunt	---|----|
uerté deluide	-----|-|--|-|
losdesun semblant .	--|-|--|--------⌫|
Io·l u iuil estut si ·nfui	---|-⌫||-|----|--⌫-|--|
esm er ueill an t–[f.19b]	---⌫--⌫-----⌫--⌫|-------|
Pur po iken e n perdi	--|--⌫|-||-⌫|----|
emun talant –	|--|-----||
Me sapeinereuinckardeuusfui	--⌫||----|-----|--|-|--|--|
Earieretu rnaita unt cumpoi	|-----|--⌫---|--⌫--|--|--|
en cor ant	-|---⌫--|
Purdirekoi uëu	--|---||-|---|
enlasalë auan t	-|-|----|----⌫|
Dunt sesmerueillent	---||------------|
tuitlipetite	---|-|----||
Nec reiqueseit	-|-⌫--|--|---|
sunp eren ce stsiecle uiua nt.	--|-⌫-|-|--⌫-|-----|----⌫--|
Teis teiçoe dist	---|--|---|---|
Rigmelmaren	-----|--|-|
iersplus parlant	---|---|------|
Cum pl us le loëras	--|--⌫-|-|------|
eplusmierta tisant.	|---||---|-⌫------|
Arst fust ore ede struitu	---|---|--||--⌫-----||
enzui ntlichalanc	--|--⌫-|-|------|
Ki·lport aenregnekem isper eesttenan t	---|----⌫|-|----|-|-⌫-|---⌫|--|-----⌫|
Quant d elu ëeir de luisui or tantdesira nt	----|-⌫-|-⌫----|-|--|--|-|---|------⌫-|
Enepuspur ch aci erkei en	|-|--|---⌫--⌫---⌫-|-||-|
se ie eisant .	--⌫-|------⌫|
Halas se q u	-|---⌫-|-⌫|
aiioeditçoefuntl i	-|--|--|---|---|-⌫|
Maudientçoequ ilnuntç oe queont	-------|---|-|-||--|--⌫-|--|--|
enta lant.	-|--⌫----|
Herselotbele rien a Herlandm en irrez	-------|---|---||------||-|----|
Q uilmetiengecouen tmut tost li	-⌫|-|-|-----|-----⌫|--|---|-|
Horname intoueluie uussi · s	---|---⌫--|--|--||--|--⌫-⌫|
D amed it Herselot faitiertcum comandez.	-⌫--|-⌫-|-------|---|---|--|--------|
A lpalaissenreuaitkide marbre	-⌫|-----||-|-----|-|-|-----|
estli s tez	--|--⌫-⌫--|
La senuait	-||-|---|
trestut dreituH er l a nd es t	------|----||-⌫--⌫-⌫-⌫-|--⌫|
Enloreille su ëfditliest e	-||------|--⌫--|--|-|--||
Le mes sa getr estutk il ifuenchar gez.	-|---⌫--⌫-|--⌫----|-⌫|-⌫|-|------⌫---|
EHerlandquant loïtsi respu nt debon	|------|----||---|-|-----⌫-|-|--|
Danze leia uendru nsneniertplusat ar giez [f .20 a]	-----⌫-|-|------⌫-|--|---|---|--⌫--⌫----⌫--⌫---⌫-|
Forsque lireis serui seite	---|--|-|---|----|---||
limanger finez.	-|-----|-----|
H ers elot s are stutpuruëeirlesdeintez	-⌫---⌫---||---⌫---|--|-----|--|------|
Delseruiseq u	--|------|-⌫|
iert grant e	---|----||
de l r eikiestlez.	--⌫|-⌫-|-|--|---|
L om i portout	|-||------|
partutepimenteclarez	-----||-----||-----|
Elesuinsenseme ntde uiez	|--|---|------⌫-|-|---|
entonelez.	---------|
se ru itors– uenus u nte	--⌫--⌫----||---|-⌫-⌫-||
Cum port entces hanapse	--|----⌫--|--|-----||
cesueissausdorez	--|-------|----|
Cum il sunt bien uestud e bliauz	--|-|---|---|----|-⌫|-----|
bienta illez.	---|--⌫-----|
Messur tuzesteitHor nli mi eudres alose z	--|--|--|-----|---⌫|-|--⌫-----|-----⌫|
Ligreindre eliplusfortli	-|-------||-|---|---|-|
meu zendoctrinez.	---⌫|-----------|
Selesenesbaïst	|--||-|-------|
seign orsne nmerueillez	-----⌫--||-⌫|---------|
estco s tumeq uelchangeses	--|--⌫-⌫---|-⌫|-|-----|--|
ueitbelhomek ige n z este	---|--|---|-⌫|--⌫-⌫|--||
Herselot qua ntla	-------|---⌫-|-|
cortasez esgardéa	---|---|-------||
As a da unzeleuetsiditke	|-⌫|--⌫-----|--|-|--|-|
Herlandliseneschal–pur ki ellenueia	------|-|--------||--|-|-||-----|
Quantlireisi e rtserui eHorn od lui	----|-|---|-⌫-⌫-|----||---|-|--|
BeleRi gmel	---|--⌫---|
loï sis enesl ëesç a .	|--|-||-|---⌫------⌫-⌫|
A se sp uceles	|--⌫|-⌫-----|
ditDaunzelesc ume sta	--|--------|-⌫-|-⌫--|
Q u elestor	-⌫-⌫-|--|-|
macolurcum	-|----|--|
se tientcum	-|----|--|
DientMutbienestait.Chascu n e	----|--|---|------|------⌫-⌫|
Desmeillorsdrasqueleoutmut	--|-------|---|-|--|--|--|
biensec un rea	---|-|-⌫--⌫--|
Pusprentlesmirëuren	--|----||--------|-|
tuz sen[s]s	--|-----||
Sirien ime salaparçoelerad resça. [f.20 b]	-|---||--⌫---|--|---|-|---⌫-------⌫-----⌫-|
Orlisemblatropl un ckeHerland demu ra .	-|-|-----|---|-⌫--⌫|-|------|----⌫--⌫|
EDeusq ua nt uendr ailHe rselo t liditi a	|---|-⌫--⌫-|-----⌫|-|--⌫-----⌫|-|--|-⌫|
Liseruis e sest granzki lungesle	-|------⌫-⌫|--|----|-|-----|-|
Her selotuaue eir quantli	---⌫----|-|--⌫--|----|-|
mangerf enir a.	-----|-⌫----⌫-|
uasihasteHerland u ils	-|-|----|------||-||
ubl i ̈ era .	---⌫-⌫-⌫---⌫|
Da nz elenu ferai kar il saparceura	--⌫--⌫--|-|----|--|-||--------|
