suid ed ire teus	--|-⌫|-⌫--|---|
leno nsme n aprent lamatir e	-|--⌫-||-⌫|-----|-|-----⌫|
quemenauise	--||-|----|
adire ladr eitedeui se	|---|-|--⌫---|----⌫-|
lescucoment	|---|-----|
cest l escuqueatorne ieme nt	|--||---|--||-----⌫----⌫-|
portelescuaun o n diuers	----||---|-|-⌫-⌫|-----|
c e stliescu sa	|-⌫-|-|----⌫||
do usenue rs	--⌫-|----⌫-|
kiestpartizdelecherie	-|--|-----|-|-------|
uila in ie	----⌫--⌫-|
aquatreramponesrampanz	|-----|-------|------|
aunelan ge	|--|---⌫-|
acinctr enchan z	|---|--⌫------⌫|
kilescupurprente s urmunte	-||---|-------||-⌫------|
les cu a umereu rdehunte	|--⌫-|-⌫|-----⌫|-|----|
a ulyonpurtreit de manaces	-⌫|---|-------|-|------|
eteles cu entote s pla ce s	|--|--⌫-|-|----⌫|---⌫--⌫|
pentasuncoli on	---||--|--|-⌫||
ne ioneq uidqu es eseitnus	-|-|-|-⌫--|--⌫|-⌫|---|--|
kit eles cudeieporter	-|-⌫-|--⌫-|---|-----|
ben deitchascun suncor s	--|---|------|--|---⌫|
duntde ustuzcheualersdefende	---|--⌫-|--|--------|------|
laset imep ene	-|---⌫--|-⌫--|
nobli p as	|---|-⌫-|
quelest e leestd e telco npas	---|--|-⌫-|--|-⌫|--|--⌫---|
cur teisparsamestrie	---⌫---|--|-|------|
a pren tqu iue ut de curteisie	-⌫----⌫|--⌫|--⌫-|-|--------|
pardeuanttu zpasser le	--|-----|--⌫|-----|-|
quil seitam i seque d	-|-|---|--⌫-⌫||--||
ai n tacertesqueautr ement	--⌫-⌫||-----|--|----⌫----|
pascurteisement	--|-----------|
cheualerqui amise	-------|--|--|-|
quantilleditelequer n	----|-|-|--||-|---||
q uest c oa	-⌫|--|-⌫||
esmerueil que p enser	--------|--|-⌫----|
enepurqua ntio nedie m ie	|--------⌫-|-|-|--|-⌫-|
amiseadamie	---||-|---|
kesouentdam ur nel iuenge	-|-----||--⌫-|-|-⌫|----|
to rm entquequeauenge	--⌫--⌫--|-----|-----|
amur metsa science	---|--|-|------|
p u ram urdei t	-⌫-⌫|--⌫-|---⌫|
en pacience	-|-------|
tut prendrea greetut egal	--|------||--||--|---|
ei oie eduleben	|-⌫--||--||--|
kenulere nne	-|---|--⌫|-|
ligretpoint	-|---|----|
pur quei amur en	--|---|---|-|
un sulpoint	-|--|----|
lipu e trendr eparsab unte	-|--⌫-⌫|-----⌫|--|-|-⌫---|
dunt tot si malaie nt sau té	---|--|-|--|---⌫-|---⌫--|
telestamur e	--|--|---||
s apu ssance	-⌫|--⌫-----|
t reischosessem blesanzdot ance	-⌫---|-----|---⌫--|---|---⌫---|
questreisc estrosee uinemer	---|----||--|---||--||--|
parqueilem	--|---|--|
set ser teinement	--|---⌫--------|
mere ntreoutrement	--|-⌫---|--------|
sepein ed ariueraport	-|----⌫||-----||---|
ouil uoutquesa nef leport	-|-|---|--|-|--|-|---|
enmila mer	---|-|--|
tantostauent	------|----|
keun eturmen te liuent	-|--⌫|------⌫-|-|---|
ke tut d epec ee t u td esueie	-|--|-⌫----⌫||-⌫-⌫|-⌫-----|
echace la nef	|----|-|--|
entele uoie	-|---|---|
kil perttotpuisrauen tsouent	|-|---|--|---|-----⌫|-----|
aun altre qu	|-|----|-|
il adbonuen t	-|-|--|---⌫|
kisanztr auailesanzgra nt	-|---|--⌫----||---|---⌫-|
liuent asundreit	-|---||--|----|
portlim eine	---|-|-⌫---|
issile uenz	---|-|---|
en mer lese rt	-|--|-|--⌫-|
cilad g a in ee	--|-|-⌫-⌫--⌫||
ausiquid amur sen trem et	---|--||---||--⌫----⌫-|
sitos tque	-|---⌫|--|
enlamurse met	-||---|-|--|
uenzqui tuzi orzuente	---|--|--|-⌫--|----|
quelsestcistue n zqu e	----|--|---|--⌫-⌫|--⌫|
lesturmente	--|-------|
lesparolesdeffaucesge nz	--|------|-|------|--⌫-|
c estla turmente	|--|-|-------|
keianesler raauenir	-|-||-|---⌫-|-----|
al portouiluolentuenir	-|---|-|-|-----|----|
quantilaue ntqueuentlaque ut	----|-|---⌫-|--|---||----⌫-|
kilm eine laoualeru eut	-||-⌫---|-|-|---|-⌫--|
siestrichesp lusest	-|--|-----|-⌫--|--|
cent tant q uenestlimarc hanz	---|---|-⌫-||--|-|----⌫---|
ki gaine m il mar s ensemble	-|----|-⌫-|---⌫|-------|
esiamo rla mer	|-|---⌫|-|--|
eguiedel suen al abrich e	|---|--|---||-⌫|-----⌫|
cilensun tpoure ecil su nt ri c he	--|-|---⌫|----||--|--⌫-|--⌫-⌫-|
mer e plusse	--||---|-|
plustroue en meram ere pe ine	---|----|-|--|--⌫--|--⌫--|
demeredamur aipurtreit	-|--|||---|-|-------|
dequei liuns lautre purtr eit	-|---|-|--||----|-----⌫--|
apresmestutsanzplusatendre	----||----|---|---|------|
dire coquaipra mis a rendr e	---|-|-|-|---⌫--||-----⌫|
ke iodieequeio	-|-|--||--|-|
de quei amurres emble leuin	-|---|---|---⌫----|-|--|
deq u eicoaueraiieto s tproué	-|-⌫-⌫-|-|-----|-|--⌫-⌫|-----|
lip lusorslont	-|-⌫-----||--|
en u eir troué	-|-⌫--|-----|
k ip renzduz uins e	-⌫|-⌫---|--|---||
duzl ent one	--||---⌫--|
qua ntliuins estdedenz	---⌫-|-|---|--|-----|
pereeesneie	---||-----|
keia n i remaindrai	-|-|||---------|
getforssi queliui ns	--|---|-|--|-|--⌫-|
remai ntsinez e	-----⌫-|-|--||
p urse fins	-⌫--||---|
sib eussic l ersc um	-|-⌫--|-|-⌫-⌫--|-⌫-|
tutc orauient d amur anest r e	--|-⌫|------||---||----⌫-⌫|
sic omelamurnest elquer	-|-⌫--||---|---|-|---|
comeliu i nsq uigetepo e r	---|-|-⌫-⌫-|-⌫-|---|--⌫-⌫|
lor duredu nt ils esn eie	|--⌫---|--⌫-|-||---⌫--|
getteamur horsla	----|---|---|-|
delquerque point nenire m a int	--|---|--|----||-||--⌫-⌫-⌫--|
si quelamur	-|--||---|
qui elq uermaint	--|-|-⌫--|----|
remaintsinette	------|-|----|
e pureefine	|---||---|
comeliuins quants	---|-|---|----||
debon uin i tantuu spramet	-|--|--|-⌫---|--⌫|-----|
kibon uin enbon uassal met	-|--|--|-|--|-----|--|
tuziorz en uan tmeuz li uassa ls	--|---|-|---⌫|---|-|-----⌫-|
kidebo nest bons lieisliz	-|-|--⌫|--|---|-|-----|
ausiquenamu r sestmis	---|-|-|---⌫||--|--|
s ilaes téun	|-||--⌫--|-|
tuz iorzeniertde	--|---|-|---|-|
meillur murs	------|---|
issies tdeuinedamurs	---|--⌫|-|--|||----|
comeiod ie k apres	---|-|-⌫-||----|
comeio di com e cop uet	---|-|-|---⌫|-|-⌫--|
estre quentreamur e la	----|-|----|---||-|
seientunessem blable schose	-----|---|---⌫------⌫|----|
comentsest leg erasauer	-----||--|---⌫-||----|
kidel arose ditleue ir	-|-|-⌫|---|--|-|--⌫-|
surto tes flursrose	--|--⌫--|----|---|
rose es tlaplus especial	---|--⌫|-|---|-------|
la plu s curteise elaplusfine	-|---⌫|-------||-|---|---|
ros eenbe l ist eenl umine	---⌫|----⌫-⌫--||---⌫----|
tote sflur sedoun ecolur	----⌫|----⌫||----⌫|----|
rose est laplus	---|--|-|---|
curteiseflur	-------|---|
kecur te is pussere coillir	-|---⌫--⌫-|----|--⌫------|
fetes centf lorettes coillir	----|---|-⌫-------|------|
les plus bele s q u euus sauez	--|---|----⌫|-⌫-⌫|--|----|
enunchapel lez lesmet ez	-|-|------⌫--|--|---⌫-|
lesplusplesanzcelese	--|---|------|----||
plus seitlarosemisent re	---|---|-|---|--|---⌫-|
toteslesfloret t esnoueles	----|--|------⌫-⌫-|------|
seruntpurlaroseplus	-----|--|-|---|---|
el ichapeusenerent p lus	|-⌫|------|-|----|-⌫--|
epl usplesanzato tesgenz	|--⌫-|------||--⌫--|---|
come roseparsabonte	---|---|--|-|----|
est decentflur spa ssébe alt e	--|-|---|----⌫|--⌫---|--⌫---⌫|
edelchapella pl uscurteiss e	|--|-----|-|--⌫-|--------⌫|
autanteauantune teisse	-----||----|--|-----|
re ns nipe cc he	--⌫-|||--⌫--⌫-|
de cent la p luscurteissetecche	-|---|-|-⌫--|--------|-----|
ordipurquei	-|-|--|---|
iouolunters	-|--------|
oresei t s i queuncheual er s	--|---⌫|-⌫|--|-|------⌫--⌫|
seitbealsepruze si	---|----||---||-|
entres ait	------⌫--|
ke cen tcurteisseste cchesait	-|---⌫|---------|--⌫----|--|
s amor lifert duntest amors	|---|-|---|---|--|----|
roseent recentfl urs	---|---⌫-|---|--⌫--|
purq uei amourrei sunm aprent	--|-⌫--|----|---⌫--||-----|
ke amurs enlumin ee esprent	-|----|-------⌫||------|
lestecchesduntil	--|------|---|-|
esttoch ez	--|----⌫-|
k e siiles tbene nt e cchez	-⌫|-|-|--⌫|--|-⌫--⌫-⌫----|
puisque a m urentech ezatache	------|-⌫-⌫-|------⌫-|-----|
ia naura ensest ecche stache	-||---|-|--|-⌫-----⌫|----|
deuila inie	-|----⌫---|
q ueamurpu i sce	-⌫-|---|--⌫-⌫--|
se c est queamurcurteisle troisse	-||--|--|---|------|-|------|
curtesle fetplus quedeuant	-----|-|--|---|--|-----|
silertlar ges	|-|--|---⌫--|
keamurf etco conedeit	-|---|-⌫-|-|-|-|---|
debelplusbel de curteis	-|--|---|--|-|------|
eentotesb eutezsestlist	|-|----|-⌫----||------|
ausicum la ro se	---|--|-|--⌫-|
lesflo retteselechapel	--|---⌫-----||-|-----|
kelentent pur	-|--|---|--|
la rosebel	-|---|--|
autant amur co est la	-----|---|-|--|-|
enbelist lest ecches	-------|--|-⌫-----|
tantmesuidedireentremis	---|-|--|-|---|-------|
etantiaimun pensermis	|---||-|--|-----|--|
keditu usaialaparclose	-|--|-⌫-|-||-|-------|
e d elamur e delar ose	|-⌫||---||-|-|-⌫--|
edesele s lapremeraine	|--|---⌫|-|---------|
deuiseeela	------||-|
parlituzpru zpoentapre ndre	--|-|--|---⌫|----|----⌫---|
ki teustecc hesueut	-|---|----⌫--|---|
asei prendre	|--|------|
ilseestpris	-|-|--|---|
digne sest demunteren pris	-----⌫|--|-|-----|-|---|
dign esueire q ueque	----⌫-|----|-⌫----|
raol atuzlescurteisp rie	---||--|--|------|-⌫--|
p enneslu rsu ruen ge	-⌫----|--⌫|--⌫----⌫-|
eque acunu iaus une	|--|---|-⌫---|--|
keiosaibens anznu lredu t	-|-|--|--|-⌫--|--⌫|----⌫|
richesquina pastut	-----|--|||--|--|
epur ce fasa	|--|-|--||
tuz s a uer	--|-⌫-⌫--|
kitotesnes porraauer	-|----||-|----|---|
sacuneen putaitla	|----|-|--|--|-|
ke bonetecche quanthomela	-|---|-----|----|---|||
puet rendre	---|-----|
sib ongueredon	-|-⌫-|-------|
keu ne te cche	-|-⌫-|--⌫---|
rentunp rodom	---|-|-⌫----|
e e n multbensli	|-⌫|---|---|-|
uent deuant	---|-----|
mesneai coragene	--|-|-|-----|-|
k eplus dedireme entre mette	-⌫|---|-|---|-|-----⌫----|
lerrai ioqueio nonni me tte	-----|-|--|-|--|||--⌫--|
e ncoromanzparfei	-⌫|-|-----|--|--|
le roma nzdes e lesan on	-|----⌫-|--|-⌫--||-⌫-|
