quitoutueut f eres ans	--|---|---|-⌫--|-⌫--|
elma donételhardement	-|||----|--|--------|
etsa chiez	-|--⌫----|
que enuouse st toute m auie	--|-|---|-⌫-|----|-⌫|--|
aillorsnui tneior	------|---⌫|-|--|
re ntmoisantetol mo i	--⌫-|--|----|--|--⌫|
tou tse ul mep uessante	---⌫|--⌫-|-|-⌫--|----|
n ou s nouspoonsb iene nt r amer	-⌫--⌫|---|----|-⌫--|-⌫--⌫-⌫---|
quar as sezsommesdun ae	---|--⌫--|-----||-|-|
dunafere e tdunebiaute	|-|----|-⌫||--|-----|
n arcisusl o i s isenrist	-⌫------||-⌫|-⌫||-|---|
esgarde laseli adit	------|-|-|-||--|
pard ieu pucele	--|-⌫--|-----|
mol tesfole	---⌫|-|---|
qua nte s meuste l e	---⌫-|-⌫-⌫---|--⌫-⌫|
etmolt as g rantchose entr ep rise	-|---|-|-⌫---|----|----⌫--⌫---|
quanttu es	----|-|-|
c ientele guise	-⌫|-|---|----|
mieus teuenistenco rdormir	----|-|-----|----⌫|-----|
queciesl ie us seu leu en ir	--|-|-|-⌫--⌫-|---⌫-|-⌫--⌫-|
merue il lesa sfetq uehar die	-----⌫--⌫--|-⌫|--|-⌫-|---⌫--|
si letien ga grantuilon ie	-|-|----⌫||----|-----⌫-|
do itissi alerfillearo i	--⌫-|---|---|----||--⌫|
iln afiert pasn amoina	-||-----|--|||--|||
quen ousamonsne	--|-⌫--|----|-|
tantne quant	---|-|----|
que ncors omme s tropenfant	-|-⌫---|-⌫----⌫|---|-----|
tudis qua morste	-|--|-|-⌫---|-|
fet m altrere	--|-⌫-|----|
netep uisiedroitfere	-|-|-⌫--|-|----|---|
est uoir squemalt e face	--|----⌫|--|--|-⌫|---|
ua tenque iaadi eune	-||-|--|-||--⌫-|-|
que iela ie	--|-||-⌫-|
pornulauoir	--|--|----|
uueildamor s	----||----⌫|
rienss auoir	----|-⌫----|
neiene les aura iouan	-|-|-|-|-⌫----⌫|---|
ienaicured e	-||-|---|-⌫|
pri uatenarriere	--|-||-|------|
t uperset gastestaproi ere	-⌫|---|-|-----|-|----⌫--|
lapucelepluspresse t rest	-|-----|---|---|-|-⌫---|
par ole etcrie ri ensnefet	---⌫--|-|---|--⌫--|-|--|
e tgetearri er eso nma nte l	-⌫|---|----⌫--⌫|--⌫|--⌫---⌫|
toute estnue le cors	----|--|--|-|---|
de straintelafroidure	--⌫-------|-|-------|
e t lauoiequita nt	-⌫|-|---|--|--⌫-|
lisautparmilor teil	-|---|----||--⌫---|
que t outlepie	--|-⌫--|-|--|
life t uermeil	-|--⌫|------|
cortaual la face	---|---|-|---|
etuitses ma insque iointetlace	-|--|--|--⌫--|--|----|-|---|
neis sesgansetsesorfrois	---|--|---|-|--|------|
quiplusso ntblan chesq ueian oi s	--|---|--⌫-|----⌫---|-⌫-|-|-⌫--⌫|
blanchecharotso zla	------|---|-|--⌫|-|
nule pitie nel enest	---|----|-||-|--|
dieu ssid ur	----⌫|-|-⌫-|
cueretsifelon	---|-|-|----|
souzciel na si	---|---|||-|
richeb aron	----|-⌫---|
princeconte neroisi ha ut	-----|----|-|--|-|--⌫-|
emper eorneamiraut	-----⌫--|-|------|
quilonguementse tenistmie	--|---------|-|-----|--|
quen e parlastde conpai gnie	--|-⌫|------|-|------⌫---|
d e q uanqueleditna ilcure	-⌫|-⌫----|--|--|||-|---|
tortaderiensne	---||-|----|-|
encor auoit	----|----|
a dir eass ez	|---⌫|---⌫-|
qua ntnarcis usene stto rn ez	---⌫-|------⌫-|-|-⌫-|--⌫--⌫-|
ele demeure	--|------|
lorsse pasme	---|-|----|
quan tele reuintsisebla sme	----⌫|--|-----|-|-|---⌫--|
lassedistele iesuimor te	----|---|--|-|--|---⌫-|
quantnulerienneme c onfor te	----|---|---|-|-|-⌫-----⌫-|
or s uiiemorteetmalb aillie	-|-⌫-|-|----|-|--|-⌫-----|
ia mesn aurai	--⌫--||----|
io ieen ma uie	--⌫-|-|-|--|
q u erien que diene meuaut	-⌫-⌫|---|--|--|-|-|---|
to utbienmefu itetmal ma ssaut	--⌫-|---|-|--⌫-|-|--||-⌫----|
danesie tedisoie bien	----|-|-|-----|---|
nemeuousi scroired e r ien	-|-|-----⌫|-----|-⌫|-⌫--|
mas fetsimalbail lir	|-|--|-|--|----⌫--|
pardieu moiailfetfa il lir	--|---|--||-|--|--⌫--⌫--|
bienmiconnois	---|||------|
e t simeplaing	-⌫|-|-|-----|
e torme retor ne adesdaing	-⌫|-|-|-----⌫-||-------|
moiailescon d itemoi	--||-|-----⌫-⌫--|--|
dontnesui i efi lle	---|-|--|-⌫|--⌫--|
et ilestf ilzazzsi enho mm e	-|-|--|-⌫--||-|--⌫-|--⌫--⌫|
hedieuscom ciapesantsomme	-|----|--|-||-----|----|
etcommeestgriefama intenir	-|----|--|----||--⌫------|
queporraeledeuen ir	--|----|--|-----⌫-|
silfustletil men	|-|---|--|-||-|
pesastuiaus	-----|----|
cepois e moi qu i lest si bia us	-|----⌫|--|-|-⌫|--|-|---⌫-|
uila inement parlaa mo i	----⌫------|----||--⌫|
illides pl utienesaiqoi	-|-|---⌫--⌫-|-|-|--|--|
pot il enmoi	--|-|-|--|
ce que ilest desip ut aire	-|--|-|--|-|-|-⌫-|---|
et ie suiauena ntet bele	-|-|--|-----⌫-|-|---|
etauo ecceiesuipucele	-|---⌫-|-|-|--|-----|
etsai b iaus piezetbelesmains	-||-|-⌫---|---|-|----|----|
ilnia plus	-||||---|
il estuila ins	-|--|----⌫--|
etfelonet malafetiez	-|----|-|--|------|
lasse daneuiti ltespiez	----|---|--|-⌫|--|---|
que iauoies i	--||----|-⌫|
etsinest mieporpenssez	-|-||--|--|---------|
lassedis t eleq ueditoi	----|---⌫|--|-⌫-|--|-|
tant ettant	---|-|---|
uoirepardieue tuueilamer	----|--|---|-⌫|----|---|
puispasm on	---|--|-⌫-|
cuer oster	---|----|
ormestsamortoute	-||--||---|----|
que sa grantbiaute	--|-|----|-----|
quant menuueilpar tir	----||-|----|---⌫--|
n eme lest	-⌫|-|---|
ne mechautde ceque ma fet	-|-|----|-|-|--|||--|
et si l encorserepentoi t	-||-⌫|----|-|--------⌫|
et ilpor amen der uenoit	-|-|--|----⌫--|-----|
m esbiencr oi q uenade cecure	-⌫-|---|--⌫-|-⌫-|||-|-|---|
ilnasoingde fer ed roiture	-|||----|-|---⌫|-⌫------|
nelpu i slessiernelpuisgu erpir	-||--⌫-⌫|------|-||---|--⌫----|
nenen puispas m on cuer p artir	-||-|---|--|-⌫-|---|-⌫----|
d imoltmemerueil	-⌫|---|-|------|
querreme stuetautreconseil	-----||-⌫----|----|------|
iln au raia sidu r cora ge	-||--⌫-|-|-|--⌫|----⌫-|
queilnemai me	--|-|-||--⌫-|
nesai que faznesaique di	-|--|--|--|-|--|--|-|
m olt aientrepr isgrantanui	-⌫--|-|-------⌫-|----|---|
qu i sui ie	--⌫|--|-|
doncq u i est mon	---|-⌫-⌫|--|--|
liroisetqui	-|---|-|--|
dont ne sai	---|-|--|
iequ eleest roine	-|-|--|--|----|
ien ai ne amine parent	-||-|-|--|-|-----|
nenai conseil de nulegen t	-||-|------|-|---|---⌫|
mencongeest ain zsui	-------|--|---⌫|--|
parfoisiai	--|--|-|-|
a stu donquesle	-⌫|-|------|-|
sensderué	---|-----|
qui suiqu ise	-||--|--⌫--|
iemeco ntiengen foleguise	-|-|--⌫-----|-|---|----|
c efetamors quisimelasse	-⌫|--|----|--|-|-|----|
n es aique plus droitlenommaiss e	-⌫|-⌫-|--|---|----|-|--------⌫|
se i edeis sede ruerie	-|-⌫|----⌫-|--⌫-----|
uoirsestc eest	----|--|-⌫|--|
forse neri e	-----⌫----⌫|
ie s en pes or suien	|-⌫|-|--|-|--|-|
uraisdie usdu cieletdelat e rre	----|---⌫-|-|---|-|-|-|-⌫-⌫--|
etcildelai r etdelamer	-|--|-||--⌫|-|-|-|--|
tui tcilq ui	---⌫|--|-⌫-|
seu entpoint damer	---⌫--|----||---|
etqui el cielauez	-|--|-|---|---|
tuuenerisqu i mas	-|------|--⌫||-|
mere die upriez u ofil	---|---⌫|----|-⌫|--|
queilmeget decestp eril	--|-|-|--|-|---|-⌫---|
etdeceluiprene zueniance	-|-|----|-----⌫|-------|
muirs anzrepenta nce	---|-⌫--|-------⌫--|
fetesquilsac he questamors	----|-|-|---⌫-|-|--|----|
etqui ln enpui st a uo i rsecors	-|-|-⌫||-|---⌫-|-⌫--⌫-⌫|-----|
nel ont pasm esoie	-||--|--|-⌫----|
fet ce quele	--|-|-|--|
arrierse n	-----||-⌫|
uaason gui chet	-||--|---⌫---|
chambrese remet	------|-|----|
na rcisu sotzzcerfueu	--⌫-----⌫|-|-|---|--|
ettoute iorl auoi tseu	-|----|--||----⌫|--|
moltpar auoitangoisseus	---|--|----|---------|
quelisolause stoitenhaut	--|-|-----|-⌫----|-|---|
et quan tmi edisfupassez	-|----⌫|--⌫---|-|-----|
liual l e sfumolteschaufe z	-|---⌫-⌫-⌫|-|---|--------⌫|
desescom paignons	-|--|---⌫-------|
se dessoiure	-|--------|
etuaitquer anteue	-|---|----⌫--|--|
por boiure	--|-----|
lorsaueuune fon taine	---||--|--|---⌫----|
estoitet clere etsaine	-----|-|----|-|----|
d eseurestoit lerbe menue	-⌫----|-----||---|----|
qui to ute n torest oit creue	--|--⌫-|-⌫-⌫--|---⌫--|----|
ilueques li pl ot arem a indre	-------|-|--⌫-||---⌫-⌫----|
etquant il	-|----|-|
uouts onsoif	---|-⌫-|---|
e staindre	-⌫-------|
d unautre soifest	|-|----|---|--|
eschau fez	------⌫--|
quilif etgrei gnormalas s ez	--|-|-⌫-|----⌫---|--|--⌫-⌫-|
s anz del oit	-⌫--|---⌫--|
pardedenz la	--|-----|-|
fo nt aine uoit	--⌫--⌫---|---|
quiestoitd a utrepart	--|-----||-⌫---|---|
auisli es tque lerega r t	---|-|--⌫|--|-|----⌫-⌫|
cu ide q u e soitfeedemer	--⌫--|-⌫-⌫|---|--|-|--|
qui lafo ntainea ita	--|-|--⌫-----|-⌫-||
moltesploiteamors	---|-------|----|
qoiqueil soit etquedemeure	--|--|-|---|-|--|------|
s onombreen	-⌫-|----|-|
lafo nta ine uoit	-|--⌫---⌫--|---|
merueil leque	-------⌫-|--|
comme n calors si aamer	-----⌫-⌫-|---|-||---|
enpot s on cueroster	-|--|-⌫-|---|----|
plus la reg ardeetplusl i plest	---|-|---⌫---|-|---|-⌫|----|
nesemuetamors	-|-|---|----|
ne li les t	-|-|---⌫|
il cr ientm olt n eloie pa rle r	-|--⌫---|-⌫--|-⌫||--|--⌫---⌫|
n esineueutplus demorer	-⌫|||-|---|---|------|
moltle regardeuisaum ent	---|-|------|------⌫--|
le corsleuis qu il au oit	-|---|-|--|-|-|--⌫--|
uairsieu slongu esmai ns etlons dois	----|---⌫|-----⌫-|---⌫-|-|---|---|
mol t esta ngois se uset destr ois	---⌫|--|-⌫-----⌫--⌫-|-|-----⌫--|
c es t cilquitantb lasmo it	|--⌫|--|--|---|-⌫-----⌫-|
am i senmaleerror	|-⌫-⌫|-|---|----|
orli pri e	-|-|---⌫|
plain tsoi etsouspiree t puisplore	-----⌫|--|-|-------|-⌫|---|----|
mesesgarezestd un e chose	--|------|--||--⌫|----|
puet teree tpa rle r nos e	---|---|-⌫|--⌫---⌫||--⌫|
pasmeso i et fe t zz	----|--⌫|-|--⌫|-|
deparlerne s e	-|-----|-|-⌫|
puet te nir	---|--⌫--|
chos efet ilqueleenzuoi	----⌫|--|-|--|----|--|
n esa icommea p eler te	-⌫|--⌫|----|-⌫-⌫---|-|
se d ois estrenymphe ap elee	-|-⌫--|----|-----|--⌫---|
t u es d ee sseoufee	-⌫|-|-⌫--⌫--|-|--|
q uiqu etus oi esui e n cahors	-⌫-|--⌫|-|-⌫--⌫-|--⌫-⌫|-|---|
etsimedemoustre ton cors	-|-|-|--------|--|---|
pasestresi fiere	--|----|-|----|
uiencaquetetrai stu arriere	---|-|--|-|----⌫|-|------|
ma in tefo iza iestérequis	--⌫--⌫-|--⌫-|-⌫|----|-----|
ors ui de maleam o re sp ris	-|-⌫-|-|---|--⌫-⌫|-⌫--⌫--|
orsaiiebien quelesontd roit	-|--|-|---|-|---|--|-⌫---|
et q ueles	-|-⌫|---|
se p la ingn ent adroi t	-|-⌫--⌫----⌫--||----⌫|
uaso retantm uca nt	--|-⌫-|---|-⌫---⌫-|
paroleamoiet	-----||--|-|
leg ier ementipuespa rler	---⌫---⌫----||---|--⌫---|
entre n ousn apo intdamer	----|-⌫--|||--⌫--||---|
fors zz poideue qui	---|-|--||--|--|
di e us ententeleque iai dit	--⌫-⌫-|-----|--|--||-|--|
nenil pa rdieu trope s tparfont	----|--⌫|---|---|-⌫-⌫|------|
pardieu sifet e t s i	--|---|-|--|-⌫|-⌫|
ie liuoilesl eur es	-|-|--|--|-⌫---⌫-|
oien enpui s auoi r	--||-|---⌫|----⌫|
lest lauoiz oir	---|-|---|--|
ce fetqu enelapuis	-|--|--⌫|-|-|---|
epo rqoine	|--⌫|--|-|
loiieparler	--|-|-----|
uient cahorsmoustrer	----|-|---|-------|
ouc eli uientde gr ant	-|-⌫|-|----|-|--⌫--|
quarquantieriiel iuoi	---|----|-|-|-|-⌫|--|
qu a n tiesouspi relesouspire	--⌫-⌫-⌫|-|------⌫|--|-------|
i e plorfetautretel	-⌫|---|--|-------|
elenefilene fet el	--|-|---|-|--|-|
quantduelfaz	----|---|--|
iecuit qu eleface	-|---|--⌫|-|---|
ieu i les larm es en saface	-|-⌫|--|----⌫-|-|-|---|
lefetselem ama st	-|--||--||---⌫-|
ho rs sisemo ustrast	--⌫-|-|-|--⌫------|
ouissimecu id ee scharnir	-|---|-|--⌫--⌫|-⌫-------|
ouel ne pue tca hor s uenir	-|-|-|---⌫|-|---⌫|----|
q u e ferai	-⌫-⌫|----|
ieq ueporr aidir e	-|-⌫-|----⌫-|---⌫|
o rplaing orpl or etorsouspir e	-⌫|-----|-|--⌫-|-|-|-------⌫|
le cuermeschau fesi	-|---||------⌫-|-|
q uel froidure estce que	-⌫--|-------|--|-|--|
g rantchaut cahors	-⌫---|----|-|---|
e tieai froitdedenz lecors	-⌫|-|-|----|-----|-|---|
ormemembrequeiedoidire	-|-|-----|--|-|--|---|
d olorettelm artyr e	-⌫---|-|--|-⌫-----⌫|
et teluie seulentmene r	-|--|--|------|----⌫|
cilquisentre me tent damer	--|--||-----⌫--⌫---||---|
est ceamorsq uisi megrieue	--|-|----|-⌫-|-|-|-----|
lorsnapooir	---|||----|
qu eserelieue	--⌫|-|------|
da morsne doi	|-⌫---|-|--|
ierie nssa uoir	-|---⌫-|--⌫---|
si fazquele estdegr antpoo ir	-|--|-|--|--|-|--⌫--|---⌫-|
q uelmedestraint etmetrauaille	-⌫|-|-|--------|-|-|--------|
s i croi iebi ene tsaisanz	-⌫|---|-|--⌫-|-⌫|--|---|
mesqueeleest	--|--|--|--|
neq uecesoit	-|-⌫-|-|---|
o ue lcon noisseouell euoit	-⌫|-⌫|---⌫-----|-|---⌫|---|
q uelgent quel	-⌫--|---|---|
terreailsor	----||-|--|
cenepuis ie sau o irparmoi	-|-|---|-|---⌫-⌫-|--|--|
etquai iea fere desa terre	-|-|-|-||---|-|-|----|
desonpais neuueilen q uerre	-|--|---|-|----|--⌫-⌫----|
moi ne tie ntpas	--|-|---⌫-|--|
quelirequiere	--|-|-------|
que ie soie	--|-|---|
quilm estauisque	-|-||--|---|--|
iesaibie n	-|--|---⌫|
dont est au qu esmes mesnensai	---|--|--⌫--⌫-|--|--||-|--|
nezsui dede nz unemontaingn e	--|--|----⌫-|--|---------⌫|
enroc hedeterregr ifain gne	-|---⌫-|-|----|--⌫-----⌫--|
outoz iors aet	-|--|---||-|
no ifetglace	--⌫-|-|----|
dur alecuer durea	--||-|---|---||
cors d a ym a nt	---||-⌫--⌫-⌫-|
armezd e fer	----|-⌫|--|
se s rep eresesten e nfer	--⌫|---⌫---|--|-|-⌫---|
cro i raiqo iq uen us	---⌫-⌫--|--⌫|-⌫-|-⌫-|
qu ilaiteu	-|-|--|-|
nulebail lie	---|----⌫--|
orsuiie iadamermoltsage	-|--|-|-||---|---|---|
quete nadontditto ncorage	--||-⌫||---|--|--⌫|-----|
i e ne cuitpasquece puis es tr e	-⌫|-|---|--|--|-|---|--⌫--⌫|
que ie en sach e tou ts anz	--|-|-|----⌫|---⌫|-⌫--|
le b onmestrequ i	-|-⌫-|-----|--⌫|
ce me dis t	-|-|---⌫|
quidedenz l ecors m artetfrit	--|-----|-⌫|---||--|-|---|
qui m aprentt outesanature	--||-----|-⌫---|-|-----|
etsimangoi sseadesmesure	-|-||-----⌫--||--------|
ha douceriensq ui si mespres	-|----|----|-⌫-|-||-|---|
sauoies quelsm e sc hiez	------|----|-⌫-⌫--⌫---|
dolor iesent po rtoi	----|-|---|--⌫|--|
tuuendroiesparler	-|--------|-----|
iemuirsanzfinet	-|---|---|--|-|
sanz cons eil	---|----⌫--|
ainzque de main soit le soleil	---|--|--⌫---|---|-|-----|
me porrale nbien trouer	-|----|--⌫|---|-----|
sauo ir nenpuisautr econfort	|---⌫-||-|---|----⌫|------|
moltes tensoncuer	---|--⌫|-|--|---|
feletfiers	--|-|----|
quisimes g ardeuolentiers	--|-||--⌫-⌫---|---------|
sicom ie uoi a sons amblant	-|--|-|--||--|-⌫------|
et sineueut ueni rauant	-|-|-|---|----⌫|----|
quanques ie f azliuoi	-------|-|-⌫-|-|--|
aincmesfame nemepot pler e	---|--|---|-|-|--|----⌫|
porqoiaitoutle m ont	--|--|-|---|-|-⌫--|
tum asdutoutue rs	-||-|-|---|--⌫-|
toipl essi é	--|--⌫----⌫-|
e tie mol tdoucement te	-⌫|-|---⌫|--------|-|
q uet uaies	-⌫-|-⌫|---|
de m oi m erci	-|-⌫-|-⌫---|
ilu ec estanen pot part ir	---⌫-|---||-|--|----⌫-|
ilueclest uetuiure ou	----||---⌫--|----|-|
nelipuetplereautrecon sei l	-|-|---|----|----|---⌫---⌫|
iaertesconssé	-|--|--------|
toutelanuit	----|-|---|
desiaui or	-|-|-|-⌫-|
fu ilenpaine eten dol or	-|-|-|----|-|-|---⌫-|
c onq uesne	|---⌫--|-|
menia ne ne	----|-|-|
folie n apercut	----||------|
moltfetgrantpl o re tgra ntduel ma i ne	---|--|----|--⌫-⌫|-⌫|---⌫-|---|--⌫-⌫-|
ses lermes	--|-----|
t r oublentla fon taine	-⌫-⌫------|-|---⌫----|
etporleuequitroubleesto i t	-|--||--|--|------|----⌫-⌫|
ne puetue oirce quil	-|---|--⌫--|-|-|-|
halas fetilq uestdeue nue	-|--|--|-|-⌫|--|----⌫--|
o uestal ee or l	-⌫|--|--⌫-|-||
e t iesui ci remez	-⌫|-|--|-|----|
dolenzchetiz	-----|-----|
mal eu re us	---⌫--⌫--⌫-|
nul e ame o	---⌫|--||
m oicin erem aint	-⌫-|-|-⌫|---⌫---|
forsseul amorsquime destraint	---|---|----|--|-|--------|
secompaignienemefaut	-|---------|-|-|---|
morirmestuet	----||-----|
e t moi que chau t	-⌫|--|--|----⌫|
i aiperdu e ioie ets olas	|-|-----⌫|---|-|-⌫---|
mieusuueil morir i snellepas	----|----|----|-⌫--------|
q ueestr eenpainelongueme nt	-⌫-|----⌫|-|----|--------⌫-|
dem oi nulepitie ne prent	-|-⌫-|---|----|-|----|
qu antmai nsi	--⌫--|---⌫|||
regard esiuoi t	------⌫|-|---⌫|
l omb re quid esusl	|---⌫-|--|-⌫---||
e ueestoit	-⌫-|-----|
lor sriste tse li	---⌫|---|-⌫|-|-|
lorsf uildonq ues	---|-⌫|-|----⌫--|
p l usdestroiz	-⌫-⌫-|-------|
leue be sa plus de	|--|--⌫-|---|-|
auis liestquem oltsoitpres	---|-|--|--|-⌫--|---|---|
etreteni r nesepue tmes	-|------⌫|-|-|---⌫|--|
getelesbr az	---|--|--⌫-|
selcuideprendre	-||----|------|
mesnesettant	--|-|--|---|
l ancie rne t e nd re	-⌫-----⌫|-|-⌫-⌫--⌫-|
quil lepuist	-|-|-|----|
sentir netrouer	-----|-|-----|
porpensser	---------|
biens et quec est ombrequil	---|-⌫-|--||--|----|-|-|
a d oncse blasme	-⌫-⌫--|-|-----|
et fo l se c l aime	-|--⌫|-|-⌫-⌫---|
mesnequedentnesepue t tere	--|--------|-|-|---⌫|---|
sonfolpenssernepuet re trere	--|--|------|-|---|--⌫----|
des uoiez es tnepu etg uenchir	---⌫----|--⌫|-|--⌫-|-⌫------|
nadroiteuoiereuenir	||-----|---|------|
quarilestoitsi	---|-|-----|-|
quil nepuet	-|-|-|---|
estrere tor nez	----|--⌫---⌫--|
l as fet i l uoirdistledeu in	-⌫-|--|-⌫|---|---|-|---⌫-|
mamort aproche c estmafin	-|---|------||--|-|--|
qu een fo lli euai mism ente nte	--⌫|-|--⌫|--⌫-|-|--||----⌫--|
queien per tio ie et maiouente	--||-|---⌫|--⌫-|-|-|------|
fiettou tdeuoir	-|-|---⌫|-|---|
ne puis mer cia uoir	-|---|---⌫-|-⌫---|
etquan tiesuiplus	-|----⌫|-|--|---|
angoisseus	---------|
plus maitet destraintli	---||--|-|--------|-|
orn aimestierd e n ul confort	-||-|------|-⌫|-⌫-|------|
ici estmondescon fo rt	--|--|--|------⌫--⌫-|
ueir quiquesoit	---|--|--|---|
del ombrequimedeceuo it	-||----|--|-|------⌫-|
simefesoita uquesdebien	-|-|-----|-⌫----|-|---|
m esporueoirsaiquilni a	-⌫-|--|----|--|-|-||||
et quantpluss ui desespe rant	-|----|---|-⌫-|-------⌫---|
tan t estmangoisseassezplus gran t	---⌫|--||-------|----|---|----⌫|
est ce don t me dueil	--|-|---⌫|-|----|
que iaimets aice queie uueil	--||--|-||-|-|--|-|----|
saiie q uei edemant	--|-|-⌫-|-⌫|-----|
qua ntiem emoustrebia usamblant	---⌫-|-|-⌫|------|---⌫|-------|
lecorsle ui squele enz uoi	-|---|-|--⌫|--|--⌫--|--|
tout cepu is iet roueren mo i	---|-|--⌫-|-|-⌫----|-|--⌫|
i aim moimeismecestfolie	|--|--|-----||--|----|
ai ncmesnefutelrageoi e	--⌫-|--|-|-|--|---|--⌫|
las i euoi bien mon	--|-⌫|--|---|--|
engraingn e	---------⌫|
meplaingne	-|-------|
uosch ans uous prezde cientor	--|--⌫--|---|---|-|-|----|
pordieu e sga rd e zmadolor	--|---|-⌫---⌫--⌫-⌫|-|----|
plaingni ezet moi etmabiaute	--------⌫-|-|--|-|-|-----|
etsiditesqu emar	-|-|----|--⌫|--|
c isenfesquitelmalendure	-⌫-|----|--|--|--|-----|
et mue rtpar tel me sauenture	-|---⌫-|--|--|--⌫--------|
et tuf orezq ui	-|-|-⌫---|-⌫-|
quitant esbele etaue nanz	--|---|-|---|-|---⌫---|
piecaque tu es	----|--|-|-|
etmain team or ia sueue	-|----⌫-|--⌫-||-⌫|---|
ormedis onques anul	-|-|-||-----||--|
ue issi angoisseus eamor	--⌫-|-|----------⌫|---|
nenilpardieu ie	----|--|---|-|
l sai de fi	|--|-|-|
po rpens s e to i	--⌫-----⌫-⌫|--⌫|
douzdieus quit out	---|----|--|-⌫--|
quar uosp raingne demoipitiez	---|--|-⌫------|-|--|-----|
porqoimeless ie z cil anguir	--|--|-|----⌫--⌫|-|-⌫-----|
ie u oud roie moltmieus	-|-⌫---⌫---|---|----|
ahicomm ec i l	--|----⌫|-⌫-⌫|
porq oineme secort	--|-⌫-|-|-|-----|
auisque n ont pooir	---|--||--|----|
pueentil riensnenilp oruoir	-----|-|----|----|-⌫-|---|
pu isqueie les apeletpri	--⌫----|-|--|---|-|--|
etde moinont nulemerci	-|-|--||--|---|----|
dontpuis ie bien pardroit	---|---|-|---|--|----|
q uiln epueentnui renai dier	-⌫|-|-⌫|-----|---⌫-||--⌫---|
dont me uient ce que i e di las	---|-|----|-|--|-⌫|-|--|
n el doi croire	-⌫||--|-----|
ne le croi pas	-|-|---|--|
u o sdieu squarle	-⌫-⌫|----⌫|---|-|
m epardonez	-⌫|-------|
quar i eparoilcomfo rse nez	---|-⌫|-----|--|--⌫---⌫--|
comme hom d egrant	----|--|-⌫|----|
folieespris	----|-----|
et sines aipor qoi la nguis	-|-|-|-⌫-|--|--|--⌫----|
que ienes ai mes	--|-|-|-⌫-|--|
fors cequelennepuettrou er	---|-|--|--|-|---|----⌫-|
et omoi uie ntet	-||--|---⌫-|-|
lachose quisim al m e	-|----|--|-|-⌫-|-⌫|
et demoiestce queieuuei l	-|-|--|--|-|--|-|----⌫|
e t nesa iporq oi	-⌫|-|--⌫|--|-⌫-|
ie meduei l	-|-|----⌫|
etqua ntieaice que demant	-|---⌫-|-|-|-|--|-----|
por qoinef az ie	--|--|-|-⌫-|-|
ne sai quii aim	-|--|--||--|
etce quei aim simai m eassez	-|-|--||--|-||--⌫-⌫|----|
pasenm eillor	--|-|-⌫-----|
enpoonsprendreconroi	-|----|------|-----|
ienenpuis mesiesui tozseus	-||-|---|--|-|--|--|---|
etce stamorne s tpas dedieus	-|--⌫-|---||-⌫-⌫|--|-|----|
e tsimemain ea	-⌫|-|-|----⌫||
grant dang ier	----|----⌫--|
etsinefinede	-|-|-|---|-|
lasieme plai ng	--|-|-|----⌫-|
eti l ne m	-|-⌫|-||
parent q u eiaienenset mot	-----|-⌫-⌫||--||-|--|--|
quesont o r e tuitdeue nu	--|---|-⌫-⌫|---|----⌫-|
micompaignonil m	-|---------|-||
det outegentsuiesloingniez	-|-⌫---|---|--|----------|
eten cestbois tozseus lessiez	-|-|---|---|--|---|------|
ie cu it q uetoute	-|--⌫-|-⌫-|----|
rien sme het	----⌫|-|--|
mereporqoi nelset	---|--|--|-||--|
simeuenistpl ain dreetplorer	-|-|-----|--⌫---⌫--|-|-----|
auq uesmepeust con forter	---⌫--|-|----|---⌫-----|
lasdont nemanusreg ardé	--|---|-|||--|---⌫----|
qui pla ing nemoinemabiaute	--|---⌫---⌫-|--|-|-|-----|
pardieusifistui ausl apucele	--|---|-|---|--⌫--|-⌫|-----|
queietrouaiier main	--|-|-----|--|---|
qu i s ec lamoitc heti uelasse	--⌫|-⌫|-⌫-----|-⌫----⌫-|----|
etm epri oitqueiel amaisse	-|-⌫|---⌫--|--|-||------|
or m epuis	-|-⌫|---|
ie chetif clamer	-|-----|-----|
qua nton quesne	---⌫-|--⌫---|-|
lauoil amer	-|---|---|
ahi dieusco mparsui	--|----|--⌫|--|--|
et degrant uilonieplains	-|-|----|------|-----|
comp ars uidur et	--|-⌫-|-⌫-|--|-|
demale aire	-|---|---|
quantel neme	----|-|-|-|
po tonq uesplaire	--⌫|---⌫--|-----|
deu roi t mesaueni r	---⌫---⌫|--------⌫|
quantonques nel a uoiloir	----|-----|-|-⌫|---|--|
biaussiredieusquaruenist ore	----|---|----|---|-----|--|
espoirmestiermaur o itencore	-----|------||---⌫-⌫-|-----|
plusq u eperefrere	---|-⌫-⌫|---|----|
tornermoncuer	-----|--|---|
apoiermoncorage	-----|--|-----|
abessaisse cest erage	---------|----⌫|---|
quea mors masi e scha ufé	--|-⌫---|||-|-⌫----⌫---|
amermestuetoutremon gre	---||-----|----|--|--|
dieussoruenoit par au enture	----||-|-----|--|--⌫-----|
ia po rroitestrebienseu re	-|--⌫----|----|---|---⌫-|
s oiteu st	-⌫--|--⌫-|
et si mostas t degra nt dolor	-|-||-----⌫|-|---⌫-|----|
s epl aint etilse blas me	-⌫|--⌫---|-|-|-|----⌫-|
lecuerlin uit et il	-|---|-|-⌫--|-|-|
pa role perdue	--⌫---|-----|
oeurelesieussi aueue	----|--|---|-||---|
lapucelepar	-|-----|--|
quimol t otsouffert gr ant anui	--|---⌫|-|-------|--⌫--|---|
