unemaniere de gents ont	--|------|-|---|-⌫--|
i luecotplore ́ma intele rme	-⌫---|-|-----⌫|--⌫---|--⌫--|
etsi oipren drele term e	-|-|-|----⌫--|-|----⌫|
du rassambl eriluec	-|--------⌫-|----|
licheua liersentelm an iere	-|-----⌫----|-|--|-⌫--⌫---|
sen partetladam e	|-|---|-|-|---⌫|
l u is clot	|-⌫-|---|
mestantcomme	--|---|----|
ueoirle pot	----|-|--|
le conu oiaase s biausiex	-|----⌫--||--⌫|----|--|
quantel e nepot ferem i ex	----|--⌫|-|--|---|-⌫-⌫-|
quant lidusui t clorrel uisset	----|-|--|--⌫|-----||-----|
tantost a la uoiese m et	------||-|---|-|-⌫-|
tantquelecheualierat aint	---|--|-|--------|--⌫---|
quia soimei s mese plai nt	--||--|---⌫-⌫-|-|----⌫-|
d el anui tsi comme	-⌫|-⌫|---⌫|-|----|
tropliauoitdurépetit	---|-|----|----|----|
ettelpenssee	-|--|------|
etauteldi z	-|----|--⌫|
ot celedonti l ert pa rtiz	-|---|---|-⌫|--|--⌫---|
acuiilsamblep orla	|--|-|-----|-⌫-|-|
qu e f ail lia ita	--⌫|-⌫---⌫-|-⌫-||
sondedui t	--|-----⌫|
nese loe poin t	-|-|--|----⌫|
lic heualiersert	-|-⌫--------|--|
entel point	-|--|----|
pensseeetd eparole	------|-|-⌫|-----|
quantlidusl ataint sil acole	----|-|--||-----|-||----|
afet ioie mout g rant	|--|---|---|-⌫---|
puisli adit ieuo us creant	---|-||--|-|--⌫-|-----|
q uetoz iorsmesu ous am era i	-⌫-|--|---|--|-⌫--|--⌫---⌫|
n e ia mesior neu ous harrai	-⌫|-|--|--|-|-⌫--|-----|
qu ar uousmauezde	--⌫-|---||---|-|
toutuoir dit	---|---|--|
et ne mauezd emot me ntit	-|-||---|-⌫|--|--⌫---|
siref etciluostre mer c i	---|-⌫-|--|-----|---⌫-⌫|
mespordieu uous	--|--|---|---|
requieret pri	------|-|--|
quecestconse ilcel eruous	--|---|-----⌫-|---⌫-|---|
quamorperdr oie etioie	-|---|-----⌫--|-|---|
etmo rroiesanznulefaute	-|--⌫----|---|---|----|
se ies auoie	-|-|-⌫----|
q ue nulautre	-⌫-|--|----|
icesa uroit fo rs	--|--⌫----|--⌫-|
uoussanz plus	---|---|---|
ornenparleziafetli	-||-|-----|-|--|-|
sachiezquilertsibience lé	------|-|-|--|-|---|--⌫--|
queiapar moi n	--|-|--|--||
enert parle ́	-|--|-----⌫|
ainsi sensont	----||-|---|
parlant uenu	------|---|
lado ntilestoi e nt	-|--⌫-|-|-----⌫-⌫-|
et celiorquant uintaumenger	-|--|--|----|---|-|-----|
dusauch eualier	--|-|--⌫------|
plusbiausamblant quainz nauoit	---|---|-------|-|---||----|
corouzettel de sha it	-----|-|--|--⌫---⌫-|
enotladuchoise sanzfable	-|-|-|-------|---|----|
qu elesele u a	-|--|-|--⌫-⌫|
delatab le	-|-|---⌫-|
et afetsamblantp arfainti se	-||--|-------|-⌫-|------⌫-|
q uemala dielisoi t prise	-⌫-|----⌫--|-|---⌫|----|
e t li dusq uantil	-⌫|-|--|-⌫---|-|
e tbienfestoié	-⌫|---|-------|
est t antost alezueo ir	--|-⌫-----|---|---⌫-|
e tlafistsussonlit	-⌫|-|---|--|--|--|
etacommandé	-||--------|
neremaingneleenz	-|--------|----|
lenfetta ntos t cequi l commande	--|--|--⌫----⌫|-|-|-⌫|-------|
etliduserr ant	-|-|--|---⌫--|
commentci stmausli	------|--⌫-|---|-|
etq u eceest qu ele a eu	-|-⌫-⌫|-|--|-|--||-|
ele re spont s e diex megart	--|--⌫----|-⌫|---|-|---|
ie nem e ndon oierega rt	-|-||-⌫|---⌫--|----⌫-|
orainsquantau men germassis	-----|----|-|---⌫--||----|
quegreignorsen set	--|-------|---⌫|-|
plusd amis	---||---|
en uo usqueien i	-|--⌫-|--|-|||
quantuousten ezp lus cherc elui	----|---|---⌫-|-⌫--|---|-⌫---|
queieuousai ditq uiporc h ac e	--|-|---|-|--|-⌫-|----⌫-⌫--⌫|
qu il amoi ho nteet despitfa ce	-|-||--|--⌫--|-|-----|--⌫-|
e tquant uique plus	-⌫|----|-|--|---|
biausamblant	---|-------|
l e feistes plusqu edeuant	-⌫|------|---|--⌫|-----|
dueletsi g rantire oi	---|-|-|-⌫---|--|-|
quiluequesde morernepoi	-|-------|--⌫----|-|--|
hafet lidusmado uce ami e	-|--|-|--|-|--⌫--|---⌫|
sachiez ie	------|-|
nencroir oie	|-|-----⌫--|
ne uousneaut re creature	-|---|-|---⌫-|-------|
queonq ues pornuleauentu re	--|---⌫--|--|---|------⌫-|
auenistceque u oustmedites	------|-|--|-⌫---|-|----|
a inzs a ibie nqui lenest	-⌫--|-⌫-⌫|---⌫|-|-⌫|-|--|
tozqu ites	--|--⌫---|
nonquesnepenssadece	|-----|-|-----|-|-|
tantaiaprisdeson	---|-|----|-|--|
sinem enenqu ereziaplu s	-|-||-|----⌫---|-|---⌫|
atantsepartd ilu ec lidus	----|-|---||---⌫-|-|--|
etele remestmoutpens siue	-|--|-----|---|----⌫---|
queia mesio r	--|-|--|--⌫|
queeleuiu e	--|--|---⌫|
uneeurea aise ne	--|---||---|-|
de uantque	--⌫---|--|
plusaprisaura	---|----|---|
de cequ e lid usli d esfent	-|-|--⌫|-|-⌫-|-|-⌫-----|
quelenelidemantnoient	-|--|-|-|-----|-----|
que ian el entendradesfensse	--|-|-⌫||-|-----|--------|
q uarens oncuerenginporpens se	-⌫--|-|-⌫-|---|----|-------⌫-|
quelelep orra	-|--|-|-⌫---|
biensauoir	---|-----|
se lel esueffr eiusq uausoir	|-⌫-|-⌫|------⌫|----⌫|-|---|
aitl e duc ent reses	--|-⌫|--|---⌫-|--|
quee le set bientel solaz	--|-⌫-|--|---|--|----|
enf eracene d out	-|-⌫--|-|-|-⌫--|
miex sonuoloirqu	---|--|-----|-|
p o rceadoncata n ts etint	-⌫-⌫|-|----|---⌫-⌫|-⌫|---|
etqua ntlidus couchier	-|---⌫-|-|--|-------|
du litsesttraite	-|--||--|-----|
sam blantf e tquepoin tnelihaite	---⌫----|-⌫-⌫|--|----⌫|-|-|----|
quelidus o li ges i rdoi e	--|-|--||-|---⌫-⌫|---⌫|
que lesetbience est la	-|-⌫-|--|---|-|--|-|
deson mari metreaudesouz	-|--|---|----|-|-----|
parferesamblantdecorouz	--|---|-------|-|-----|
p orce setinten	-⌫-|-|-|---|-|
queelemi exledu catise	--|--|--⌫-|-|--⌫|----|
acroireque mo ut soit irie	|-----|--|--⌫-|---|---|
p orcesanz plusq u	-⌫-|-|---|---|-⌫|
ill abesie	-|||----|
lidi st elemoutestesfa u s	-|--⌫-|--|---|----|--⌫-⌫|
ettr ichierresetdesloiaus	-|--⌫--------|-|--------|
q ui moi moustrezsamblantd amor	-⌫-|--|-------|-------||---|
n onquesnemamaste snulio r	|-----|-||------⌫|--|--⌫|
eti ai es t él onctenssifole	-||-|--⌫-⌫-|-⌫--|---|-|---|
ai creuuost reparole	-|---|----⌫-|-----|
que souentes foizme	--|-------|---|-|
que decuerloial	--|-|---|----|
mens ui aperceue	|-|-⌫-|-------|
queiena iestédec eue	--||-|-⌫|----|---⌫--|
etlidusdist	-|-|--|---|
etuo u saqo i	-|--⌫-⌫||--⌫|
iamedeistes	-|-|------|
fetceleq ui amal ibee	--|---|-⌫-||--||--|
fussesi osee	----|-|---|
uousenqueisserien	---|--------|---|
qu eo rsauezuou sbie n	--⌫|-⌫|----|---⌫|---⌫|
deqoisuersaue zuousporde	-|--|---|----⌫|---|--|-|
d ecequ ecilu ou s	-⌫|-|--⌫|--|-⌫--⌫|
feteleme ncon g eet	--|--|--⌫----⌫-⌫|-|
quil uousafe tpensseret croire	-|-|---||--⌫|------|-|-----|
sauoir neme	-----|-|-|
queiai pensséquepetit uaut	--||-|------|--|----|---|
en uousamerde cuerlo ial	-|---|---|-|---|--⌫--|
queconquesfustou	--||-----|---|-|
bienou mal	---|-|--|
mes cuersriens	--|----|----|
neuitn enesot	-|--|-⌫|-|--|
quenese ussiez au s itost	--|-|--⌫-----|--⌫-⌫|---|
uoiqueuou sme	--|--|---⌫|-|
u os t remerc ile suozpenssez	-⌫--⌫-⌫-|----⌫|--⌫|--|------|
sisachiezore	-|------|--|
sanzdoutance	---|-------|
que ia mesn aurai	--|-|--||----|
te lf iance	--⌫|-⌫----|
enu ous ne cuerde telmani ere	-|-⌫--|-|---|-|--|----⌫--|
comiai euca en	--||-|-|-|-|
lors a co mmencié aplor er	---||--⌫-------||----⌫-|
ladu cho isee t asouspirer	-|--⌫---⌫--|-⌫||--------|
et sesforca plusqu ele	-||------|---|-|--|
telpi t ie en	--|--⌫-⌫-|-|
quillia d it mabe l esuer	-|-|-||-⌫-|-|--⌫-⌫|---|
ienesoufferr oie	-|-|--------⌫--|
anul fue r	|--|---⌫|
ne uostrecorouzn euostre	-|-----|-----|-⌫|-----|
me ssachiezie	--⌫|------|-|
n e uueil pasdire	-⌫|----|--|---|
ce q ueuolez	-|-⌫-|----|
que ieuous die	--|-|---|--|
sanz feretropgrantu ilonie	---|---|---|----|-⌫-----|
eler e spontisnellepas	--|-⌫-⌫----|---------|
sir e si nem endites pas	---⌫|-|-||-|----|--|
qu ar ieuoibi enace l samblant	--⌫-|-|--|--⌫-||--⌫|-------|
q u enmoi neuousfiezpas tant	-⌫|-|--|-|---|---|--|---|
q u ec elaiss e uos trec o nseil	-⌫-⌫|-⌫------⌫|---⌫--|-⌫-⌫----|
etsachiez quemout	-|------|--|---|
memerue il	-|-----⌫-|
a in c noist es g rant	-⌫--⌫||----⌫-|-⌫---|
consei l queuou sm eus siezdi t	------⌫|--|---⌫||---⌫---|--⌫|
dontde s c ouuer sfussiezparmoi	---|--⌫-⌫-⌫-----⌫|------|--|--|
e t siuous dienbone foi	-⌫|-|---|-|-|---|--|
iaenmauie nauendra	-|-|-|--||------|
quant ce otditsir eplora	----|-|-|--|-|-⌫-----|
et lidus si lac olee t	-|-|--|-||--⌫--|-⌫|
e testdesoncueramale se	-⌫|--|-|--|---||----⌫-|
siqueplusnesepo ttenir	-|--|---|-|-|--⌫|----|
uolente descouurir	------|---------|
puisseliaditbele dame	---|-|-||--|---|---|
que face pa rmame	--|---|--⌫||--|
quetantmafi e n uous	--|---||--|-⌫|---|
quechosecelern e uousdoi	--|----|----|-⌫|---|--|
mi enscuerssacheneot	--⌫--|----|----|-|-|
mes ieuous prin enp arlezmot	--|-|---|--||-|-⌫----|--|
sachiezetitant	------|-|----|
uous en di	---|-|-|
ie suip aruoustrahi	-|--|-⌫-|---|----|
uousenreceue r ez	---|-|------⌫-⌫-|
eteledistbien miacort	-|--|---|---|||----|
estre ne porroitquefei sse	----|-|------|--|---⌫--|
chosedontuersuous mesp reisse	----|---|---|---|----⌫-----|
aime porce	---|--|-|
etcuide que	-|----|--|
ue r itez soit	--⌫-⌫---|---|
de ce q ue lidist puis licont e	-|-|-⌫-|-|---|---|-|----⌫|
desaniecetrestoutle conte	-|-|----|-------|-|----|
commeapris	----|----|
l ot ducheual ie r	|-|-|------⌫--⌫|
etcommentilfueluergier	-|------|-|-|-|------|
enlangle t ouiln	-||-----⌫|-|-||
quantlichiene s	----|-|------⌫|
sen uintaeu s	|-|---||--⌫|
etdelis sue et del entree	-|-||--⌫--|-|-||-----|
ueritecontee	-----|-----|
siquilneli a riensteu	-|-|-|-|-||----|--|
quilaitoine	-|-|--|-|-|
et q uan t laduch o isel enten t	-|-⌫---⌫|-|----⌫-⌫--||-----⌫|
qu e cil ai me	--⌫|--|--⌫-|
plusbassement	---|--------|
quides amorl aesc o ndite	--|-||---|||---⌫-⌫----|
mor tese tientetadespite	---⌫-|-|----|-||------|
m esa inc de ce samblant	-⌫-|-⌫--|-|-|-------|
aincoi s otroia et	------⌫|-----|-|
auducas icelerce steoeure	-|--||-⌫|----|--⌫--|----|
quese cestqu ele	--|-||--|-|--|
le descueure	-|--------|
qui illapende a une	--|-|-|----||--|
etse li est ilia	-|-|-|--|-|-|
m out tart	-⌫--|---|
daceliparler	||---|-----|
quele he t	-|--|--⌫|
des i cele eurequeles et	--|-⌫---|---|-|--|-⌫-|
que elee st amieacelui	--|--|-⌫-|---||----|
qui lifet et ho nte etanui	--|-|--|-|--⌫--|-|---|
pori tantceli	--|-⌫---|-|-|
quil neuo utest re sesamis	-|-|-|--⌫-|---⌫-|--|---|
si afferm e to utson	-|------⌫|--⌫-|--|
uo it nelieune tens	--⌫-|-|---|-|---|
quala ni ece l e duc	-||-|--⌫--|-⌫|--|
qu e lelidira	-|-⌫-|-|---|
nece leratel	-|--⌫---|--|
oufelon ieaura enclose	-|-----⌫-|---|------|
mesaincenpoint nen li eunen	--|---|-|----||-|--⌫-||-|
tantquela penteco us te	---|--|-|-------⌫--⌫-|
quiapresfua lapr emiere	--|----|-||-|--⌫-----|
que li du stint cort	--|-|--⌫|---|---|
m outpleniere	-⌫--|-------|
il enuoiapar tou tquerre	-|-----|---⌫---⌫|-----|
toutesle sdamesde	-----|--⌫|----|-|
n ie ce toutpremerain e	-⌫--⌫-|---|---------⌫|
uergiertchastelai ne	----|--|---------⌫-|
etqua ntladucho isela	-|---⌫-|-|-----⌫--|-|
tant ost toz	----⌫--|--|
lisans li fre mi st	-|---|-|---⌫--⌫-|
delmon tque plushet	--|---⌫|--|---|--|
m es son corage cel e rset	-⌫-|--|-----|---⌫-⌫|--|
fetplusbel atr et	--|---|--|---⌫-|
conque sdeuan tne liotf et	|-----⌫|-----⌫|-|-|-|-⌫-|
otgranttalentdedire	-|----|-----|-|---|
cedontele ot aucuer grantire	-|---|--|-|-|---|----|--|
et lademe uremou tl icouste	-|-|----⌫--|---⌫|-⌫|-----|
iordepente cou ste	--|-|-----⌫---⌫--|
quant les tablesfu rent o stees	----|--|-----|--⌫---|-⌫----|
en al aduchoisemenees	-||-⌫|-------|-----|
les damesensachambreo soi	--|----|-|-|------||--|
porelespar er	--|---|---⌫-|
por uenircoi ntes	--|----|---⌫---|
aus carole s	--|------⌫|
lo rs nepotgard ersesparoles	--⌫-|-|--|----⌫-|--|------|
laduc ho i s equiu itso n	-|---⌫--⌫-⌫-⌫|--|-⌫-|--⌫|
ainz distausicomme pargeu	---|---|---|----|--|--|
ch as tel ainesoiez biencointe	--⌫--⌫---⌫---|----|---|-----|
quarbeletpreuauezacointe	---|--|-|---|---|------|
etceler esp ontsimplem ent	-|---|-⌫---⌫--|-------⌫--|
ie nesai qu elacoint ement	-|-|--|--⌫-|------⌫----|
u ouspe nssezmadameporuoir	-⌫--|--⌫----|-|---|--|---|
q uetalentnai	-⌫-|-----||-|
d am iauoir	|--⌫|----|
qui ne soi tdel	--|-|---⌫|--|
etde moietdemonseig n or	-|-|--|-|-|--|----⌫-⌫-|
ielot r oi	-||--⌫-⌫-|
bi e ndi st laduc hess e	--⌫-⌫|--⌫-|-|---⌫----⌫|
mesuous este sbonemestresse	--|---|----⌫|---|--------|
quiauezap risle mestier	--|---|--⌫--|-|------|
dupetitchienet	-|----|------|
les damesont o ile c onte	--|----|--|-⌫|-|-⌫---|
mes neseuentaqoi cemonte	--|-|-----||--|-|----|
ol a duchoise	|-⌫|-------|
aus carol esquefetes	--|-----⌫-|--|----|
etlacha stelaine remaint	-|-|---⌫-------|------|
litr ouble direettaint	-|--⌫----||--|-|----|
et li m ue trestozeluentre	-|-|-⌫-|------|-|-----|
dedenzunega rderobeentre	-----|--|--⌫------|----|
o u unep u celeteesto it	-⌫|--|-⌫-⌫-----|----⌫-|
quiaus piezdul it	--|--|---|-|-⌫-|
m esel enelapotueoi r	-⌫-|--⌫|-|-|--|----⌫|
ellit sest lessiecheoir	-|--||--|-----|-----|
lachas telainemoutd olente	-|----⌫------|---|-⌫-----|
iluec se p laint	----|-|-⌫----|
etse gai m ente	-|-|---⌫-⌫---|
etdistha si rediex merci	-|---|-|--⌫-|---|----|
estrequei ai	----|--||-|
que m ad ame	--|-⌫|-⌫--|
m afet regr et	||--|----⌫-|
quei aia fetiémonchienet	--||-|-⌫-----|--|------|
setelepar nul ui	--|--|--|---⌫-|
ces ai iebienfors parcelui	-|-⌫-|-|---|---|--|----|
a moieet tra hiema	-⌫---|-|---⌫--|||
nec ene li	-|-⌫|-|-|
dei s tili a	---⌫-⌫|-|-⌫|
salineust gra nt acoi ntanc e	||-||---|---⌫-|----⌫-----⌫|
sa nzdoutance	--⌫-|-------|
plusquemoiquiilatrah ie	---|--|--|--|-||----⌫-|
bienuoiqueil	---|--|--|-|
nem a i memi e	-||-⌫-⌫-|--⌫|
de cou uenant	-|---⌫-----|
do uzdiex etie	--⌫-|---|-|-|
lamo ietant	|---⌫-|---|
com me riens peust autream er	---⌫-|----|----|----|--⌫-|
qu aillo rsne pooiep ensser	-|-----⌫-|-|----|-⌫-----|
ni s uneeureneiorn e	--⌫|--|---|-|--|-⌫|
q uarcer tmaioi e	-⌫--||--⌫|-|---⌫|
e tmondedu it	-⌫|--|----⌫-|
certmesdeliscert	|--|--|----||--|
mesd epo rs	--|-⌫---⌫-|
certmessolazc ert	|--|--|----||--|
mesco nfors	--|--⌫----|
comment aluimeconten oie	------||--|-|------⌫--|
depensse rqu antienelueo ie	-|------⌫|--⌫--|-|-||---⌫-|
ha amisdontestceuenu	-|---|---|--|-|---|
que poe ze stre deuen u	--|---⌫|-⌫---|-----⌫|
m oi a uezeste ́ faus	-⌫-|-⌫--|----⌫|---|
iecu id o ie quepl us loiau s	-|--⌫--⌫-⌫-|--|--⌫-|-----⌫|
mefussie zse diex m ec onseut	-|------⌫|-|---|-⌫|-⌫-----|
quenefu tr istans ays eut	--|-|-|--⌫-----||--⌫--|
plusuousamoie lamoitie	---|---|----|-|-----|
s ediexaitde moipitie	-⌫|---|--|-|--|----|
que nefeso iemoimeismes	--|-|----⌫-|--|------|
onqu es auant	----⌫-|----|
enpens se nendit	-|----⌫-||-|--|
nefisnepoi ne	-|--|-|--|-|
gra n t m esfet	---⌫-⌫|-⌫----|
deussiez hair	-------|---|
ne siuilaineme nttrahir	-|-|---------⌫-|-----|
commeanozamors d epec ier	----||--|----|-⌫----⌫--|
p orautream eretmoi lessier	-⌫-|----|--⌫-|-|--|------|
etdescouur i rnos tre conseil	-|--------⌫-⌫|---⌫--|------|
helasse ami s	-|----|---⌫|
moutmem e rueil	---|-|-⌫-⌫----|
qu elimienscuerss i	--⌫|-|----|----|-⌫|
m aitdi ex	|--|--⌫-|
nefuonquesuers uous itiex	-|-|-----|---|---|----|
qu a rsetout lemontet	--⌫-⌫|-|---|-|---|-|
toutsoncieletson para di s	---|--|---|-|--|----⌫--⌫|
medonastdiexpasne l	-|-----|---|--|-||
parcou uenan t que	--|---⌫-----⌫|--|
uouspe rdisse	---|--⌫-----|
quar uou sestiiez m a richece	---|---⌫|------|-⌫|------|
etmasa ntezetma leece	-|-|--⌫---|-|-|----|
nerien s greuerne	-|----⌫|-----|-|
ta ntcomme	--⌫-|----|
mesl ascuers s eust	--|-⌫-|----|-⌫---|
uostre sderie nsmamast	------⌫|-|---⌫-||----|
hafineamoretq uipens sast	-|---|---|-|-⌫-|----⌫---|
quecistfeist uersmoidesroi	--|---|----|---|--|-----|
quidisoitquantilert omoi	--|-----|----|-|--||--|
etiefesoiem onpooir	-|-|-----|-⌫-|----|
de fer e trestoutsonuo loir	-|---⌫|-------|--|--⌫---|
quilerttoz m iens e tasa	-|-|--|--|-⌫---|-⌫||-|
mete noitetde co rsetd ame	-|--⌫---|-|-|--⌫-|-||--|
etledisoitsidoucement	-|-|-----|-|--------|
que lecreoi e	--|-|-----⌫|
neienep enssaissea nu l	-|-|-|-⌫--------||--⌫|
quilpeusttrouer en	-|-|----|-----|-|
enuersmoi corou z nehai ne	-----|--|-----⌫|-|---⌫-|
porduchoisene porro ine	--|-------|-|--|--⌫--|
q ual ui amerestoit	-⌫||-⌫-|---|-----|
quamon cuerp renoiele	-||--|---|-⌫-----|-|
deluimepe nss oieautr essi	-|--|-|--⌫---⌫--|----⌫---|
ten oitamonami	---⌫--||--|--|
toutesa ui eet	----|-|--⌫|-|
quarbiencon noisen	---|---|---⌫---|-|
saua ntm orust	|---⌫-|-⌫----|
quetantlamais s e	--|---||-----⌫-⌫|
luipetitduraisse	--|----|-------|
est remorte oluimef ustm iex	---⌫-|----||--|-|-⌫--|-⌫--|
queuiure si	--|----|-|
neleueissenul efoiz	-|-|-----|---⌫|---|
hafineamorest cedoncdroiz	-|---|---|--|-|---|----|
que ilaainsidescouuert	--|-||----|---------|
nostre con seildon til	-----|---⌫---|---⌫|-|
qu a mamor otroier li	-|||---|------|-|
et bien e ncouuenant	-|---|-⌫|--------|
celeeureme perdr oit	---|---|-|-----⌫--|
quenostreamor descou uerroit	--|-----|---|------⌫------|
et quantiai	-|----||-|
aua ntperdului	---⌫-|----|--|
apres itel anu i	----|---|---⌫|
quesanzluipor quiiemedue il	--|---|--|--|--|-|-|---⌫-|
n epuis uiur e ne	-⌫|---|----⌫|-|
i eneu ueil	-⌫|-|-⌫---|
ne ma uieneme	-|-|--|-|-|
plest point	----|----|
ainzpr i dieuqu elamortm edo i nst	---|--⌫|---|--⌫|-|---|-⌫|--⌫-⌫--|
et quetoutausiu raiement	-|--|---|---|-⌫-------|
comieaiaméleaument	--|-|-|---|-------|
c elui quicemaporchacié	-⌫---|--|-|||---------|
a med e moi pitie	-⌫-|-⌫|--|----|
et a celui qui	-||----|--|
m a t rahieetliureeamort	||-⌫----|-|-----||---|
doinsthono r et ie	-----|----⌫|-|-|
nema mortn estsedoucenon	-|-|---||--|-|----|--|
cem est aui squ ant delui u ient	-||--|---⌫|--⌫--|-|--|-⌫---|
etquantdesamormesoui en t	-|----|-||---|-|----⌫--⌫|
por lu imori r ne mest	--|--⌫|----⌫|-||--|
atantsetutla	----|-|--|-|
chastel aine	-------⌫---|
fors que le di st ensous pir ant	---|-|-⌫-|--⌫-|-|----⌫---⌫--|
adieuuous commant	|---|---|------|
a cest mot	|---|--|
deses brazs	-|--|---||
licuer sl i fautli uislitai nt	-|----⌫|-⌫|---|-|--|-|---⌫-|
angoisseuse mentse st pasmee	-----------⌫---||-⌫-|-----|
e tgistp alee td e s coloree	-⌫|---|-⌫--|-⌫|-⌫-⌫-⌫------|
enmilelitmor tesanz uie	---|-|--|---⌫-|---|--|
messesam is nele se tmie	--|--|--⌫-|-|-|--⌫|--|
quis e de duisoit enlasal e	--|-⌫|--⌫------|-|-|---⌫|
a lacaroleet d ansse	|-|-----|-|-⌫----|
mesne liplestriens quili	--|-|-|----|----|-|-||
qu a nt celea cui son cue rs otroie	--⌫-⌫-|---||--|--|---⌫||-----|
niuoit pointd o ntmoutsemerue ille	||---|----|-⌫-⌫-|---|-|-----⌫---|
si adit a uducen loreille	-||--|-⌫|--|-||------|
sire questce	---|-|--|-|
queuost re niece	--|----⌫-|----|
es tdem orees igrantpiece	--⌫|---⌫---|-⌫|----|----|
quenes t a u s ca role su enue	--||--⌫|-⌫-⌫|--⌫----⌫|-⌫---|
mise enmue	---|-|--|
et lidus lacarole esgarde	-|-|--|-|-----|------|
qui de cene s es toitprisgarde	--|-|-|-||--⌫---|---|----|
celuiaso i par lam aintrait	----||--⌫|--|-|-⌫--|----|
et droitenlachambresen	-|----|-|-|------||-|
etquantilueq uesnela tru eue	-|----|-----⌫--|-|-|---⌫--|
aucheualie rcomma ndeet	-|--------⌫|-----⌫--|-|
quenlagarderob elaquiere	-|-|-|--------⌫|-|-----|
quarilleueuten	---|-|-|---|-|
tel manie re	--|-----⌫-|
entr eus solac ier	---|--|-----⌫--|
c om dac oleretde	-⌫-||--⌫---|-|-|
etcilquili	-|--|--|-|
este nlagardero be ent rez	--|-⌫|-|-------⌫-|---⌫--|
ousamiegisoitenuerse	-||---|-----|------|
desc oloreeetperse	----⌫-----|-|----|
c ilmaint enant l acole etbaise	-⌫-|-----⌫----||----|-|----|
quibienenot etli eu etaise	--|---|-|-|-|--⌫-|-|---|
me slabouc hea trouee froide	--⌫|-|----⌫-||-----|-----|
etpartout bienpaleetbienroi de	-|------|---|---|-|---|---⌫-|
s amblantqueli cors moustre	-⌫------|--|-|---|------|
uoit bienqueleestmortetoutou tre	---|---|-|--|--|----|---|--⌫--|
ta ntost t ozesbahizs	--⌫----|-⌫-|------||
cela s estmortemamie	-|--⌫|--|----||---|
etla pucele sail lisu s	-|-|-----|----⌫-|--⌫|
quiauspie zdulit g isoitius	--|--|---⌫|-|--|-⌫----|--|
et distsirececroii ebien	-|---|---|-|---|-⌫|---|
queles oitmor te qu autre rien	-|--|-⌫--|---⌫-|-|----|---|
n edemanda	-⌫|------|
puisqueuint	------|---|
fors l ecorouzd eso n ami	---|-⌫|-----|-⌫|--⌫|--|
dontma da mela taina	---|-|--⌫-||-⌫----|
e t dunchi e netlaramposna	-⌫||-|---⌫-⌫--|-|-------|
d ontlicor ouz liuintmo rteus	-⌫--|-|---⌫--|-|---|--⌫----|
et quant cilenten t	-|----|--|-----⌫|
lesmo s teus	--|--⌫|---|
q uece quildist auducla	-⌫-|-|-|-|---|-|--|||
sa nzmesu re se	--⌫-|----⌫-|-|
desc o n f orte	----⌫-⌫-⌫-⌫---|
distilma do uce	---|-|-|--⌫--|
l apl uscortoi seetl a meillor	-⌫|--⌫-|------⌫-|-|-⌫|------|
con quesfus tetla	|--⌫---|---⌫|-|-|
comme trichierres de sloi al	----|----------|--⌫----⌫-|
uousaimort esifust	---|-|----⌫|-|---|
que sormoitornastl au ent u re	--|--|--|------||--⌫---⌫-⌫-|
siq ueuous n eneussiez mal	-|-⌫-|---||-|------|--|
mescuerauiezsi loi al	--|---|----|-|---⌫-|
quesor uousl	--|--|---||
au ezauan tprise	--⌫-|----⌫|----|
mesieferai demoi iusti se	--|-|----|-|--|-----⌫-|
porla trahisonquei aifete	--|-|-------|--||-|---|
une xxfduf uerreatre te	--|--|-|-⌫----||---⌫-|
quiert pen due azz	--|--|---⌫--||-|
etsen feri	-||-|---|
parmi lecuer	----|-|---|
cheoirselest	-----|-|---|
sor lautrecors	--||----|---|
tantasai nié queil est mors	---||---⌫---|--|-|--|---|
etlapucele	-|-|-----|
est ho rssai llie	--|--⌫-|---⌫---|
quant ele ui tles cors san zuie	----|--|--⌫|--|---|---⌫|--|
hidorotd ece	----|-|-⌫|-|
auducquele	-|--|-|--|
encontraa dit	-------||--|
cequelea oi etue u	-|-|--||-|-|--⌫|
elen i ariensteu	--||||----|--|
commentlafereertc omme n cié	------||----|--|-⌫----⌫-⌫---|
neis duchieneta fet ié	---|-|------|-⌫---⌫--|
don tla duchois ea uoitp arlé	---⌫|-|-------⌫|-⌫---|-⌫----|
ezuo us le duca donc derue	-|--⌫-|-|--|-⌫---|----|
toutmainte na ntenlachambr e entre	---|------⌫--⌫-|-|-|------⌫|----|
a u cheualiertrest f ors	-⌫|--------|----|-⌫--|
les peed ont sestoi toci s	|--⌫--|-⌫--||-----⌫|---⌫|
tantostsestala	------||--||-|
gra nto ir redroitala carole	---⌫-|-⌫--⌫-|----||-|-----|
sanzplusten ir longue parol e	---|---|---⌫-|-----|-----⌫|
de maintenantalad uchess e	-|---------||-|-⌫------⌫|
rendusa promesse	----|-|-------|
quee lchiefli aembatue	--|-⌫|----|-||------|
l espe eque	|----⌫|--|
iltenoit nue	-|-----|--|
sa nzpa rler t antestoitiriez	--⌫-|--⌫---|-⌫--|-----|----|
laduch oisechietasespie z	-|----⌫---|----||--|---⌫|
uoianttozceusd el a contree	-----|--|---|-⌫|-⌫|------|
don cfulafestemout	---⌫|-|-|----|---|
de s cheualie rsquilaestoie nt	--⌫|--------⌫-|--|-|------⌫-|
io iemenee	--⌫-|----|
etli dust res toutausi tost	-|-|--|-⌫---⌫---|---|---|
