apresce quemestres gautiersma pot	----|-|--|------|-------|--⌫|-|
il estoit unsch eua liersestranges	-|-----|--|--⌫---⌫----|--------|
roiaumedelogre sme sonquesson	------|-|-----⌫|--⌫|-----|--|
non n eliuo lt dir eneplusne	--|-⌫|-|--⌫-|---⌫|-|---|-|
l idescouuride so n estreme sil li distqu	-⌫|--------|-|--⌫|----|--⌫|-|-|---|-|
iliro it a lassembleeawin cestreet	-|---⌫-|||--------||---⌫-----|-|
quepo rceestoitil uenuzcelep art.	--|--⌫|-|-----|-|----|---|-⌫--||
s i refe t	-⌫-⌫-|--⌫|
li che ualiers	-|---⌫------|
bienu os e stauen ucar	---|-⌫-|-⌫-|----⌫|--|
autresi i uouloiege aler	------||------|-|---|
or mouurons	-|-------|
ensemble sifera liunsa lautrecompaignie	-------|-|---|-|--|||----|---------|
sirefe tlancel os ie necheuauche roie	---|--⌫|------⌫-|-|-|---------⌫---|
ior zcarlachaleurdeliorme	---⌫|--|-|------|--|--|-|
fetmalmesseuos	--|--|--|-|--|
u oliezatendre iusq u	-⌫----|------|----⌫|
au soir ieuosferoi ecompaigniened euantla	-|---|-|--|-----⌫|---------|-|-⌫----|-|
che uaucheroie geen nule maniere.	---⌫---------|-|-|---|------||
sirefetlicheualiers uos mesemblezs ipreudom	---|--|-|---------|--|-|------|-⌫|------|
que genfera iquanq ueuosuoudroiz	--||-|----⌫|-----⌫-|--|-------|
side mo r ra ito ut ceior poramourd euos	-|--⌫--⌫-⌫--⌫|--⌫-|-|--|--|----|-⌫|--|
etsemp re sd equeleeu requeiluospl era	-|----⌫--⌫|-⌫|----|--⌫-|--|-|--|--⌫--|
nos eni r onstuitensemble.	--|-|-⌫-⌫--|---|-------||
etlancelosle nmerciemo ul tde	-|-------||-⌫|-----|--⌫--⌫|-|
cesteco mp aingni e.	----|--⌫--⌫------⌫||
celui ior dem oralanc elosleanzetfus eruizet	----|--|---⌫--|----⌫---|----|-|-|-⌫----|-|
aiesiezd equanquelenp o t preudome aiesieretse ruir	------|-⌫|------|--|-⌫-⌫|-------|------|-|--⌫---|
ass ezlidemander entc il	---⌫-|-|--------⌫--|-⌫-|
me s onquesnen porent	--⌫|-----||-|-----|
riens sauoirfo r s tantqueliesc ui e rs distala	----|-----|--⌫-⌫|---|--|-|---⌫--⌫-⌫-|---||-|
filleauseigneur de leanzquimoult	----|-|-------|-|----|--|----|
es toitbeleett rop leten o it court	--⌫---|---|-|-⌫--|-|---⌫-⌫-|----|
qu ill i d eistquises	-|-|-⌫|-⌫---|--|--|
sire s estoit	----⌫|-----|
etci lquilauit d e	-|--⌫|--|-|--|-⌫|
tropg rantbiautenelauoltdel	---|-⌫---|-----|-|-|---|--|
toutescondire	---|--------|
uile nieli sembl ast einzli distdamoiselege ne	----⌫--|-|-----⌫--|---|-|---|--------|-|-|
luos puispa sdeltoutdescouurircargeme	|--|---|--⌫|--|---|---------|--|-|-|
pa riu rroieetenporroiemonseigneur corroucier	--⌫---⌫----|-|-|------|--|-------|---------|
faille ce quege uosenporraidescouurirs an z	-----|-|--|-|--|-|-----|---------|-⌫--⌫|
mo i mesfere uosendirai ge	--⌫|------|--|-|----|-|
sachiez que cest limie u drescheualiersd elmonde	------|--||--|-|---⌫-⌫---|---------|-⌫-|----|
ceu oscreantg eloi aument .	-|-⌫-|-----|-⌫|---⌫-----||
sim aistdex	-||---|--|
f etlapucele assezenauezdit	-⌫-|-|-----|----|-|---|--|
au ezbie npaieedeceste	--⌫-|---⌫|----|-|----|
lors uint lapuceletout mei ntenant alanc elot	---|---|-|-----|---|---⌫------||----⌫---|
et sag en oille deuantluietli distgentis	-||--⌫--⌫----|-----|--|-|-|---|-----|
cheu aliersdone	----⌫-----|---|
moiun donparla foiq ue tu	--|-|--|--|-|--|-⌫-|-|
doizala ri enselmonde	---||-|--⌫--|-|----|
qu e tumi euza inmes.	--⌫|-|--⌫--|-⌫----||
et quant lancelosuitdeuantluiagenou z	-|----|-------|--|-----|--||-----⌫|
damoiseleet	--------|-|
siauenan tc ome	-|------⌫|-⌫--|
celeestoit	---|-----|
silenpesa moul tdurem ent et	-||-|---|----⌫|-----⌫--|-|
d amois eleleuezuoss us.	-⌫-----⌫--|----|--|-⌫-||
sachiezu er aiement quilnest	------|-⌫--⌫------|-|-||--|
terrequegepuissefereque gene feisse	----|--|-|-----|---|--|-|-|-----|
porceste requeste cartropmauezconiure ́ .	--|----|-------|--|---||---|-------⌫||
lieuemeinte nantsilidis tsi r ecent	----|------⌫---|-|-|---⌫|--⌫-⌫|---|
mi lemerci zdecestotroi.	--⌫-|-----⌫|-|---|----||
etsauezu osq ue	-|----|-⌫-|-⌫-|
ce estque uosmauezo troié	-|--|--|--||---|-⌫-----|
uos mauezotro iéqueuos porteroiz a ce	--||---|----⌫--|--|--|--------||-|
torn o ie mentm amanche dest reenle ude pano nceldesusuostre	----⌫-⌫--⌫---|-⌫|-----|----⌫-|-|--⌫|-|----⌫---|----|-----|
hiaumeetferoizd	-----|-|-----||
arme s porlamorde mo i	----⌫|--||---|-|--⌫|
quantlancelosententcesterequeste sil en	----|-------|-----|----|-------|-||-|
pe samoul t	--⌫-|----⌫|
et nequedant il neliose c o n tre dir e puisqu il	-|--------|-|-|-|--|-⌫-⌫-⌫---⌫---⌫|-----|-|
liauoitcreant é .	-|----|------⌫-||
etneporquan t il fu mo ultdole nzdec e stotroicar	-|---------⌫|-|-|--⌫--|----⌫-|-|-⌫-⌫-|----|--|
i lsetbien sela	-⌫|--|---|-|-|
reinelesetelelensauramaugre sigrant	----|-|--|--||-|----|-----|-|----|
ason escient quil	|--|------|-|-|
netrouueraia me s pes enuer sli.	-|-------|-|--⌫|--|-----⌫|-||
mes toute u oiessicomeildit se	--|-----⌫-⌫---|-|---|-|--|-|
metrailen auentureporson	----|-|-|-------|--|--|
c reanttenirca rautrement se roit	-⌫----|----|--⌫|--------|--⌫---|
ildesloiaxseilne	-|-------|-|-|-|
fesoita lada moiselecequilli auoit	-----||-|--⌫------|-|-|-|-|----|
en couuenant.	-|--------||
ladamoiselelia po rte	-|--------|-|-⌫--⌫--|
la manchetoutme i nt e nant atachiee	-|-----|---|--⌫-⌫--⌫-⌫---|-------|
aunp anonce l et li	|-|-⌫------⌫|-|-|
prieque ilfacemoultd	---|--|-|---|----||
armesac e tornoie men tpor	----||-⌫|-------⌫---⌫|--|
de l ui tant	-|-⌫-|---|
quele tiengn esa m an chea bi enemploiee	-|--|------⌫|-|-⌫--⌫--||--⌫-|-------|
etsisachiez u e rai em ents ire	-|-|------|-⌫-⌫---⌫--⌫--|-⌫--|
feteleque uosesteslipremierscheualiersaqui	--|--|--|--|----|-|-------|---------||--|
gefeisseonquesrequ estede	-|-----|-----|----⌫---|-|
riens ne encoren el feisse gepassene	----|-|-----|-⌫||-----|-|--|-|-|
fust la grantbo nte qui es ten uos .	---|-|----|--⌫--|--|--⌫|-|--||
etilres pontqueporl a morde	-|-|---⌫---|--|--||-⌫--|-|
lienferailta ntq u e	-|-|---|-|--⌫-|-⌫-⌫|
ia nend euraestreblasme z.	-||-|-⌫---|----|------⌫||
einsi remestlancelos leanztoute	----|-----|-------|----|----|
ausoir quant il f uanuiti ési	-|---|----|-|-⌫|------⌫-|-|
d echies leuauasor etcommandaadieuleuauasor	-⌫|----|-|------|-|-------||---|-|------|
et ladamoiseleetenfistp orter	-|-|--------|-|-|---|-⌫----|
asonescuierlescuqu il auoitl eanz	|--|------||---|-|-|----|-⌫---|
priset le suenilessa.	---|-|-|---||----||
toute nuitcheua uchaentreluietsa	----|---|-----⌫---|----|--|-|-|
comp a ignietantqu il uind rentlen d ema inunpou	----⌫-⌫----|---|-|-|----⌫---||--⌫-⌫---⌫-|-|--|
ainzles oleil leuanta uneliuede	---|-|-⌫----|-----||--|---|-|
win cestre.	---⌫-----||
si refet licheualiers a lance lot	--⌫-|--|-|---------||-----⌫--|
o uuoulezuo s	-⌫|-----|--⌫|
quenousaillonsa ostel	--|---|------||----|
quiseustfetlancelos au cu nrecetpres del	--|----|--|-------|--⌫--⌫|----|---|--|
tornoiementounospeusson s	----------|-|--|-------⌫|
priueemente s tr ege m enteni sseamoult	---------|-⌫-⌫--⌫|-||-|----⌫--||----|
bi enpaié	--⌫-|----|
car ge nen te rroie	--|-||--⌫--⌫----|
pas aw incestre par	--||-⌫-------|--|
foifetli cheualie rsd ece uosestbienauenu	--|--|-|--------⌫-|-⌫|-|--|--|---|----|
presdecih orsdelgra ntchemin	---|-|-|-⌫--|--|---⌫-|-----|
asenestrees t lios texa	|-------|--⌫|-|--⌫--||
une moieanteingentil	--|---|-----|-----|
fa mequ imoult	--⌫-|--⌫|----|
biennoshe rbergeraetferamoultgran ti o ie	---|--|--⌫-------|-|---|----|----⌫|-⌫-⌫-|
den osquant	-|-⌫-|----|
e lenosuerrae nson	-⌫-|--|----|-⌫|--|
par foi fetlan celoslauue illge	--|--|--|---⌫----|-|---⌫--|-|
uole ntiersaler.	----⌫-----|---||
atantl essentle grant c heminets	----|-⌫-----|-|----|-⌫----|-||
enuont droitementet ce leeme ntcelepa rt ou liostex	-|---|---------|-|--⌫-----⌫-|---|--⌫-|-|-|----|
alad am eestoit .	|-|-⌫--⌫|-----||
etq uantil furentdes cenduleanzetladameconn ut	-|-⌫---|-|-----|---⌫----|----|-|-|---|----⌫-|
sonneue usine ueiste sonques sigrantioie come	--|----⌫|-|-|------⌫|-----|-|----|---|---|
el eli fistcarel ene	--⌫|-|---|--|--⌫|-|
puisueuquil	---|--|-|-|
auoit estéche ualiersnouiaus	----|----|---⌫------|------|
s ilidis t biausniesou	-⌫|-|---⌫|----|---|-|
auezuosestédes loresque ge	---|--|----|--|----|--|-|
neu osuim es	-|-⌫-|-|-⌫-|
auezuo sles s ié uostrefrer e	---|--⌫|---⌫-⌫--|-----|----⌫|
neu endr ailpa sacetornoiement	-|-⌫----⌫|-|--⌫||-|----------|
damef etilnen ilcar	---|-⌫-|-|---⌫-|--|
il nepu etca r	-|-|--⌫-|--⌫|
lessames en m esonunpou	-------|-|-⌫---|-|--|
deshetié.	--------||
etquiest fe telecil che ual iers qui	-|--|--|--⌫|--|--|---⌫---⌫---|--|
est uenuzauecuos	--|----|---|--|
dame fetil	---|--|-|
si maistd ex	-||---|-⌫-|
ge nesei q ui il e st fo rs tantseulement	-|-|--|-⌫-|-|-⌫-|--⌫-|---|--------|
quepreudommesemble	--|------|-|-----|
bontequege cuitenluili ferai	----|--|-|---|-|--|-|----|
gedema incompa ign ieau tornoiem entetaurons	-|----⌫-|-----⌫---⌫-|-|--------⌫--|-|-----|
ambed uiun esmeisme s armeset co u uert ures dune	-----⌫-|--⌫-|------⌫|----|-|--⌫-⌫----⌫---||--|
ladam e uintmeintenantalancelotetlapelem oult	-|---⌫|---|---------||-------|-||----|-⌫---|
bel etenneureetl enm e innetantosten une	--|-|------|-||---⌫-⌫---|------|-|--|
chambre et le	------|-|-|
fet c ouchieret	--|-⌫------|-|
unmoultrichelit car len	-|----|----|--|--|--|
liauo itditquil a uoit	-|---⌫-|--|-|-|-⌫---|
tou te nuitc heuauchiée t erré.	---⌫-|---|-⌫---------|-⌫|----||
fulan celosleanzetoren t grantplentede touz	-|---⌫----|----|-|----⌫|----|-----|-|---|
l a nuitregarderent	-⌫|---|----------|
li escu ierasa rmesleurseigneurs que	-|----⌫--|-|-⌫---|---|--------|--|
il ni fausistrie ns.	-|||------|---⌫-||
et lendemains itost	-||-------|-⌫|---|
commeliiorza parutsel eualancelos	----|-|---|-⌫----|-|-⌫--|-------|
oirmesse a lac hapele a un h ermit e quipres	--|----||-|-⌫-----||-|-⌫-----⌫|--|---|
d ilecestoitherbe rg iezenun boscag e .	|---|-----|-----⌫--⌫--|-|-|------⌫||
quant il otmesseoieeti lotfetes	----|-|-|----|--|-|-⌫|-|----|
sesoroisonseinsi commecheu alie rscrestiensdoit	--|-------|----|----|----⌫----⌫-|--------|---|
fe resisepa rtideleanz	--⌫-|-|-|--⌫--|-|----|
et reuintasonost elp uisse des geunaentre	-|-----||--|---⌫-|-⌫--|-|---⌫----|----|
lui etsoncompaig non .	--|-|--|-------⌫--||
et lancelosauo it	-|-------|---⌫-|
enuoiésonescuier awincestrepor	------|--|------||--------|--|
sauoir l i quel aid eroient ac eusde denzetli	-----|-⌫|---|---⌫------||-⌫--|--⌫---|-|-|
que l s eroien tde lapartiedehors .	---⌫|-⌫------⌫|-|-|-----|-----||
sisehas tatant l iescuiersdesauo irl es nouueles	-|-|---⌫-|---|-⌫|-------|-|----⌫-|-⌫-|-------|
etde reperi ertostquil	-|-|------⌫-|---|-|-|
reuinta losteleincoisquelanc elo s	-----|||----|------|--|----⌫---⌫|
fust come nc ieza arme r .	---|----⌫--⌫--||----⌫||
etquantilui nt ason seignorsi li	-|----|-|--⌫-||--|------|-|-|
dist sire moult a granz	---|---|----||----|
genz etdedenzetdehors	---|-|-----|-|-----|
toute s pa rzis ontuenulicheua li era usi	-----⌫|--⌫-||-⌫--|---|-|-----⌫--⌫-|-⌫--|
lipriuécomliestr a n ge.	-|-----|--|-|----⌫-⌫-⌫-||
mesnepo rquant	--|----⌫-----|
pardedenzestlag reign eu rforceporle s	--|-----|--|-|-⌫-----⌫--⌫|----|--|--⌫|
compaignons delatab le reonde quiis ont	----------|-|-|---⌫-|-----|--||-⌫--|
ets eztufe tlancelo sd e	-|-⌫-|-|--⌫|-------⌫|-⌫|
boorz et lioni ax	----|-|-----⌫-|
etest ors sesontmis	-|---⌫--|-|---|--|
sire fetil dedenzetadroit	---|--|-|-----|-||----|
car a utrementnemousterroient i lpa squ	--|-⌫-------|-|------------|-⌫|--⌫|-|
il fuss entcompaig non	-|----⌫--|-------⌫--|
delatablereond eseil	-|-|----|-----⌫|-|-|
nestoie ntdecele p art .	|------⌫-|-|---|-⌫--||
etquiestpardehors	-|--|--|--|-----|
fet lancelos.	--|-------||
sirefet illiro isd escoce et	---|--|-|-|--⌫-||-----|-|
liro is d irla n de	-|--⌫-||----⌫-⌫-|
etlirois degaleset	-|-|---|-|----|-|
liroi s denorgalesetau tres	-|---⌫|-|-------|-|--⌫---|
hauzhomesassez	---|----|----|
mestout euoies n ont ilpas ausibonesgenz	--|----⌫-----||--|-|--|---|----|---|
com cildedenzcarilson t	--|--|-----|--|-|---⌫|
trestuitcheualierco nquei llietestrange	-------|--------|--⌫-----⌫--|-|-------|
si n e son t pascoustum ier deportera r mes	-|-⌫|---⌫|--|-------⌫--|-|-----|-⌫-⌫--|
sicommeson t	-|----|---⌫|
roialmedelog r e sne siboncheualie rne sontil	------|-|---⌫-⌫-⌫|-|-|--|--------⌫|-|---|-|
lors montalanceloss eur	---|----|-------|-⌫--|
soncheual etdistasones cuier tu	--|-----|-|---||--|--⌫----|-|
n e uendraspa sauecmoi	-⌫|------|--⌫|---|--|
tuiuenoi esonte	-||-----⌫-|-|-|
co nn oist roitet	--⌫--⌫----⌫---|-|
par to i connoistroitlen moietce	--|--⌫|-----------|--|--|-|-|
neuodroiege en nu leman ier e .	-|------|-|-|--⌫-|---⌫---⌫||
d itq u i lremei n dra uolentiers puisqu eillip lest	-⌫-|-⌫|-⌫|-----⌫-⌫--|---------|------⌫|-|-|-⌫---|
et si amast ilmieuzaaler a uec	-|-|----|-|----||---|-⌫--|
mein tena ntse	----⌫----⌫-|-|
partla ncelosdeleanzentrelui et so n	---|--⌫-----|-|----|----|--|-|--⌫|
com paignon etdeuses cuiersqu eli	---⌫------|-|---|--⌫-----|--⌫|-|
cheu al ie rsauoitameneza ueclu i.	----⌫--⌫--⌫-|----|-----|-⌫--|--⌫||
sierrerenttant entelemanier e qu il uindrenten	-|-------|---|-|---|------⌫|-|-|-------|-|
l a pr aerie d e wincestrequii a esto it	-⌫|--⌫----|-⌫|--------|--|-⌫|----⌫-|
toutec ouuertedeiosteeurs	----|-⌫------|-|--------|
etestoitialitornoiemenz si	-|-----|-|-|----------|-|
pleniersquilestoien tassembléet dunepartet	-------|-|-|-------⌫|--------|-||--|---|-|
mesmessiregauuainsneportapasiceluiior	--|--|---|-------|-|----|--|-----|--|
armesnegaheriezsesfrereseinz leur	----|-|-------|--|-----|---|---|
auoi tlirois	----⌫|-|---|
des fenduporcequilsauoi t	---⌫----|--|-|-|-|-----⌫|
bi enque lancelo siuendroit	--⌫-|--|-------⌫||-------|
sine uouloitpas	-|-|------|--|
qu eil sentreblecass entseaui ousterue nistcar	--⌫|-||------------⌫--|-|-|-⌫-----|--⌫---|--|
ilne uolsi stmieque	-|-|-----⌫-|--|--|
mellee sorsistent reusnemautal enz .	-----|------|---⌫|--|-|------⌫--||
li roisogrant c omp aigniedeche ualier s	-|---||----|-⌫---⌫-----|-|---⌫------⌫|
fu montezenlaplus mestretor	-|-----|-|-|---|-----|--|
de la u ilep orueoir	-|-|-⌫--|-⌫-|----|
letornoie ment etau e clifumes sire g auuain set	-|-------⌫---|-|--⌫-⌫|-|-|--|---|-⌫------⌫|-|
sesfreres gahe riez.	--|-----|----⌫---||
cheualiersqui auec lancelot	---------|--|---|-------|
e stoit u enuzd italancelotsir eas	-⌫----|-⌫---|-⌫-||-------|---⌫|-|
quexaiderons nos	---|-------|--|
lesquexfetlan celos uossembl eilquie n	--|---|--|---⌫----|--|-----⌫|-|--|-⌫|
aient lepoieur	----|-|-----|
sirefetli cheualiers	---|--|-|---------|
cildehors cemesemblecar cildeden z	--|-----|-|-|-----|--|--|-----⌫|
s ont moult preudomeet	-⌫--|----|-------|-|
ch eu alieretsontmoult	--⌫--⌫----|-|---|----|
aman euidarmesporter.	----⌫--||----|-----||
orsoionsdoncfet l ancelo s deceus dehors	-|-----|---|--|-⌫------⌫|-|---|-----|
carce neseroitpa snostr eenn eur	--|-|-|-----|--⌫|-----⌫|---⌫--|
se nos aidionsa	-|--|------||
ontle plusbel .	--|-|---|--||
etcillirespont qu ilest	-|--|-|------|-|-|--|
touzprez d efe re	---|---|-⌫|--⌫-|
quan queillen loe.	----⌫--|-||-|--||
lorss a fichelan celos s eur lese strie s	---||-⌫----|---⌫----|-⌫--|--|-⌫-----⌫|
ets em et en milesrenset fiert	-|-⌫|-⌫-|--⌫-|--|---|-|----|
unc heuali erque	-|-⌫------⌫-|--|
ilenco ntra premierensonuenir si durement	-|----⌫---|------|-|--|----|-|-------|
queilp ortaa	--|-|-⌫---||
terree t luie tlecheual	----|-⌫|--|-⌫|-|-----|
il h urteout re	-|-⌫---|---⌫-|
por parfere son	--|------|--|
poindre carsesglaiues nestoi t pas encore	------|--|--|------||-----⌫|--|-----|
si a taint u nautrecheuali er	-|-⌫----|-⌫|----|-------⌫-|
etlefiert si queli es cuz neli	-|-|----|-|--|-|--⌫--|-|-|
haube rsnelgarantistquilnelif a ce plaie	-----⌫-|-||--------|-|-|-|-|-⌫-⌫-|----|
grantetparfo nde elcostesenestre	----|-|-----⌫--|-|----|-------|
me silnelapas	--⌫|-|-|||--|
blecié amort .	------||---||
i llempaintbiensileport eius	-⌫||------|---|-|-|----⌫|--|
delcheuala terr esi du rement qu ecilest	--|-----||----⌫|-|--⌫-----|--⌫|--|--|
t ouzestord izaucheoirque	-⌫--|------⌫-|-|-----|--|
etlors u ole	-|---|-⌫--|
li glaiuesenpieces.	-|------|-|-----||
po rce cop	--⌫|-|--|
sarresterentplu seurcheualierd eltornoie men te t d ist rentaucunqu	|----------|---⌫---|--------|-⌫-|-------⌫---⌫|-⌫|-⌫---⌫---|----|-|
ilauoie n tueu unbia u coupfereau cheualier	-|-----⌫-⌫|--|-|---⌫|---|---|-|--------|
u oirefont	-⌫---|---|
plusbiaus qui meshu ii fus t fez	---|----|--|--|--⌫||---⌫|--|
parlamaind un	--|-|---||-|
seulcheu aliern eilnerecouu erra meshuia	---|----⌫----|-⌫|-|-|------⌫---|--|--||
fere autretel.	---|-------||
et l i compainz	-|-⌫|-------|
la nce lotlesse corre a hestor des	--⌫---⌫--|----|----||-----|--|
ilencontra	-|-------|
ensonuenir	-|--|----|
silef iert si quilli	-|-|-⌫---|-|-|-|-|
br isesonglaiueenmi	--⌫--|--|-----|---|
ethestor lefiertde s i gran tu ertu	-|-----|-|----|-|-⌫|----⌫|-⌫---|
gla iue co rtetgros	---⌫--|--⌫-|-|---|
abattout enu nmo nt	---|---|-|-⌫|--⌫-|
et luietle cheual.	-|--|-|-|-----||
o rpoezueoiraterreu ndesfreres	-⌫|---|----||----|-⌫|--|-----|
d elc ha steldes calo tfet	-⌫-|-⌫--⌫---||--⌫----⌫|--|
e tparlenondel	-⌫|--|-|--|--|
chastelestoientlifrere en	------|-------|-|----|-|
q u elqueleu que iluenoient conne uporce quil	-⌫-⌫----|--|--|-|-------|-----⌫|--|-|-|-|
portoientunesmeismesarmesd ontcildelt ornoiementcuidieren t bien	--------|---|------|----|-⌫--|--|--|-⌫---------|---------⌫|---|
de lancelot quecefust l iuns desdeu sfrere s	-|-------|--|-|---|-⌫|--|--|---⌫|-----⌫|
descalot por lesar mesqu	|------|--|--|--⌫--|-|
il porto it.	-|-----⌫-||
quant lancelosuoitsonoste	----|-------|---|--|---|
si d urementpardeuantlui	-|-⌫------|--|-----|--|
t erresien fu moultdurement	-⌫---|-|-|-|----|-------|
corrouciez	---------|
si lessec orre a	-|----|-⌫---||
hestore ttintun glaiue bonetfort	-----|-⌫|---|-|-----|--|-|---|
neconnure n tpasliunslautrepor cequ	-|-------⌫-⌫|--|-|--||----|--|-|-|
ilauoientle ur ar meschangieespo r	-|------|--⌫-|--⌫--|--------|--⌫|
pluscou ue rtementuenir au tornoiement	---|---⌫--⌫------|----|-|----------|
fiertsidure m ent detoutesa forc equeil	----|-|----⌫-⌫--|-|----|-|----⌫|--|-|
labataterre d eua ntgale gantinle galois	|---||----|-⌫---⌫-|----⌫-----|-|-----|
etmes siregauuai n squibien connoissoithest or	-|--|---|------⌫-⌫|--|---|----------|----⌫-|
comme cilquiliauoitsesarmesbailliees	----|--|--|-|----|--|----|--------|
quanti luit	----|-⌫|--|
ce coupsi di st au roi sirepar	-|---|-|--⌫-|-|--|---|--|
mon chiefcilche ualiersacesarmes ue rm eillesquiporte	--|----|--|---⌫------||--|----|--⌫--⌫-----|--|----|
lamanch eseur son hiaumen	-|-----⌫|---|--|-----||
estp aslicheualiers queg e cuidoie	--|-⌫-|-|---------|--|-⌫|------|
einzes tunsautrescerteinnementleuos di	---|--⌫|--|-----|------------|-|--|-|
caronquespa r	--|-----|--⌫|
un d es frere sdes calot n issitieus cox.	-|-⌫-|-----⌫||--⌫----||---|----|--||
et quicu idiezuo s fetli rois que	-|--|--⌫----|--⌫|--|-|---|--|
siref e t mes siregauuainsmes il	---|-⌫-⌫|--|---|-------|--|-|
esttroppreudo m.	--|---|------⌫||
e tlan c elosottantfet qu	-⌫|---⌫-⌫---|-|---|--|-|
il otmontésoncompaignonseur son	-|-|-----|--|---------|---|--|
cheuale tlot releuédelapresse	-----|-⌫||-|------|-|-|-----|
laoueleesto itplusgranz.	-|-|--|----⌫-|---|----||
qui u enoitparle to rnoie mentabatantcheualiers	--|-⌫----|--|-|--⌫-----⌫---|------|---------|
etarr ac ha nthiaumes det este set	-|---⌫--⌫--⌫-|------|-|-⌫----⌫|-|
escu zdecoxatant al é qu il	----⌫|-|--||---|--⌫-|-|-|
encontralancelotenmilapresse	-------|-------|---|-|-----|
iln elsalua pascomecilquine l	-|-⌫||----|--|---|--|--|-||
connoissoitmi e einz	----------|--⌫|---|
lef ie rt sidurement	-|-⌫--⌫-|-|-------|
detoute sa	-|----|-|
for cedungla iue etfort	---⌫-||-|---⌫--|-|---|
etroidequ il	-|----|-|-|
lipe rcelescuetlehaubercetlimet	-|--⌫--||---|-|-|------|-|-|--|
elcostedes trelefer de son	-|----|---⌫--|-|--|-|--|
gla iueetsilifet	---⌫--|-|-|-|--|
plaiegr a ntetp a rfond e .	----|--⌫-⌫-|-|-⌫-⌫-----⌫||
etil ui nt desi	-|-|--⌫-|-|-|
grantf orce ets i	----|-⌫---|-|-⌫|
bienafich iéesarcon ssiem paintlancelotsi	---|-----⌫--|-|-----⌫|-|--⌫----|-------|-|
du reme ntquilabat	--⌫----⌫-|-|-|---|
ate rr e et	|--⌫--⌫|-|
etau parc heoir	-|-|----⌫----|
bri seli g laiues .	---⌫-|-|-⌫-----||
mesilne demorapasgran mententel	--|-|-|-----|--|----⌫---|-|--|
carli cheu axf uforz etu isteset legiers	--|-|----⌫-|-⌫|---|-|-⌫----|-|------|
sineremestonquesporlaplaie q ueilne	-|-|-----|-----|--|-|----|-⌫-|-|-|
saillists usetmonteel	-------|-⌫-|-|----|-|
cheualtous tressuez d	-----|---|-------||
ang oissee tde duel	---⌫----|-⌫|-|---|
etdist a s oimei smesqueciln est	-|---||-⌫-|---⌫---|--|--||--|
pasgar c ons qu ilap ortéate rre	--|---⌫-⌫--|--⌫|||-⌫----||--⌫--|
me sne troua homequia utant l enpoist fere	--⌫|-|----|---|--|-⌫----||-|----|---|
mesi ln efist	--|-⌫|-⌫|---|
onquesensauieb onte	-----|-|-|--|-⌫---|
qui autresint tost	--|--------|---|
lifustrendue se il o nquespuet	-|---|-----|-|-|-⌫----|---|
il pren tmein ten a ntun glaiue	-|----⌫|----⌫---⌫-⌫-|-|-----|
cortetg rosqueunsdeses esc uiersten oit	---|-|-⌫--|--|--|-|--|---⌫----|---⌫--|
sisadrecameintenantuersboort	-||-----|---------|---|----|
etl a place leurfutanto st	-|-⌫|----|---|-|-----⌫-|
deliuree com mecildeltornoiementuirentquiluoloientiou ste r	-------|---⌫-|--|--|----------|-----|-|-|-------|---⌫---⌫|
etil auoientia sibienfet	-|-|------|-|-|---|--|
eltornoiementquilestoient t en uasde us	-|----------|-|-|-------|-⌫--⌫|-|--⌫-|
meilleursdela place.	--------|-|-|----||
etla ncelosqui uenoitsi grant	-|--⌫-----|--|-----|-|----|
a leurecommeilpotdelcheual	-⌫----|----|-|--|--|-----|
tre refiert boort sid ure mentqu illeporte d el	---⌫-|----|----|-|-⌫---⌫---|-|-|-|----|-⌫-|
cheual a terre l ase leentreles	-----||----|-⌫|--⌫-|----|--|
cu issescarl es cenglese t	--⌫----|--|-⌫-|------|-⌫|
lipoitrausrompirent.	-|-------|--------||
etmes sir egauuai ns	-|--|---⌫|------⌫-|
quibienc onnutb oortqu antilleui t	--|---|-⌫----|-⌫---|--⌫--|-|-|--⌫|
aterre d itauroicer te s	|----|-⌫-|-|--|---⌫--⌫|
boorzesta terreil nia	----|--||----|-||||
pasgrant hon tecar il	--|----|---⌫-|--|-|
ne se sauoita quoi	-|-|-----||---|
tenir etcilc h eualiers qui	----|-|--|-⌫-⌫-------|--|
iostesa fetesal uiet ahestor	-----||----||-⌫-|-||-----|
estbonscheualiers et parmonchi e fse	--|---|---------|-|--|--|---⌫-⌫|-|
nosn eussons laissié lancelotmala deaka maal otiedeisse	--||------|-------|-------|----⌫-||--⌫----⌫-|-|-----|
quecefust illa .	--|-|---|-|-||
etquant lirois	-|----|-|---|
ente nt ceste paro lesis	----⌫-|----|----⌫-|-||
apensameint enantquece	-----|-----⌫----|--|-|
iertlanc e los	---|----⌫-⌫--|
si commenceasoz rire	-|-------||---⌫---|
etdis t amon	-|---⌫||--|
seigneur gau uai n	-------|---⌫---⌫|
par mon c hief bia xniesquiquelicheualie rs	--|--|-⌫---|---⌫|---|--|--|-|--------⌫-|
soi t ila moultbiencommenciémes	---⌫|-||----|---|---------|--|
gecroi quencorleferailmieuz en	-|---|-|----|-|---|-|----|-|
l afi naumienauis.	-⌫|--⌫|-|---|---||
etlancelossi tost co mmeilot	-|-------|-|---|--⌫--|-|-|
leglaiu e bris ié metlamaina lespeeet	-|-----⌫|----⌫--|--|-|---|||----|-|
