quipres demois eu auratraire	--|---|-|--|-⌫|-⌫---|-----|
orsusfaitel lebelle	-|--|---|--⌫-|----|
s i e nironsa saint c orni lle	-⌫|-⌫|----||----|-⌫----⌫--|
en tremoiet uousaumous tier	--⌫--|--|-|---|-|----⌫---|
des ore mais seroi tmestier	--|--|---|-----⌫|------|
qu etessi resatois	--⌫|--|--⌫--||--||
liua lles moltsendescordast	-|--⌫---|---||-|---------|
maisnelose d eriensdesdire	---|-||--|-⌫|----|------|
et celelicommence	-|---|-|-------|
laimoia mo n talentou urer	--|--||--⌫|-----|--⌫---|
tuiporrasbienreco uurer	-||-----|---|----⌫----|
a tamieencoreautre fois	||---|-----|----|---|
enserasen defois	-|----|-|-----|
souuentitenra s tondedui t	------||-----⌫|--|-----⌫|
amb reeo tcande illesplu s de yy	---⌫--|-⌫|-----⌫----|---⌫|-|-|
dontcha scuneotplusd	---|---⌫----|-|---||
une toiss e	--|-----⌫|
e ntrelauiell e	-⌫---|-|-----⌫|
e t l ebourgoise	-⌫|-⌫|--------|
sontissu esdel or	---|----⌫-|-|-⌫-|
aumoustieruo nt deuant l	-|-------|--⌫-|-----||
nos tredamedeuan tl ym a ge	---⌫--|---|-----⌫||--⌫-⌫-|
etlauiel lequimol t fu	-|-|----⌫-|--|---⌫|-|
faitla da mecou chierate rre	---|-|--⌫-|---⌫----||--⌫--|
etsi li distquedesaguerre	-|-|-|---|--|-|-|-----|
nelisoituallissantyypois	-|-|---|---------|-|---|
et a ubreea faityycrois	-|-⌫----||---|-|----|
d escand eillesque le portoit	-⌫-|----⌫-----|-|-⌫-|------|
aunela mp euf eusarg oit	|--|--⌫--⌫||-⌫--|---⌫--|
lesalumedechiefench ief	--|----|-|----|-|--⌫--|
lunedescr oisli	|--|--|--⌫--|-|
mistauchief	---|-|----|
et lautreaspies le tierch easenestr e	-||----|-|---|-|------⌫||-------⌫|
lequarte limis t	-|-----|-|---⌫|
alisi laseu re	|-|-||----⌫-|
et distsoiiéstouteseure	-|---|------|----|----|
e tgardés b iencommentcauiengne	-⌫|------|-⌫--|------||-------|
neuou smouuést ant quereuiegne	-|---⌫|------|-⌫--|--|-------|
ets oiiés chit ant	-|-⌫-----|--|-⌫--|
quereuiengne	--|--------|
damedi stelle u olen tiers	---|--⌫-|---|-⌫----⌫----|
ens ila d a mesecontient	---⌫|-|-⌫-⌫-|-|-------|
sauoie tient	-|---|----|
ostellebourgois toutdroit	----|-|-------|---|----|
quipour sa f emmeyriés	--|---|-|-⌫---|-----|
quilne sesauoit c onseillier	-|-|-|-|-----|-⌫---------|
et cele pour liesueill ier	-|---|---|-|-------⌫--|
uinta so n huiset s ile bout e	---||--⌫|---|-|-⌫|-|----⌫|
libourgoisore illeet e scoute	-|-------|---⌫---|-|-⌫-----|
cose uau sistoir	---|---⌫---|--|
se pues t resioir	-|----⌫|------|
il selieue	-|-|----|
luisdeffruma	|--|-------|
tan tostau bree dem an dast	---⌫---|--⌫---|---⌫--⌫---|
tantost quel ee ntrala iens	------|-|--⌫|-⌫---|--⌫---|
et di usfai t ell e s oit chaiens	-|--⌫-|---⌫|---⌫|-⌫--|------|
etsiu ousdoinstor eboinenuit	-|-|-⌫--|-----|--⌫|----|---|
si reneu ousanuit	--⌫-|-|-⌫--|----|
mais atendészz	---|-------|-|
uousestes molt faillis ie	---|----|---|------|-|
iecuituou ssoiiesnegligens	-|---|---⌫|-----|--------|
ne ualésmiey ypalens	-|-----|--|-⌫|-----|
ainsestesmo lte n sonniés	---|----|--⌫-|-⌫-⌫-------|
hedameaubree abien	-|---|-----||---|
f aitlibourgois sisesbahi	-⌫--|-|-------|-||-----|
quant ilcho udire lioi	----|-|---⌫|---|-|-|
dontuenésuous orea ce ste eure	---|-----|---|--||--⌫--|---|
cellerespontplus ni demeure	----|------|---|||------|
iel tedira itou tsansalonge	-||-|----⌫|---⌫|---|-----|
anu its ongaizzsimalsonge	---⌫-|-⌫----|-|-|--|----|
qued ela pa uorm es ueilla i	--|-⌫|-|--⌫--||--⌫------⌫|
uies timoi	----⌫-|--|
e ta parlai	-⌫|-⌫-----|
card el song efuies bahi	--|-⌫-|----⌫|--|--⌫---|
au moustier uin ta labe ie	-|-------|---⌫|||---⌫-|
tresdeuant lautelnostredame	---|-----||----|-----|---|
trou uaigiss antla	----⌫--|----⌫--|-|
uostrefemme	-----|----|
deuantl a ute ltouteesper due	-----||-⌫---⌫|----|-----⌫--|
trestoutemen s uiesperdue	--------||-|-⌫-|-------|
quei en esaiquec h ep uet estre	--|-⌫|-⌫|--|--|-⌫-⌫|-⌫--|----|
as p ie sdestreetse nestre	-|-⌫--⌫|-----|-|--⌫-----|
uicca ndeillest outes ard an s	--|--⌫-------|-⌫----|---⌫--⌫|
illuecgisoit tafemmea dens	-----|-----|-|----|-⌫---|
deuantlautela orison	-----||----||-----|
moltasfa itgrandemesp r oison	---|-|--⌫-|-----|----⌫-⌫----|
s ensera maudi teta guele	|-|---|-----⌫-|-|----|
de uant lautelgisttoutes eule	--⌫---||----|---|----|-⌫---|
femmequesibeleformea	----|--|-|---|----||
dedamedieuquit out forma	-|-------|--|-⌫--|----|
so i esainnieaubr ee	--⌫-⌫|------|----⌫-|
toutemen sui desesperee	----||-|--|---------|
simen uin tagrantmeruei lle	-||-|---⌫||----|------⌫--|
decel enfant quiensiueille	-|--|-----|--|---|-----|
de celrentonqui er	-|--|-----|--|-|
orde ustsa grantmatinee	-|--⌫--|-|----|------|
cai ensdormiren s es co urtine s	---⌫--|-----|-|-⌫-|--⌫------⌫|
e t tulen uoi es asmatin es	-⌫|-||--⌫---⌫-|-|-----⌫-|
a ma tin esl asse p eccable	|--⌫---⌫-|-⌫---|-⌫------|
ded amed ieu lespe ritable	-|-⌫----⌫--||----⌫------|
soiiefa it e lle	--|-|--⌫-|-⌫--|
etbenoitee tpar saing nie	-|------|-⌫|---⌫-----⌫--|
tu fair epapela rde	-|----⌫|------⌫--|
mausfus e t	---|--|-⌫|
mal efla mb e	---⌫|---⌫--⌫|
qui iouenefemmeens ienuoie	--|-----|----|---⌫|-----|
ens i aubreele desuoie	---⌫|-----|-|------|
de malp enserquenson	-|--|-⌫----|-|-|--|
etsenefus tp our lesercot	-|-|-|---⌫|-⌫--|-|-----|
ilni pensast maissebiennon	-|||------|---|-|---|--|
pour sonnon	---|--|--|
distlibour goi sdit esuousuoir	---|-|----⌫---⌫|---⌫-|---|---|
u enésis i porrésueo ir	-⌫----||-⌫|------|---⌫-|
faitlauiell e d eliurement	---|-|-----⌫|-⌫---------|
son comman dement	--|------⌫-----|
na ortalent que plu s	||-|-----|--|---⌫|
ambedoi se nu ontal eglisse	------||-⌫|-⌫--|||------|
quedem our ee n i	--|---⌫---⌫-|||
cilt reuuesafemme	--|-⌫----|-|----|
entelpoint	-|--|----|
comlauiell elia retrait	--|-|-----⌫|-||------|
maintenan tp re sdelisetraist	---------⌫|-⌫--⌫|-|-|-|-----|
eten contr emont siledr e ce	-|--⌫-----⌫----|-|-|--⌫-⌫-|
etsili distparyureche	-|-|-|---|--|------|
liauo itfaite mesp roison	-|---⌫-|----|----⌫-----|
sen uie n enten	|-|---⌫-⌫--|-|
etaubree uaa	-|-----|-||
leu allett r e uue	-|-⌫----|-⌫-⌫-⌫--|
tou tesuoies	---⌫--|----|
elle li di st bia us	---|-|--⌫-|---⌫-|
d ousam is	-⌫--|--⌫-|
orne soiie ́ smiea baubis	-|-|-----⌫-⌫|--|-⌫-----|
ral e ́ salemaison uo	---⌫-⌫-⌫||-|-----|-|
carpa rle foique doisa intpi ere	--|--⌫|-|--|--|--|--⌫--|--⌫--|
uost resercot	----⌫-|-----|
raurés ie quit	------|-|---|
ainsque uoii é sdemainle nuit	------|----⌫--⌫|-----|-|---|
damefait il m o ltgra nt	---|---|-|-⌫-⌫-|---⌫-|
at antse std e lostel	|-⌫--||-⌫-|-⌫||----|
dedameaubreelapichaise	-|---|-----|-|-------|
ualles q ui molt fu a ise	-----|-⌫-|---|-|-⌫--|
ua enmaisons is arestut	-|-|-----|-⌫||------|
etli bourgois	-|-|-------|
faitzzcandeillon	---|-|---------|
et l ifait h umerto utca ut	-|-⌫|---|-⌫---|--⌫-|--⌫-|
bien estdechu sparle	---|--|-----⌫|--|-|
puis serecouquede rechief	---|-|-------|--⌫------|
labour gois e keuuresonchief	-|----⌫----⌫|-----|--|----|
dormir oitg ranttalent	-----|--|-⌫---|-----|
mol tl iestpoidemaltale nt	---⌫|-⌫|--|--|-|-------⌫-|
queses siresota	--|--|----|-||
carsonuoloir	--|--|-----|
otbien eut	-|---|--|
maiss es baron smoltbi enc uide	---|-⌫-|-----⌫|---|--⌫-|-⌫---|
quesafemmeaitla	--|-|----|--|-|
tieste w ide	-----|-⌫--|
deplour eretdeieuner	-|-----⌫-|-|-|-----|
ne q uepu isfinastdaourer	-|-⌫-|--⌫-|-----||-----|
d euantlautelt outa ge no us	-⌫----||----|-⌫--||--⌫--⌫-|
plourétnuitetio ur	-------|---|-|--⌫-|
ensidalessafemme iut	---|----|-|----|--|
ta n tqueliclersioursaparut	--⌫-⌫|--|-|----|----|-----|
e t lis olausen d roit	-⌫|-|-⌫----|-|-⌫---|
libourgo isseues tet sechauce	-|------⌫-|-|---⌫|-|-|-----|
e tlait sa	-⌫|---|-|
femmeq uisegist	----|-⌫-|-|---|
maintenantde	---------|-|
lam aiso n	-|-⌫----⌫|
sa femmeua querre a	-|----|-|-----||
cartansertdelaparl ier	--|---|--|-||-----⌫--|
sicom demaisond uit issir	-|--|-|-----|-⌫--|----|
sades tremainm ist	-|---⌫--|---|-⌫--|
alo is sir	|--⌫--⌫--|
sisaingnesonuiset son cors	-|------|--|--|-|--|---|
et da meaubrees alih ors	-|--⌫-|-----|-⌫--|-⌫--|
orescou tésdele r ichiaut	-|-----⌫---|-|-|-⌫------|
commeellea bientrouuéfloha u t	----|---||---|------|-----⌫-⌫|
aub ree sescr ieahaute	---⌫--||----⌫-||----|
yysoussainte uraiecrois	-|---|-----|----|----|
yysousdole n tecait i ue	-|---|----⌫-⌫-|----⌫-⌫-|
o rnequier iemaisq ue plusuiue	-⌫|-|----|-|---|-⌫-|---|---|
car moltpa rsuim ale ur euse	--|---|--⌫|--|-⌫---⌫--⌫---|
yysous lass e dolereuse	-|---|----⌫|--------|
yysousl asseyy	-|---|-⌫---|-|
oruenra c hai ens	-|----|-⌫---⌫--|
s enporte r aquanque iouai	|-|-----⌫-⌫|------|--|-|
yysous lassequefer ai	-|---|----|--|---⌫-|
hedieusaidi és ceste orpheline	-|----|----⌫--|----|--------|
yy soussainte catherine	-|---|-----|--------|
ien aiuaillant zz	-||-|-------|-|
fustde corre	---|-|----|
etyy sousmeco uuient	-|-|---|-|--⌫-----|
dunsercot ielkiestmaluais	|-|------⌫--|-|--|------|
s o ussainsni cholais	-⌫-⌫-|----|--⌫------|
ieuousfe rai si	-|---|--⌫--|-|
loncsermon	---|-----|
yysoushuche	-|---|----|
en z zrandon	-|-⌫|-----|
sachiés plusde yyfois	-------|---|-|-|---|
lamal e uie lle demanois	-|---⌫|---⌫--|-------|
choufait el lesachiéspouruoir	---|---|--⌫-|-------|---|---|
pourle bourgois	---|-|-------|
mieusdeceuoir	----|-------|
l e p ennelitraitbien parluel	-⌫|-⌫---|-|----|---|--||--|
yysou s criepa r orguel	-|---⌫|---|--⌫|-----|
yy sou sla ss ey ysaus	-|---⌫|--⌫--⌫|-⌫|---|
sin ai mieuaillantyyaus	-||-|--|-------|-|--|
comparsuior e	--|--|--|--⌫|
mal ba illie	--|--⌫----|
heyysoussaint emarie	-|-|---|-----⌫|----|
biaussired ieus	----|---|-⌫---|
u les prenderai	|--|--------|
c estlisongequeie	|--|-|----|--|-|
quantlibou rgoisoia ubree	----|-|---⌫----|-|-⌫----|
auendu tla	|-----⌫|-|
etpour uessieetpour	-|---|-----|-|---|
lante rn e	-----⌫--⌫|
ie lepreudomm epointn eferne	-|-|--------⌫|----|-⌫|----|
quini entendoit	--|||--------|
se bien non	-|---|--|
dameaubreemist a	---|-----|---||
ditesmoi sedie usu ous ait	----|--|-|---⌫-|-⌫--|--|
fai tes libourgoisquisesbahist	---⌫--|-|-------|--||-------|
pourquoid e menés si gra n tduel	---|---|-⌫-⌫-----|-|---⌫-⌫|---|
d istlibour goissauoirleuoiel	-⌫--|-|----⌫---|-----|-|----|
distaubreeie leuousdi rai	---|-----|-|-|---|--⌫--|
en menti rai	-|-----⌫--|
pour rekeudreetrapari lle r	---|-------|-|------⌫---⌫|
lafourr urede sonserc ot	-|-----⌫--|-|--|----⌫-|
i e liprestai	-⌫|-|------|
asone scot	|--|-⌫---|
yy deniersie	-|------|-|
nesai ou yy	-|--|-|-|
ie lprissim enalaiesbatre	-||---|-||-|---|------|
a toutle sercot r ecousant	-⌫---|-|-----|-⌫-------|
carzzpoime	--|-|--|-|
trouuaipesant	------|-----|
ensiato utema cousture	---|---⌫--|-|-------|
menalai par male	|-|---|--|---|
a uent ure	-⌫----⌫--|
sifait emen tdemonostel	-|----⌫----⌫|-|--|----|
meskeum e stde m on catel	-----||-⌫-|-|-⌫-|----|
c arien es aidirepar quel mot	-⌫-|-|-⌫|-⌫-|---|--|---|--|
laissiét leser cot	--------|-|---⌫--|
car ie nesa ila ou	--|-|-|--⌫|-|-|
nes a i nulleautree ns eigne	-|-⌫-⌫|----|----|-⌫--⌫----|
mais seaucuns nelem	---|-|-----|-|-||
en re nseigne	-|--⌫------|
etonl eueutensi	-|-|-⌫|---|---|
ieen feraiescumuniier	-|-|----|----------|
au diman ch e parmatin	-|-----⌫--⌫|--|----|
iepar saintmartin	-|--|----|-----|
s en ferai le	|-|----|-|
malichonlire	-------|---|
pourche le uousdi	---|--|-|---|-|
biaus doussire	----|---|---|
demaindeuant luisdumoustier	-----|-----||--|-|-------|
mefustmie mestier	-|---|--|------|
derecheuoir desigrantperte	-|--------|-|-|----|----|
biaus s ireoroiié scose	----|-⌫--|-|-----⌫|---|
sedieusmedoi nst ueirnoel	-|----|-|---⌫--|---|---|
ieilaissaipendantmon	-||------|------|--|
auo e cmag uil leun serco t	---⌫-⌫||--⌫---⌫-|-|-----⌫|
don ti esui lasse acelescot	---⌫|-⌫|--|----||--|----|
sensirendre l e me	|---|-----|-⌫|-|
etliualles c a sc un iour ui ent	-|-|-----|-⌫-⌫--⌫-|---|--⌫--|
amonos telsimedemande	|--|--⌫--|-|-|------|
arendr eyy souset commande	|-----⌫|-|---|-|-------|
yys ouslassen en a i	-|-⌫--|----||-|-⌫|
do ntmecomm enche	--⌫-|-|----⌫----|
et amen erundu elsi for t	-||---⌫-|-|--⌫-|-|---⌫|
m escheueuse t mespuins detort	-⌫-|------|-⌫|--|----|-----|
sir e comie	---⌫|--|-|
par aigrantduel	--|-|----|---|
ieu aur oi emouri rme nuoeil	-|-⌫---⌫--⌫|-----⌫|--⌫|----|
u ieuauroiees t re	|-|------|--⌫-⌫-|
etcarmeditesdameaubree	-|--|-|----|---|-----|
f ustesuous	-⌫----|---|
oi esir epourloc oisso n	--⌫|---⌫|---||--⌫-----⌫|
auoirde uostre painleuét	----|-|-----|---|-----|
u ofemmequi	-⌫|----|--|
pasne uoushet	--|-|---|--|
zz moltuolentier sm endonna	-|---|---------⌫||-|----|
carmafille m ed emanda	--|-|----|-⌫|-⌫-----|
p our chequene pooi tgouste r	-⌫--|--|--|-|----⌫|------⌫|
deblan c mengierniaualer	-|----⌫|------|-|-----|
oiei eif uibienmemembre	--|-⌫||-⌫-|---|-|-----|
uofemmetrouu aiense	-|----|-----⌫-|-|-|
uil luecpinoitsonchief	|--⌫---|-----|--|----|
et l auinciedeciefen chief	-|-⌫|---|-|-|---|-|----|
e sten d ueu nekeute	-⌫----⌫-⌫-|-⌫-|----|
a insd emes	-⌫--|-⌫|--|
ui p lus cointe	-|-⌫--|-----|
ta nti musaiill ue ciouste	--⌫-||----|---⌫--⌫|-----|
que iemendormisour	--|-||------|---|
tantqueu o femme mesue illa	---|--|-⌫|----||----⌫---|
quiuole ntiersm aparilla	--|----⌫-----||-------|
cho uq ue de man dé liauo ie	---⌫|-⌫-|--⌫---⌫--|-|---⌫-|
l ues alauoie	-⌫--||-|---|
ce liou rmeisme e nsi mauint	--⌫|---⌫|-----|-⌫--||----|
maisn esailass equ edeuint	---|-⌫|--|----⌫|--⌫|-----|
lisercorsforstant quei e sousque	-|------|---|---|--|-⌫|------|
lembloiae n	|------|-⌫|
qu antlibourgoisotla nouell e	--⌫--|-|-------|-|-|------⌫|
agrantmerueillelifubelle	|----|--------|-|-|----|
mais s il itre uueledel	---||-||---⌫--|-|--|
il n ottelioiepuis	-||-|--|---|---|
queiauraseille treuue	--||---|-|-|-|-----|
talant a quiluo i eleure	-----||-|-|--⌫-⌫||---|
atantuer s sonostelse	|---|---⌫|--|----|-|
u n ehucheoeuuresi en trait	-⌫-⌫|----|-----|-|-|----|
lesercotquil otcouchiét	-|-----|-|-|-|--------|
et quan t il itreuue	-|----⌫|-||-----|
le del etpuislaguille en sanle	-|--|-|---||------|--⌫----|
quiyymarsli donnas te msambl e	--|-|---|-|------⌫|-⌫------⌫|
n e ui stpas ioie grign or	|-⌫--⌫-|--|---|-----⌫-|
pardieufaitillecreatour	--|---|---|-|-|-------|
biensaimefemmen est	---|--|-|----||--|
maisuo ist souuent ala	---|--⌫--|------||-|
atous ioursmais uoir l amer ai	|---|----|---|---||----⌫-|
anuliour mai snelmesquerrai	|--|---|---⌫|-||---------|
iel seruirai	-||-------|
carch ou est	--|--⌫-|--|
carainsi leportelilois	--|----|-|----|-|---|
d ecestserc ort	-⌫|---|----⌫--|
dontl e mescroie	---|-⌫|-------|
etg rant mal i sousp eceno i e	-|-⌫---|--||-----⌫-----⌫-⌫|
femm e qui	----⌫|--|
s i mpl ecose	-⌫-⌫---⌫|---|
que p lus estuermeilleq ue	--|-⌫--|--|--------|-⌫-|
carbien ailecose	--|---|-|-|---|
benoitesoit ordame aubr ee	------|---|-|---|----⌫-|
q uei aichitr ouuésa co ust ur e	-⌫-||-|--|--⌫----|-|--⌫---⌫--⌫|
ensifu liesdesauen ture	---|-|---|-||----⌫---|
li b ourgoisetbelsedeporte	-|-⌫------|-|--|-|------|
a dameaubr eesi raporte	|---|----⌫-|-|------|
lesercote t	-|-----|-⌫|
si li don na	-|-|---⌫-|
ualles bien lesgarda	-----|---||------|
qui toutadiesfu	--|---|----|-|
tel ioieenaneset	--|---|-||-|--|
q ue pou runp o in emu ertderis	-⌫-|---⌫|-|-⌫-⌫|-⌫|--⌫--|-|--|
bourgoisquest	-------|-|--|
ten ésfaitlibourgois aub ree	---⌫--|---|-|-------|---⌫--|
boi ne estrin ee tboineiourn ee	---⌫-|------⌫|-⌫|----|-----⌫-|
ora léstost mandé s	-|-⌫---|---|------⌫|
faites len ui t desai ntmartin	-----|-|-⌫--⌫|-|---⌫-|-----|
caruous ra u ésuos yy s ous	--|---|--⌫-⌫--|--|-|-⌫--|
s irecerespontli richiaus	-⌫--|-|------|-|-------|
uousm aués	---||----|
fait molt boinees t rine	---|---|----|--⌫-⌫---|
e t simauésmis hors delime	-⌫|-||----|--|---|-|---|
duualletqu i	-|-----|--⌫|
es toitmoltfols	--⌫---|---|---|
quime demandoityysols	--|-|--------|-|---|
delsercot q uineua ut	--|-----|-⌫-|-|--⌫-|
bourgois auint	-------|----|
quide saf emme sedouta	--|-|-|-⌫---|-|----|
e nsiaubr ee d e liura	-⌫--|----⌫-|-⌫-⌫----|
lebou rgoi sd esonmalpenser	-|---⌫----⌫|-⌫|--|--|-----|
que iln i puetnulmalpenser	--|-|||---|--|--|-----|
car duserco tfu ildeliures	--|-|-----⌫|-|-|-------|
otse syyliures	-|--⌫|-|-----|
bienot son loiierd eserui	---|-|--|-----|-⌫-----|
cartout yy sont a	--|---|-|---||
parcestprouerbeuoeilco nter	--|---|-------|----|--⌫---|
qu e paup uet onf emmetrouuer	--⌫|--|-⌫--|-|-⌫---|------|
qui parsoncors f aice meffait	--|--|--|---|-⌫---|------|
sel parautrefem mene	|-|--|----|---⌫-|-|
istdesedroi te uoie	--|-|-|----⌫-|---|
s efemme nert kilede suoie	-⌫|----||--|-|-|--⌫----|
quinete seroitfemmeet seri ne	--|---|-----|----|-|----⌫-|
ensich ieus essa mplesdefine	---|--⌫---|----⌫----|-----|
ded ameaubreedeco mpiengne	-|-⌫--|-----|-|--⌫-------|
sen dites tout maus	|-|----|---|---|
li auiengne	-|-------|
etliettoutesles	-|-|-|-----|--|
quise mel l entd est r e	--|-|---⌫-⌫--||---⌫-⌫|
p iesh aus	-⌫--|-⌫--|
libourgoisdo ntiedila fa ire	-|-------|--⌫-|-|-||-⌫--⌫--|
qui l neuesqui	-|-⌫|-|-----|
puiss ed i waires	-----⌫--⌫|-----|
ainsmo uruteta laafin	---|--⌫---|-|-⌫-||--|
etliualles ens	-|-|-----|--|
conse ildeia copins	-----⌫-|-|--⌫-----|
prinstlefemmecomp elerins	-----|-|----|--|-⌫------|
len cou uintaler outremer	|-|---⌫---|---|-------|
etsil es tut bienc onfesser	-|-||--⌫--|---|-⌫-------|
et si le distoutaspreu dommes	-|-|-|--|---|-|----⌫-----|
si dissommes	-|--------|
c ainsd ieus n e fistlimalauoir	|---|-⌫---|-⌫|---|-|--|----|
c omme demalefemm e	-⌫---|-|---|----⌫|
quefemmesfontet maletbien	--|-----|---|-|--|-|---|
on n es puettenirenloii e n	-||-|---|----|-|----⌫-⌫|
l asile maingti en n e	||-|-|-------⌫--⌫-⌫|
et lamauuais sesonfrain tiengne	-|-|-------⌫-|--|----|------|
