quiabone matyreafeir e	--||---|-----||----⌫|
to t lortotlor estre	--⌫|--|--|--|----|
litrieue q uist rentill	-|-----|-⌫----⌫---|-||
ilalplus keil poure n t	-|-|---|-|-|-----⌫-⌫|
firentsauoiral ur	-----|-----||-⌫-|
qu iln ourenttrieuefor d	-|-||-----|-----|--||
il puetkil les deliure	-|---||-|--|------|
quer ilnuntdequei uiure	---|-||--|-|---|----|
li marescha lsconre i	-|--------⌫-|-----⌫|
seslaitresenueiaal rei	--|------|-----|-|--|
qu illido nastsili xx x	-|-|-|--⌫---|-|-|--⌫|
trieuestantqueparléxxx	------|------|-----|--|
asada me lemperer i z	|-|--⌫-||-------⌫-⌫|
ce fei st iltr o pa	-|---⌫-|-|--⌫-⌫||
p orplein di t nep or couuena nce	-⌫-|----|--⌫|-|-⌫-|-------⌫--|
qu ernouste nluipo intdefiance	--⌫-||---|-⌫|--|--⌫--|-|-----|
nenne plegesn egages	|-|-|-----|-⌫|----|
mai ssiilli	---⌫|-|-|-|
baillentos tages	-------|--⌫----|
telscommeillidemandereit	---|----|-|-|----------|
c e kil li demandefereit	-⌫||-|-|------|-----|
atant fu labrochexxx	----|-|-|-----|--|
kes ifu iloureap arillei	-|-⌫|--⌫||---|--⌫------|
outeno stage	--|-|-⌫----|
duntau enirdut grantdamage	---|--⌫---|--|----|-----|
non lepre mie rmaiscelapres	--|-|---⌫---⌫|---|--|----|
willeaumedekui de sormes	--------|-|--|--⌫-----|
or rameinte	--⌫-|-----|
beleauenture	---|-------|
qu iiuodra m etresacu re	--⌫||----|-⌫---|-|--⌫-|
enma niere	-|--⌫----|
kelisieg e ssetraist ariere	-|-|----⌫-⌫|-|-----|-----|
cilsonchestelregarni	--|--|------|------|
sil ousttroué	-||---|-----|
trop de sgarni	---|--⌫-----|
e enzdeboen s	|--|-|----⌫|
ch eualers	--⌫------|
ebo ensserianz b onsarchiers	|--⌫--|------|-⌫--|-------|
quisepensent	--|-|------|
kil n talantdel chastel r endre	|-||-----|--|------|-⌫----|
nedel apaisnaueiti l cure	-|-|-⌫|---||----|-⌫|---|
li emfesfu anauenture	-|----|-|-|-------|
beinsert li	---||--|-|
re is aperceu	--⌫-|------|
kilaueistesté	|-|-----|----|
maislaterme fu	---|-|----|-|
queli deuei testrerenduz	--|-|-----⌫|----|-----|
lichas telsfudel re ndre	-|----⌫---|-|--|--⌫---|
kuiloutle nconuintprendre	-|-|--||-⌫|------|------|
duncuindrentauant lo sengie r	---|-------|----|--⌫------⌫|
qu if elonsuntxxx	--⌫|-⌫---|---|--|
enfan t loe rentapendre	-----⌫|---⌫---||-----|
fual perefa itatendre	-|-|---|--⌫-|------|
li dist ke	-|---|-|
nelicheleit	-|-|------|
del enfantquer encoreaueit	-||-----|---|-----|----|
le senclumese	--⌫|-------||
les ma r t eals	--|--⌫-⌫-⌫---|
dun t forgereitdeplusbeals	---⌫|--------|-|---|----|
equantlioicod ire	|----|-|-|-|-⌫--|
s inoutgra ntmaltale n teire	-⌫||--|---⌫-|-------⌫-⌫||--|
lorscomm en da lenfan tprendre	---|----⌫--⌫-||-----⌫|------|
mener as furg es porpendre	----|-|----⌫-|--|-----|
ue rslif orches le fistporter	--⌫-|-|-⌫-----|-|---|-----|
pasdepo rter	--|----⌫---|
koueluinala sta	|--|--||---⌫-||
g rantgent	-⌫---|---|
multse doutotd enbuchement	---|-|-----||----------|
eli emfe s kelon	|-|----⌫|-|--|
kidesa mort ne	-|-|-|---|-|
s iuitlecunt ed	-⌫|--|-|----⌫||
quiteneit u nbozonm oltbel	--|-----|-⌫|----|-⌫--|--|
si lidi stos implere i son	-|-|--⌫-||-⌫----|--⌫-⌫--|
si re don ezmei celbozo n	--⌫-|---⌫-|--|--|----⌫|
quant li reisoicesteenf ance	----|-|---|-|----|---⌫---|
portrestot	--|------|
l orqu i e stenf ran ce	|-|--⌫|-⌫-|-|-⌫---⌫-|
maisparsimple sce ep ardoc or	---|--|------⌫--||-⌫-|---⌫-|
sise steitt oz	--|-⌫----|-⌫-|
aprislenfante n tre cesmeins	|---||-----|-⌫-⌫--|--|----|
ditde c es ttormen tuo sle s	--|-|-⌫--⌫|------⌫|--⌫|--⌫|
certesu os n imorre ́ s xxx	-----|-⌫-|||-----⌫-⌫|--|
uers lost s	---||--||
enr euindre ntariere	-|-⌫-------⌫-|-----|
l on atornot l a perri ere	-⌫-|------|-⌫|-----⌫--|
por feirei ete ra	--|----|-⌫---⌫||
eas mu rskui fur ent entor	|-|--⌫-|--|---⌫--|----|
lorsreu indrentlico nseiller	---|---⌫------|-|--⌫-------|
alreiloer consei ller	-|--|---|------⌫---|
q ueliemfesfusttant	-⌫-|-|----|---|---|
tost pri s	---|---⌫|
fust en la fundemis	---|-|-|----|--|
e silorf ustlaen z	|-|--|-⌫--|----⌫|
porespoentercelzded enz	--|--------|---|---⌫--|
liemfe s quipoifu	-|----⌫|--|--|-|
perr ieremen ez	----⌫---|---⌫-|
lafundeuit delaperrie re	-|----|--|-|-|------⌫-|
sisetrais tunpetit ariere	-|-|-----⌫|-|----|-----|
edist dexai e	|---|--|--⌫|
kelb ranla	--|-⌫----|
dreixq uegebranle	----|-⌫-|-|-----|
lez lafund esert	--|-|----⌫||--|
etli disto stezoste z	-|-|---|-⌫---|----⌫|
c ertesmultaue reit fe luncuer	-⌫----|---|---⌫---|--⌫--|---|
kipurreits uffri r anu lxxx	-|------|-⌫-----⌫||--⌫|--|
que ilmurust decestma rtire	--|-|-----|-|---|--⌫----|
t rops et belesenfancesdire	-⌫--|-⌫-|----|-------|---|
p ernezp erresperdrials	-⌫----|-⌫----|--------|
geteza smursas	----|-⌫|---|-|
telescumuos porrezleuer	----|--|--|-----|----|
queria nepurr ezmielzgr euer	---|-|-|----⌫-|----|--⌫---|
li aut refirentc leier	-|---⌫-|-----|-⌫----|
por fairesaillira l aporte	--|----|------||-⌫|----|
unpautonierla fant aporte	-|--------||-⌫---|-----|
sidist hanhaut dantcon estable	-|---|--|---|---|---⌫------|
sauos faitesnosu eritable	-|--|-----|--|-⌫-------|
u eizci le	-⌫--|-|-|
fil uostreseignor	--|-----|------|
quiia mur raengrantdolor	--|-|---⌫-|-|----|----|
q uer iaiert	-⌫--|-|---|
a uezme uos premis	-⌫--|-|--|-----|
faitliconest a blesoi l	---|-|------⌫-⌫---|--⌫|
parm onch efd ontmorra	--|-⌫-|--⌫-|-⌫--|----|
t elzpre nse nz aura se saciez	-⌫--|---⌫---⌫-|---|-|-----|
duntilse rra tostesqu asiez	---|-|--⌫--|---|----⌫----|
autresiconme unxxx	------|----|-|--|
ceste gil e reins neuos	----|---⌫|----|-|--|
iauerrez s a m ort	-|-----|-⌫|-⌫--|
unegrantmole demolin	--|----|---|-|----|
fist askerneals	---|-|-------|
pendre defors	-----|-----|
e lie mfes de manda	|-|-⌫---|--⌫----|
q uelgieu cerepoei tore estr e	-⌫--|---|-|------⌫|--|----⌫|
qualafenestre	-||-|-------|
quan t liro i s	----⌫|-|--⌫-⌫|
lioice dire	-|-|-|---|
boneme ntcomme nsaa rir e	------⌫-|-----⌫--||---⌫|
edist willemete usioiaus	|---|------|--⌫-|-----|
serreit boensn ebeaus	------|----|-⌫|----|
grantkuimaluosfait	----|--|--|--|---|
queruos n iau ez	---|--|||--⌫-|
de t elsioials uosquit	-|-⌫--|-----|--|---|
parmeinemurrezuosiames	--|--|-|-----|--|----|
lire i s f u alsieg easego r	-|--⌫-⌫|-⌫|-|----⌫||----⌫|
ens unp auillonsist	-|-⌫-|-⌫------|---|
quieste it	--|----⌫-|
derbes edeflors	|----||-|----|
dediuerses colors	-|-------|-----|
wille melesflorsr ega rdout	-----⌫-|--|----|-⌫---⌫----|
am ont ea ua l resgardou t	--⌫--||-⌫--⌫|---------⌫|
tr opb onementeu o lu nt iers	--⌫-|-⌫------||-⌫-⌫--⌫--⌫---|
a loutcoillan t lescheuale rs	-⌫---|-------⌫|--|-------⌫-|
qu icrei s sentenlalancel ee	--⌫|----⌫-⌫---|-|-|------⌫-|
lafoilleague lee	-|-----|---|--|
enoutcoilli asez	-|--|-----|---|
ededenzson poingamassez	|-----|--|----|------|
sid istalreibeausir e	-|-⌫--|-|--|---|---⌫|
uolez ioerasche ual ers	----|---|-|---⌫---⌫--|
o il feitil beauduzamis	-⌫-|---|-|---|--|---|
ecilu nepartieena mis	|--|-⌫-|-----|-||--|
t osta lrei dedenz	-⌫--|-⌫|--|-----|
son deuant	--|-----|
puis dist liquensf erra auant	---|---|-|----|-⌫---|----|
u os fe itlireisb e als	-⌫-|--⌫-|-|---|-⌫-⌫--|
lors pristunde	---|----|-|-|
c escheualiers	-⌫-|---------|
etlir eis ti ntleson ac unt re	-|-|-⌫--|--⌫-|-|--|--⌫---⌫-|
mais isia uin t	---|--|-⌫---⌫|
enl e ncontre	-||-⌫------|
quicilal re iperdilateste	-|---|-|--⌫|----|-|----|
willemesfistmu ltgrantfeste	-------|---|--⌫-|----|----|
lireis un autrel	-|---|-|----||
k e ce entendi	-⌫|-|------|
siliaui n tparunauenture	-|-|---⌫-⌫|--|-|-------|
parmiune c uuertur e	----|--|-⌫-------⌫|
unuaillei t kuil	-|-------⌫|-|-|
c onoisseit	-⌫--------|
dela chambresa mere	-|-|------|-|---|
por espier	--|-----|
por escouterp or oriiller	--|-------|-⌫-|-------|
que dewilleum esereit	--|-|-------⌫|-----|
moltendoteuent l eforfeit	---|-|-------|-⌫|------|
willeimesoutd eli grantioie	--------|--|-⌫|-|----|---|
enhautdistne lich a ut	-|---|---|-|-|--⌫-⌫-|
be in uin giez	--⌫-|---⌫---|
wili kinamis	----⌫--|---|
dites kuiuosa	----|--|--||
que f aitormadamemamere	--|-⌫--|-|-|---|-|---|
que fu ntmesso rorsmi	--|--⌫-|--|--⌫---|-|
ilcetapimolt tost	-|-|---|---|---|
p armiun ees treite	-⌫---|--⌫|--⌫-----|
senfuitigneleme nt tost	|-|---|--------⌫-|---|
si semusca detr esun post	-|-|----|----⌫-|-|---|
l ireis e sco u ta oi	-⌫|---|-⌫---⌫-⌫-|-|
comeguillaumesenioi	---|--------||----|
aguilla umetantost demande	|------⌫--|------|------|
il respon de	-|------⌫-|
asademand e	|-|------⌫|
estkei lp arole	--|-|-⌫|-⌫----|
bien aent endusaparole	---||---⌫---|-|-----|
feik edeim un pere	--|-⌫|--|-⌫-|---|
cil estdela cha mbremamere	--|--|-|-|---⌫---|-|---|
q ui mesgardapar ce lp ertus	-⌫-||------|--|--⌫|-⌫----|
epor q uei neuintilpar	|--|-⌫--|-|---|-|--|
dist li re isq uerre lifist xxx	---|-|--⌫-|-⌫----|-|---|--|
maisil nefust purxx x	---|-|-|---|--|--⌫|
cesenfancesnecis t ator	--|-------|-|---⌫|---|
nefu rent pastot enunior	-|--⌫---|--|--|-|-|--|
n endo usiorne es ne entreis	|-|--⌫-|-----⌫-|-|-|----|
einz du rerentplus	---|--⌫-----|---|
dedousmeis	-|---|---|
k asonsie gesist	||--|---⌫-|---|
l ireisdurement sentremist	-⌫|---|-------||--------|
lieuesques	-|-------|
dew incestreker	-|-⌫-------|--|
endur erlatr e s	-----⌫-|-|--⌫-⌫|
crueleguere	-----|----|
dun tessilie esteitla	---⌫|------|-----|-|
elagentmort econf und ue	|-|---|----⌫|----⌫---⌫-|
etoteioie esteitfondue	|---|---|-----|-----|
e totgaainztorne zap erte	|--|-----|-----⌫||-⌫---|
eto teric hessea	|--⌫-|---⌫----||
quer kantpou fregentnontque prendre	---|---|---⌫--|---||--|--|------|
ont de queilorrente s rendre	--|-|---|--|-----⌫|-----|
silorest uitl aissierlater e	-|--|---⌫--|-⌫------|-|---⌫|
ai llors lorpainsquere	--⌫----|--|----|----|
duncap o urissentli	---|--⌫-⌫-------|-|
sufreit e li plusor	-------⌫|-|-----|
por ce fu t f ei te	--|-|--⌫|-⌫--⌫-|
laconcorde	-|-------|
e r eisonmul ts	|-⌫----|---⌫||
sikechascunsteni stpardreit	-|-|-------|----⌫-|--|----|
sontenementk eilteneit	--|-------|-⌫|-|-----|
sike ntre l z n	-||-⌫--|-⌫-⌫||
e ustmes rancune	-⌫--|--|------|
n e mal ereproueretreite	-⌫|---⌫|------|-------|
dechoseke ustesté feite	-|----||-⌫--|----|----|
ceste pais c esteparol e	----|---|-⌫---|-----⌫|
fu porlaprisedenichole	-|--|-|----|-|------|
ou lireisfu pa r forc epris	-|-|---|-|--⌫|----⌫|---|
sie nabai s samu ltson pris	-|-⌫|----⌫-⌫-|--⌫-|--|---|
ne liremestforsl a corune	-|-|-----|---|-⌫|-----|
e reisk ui netout ne	|---|-⌫-|-|---|-|
ne puisge dequei sert	-|---|-|-|---|---|
que r sisseals	---⌫|--|----|
pasne corust	--|-|-----|
tot esap oestemorust	---⌫|-|-⌫----|-----|
forssulditant ku ilremest rei s	---|--||----|-|-|-----|---⌫|
mais ne corurentpa s ses	---|-|-------|--⌫|--|
aestr obu r geue reim ent	|----⌫---⌫-⌫-|--⌫----⌫--|
assembla lomc el	-------|--|-⌫-|
par l ement	---⌫-⌫----|
de kei pa is es tutestre	-|--|--⌫-|--⌫--|----|
cont ede g loecestre	----⌫|-|-⌫--------|
fulir eis changiez	-|-|-⌫--|-------|
sinfusises trangiez	-||-|--|--⌫-------|
parforcel en fi rent estrange	--|----||-|--⌫---|-------|
k er il enpristle peor	-⌫-|-|-|----|-|---|
esifuceste	--|-|----|
li ostagefuren t quite	-|-----|-----⌫|----|
ed esprison él i prison	|-⌫--------⌫-|-⌫|-----|
qu ilorsenpriso n	--⌫|---|-|-----⌫|
ewil laume uintason	|---⌫----|---||--|
multou t g ran tioiesa mere	---|--⌫|-⌫---⌫|---|-|---|
eli treifrere	|-|---|----|
eurent eugra nt d olors	-----|-|---⌫-|-⌫----|
porlesgra nz	--|--|---⌫-|
to rm enzkilxxx	--⌫--⌫--||-|--|
que lag entsouu entlor	--|-|-⌫--|----⌫--|--|
las oieg rant	-|-⌫--|-⌫---|
laga ranti desiqueci	||--⌫----|------|-|
querl omsout	---|-⌫-|---|
dire en reprouier	---|-|--------|
damledeuuelt aidi er	-------|---|----⌫-|
quemesestancene m a rtire	--|---------|-|-⌫-⌫----|
ne nul ereinsn eluipuetx xx	-|---⌫|----|-⌫|--|---|-⌫-|
de t ens enpoidexxx	-|-⌫--|-|--|-|--|
fu i guillamegranz	--⌫|-------|----|
de corssibuen taillez	-|---|-|---|------|
quesilfust	--||-|---|
par artantaillez	--|--|--------|
neu stil ueirnulsibealmenb re	|--⌫-|-|---|--|-|---|----⌫-|
querb ienle s	---|-⌫--|--⌫|
ui e bienmen menbre	-||---||-|-----|
souttropbe alspiez	|--|---|--⌫--|---|
be lesmains	--⌫--|----|
maistotcefuencor	---|--|-|-|----|
auersl e feuture	----|-⌫|------|
qu ib ienlesga r dastde fors	--⌫|-⌫--||----⌫-⌫---|--⌫---|
se mbl ast bi e nfeit e dreit	--⌫---⌫--|--⌫-⌫|---||----|
quesiliugiera	--||-|-----||
iugie rporreit ka laroon de	-----⌫|------|||-|----⌫-|
neustmielzfai td ecor sel munde	|---|----|---⌫|-⌫|---⌫|-|----|
soutbrune la	|--|----|-|
e le u i s	|-|-⌫-⌫|
ma is dela fai ture	--⌫-|-|-|---⌫---|
resem blou til	-----⌫----⌫|-|
asezhau thome	---|---⌫|---|
porestr ed e	--|----⌫|-⌫|
siou tla rgela f o r ch eur e	-|--⌫|--⌫--|-|-⌫-⌫-⌫--⌫---⌫|
b eleest ature	-⌫--|---⌫----|
comm enu ls gentizho mpuet estre	----⌫|--⌫-|-----|--⌫|---|----|
mult o uta lui	---|-⌫-||--|
taillier b oen mestre	-------|-⌫--|-----|
q ue guille umescrut	-⌫-|------⌫---|---|
eli reisestennemor ust	|-|---|------|---⌫--|
coronezlireis	------|-|---|
h enr izquifu pruzcorteis	-⌫---⌫-|--|-|---|------|
ia fameen fanz	-|---|--⌫---|
filz efillez pe tizegranz	---||-----|--⌫--||----|
li m ar eschals seporpen sa	-|-⌫--⌫------|-|------⌫-|
queguil laum e enenuerra	--|----⌫----⌫|-|------|
no r mand ieatankaru ile	--⌫-⌫----⌫-||-------⌫--|
alchamberlenc	-|----------|
son longuageneio rneore	--|-------|-|--⌫|-|--|
ein z leimeess auce enore	---⌫||---|---⌫---|----|
ei lertlorco sinsger mai n s	|-⌫|--|--|--⌫---|---⌫---⌫-⌫|
e si com il	-⌫-|--|-|
outpris enmains	--|---|-|----|
ilf istatornerso nafaire	-|-⌫--|------|--⌫|-----|
com me agentilhomeestu et f eire	---⌫-||-----|---|----⌫-|-⌫---|
quisen uet enestrange terre	--||-|--|-|-------|----|
onorc onquerre	---|-⌫-------|
uilleaumen euo lt pl usentendre	--------|-⌫|--⌫-|--⌫-|-------|
equa ntilu int	|---⌫-|-|-⌫--|
alcongie e p rendre	-|------⌫|-⌫-----|
depitie em	-|----|-|
plurasamere	----|-|---|
el esserorstuitlifreire	|-⌫-|-----|---|-|-----|
ce faitnaturetoteuo ie	-|---|-----|---|--⌫-|
sise mist tantosten l auoie	-|-|---|------|-|-⌫|---|
enmenac ompaign on	-----|-⌫-------⌫-|
f orsunuasl et	-⌫--|-|----⌫-|
quersisiecles pasa lores	---|-|------|--|-⌫----|
sic omilest	-|-⌫-|-|--|
dunreitotsanz ponee	|-|--|--|---|----|
cheualchoutsachap etrose e	----------|-|----⌫|-----⌫|
orn iag aresescui er	-||||-⌫---|-----⌫-|
quineuoilleaueirunxxx	--|-|-----|----|-|--|
ne u oil maisemplier	-|-⌫--|---|------|
aconte r lesanz elestens	|-----⌫|--|--||--|---|
que gui l lea u me fueskuie rs	--|---⌫-⌫---⌫-⌫-|-|------⌫-|
meslomdistque uint	--|--|---|--|---|
si ltene itomagrantd amage	-||----⌫-|-||----|-⌫----|
quepoitueill outtrop dormeit	--|---|-----⌫--|---|------|
e molt menio utbeu oit	|---|-----⌫-|---⌫--|
s isendesriere	-⌫||-|-------|
celefolegentpautoniere	---|---|---|---------|
quer unsel autredema nde	---|--|||----|----⌫--|
ci stgui lle ameg as teuiande	--⌫-|---⌫---⌫--|-⌫--⌫-------|
pordeui dequ esertilsaienz	--|---|-|--⌫|---|-|-----|
esidiseientorsenz	--|-------|--|--|
lic h amberlenz bien le saueit	-|-⌫-⌫--------|---|-|-----|
as ez trouentquilidiseit	--⌫-|------|--|-|-----|
de queiuosse rt	-|---|--|--⌫-|
c istemcombr i ers	-⌫--|-------⌫-⌫--|
c istmong ierscis tauei si ers	-⌫--|----⌫---|---⌫|----⌫--⌫--|
quitozd izd ort s	--|--|-⌫-|-⌫--||
ilnemangue	-|-|-----|
fo lsest qu i	--⌫-|--|--⌫|
lit rouemengue	-|-⌫---|-----|
a lchamberlencmo ltdesplaiseit	-⌫|----------|--⌫-|----------|
mais ensoreiant	---|-|-------|
s etaiseit	-⌫|------|
apres reponeitaun mot	----|-------||-|--|
enkortraira	----|-----|
n ies mi samis	-⌫--|--⌫|---|
u osne sauez	-⌫-|-|----|
keio nurris	-|-|-----|
telsesteits is confors	---|-----|-⌫-|------|
quilaueitdesp lusbeau sxx x	-|-|----|--|-⌫--|----⌫|--⌫|
q uierent deuantleseignor	-⌫-|----|-----|-|------|
sin su rgreignerent	-||--⌫-----------|
quiengranten uie	--|-|----|--⌫--|
epetit preiso entsauie	|----|------⌫--|-|--|
costim e resesteitde	------⌫-⌫--|-----|-|
quertant ertduz	---|---|--|--|
qu eia n ulsembl ant xxx	--⌫|-|-⌫-|-----⌫--|--|
demesd itke l om	-|----⌫-|-|-⌫-|
