Mutf etbienkisunsensdespe nt	--|-⌫-|---|-|--|---|-----⌫-|
giensteplainstensu spira nt	-----||------|-|--⌫-----⌫-|
De sonamioutdoelmutgran t	-|--|--|--|---|--|----⌫|
Multpensade lui e	---|----|-|--||
En gran tcumfortsoue n t lemist	-|----⌫|------|----⌫-⌫|-|---|
Deuflael e	--|-----⌫|
ilaimee apele	-|---||----|
S ermun sluidistdegrantd uc ̧urE	-⌫-----⌫|--|---|-|----|-⌫--⌫--||
paroles deg rant tendrur	------|-|-⌫---|------|
Or lecun seille o rlamoneste	-|-|---⌫-----|-⌫||-------|
Or e ditlu iessamp lesde geste	--⌫|--|--⌫|------⌫--|-|----|
Deu li ditede samere	--|-|--||-|-|---|
Suuent la pele	-----||-⌫---|
am i belfrere	--⌫|--|----|
kiainz ledespiseient	-|---|-|----------|
Ensemble odl euesqueiueneien t	-------|-||------||-------⌫|
Gran tdoelenfir e nt	----⌫|---|-|---⌫-⌫-|
mut plure re n t	--|-----⌫--⌫-⌫|
Purlur amikar mutlamerent	--|--|--|--|--||------|
Maispur lapuur	---|--|-|---|
kesentirent	-|--------|
uil m ent suuent ledegue rpirent	---⌫-⌫--|-----|-|-----⌫------|
Mai squant	---⌫|----|
tost adturné	---|-|-----|
Home malade engra nt san t é	---|-----|-|---⌫-|---⌫-⌫-|
Ensem e nt uoltcel	-----⌫-⌫-|---|--|
Kedesigreuusmal lang ui	-|-|-|-----|--|----⌫-|
Osterliuolt lemal	----|-|---|-|--|
deluis E men erle	--|--||---⌫-|-|
Ren dreliuolt	---⌫--|-|---|
purunb i enc ent	--|-|-⌫-⌫-|-⌫--|
Un angeleuint si	-|-----|---|-|
cum io enten t	--|-|-----⌫|
Silmeineparauisiun	--|----|--|------|
meintedemu st reis un	-----|----⌫--⌫----⌫-|
Merueillesiuite oï E	---------||--||--||
maürmerue illei se nti	----|-----⌫---||--⌫--|
Un mutbel champliest	-|--|--|----|-|--|
Degr ant bealté	-|--⌫--|------|
Plain sertli cha mpsde	-----⌫|--|-|---⌫--|-|
Sifla i rou tdemutgrantdulçur	-|---⌫-⌫---⌫|-|--|----|------|
E l champu it uint e	-⌫|----|-⌫-|---||
trei sma nieres	----⌫|--⌫-----|
De herbesmut	-|-----|--|
riches emutcheres	-----||--|-----|
Surlesuintedou suit	--|--|---||---⌫|--|
uit fl urs	--|--⌫--|
Belesod mutcheres	----|-|--|-----|
Chascunedecesherbesch eres	-------|-|--|-----|--⌫---|
Outs urseiuit	--|-⌫-|--|--|
flurs multentires	----|---|------|
Chaünedebel efigure	------|-|---⌫|-----|
De grantbealté deg r ant mesure	-|----|------|-|-⌫-⌫--|-----|
Lauintetierc eherbeertcreü e	-|---||-----⌫|----|--|-----⌫|
Sur lesautres e estendue	--|--|-----||-------|
Enmilesautreser t assise	---|--|-----|--⌫|-----|
Plusbe le epl us	---|--⌫-||--⌫-|
hautead euis eEpluis rendi de	----||-⌫----⌫||----|----|-|
seif le iru r A m erueillesdegrantduçur	--|-⌫--⌫---⌫||-⌫--------|-|----|-----|
Ceste portaset flursmut	----|----|--|----|--|
Debe ltéde	-|--⌫---|-|
duc ̧urnoueles	---⌫--|------|
Pl usflai rerentduz kepim ent	--⌫-|----⌫-----|--|-|---⌫--|
Keen cenzke aromatizement	-|--⌫---|-|------------|
Liclercsdemanda	-|-----|------|
par duçur	--|-----|
Kesenefiast lauerdur	-|--------|-|-----|
Degloriuschamp kei ueit	-|------|----|-||---|
De la beal té keen zesteit	-|-|----⌫--|-|--⌫|-----|
Desherbesdes f lursensem ent	--|-----|--|-⌫---|-----⌫--|
R espunsoïmutducement	-⌫-----|--|--|-------|
Kecelbel ch ampo ut	-|--|--|--⌫--|-⌫-|
Pur ceo quenetteme nt uesqui Equedes herbes	--|--|--|-------⌫-|-----||--|--|-----|
la bea lt é	-|---⌫--⌫-|
Senefiout autrebunté	--------|----|-----|
Lesdistinctions k il chanta	--|-----------||-|-----|
Deuesamereloa	--||-|---|--|
Kil c heün iu rso l eitchant er	|-|-⌫----|--⌫|--⌫-⌫--|-----⌫-|
Deue samerelo er	--||-|---|--⌫-|
Odbon cuer od deuotiun	-|--|---|-|-------|
Cumclersde grantreligiun	--|----|-|----|-------|
Karlesuint	--|--|---|
edous manie res	|---|-----⌫--|
D e bele s	-⌫|----⌫|
herbese tantcher es	-----||---|----⌫-|
D emust rentladistinctiun	-⌫-----⌫---|-|----------|
De icestesalmeparn un	-|-----|----|--|-⌫-|
Beati immaculati	----|---------|
Keu int e deusiadde	-|-⌫--||---||-|-|
q uinzes alme s amunt	-⌫----|-⌫----⌫|----|
uintedous sal mes	---||---|---⌫--|
i acuntL escritnume destinctiun	|----||-----|---|----------|
Cha ünedes salmes p arnun	---⌫---|--|-----|-⌫-|--|
Pu rceokeelessunt	--⌫|--|-|---|---|
Destinc tiuns suntapelees	-------⌫----|---|------|
Les herbescheres parlurnuns	--|-----|-----|--|--|---|
Demustrentles distinctiuns	---------|--|-----------|
Chaünesalme	------|----|
uit uers enadE chaüne herbeuit	--|---|-|-||------|----|--|
flursportad	----|-----|
L iuituersuitflu rssenefient	-⌫|--|---|--|---⌫-|--------|
Endr eit desuerslesflur s led ient	----⌫--|--|---|--|----⌫|-|-⌫---|
Cent edemieuin tesi s I ad	---||---||---⌫||--⌫||-|
flursdeue l	----|-|--⌫|
Chaünde suers	-----|--⌫|---|
unefl urrent	--|--⌫-|---|
Chaünesalme une	------|----|--|
herbe prent	----|----|
tierceherbenouele	-----|----|-----|
Enmiliudesautres	-|----|--|-----|
K iplusf udhauteeplu s	-⌫|---|-⌫-|----||---⌫|
Cestesalme	----|----|
senefiou t	--------⌫|
Deus in tu onomine	---|-|--⌫|-----|
Saluummefac	-----|-|--|
par tab unté	--|-|-⌫----|
Ke cilout chaüniorcha nté	-|--|--|-----|--|---⌫---|
En lonurde latrinité	-||---|-|-|-------|
Les f l urs	--|-⌫-⌫--|
d e celeherbenouele	-⌫|---|----|-----|
Kitantesteit e uertebel e	-|---|-----||---||---⌫|
Demustroentbien l i setu e rs Ken cele	----------|---|-⌫|--|-⌫-⌫-||-|---|
salm esunt aers	----⌫|---|---|
L essetd u nsde saintesperit	-⌫-|--|-⌫-⌫-|-|----|------|
Deusadlessuen seslit	---|-|--|----⌫|----|
Les ui tflursdes herbesentur	--|--⌫|----|--|-----|----|
Kir endirentsi gran tfl eirur	-|-⌫-------|-|----⌫|--⌫----|
Uitboneurtezsenefioent	--|--------|---------|
Karli uituersle demust roent	--|-|--|---|-|------⌫----|
Kias uinte doussalmes sunt	-|-|---||---|-----|---|
En cheüne	-|------|
uituer s iacu nt	--|---⌫||---⌫-|
Ce d emustroentlesuit	-|-⌫---------|--|--|
Kitant orentbeles	-|---|----|----|
u olent iersdeuumuerse i ller	-⌫-----⌫---|----|-----⌫-⌫---|
D euetrauail ler	-⌫-||-------⌫--|
sa du cemere chere	-|--⌫-|---|----|
K e issientent no strepr eere	-⌫|---|-----|--⌫---|--⌫---|
Kinus r entsigran tguere du n	-|--|-⌫--|-|----⌫|-----⌫--⌫|
Purc haünesalme parn un	--|-⌫-----|----|--|-⌫-|
Ensement p ur	-------|-⌫-|
chaünuers	-----|---|
Renteleluierasesse rs	---|--|----||--|--⌫-|
Qu ant cistcler soutle c h amp	--⌫--|---|----⌫|--|-|-⌫-⌫--|
Deuepa rsagrant uertu	--||--⌫|-|----|----|
distl e ber kilmena	---|-⌫|--|--|---|
Ourezuo zoi lzguardezenç a	----|--⌫|--⌫-|------|-|--⌫|
ueezlensuntempleen orie nt	---|---|-|-----|-|----⌫-|
Esguar dezl eente ntifm e ntEci laneireiesg uarda t	------⌫--|-⌫|----⌫-----⌫-⌫-||--⌫|-----||---⌫-----⌫|
Grantmerueilleue üiad	----|--------|--⌫-||-|
Un mutmerueillus templei	-|--|---------|-----||
Deor ede pier es r elu sei t	-|-||-|----⌫-|-⌫---⌫---⌫|
Tuitfud d ediuine	---|--|-⌫|-----|
Ri en niua ld reit humainec ure	--⌫-|||--⌫--⌫---|------|-⌫--|
labealtédel mund	-|------|--|---|
Net uit icil kide denz su nt	-|-⌫--|---|-|--⌫---|--⌫-|
Ne ualdreientalabeal té	-|---------||-|----⌫--|
Decel templesiaurné	-|--|-----|-|-----|
La gr ant b ea lte ́nela fa iture	-|--⌫--|-⌫--⌫---⌫|-|-|--⌫----|
N e soutdire	-⌫|---|---|
humaine natu re	------|----⌫-|
N ehoem nelapoeitentendre	-⌫|---|-|-|----|-------|
Neb uchedireraisun rendre	-|-⌫---|---|-----|-----|
bealtéde la faitu re	------|-|-|-----⌫-|
Del agrantclartéseintee pure	-|-⌫|----|------|-----||---|
Li angeleeliclerchasterent	-|-----||-|----|--------|
Tuit bonementel temp le entrerent	---|-------|-|----⌫-|--------|
Deuluifu dduneeEsainte	--|--|--⌫|----||-----|
Mariemustree	----|------|
La saintemere	-|-----|---|
alsalueür	-|-------|
Plusclere ke soleilde iur	---|----|-|-----|-|--|
Pl usf udclerepl usout	--⌫-|-⌫-|----|--⌫-|--|
Kelesoleilenmiesté	-|-|-----|---|----|
e de honur	|-|----|
Mereestd eple nieredulçur	---|--|-⌫|---⌫----|------|
B ien demustra sa grant pieté	-⌫--|-------|-|----|-----|
Acel clerc de malm esa isié	|--|----|-|--|-⌫---⌫----|
Sitos tcumeleleuitm ener	-|---⌫|--|--|-|--|-⌫---|
L ecomençat	-⌫|--------|
Odcurteisuultod bel semblantLasist tu t	-|------|---|-|--|-------||----|--⌫|
dre i t ason deuant	---⌫-⌫||--|-----|
Enbraçalebiensilnuri	-------|-|---|--|---|
Asua gat lemalde	----⌫--|-|--|-|
Com entpuisiodire u cunterUcomen t puis	---⌫--|---|-|---||-----||-----⌫|---|
io demustrer	-|--------|
Lagrant dulçu r lamistiéK elelui mustra	-|----|------⌫||-------||--|--|-----|
par sapitié	--|-|-----|
Tuitensementcum	---|-------|--|
mereen fan t	---|--⌫---⌫|
Nurristsuncherfiz	------|--|---|--|
Quantele se sma meleslidune	----|--|--⌫|--⌫----|-|---|
Odduz beisirs keleabandune	-|--|------||--|-------|
em utplusducem ent	|-⌫-|---|-----⌫--|
Lifist el e asuage ment	-|---|--⌫|------⌫---|
Dunat lu ise sdu ces	----|--⌫|--⌫|--⌫--|
Kisuntgloriuses	-|---|--------|
Odl esmamelesd u zbeisi e rsEduz di zedit	-|-⌫-|------|-⌫-⌫|-----⌫-⌫-||--|--⌫||--|
Alaiti ezcher fizalaitiez	------⌫-|---|--|-------|
Mai mesles ma me les saciez	---⌫--|--|--⌫--⌫--|-----|
Ihesus misfizaleit a d	-----|--|--|-----⌫-⌫|
Kisesamis d e nf erni etat	-|--|---||-⌫--⌫--|-⌫---|
fi zueireme nt	--⌫|-------⌫-|
Kisi res estd etu te g ent	-|--⌫--|--|-⌫|--⌫-|-⌫--|
I I lesala i taiol n urri	-⌫|--|---⌫-⌫-|--|-⌫---|
Or l esal aitiez	-|-⌫-|--⌫-----|
cher amiN e stdreitkel esl eur esmal	---|--||-⌫-|----|-|-⌫-|-⌫---⌫-|--|
Kit antes fei zdedizm apaien t	-|-⌫----|---⌫|-|--||------⌫|
Kitan t esfeiz bel	-|---⌫-⌫-|---|--|
mesaluen t	-|------⌫|
Kitant e sfeizenbiensemuen tAla uoiz	-|----⌫-⌫|---|-|---|-|----⌫||-|---|
Mul t desi ree ehonure e	---⌫|----⌫--||------⌫|
Receut limaladessanté	-----|-|------|-----|
D eliuredeenfe rmeté	-⌫-----|-|----⌫-----|
Sain fud eentir	---|--||----|
De l sungeesueil laa itant Erece ut c lere s a	--⌫|----|------⌫-||----||----⌫-|-⌫---|-⌫|
lumier e Es a	------⌫||-⌫|
facesanz malentiere	---|---|--|------|
Cil kiluirentsesmer ueille re nt	--|--|-----||-----⌫------⌫--⌫-|
Kartuit a mortainz leiuger ent	--|---||---|---|-|-----⌫--|
L apuurd icelemaisunEde lmaladeed	-⌫|---||----|-----||--⌫|-----|||
Ertiatur neeagrantduçur	--|-|---⌫--||----|-----|
Engr ants uauite ́ de	-|--⌫--|-⌫------⌫|-|
Detutespar z i acururent	-|----|---⌫||--------|
K i l eclercmaladeai nzco nurent	-⌫|-⌫|----|-----|--⌫-|--⌫-----|
Legrant miraclea	-|----|------||
t uzcunterent	-⌫-|--------|
Par estrif al e ue squealer ent	--|-----|||-⌫--⌫---|----⌫--|
Cunter ent li lagrantl eesce	------⌫--|-|-|----|-⌫----|
D el cler cdunt ainz	-⌫-|----⌫|---|---|
orent tristesce	----|--------|
Cunte rentli saguaris u nEladuçurde	-----⌫---|-|-|------⌫-⌫||-|-----|-|
Quant l i euesquel ente ndi	----|-⌫|------||----⌫--|
Dei oiede haitsesb aïÇo	-|-⌫--|-|---||---⌫--|--|
de ïst qui	--⌫---|--|
dunkesi fust	-----||---|
Quelieuesquesensne	--|-|------|---|-|
Del tut leiuiastpurdesue z	--|--|-|-----|--|-----⌫|
Delaioiee stei tpres	-|-|---|-⌫----⌫|---|
Deurend igraces suuent	--|----⌫|-----|-----|
Alclercal at parb on	-|----|--⌫-|--|-⌫-|
Alclercalat	-|----|---|
Quant presuintdecelemaisun	----|---|---|-|---|-----|
Esenti lodu r	|----||---⌫|
d e nuiru nU liclers auaitie ui t an t	|-⌫-----⌫||-|----|----|--⌫|-⌫-⌫--⌫|
Cum rien neneust oï deuant	--|---||-|---|--|-----|
Pristademanderparduçur	----||-------|--|-----|
Que fustce leduceflairur	--|---|--⌫-|---|------|
Ke eissidicelemaisun	-|----||----|-----|
Chaün pa rseimistaraisun	-----|--⌫|--|---||-----|
sa ui e an ulior	-|--⌫||-⌫-|--|
Nes en tisifai teflairorAtantuint	-|-⌫--⌫-|-|---⌫-|------||---|---|
enzenla maisun	--|-|-|-----|
uitle clercde	--|-|----|-|
belefaçun	---|-----|
Lab ucheduc e	-|-⌫---|---⌫|
entiereE son	------||--|
uo ltbe ldegr antmanièr e	--⌫-|--⌫|-|--⌫--|-------⌫|
ueit leuersle cie l	---|-|---|-|---⌫|
e sguarde r	-⌫-------⌫|
L echiefmoueir	-⌫|----|-----|
les oilz l euer	--|---|-⌫---|
ueit lib ienestendreses m ains E otle	---|-|-⌫--|-------|--|-⌫---||-|-|
parlerc umesa ins A	-----|-⌫--|--⌫--||
Deu ren digracesform ent	--|---⌫-|-----|----⌫--|
Preat at uz faireensem ent	----||-⌫-|----|-----⌫--|
Tui t s escrientkileo ïren t	---⌫||-------|-|-|-⌫-----⌫|
Odcrigracesa	-|--|-----||
Deurendi rent	--|-----⌫---|
Maispuiskel apaisfud rendue	---|---|-|-⌫|---|--|-----|
Delcriedelan oiseeüe	--|--||-|-|-⌫---|---|
Cuntaicil clers boneuré	----|---|----|-------|
Detuten tutcuma derré	-|--|-|--|--|-⌫|----|
Cumfudmenécumfud rauit	--|--|----|--|--|----|
Cumu itl e c hampd eg r antdelit	--|-⌫-|-⌫|-⌫---|-⌫|-⌫-⌫--|----|
Desfl u rsedes senefiances	--|--⌫-⌫-||--|----------|
Des herbe s debe l essemblances	--|-----⌫|-|--⌫-⌫-|---------|
Damel iredis t	---|-⌫|-----⌫|
Cuml aleitatcumleguarist Eli	--||------|--|-|------||-|
eues quefud mutlié	----⌫--|--|--|---|
Plur atde ioieede pitié	----⌫-|-|---||-|-----|
Puis la c umunia	---||-⌫-⌫-----|
pard uçur	--|-⌫----|
Delbene itcors	--|----⌫-|---|
Li c lersgraces a	-|-⌫---|-----||
Tuithaitie ́de lsieclet ransi	---|------⌫|--⌫|-----|-⌫----|
Elciel ren di sunesperit	-|---|---⌫-|--|------|
enreposendel it	-|----|-|---⌫-|
Or eauezoi ̈bo ne ment	--⌫|---|--⌫|--⌫--⌫---|
ducem entAtuz e	-----⌫--||--||
atutesk i su nt	|----|-⌫|--⌫-|
Ki riendesu nduzt a le ntfunt	-|---|-|--⌫|--|-⌫-⌫--⌫-|---|
E n tut eter re e ntute gent	-⌫|---⌫|---⌫-|-⌫|---|---|
Poetle n oïrd iuersement	---||-⌫|---|-⌫---------|
Desesmiraclesdes es faiz	-|--|-------|-|-⌫-|---|
Deperilliezedecuntrai z	-|--------||-|-------⌫|
Trestutlimu nd	------|-|--⌫-|
est si plains	--|-|-----|
Kesuzcielnes t hoem	-|--|---||--⌫|---|
neescriueins	-|---------|
K ipuissecunter nees crire	-⌫|-----|-----|-|--⌫----|
Sesduces merueilles ne dir e	--|----|---------|-|---⌫|
Or n usfac e	-|-⌫-|---⌫|
ladame chere	-|---|----|
Par la sue	--|-|--|
saint epreier e	-----⌫|------⌫|
Entrerlasus	-----|-|--|
enparei ̈s	-|-----⌫-|
Queesioi ̈ripuissu m tut	--|-----⌫-||------⌫|--|
Li homedeiolift é	-|---|-|------⌫-|
Ki tantaimentluruolenté	-|---|-----|--|-------|
Amereient mil zautre escrit	--------|---⌫|----|-----|
Kecunt astamerusdelitU batailleu	-|----⌫--|-----|----||-------||
a ltreauenture	-⌫---|-------|
Entelsescrizmettentl ur cure	-|---|-----|------|-⌫-|---|
Tesescr iz nesu nt adefendre	--|----⌫-|-|--⌫-||-------|
Kargrantsensi poet lenaprendre	--|----|---||---||-|-------|
Decurtes iee desaueir	-|------⌫-||-|-----|
Maissurtutdeit l	---|--|--|---||
en c heraueir	-|-⌫--|----|
Lesescriz denostrereï ne	--|-----|-|-----|----⌫-|
K id es pe chi e z nusestmescine	-⌫|-⌫-|--⌫---⌫-⌫|--|--|------|
K inusdeita	-⌫|--|---||
De uacorder	--⌫|------|
faire e lciel entrer	----|-⌫|---|-----|
Karsuluncceokal	--|-----|--||-|
liuret ruis	----|-⌫---|
S anz cu ntredi tp arraisun pui s	-⌫--|--⌫------⌫|-⌫-|-----|---⌫|
Ke suzciel nadsi or dp e c he ur	-|--|---||-|-|--⌫|-⌫-⌫-⌫--⌫-|
Kenuersla dam ea it amurK	|-----|-|---⌫|-⌫-|---||
ilnen aitbienle	-||-|--|---|-|
gueredunE d emalfédefe nsi un	-------||-⌫|-----|----⌫---⌫-|
Iceopurra bienespruu e r	---|----|---|------⌫-⌫|
Kicestliureueutescuter	-|---|----|---|------|
M ultparse reit duncmaleure ́	-⌫--|--|--⌫---|---|-------⌫|
Deseneissu eabsorbé	-|--|----||-------|
Ki mielzamastde	-|----|----|-|
ges t eoi ̈rU d amur lire ude el mentir	---⌫-⌫|--⌫-|||---|---||-|-|-----|
Ke dicele dame	-||----|---|
Ki surtutes estbe nuree	-|--|----|--|--⌫----|
Kiestclam eefille emere	-|--|----⌫-|----||---|
Kiporta su nfiz	-|----|--⌫|--|
Or laüre c umseignur	-||----|-⌫-|------|
Cum fizepere ecre at u r	--|--||---||---⌫--⌫-⌫|
Sis peresde uint sischer fiz	--|----|--⌫---|--|---|--|
Tres bi ensa ike par	---|--⌫-|--⌫|-|--|
ses du lz diz	--|--⌫-|--|
Nus poet de pec hiezalegier	--|---|-|---⌫---|------|
Seleuelt purnussunfizpr eier	|--|---|--|--|--|--|--⌫---|
Purcels le req uer ra fo rment	--|---|-|---⌫---⌫-|--⌫----|
Ker ie n funt desun	-|-⌫--⌫|---|-|--|
duztal ent	--|---⌫--|
Dul cechoseest de	---⌫-|----|--|-|
Deucunt er	--|----⌫-|
Biendeitle n sesfa ize scuter	---|---||-⌫|--|--⌫-|-⌫-----|
Epui srendre	|---⌫|-----|
l ui glorieegraces	-⌫-|-----||-----|
N el deit hoem	-⌫-|---|---|
lais serp urmanace s	----⌫--|-⌫-|------⌫|
Crestien cump lusestdreit urir	-------|--|-⌫--|--|-----⌫---|
Sesfaizdeiuent	--|---|------|
auant traitier	----|-------|
Pur tuz crestiensamender	--|--|--------|------|
Ke tui t puissumelciel	-|---⌫|------|-|---|
Souent enueiea noz prof iz	-----|-----||--|----⌫-|
S esang eles e sesesperiz	-⌫-|---⌫---||--|------|
Si cu muusdirral a raisun	-|--⌫|--|----|-⌫|-----|
Kesuit aprésencestse rmun	-|---|-----|-|---|--⌫---|
Unsher mites esteit	--|---⌫----|-----|
Multparserui	---|--|----|
Deuaplaisir	--||------|
Chaün ansoleit cistoïr	-----|-|-----|---|---|
Elciel soneruoiz a ngeline	-|---|----|---|-⌫------|
Lanuitde lasaintereïne	-|---|-|-|-----|-----|
Deun ostreauoé	--|-⌫----|----|
Lanuitde sanatiuite ́	-|---|-|-|--------⌫|
La nuit ke la	-|---|-|-|
dame f udnee	---|-⌫-|--|
Kiabonu reesteit portee	-||--|-⌫-|-----|-----|
soleitiloïr	-----|-|---|
E l cielchanter ee sioïr	-⌫|---|------||-⌫-----|
Cil sesmerueillat forment	--||-----------|------|
Del duzchantke oïtant	--|--|----|-|--|---|
Quan tena ltre tensnel	----⌫|-|-⌫---|---|-||
De u del cielcria mer ci	--⌫|--|---|---|---⌫-|
Kesilipleu stl i	-|-|-|----⌫-|-⌫|
demustrast	---------|
Quecel duz cha ntsenef iast	--|--|--|---⌫-|-----⌫---|
Mult re quist	---|--⌫----|
celchant dut E	--|----|--||
uns angelesluiappa rut	--|------|--|----⌫--|
De ub oneme ntluitrans mist E liangeles est utsili	--⌫|-⌫-----⌫-|--|-----⌫---||-|------|---⌫-|-|-|
Deunesmeru eillez	--||------⌫-----|
Dece lduzchantdunt	-|--⌫|--|----|---|
Ice leducemelo die	---⌫-|---|----⌫--|
Estpur amursainte	--|--|---|-----|
Deu cum bonuree	--|--|------|
I cest e nuitertelenee	-⌫----⌫|---|--|--|--|
Pur ceochantumsi du c em ent	--|--|------|-|--⌫-⌫--⌫--|
Qu a nuit ertne eue ireme n t	-|-⌫---|--|--⌫|--⌫-----⌫-⌫|
Iaseiticeo kege nt nel	-|---|---|-|--⌫-|--|
keangeles la	-|------|-|
festefa cent	----|--⌫---|
Demustreztost ic estser uiseAtu zles	--------|---|--⌫--|---⌫---||--⌫|--|
fiz desain te	--|-|----⌫-|
IgliseEdites lurc u muusoïstes	-----||----|--|-⌫-⌫|--|------|
L eduzc hantequemei	-⌫|--|-⌫---||--|--|
ueï s te sKilfa c entlafesteensem ent	----⌫-⌫--⌫||-|--⌫-⌫--|-|----|-----⌫--|
Partuitlesiecleacordablement E	--|---|-|-----|------------||
quan tl iangele liout	----⌫|-⌫|-----|-|--|
uolatcumes perit E li sain t hoem	----|--|--⌫----||-|----⌫|---|
ignelme nt	-------⌫-|
Alatedista la gent	---||---||-|---|
Ceo queout	--|--|--|
ueü c eo que outoïA t a nt	---|-⌫-|--|--|--||-⌫-⌫-|
cum pou tledes couri	--|---⌫|-|---⌫----|
Quantlafesteert	----|-|----|--|
demus tre e	-----⌫---⌫|
Partutl e s ieclefud	--|--|-⌫|-⌫----|--|
comandeeAguarder ensaintemaniere	-------||------|-|-----|------|
P u ram u rde ladam echere	-⌫-⌫|--⌫-⌫|-|-|---⌫|----|
duinstlaseinte	-----|-|-----|
Deu grac eE	--|----⌫||
Deusnusduinstu eersa face	---|--|-----|-⌫--|-|---|
ueer e oi ̈r	---||--⌫-|
Ke mut couientcesteseruir	-|--|------|----|-----|
Cesteno stre	----|--⌫---|
ducemeschin e	---|-------⌫|
de l munddelciel	--⌫|---|--|---|
Seruirlanus e stuet seintement	-----|-|--|-⌫----|---------|
Quantlicelestiencouent	----|-|--------|-----|
S e sioi ̈stase s fe stestant	|-⌫----⌫--||--⌫|--⌫---|---|
Par m elodieeparduz chant	--|-⌫-----||--|--|----|
Ke ue ient	-|--⌫---|
De utuitc le rement	--⌫|---|-⌫--⌫-----|
Faceafaceaper te m ent	---||---|----⌫--⌫-⌫--|
Ki unkesne p echerent rienE	-|----|-|-⌫-------|---||
nequedent lase ruen t b ien	--------|-|--⌫----⌫|-⌫--|
Multla nus couientduncse ruir	---|-|--|------|---|--⌫---|
Purno zpec hiez espeni r	--|--⌫|---⌫---|------⌫|
Unsclersesteit	--|----|-----|
nesailen un	-|--|-|-⌫-|
Dunéseert ar eligiun	----|-|--||-⌫------|
Regulerment ert orden éE	----------|--|-----⌫-||
profése a	------|||
Maisil ha ï le mestierEd euintdes un	---|-|--⌫-|-|------||-⌫----|-|-⌫-|
corslegie r	---|-----⌫|
Kiestach astéacuntrai r e	-|--||--⌫----||-------⌫-⌫|
M ultdemen a chai ti u euie	-⌫--|-----⌫|----⌫--⌫-⌫|--|
Eno rdu redel e ger ie	-|-⌫---⌫-|-|-⌫-⌫---⌫-|
Unewe soltpas serles nuiz	-|--|---|---⌫--|--|---|
Q uantil aladases deduiz	-⌫---|-|---||--|-----|
Pursamalues tiépa remplir	--|-|------⌫---|--⌫------|
Pa r l euu e soltpuis	--⌫||---⌫|---|---|
Q ua nt iloutparfaitsa ordu r e	-⌫--⌫-|-|--|------|-|----⌫-⌫|
Dunt nu it	---|--⌫-|
este it en	----⌫-|-|
I c iste s teitacustu m et	-⌫-⌫--|-⌫-⌫---|------⌫-⌫-|
Ias e itiçok ilfustsi	-|-⌫-⌫-|---||-|---|-|
Mariehonur er	----|-----⌫-|
Sesuresselt	--|---|---|
decuerchanter	-|---|------|
A uintki lre uintun enui t	-⌫---||-⌫|--⌫---|--⌫|---⌫|
Quantoutpar fait su n f oldeduit	----|--|---⌫---|--⌫|-⌫-|-----|
P arcelewe u passout	-⌫-|--|--||------|
salttem pes te e uent	---|---⌫---⌫-||---|
Li tenscommençataenfler	-|---|---------||-----|
Cildelapoüra trembl e r	--|-|-|----||------⌫-⌫|
N e st pas	|-⌫-|--|
merueilles ildutatUsildel anguiss e	--------||-|----|||-|-||-------⌫|
Nesoltquediren equefaire	-|---|--|---|-⌫|--|----|
Neualernequ el p arttraire	-||---|-|--⌫-|-⌫--|-----|
Nedel ewenepou t eissir	-|-||--|-|---⌫|-----|
Tresbien ueitk	---|---|---||
ildeitperir	-|---|----|
Sa pard ur able mort	-|----⌫--⌫---|---|
Karla conscience lidit	--|-|---------|-|--|
Queaproefsamo rterte ntu rmen t Eenpeines	--|-----|-|--⌫-|--|-⌫|--⌫----⌫||-|-----|
finab lement	-----⌫-----|
Sesoilzenuers le	--|---|-----|-|
cielleuatEde quertendreme n tpluratE	---|----||-|---|--------⌫-⌫|-----||
Damesainte	---|-----|
Ne r ecordezpas mafolie Oduz port	-|-⌫------|--|-|----||--|---|
detuzp eril lie z O	-|--|-⌫----⌫---⌫||
plenté detuzmes aisiez	------|-|--|---⌫-----|
Esteill e deme rdesiree	-------⌫|-|--⌫|------|
Deur eïn ehon uree	--|-⌫----⌫|---⌫---|
auo streplaisir	|--⌫---|------|
Suc urez me ikidei	---⌫---|--⌫|-|--|
Marie dame chere	----|---|----|
Oezbonement map reie r e	--|-------|-|-⌫----⌫-⌫|
Ore recordezmerede gl orie	--|-------|---|-|--⌫---|
Cumuus aieüenmemorie	--|--|-|--|-|------|
Quant uostreseruis e	----|-----|------⌫|
Ia seitiço kefols	-|---|---|-|---|
Qu ant ço outdits i	--⌫--|--|--|--|-⌫|
s en retint	|-|-----|
Adunc a prime slui suuint	----||-----⌫|--|-----|
Des matinesdenost remere	--|------|-|----⌫-|---|
Ki porta tsunfiz	-|-----⌫|--|--|
es unpe re	|-⌫-|--⌫-|
Du nclescomençat ach anterE	--⌫-|--|--------||--⌫----||
Marieanumer	----||----|
S i cumes uu en tlad ise it	-⌫|---|-⌫--⌫--⌫|-|-⌫---⌫-|
E lemote nbu che teneit	|-|--|-⌫|--⌫--|-----|
ue ntenlewechaïE	--⌫-|-||--|----||
chaitiuem e ntsiperi	---------⌫-⌫-|-|---|
Diableuindrent	-----|-------|
c elchaitif	-⌫-|------|
M ene rentla hastiuement	-⌫---⌫---|-|----------|
E n uersenfernalurturment	-⌫-⌫---|-----||--|------|
Li a n geleensement	-|-⌫-⌫---|-------|
iuind rent Eles malsesperizdetindrent	|----⌫---||--|---|------|---------|
