cil qui se uent	--|--|--⌫---|
peutles chaledepecier	---||--⌫----|-------|
q uantas onnidutr epairer	-⌫---||-⌫-|-|--|-⌫------|
unec ornaillelencon tr a	--|-⌫-------||-----⌫--⌫|
s idi t queli enseigne ra	-⌫|--⌫|--|-|--------⌫-|
comeleschaleporra ourir	---||------|----|----|
seleaupoissonpeut par tir	|--|-|------|---|---⌫--|
puizliro uaamont uoler	---|-|--⌫-||---|----|
compluspeutmonter	--|---|---|-----|
quant ilseramo n t éla	----|-|---|--⌫-⌫-⌫-|-|
s ilai tla uelque chairius	-⌫|---⌫|-|-----|----|--|
silaporr abie ndepecier	-|-|----⌫|---⌫|-------|
liaig lez agrantd esi rer	-|---⌫--||----|-⌫---⌫--|
d el auelquetot eman gier	-⌫|-⌫|-----|---⌫|---⌫---|
porte ch air	----|--⌫--|
la corneillefu	-|--------|-|
auantala del becferi	----|--|--|--|---|
siqueleschale	-|--||------|
unp oiouri	-|-⌫-|---|
lepessonetdedenzmania	-|-------|-----|----|
les c ha l elestsi	|--⌫-⌫--⌫-⌫|---|-|
ainzque liaig lezfutuenuz	---|--|-|---⌫--|--|----|
nequil sefustape rce uz	-|-|-|-|---|---⌫---⌫-|
p arc este fable	-⌫-|-⌫---|----|
d elposson	-⌫-|-----|
uosmostreessampledel	--|-----|-------|--|
qui par agaitet	--|--|----|-|
mesconceilleson bo nueisin	-----------|--|--⌫|-----|
tel ch ose li	--|--⌫--|-|
conse il eafaire	-----⌫--⌫||----|
d ontc ilne puet a	-⌫--|-⌫-|-|---||
bon chieftraire	--|----|-----|
quantilo nquezso ntmiauzensemble	----|-|-⌫----|--⌫-|----|-------|
la ra ison	-|--⌫---|
li tot et em ble	-|--|-|--⌫--|
l auoirque cil	|----|--|--|
aporchac ié	|-------⌫--|
pargranttrauaila gaaigné	--|----|------||-------|
ansiauin tet	---|----⌫|-|
bienpuete s tre	---|---|-⌫-⌫--|
q uepardauant une	-⌫-|--|-----|--|
qu i enun ede spencefu	--⌫|-|--⌫|--⌫-----|-|
uola u nco rb si aueu	---|-⌫|--⌫-|-||--|
formaigezqui dedenzgisoi ent	--------|--|-----|-----⌫--|
etsorla deiereluysoient	-|--|-|---|----------|
lun enapr i s atant s	|-|-||--⌫-⌫||---||
u ngopiluitquilenco ntra	-⌫|----|--|--||----⌫---|
delform aigeotgrant des irer	--|----⌫---|-|----|---⌫---|
q u ilenpeut	-⌫|-|-|---|
saparma ngier	-|--|--⌫----|
p aren ginu odraes s a yer	-⌫-|--⌫--|-⌫---|--⌫-⌫-⌫--|
selecorbpo rra e ngignier	-|-|---|--⌫--|-⌫-------|
ad ieusir efaitlig o lpiz	|-⌫--|---⌫|---|-|-⌫-⌫---|
tantpar estci stoysauzgentis	---|--|--|--⌫-|-----|-----|
ainz demezyauzsibelneui	---|-|--|---|-|--|-|-|
c ileu t sonchant	|-|--⌫|--|----|
com soncors	--|--|---|
iluau droitmiauz quenustresors	-|---⌫----|----|--|--|------|
lic or bs oysi	-|-⌫--⌫||-|-|
qu e ntotlemond e notsonper	-|-⌫|--|-|----⌫||-|--|--|
p or p ensez est q uilch antera	-⌫--⌫-⌫----|--|-⌫|-|--⌫-----|
iaporchante rlos	-|--|------⌫|--|
lebecourisi	-|--|---|-|
liformagez li eschapa	-|-------|-|------|
e tlig olpiztostch asil	-⌫|-|-⌫----|---|--⌫--||
puiz nout i lcuredeson chant	---||--|-⌫|---|-|--|----|
quide lform aige otso nta lant	--|--⌫|----⌫---|-|--⌫|--⌫---|
ce s tessam pleest desorgueill oz	--⌫-⌫|-----⌫--|--|--|--------⌫-|
q uide grant pri ss ont desirous	-⌫-|-|----|---⌫|-⌫--|-------|
parlo se ngieret parmentir	--|--⌫--⌫----|-|--|-----|
lez pue t on biena gre seruir	--|---⌫|-|---||--|-----|
lelordespenden t fole ment	-|--|---------⌫|----⌫---|
porlezlosengezd e la	--|--|-------|-⌫|-|
delleonconteliescriz	--|---|----|-|-----|
quifudefezetenuei lliz	--|-|----|-|-----⌫---|
maladeziut molt longuenment	------|--|---|----------|
del r eleuer n	--|-⌫-----||
totez le z	----|--⌫|
be stezsase nbleret	--⌫---||---⌫------|
p orlui ue iracor	-⌫-|--|--⌫-||--|
liplusorsont	-|-----|---|
porluidolent	--|--|-----|
etaaucunsne nchaut nient	-||-----||-⌫|----|----|
etsauoiru e ulen t	-|-----|-⌫-⌫----⌫|
senlui omaiz point deretor	|-|--||---|----|-|----|
li torsdesez	-|---|-|--|
cornezlebo u te	-----|-|--⌫-⌫-|
q ui pasne ldou te	-⌫-|--|-||---⌫-|
p ietlefier	-⌫--|-|---|
suizle pis	---|-|--|
d elautrepar	-⌫||----|--|
uient ligolp iz	----|-|----⌫-|
a densle m or parlezor e ill ez	|---|-|-⌫-|--|--|--⌫-⌫---⌫-|
leo nsor uoymeruei llez	---⌫-|-|--|------⌫---|
bienmes ouie ntqu	---|-|-⌫----⌫-|-|
qu antionez fuetensant e	--⌫--|----|-|-|-|----⌫|
qu etotezbestesme do utoient	--⌫|----|-----|-|--⌫------|
comeseignor etaoroi en t	---|------|-|-----⌫--⌫|
or meuoientmoltafoiblé	-|-|-----|---|-------|
defoleymont	------||--|
e t auillé	-⌫|------|
mo ltmesemble gregnor uilte	--⌫-|-|-----|------|----|
deceauzqui f uren tmi	-|----|--|-⌫----⌫|-|
a quii e fish onoretbien	|--|-⌫|--|-⌫---|-|---|
quine remenbre	--|-|-------|
neq uede sautrez quime sfis	-|-⌫-|--⌫|-----|--|--⌫---|
le nonpossont apoiam i s	-|--|------||--|--⌫-⌫|
parmeis mez cesteraison	--|----⌫--|----|-----|
prenonses sample doule on	------|--⌫-----|--|--⌫-|
q uiq onqueschiet	-⌫-||-----|----|
t uit letienentano n cha loir	-⌫--|-|------||--⌫|---⌫---|
d u nriche trouonen escrit	|-⌫|----|-----|-|-----|
quin orrisoitu npetit chien	--|-⌫-------|-⌫|----|----|
souentefoiz oliioa	------|---||-|--|
etunsien asnezl esgar da	-|-|---|----||-----⌫-|
ensoncor a igeenten doitbien	-|--|---⌫-⌫--|-----⌫---|---|
que tu itli	--|--⌫-|-|
autr eai me ntlechi en	----⌫|--⌫--⌫-|-|---⌫-|
porleseignorqu i tantlamoit	--|-|------|--⌫|---||----|
sors son ma ntelbiensemusoit	---|--|--⌫---|---|-|-----|
mol tces tli asnez	---⌫||--⌫|-|----|
po r pencez	--⌫-⌫-----|
quepluzdelchi e n uaut	--|---|--|---⌫-⌫|---|
mieuzceitioerquec hienpetit	----|---|---|--|-⌫---|----|
e tmieuzs eroitoyc ezcri z	-⌫|----|-⌫----|-|-⌫-|---⌫|
etmi euzsauroit su zluisalir	-|--⌫--|------|--⌫|--|----|
comfaitlichiensso rsonseignor	--|---|-|-----|--⌫|--|------|
i s siauint	-⌫-⌫-|----|
que paruniour	--|--|-|---|
aloitlis irezded uisant	----|-|-⌫---|---⌫-----|
e tsonchienp etitiouant	-⌫|--|----|-⌫---|-----|
ne poitliasnez pluz	-|---|-|----|---|
uersleseigno rp rist a ue nir	---|-|------⌫|-⌫---||--⌫--|
dezpiezle f iersu zlu isalli	--|---|-|-⌫--|--⌫|--⌫|----|
siqua laterre l abati	-|-||-|----||----|
porpo iqueil nel	--|--⌫|--|-|-||
sili sirezn eutcrié	-|-|----||--|----|
haronharonsa aidezmo y	----|----|-|----|--⌫|
sezh omessaillenta desroy	--|-⌫---|-------||-----|
chacun ti e ntmace	-----|--⌫-⌫-|---|
lasnef erriren tenuiron	|---|-⌫-------⌫|------|
agrantmarti reagrantdolor	|----|-----⌫-||----|----|
poent rescorelorseignor	----|------|--|------|
a nsiontlasne ta nt batu	-⌫--|--||---|--⌫-|---|
quillelaisenttot	-|-|-|------|--|
sau oir deuonparcest e	---⌫--|----|--|----⌫|
lamani ere	-|----⌫--|
demeinte gent	-|-----|---|
moltbienpoaiz ueoir	---|---|----|----|
qui tant seueulent essaucer	--|---|-|------|-------|
etentel leuap arag ier	-|-|--|--|--⌫----⌫--|
quame intestissiauenu	-||--⌫--|--|---|----|
comfi tcelasn equifu t	--|--⌫|--|---⌫|--|--⌫|
dunleondit quese	|-|---|--|--|-|
enun boscage	-|-|------|
o ui l estoit	-⌫|-⌫|-----|
uindrent deduisant	-------|--------|
petitezetgranz	------|-|----|
lune co rrut nesen	|--|--⌫---|-||-|
so r leleon silesueilla	--⌫|-|---|-||-------|
li leonfumout	-|---|-|---|
c o rreci ez	-⌫-⌫-----⌫-|
pri ttan tfut y rez	---⌫|---⌫|--|-⌫--|
deli uol oi t faireiustis e	-|-|---⌫--⌫|----|------⌫|
elle escon dit quennul e guise	---|-----⌫--|-|-|---⌫|----|
nelauoit fa it	-||----|--⌫-|
etlileons atantlalait	-|-|----||---|-|---|
pe titdonorcedituauro i t	--⌫--||---|-|--|-----⌫-⌫|
de l a soris sill ocioit	-|-⌫|----||-||-----|
gairezdetens nedemora	-----|-|---|-|-----|
quelileonssenpr isona	--|-|----||----⌫----|
e nunefoseque	-⌫|--|---|--|
unsh onfaita	--|-⌫-|---||
grantpao uraq ue n	----|---⌫-||-⌫|-⌫|
ded ensla fosebraitetcrie	---⌫--|-|---|----|-|---|
lasoriz uataucrito utdroit	-|----|--|-|--|--⌫-|----|
maiz ne sa uoitqu ecesto it	---|-|--⌫---|--⌫||----⌫-|
quielboi z	--|-|---⌫|
lauoit esueillié	|----|---------|
quant elle leuit siengignié	----|---|-|--|-|--------|
deman dali qu	-----⌫-|-|-|
ilotla qu is	-|-|-|--⌫-|
etilrespon tquil estoit	-|-|------⌫|-|-|-----|
oscizseroitagrantdolor	----|-----||----|----|
ditlasorizna iezpaor	--|-|----||-⌫--|---|
oruosrendrale	-|--|-----|-|
quan t m oife itez lepardon	----⌫|-⌫-|--⌫---|-|-----|
g ratezl aterrede uospi e z	-⌫----|-⌫|----|-|--|--⌫-⌫|
t antquaferme r uos ypu issie z	-⌫--|-|------⌫|--||--⌫-----⌫|
a nsiporre zsaforsissir	-⌫--|-----⌫|-|---|----|
etie feraomoyu enir	-|-|---||--|-⌫---|
autrez sorizpormoy	-----|----|--|--|
ascordezqu eci	-|-----|--⌫|-|
sonttranchier	---|--------|
lenseignementa la soris	|-----------||-|----|
f i tlileon s	-⌫-⌫|-|----⌫|
sifutgaris	-|--|----|
p ar ceste fablenosassome	-⌫-|----|----|--|-----|
que le essam plepregne li	--|-|-----⌫--|-----|-|
qui sorl ezpour ez ont poar	--|--|-⌫-|----⌫-|--|---|
mesfont parno nsauoi r	------|--|--⌫|-----⌫|
quil enaientbonemerc i	-|-|-|----|---|----⌫|
auen ir puet	----⌫-|---|
t otautresi	-⌫-|------|
quecilena uragrantmesti er	--|--|-|-⌫--|----|-----⌫-|
et mauzlisau ra conseilli er	-|---|-|---⌫-|---------⌫-|
a s onbesoing cilestso rpris	|-⌫-|------||-|--|--⌫----|
quel e meaudre decezamiz	--|-⌫|------|-|--|---|
par uielessam pleescrittrouons	--|---|-----⌫--|-----|------|
quantlinsema li	----|--|---|-|
pr imershon	--⌫----|--|
semapor plus auoi r	---|--|---|----⌫|
larondefud e grant	|-----|-|-⌫|----|
bien sa p ersu i t	---||-⌫-⌫----⌫-⌫|
quepar leli n	--|--|-|--⌫|
se r ont oyseauz mis	--⌫-⌫--|------|--|
alo rf i n	|--⌫|-⌫-⌫|
doulinpuet on lezreizlace r	--|--|---|-|--|---|----⌫|
toz lezoyseausfist assenbler	--|--|------|---|--------|
sil oruoloitco nseildoner	-|-⌫-|-----|--⌫----|----|
quil alassentle	-|-|-------|-|
linmangier	--|------|
peutfructifier	---|---------|
liplusors neluoloientfa ir e	-|------|-||-------|--⌫--⌫|
au semeor le uontretraire	-|-----|-|---|-------|
leconseilquel oroutdo né	-|------|--|-⌫-|--|--⌫--|
quantl a rond elotescoté	----||-⌫----⌫-|-|------|
comill auoient	--|-||------|
de c ezparenzfitassemb lee	-|-⌫-|-----|--|------⌫--|
si ces t au	-||--⌫|-|
uilenapasee	----|-----|
ensa mason	-|-|----|
s offrisonni	-⌫----|--|-|
lafuren tli oysel norr i	-|-----⌫|-|----|----⌫|
larondedonaason li n pez	|-----|---||--|--⌫|--|
ia parnulen iperdramez	-|--|---|||-----|--|
ci lfit dou linenginsplusors	--⌫|--|--|--|-----|------|
dont pritoys eauz granzet	---|---|---⌫---|----|-|
neusent pascestmal	|-----|--|---|--|
sil eussentcons e ilcreu	|-|------|----⌫-⌫-|---|
c estessampleestasez uoire	-⌫--|-------|--|---|----|
que fo u sne ueutlesaigec roir e	--|--⌫-⌫|-|---|-|----|-⌫----⌫|
qui b oncon seilli ueutdoner	--|-⌫-|---⌫---|-|---|----|
son malle ueut garder	--|--|-|---|-----|
sedamagelid oituenir	-|-----|-|-⌫--|----|
d onc est t roptartdou repentir	-⌫--|--|-⌫--|---|--|-------|
iadisauint quenun	----|----|-|-|-|
entorlezriuezet lefein	----|--|----|-|-|---|
r ei ne zgranzconpagnies	-⌫--⌫--⌫|----|---------|
tensis ontno rriez	---||-⌫--|--⌫----|
la desdigner ent a rester	-|---------⌫--||-----|
alater r eueulentaler	|-|---⌫-⌫|------|---|
destinee crierent	-------|-------|
soue ntefoi zlidemanderent	----⌫--|---⌫|-|----------|
queroilordeusten uoier	--|--|--|----|--⌫----|
card autr e rienn	--||----⌫|---||
orent mes tier	----|---⌫---|
ladestinee ae nuoye ́	-|-------||-⌫-----⌫|
enm ilaigueun tronccelior	---⌫||----|-|----|--|--|
do ntellesorrent	--⌫-|----|-----|
grantpaour	----|----|
ce lequip rezdeltronestuit	--⌫-|--|-⌫--|--|---|-----|
qu an telle u i t	--⌫--⌫|---|-⌫-⌫|
s ezc onpaignonsapelea soy	-⌫-|-⌫---------|----||--|
pui zlesaluen tco m e roy	---⌫|-|------⌫|--⌫-⌫|--|
totezle tienentpor seignor	----|-|------|--|------|
s ilipo rt erent granthonor	-⌫|-|--⌫--⌫----|----|----|
mezquantli troncne	--|----|-|----|-|
sorlimontere ntaun fes	--|-|-------⌫-||-|--|
loruilanie sorlifir ent	--|------|--|-|---⌫--|
elfo nsdelaigue la batirent	-|--⌫-|-||----||-⌫-------|
ala des tine ereu ont	|-|---⌫----⌫|---⌫--|
royd emandent	--|-⌫-------|
quenul n eon t	--|--|-⌫|--⌫|
maluaiz fuc ilquel elor	------|-|-⌫-|-|--⌫|--|
ladestineelor e nuoya	-|-------|--|-⌫----|
u necoleure	-⌫-|------|
grantetfort	----|-|---|
deuoree t m et	-----|-⌫|-⌫-|
totesfur entengrant torment	----|---⌫--|-|----|------|
donccrierentp luz	---|-------|-⌫--|
alad estinee me rci	|-|-⌫------|--⌫--|
l a destineerespon di	-⌫|-------|------⌫-|
uoi r niet pas	---⌫||--|--|
delautre royieuossoff ri	-||----|--|-|--|----⌫-|
totezuos uol ontezafai re	----|--|---⌫----||---⌫-|
seignore u st es de bonaire	------|-⌫-⌫--⌫-|--⌫------|
et uilein ementle honistez	-|------⌫----|-|-------|
aueztelco mle	---|--|--⌫|-|
ensiuosdileont pl usorz	---|--|-|-|--|--⌫----|
quant o ntde bonaire seig nor	----|-⌫-|--⌫------|----⌫--|
toz iorsleueul entdefoller	--|---|-|----⌫--|-------|
enp re nentquidestr ut	-|-⌫--⌫---|--|-----⌫-|
delorau oir meinesonbrut	-|--|--⌫--|----|--|---|
lorr egrate ntlorbonseignor	--|-⌫------⌫-|--|--|------|
cuiilfirentla	--|-|-----|-|
colonsdemanderentseign o r	-----|----------|-----⌫-⌫|
aroychosirent	|--|--------|
por ceque meinsmauz lo rfeis t	--|-|--|----|---|--⌫|----⌫|
et u ersautrezle zgaran tist	-|-⌫--|-----|--⌫|-----⌫---|
m aizq u ant ilo tlaseig norie	-⌫--|-⌫-⌫--|-|-⌫|-|----⌫----|
ettosfurente ns abaillie	-|--|-----|-⌫|-⌫|------|
n iotunsolq uilaprimast	||-|-|--|-⌫-||-------|
quiln osciist etde uor ast	-|-||------|-|--⌫---⌫--|
porce parlau ndez colons	--|-|----|-⌫|--|-----|
siapelaces conpa ignons	-|----|--|-----⌫-----|
grantfoliefaitilfeimez	----|----|---|-|-----|
quantnos lostora roypreimez	----|--||----||--|------|
oc citdeior	--⌫--|-|--|
m ieuz nos uenir que sanzseignor	-⌫---|--|----|--|---|------|
fu issenz tozte nsqu auoi r	--⌫-----|--|--⌫-|-|----⌫|
aiz nosgard ie nsmoltbiendelui	--|--|----⌫--⌫-|---|---|-|--|
nosne douti ens forsson ag ait	--|-|-----⌫--|---|--|--⌫--|
puizquenosleumesatrait	---|--|--||----|-----|
a il totfait	|-|--|---|
aperteme nt	--------⌫-|
cequilfit a in s celeement	-|-|-|--|-⌫--⌫|--------|
ces tees sampleditaplussors	---⌫-|--⌫-----|--||-------|
quich oississentlezmaul se ignor	--|--⌫---------|--|---|--⌫----|
degrantfolies entremet en t	-|----|----||--------⌫--⌫|
qu ien subiection se mete nt	--⌫|-|---------|-|----⌫-|
acruel hom eet	|----|---⌫|-|
ia n i auront seh on t enon	-|||-----|-|-⌫--⌫-⌫|--|
larroncontequi ala	-----|----|--|--|
berbisenbler qu il espi a	-----|-----|-|-|----⌫|
dedensla chanbre	-----|-|------|
aun uilein	|-|-----|
ensemb le o lui port aunpei n	------⌫-||--|----⌫|-|---⌫|
auchienuoloitsonp einb allier	-|----|-----|--|-⌫--|-⌫-----|
quilachanbre deuo itgarder	--|-|------|----⌫-|-----|
lichienz lidit ami	-|-----|-|--|--|
pren droeiesepainde toi	----⌫---|-|-|---|-|--|
ie nete puizguerredoner	-|-|-|---|----------|
faia toneuslepain	--||--|--|-|---|
lilerrezdit car l e	-|-----|--|--|-⌫|
res pontli chien n e ueilnient	---⌫---|-|----|-⌫|---|----|
i esaitrez	-⌫|--|---|
biena esc ient	---||---⌫---|
mabouc he uole zestoper	-|----⌫-|----⌫|------|
queienepuis semot soner	--|-|-|----⌫-|--|----|
pu izsi enblerez	--⌫-|-|-------|
nos ber biz	--|---⌫--|
carlibergi erze stend ormiz	--|-|-----⌫--|-⌫-|---⌫----|
tr ayaur o em onseignor	--⌫-|---⌫-⌫|-⌫-|------|
qui m anorri tresq uacest io r	--|||----|-----⌫||---|--⌫|
m agardeeutperdu	-⌫|----|--|----|
ce quilma silonct enspeu	-|-|-|||-|---|-⌫--|--|
me ismezme harroiez	--⌫----|-|-------|
etp ort rai temete nroiez	-|-⌫-|-⌫---⌫-|-|--⌫-----|
neueilton pai n ansigaangnier	-|---|--|---⌫|---|--------|
donc come nsaa	---|----⌫--||
paressamplenosmostreci	--|-------|--|-----|-|
quechacu ns franshonface a nsi	--|-----⌫-|----|--|---|-⌫--|
senull iueutloi erdoner	-|--|-⌫|---|---⌫-|----|
ou parprom esselose nger	-|--|----⌫---|----⌫---|
que s onseigno r	--|-⌫-|------⌫|
doietr ahir	---|--⌫---|
ue ilem ieconsentir	--⌫--|-⌫-|--------|
atendre en doi t telguerredon	------|-|---⌫|--|--------|
chien fassoitdoularo n	----|------|--|----⌫|
iadizauint qu unslouerra	----|----|-|--|--|---|
p arunchaminsie n contr a	-⌫-|-|-----|-|-⌫-⌫-----⌫|
une t ruy equip r egneestoit	--|-⌫---⌫|--|-⌫-⌫---|-----|
uersl ialaagrant esploit	---|-⌫|--||----|------|
e tdit quepaiz liueutdoner	-⌫|--|--|---|-|---|----|
ors e hastatde	-|-⌫|-----|-|
carcezporceauz uoloitauoir	--|--|-------|-----|----|
elerespontpa rgr antsauoir	--|------|--⌫|--⌫--|-----|
sir ecomentme hasteroie	---⌫|-----|-|--------|
t antcomsi prez demoyuosuoi e	-⌫--|--|-|---|-|--|--|---⌫|
pas deliurer	--|-------|
telhonteadeuosagard er	--|----||-|--||----⌫-|
que nusmalezne doittochier	--|--|----|-|---|------|
ate lbesoingneaprochier	|--⌫|------|-|--------|
ad onc li lousseua mu cier	--⌫--|-|---|-|-|--⌫---|
quilez porciauzuoloitmangier	--|--|-------|-----|------|
etla tru iesen est	-|-|---⌫-||-|--|
quip ar en gin	--|-⌫-|--⌫--|
sest deliuree	|--|-------|
iadisque lieur ezs	----|--|-----⌫-||
asenblerent	----------|
au parle ment siesgarderent	-|-----⌫---|-|----------|
enautreterreseni ront	-|----|----||-|-⌫---|
fo rsl agra ue	--⌫-|-⌫|---⌫-|
ouilestoient	-|-|-------|
cartrop fu rent engran tdolor	--|---|--⌫---|-|----⌫|----|
domezde chiensoren t	|---|-|-----|----⌫|
lisai gelieurenlordisoi ent	-|---⌫-|----|-|--|-----⌫--|
qu efolie ertqueilq u eroient	--⌫|----|--|--|-|-⌫-⌫------|
lorconoissance	--|----------|
ou furentnorridenfance	-|-----|----||------|
liautrenelezu odrent crere	-|----|-|--|-⌫-----|----|
tou z ensembletindrent l orerre	---⌫|-------|-------|-⌫-|---|
aunem a re	|--|-⌫-⌫-|
gardent deloins i	------|-|---|-⌫|
ou rainezierentassembleez	-|-----|-----|---------|
depaordeauzso ntef reez	-|---|-|--|--⌫-|--⌫---|
d edens l aigue se uont plongie r	-⌫----||----|-|---|-------⌫|
ouill ez uirentauprimier	-|-|-⌫-|-----|--------|
xx lieurez le zapelez	-|------|--⌫||----|
seignorfaitilcaresg ardez	------|---|-|--|---⌫----|
parlez r ainezq uenoueons	--|--|-⌫----|-⌫-|-|----|
queno salon s querant fol ie	--|--⌫|----⌫|------|---⌫-|
quantno stregraueauonsguerpie	----|--⌫---|----|----|------|
iam a iz t errenetroue ronz	---⌫-⌫-|-⌫---|-|-----⌫---|
ou lon ne douteaucunerien	-|--|-|----|-----|---|
r alonsnosen s iferons bien	-⌫----|--|-|-⌫|-----|---|
a t a ntlezlieurezretorner ent	|-⌫-⌫-|--|------|--------⌫--|
enlorcon tree	-|--|---⌫---|
sen r alerent	|-|-⌫------|
de cesedeuent	-|-|-|-----|
cilqui se ueulentrem uer	--|--|-|------|---⌫--|
etlo rancienleu guer pir	-|--⌫|-----|--|----⌫--|
ia ma iznetroueront pa iz	--⌫--⌫-|-|--------|--⌫-|
quilpuissent e stresanzpa or	-|-|-------|-⌫---|---|--⌫-|
ousa nztrauailou sanz dolor	-|--⌫-|------|-|---|----|
dunleonditquiassem bla	|-|---|--|--|-----⌫--|
totez cez be stez et	----|--|--⌫---|-|
qui aloientsorquatrepies	--|------|--|-----|---|
etli a iglesa por chaciez	-|-|-⌫----||---⌫------|
tozlezoyseaus	--|--|------|
quielleo nt	--|---|-⌫-|
etqui uolentenlayr a mont	-|--|-----|-||--|-⌫---|
bataillede uoie nttenir	-------|--⌫----⌫-|----|
lachauuesorizsi	-|-----|----|-|
ens oncuera	-|-⌫-|---||
p ense ́et dit	-⌫----⌫|-|--|
ueutestre quiueintront	---|----|--|--------|
etqui lagregnorforceauront	-|--|-|------|----|-----|
sozunhaut fust	--|-|---|---|
se n estm ontee	|-⌫|--|-⌫----|
po r esgardercel ea ssembl ee	--⌫|-------|---⌫|-⌫------⌫-|
lifuauiz sonescient	-|-|---|--|------|
qu elileonsa uoit pluzgent	--⌫|-|----|-⌫---|---|---|
et qui er en degr egnor iustize	-|--|--⌫-|-|--⌫----|------|
ole zautrezsorisc estmi se	|--⌫|-----|----||--|--⌫-|
liaiglezfu amontuol és	-|-----|-|----|---⌫--|
olezoyseauz q uilot mande z	|--|------|-⌫|-|-|-----⌫|
eni uid rent	-||---⌫---|
quelezbestez paour del ui ti ndreint	--|--|-----|----|-|-⌫-|--⌫------|
quantlachauuesoris lezuoit	----|-|-----|----|--|---|
moltlip esaqua nt	---|-|-⌫--|---⌫-|
a uecauz n	-⌫--|--||
dezbestezsen est departie	--|-----||-|--|-------|
sezpiezmu sasi	--|---|--⌫-|-|
meiz quantleselle z ent rouri	---|----|--|----⌫|---⌫----|
pa rda uant tozlesdesco uri	--⌫|--⌫---|--|--|-----⌫--|
fol ieaperte	---⌫-|-----|
et sa tr aisondescouerte	-|-|--⌫----|---------|
oys eauset bestesla honi rent	---⌫---|-|-----|-|----⌫---|
al isenuontet	|-⌫||-|---|-|
silaprirent	-|-|------|
moltlahonissentet	---|-|--------|-|
destreinent	----------|
e tmostrentli safeloni e	-⌫|-------|-|-|------⌫|
come nte lea sa foym entie	----⌫-|-⌫-||-|--|-⌫----|
laserp entbienlora	-|----⌫--|---|--||
quemolttotlezenuenger a	--|---|--|--|-|------⌫|
pu iz la maudi tet	--⌫-|-|-----⌫|-|
queiem aizenleune uen it	--|---⌫--|-|--|-|---⌫-|
qu eoy seaunebes tel aueit	--⌫|--⌫---|-|---⌫-|-⌫|---|
totecl arte li a tolue	---|--⌫---|-||----|
iemaizne iertpariorueu	-----|-|---|--|--|--|
autresiestdoutraito r	------|--|--|------⌫|
qu imesereuers son seign or	--⌫|-----|---|--|-----⌫-|
a cu i il d oithonorporter	|--⌫|-|-⌫--|----|-----|
quantson seigno rauramester	----|--|------⌫|---|-----|
a sonbesoing liueut falli r	|--|------|-|---|-----⌫|
o lezau tresse ueut	|--|--⌫---|-|---|
se ces sires uienta u de sus	-|--|----|----|-⌫|--⌫--|
nepuetl asier sonmalueiz	-|---|-⌫----|--|------|
donc uodroit ali	---|------||-|
detotezparsue ut m eserrer	-|----|---|--⌫-|-⌫------|
par to tse faitau doimostrei	--|--⌫|-|---|-|--|------|
onorenper etsonauoi r	---|-|--|-|--|----⌫|
etreprouiere n ont si oir	-|--------|-⌫|--|-|--|
en es t honiz	-|--⌫|----|
come fulach au uesoriz	---|-|-|--⌫--⌫-|----|
mai zparioru oler	---⌫|--|--|-⌫---|
ansia uint qun s	---|-⌫---||--⌫|
cer fbe uoi t	---⌫|--⌫---⌫|
aun eaiguecarsoifa uoit	|--⌫|----|--|---|-⌫---|
gardededenz ce z co rnesuit	----|-----|--⌫|--⌫---|--|
asoi meis m e zlauoitdit	|--|----⌫-⌫-⌫||----|--|
que n ule b estene l	--|-⌫--|-⌫---|-||
nesibellesc ornezn	-|-|-----|-⌫----||
ta ntentendia	--⌫-|------||
cez cornezesgarder	--|-----|-------|
qu iluituenirlezchie nzdauant	-|-|--|----|--|----⌫-|-----|
et lormaistrequiuint	-|--|------|--|---|
el bois sem ettoz	-|---|-|-⌫-|--|
parlez cornezestata chie z	--|--|-----|--|---⌫----⌫|
b u iss onestretenu s	-⌫-⌫---⌫-|--|------⌫|
doncs ontlichi en a	---|-⌫--|-|---⌫-||
uoir sestfait ilquelihons di t	----⌫|--|---|-|--|-|---|--⌫|
etpar ess ampl ee tp a r escrit	-|--|---⌫----⌫|-⌫|-⌫-⌫|-----|
lipluso rss e ueul ent loer	-|-----⌫-|-⌫|----⌫--|---|
q ue sedeuro ie ntblame r	-⌫-|-|-----⌫--⌫-|-----⌫|
carlorblamezles	--|--|-----|--|
doit loe r	---|---⌫|
home conteli escriz	---|----|-|-----|
quim ort estoiteten seu eliz	--|-⌫--|-----|-|--⌫---⌫---|
saf emem einegr ant	-|-⌫--|-⌫---|--⌫--|
desussatonbenuitet i or	----|-|----|---|-|-⌫-|
ill uc estoit	---⌫-|-----|
priz un larron	---|-|-----|
pe ndup armesprison	--⌫--|-⌫-|--------|
h autparla	-⌫--|--|-|
c itefucrie ́	-⌫--|-|----⌫|
que lelaronauroitoste ́	--|-|----|-----|----⌫|
cil futes te i nsconle	|-|--|--⌫--⌫-⌫-||-|-|
zzcheualierledes pendi	-|--------|-|---⌫----|
doncnes ot ilconseil	---|-|-⌫-|-|------|
comen tsepeust deliurer	-----⌫|-|----|-------|
aucemetiere uattotdroit	-|--------|--|--|----|
l aoula prodefemee st oit	-⌫|-|-|----|---|-⌫--⌫--|
queson seignor	--|--|------|
ottant ploré	-|---|-----|
coi n temen taaliparlei	---⌫-⌫-----⌫|||-|-----|
ditl iquele seconfortast	--|-⌫|-|--|-|---------|
