soignorsorescoutezque	-------|-|-------|--|
ale s plaint etr egratea nsaraze nois	|--⌫|-----|-|-⌫-----|-⌫|------⌫---|
ahi tant marfutesno bile s cheualiers	--|---|--|----|--⌫----⌫|---------|
ala sconsumesmorz trei et	|--⌫|--|----|---|---|-|
iemais ennu le	-----|-|--⌫-|
cortne medoitlon	---|-|-|---|--|
q ua ntsisumeshon izpo r	-⌫--⌫-|-|----|---⌫-|--⌫|
zzsolcheualier	-|--|--------|
qu antligloz	--⌫--|-|---|
atantesuosesrant lounobilerichier	----|-|--|-----|--|-----|------|
qui portoitans on co l zzgrantpel a gusé	--|------|-|-⌫-|--⌫|-|----|--|-⌫----|
l ip aiensl ie s criequiestu	-⌫|-⌫----|-⌫|-⌫-⌫---|--|-|-|
sir eceditrich ier	---⌫|-|--|----⌫--|
bienleuossai noncier	---|-|--|--|------|
ieuoisi cia pres zz	-|---|-⌫-|-⌫---|-|
nouel cheual ier	----|------⌫--|
qui poricipasainesai	--|--|--|----|-|--|
ennu it ou ier	----⌫-|-|--|
ets e uoslo uueitesc arloum	-|-⌫|--|--⌫|-----|-⌫-|--||
auoii sés	-----⌫---|
oil glozie leuistan	--|---|-|-|--|--|
suisiep luxirez	---|-|-⌫--|---|
m es conp aign onsa imorz oc isetdetren chiez	-⌫-|----⌫----⌫--|-⌫|---|--⌫-|-|------⌫----|
por amorstonsoigno r perdras tu	--|----|--|------⌫|------|-|
uosimant ezcu uersce	--||----⌫-|--⌫---|-|
liad itrichier	-||-⌫-|------|
richierstinta ns amain	-------|---|-⌫|-⌫|---|
pelagusié	--|------|
ainzquelisarazinsfut	------|-|-------|--|
montez ou destrie	-----|-|------|
te l copli aidoné	--⌫|--|-|-|----|
sor sum elme uergié	--|--|---|------|
quelesfl ours etl espieresenaiius	--|--|--⌫---|-|-⌫-|-----|-|-|--|
trabuchié	---------|
latestelib risaienplux deyy cartiers	-|----|-|-⌫----|-|---|-|-|-------|
t rabu chailicuuersren oiez	-⌫----⌫---|-|-----|---⌫---|
richiersuit le	-------|--|-|
au berttre stot	--⌫---|---⌫---|
anruiilié	---------|
detotescel es armes neuotn ulesbail er	-|----|---⌫-|----|-|--|-⌫---|----⌫-|
ainz gardedeuantluisi chositzz	---|----|-----|--|-|-----|-|
trenchantete sfilé anoel	--------|-|-⌫-----||---|
a laterresebaise sil	|-|----|-|----|-||
ana iredrec ié	-|-⌫|------⌫--|
a ncuiseraitelorequiliaurai	-⌫---|----|--|--|-||-|----|
et fl oouanzcheuauch ene seuout	-|--⌫-----|--------⌫|-|-|---|
dou boistr ouaiz zcheualier	--|---|--⌫---|-⌫|--------|
ameruoileestoitgra nzetoribleset	|-------|-----|---⌫-|-|------|-|
de l escude soncoulfutzz ui lain schargiez	-||---|-|--|---|--|-|--⌫----⌫|-------|
ilotnon f erna gufiz l eroi	-|-|--|-⌫----⌫-|--|-⌫|--|
isuzdelos t	---|-||--⌫|
porson ardementfier	--|--|-------|---|
leior auoitocis ius qu ayy	-|--|----|---|---⌫-||-|
cres tien s	----⌫----⌫|
sonarc on an aipand uz	--|---⌫-|-|-|----⌫-|
le schi ef	--⌫|---⌫-|
quant flo o ua nz leuit	----|---⌫-⌫--⌫-|-|--|
molt sendutesm aier	---||-|--|---⌫---|
lisa ra zinssescrie	-|--⌫--⌫---||-----|
quiestucheualier	--|-|-|--------|
sireditflo ouanznelou	---|--|---⌫----|-|--|
uos quier noie r	--|----|----⌫|
i e suisdemonloum zzpo ur es soudoie r	-⌫|---|-|------|-|--⌫--⌫-|-------⌫|
ceste damefut	----|---|--|
fileausenechauldidier	---|-|--------|-----|
ielaiseruiy yanzpu ism	-||-|----|-⌫|--|--⌫-||
adobailautrier	-----||------|
silama insasondr u	-|-|--⌫--||--|--⌫|
que e l a iformantchier	--|-⌫|-⌫|------|----|
amis d itf ernaguza seurcheuauch iez	---|-⌫-|-⌫------||---|--------⌫--|
porl am or a	--||--⌫-||
l adam e nesar ezuo s toch iez	-⌫|---⌫|-|---⌫-|--⌫|----⌫--|
carie meuoel zz	--|-|-|---|-|
luiabelaier	--|-------|
mondeporanferaides ozcel oliuier	--|----|-|----|---⌫-|--|------|
maonmot nostre dexsimanaura	------|-----|--|-||-|---|
port antqu aurai hon ilaloiescretie	--|-⌫--|-|----|---⌫|-|--|-|-----|
si reditf loouan z ortotde leploitier	--⌫-|--|-⌫------⌫|-|--|-||--------|
bien i pu etz toncoraigep rouere tesaier	---||--⌫--|--|------|-⌫----|-⌫|-----|
se tantasar d emantquoses	-|---|-|--⌫-⌫----|-|---|
ali tochier	|-|------|
uerrasfe riranguis ed	-----|--⌫--|-|----⌫||
ca rtoinemahonmotne prispas zz	--⌫|--|-|-------|-|---|--|-|
bien apaséyyanzquetruieslont	---||----|-|--|--|-----||--|
lilantantapoun es t	-||-----||--||--⌫|
a nraigié	-⌫-------|
afloo uantescriequi	|----⌫---|-----|--|
es tu cheualier	-|-|--------|
p ormahonmotmundeu	-⌫-|-------|--|--|
iai perd raslech ie	-||----⌫--|-|--⌫-|
poramorala da me quetuuez derenier	--|---||-|--⌫-|--|-|--|-------|
litursuoi t floouantapou d irenanraige	-|---|---⌫|-------||--||--||------|
ilbroichel e cheual	-|------|-⌫|-----|
quil iuint	--|-⌫|---|
decartaige	-|-------|
etflooua nzle suen queplus ne	-|------⌫-|-|---|--|---|-|
granzcousseuontdone rsor	----|---|-|---|----⌫|--|
sorles boclesaorl esfraignen tet	--|--|-----||-|-⌫-|--------⌫|-|
montsunt forz li auberzquantilnese	---|---|---|-|-----|----|-|-|-|
desmailent	---------|
etbonlich eua lier squant il n e	-|--|-|--⌫---⌫----⌫|----|-|-⌫|
sa ntrabaten t	|-⌫---------⌫|
iltraient les e spee setsunt	-|------|--|-⌫----⌫|-|---|
uenuza u chaple	----|-⌫|-----|
fernaguzuairequerrefloouantpar grant	-------|--|-------|-------|--|----|
s eignours plaituoso ir	-⌫-------|----|--|-⌫-|
quehon sfut	--|---⌫|--|
forzetfelon s etfier setde fiereuertuz	---|-|-----⌫|-|----⌫|-|-|----|-----|
ameruoi le	|------⌫-|
futg ranzsiot	--|-⌫---|-|-|
lou uisocur	--|--|---|
il aitrait el espeedonliaciers	-|-|-----⌫||----|--|-|-----|
uetferirf l o ouant desor son elmeag u	--|----|-⌫-⌫-⌫----|----|--|---|--⌫|
queyydesmestresser resanaiiusabatu	--|-|--|------|---⌫--|-|-|--|----|
et t renchiéle aub er tetlepande l escu	-|-⌫-------|-|---⌫--⌫|-|-|--|-||---|
resaresdelachar est	--||--|-|-|---|--|
libranz desc andu z	-|----|----⌫----⌫|
damedex legariquan	------|-|---|-|-|
char nela i f eru	---|-||-⌫|-⌫--|
de c i enterreaualan est libranzcoruz	--⌫-⌫|-|----|---|-|--|-|----|----|
quant fl oouanzleuoi tm oltenfu tirascu	----|--⌫-----|-|---⌫|-⌫--|-|--⌫|-----|
ilb roiche le che uaul cononde grantuert uz	-|-⌫-----|-|---⌫---|--|-|-|----|----⌫-|
uet ferirfernagudesus sone lme agu	--|----|------|----|--|-⌫--|--|
quel esfloursetlespieresan	--|-⌫-|-----|-|--|-----|-|
ai iusa bat u	-|--|-⌫---⌫|
l acharliaitranchie lious	-⌫|---|-|-|-------|-|--|
remes ttuznuz	-----⌫|--|--|
n e tornastlespee	-⌫|------||----|
eut por fandu	--|---⌫----|
f loouanz ab ro ichié so nauferrantcors ier	-⌫------||-⌫--⌫-----|--⌫|--------|----⌫--|
et atraiste lesp eedonbrunoielacier	-||------||---⌫-|--|------||----|
uet fe r irf ernag usor sun elme ue rgier	--|--⌫-⌫-|-⌫-----⌫|--|--|---|--⌫----|
que yy d e smaitresserre senaiius	--|-|-⌫-⌫|------|-----⌫|-|-|--|
t rebuchié	-⌫--------|
unegrantplene pa upe a prisdelanapier	--|----|----|--⌫--||---|-||------|
etdelesp auledestre ana bat z zcartier	-|-||---⌫---|-----|-|-⌫--|-⌫|------|
entreci ala boche	------||-|----|
li ai tot depecié	-|-|--|-------|
p ardesu s sonarcon li sans li descendie	-⌫-|----⌫|--|----|-|---|-|--------|
etfernagusescr ietu	-|------||----⌫-|-|
me uauzanpirer	-|---|------|
ahimaunmotsire ca r meuene zaider	--|------|---|--⌫|-|----⌫|----|
ainzco isqueie imure	------⌫----|-||---|
me qu iieuandre	-|--⌫|-|-----|
do lanzfut fernaguzquantdelu iu it lesanc	--⌫---|--|-------|----|-|--⌫|-⌫-|-|---|
il a itraitel	-|-⌫|-----||
aciersreplant	-----|------|
siferifloouansor sun	-|---|------|--|--|
elmelusant	---|-----|
quetot laies tonéet daries etdeuant	--|--||-|--⌫----|-|-----|-|-----|
uersladestr epartieuet	---|-|-----⌫|-----|--|
li cousdescenda nt	-|---|--------⌫-|
quili troin che	-||-|-----⌫--|
laubert etsun ermineblanc	|-----|-|--|-----|----|
lezlou gro sde l espaulel ifetcoler	--|--|---⌫|-||------|-⌫|--|----|
da medezle gari	--⌫----|-|---|
q uantle spa ul ena n	-⌫---||-⌫---⌫--⌫||-⌫|
etqueo ns desa cha rni	-|--|-⌫-|-|-|---⌫|||
antaumai ne ant	-------|--⌫--|
desquan laterreuaili b r ansda cier	----|-|-|----|--|-|-⌫-⌫--||-⌫---|
totautresi	--|------|
bruantconquid escent	-----|--|--|-⌫-----|
quantflo ouanzleuit mont	----|---⌫----|-|--|---|
poranfutdolanz	--|-|--|-----|
damde ureclamale	-----⌫|------|-|
pereomip otant	---|----⌫----|
q uigarise son	-⌫||-----|--|
c orsdem or tet	-⌫--|-|-⌫--⌫|-|
detor mant	-|---⌫---|
e nuersceturpuan tqui tantaihardemant	-⌫----|-|--|----⌫|--|---|-|--------|
est es uos	---⌫-|--|
yy tursdeuerszz	-|---|-----|-|
desru bant	-----⌫---|
quisunt felo nset fi ers etoutrego usf orman t	--|---|----⌫-|-|--⌫--|-|-------⌫-|-⌫-----⌫|
fe rnaguuont quera ntli	--⌫----|---|-----⌫-|-|
traitouspuanz	-------|----|
mauga lieestas estrela file	-----⌫--|--|-|----|-|---|
o leyypucellesabliaus	|-|-|-------||-----|
esgardedeuantsoi uit	------|-----|--|--|
floouantlefi er	-------|-|--⌫-|
armerzde bones ar messor	-----|-|----|--⌫--|--|
lecorantdestrie	-|-----|------|
el leuitbel	-|-|--|--|
etgantethardiche ualier	-|---|-|----|---⌫-----|
montli uoit sarazinsco peret	---|-|---|-------|--⌫--|-|
detra nchier	-----⌫-----|
ell eliescriaquies tu	---⌫|-|-----|--|-|-|
cheual ier	------⌫--|
maonmoz t e maudie quitotai a b ailier	------|-⌫|-----|--|--|-||-⌫-----|
setuneuies zamoipar leretdonoier	-|-|-|----⌫||--|---⌫--|-|------|
onquesmais neteuisenestor	-----|---|-|-|--|-|----|
con mancier	---⌫------|
diuaiparolea	----|-----||
mo iretornetondestrie	--⌫|------|--|------|
ienelairaia toi netrairene	-|-|-----||--|-|-----|-|
detoif eraim on druet m o ncon fenone ir	-|--|-⌫---|-⌫-|--|-|-⌫-⌫|---⌫------⌫-|
sisa rasan m achanbre	-|--⌫--|-|-⌫|------|
mes matresconsoil ier s	--|-----|-------⌫---⌫|
flooua nzla re g ardepri tl a	------⌫-|-|--⌫-⌫---|---⌫|-⌫|
aacoi ntier	|----⌫----|
aic ele pa role ie st	|--⌫--|--⌫---||-⌫-|
uenuz richiers	----|-------|
si a i pris son seignourp orl	-|-⌫|---|--|-------|-⌫-||
escu deca rt i er	---|-|--⌫--⌫-⌫-|
uo sfa it esquemauuaisquantu o s ici	--⌫|--⌫--⌫-|--|------|----|-⌫-⌫|--|
masaulezen sac hanbred e	--|----|-|-|-⌫-----|-⌫|
plus prescon soilier	---|---|---⌫------|
ses cond uzni	--|----⌫-|||
uauroitlemontandu ndenier	------|-|-----||-⌫|-----|
s epaien suostrouoient uosperdrié s	-⌫|-----⌫|--|--------|--|--------⌫|
ediuaimauuaisho ns con te pu ezpou	|----|------|--⌫-|--|-|--⌫-|--|
quecilai ses po r	--|-|---⌫--|--⌫|
lepaie nsa d etr ench i er	-|----⌫-||-⌫---⌫----⌫-⌫-|
etton lousa	-|--|---||
conquerre ettonpr ou porch acier	--------|-|--|--⌫-|-----⌫----|
tufuscha c i ezde fra ncep or t agrantmau uai tie	-|--|---⌫-⌫-⌫-|-|---⌫--|-⌫-|-⌫|----|---⌫---⌫--|
sin asornearg antpa ulefr oi	-||-|-|-|---⌫--|--⌫-----⌫-|
setu ne lou conquieraufer	-|-|-|--|-------|-|--|
etal acier	-|||----|
floouanzditr ichiersmoltpor estes	-------|--|-⌫------|---|--|----|
por noiant auez armes destriezet paulefroiz	--|-----|---|----|-------|-|---------|
uo s au ez	--⌫|--⌫-|
gantlecors fa ites pinier	---|-|---|--⌫---|-----|
poramorscestedamea rez	--|----|----|---|-⌫--|
uo st rop auoir	--⌫|-⌫--|----|
edi uamauuais	|--⌫-|------|
h on siafutufizde	-⌫--⌫|-|-|-|--|-|
ne uars n eg ris destrier	-|---|-⌫|-⌫--|-------|
nepaule froi	-|-----⌫---|
louconquiersal e spie uiannoi s	--|--------|||-⌫---|-------⌫|
riciersdit	------|--|
floouanz m erci pordeul ouuoir	-------|-⌫---|--|--|-⌫-|---|
neloupanseraimaisorleme	-|--|-------|---|-|-|-|
sirece dit	---|-|--|
rich ierst ot p or donez	----⌫---|-⌫-|-⌫--⌫----|
masgardez uo st resbienq ue	--|-----|--⌫|-⌫--|---|-⌫-|
plusne loupansoiz	---|-|--|------|
no feraiierich ier sie luosoutroi por	||----|-|----⌫---⌫|-||--|-----|--|
l atanconont	-⌫|-----|--|
laisierichi e rsetflooua n z	-----|-----⌫-⌫-|-|------⌫-⌫|
u ersbaufortsen	-⌫--|------||-|
retornent a lorgr ailessona nz	--------||--|--⌫----|----⌫-|
li borio isdelauile lo r	-|-----⌫-|-|-|---|--⌫|
su n tuenuzde ua nt	--⌫-⌫|----|--⌫--⌫-|
et moimes lir oisestuenu ztot deuant	-|-----|-|-⌫--|--|----⌫|--|-----|
quiloraidemandé	--|--|-|-------|
con lorest couenant	--|--|--|-------|
que nouelles	--|-------|
meditesdouchatelauenant	-|----|--|-----|------|
molt bie nlamercideu diturbens	---|---⌫|-|----|--|--|-----|
uain cue est la bat aile	----⌫--|--|-|---⌫---|
siestnostre sli chans	-|--|------⌫|-|----|
onque s mes n anueitestantocire	-----⌫|--||-|-----|---|----|
mor irnepaiens tansanglanz	---⌫-|-|-----|--|-------|
sortote no stregant lefirent	--|---|--⌫---|---|-|-----|
miauz lifra nc	----|-|---⌫-|
l inoueladobe z lo r aim ort escorfan	-⌫|----|-----⌫|--⌫|-|-⌫--|-------|
dotalie nso n drucet	-------⌫|--⌫|---|-|
lamira u lgurtam	|-----⌫-⌫|-----|
decia lor chatel lesaimenez	---||--|-----|--|-|----|
magalieestas estresla file lamiram	------|--|-|-----|-|---||-----|
asez ditfloouantparoleset sanblanz	---|--|-------|------|-|-------|
iesabienditliroisproudome suntlifrans	-|-|---|--|-|---|-------|---|-|----|
iluintafloouant sili	-|---||-------|-|-|
di tanr iant	--⌫|-|-⌫---|
prenezde cestachectotauostretalant	-----|-|---|----|--||-----|-----|
siredit floo ua nzie n andemantnoiant	---|--|----⌫--⌫-|-||-|-----|-----|
re tenezauossire de partezauozganz	--⌫----||--|---|--⌫-----||--|---|
aup ouuressoudoii ersqu i desserui	-|-⌫-----|-------⌫--|--⌫|-------|
quiporuosguerres sunt cia	--|--|--|------|---|-||
uos rem en a nz	--|---⌫--⌫-⌫-|
legaieg departirentantreles soudo iiers	-|----|----------|----|--|-----⌫----|
apluxde yyan	|---|-|-|-|
donent qui annor ent	-----|--|--|--⌫--|
a l o r os tel san	|-⌫-⌫|--⌫--||-|
u ontfloouanzetrichi er s	-⌫--|-------|-|-----⌫--⌫|
ouecqu es au s	------⌫-|--⌫|
ammoinentyycheualier	-|------|-|--------|
laulemantmene rent por	|-------|----⌫---|--|
l apucelledesuaule	-⌫|------|-------|
contraualle plainchie	----|---|-|--------|
eschauolee portoitzzespriuier	---------|------|-|--------|
al oste lflo o uantsan	||----⌫|---⌫-⌫---||-|
uaiesbe l oier	--|----⌫-⌫---|
d ele zluisestasiselapuce lle	-⌫---⌫|--||--|----|-|----⌫--|
au u i sfier	-|-⌫-⌫|---|
lapuc ell eest	-|---⌫---⌫|--|
assisedeios tefloouant	-----|-----⌫-|-------|
laiouell eleuit	--|-|---⌫|-|--|
silidit mete nant	-|-|--|----⌫---|
car mebaisi ezbau sire ditflor oteaucorsgant	--|-|-----⌫-|--|---|--|----⌫--|-|---|---|
omeancesseglequeie de ssieretant	--|-|--|----|--|-|--⌫-----|---|
dame ditfloouanzcestt ot	---|--|-------||--|-⌫-|
uo strepere a i	--⌫---|---|-⌫|
oli cheu ali er uailanz	|-|----⌫---⌫-|------|
asez to tm anaroientplus ouret li archant	---|--⌫||--------|----⌫--|-|-|------|
p o uresons daut reter resou dees conque ranz	-⌫-⌫---|--||---⌫-|---⌫-|---⌫---|------⌫---|
ned oitfair e tel	-|-⌫--|----⌫|--|
chosed on lou heen tlagant	----|-⌫-|--|----⌫|-|---|
neperdrelessou d ees	-|-----|--|---⌫-⌫--|
do n souant e s t feranz	--⌫|-----|-⌫-⌫|-----|
etrespont lapucell e or	-|------|-|------⌫|-|
soit uostre t alant	---|-----|-⌫----|
maugalieou	-------|-|
uo sparl estes tant	--⌫|----⌫----|---|
deuezam e rcarelleailecorsgant	----|--⌫-⌫|--|---|-|-|---|---|
m asdetexc on	-⌫-|-|--|-⌫-|
u osestes en au raianc ory y	-⌫-|----|-|--⌫--|---⌫-|-⌫|
tutse penentpo r	--|-|-----|--⌫|
etse li uns e st mors liautressunt	-|-|-|--|-⌫-|---|-|-----|---|
led oel quele de moineneuauta mor	-|-⌫--|-|--|--⌫----|-|---||--|
molt laaez	---|-|--|
pucel ece lidit floou anz	-----⌫|-|-|--|-----⌫--|
elle uosa forfait par	---|--||------|--|
l e mienescient	-⌫|---|------|
aicellepar o l ean a pelaiurbam	|-----|---⌫-⌫-⌫|-|-⌫----|----|
fetesson er	----|---⌫-|
nosg railes ado b er nostre gant	--|-⌫-----|---⌫-⌫-|-----|---|
to te er r eronsalalunelusant	--⌫-|--⌫-⌫----||-|---|-----|
simet ronsnosagaiz soz	-|---⌫---|--|----|--|
lebruelmares c ant	-|----|-----⌫-⌫--|
le canbelt remetron s auch atelauenan t	-|-----|-⌫--------⌫|-|--⌫---|------⌫|
sepaiens san isoientmont	-|-----||-|------|---|
nos sanbleroit gant	--|---------|---|
ilperdr oien tdo	-|-----⌫----⌫|-|
lourparlemien esciant	---|--|-|---|------|
parla citesadobentconmunemant	--|-|---||------|----------|
i l isent de lauilenesatarge ntne ant	-⌫|----|-|-|---|-||------⌫-|--⌫--|
ausportesfontsoner yycors d	--|-----|---|----|-|---||
isirdelauile fi rentarme rlorgan t	---|-|-|---|--⌫---|----⌫|--|---⌫|
qu a pieq u ea	-||--|-⌫-⌫||
c heuaulsunty y e t yy	-⌫-----|---|-⌫|-⌫|-|
tote nuitonterréala	---|---|--|----||-|
lunelus ant	---|---⌫--|
lecanbel on t tramis au	-|-----|--⌫|-----|-|
chatelauenant	-----|------|
le s gaitlor s ail ent etdariesetde uant	|-⌫-⌫---|--|-⌫---⌫--|-|-----|-|--⌫---|
ill ucques tantcopdoner	---⌫-----|---|--|----|
etsarazins	-|-------|
mor iretmenermont u im ant	---⌫-|-|----|---|-⌫--⌫--|
yyet yygesi rmorz	-|-|-|----⌫|---|
p orles c hans	-⌫-|--|-⌫---|
tantesaleuoidie de destrieauf erran	----|---|-----|-|------|---⌫----|
t antcheuaulestra ierse s rein es traiinant	-⌫--|------|-----⌫--|--⌫|----⌫-|--------|
ne p orentp lus sofrirarrabis n e persant	-|-⌫----|-⌫--|-----|------|-⌫|------|
illort ornent lesdossiguerpisent lechan	-|--|-⌫-----|--|--|-|---------|-|---|
ioste leuedou r inles	----||--|--|-⌫-|--|
anmoinentfera nt	-|------|----⌫-|
iluandronto umaistart	-|-------|-⌫----|---|
auchatel auenant	-|-----|------|
par loumienesciant ia	--|--|---|------|-|
n eloriertgaranz	-⌫|--|---|-----|
chate lne formeteznelordex taue rgant	-----⌫|-|-------|-|--|--|----⌫----|
queasespeesnues les	--|-|-----|---|--|
at ent aulemanz	--⌫--|-------|
bieni fi ere nt francoisaul emantli ard i	---||--⌫---⌫-|-------|---⌫----|-|---⌫|
chaci é ann ont etlesa morazins	-----⌫-|--|--|-|--|-⌫-------|
yygrantzandurailit rains	-|-----|-|----|-|-⌫----|
tex en sont	--|-|---|
uolé desor la igue d ourim	----|----||-⌫---|-⌫-|--|
sine sorentnoer to t	||-|-----|---|--⌫|
f ure ntalor fin	-⌫---⌫-||--|--|
aulemanzle saco llen ts i	-------|--⌫|---⌫----⌫|-⌫|
nesuolen tguerpir	|-|-----⌫|------|
es tes lesu osansanble s orleponttorneit	--⌫--|--|-⌫-|-------|-⌫-|-|---|------|
ouc hatelann antresrent auecle s sarazins	-|-⌫----|--|---------|---|--⌫|-------|
lai d ed a nzueisiezzzs idurchapl eiz	--|-⌫--⌫-⌫-|------|-|-⌫|--|-----⌫--|
paiens brai reet crie retmao nmot	-----|----⌫-|-|----⌫|-|---⌫---|
etl or dextauerganfab ur et	-|-⌫-|--|-------|---⌫-|-|
esfosezlesgeter ent con au tres	-|----|--|-----⌫--|--|--⌫---|
chiensporiz	-----|----|
maugaliela bal eaugan c orsescheui	-------|-|---⌫|-|--|-⌫--|------|
tro uerentasfenestresdou p alaissoineri	---⌫-----|-|--------|--|-⌫----|------|
etfra n cois	-|---⌫-⌫---|
les desuaulentles degre zmab reri z	--|---------|--|-----⌫|---⌫----⌫|
liurentdesou zzzpinfoli	------|-----⌫|-|--|---|
elleleque nu tbi e nsitot	---|-|---⌫--⌫|--⌫-⌫|-|--|
escriépor	------|--|
lou tontdeumerci	--|---|--|----|
neme l aisieztupasateshomeshon ir	-|-|-⌫-----|-|--||--|----|---⌫-|
damedit flo ouanzporn eantl aue z	---|--|---⌫----|--|-⌫---||---⌫|
ienelous ofrer oieporyyl iur es	-|-|--|-⌫-----⌫--|--|-|-⌫---⌫-|
flooua nzla	------⌫-|-|
conman dearic hierl o u ardi	------⌫-||---⌫---|-⌫-⌫|---|
gar dezcest e pu celle car gant	---⌫--|----⌫|--⌫----|--|---|
es c hec aici	--⌫-⌫--|-|-|
uoire cedit ric hi ersonquess ibe lneu is	----|-|--|---⌫--⌫--|-----|-⌫|--⌫|-|-⌫-|
francoisontle c h ateletconquise l enor	-------|--|-|-⌫-⌫---|-|-------||---|
puisquilor entco nquision tes t éyy	-----|||--⌫--|--⌫----||--⌫|--⌫-⌫-|-|
f loouanz estausestr edoumursar az enour	-⌫------|--|--|----⌫|--|--|---⌫--⌫----|
maugal i elabal eli uint	------⌫-⌫|-|---⌫|-|---|
agenoilons	|--------|
s ire dit l a pucelle aiezm erci de	-⌫--|--|-⌫|------|---|-⌫---|-|
mahonmoznostr e dex porestsi aurous	-------|-----⌫|--|--|--|-|-----|
quinosdonelepainet	-||--|---|-|---|-|
quianlui bien	--|-|--|---|
croiraiiai	------|--|
nierttro p sofra i tous	|---|---⌫|-----⌫-⌫---|
quantlantant	----||-----|
floou anzsiritpor la fol our	-----⌫--|-|--|--|-|---⌫--|
pa r mafoi dam oiselle t ozuos dexnesont prou z	--⌫|-|--|---⌫------|-⌫-|--|--|-|---|----⌫|
u eez d e quel sa ngese nt	-⌫--|-⌫|---|--⌫|----⌫-|
esf o se zlaide soz	-|-⌫-⌫--⌫|--|--⌫--|
porlesma nbres coper nan	--|--|--⌫----|----||-|
leueroit zzsus	-------|-|--|
zztursde luic	-|---||-⌫---|
separdolanz	-|--|-----|
etsautenzzcheuaulcora nt et rauinous	-|---|-|-|------|----⌫-|-|-------|
etestuenu zabasmel ai trou aisonseign or	-|--|----⌫||----|-⌫-|----⌫-|--|-----⌫-|
po rnouelesoiricorurent plusour	--⌫|------|--||-------|------|
moimesl a mirauspansisetangousus	-----||-⌫-----|-----|-|-------|
o uquiluit lepaie nqui m ol t	-⌫--|-|--|-|----⌫|--|-⌫--⌫|
demandéconmant est	-------|------|--|
quexn oueles o uron sd ouchat el orgo ulus	---|-⌫-----|-⌫----⌫|-⌫-|----⌫-|----⌫---|
parm aunmot ba ussire ne tandirainus	--|-⌫-----|--⌫-|---|-||-|----|--|
escorfan le	-------|-|
fizdetaserour	--|-|-|-----|
etfernagu tonfi z	-|------|--|--⌫|
leardi poi gaour	-|---|---⌫----|
morzestetde trenchi eza	---|--|-|--⌫-------⌫-||
dolet ad olour	--|-||-⌫----|
manpriamd e	-------|-⌫|
surieetseshomenstrestoz	----|-|--|-----|------|
et toncha tel	-|--|---⌫--|
conqui set tolu e te nour	------⌫|-|----⌫||-⌫---|
mauga lietafile a	-----⌫--|-|---||
diuaqui aicefaitdi loumoi	---|--|-|-|---|-|--|--|
parmaonmotsir e yyfrancoisorguelo us	--|------|---⌫|-|-------|-------⌫-|
que liroi s aimandezp orconq uerre	--|-|---⌫|-|-----|-⌫-|----⌫----|
zzioua nceli	-|----⌫---||
aiqui ameru oileest prouz	-|--||----⌫---|--|----|
fernaguuostre fizuosai	------|-----|--|--|-|
mo rtadel our	--⌫-||---⌫--|
an co r anaiaga rt	--⌫--⌫|-|-||--⌫-|
qui conquist anles tour	-||-------|-||--⌫---|
quantlentantlamiraus	----||-----||------|
toteanpe rtla q uelo ur	---|-|--⌫-|-|-⌫----⌫-|
paumezcheiat err equi n	-----|---||-⌫---⌫|-|||
ot pointde u igour	-|----|-|-⌫----|
qua ntlencorent drec ieryyroispoignaor	---⌫-||-|-----|----⌫--|-|---|-------|
amiraussire	------|---|
rois di entlisa raz ins	---|--⌫--|-|--⌫---⌫--|
am i rausrich eroisporcoitesma ies si	--⌫-⌫---|----⌫|---|--|--||----⌫--|-|
rece t mauuais quefr ancoi s ont	----⌫|------|--|--⌫-----⌫|--|
orironsanlorterresilore n	-|----|-|--|----|-|--|-⌫|
baronsdit l amirausmont	-----|--||------|---|
pora uezb iendit	--|-⌫--|-⌫--|--|
orf e rai d on	-|-⌫-⌫--|-⌫-|
aioteretu enir	-----|-|-⌫---|
e t mon arierebanc quei e auraitresmi z	-⌫|--|---------|--|-⌫|----|------⌫|
l aironsesterdelamiraur persi	-⌫-----|----|-||------|----|
fl oredeluiet de sesfiz	--⌫--|-|--|-|-|--|--|
co nilui ntlechatelr auineret	--⌫|-|--⌫-|-|-----|-⌫-----|-|
floo uanzue t en contr ebraz abraz	----⌫---|--⌫|--⌫-----⌫|---||---|
sesont p ris	-|---|-⌫--|
et puis s e sont	-|---|-⌫|---|
asisdesuiszzpa ile bis	---|-----|-|--⌫--|--|
amiscedit liroisconmant	---|-|--|-|---|------|
uoses tetil	--|--⌫--|-|
moltb ienlamercideu floo uanzrespondi	---|-⌫--|-|----|--|----⌫---|-------|
o nque sn iot ass au t n etrait ne	-⌫----⌫|||-|---⌫--⌫|-⌫|----|-|
porforceet per prouocefutcechestai sconquis	--|----|-|--|------|--|-|-------⌫|------|
mellepellei	---------||
antramesoueclessara zins	-------|---|--|----⌫---|
m on t est g r anzliauoirsquenous a u ons	-⌫--⌫|--|-⌫-⌫--|-|-----|--|---|-⌫-⌫--|
orleprennezbau	-|-|------|--|
siretotauostredeu is	---|--||-----|---⌫-|
et siledepa rtez a uoseta	-|-|-|----⌫---||--|-||
autres quilauonsdes serui	-----|--||----|---⌫----|
barons dit	-----|--|
li rois flo res pro uzestes e t	-|---|---⌫--|---⌫-|----|-⌫|
terreuos doins t a n conuod roztenir	----|--|----|-⌫-⌫|--|---⌫--|----|
siuo s donrai	-|--⌫|-----|
