iet ésietésuos	---⌫--|-----|--|
dieussece s t por	----|-||-⌫-⌫|--|
menbienqueuo ussime	--|---|--|--⌫-|-|-|
enc or poraibien dire moltuautsensacat e ́s	---⌫-|----|---|---|---|---|---|----⌫-⌫-|
ensus demon pa isetloncd e mac ointa nch e	----|-|--|--⌫-|-|---|-⌫||--⌫-----⌫---⌫|
meconuenrasoffrirlamoieme sesta nche	-|-------|------|-|---|--⌫-----⌫---|
he dieusce ste poureteme tortapenitanche	-|----|--⌫--|------|-|---||---------|
e tentell i um	-⌫|-|--|-⌫-⌫||
ia iemasustanch e	|-⌫-|-|--------⌫|
aspasqanquetugolouses	-|--|-----|-|-------|
qu it aentelire	--⌫|||-|--|--|
taonl eidangiétnef eru	||-|-⌫---------|-|-⌫--|
udont testuenue	|---||--|----|
icele ir e	----|--⌫|
siremo utuou s	---|--⌫-|---⌫|
ar o iea di re	--⌫-⌫-||--⌫-|
mais kele uo iruous	----⌫-|-|--⌫-|---|
en desp onde	-|----⌫---|
l i pluschaitisdelmonde	-⌫|---|------|--|----|
et deltou tlipl usmescaués	-|--|---⌫|-|--⌫-|--------|
taisie ́samisuo us ne	------⌫-|---|--⌫-|-|
que dieusuous ferach iapries	--|----|---|---|--⌫|-----|
nedure mie	-|---|--|
unsans estpereautres	--|--|--|---|-----|
para st re	----⌫--⌫-|
sechieuschi uous tient	-|-----|--|---|----|
porfi llastre	--|--⌫------|
soiéssi p re use t si gentis	-----|-|-⌫--⌫-|-⌫|-|-----|
queal a utre an	--|||-⌫---|-|
s oie ́ssesfi s	-⌫---⌫-|--|--⌫|
ditesc onmentaués	----|-⌫-----|----|
s irec o rtoismap ieleo n	-⌫--|-⌫-⌫----||--⌫---|-⌫|
co r toisnesai	--⌫-⌫---|-|--|
quatreso l setuo cauch emente	-----|--⌫-⌫|-|-|-----⌫-----|
arésdusqualesain t	----|----||-|----⌫|
s edemoreruolés	-⌫|------|-----|
et estreuolés mes	-|----|-----|--|
oil siremoltuolen tie rs	--|---|---|-----⌫---⌫-|
mai sq ueiai edel pain	---⌫--⌫-||--⌫|--|---|
parfoi nen iréspasse nuec	--|--||-|----|--|--⌫---|
ainsen arés	---|-|----|
gran tpieceentiere	----⌫|----|------|
c ascuniorenuopannetiere	-⌫----|--|-|-|---------|
sitoisi terepose	-|--|-|-|-----|
ains cacherai forsdelaseu	---|-------|---|-|-|--|
mesporset m etraienpasture	--|---|-|-⌫----|-|------|
ladefors e n celecout ur e	-|-----|-⌫|---|----⌫--⌫|
t antqu il soien tsaoul etpl ain	-⌫----|-|-----⌫|----|-|--⌫--|
d ontprenttam achuee ntamain	-⌫--|----|-|-⌫----|-⌫|-|---|
sisa nleras mieusdelmestier	-|--⌫-----|----|--|------|
oraiio qantquilma	-|-|-|-----|-|||
heza uantquedieuspa r tiait	--|-⌫---|--|----|--⌫-⌫||--|
mechosem e	-|----|-⌫|
cestecarsau mien els ient	----|---|-|---|---⌫---|
nef up a snori e	-|-⌫|-⌫-⌫|----⌫|
moutauezordure	---|---|-|---|
etlesc ine larg eet espess e	-||---⌫--|----⌫|-|------⌫|
siuousa g ardés	-|---||-⌫-----|
bienenpor rafairelardés	---|-|---⌫-|----|------|
me sir em esmaistre	-|---⌫|-⌫-|------|
hedieus q uel	-|----|-⌫--|
heurepuet il estre	----|---|-|----|
ie deuissemangie r iequic	-|------|------⌫|-|---|
pains resanble bes cuit	----|-------|---⌫---|
siestplus halés etplu s bis	-|--|---|-----|-|---⌫|--|
quepainsa desiunerbrebis	--|----||-------|-----|
p lains estde	-⌫----|--|-|
mes t ureet dedraue	---⌫-⌫--|-|-|----|
mangassesi faue	-------|-|---|
a l ostelmon signeurmenpere	||----|--|------|--|---|
dire bienmesfrere	---|---|--|----|
si l sauoitque garda ssepors	|-⌫|-----|--|-----⌫--|---|
bien seroit cang i ésme sdepors	---|-----|----⌫-⌫--|--⌫|-----|
s ils au oientcestesouffraite	|-|-⌫--⌫----|----|---------|
ha dieuscom cispainsmedeh aite	-|----|--|--|----|-|---⌫---|
iecuickiso itdau aineu	-|---|||--⌫-||--⌫---||
iam aron t trenchielagorge	-||----⌫|-------|-|----|
lespaillesetlifestulo nc	--|------|-|-|----|--⌫-|
iemorroiede fain s e l onc	-|------|-|---|-⌫-⌫-⌫--|
quilnemepue tpasserlecol	-|-|-|-|---⌫|-----|-|--|
quepornoientmafol	--|--|-----||---|
ne p o rro ie souff rir	-|-⌫-⌫---⌫-|-----⌫--|
apainde si p ouresau our	|---|-|-|-⌫---|---⌫--|
mipuisa ssentir	||---|-⌫------|
or meconuientmafoi men tir	-|-|-------|-|--|---⌫--|
mo nmaistreacui ie suiremes	--⌫|------||--|-|--|----|
ia maisnenteraien sonmes	-|---||------|-|--|--|
n eliporcs autres	-⌫|-|---||-----|
nesimainne	|-||-----|
mout a chipeneusese mainne	---||--|------|--⌫-----|
qai ncbiensnem i potauenir	|--⌫-|----|-|||--|-----|
neaincdo n tm i	-|---|--⌫-⌫|||
potsou u enir	--|---⌫-⌫---|
nimang ai ki u ausistmaall e	||----⌫-|-|-⌫-----|-----⌫|
fain keioubaalle	---|-|--|-----|
saima uie en	|-|-|--|-|
d uelescuellie	-⌫--|--------|
ienaimi euergecuellie	-||-|--⌫|----|------|
cas toieret donter	---⌫----|-|-----|
maismachueporeffronter	---|-----|--|--------|
sime suiocisamesmain s	-|-|--|---||--|----⌫|
a mon pere	|--|---|
maisnioser airepairier	---|||----⌫-|--------|
allor sm econuient aairier	-----⌫|-⌫|-------|------|
m aisne sai u ne	-⌫--|-|--||-|
d equelpart	-⌫|---|---|
saite lfainkel icuers mepa rt	|-|--⌫|---|-|-⌫|----|-|--⌫-|
bienm obliedi eusetadosse	---||----|--⌫--|-|-----|
nesai sede cespo is enc osse	-|--|-|-|--|--⌫-|-|-⌫---|
quacespors	-||--|---|
de sreuler	--⌫------|
poroieia s aouler	-----|-|-⌫-----|
nemagrandfamine aaidier	-|-|----|-----|------|
i afors de	||---|-|
quilne stdroisque	-|-||-⌫-|----|--|
dieus nouiaus poisauuanme	----|------|---|----|-|
ausimon il troue ́molt	---||-|-|-----⌫|---|
lascom i lsont	--|--|-⌫|---|
etsur etaigr e	-|--|-|----⌫|
po id essart	--⌫||-----|
iluausiss entmout	-|-------⌫--|---|
mieusaulart	----|-|---|
silfusse n tbienpilét etcuit	|-|-----⌫-⌫|---|-----|-|---|
ormora iiou defainie	-|----⌫|--|-|---|-|
dieusilnarien senl asaiso n	----|-|||----⌫|-|-⌫|-----⌫|
n ai echies mo npere enmaiso n	|--⌫|----|--⌫|---|-|-----⌫|
maintsergantmaintualletliu ic	----|------|----|-----|---⌫-|
qu ab onda nce ontde p ainfaitic	-|--⌫----⌫--|--|-|-⌫--|-----|
etiou ich idefainper is	-|--|---⌫|-|---|---⌫-|
orm e consautl i sains e spirs	-|-⌫|------|-⌫|----|-⌫----|
que g rantmestier ai quilm	--|-⌫---|------|-|-|-||
hadies semes	-|---|-|--|
peres sauo it	----|----⌫-|
q ueieu esquisseasi	-⌫-|-|-⌫-------||-|
lipren droit grantpi ties au cue r	-|----⌫----|----|--⌫---|-|---⌫|
uausistueiras ieus	------|---|-|---|
liralers ce seroitd el mieu s	-|-----|-|-----|-⌫-|----⌫|
et bienuoifairele	-|---|--|----|-|
dechou soit	-|---|---|
o requestre empuet	-⌫-|-|----|-|---|
anchoisqueiememuire chi	---------|-|-|----|--|
iou crierm erci	--|----|-⌫---|
ioumen uois uési chimauoi e	--||-|---|---|-⌫--|-|---⌫|
maistr opmed ouc	---|--⌫-|-|-⌫--|
mespereset p oidelsienmedoins t	--|----|-|-⌫-|--|---|-|-----⌫|
qantme ueraensi	---|-|---|-|-|
u ilpoin t	-⌫-|----⌫|
ca r keussuidelmo ntelual	--⌫|---|--|--|--⌫-|-|--|
reuenisse acheual	--------||-----|
bienuestusd	---|-----||
unereubeua ire	--|----|--⌫--|
asses plusbielrepaire	----|---|---|------|
ara giu ne	--|--|-|
quemes frere es t siputebieste	--|--|----|--⌫|-|---|-----|
bi ensait ostm ara	--⌫-|--|-⌫--||--|
quei araile	--||---|-|
chier tanstr oué	----|---|--⌫---|
enco r esoi tmesfreres teus	----⌫-⌫|---⌫|--|-----|---|
sestmesp eresd ous etpiteus	|--|--|-⌫---|-⌫--|-|-----|
etbi en setent endre	-|--⌫-|--|---⌫----|
uoiioun ostremaison	--|--|-⌫----|-----|
lesfenestresetl es a ruols	--|--------|-|-⌫-|-⌫----|
do ntiomepart i c omme	--⌫-|-|-|----⌫|-⌫---|
monpereu oid edensseoir	--|---|-⌫-|-⌫----|----|
mai iou ne loser aiueoi r	--|--|-||----⌫-|----⌫|
nealerenliuqui l me uoie	-|---|-|--|-|-⌫|-|---|
trop suimeffaismai st ote	---|--|------|---⌫|-⌫--|
mestuet quedeuantlui m apere	|-----|--|-----|--||----|
ie sui sesfieusilestmesper e	-|--|--|----|-|--|--|---⌫|
mais tropdesdaigna imonseruice	---|---|---------⌫|--|------|
mera uisse	-|--⌫----|
ma isnemeuit	--⌫-|-|-|--|
entelp oint neent el habit	-|--|-⌫---|-|-|-⌫-|----|
choumefa it	---|-|--⌫-|
honteusetcouart	------|-|-----|
etquemeualentsi	-|--|-|-----|-|
desquil nemepuetrenterchier	----|-|-|-|---|----------|
ro mpr eme conuient	--⌫---⌫|-|-------|
etperchier	-|-------|
cesteg ra n thonteet cesteanguiss e	----|-⌫--⌫-⌫|----|-|----|-------⌫|
etfairetant	-|----|---|
kime connoisse	||-|--------|
iamaisnelui seraieskius	-|---|-|--|----|-----|
biausdou s	----|---⌫|
peresteschaitisfius	----|--|------|---|
qui foleme n t partidetoi	--|------⌫-⌫|----|-|--|
noncneuolt croir e toncastoi	|--|-|---|-----⌫|--|-----|
netau ol enteot roier	-|-|-⌫--⌫---|--⌫----|
pordi u merchipr oier	--|--⌫|-----|--⌫---|
tousrepent ans	---|------⌫--|
desonmeffa it	-|--|-----⌫-|
q uiestu ua	-⌫-|-|-|-|
tropasmef fa it	---|-|---⌫--⌫-|
quichi tiesmisao riso n	--|--||--|--||-⌫----⌫|
dil emeffait e t	-|-⌫|------|-⌫|
dechoitu meproiesmerchi	-|---|-|-|-----|-----|
ha biausdous peresués moichi	-|----|---|----|---|--|--|
cort oisu o f ill escha itiu é	----⌫--|-⌫|-⌫-||-----⌫----⌫-|
qu itantauers uousestri ué	--⌫|---||---|---|-----⌫--|
eto uurécontreuodeffois	-|-⌫----|-----|-|------|
biausfieusparcinqcent mile fois	----|----|--|---|---|---|---|
soies tu li bi enreuenus	----|-|-|--⌫-|------|
af ubletoiq uetropiesnus	--⌫---|--|-⌫-|---|--|--|
netereconn eus se	-|-|------⌫---⌫-|
b iau sfieus s i	-⌫---⌫|----|-⌫|
ie des ierseuss e	-|--|--|-----⌫|
qu erepairasses	--⌫|----------|
entelguise	-|--|----|
i outeuisseautr e	-⌫-||-----|----⌫|
reubequ ise	----|--⌫--|
or astueumalasses	-|-|-|-|--|----|
du squest usoies re spass és	--⌫----|-⌫|----|--⌫-----⌫--|
conuientcon	-------||-|
tebaigne etdangiere	-|-----|-|-------|
hezauant ieuient	--|----|-|----|
apra ngi er e	|---⌫---⌫--⌫|
moutest o rempliz chisost eus	---|--|-⌫|-----|---|---⌫--|
q u iestor cis no uiaus piteus	-⌫-⌫|--|-|--|--⌫----|-----|
queu ousfai te ssibielechiere	--|-⌫--|---⌫--⌫|-|----|-----|
biausf ie us	----|-⌫--⌫-|
chouestcort oisuo s frer e	---|--|----⌫--|--⌫|----⌫|
f r ere diableest chou	-⌫-⌫--|-----|--|---|
reui e ntilpartir autrefois	----⌫-⌫-|-|-----|----|---|
ilenporta denierscon ta n s	-|-|----|------|---⌫--⌫-⌫|
mais il atrouélec hier	---|-||-----|-|-⌫---|
lipertet alakene	-|---|-||-|---|
or na ilp asm an tiela pene	-|||-|-⌫-|-⌫--⌫---||---|
o rli refaison sreube nueue	-⌫|-|--------⌫|----|----|
p oruarletkisib iense prueue	-⌫-|-----|-|-|-⌫--|-|-----|
nous de uons moltbienefforchi er	---|--⌫---|---|---|--------⌫-|
et noscra suiele scorchi er	-|--|---⌫|---|-⌫-------⌫-|
bien fa itkiteluarlet	---|--⌫-|-|--|-----|
pormoikiuoussierf etd escauce	--|--|-|---|----|-|-⌫------|
cascumi ore nliudeuarlet	-----|-⌫-|-⌫|--|-|-----|
noucherie ́su ouspasu n p oulet	|--------⌫-|-⌫--|--|-⌫|-⌫----|
m ieus es t adiesamésle	-⌫---|--⌫|----|----|-|
p or amordiubiausfieus ne	-⌫-|---|--|----|----|-|
c ilestenlafin bienproué	-⌫-|--|-|-|--|---|-----|
do ites trereproué	--⌫-|--⌫--|-------|
estchomoltg rantaue n ture	--|--|---|-⌫---|---⌫-⌫---|
dam esdieus cho	---⌫------|--|
distlescriture	---||--------|
pec heorgregn or ioie	---⌫---|-----⌫-|---|
qantilseconnoistet rauoie	---|-|-|-------|-|-----|
que desautresnonantenuef	--|--|-----|------|---|
bien endeuonstuer	---|-|-----|---|
k i l est reuenus	|-⌫|--|------|
