#META#TextURIChaceP	-----|------|-----|
#MET A#DEAF	----⌫-|---|
#META#AR LIM Ah ttps/ / www.ar lima.net/ad/chace_dou_cerf.ht ml	-----|--⌫---⌫|-⌫-----⌫-⌫------⌫-----------------------------⌫-|
#META#Author	-----|-----|
#META# A u thorB or n	-----|-⌫-⌫-----⌫--⌫|
#MET A# AuthorBornAmb	----⌫-|------------|
# META#A ut ho rDi ed	-⌫----|-⌫--⌫--⌫---⌫-|
#META#Au thorDiedAmb	-----|--⌫----------|
# META #Aut horFl1	-⌫----⌫|---⌫-----|
#META#Author Fl2	-----|------⌫--|
#META# Text Title LaChace do u S er f	-----|----⌫----|-|----|--⌫|-⌫--⌫|
#MET A# TextSubtitle	----⌫-|-----------|
#META # T extuols	-----⌫|-⌫------|
#META# Text Subi chasse	-----|----⌫---|-----|
#MET A#TextDomdidactique	----⌫-|------|---------|
#MET A# Translation false	----⌫-|----------|----|
#META# Col lection	-----|---⌫------|
#META#Collectio nNo	-----|---------⌫--|
#META# TextDe s cARL	-----|------⌫-⌫---|
Met labouel esusla	--|-|-----⌫|--|-|
Car lic hien eu feront	--|-|-⌫---|-|-----|
grantfeste	----|----|
Etpuisen oste la	-|---|-|---|-|
parnulleauan ture	--|----|----⌫---|
Queleiarde ln iobliez	--|-|-----⌫|||-----|
Es daintiezmet treledeu ez.	-|-------|---⌫--|-|---⌫--|
Puislendoitle	---||-|---|-|
nomb l eleuer	----⌫-⌫|----|
Lescu isses n id oisoublie r	--|--⌫----|||-⌫--|------⌫|
Dele sc hinedeuxneus	-||-⌫--⌫---|---|---|
Laqueueplusbel ese nfait	-|----|---|---⌫||-⌫|---|
Et puisenlieueles costés	-|---|-|----|--|------|
Leschinemie n ioblie ́ s	|------|--|||-----⌫-⌫|
Laq ueue doi sàton pooir	-|-⌫---|---⌫|-|--|----|
B elele uerce	-⌫--|--⌫--|-|
doi ssauoi r.	---⌫|-----⌫-|
N oubliepasà	|-----|--|-|
Les iointesdeuantetd errie r	--|------|-----|-|-⌫-----⌫|
L os c orbinmien	|-|-⌫----|--||
Hautsu r unaubr elemetez	---|--⌫|-|----⌫|-|----|
Etlecuerdo nn ez ausmesi aus	-|-|---|--⌫--⌫-|--|----⌫--|
Car ce doite stre	--|-|---|-⌫---|
lorioi aus.	--|---⌫---|
Lo s dou cuernobliez	|-⌫|--|---||-----|
A dameencainte ledon ras.	|---|-------|-|---⌫---|
Lorsdoi stauenoison trousser	---|---⌫|-|-------|-------|
Latesteetlecol	-|----|-|-|--|
Emsam blepouruoirle te	-----⌫--|---|---|-|-|
P a geu01P0 25	-⌫-⌫-------⌫-|
Etlesde u x	-|--|--⌫-⌫|
espa u le sa usi	----⌫-⌫--⌫|-⌫--|
E m samble et p ui sles deux costé z	-⌫-⌫-----|-|-⌫--⌫|--|---|------⌫|
Susunaut re cheualtrous sez.	--|-|---⌫-|-----|-----⌫---|
Lahampeet la	-|----|-|-|
Ensemblebien	-------|---|
E tlesdeuxhausses	-⌫|--|---|------|
Lorsdo isha stersei lest tart	---|--⌫-|--⌫---|-|-⌫|--|---|
err a me nt lacu irié.	---⌫|--⌫-|-|--⌫-----|
Puis lecueure tantquechergié	---|-|-----|---|--|-------|
So it la uenoison et	--⌫-|-|-------|-|
Puissoitl abouel eo ste ́ e	---|---|-⌫|-----⌫|-⌫---⌫-⌫|
il enestmest ier	-|-|--|----⌫--|
Etdeslie les leuriers.	-|-----|--|--------|
Fai chascununeuergeprendre	--|------|--|----|------|
Pourles chie nsdehustindef fendre	---|--|----⌫-|-|-----|---⌫-----|
E tlesfai tto uz mangier	-⌫|--|---⌫|--⌫-|------|
tostque i ltesam bl e	---|--|-⌫|-|---⌫--⌫|
Que ilaurontman giéassez	--|-|-----|---⌫---|----|
Sis o iesmou ltbien auisez	-|-⌫-⌫--|---⌫-|---|-----|
A celiqui t ient	|---|--|-⌫---|
Dois-tu c rierapeleapele.	------|-⌫---|----|-----|
Lecuir trous e derriere	-|---|-----⌫|-------|
N estpas meruoill eset	|--|--|--------⌫|-||
Sel iu i ns	-|-⌫|-⌫-⌫-|
Bi ene streso nsquilsoit béus	--⌫-|-⌫-|----⌫-|-|-|---|----|
Etsit ost qu ebéuaurez	-|-|-⌫--|--⌫|---|----|
Dessusl escheuax mon terez	-----|-⌫-|-----|---⌫----|
Etlorsde uezprisecorner	-|---|--⌫--|----|-----|
doi t onm i eo blier.	---⌫|-|-⌫-⌫|-⌫-----|
Pageu01P026	----------|
Et qu antde l oste lseroi zprès	-|--⌫--|-||----⌫|-----⌫|----|
d e corner engrés	-⌫|-----|------|
Deux me nées c il	---|--⌫----|-⌫-|
etioiantenser ont .	-|-----|-|---⌫---⌫|
M esi eteuuel faireasauoir	-⌫-|-⌫|-|---|----|------|
Quexd ro is t u doizdou ce rfauoir	---|-⌫--⌫-|-⌫|---|--|--⌫-|----|
Licuirs e sttiensetl inomblès	-|----|-⌫-|----|-|-⌫|-------|
Etles espaules.Li uallet	-|--|--------|-|-----|
En ontlec olce stlor	-|--|-|-⌫-||-⌫-|--|
Maistudoissauoir pa r	---|-|---|-----|--⌫|
Que cildroit	--|--|----|
tefurentles si é	-|-----|---⌫--⌫-|
Pourcequ ilfu ssentempl oié	---|-|-|-|--⌫----|----⌫---|
Cor toisement et départi	---⌫--------|-|-------|
Queg ardenauignep ar	--|-⌫---||-----|-⌫-|
Quenunsho mt en	--|---|--⌫||-|
p uis tàblamer	-⌫---⌫|-|-----|
Parlad e fauteden	--|-|-⌫-⌫----||-|
Or taiapris	-||-||---|
etansaignie ́	-|---------⌫|
Seleretienzàemplo ié	-|-|------|-|-----⌫--|
Tieng bien	----|---|
let r auailque	-|-⌫-⌫----|--|
Sireuousmaueztant retrait	---|---||---|---|------|
Debiens quetouziors	-|----|--|---|---|
uostres etseru iruous uourai	------|-|----⌫-|---|-----|
Amonpo oi r bi enlesachiez.	|--|--⌫--⌫|--⌫-|-|-------|
Mais ieuouspriqueme di iés	---|-|---|--|--|-|--⌫---|
Seie doi tot adèsouurer	-|-|--|--|----|-----|
Pageu01P027	----------|
E nsi pourdoucerf enco ntrer	-⌫--|---|--|---|----⌫----|
Que deuis eroï uous a i.	--|-----⌫-|--|---|-⌫-|
Biaus douxamis ie uousdirai	----|---|---|-|---|----|
Sitost comuousaurez trouué es	-|---|--|---|----|-------⌫-|
Les me nieresdont	--|--⌫-----|---|
lesfumées	--|------|
Serontchangiez	-----|-------|
cesttotuoir z	|--|--|----⌫|
Lorsi ront lesc ersas	---|-⌫---|--|-⌫--|-|
E t siertpresde l aM agdelai ne	-⌫|-|--|---|-|-⌫|-⌫-------⌫-|
Sachiez quec est chosecertaine.	------|--||--|----|--------|
Par lepie ́	--|-|---⌫|
Tidoistutouztans rau iser	-|---|-|---|---|---⌫---|
fr oiercognoister as	--⌫---|----------⌫-|
Do ucerfquant	--⌫|---|----|
tul e trouuer as	-|-⌫|-------⌫-|
Ca rauplus	--⌫|-|---|
gros froïrsefroie	---|-----|-|----|
Etauient plus	-|-----|---|
h autcest lauraie	-⌫--||--|-|----|
Lorsdois testortoirepeler	---|---||---------|----|
Etplu smati n testuetl e uer.	-|---⌫|----⌫||-----|-⌫-⌫---|
Ettandoisalera sclar riaus	-||-|---|---|-⌫|----⌫----|
Etaslandessoies iniau s.	-|-|-----|----|-----⌫-|
ueir muser ideura s	---|----||-----⌫|
Et as f a u s	-|-|-⌫-⌫-⌫|
enc onois teras	-|-⌫-----⌫----|
Etassolascar sa pianiere	-|-|----|--|-|-------|
E stdeburnira	-⌫-|-|-----||
charbonnière.	-------------|
Douliemie rdrecierledois	--|------⌫|------|-|---|
Sachesque cestresonsetdroiz.	-----|--||--|-----|-|-----|
Qu eainsicomi	--⌫|----|--||
aidi tdeuant	-|--⌫|-----|
I laffiertet cestauenant.	-⌫|------|-||--|-------|
Etdontuen ront c hienet uallet	-|---|---⌫---|-⌫---|-|-----|
Audesco u plergrant	-|-----⌫-⌫---|----|
Page u01P028	----⌫------|
Etl es cueureinellement	-|-⌫-|-----|---------|
Et tostet u i guereus eme n t	-|---|-|-⌫-⌫-------⌫---⌫-⌫|
Etchascee n	-|-----|-⌫|
autelmeniere	----|------|
Com ieta idit	--|-||-⌫|--|
parçadarr iere .	--|--|----⌫----⌫|
Qua ntl i cersas	---⌫-|-⌫|---|-|
bi ces aro nt	--⌫--|---⌫-|
Alébien sen	---|---||-|
aperceuront	----------|
chienet li	----|-|-|
Chacierneuauron tce	------|-|------⌫|-|
Ain zco mpi sser ont	---⌫|--⌫---⌫----⌫--|
la mené e	-|-----⌫|
Sa chiezquec e s t chose prouée	--⌫----|--||-⌫-⌫|----|------|
Dusquatant que àchai ffesera	----|----|--|-|----⌫--|---|
Et lorschaucuns le	-|---|-------|-|
Meslesiones	--|--|----|
lec h ac eront	-|-⌫-⌫--⌫----|
Et plus uolant ierzi	-|---|------⌫---||
cour ron t	----⌫---⌫|
Setupars les c hiens	-|-|---|--|-⌫----|
Une menées e ule ment	--|-----|-⌫-⌫---⌫---|
Dois chacieren toutessaison s	---|------|-|-----|------⌫|
Cestuériteznouste dis ons.	|--|-------|---|-|---⌫---|
Faitesual lèsdesars	--|--|---⌫---|--|--|
Carnuns ne d oitlecerft uer	--|---|-|-⌫--|-|---|-⌫--|
Despée puisqu ilest froiez	|-----|-----|-|--|-----|
Deloinguous l oqueletraiez.	-|----|---|-⌫|--|-|------|
To tadèsquantuouschacerez	--⌫|----|----|---|-------|
Frait ese tbrisiées	-----⌫-|-⌫|--------|
Ansiqueie uousai apris	---|--|-|---|-|----|
Assez toste st litansfailliz	----|---|-⌫-|-|---|------|
Queon n e de ura	--|-|-⌫|--⌫--|
pluschaci er	---|-----⌫-|
Le cerfc e	-|---|-⌫|
teuuelacointier.	-|---|---------|
Pageu01P029	----------|
Orretienbienceque ditt	-|-----|---|-|--|--||
Ets ac he s bienqueeslit ai	-|-⌫--⌫--⌫|---|--|----|-|
Lesparolesàmon p ooi r	--|------|-|--|-⌫---⌫|
Quiaudeduitdoiuen tual oir	--|-|-----|------⌫|---⌫--|
M esia ̀po ur ce	-⌫-|--⌫|--⌫-|-|
nou laisse r as	--|------⌫-⌫-|
A demanderquant tuuer ras	|-------|----|-|---⌫--|
Homequi tepu i stensaignier	---|--|-|--⌫-⌫-|---------|
Delit eloa ̀acoint ier	-|-|-⌫|-|-⌫|------⌫--|
Pource que leno i es	---|-|--||-|-⌫-⌫-|
Touzgent i lhomesuuel	---|----⌫-⌫|----|---|
Etpri q uil iuuelleu tentendre	-|--|-⌫|-||-------⌫|-------|
enypuetmoultde bien	-||---|----|-|---|
les aimequi nensoit	--|---|--||-|---|
Mie udresse il	---⌫----|-|-|
fetcequildoit.	--|-|-|-|----|
§ Ex pli citlachas cedou	|--⌫---⌫--|-|----⌫-|--|
