san ioroie zraison	---⌫--|---⌫|-----|
at ortetapechiete t	|-⌫--|-||------|-⌫|
noié tetocis	-----⌫|-|---|
cil iron ttui tensembledeu an t	--|----⌫|---⌫|-------|---⌫--⌫|
clameronts oi adeu qui	--------|-⌫-||--|--|
ciel et terre fist	---|-|----|---|
cilloren fera t dr oitquionkes tort	--|--|-|----⌫|--⌫--|--|----|---|
gran stormenze nauro nt ci lqui les ont	----⌫|------|-⌫|----⌫-|--⌫|--|--|--|
en lachartredinferuianeprendrontfi n	-|-|------||----||-|-|--------|--⌫|
la aurattant efenmeett an thome	-|----|----⌫|----|-|-⌫--⌫|---|
ettantfazcrest o ienqui deunauront serui	-|---|--|-----⌫-⌫--|--|--||-----|----|
desrichesces quilo rent	--|--------|-|-|-⌫---|
etd es auo irsc olhiz	-|-⌫-|---⌫--|-⌫----|
keil doneirdeussent	-|-|-----|-------|
aspoures etmendis	-|-----|-|-----|
assei zaurontang oiss esia	-----⌫|-----|---⌫----⌫-|-|
non iertcontredit	--|---|--------|
misserun t	--|-----⌫|
enlachartreuherodes fu tmis	-|-|------||------|--⌫|--|
n iaurats aintnesainte apostlene mart yr	-⌫|----|-⌫---|-|-----|------|-|----⌫-|
ne angl enear chan gle	-|----⌫|-|--⌫----⌫--|
keonkes deusfesist	-|----|---|-----|
ki d userierap e ledamrideualiuis	-||------|--⌫-⌫-|-------|-|---|
si l est prise n u su reske	|-⌫|--|---|-⌫|-⌫--⌫--|-|
deu sen aitme rcit	---⌫|-|--|--⌫---|
ne iaeisset	-|-|-----|
dinferpo rtan t	|----|--⌫|---⌫|
cumdeussoitui s	--|---|---|--⌫|
ohidolenzo rguezquanth omeaurastrait	--|-----|-⌫----|----|-⌫--|----|----|
quantesbeles iouentes	------|----|-------|
asto lutparadis	-|--⌫--|------|
etquantbelbaceleiri ouen celet	-|----|--|-------|-⌫----⌫--|-|
f er asardoir elfo u	-⌫--⌫-|-----|-|--⌫|
u iane prendr ontfi n	|-|-|------⌫--|--⌫|
etfre res e tserorsetuxorsetm ari z	-|---⌫--|-⌫|-----|-|----|-|-⌫---⌫|
nefutaincsi	-|--|---|-|
granzduel zpuiske deus l a n gle	----|----⌫|-----|---||-⌫-⌫--|
ior k e serontdepartit	--|-⌫|-----|-------|
lasoidepa r teront etparent e tami	-|--|----⌫-⌫-----|-|-----|-⌫|--|
lagu e rp iratlip ereset la	-|--⌫-⌫--⌫---|-|-⌫---|-|-|
me res on fil	--⌫-|-⌫-|--|
oi filzdi ratlameredolente uosguerpis	-|---|--⌫--|-|---|------|--|------|
e t ieuosbelemereetchaitiset	-⌫|-|--|---|---|-|------|-|
bie n nos futacointiét	---⌫|--|--|---------|
teiz se roitnostre fins	---|--⌫---|-----|---|
ne ser ui roitianauroitp ar adis	-|---⌫--⌫---|-||-----|-⌫--⌫---|
loregneuremanrons tozdi s	-|----||--------|--|--⌫|
dontloruientfou s etflame quiart	---|--|----|---⌫|-|----|--|--|
tot lopais	--|-|---|
c ir ema nronsiamais po rtantdeussoituis	-⌫|-⌫---⌫----|-----|--⌫|---|---|---|--|
cum lassedeseuran c e	--|----|--------⌫-⌫|
lasnos t an ta tici	--|--|-⌫--⌫|-⌫|--|
tuitliterr ien sani or kenosauronsserui	---|-|----⌫--|----⌫-|-|--|-----|----|
ilnos faldr onttrestotcant uenrat	-|--|-----⌫--|------|---|-----|
li p laizn iertmie lur	-|-⌫---||---|--|--|
l o ior a ma intenir	-⌫|--||--⌫------|
anz iert alc reator qui	--|---|-|-⌫-----|--|
tr es totlomont	--⌫--⌫--|-|---|
en unechartre	-|--|------|
ancieneel pa rfu ntseront mis	------|-|--⌫---⌫-|-----|--|
iluistsolozneiorsn	|----|----|-|---||
ie sclarcist	|-⌫--------|
la ent ratnostresirepornoz	-|---⌫--|-----|---|--|--|
anmes garir	----|----|
ta nt iatde pa rfunt	--⌫-||-|-|--⌫----|
anglesdist	-----|---|
cumdelciel a	--|--|---||
f erons chaitif	-⌫----|------|
mut pariertg rant	--|--|---|-⌫---|
lidue lz d euant deual iuis	-|---⌫-|-⌫----|--|-|---|
la seront clerc etmoin e etpaienetiuis	-|-----|----|-|----⌫|-|----|-|---|
etlifaz crestiienki deu	-|-|--|--------|-|--|
n auronts eruis	|-----|-⌫----|
uiert pr is	|---|--⌫-|
cilauoirsquila	--|-----|--|-|
iertdepa r tiz	---|----⌫-⌫--|
or oiezdesgranzsignesquide deuant uenront	-|---|--|----|-----|--|-|-----|------|
liciez aba isserat a	-|---|---⌫------||
laterrep arfunt	-|----|-⌫-----|
cr ollerattroskenabism e elfonz	--⌫------|----|-|-----⌫|-|---|
lisoloze t	-|----|-⌫|
lalunel urbeatei tchagero nt	-|---|-⌫-|------⌫|-------⌫-|
liiors de uenra tnui z et del cielplourat	-|---|--⌫-----⌫|---⌫|-|--|---|------|
a inc sigr a nzdue zpuisk e deus fistadam	-⌫--|-|--⌫-⌫-|---⌫|-----⌫|---|---|---|
li hal t murene zaiwes	-|---⌫|--|-|-⌫|----|
d ango isse sue rse ro nt	|----⌫----⌫|--⌫---⌫--⌫-|
l e sestoilesdel ciel	-⌫-⌫|-------|--|---|
iu s ater recheront	--⌫||---⌫-|------|
do ntuenr atune n ued eue r sl o	--⌫-|----⌫-|--|-⌫-|-⌫---⌫-⌫|-⌫|
cie l amont	---⌫|----|
kiierttant tenene brosepo r l ango isse	-|---|---|------⌫----|--⌫||----⌫---|
sie nreuenrat	-|-⌫|-------|
unededeuers	--|-|-----|
kiietra t fou et flamme mutan goissosement	-|-----⌫|--|-|-----|--|--⌫-----------|
nuefcos tes	---|---⌫--|
enu ir onardantte rreen toz senz	---⌫--⌫-|-----|--⌫--|-|--|---|
noniertiamais mostiersneuile	--|---|-----|-------|-|---|
n e niertborsne casteazke	-⌫||---|---|-|------|-|
unkesdeus fesist	----|---|-----|
lamers s en iert	-|---||-|---|
fu i e e tli monziertfiniz	--⌫-⌫|-⌫|-|---|---|----|
oro iezlano uele	-|-⌫--|-|--⌫---|
del g ra nt	--|-⌫--⌫-|
iordeliuis	--|--|---|
ilson erat encielmessiressainz	-|---⌫---|-|---|--|----|----|
e nse m bler euenrontuos tr ec harsetuozspir s	-⌫---⌫-⌫--|-⌫-------|---⌫--⌫|-⌫---|-|--|----⌫|
dela terreeisser eiz doler os e t esch is	-|-|----|------⌫--|-----⌫-|-⌫|----⌫-|
luns regarder at lautre t oz	|--|--------⌫-||----|-⌫-|
sereizembahis	-----|------|
n efut aincs i gran zdue zp u isked eus	-⌫|--|---|-⌫|----⌫|---⌫|-⌫-⌫---|-⌫--|
lo m e fi st	|-⌫-⌫|--⌫-|
cum ser ata	--|---⌫-||
cantterre prendratfin	---|----|-------|--|
soneratm arcu senorient	------|-⌫----⌫|-|-----|
tuit rele urontdeterre la crestoie neg en t	---|----⌫----|-|----|-|--------⌫-|-⌫--⌫|
altiercior so neratmess ir essai nz iohan s	-|----|--|--⌫----|--|-⌫--⌫-|---⌫-|-----⌫|
loior uerreizmiracles	-|--|------|-------|
mu tmutmeruillo setgra ns	--⌫|--|--------⌫|-|---⌫-|
laquarte partdel cielderrompreetdepar tir	-|-----|---|--|---|--------|-|-----⌫--|
al quarti orsoneratlucasen	-|----|-⌫-|------|----|-|
campflo rit	---|---⌫--|
trestuitistront deterreiauns	-------|------|-|----|-|--|
neni ertadi r	|-|-⌫--||--⌫|
liclercli l a ili m oineconuerset liermite	-|----|-|-⌫-⌫|-|-⌫---|------|-|-|-----|
ettot lifaz crestienqui deu aurontguerpit	-|--|-|--|-------|--|--|-----|------|
tot en irontal	--|-|----|-|
p laitde uandeu aliu is	-⌫---|--⌫--|--|-|--⌫-|
lap ora t deu ueoir	-|-⌫---⌫|--|----|
quion kesmaisneluit	--|--⌫--|---|-||--|
e tles plaies	-⌫|--|-----|
auocqueilpor nosso fr it	---|--|-|--|--|--⌫--⌫-|
kediratnos t resireala fin	-|----|---⌫-⌫-|---||-|--|
geuos aitozr efaizet ameiz icii	-|--|-|--|-⌫----|-|----|---|
et sisuire uenuzalt ermequ euosmis	-|-|--|--⌫----|-|-⌫---|--⌫|--|--|
seb ieneu s siez fa it	-|-⌫--|--⌫-⌫---|--⌫-|
or l otrouisiezci	-|-⌫|--------|-|
ueeizici lesplaieskeiopor	----|--|--|-----|-|-|--|
lespalmesetles piez	--|-----|-|--|---|
enouperciés parmi	-|-|-------|----|
grantangoisse o utmescorskant	----|-------|-⌫-|--|---|---|
en dietissir	-|---|----|
mescorsfutconsumeiz s	--|---|--|--------||
e nalatmes espirs	-⌫|---|--|-----|
enzelparfun tenfer poruozanmes	--|-|------⌫|----|--|--|----|
lesmiens e nietai f orscuns ol	--|----|-⌫|----|-⌫--||-|-⌫-|
laissai infertroskalior	------|----|----|-|--|
ce soffrigepor uoskaueizsoffert	-|-----|-|--|--||----|------|
mes corsremeistenterre la ufut	--|---|------|-|----|-||--|
tuit mesgarderentet paie neti ui	---||----------|-|----⌫|-|-⌫-|
maletli bonkimoio rent serui	--|-|-|--|-|--|-⌫---|----|
n ichodemusiert cui	-⌫--------||--|--|
granzpiti ez en prist	----|----⌫-|-|----|
ca ntliiors fut	--⌫-|-|---|--|
aleizet ilfut enuesprit	----|-|-|--|--------|
si reuintamon	-|-----||--|
cors lescla s de	---|--|---⌫|-|
fe forspr ist	-|---|--⌫--|
simo imi stiusat erre cant ilm ot	-|--⌫|--⌫-|--||-⌫---|---|-||-|
drezatmoideu ant soiaen gard eirmeprist	-----|--|---⌫--|--||--⌫----⌫--|-|----|
ohigloriosdeuscu m	--|------|---|--⌫|
granzpla ie z at ci	----|---⌫--⌫|-|-|
uoseni rei ze nci elladont	--|-|-⌫---⌫|-⌫|--⌫-|-|---|
zad eschendiz	-|-⌫--------|
o r uose n uul hp r o ier parlauostre	-⌫|--|-⌫|---⌫|-⌫-⌫-⌫--|--|-|-----|
cantuenreiz	---|------|
enuoregneramembreu osdem i	-|-|----|-------|-⌫-|-|-⌫|
tu ita u ospariurétlig rantet	--⌫-|-⌫-⌫-|--------|-|-⌫---|-|
etsesplaie s keilpornossoffrit	-|--|-----⌫|-|-|--|--|------|
li espi rs repairatal t ie r cior s urrexit	-|----⌫-|-------|-|-⌫--⌫-⌫|--|-⌫------|
si en al atenciel uisiteirses	-|-|--⌫-|-|---|-------|--|
ordeprions tu it de uparlasuemercit	-|-------|--⌫-|--⌫|--|-|--|-----|
k aleirpuissons	|----|-------|
odlui a la	-|--||-|
ioies enzfin	---|-⌫--|--|
dextre partie auocla saintecom panie	-----|-----|---|-|-----|---⌫----|
