deu nmutanc ienlai bretun	-|-⌫|--|---⌫--|--|-----|
ceoque si s sire s otcumandé	--|--|--⌫|----⌫|-|-------|
mu tenfu lee la	--⌫|-|-|--|-|
est ce luiapele	--|--⌫--|----|
luinzd e sau t resse	----|-⌫-⌫|--⌫-⌫--|-|
amduie rentdeamur esp r is	----|-⌫---|-|---|---⌫-⌫-|
elenelosot ar eisuner	--|-||---|--⌫------|
a lip arler	|-|-⌫----|
forst antk e illamer cia	---|-⌫----⌫|-|-|---⌫--|
delpresentqueeleli enueia	--|------|--|--|-|-----|
uncmesn ot auei rsichier	--|--||-|----⌫|-|----|
ele respunt alche ual ier	--|------|-|---⌫---⌫--|
que deceolieste itmut	--|-|--|-|----⌫-|--|
epurceolienu eat	|--|--|-|---⌫--|
elaceintur eautr esi	|-|-------⌫|----⌫--|
que de suncors l aueitseisi	--|-|--|---||----|----|
e l elam at detelamur	-⌫-⌫||--⌫-|-|--|---|
de lu iuo ltfair esun	-|--⌫|--⌫-|----⌫|--|
e si elene peot	|-|--|-|---|
unec hosesace de	--|-⌫---|---|-|
iames n aue rahu mmeuiuant	----||---⌫-|--⌫--|-----|
ore li redie suntalant	--|-|----|--|-----|
damefetilgrantg reuuss ai	---|--|-|----|-⌫-|--|-⌫-|
de uostre amur grantioieenai	-|-----|---|----|---|-|-|
quant u us tantmeauez	----|-⌫-|---|-|---|
dure mentend eiestrelie	----⌫---|-|-⌫-|----|--|
ne reme indratpasend re itme i	-|----⌫-----|--|---⌫--⌫-|--⌫|
unan sui remi sod lerei	-|-|--|----⌫|-|-|--|
laf ia ncea d de meiprise	-|-⌫--⌫--|-⌫|-|--|----|
nenpartiraien nuleguise	|-|-------|-|---|----|
d esiquesa	-⌫-----|-|
g uereai t finee	-⌫---|--⌫|----|
en irai enmacuntree	-|---|-|-|------|
ka r neuoilmieremaneir	--⌫|-|---|--|-------|
si cungepuis	-|----|---|
deuusaueir	-|--|----|
lapucelelirespundi	-|-----|-|-------|
a m isla uostre g r a nt mer ci	-⌫-⌫-|-|-----|-⌫-⌫-⌫-|---⌫-|
tantestess agese	---|----|-⌫---||
bienauerezpuru euai n cei s	---|-----|----⌫-|--⌫-⌫---⌫|
uodriezferedemei	------|---|-|--|
rienuus a im e crei	---|--|-⌫-||---|
bienseste en tase uré	---||----⌫--⌫|---⌫---|
nuntplusparlé	|--|---|-----|
asun osteleliducuet	|--|----|-----|--|
ioius mut a d bi en fe t	----|--|-⌫|--⌫-|--⌫|
souent peotparlerodsamie	-----|---|-----|-||---|
gra nte stentreeusladru erie	---⌫-|-⌫-|----|--|-|---⌫---|
tants estdela guer e entr emis	---||--|-|-|----⌫|----⌫---|
quilaueitretenuepris	-|-|----|-----||---|
celuiki lerei guerreia	----|-|-|--|-------|
etute later e a quita	|---|-|---⌫|-⌫----|
mut fupreisezparsapr ues ce	--|-|------|--|-|--⌫---⌫-|
par sun sen epa rsa largesce	--|--|--||--⌫|-|-------|
mu tlie s te i tbiena uenu	--⌫|-|-⌫-⌫--⌫-⌫|---|-⌫---|
dedenzletermekeceofu	-----|-|----|-|--|-|
sessi re s lote nueé q uere	--|--⌫--⌫||-|-⌫----|-⌫---|
treisme ssagesforsde	----|--⌫-----|---|-|
mutertgreuezedama giez	--|--|-----||----⌫---|
eencumbrez etdamagiez	|--------|-|-------|
tuzsesch a steus alotp erda nt	--|--|--⌫-⌫----|---|-⌫----⌫-|
etutesate reguastant	|---|-|--⌫-|-------|
mutsesteitsouent repentiz	--||-----|-----|-------|
quildelui es te itpartiz	-|-|-|--|--⌫--⌫-|-----|
malc unseilenote u	--|-⌫-----|-|-|-⌫|
emal ement l	|---⌫----||
aueit u eu	----|-⌫-|
lestraitu rski	--|------⌫-|-|
lencuserent	|---------|
ee mpeirer entemedler ent	|-⌫-------⌫--||------⌫--|
aueitieté fo rsdelp a is	----|----|--⌫-|--|-⌫-⌫-|
eeneissilatuz iursmis	|-|-----||--|---|--|
pars ungr a ntbesuinlem andot	--|-⌫-|--⌫-⌫-|-----|-|-⌫----|
esumunei te	|-------⌫||
parlalia nce quillifi st	--||----⌫--|-|-|-|--⌫-|
quantil l uma gedelu i	----|-||---⌫-|-|--⌫|
enueni stpurl ui	-|----⌫-|--|-⌫-|
enaueitgrantmester	-|----|----|-----|
eliducoilanouele	-----|-|-|-----|
mut li pesapurl apucele	--|-|---|--|-⌫|-----|
kar anguissusement l	--|-------------||
eelelui kep l us ne	|--|--|-|-⌫-⌫-|-|
mesnote ntre eus	--||-|-⌫---|--|
nulefol ie	---|---⌫-|
iolifte neui leinie	------|-|--⌫-----|
dedouneeredeparler	-|------||-|-----|
lurbea usaueirs doner	--|---⌫-|-----|----|
es teittute ladru eri e	--⌫---|---|-|---⌫---⌫|
par amurenlurcumpain ie	--|---|-|--|-------⌫-|
ceofusententee	--|-||------||
sune speir	--|-⌫----|
ele lequidotdeltut	--|-|-----|--|--|
eretenirsie lepe ust	|------|-|-⌫-|--⌫--|
n esaueitpasquefemmee ust	-⌫|-----|--|--|----|-⌫--|
allasf et ilmala i	----|-⌫-|-|--|-⌫|
mar u iunkescestecun tree	--|-⌫|----|----|---⌫---|
uneme schine	--|--⌫-----|
guilliadunl af ille alrei	---------|-⌫|-⌫---|-|--|
mutduremen teelemei	--|-------⌫||--|--|
quantsidelimestuetp artir	----|-|-|-||-----|-⌫----|
un de nusestuet murir	-|-|--|-----|----|
uambedeusestre	|-------|----|
e nepurquantalermesteot	|---------|---||-----|
missires madpar	--|----||-|--|
brefma ndé	---|--⌫---|
epar se rement	|--|--⌫-----|
femmedautrep a rt	----||----|-⌫-⌫-|
coui entqueieo	----⌫--|--|--|
ieo nepuis mierem aneir	--|-|---|--|---⌫----|
ai nzmen iraipar	--⌫-||-|---|--|
simamie esteie espusez	-||---|-----|------|
suffreit crestientez	-------|----------|
de tutes parz	-|----|---|
uamalement	-|-------|
deutantestdur	--|---|--|--|
le d epartement	-|-⌫---------|
meskikil turt a	--|-||-|---||
uersl if erai tuziurs	---|-⌫|-⌫---|--|---|
tute sauolente	---|-|------|
epar sunc unseilerrai	|--|--|-⌫-----|----|
lireis sissires ad	-|---|--|----|-|
bo ne peis	--⌫-|---|
n equiq uenul leguerr ei tmeis	-⌫|--|-⌫-|--|-|-----⌫--⌫|---|
purlabusuin demun seignur	--|-|-----|-|--|------|
que rrai cunge deu a ntleiur	---⌫---|----|---⌫-⌫-|-|--|
qu emestermesesteit	--⌫|--|-----|-----|
keodluisereie al	-|-|--|-----|-|
a lap uceleiraiparle r	|-|-⌫----|---|-----⌫|
etutmun af ere mustrer	|--|--|--⌫--|------|
ele medirat	--|-|----|
eio l fe raiamun poer	|-||--⌫--||--|---|
l ich eu alernad plustarg ié	-⌫|--⌫--⌫---||-|---|----⌫--|
al rei ueitpr en dr elecungie	-|--|---|--⌫--⌫--⌫|-|-----|
lauenturelic untee	|-------|-|-⌫---||
lebriefliadm u strée lit	-|----|-|-|-⌫-⌫----||--|
siresli enu eia	----|-|---⌫--|
quepa rd estrescelemand a	--|--⌫|-⌫-------|-|----⌫|
oilemandement	-|-|--------|
equilnere meindra	|-|-|-|--⌫------|
m utestdolentetrespense z	-⌫-|--|-----||---------⌫|
del suenli	--|---|-|
adoffertasez	-|-----|---|
l atercepartde	-⌫|----|---|-|
sahe ri te	-|--⌫--⌫-|
esuntresur	|--|-----|
abaun doné	-----⌫----|
pur remaneirt an tlifera	--|-------|-⌫--⌫|-|---|
iu rsleloera	--⌫-|-|----|
pa rde ufet	--⌫|--⌫|--|
puisquem issires	------|-⌫-|----|
est destreiz	--|-------|
eil mad mandéde	|-||-|-----|-|
io men ir aipur sunbu s o in	-||-|--⌫-|--|--|--⌫-⌫-⌫-|
neremeindraien nule guise	-|---------|-|---|----|
s iaue z mest erde	-⌫|---⌫|----⌫-|-|
m uns eruise	-⌫-|-⌫-----|
a uu sr euendrai	|--⌫|-⌫-------|
odgrantesforz de ch euale rs	-|----|-----|-|--⌫-----⌫-|
de ceol a d lire ism erci é	-|--||-⌫|-|--⌫-|-⌫----⌫-|
ebonem e ntcunged o né	|-----⌫-⌫-|----|-⌫-⌫--|
tuz lesau eirsdesameisun	--|--|--⌫---|-|-|-----|
limetlireisen ba undun	-|--|-|---|-|--⌫----|
chien secheuaus	-----⌫||------|
drasde seie bo nse beaus	---|-|---|--⌫-||----|
ilen pristmesurablemen t	-|-|----|------------⌫|
puisl iad ditauenantm ent	---|-⌫|-|--|--------⌫--|
quea sa fillep arl er ireit	--||-|----|-⌫---⌫-|----|
mut uol enters si	--|---⌫-----|-|
luipleseit	--|------|
lireisr espuntceomestmutbel	-|---|-⌫-----|--||--|--|--|
auant enueit	----|-----|
undame isel	-|----⌫---|
q uel us delachambreouri	-⌫-||-|-|-|------|---|
elid usuetparler odli	----⌫-|--|-----|-|-|
q u antelel e uitsil apela	-⌫-⌫--|--|-⌫|--|-||----|
esismilf eiz l esalua	|--|--|-⌫--|-⌫|----|
desunafere	-|--|----|
cunseilprent	------|----|
suneireli must rebreuement	--|---|-|----⌫-|--------|
ain zquilli	---⌫--|-|-|
eustt utmustré	---|-⌫-|------|
necunge prisne demandé	-|----|---|-|-------|
sepau maele dedolur	-|---⌫-|--|-|----|
eperditute	|----|---|
qua nteliducla	---⌫-|-----|-|
ueit pau mer	---|---⌫--|
s i secume nce a desmente r	-⌫|-|----⌫--||--------⌫|
labuche libaise souent	-|----|-|----|-----|
esiplur emut tend rement	|-|----⌫|--|----⌫-----|
brazlaprist	---|-|----|
tant quedepaumeis unsreuien t	----⌫--|-|-------⌫--|------⌫|
pardeufet il	--|--|--|-|
mad uceam i e	-|-⌫--|--⌫-⌫|
sufrez unp oi keiouusdie	-----|-|-⌫-|-|-|--|--|
uus es tesmauiee mam ort	--|--⌫--|-|--||-|-⌫--|
enuu sesttutm unconfort	-|--⌫|--|--|-⌫-|------|
pur ceop reng ieocunseilde	--|--|-⌫---|--|------|-|
quefiance ad	--|-----|-|
en trenu s	--⌫--|--⌫|
purbusuin uoi senmunp a is	--|-----|---⌫|-|--|-⌫-⌫-|
auostreper e	|-----|---⌫|
mesieo fre i uostrepleisir	--|--|---⌫|-----|------|
quekemedeiueaueni r	----|-|----|-----⌫|
oduus fet ele	-|--|--|--|
puisque remaneir n e uolez	------|-------|-⌫|----|
ceonun ie o meocirai	--|--|--⌫|-|-----|
ia me s ioiene bie nnea ue rai	--⌫--⌫|---|-|---⌫|-|-⌫--⌫--|
eliduc respuntpa rducur	-----|------|--⌫|----|
quem utlamo tdebonam ur	--|-⌫-||---⌫|-|--|--⌫-|
bele i eosuiparser ement	---|-⌫-|--|--|---⌫----|
a u ostrepereueirement	|-⌫----|---|--------|
si ieouus en meno e	-|--|--|-|----⌫|
i eo limentireiemafei	-⌫-|-|--------|-|--|
desikkialter mekif u mis	----|-|-|---⌫-|-|-⌫|--|
leaum ent uus	-----⌫--|--|
iurepleuis	--||-----|
s icun gemeuole z	-⌫|---⌫-|-|----⌫|
erespitmett re e iurnom er	|-----|----⌫-||--|---⌫-|
si uusuolezque	-|--|----|--|
ieo reui enge	--|----⌫---|
ne strienalmundq ueme	|-⌫-|---|-|---|-⌫-|-|
purceoqueseieuis	--|--|--|---|--|
m auieesttutee ntreuozme in s	-⌫|--|--|---|-⌫---|--|--⌫--⌫|
cele oid el uigrant	---|-|-⌫|-⌫-|----|
t erm e li duneenumeiur	-⌫---⌫|-|---||---|--|
e pu rli mener	|--⌫|-|----|
grantdoel fi rent aldeseu rer	----|---|--⌫---|-|-----⌫--|
luranelsdors	--|----||-||
entrechangerent	--------------|
s entreb ai serent	|------⌫--⌫-----|
il est desque	-|--|-----|
bonotleuenttostest	--|-|-|---|---|--|
quanteliducestrep eir ez	----|-----|--|---⌫---⌫-|
si ssiresest ioi use liez	--⌫|----|--|---⌫-||---|
amie siparen t	--||-|-----⌫|
commun ement	------⌫----|
esa bo n e f emm e	|-|--⌫-⌫|-⌫---⌫|
quemutestbelesage	--|--|--|---|---|
esteit tuz iurs pensis	-----|--|---|-----|
pur lamurdun t il	--||---|---⌫|-|
ert suspris	--|------|
uncpurrienqu ilueist	--|--|---|-|-|----|
ioien e b el se mblantne	---|-⌫|-⌫-|--⌫-----|-|
ne iam esioienenauera	-|---⌫-|---|--|----|
desique samieuerra	------||---|----|
mut sec u ntient	--|-|-⌫-⌫-----|
suti uement	----⌫-----|
enotle queor dolent	-|-|-|----|-----|
nesotmi equeiceodeueit	-|--|--⌫|---|--|-----|
aseimemes se	|--|----|-|
ple igneit	---⌫-----|
eleluidema ndotsuuent	--|--|----⌫---|-----|
otoi de n ulegent	-|-|-|-⌫--|---|
q ue ele eust mesfetu m espris	-⌫-|--|---|-----||-⌫-----|
tantcumil fuhors delpais	---|--|-|-|---|--|---|
u olent erssenesdrescera	-⌫-----⌫--||-|---------|
gentquant li	---|----|-|
damef et il nent neuusret	---|-⌫-|-|---|-|--|--|
dem espri sunne demesfet	-|-⌫-----⌫--|-|-|-----|
paisu i aieste ́	---|||-|----⌫|
aial reipleu ieiuré	-|-|--|----⌫||----|
q ueieodeia	-⌫-|--|--||
lui repeirer	--|-------|
kardemei ad	--|-|--|-|
grantme ster	----|--⌫---|
silirei mis	-|-|--|--|
sires a ueitpei s	----|-⌫---|---⌫|
ne remein dreie	-|------⌫----|
oitiursapres	--|---|----|
granttrau ailm estuuera suffrir	----|----⌫--||-------|------|
ainzqueieo pui sse r euenir	------|--|---⌫--|-⌫-----|
iadesiquereuenuseie	-|------|-----|---|
ioiede rienqueuei e	---|-|---|--|---⌫|
karneuoi l ma f eitrespasser	--|-|---⌫|-|-⌫-|---------|
atantlelest ladame	----|-|---|-|---|
e liduc odsunseignu rfu	-⌫----|-|--|------⌫|-|
mutli ad aide ́ eu alu	--|-|-|----⌫||-⌫--|
cun seildelui	---⌫---|-|--|
e tute lateregardot	|---|-|---|-----|
mesquant litermes apre ca	--|----|-|-----|----⌫-|
que lap u cel e lin uma	--|-|-⌫-⌫---⌫|-|-⌫--|
entrem i s	------⌫-⌫|
t uz acorda sese ne mis	-⌫-|-----|--|-⌫--⌫--|
estap pareilléde	--|--⌫--------|-|
equeile gentil uodr amener	|-----|---|-|----⌫|----|
deus sesneu uz	---|--|---⌫-|
q u il m utama	-⌫|-|-⌫-|--|
e unsuenchamberl enc	|-|---|--------⌫--|
cilo tde lur	--|-⌫|-|--|
cunseilesté	------|----|
elemessag e aueitporté	|-|------⌫|----|-----|
esese squierssuleme nt	|--|-⌫------|------⌫-|
i ln otcur ed aut re gent	-⌫||-|---⌫||---⌫-|---|
fi stple uir	--⌫-|---⌫--|
su n afa ire celer	--⌫|---⌫--|----|
en mersemistplusniatent	-|--|-|---|---|||----|
utrefurent hastiuement	---|-----|----------|
en lacuntreeesteitariu ez	-|-|------|-----|----⌫-|
uil esteitplus desirez	|-|-----|---|------|
el iducfumut ueiziez	--⌫---|-|--|------|
luindeshafness est herbergez	---|--|-----||--|--------|
neuolei tm i ee streueuz	-|-----⌫|-⌫-⌫|-⌫---|---|
netroueznerecunu z	-|-----|-|------⌫|
sunchamberlencappareilla	--|----------|---------|
amie l enueia	---||-----|
silimandaque uenuz	-|-|----|--|----|
bienad suncumand te nu	---|-|--|-----|--⌫-|
lanuitqu anttutfu aues pré	-|---|--⌫--|--|-|----⌫---|
seneissid e lacite	|-|----|-⌫|-|---|
l i cham berlenc	-⌫|----⌫------|
e ilen cuntrelisera	|-|--⌫-----|-|---|
cilaueitt uz c hangiésesdr as	--|----|-⌫-|-⌫------|--|--⌫-|
api es enuett restut	|--⌫||-|--|-⌫-----|
citeala tut	---|--|--|
ula fil lele reies teit	|-|---⌫-|-|--|--⌫---|
t antaueitp u rchaciée qu is	-⌫--|----|-⌫-⌫-------||--⌫-|
quededen zlachambres est mis	--|-----⌫|-|------||--|--|
a lapuce l e dist saluz	|-|----⌫-⌫|---|----|
equ e sisamis esteituenuz	|--⌫|--|---|-----|----|
quantele a dlanouele o ie	----|--|-⌫|-|-----|-⌫-|
tutemurnee esb aie	---|----||---⌫--|
deioiepluretendrement	-|---|----|---------|
e cel ui adbais ésuuent	|---⌫-|-|----⌫-|-----|
a dditque aluesprer	-⌫|--|--|-|------|
lene stuuerat od lial er	|-|-⌫-------|-|-|--⌫-|
tutleiu rotissiesté	--|-|--⌫|-|---|----|
elureire bien deuisé	|--|---|---|------|
l anuitqua nttu tfu aseri	-⌫|---|---⌫-|--⌫|-|----|
dela uile s	-|-|---||
lidameis ele ele od li	-|------⌫-||--|-|-|
ene furentma i si ldui	|-|-----|--⌫-⌫|-⌫|--|
grantp our adke humnelaue ie	----|-⌫--|-|-|--|-|-|--⌫-|
ues tuefu de undrapdeseie	---⌫--|-|-|-|---|-|---|
men ue m en taorbrosde ́	---⌫--⌫-⌫--⌫||-|------⌫|
curt mantel afublé	---|-----|------|
lui nzde laportealtraitdeunarc	---⌫-|-|-|----|-|----|-|-|--|
laotunboisclosdeun	-|-|-|---|---|-|-|
palizlesatendeit	----|--|-------|
sisamiskipu rliuene it	--|---|-|--⌫|-|----⌫-|
lichamberlenc	-|----------|
eildescents ila	|-|------|-⌫|-|
grant ioiefirental as sembler	----|---|-----|||--⌫------|
surun ch euall a	--|-|--⌫---|-⌫|
fi stmunter	--⌫-|-----|
e ilmuntasareisneprent	|-|----|-|-----|----|
odlisenue t hastiue ment	-|-||-|--⌫|-------⌫---|
al hafne u ie ntatoteneis	-|----|-⌫--⌫-||-------|
enlanefentrentdemaneis	-|-|--|------|-------|
nio thummes ilessu ens nun	||-⌫|----|-⌫|--|--⌫--|--|
es amie guilliadu n	||---|---------⌫|
bon uent eurent e bonore	--|---|-----||--|--|
t ens aseuré	-⌫--|------|
mesq uant i ldurent	--|-⌫---|-⌫|-----|
u neturmenteeurentenmer	-⌫-|-------|-----|-|--|
eunuent deuant	|-|---|-----|
qu eluindel hafnelesgeta	--⌫|---|--|----|--|---|
lur uergebrus aefendi	--|----|----⌫||----|
etutlur sigle	|--|--|----|
de urec le im ent	--⌫|---⌫--⌫--⌫--|
de uotement	--⌫-------|
seintnicholas e s ei nt clem e nt	----|-------||-⌫--⌫-|----⌫-⌫-|
e ma damesei nte	|-|---|---⌫--|
queuers s un	--|---|-⌫-|
f izlurquergeai e	-⌫-|--|-----|--⌫|
keillesg arissedeperir	-|-|--|-⌫-----|-|----|
ealhafnepuissent	|-|----|-------|
au tre auant	--⌫--|----|
issialouentacosteant	---|------|--------|
mutesteient pres deturment	--|-------|---|-|------|
undesdeci pleshautement	-|--|----⌫---|--------|
seste scr iez que if aime snus	|--|-⌫---⌫--|---⌫|-⌫----⌫|--|
sireca einzauezod	---|-|---|---|-|
ce leparkinusperi ssums	--⌫-|--|-|--|----⌫----|
iames atereneue n dr ums	----||---|-|--⌫-⌫--⌫--|
femmelea le espu seau ez	----|---⌫-|----⌫-|--⌫-|
celeautreenmenez	---|----|-|----|
cunt re d eu e encunt rela	----⌫-|-⌫-||------⌫-|-|
cu ntredre itureecuntre fei	--⌫---|---⌫----||-----|--|
lessezlanus ge ter enmer	-----|-|--|--⌫--|-|--|
sipoum sempres	-|---|------|
elid ucoi queicildist	----⌫-|-|---|--|---|
pur poidire ne	--|--||--|-|
fizaput ainfetil m auueis	--||---⌫--|--|-|-⌫-----|
feltraitreneld ire	--|------|-||-⌫--|
sim amie peustlais s ie r	-||---|----|----⌫-⌫--⌫|
ie o luuseusseu endumu t che r	--⌫||--|----|-⌫---|--⌫|---⌫|
mes ent re	--|---⌫-|
ses braz lateneit	--|---|-|-----|
ecunfortoutceoq uil poeit	|---------|--|-⌫|-|----|
delmalqueeleote n mer	--|--|--|--|-|-⌫|--|
que femmeespuseotsisamis	--|----|-----|-|--|---|
liensun pais	-|-|--|---|
desur sunuisch ei paumee	----|--|--|--⌫-|-----|
tutepaledesculuree	---|---|---------|
enlapaumeisun demurra	-|-|--------|------|
que elener e uien tne sus pira	--|--|-|-⌫-⌫----⌫|-|---⌫---|
cil k iensembleod lu i lenporte	--|-⌫|-------|-|--⌫||------|
quidot p urueir keelefustmorte	-----|-⌫-|---|-|--|---|----|
grantdoelsus est leu ez	----|---|--|--|---⌫-|
uerslescipreest	---||------|--|
d el auiru n silad	-⌫||-----⌫|-||-|
ki llabati	|-⌫||----|
tu tes tend u	--⌫|--⌫----⌫|
p arlep ielen	-⌫-|-|-⌫-||-|
adietéfors	-|----|---|
lesundesenportentlecors	--|----|-|------|-|---|
lotlancié	|-|------|
alestiereuait gouerner	||------|---|-------|
tantguuernalaneife	---|------|-|---||
lehafnepris ta	-|----|----⌫||
tere ui nt	---|--⌫-|
qu antilfuren tbienari u é	--⌫--|-|-----⌫|---|---⌫-⌫-|
lepontmistiusanc r e adg et é	-|---|---|--|---⌫-⌫|-|-⌫--⌫-|
encoreiuteleen paumeisun	-----|--|--|-|--------|
ot se mblantsidemortnun	-|--⌫-----|-|-|---|--|
eliduc fe s eit	-----|--⌫-⌫--|
mut gr antdo el	--|--⌫--|--⌫-|
i loc f ust mor t odli	-⌫--|-⌫--|---⌫|-|-|
a sescumpa inuns demanda	|--|-----⌫----|------|
queilcuns eilchesun l i dura	----|----⌫--|-----|-⌫|---|
ulapuc ele portera	|-|---⌫--|------|
kar deli ne	--|-|-|-|
e nfuie e mise	-⌫----||---|
o d g ranthonurod	-⌫|-⌫---|----|-|
belse ruise	--|--⌫----|
encimi terieben eeit	-|----⌫----|---⌫---|
filleerta re i	----|--||--⌫|
si en aueit dreit	-|-|----|----|
fur en t tutesgaré	---⌫--⌫|--|------|
ne lia ueientrienl oé	-|-|-⌫-----|---|-⌫--|
elid ucpr ist	----⌫-|--⌫--|
apurp enser	|----⌫----|
quel p art il l apu rratp orter	---|-⌫--|-|-⌫|--⌫---|-⌫----|
sisrec ez fupresdelamer	--|---⌫-|-|---|-|-|--|
estr eipeustasundeign er	----⌫||----||--|-----⌫-|
u nefor es ta ueiten tur	-⌫-|---⌫--⌫|-⌫---|--⌫--|
trenteliwesot delungur	-----|----|-|-|-----|
unse inz hermitesimaneit	-|--⌫--|-------||-----|
e unechap eleiau eit	|--|----⌫--||--⌫--|
quaranteanzi aueit este ́	-------|--||----|----⌫|
meintefeiz otodlipa rlé	-----|---|-|-|-|--⌫---|
a luiceo dist	|--|--|---|
en sa cha pele lenfui ra	-|-|---⌫---||-----⌫-|
desateretanti	-|-|---|---||
uneabe ieifundera	--|---⌫-||------|
si mettra cuu entde	-|-----|---⌫--|-|
u denuneinsudechano ignes	|-|------||-|-----⌫----|
quetuziursprieruntpurli	--|--|---|-------|--|-|
kedeusliface	-|---|-|---|
se sc heualsad	--⌫|-⌫-----|-|
fa ita mener	--⌫-|-⌫----|
s is cumandetuz	-⌫||------|--|
mesla fiaunce prentdic eus	--|-|------|----||--⌫--|
quil ni ert descuuertp ur eus	-|-||-⌫--|--------|-⌫-|--|
d euantluisursunp alefrei	-⌫----|--|--|--|-⌫------|
s am i e porteens embleod sei	|--⌫-⌫|----|---⌫----|-|--|
ledr eitcheminad tanterré	-|--⌫--|-----|-|---|----|
qu ilesteien talbo is en tré	-|-|-------⌫|-|--⌫-|--⌫---|
alachapeleson tuen u	|-|------|---⌫|---⌫|
a pele ́ iu nte batu	-⌫----⌫||-⌫-||---|
trouerentk isrespundist	--------|-⌫||---------|
n eki laporte luro urist	-⌫|-|-|----|--|-⌫----|
unde s suensf ist u trepasser	-|--⌫|----|-⌫--|-⌫--|-----|
laporteourire desferm er	-|----|----||-------⌫-|
oitiursesteit d euant fi niz	--|---|-----|-⌫----|--⌫--|
li seinzhermit esl iparf iz	-|----|------⌫-|-⌫|----⌫-|
latumbe noueletr oua	-|----|-----|--⌫--|
mutf udolen zmuts	--|-⌫|-----⌫|--||
cil uolei en tlaf osse	--|-----⌫--⌫|-|-⌫---|
mesillesfistarieretraire	--|-|--|---|-----|-----|
uil de ust	|-|--⌫--|
mettre sa mie	-----||-⌫--|
il lu raddi tceoni	-|--⌫|-|--⌫|--|||
ainzenaueraimuncun seilpris	---|-|-----|--|---⌫---|---|
a la sag e gen tdel pai s	|-|---⌫|---⌫|--|---⌫|
cumpurraile	--|-----|-|
liu esh aucier	--|---⌫-----|
ude abb eie u demustier	|-|---⌫--||-|------|
deua ntlauter lacucherum	----⌫-||----|-|-------|
deu lacuman derum	--|-|-----⌫----|
iladfeta p orter ses dras	-|-|--|-⌫-⌫----|--|---|
un litlifun t	-|--|-|---⌫|
la meschinedesu scouri rent	-|-------|----⌫|-----⌫---|
morte lalai ssierent	----|-|---⌫-------|
mes qu a nt	--|--⌫-⌫-|
c eoui entaldepartir	-⌫-|--⌫--|-|-------|
dun c quid a il	---⌫|----⌫|-|
d edoelmu rir	-⌫|---|--⌫--|
le s oilzli	--⌫|---|-|
bele f et i l i a deuneplace	---|-⌫-|-⌫|-⌫|--|-|----|
q ueiamesporterpuissearmes	-⌫-|----|-----|-----|----|
nealsecle uiuren edurer	-|-|----|----|-⌫|----|
beleamiemar meueist e s	---|---|--|-|-----⌫-⌫|
ducecher e	---|----⌫|
marmesiwiste s	--|-|-------⌫|
beleiafui s siezuus reine	---|-|---⌫-⌫---|--|----|
nefustlamur lealeefine	-|---||---|----||---|
duntuusmamastes	---|--||------|
mu taipuruu smun	--⌫|-|--|--⌫|--|
quordolent	---|-----|
leiurque ieo uus enfuirai	-|--|--|--|--|-------|
ordre demoigne receuerai	----|-|-----|--------|
suru ostretumbe chescuniur	--|-⌫----|----|------|--|
ferai refeind re	----|-------⌫-|
atantsenpart de lapuce le	----||-|---|-|-|----⌫-|
siferme lu sde lachapele	-|----||-⌫|-|-|------|
as unostelad	|-⌫-|----|-|
sun messageli a dcunté	--|------|-|-⌫|-----|
asafemmequilueneit	|-|----|-|-|-----|
trauaille ́es te it	---------⌫|--⌫--⌫-|
quanteleloimut	----|--||-|--|
cuntreluis estapare illie	-----|--||--|-----⌫----|
s un seignurreceitb o nement	-⌫-|------|-----|-⌫-⌫-----|
mespoid eioiel	--|--|-⌫|---||
karu ncbel semblantnefist	--|-⌫-|--|-------|-|---|
nebonepa rolenedist	-|---|--⌫---|-|---|
osa mett r e areisun	--|----⌫-⌫||-----|
deusiursestei t	---|---|-----⌫|
en lameisun	-|-|-----|
oei tbienparma tin	---⌫|---|--|--⌫--|
puis se meteit s usalchemin	---|-|-----|-⌫-|-|-----|
a l boisalot a lachapele	-⌫|---|---||-|------|
laugiseitladameisele	-||-----|-|--------|
enlapau meisunlatrouot	-|-|---⌫-----|-|-----|
ner eueneitnesuspir ot	-|-⌫------|-|------⌫-|
de ceoli s em blot grantmeru e ille	-|--|-|-⌫--⌫---|----|----⌫-⌫---|
k il laueeit b lanche e	|-|-|----|-⌫-----||
unkesl acol urne	----|-⌫|---⌫-|-|
e le enpali	-⌫-|-----|
m utanguissusement	-⌫-|-------------|
almede liprei ot	---|-|-|----⌫-|
quanta ueit	----|-⌫---|
fete sa prier e	---|-|-----⌫|
alotarier e	---|-----⌫|
u niur al eissir delm uster	-⌫|--|||-----|--|-⌫----|
lea ueits a femme fetga iter	-|-⌫---|-⌫|----|--|--⌫---|
unsuenuadl etmu tli	-|---|----⌫-|--⌫|-|
delui nzalas te si ue i st	-|---⌫-|----⌫||-|--⌫-⌫-|
quelpart sissirest urner eit	---|---|--|----|-⌫-----⌫--|
cheualse ar mes l idurreit	------||--⌫--|-⌫|------|
c ilad suncomand ementfait	-⌫-|-|--|------⌫----|---|
alboissemetap reslui ua it	-|---|-|--|--⌫--|--|--⌫-|
s iq uilneladaparceu	-⌫--⌫|-|-||-|------|
bienade sgardéeueu	---|-|-⌫------||--|
cumentenlachap elee ntra	-----|-|-|----⌫--|-⌫---|
ledoloi q uilde mena	-|--|-|-⌫|-|--⌫---|
