S eignurs oi	-⌫------|-|
Me soreest Haderolfdure ment a lasset	--⌫|--|--|-------|----⌫---|-⌫-----|
pe otsustenir	--⌫-|-------|
sun bonesculistet	--|--|---|-----|
Em ultsuntia flaclicops	|-⌫--|---|-|---|-|---|
desun brant	-|--|----|
Nestpa s me rueill egrant karfor mentestblescet	|--|--⌫|--⌫------⌫|----|--|---⌫---|--|------|
K arenplusurslius	-⌫-|-|------|---|
ertsunh al berc for tfalset	--|--|-⌫--⌫---|---⌫|-----|
Eiladdu r em ent	|-|-|--⌫-⌫--⌫--|
d esesplaies seigne t	-⌫|--|-----|------⌫|
Sil n adp r uceinsucurs	|-||-|-⌫-⌫----|-----|
si ertdelui finet.	-|--|-|--|-----|
ERodmundestmultpruzsi ne st point	|------|--|---|---|-||-⌫-|----|
K a [r] ilse senttut fre iscu m s	-⌫-⌫--|-|-|---|--|---⌫-|--⌫||
ilnefustble s cet	-|-|---|---⌫-⌫--|
d elite ustasez suriornet.	-⌫---||--|---|---------|
Sicum prendrele uoltal naselnééle t	-|--|------|-|---|-|----|-------⌫|
Es u us poinantdan	-|-⌫-|------|--|
e sissiresHardret	|--|----|------|
Kipaen s urentmo rtesil ur fud	-|----⌫|----|--⌫-||-|-⌫-|--|
Ha derolffustorm orts il ne	--⌫-----|---|-|-⌫--||-|-|
fus t ai det.	---⌫|--⌫---|
Lorsses tHornhal tementenuersRodmund c riet	---||--⌫|---|---⌫-----|-----|------|-⌫---|
Marletuche rez mesfelc uluertreneet.[f .19d]	--|-|-----⌫--|--|--|-⌫-----|------|--⌫----|
Hornesto r descendu uersRodmundue[t]	---|--|-⌫|-------|---|------|----|
Cum homfo rmenti rée	--|--|--⌫----|-⌫--||
ensunp oinsunbrant.	-|--|-⌫--|--|-----|
Il a dparléuersluisilidi tor	-|-⌫|-----|---|--|-|-|--⌫|-|
E nuus erti auengezÁál ufleu ailla nt.	-⌫|--|--|-⌫|-----|-----⌫-|-|-⌫-----⌫--|
Or neuusaideruntMa hunneTeruagant	-|-|--|-------|--⌫--|-|--------|
muergezici cumfelun recreant.	------|--|--|----|--------|
E Ro dmundquantloitne·ldotattantnequant	|--⌫----|----||--|---|----|---|-|----|
d ist Folsfui quant uusmiselchalan t	-⌫--|---|--|----|--|--|-|------⌫|
Ke [n e]uuspendidunccume larun	-|--⌫-|--|----|---|---|----|
Ne mefussezore ceste feiz dest ruant.	-|-|-----|--|----|---|----⌫-----|
Leissez mei d e Hardr é	------|--|-⌫|-----⌫-|
kemesei[e]	-|-|-----|
P ussi faciez demeitrestutuo stretal ant	-⌫-|-|-----|-|--|------|--⌫---|---⌫--|
Karilmadtu t trahicumfelunsudduant.	--|-||-|--⌫|----|--|----|--------|
Multestfol slipae ns	---|--|---⌫|-|---⌫-|
quantiames estcreant	----|----|--|-----|
Homedeu ostre lei i a nerttan t	---|-|-⌫----|--|-⌫||--|---⌫|
pramet ant.	------⌫---|
Pur mett re me solei t et uziorz	---⌫----⌫-|-|-----⌫||-⌫-|---|
m e r t iura nt	|-⌫-⌫|----⌫-|
Ke si iauei stHorn killestreit	-|-|-|---⌫-|---||-||------|
Orm ad deltutmerc itsi	-||-|--|--|----⌫-|-|
dec euan t.	---⌫----⌫-|
Mesoruenezauant	--|-|----|----|
mespé ésui re n dant	|-----⌫-|--|--⌫-⌫---|
Esif a c ez demei trestutuostrecu mant.	|-|-⌫-⌫-⌫-|-|--|------|-----|--⌫----|
EHornsetr estuerlui–	|---|-|--⌫--|--|--||
nulmaln ert	--|--||--|
e sperant –	-⌫------||
Elifelde malarttrestutenert	|-|--|-|--|--|------|-|--|
sunescu uerssunquorertbutant	--|---|---|--|---|--|-----|
Ocirel e quidaparmisun iacera nt	----|-⌫|----|--|-|--|------⌫-|
Me slihal b erc fud bonss ifud	--⌫|-|---⌫-⌫--|--|---|-⌫|--|
forte tenant	---||-----|
uers lecopde lui li	---|-|--|-|--|-|
fudmu ltb on	--|--⌫-|-⌫-|
OrueitHorn delculuert	-|---|---|--|------|
k illeuot damager	|-|-|--|------|
Etk oscireleu o lt	-||-----|-|-⌫-⌫-|
sinenust desturber.	-||-|--|---------|
A inz enus t	-⌫--|-|--⌫|
il mer ci sil	-|---⌫-||-|
leuosi stc r ier	-|----⌫-|-⌫-⌫--|
Killeretenis tui f	|-|-|-------⌫|--⌫|
e halegre eenter	|------||----|
S iluosistDeus eruirs i·lfes is t	|-|-----|--|-⌫----|-⌫--|---⌫--⌫|
Pu rla lmeÁálufli	--⌫||-⌫--|------|-|
pard une r.	----⌫---⌫-|
Ne i a mest neneüs tdesamo rtr epruuer	-|-⌫-⌫---||-|----⌫|-|-|--⌫-|-⌫------|
P urço k ilne·locistenz len ue iaten	-⌫-|--||-|---|----|--||--⌫--⌫--|-|
mer[f.20a]	---------|
guarit lisi r es delhal[t]	-----|-|--⌫-⌫-|--|-----|
Mescestfetkil fistdunc	--|---|--||-|---|---|
delempeirer	--|-------|
Lorleuo ltcum	--|-|--⌫-|--|
felundel amorte ncumbrer	----|-|-⌫|---|-⌫-------|
Or liren drat silpeotne l ui ueolt	-|-|---⌫---||-|---|-|-⌫-|----|
pardu ner.	-----⌫---|
Surle helmel efi ertdele spee	--|-|----|-⌫|--⌫--|--|-⌫---|
Kendous meitezle	|-|---|-----|-|
fenti d uncd eskal braer.	---|-⌫-⌫--|-⌫--|-|-----|
Acel copaduencu sabatail leli	|--|--|-|----|-|------⌫-|-|
ErescustHad er r olf sun amidreiturrer.	|------|---⌫--⌫-⌫--|--|--|----------|
Se s homes	--⌫|----|
pus d euantseia mener	--|-⌫----|--|-⌫----|
E si ad fets ape s par	|-|-|--|-⌫|--⌫|--|
trestutlostcr ier.	------||--|--⌫---|
Desoruoltilauantpa rles	--|-|---|-|----|--⌫|--|
p ais aler	-⌫--|---|
T u tseiseirasunoescu m	-⌫-⌫|------||--|--|--⌫|
c ilk i u oltregner	-⌫-|-⌫|-⌫--|-----|
Sili trouetpersan a lm ican uescler	|-||-----|-----|-⌫--⌫---||-----|
Neue oltk ili	-|--⌫--||-||
seitp lustuzles enuoltieter	---|-⌫--|--|--|-|---|----|
Uparla mor tieter ulurleirenéér	|--|-|---⌫|----||--|--|-------|
Asesbo nscheualerslaterreuo l t	|--|--⌫-|--------|-|----|--⌫-⌫|
Kideloi n s unt uenuod l uipur cunq u este r.	-|-|---⌫|-⌫--|---|-|-⌫-|--|----⌫-⌫----⌫-|
di rreieor aua nt[laterre]adseisi e	--⌫----|-|---⌫-|--|-----|-|-----⌫|
l u nc edel éla ttre stute	-⌫-⌫-||-|-⌫-||-⌫|---⌫----|
Niremeintuntout	||------|-|---|
su[l]de lagentpaeni e	----|-|-|---|-----⌫|
U lesmet t uzamort	|--|--|-⌫-||---|
u l urleiunt guerpie.	|-⌫-|--|--|-------|
Entres es cheualerlapus	----|-⌫-|-------|||--|
ben departie	--|-------|
Suluncçoke i l suntke	-----|--|-|-⌫|---|-|
nu lnegruscemie	--⌫|-|-----|--|
Nentrebons n	|----|---||
e ntremalsni ad point denuie.	-⌫---|---|||-|----||-----|
AdanHa r drésurtuz endunet	|--|--⌫-⌫---|--|--|-|----|
Kibense t iustiserce sk	-|--|--⌫|-------|--⌫||
atenmeinburnie.	-|-|----------|
Ufurent lesmuster spartut les edifie	|-----|--|------⌫|--|--|--|-----|
auesquéeu	-------|||
fud labbeie	--||-----|
Partr estutlesre fetelesbensmulti plie	--|--⌫----|--|--⌫--||--|---|-----⌫---|
Partre stutestloezIesul e fiz Marie.	--|---⌫---|--|---|---|-⌫|--|-----|
E ntritan t est par tutcele nuueleoie	-⌫-------⌫|--|--|--|---|-----|--|
Hornadsi menégesteh aie	---|-|-|----|----|-⌫--|
Ecrestienté estparluipa r	|----------|--|--|--|--⌫|
tre stu trec ouri e	---⌫---⌫|---⌫----⌫|
Kipar pouren	-|--|---|-|
erteinztute relinqu ie.	--|---|---|-------⌫--|
Or auintunere nk estdreit	-|----|--|--⌫||--|----|
k e uus die [f.20b]	-⌫|--|---⌫------|
Kereine SamburcmereH o rn lescheuie	-|----|------|---|-⌫-⌫-||-------|
O itdelui parler	-⌫-|-|--|-----|
– kelefudesioie –	||--|--|-----||
Quant sisires fudmo rt e	----|-|----|--|--⌫-||
ele espourie	--|-------|
lagrantuer s lamerest fuie	-|----|---⌫|-|--|--|---|
me nat un esu enu r rie	--⌫--|--⌫|--⌫|--⌫-⌫--|
crossu rlamer	---|--⌫|-|--|
sestpu s acutie.	|--|--⌫|------|
Qu ant la reineoitlamort desu n	--⌫--|-|----|--|-|---|-|--⌫|
En un crossurlamer semu sçat	-|-|---|--|-|--|-|--⌫----|
pur poü r	--|----⌫|
Unct roué énefud parla gentpae nur	--|-⌫-----⌫-|-|--|--|-|---|---⌫--|
I asil adpussaluéé mult benl i cr eatur	-⌫|-||-|--|-------|---|--|-⌫|--⌫----|
D eherbes uesqui	-⌫|-----|-----|
aqu e[l]que dolur.	|--⌫------|-----|
Unegarceotodsei nurr ie [par ]	--|----|-|-|--|----⌫-|----⌫|
Cele uncn elifallipur	---|--|-⌫|-|----|--|
mal ne pur langur.	--|-|--|------|
Asui l esenalot	-|--⌫-⌫-|-|---|
e la fes eitmeint	|-|---⌫--|----|
Sidemand ot del pai npur	-|------⌫-|--|---⌫|--|
Deu le sal ueur	--|-|---⌫---|
E sa da me	|-|--⌫-|
enpeisei tçoesteitsun lab u r.	-|------⌫|--|-----|--|---⌫-⌫-|
Issifere sole itdeskeuint auniur	---|---|----⌫-|----|---||-|--|
Keleuin tenun p ré uiu[t]cent	|--|---⌫|-|-|-⌫--|||---|---|
Unepeloteurent	--|-----|----|
si·nfurentzoleu r .	---|-----|-----⌫-⌫|
LiundistasunperFier am i	-|-|---||--|--|---|--⌫|
par uigur.	--|-----|
Dé oreauumnusmul tbon meinteneu r	--|--|---|--|---⌫|--|---------⌫|
Ho rnlipruz estu enu	--⌫-|-|---|--|-⌫--|
parkiauru m h on or–	--|-|----⌫|-⌫--⌫-||
F izle reiÁá luf	-⌫-|-|--|----⌫--|
leboncun quereur –	-|--|---⌫------||
Kituzadmis	-|--|-|--|
amo rtcelegentpaenur	|--⌫-|---|---|-----|
Iam es nereuen druntli fel un	---⌫-|-|-----⌫----|-|---⌫-|
Misper es lec untater seir par	--|---⌫-|-|-⌫----|-|---|--|
gra nt dulç ur	---⌫-|-----⌫-|
Am amerea meisunio·nf u i esculteor.	|-⌫|---||-----|---|-⌫-⌫|---------|
La mesch inel oit	-|-----⌫--||--|
enuerselsaprim at	-----|--|-----⌫-|
Purnou elesoir duntele	--|---⌫---|--|---|--|
Qu ant elece r teenfud asa	--⌫--|--|--⌫-⌫-|-|--||-|
Qua ntsadamela u itmulttostla	---⌫-|-|---|-|-⌫-|---|---|-|
Queldeitkeuientsitos teke	---|---|-|----|-|---⌫||-|
rennapo rt at .	--||---⌫--⌫--⌫|
fizes tuenuz ki de s	--|--⌫|----|-|--⌫|
o rla pestrat.	-⌫|-|-------|
Quantl a dameloit tut	----|-⌫|---||--|--|
Kicentlanguesaureit–keiamesn	-|---|------|-----||-|-|--||
auendrat–[f .20c]	-------|---⌫----|
Nepu rre itacunte rcum	-|--⌫---⌫-|------⌫|--|
gra nt io ie el	---⌫-|--⌫-|-|
Elel iadditsuuentB ele	--|-⌫|-|--|-----|-⌫--|
fill ecumentuat	----⌫|-----|--|
uif H orn munfizBeleki·luuscuntat	--|-⌫--|--|--|---|---|--|-----|
Edeuspeotcestr eue rskeiamess	|---|---||----⌫|--⌫-|-|----||
Dela ioiek	-|-|---||
elad quatre feiz	-|-|-----|---|
Equant elereuintdunches recumen çat	|----|--|-----|------|-------⌫---|
Mor z e st[ pur ]ueirs misfizi a	---⌫|-⌫-|-⌫---⌫|----|--|--|-⌫|
Fol e si m	---⌫|-||
asm ent i mult gra ntmalten	-|-⌫---⌫|---|---⌫-|--||-|
Equantele loit sil enre cunfortat	|----|--||--|-||-|--⌫--------|
Oreuenuzes t	--|----|--⌫|
Horn.Parfeili	----|--|--|-|
Dunclireuie nt su n quors iditk	---|-|-----⌫-|--⌫|---|-⌫|--||
elei i rrat	--||-⌫---|
Siuerratsi	-|-----|-|
uersestço keleafirmat.	---|--|--||--|-------|
Odcels drascumeeleotfeblement	-|---|---|---|--|-|--------|
AdreneS uanbur c	-|---|-⌫------⌫|
saueie cumen cee	-|---|-----⌫--|
m es chineodlik itutdreit l	-⌫--⌫----|-|-|-⌫|--|----||
erta sembl ee.	--|-⌫-----⌫--|
A laporte tut dreit sest	|-|----|--|----||--|
lad ameareste e.	-|-⌫--|------⌫-|
r eis u intdebo ischeua lchant	-⌫--|-⌫--|-|--⌫-|-----⌫-----|
parlest[r ]ee	--||-----⌫--|
Prisou tu eneisunsi·n fet homemen ee	---|--⌫|-⌫------|---|--|---|---⌫-|
EquantSamb urcleuit	|----|----⌫--|-|--|
s e st alrepresentee.	|-⌫-|-|-|---------|
Pu s liadditen h alt	--⌫|-|-|--|-|-⌫--|
telp ar rolemembree	--|-⌫--⌫---|------|
Reisbuerfustesu usneze	---|---|-----|-⌫-|--||
Kesainsestese s alf ekauez	-|----|----||-⌫--|||---|
la cuntree	-|------|
Siuesqu istuostre mere	-|-----⌫--|-----|---|
orfustmul t halegree.	-|---|---⌫|--------|
Reisp u rlalmeA ́álufk eleseitmiel z	---|-⌫-⌫||---|-⌫-----||--|---|----⌫|
Epurl alm eSa mburqu e	|--||---⌫|--⌫---|--⌫|
iaici remembr ee	|-|-|-------⌫-|
Peis sez mei an auanttantcumert	----⌫--|--|-|----|---|--|--|
li respont	-|------|
Tropestfel keço uusuee	---|--|--|-|--|--|--|
Atantladfetmener en	|---||-|--|----|-|
lasalepa uee	-|---|--⌫--|
Si la fist benseruiri usteunechemine e.	-|-|---|--|-----|-⌫---|--|-------⌫-|
Mu lt comandat kefustseru[i]ee ga r dee	--⌫-|-------|-|---|-------||--⌫-⌫--|
Karelesemblott resbien	--|--|------|-⌫--|---|
Parm itu t çokel ertpou rementconree.	----⌫|--⌫|--||-|--|---⌫-----|------|
D anHardré lauit	-⌫-|------|-|--|
admult auisee	-|---|-----|
Sesc lerso ilzesunuis	--|-⌫---|-⌫--||--|--|
esabuc he ad no tee[f.20d]	|-|---⌫-|-|--⌫---------|
Bie ncunutque c ̧or er tsadam elaloee.	---⌫|----|--|-⌫-|-⌫--⌫|-|---⌫|-|----|
Puis[est]uenuzaHorndi t	---|----|----||---|--⌫|
liadence ll ee	-|-|-|--⌫--⌫-|
u ostremereue i la k	-⌫----|---|--⌫|-||
aue zci a menee	---⌫|-|-⌫----|
Samburclagentilmadamelanuree.	------|-|-----|-|---||------|
Ne saiu Damned eu la nusad	-|--||------⌫-|-|--|-|
Mesore npensezber k ebi enseitc unseillee	--|-|-⌫|-----|--|-⌫|--⌫-|---|-⌫--------|
Horn sa illitduncen pi ez	---|--⌫----|---|-|--⌫-|
ue rs li curtrandunee	--⌫-|-|---|-------|
ambraçatue r sseie.c.fiezl adbaissee	--------|--⌫-⌫|--||--|---||-|------|
Si·ladtanttost	---|-|---|---|
cumpuete n lach ambre guiee	--|---|-⌫|-|--⌫----|----|
fudn ob lementcusteiee baignee	--|-⌫--⌫-----|------||------|
En a pre sfuddedrasnoblementascemee	-|-⌫---⌫|--|-|---|--------|------|
E la fes tef udp ui s ha lt ement cel ebre e	|-|---⌫-|-⌫-|-⌫--⌫|--⌫--⌫----|---⌫----⌫|
Tut pu rlamurdeli	--|--⌫||---|-|-|
kil ur ent sitrouee.	|-|--⌫--|-|------|
Al a curtfudAnswit pargrant ioie	|-⌫|---|--|-----|--|----|---|
multpur lilabal d ureffor cee	---|--|-|-|---⌫-⌫-|-----⌫--|
Quantfu dod sa dameenlachambrease mblee.	----|--⌫|-|-|---|-|-|------|---⌫-----|
L afest eadestégr ant t u te iorai urnee	-⌫|----⌫|-|----|--⌫--|-⌫-⌫-|--|--⌫----|
Deskefaill i	----|-----⌫|
le ior sestla	-|--||--|-|
nuit anuit e e.	---|-----⌫-⌫-|
Lors s en u unttu tch[u]lcherpur	---||-|-⌫--|--⌫|---------|--|
ferereposee.	---|-------|
La reinesen uetensachambre	-|----||-|--|-|-|------|
estcu lc he e	--|--⌫--⌫--⌫|
Elireisensement od	|-|---|-------|-|
lanoble mesnee.	-|----|------|
Quantuint lami e nuit k elireis	----|---|-|--⌫|---|-⌫|-|---|
sedor me it	-|---⌫--⌫-|
Siuitunau isi umd untformentse cremeit	-|--|-|--⌫---⌫-|-⌫--|------|-|------|
umflum–m e snesoutuesteit	-|---||-⌫-⌫|-|---||-----|
Een miliu delflumbel e	|-|----|--|---|---⌫|
Ri mign ilueeit	--⌫----⌫-|----|
Es granzund esbroiant deskalmen tuntut	-|----|---⌫-|------|---|-|---⌫--|--|
Wikleertdelaltre part	----|--|--|----|---|
q ueneer lauoleit	-⌫-|---|-|-----|
Une furchedefer	--|-----|-|--|
en sameinsiteneit	-|-|---|-|-----|
Duntlarebuteten [z]si	---|-|------|--⌫--|-|
E[n] grantangui ss e	---|----|-----⌫--⌫|
ertmesquantil sape rceit	--|--|----|-||---⌫----|
Sili criot en halteamultgr ant	-|-|----|-|---|||---|--⌫--|
Sitostne lalaissast	-|---|-|-|-------|
kil lecump ar[r]eit.	|-|-|----⌫--------|
Cilnele issoutpurç omes	--|-|--⌫-----|--|--⌫|--|
miazlifer[ei ]t.	---|-|------⌫--|
Multiertfo rmentdo lent	---|---|--⌫----|--⌫---|
k i eiderneli poi [ei]t	-⌫|----|-|||---⌫----|
Lor strouatun	---⌫|-----|-|
bat eluenzi l semeteit[f.21a]	---⌫-||--|-⌫|-|------------|
Equantultreestuenuzeicils	|----|----|--|----||---||
en fuieit.	-|------|
Purl e dolki lauei tgrant	--|-⌫|--||-⌫|----⌫|----|
apresfort lesiweit	----|---|-|-----|
Equantil [l]ou tateint la tes te	|----|-|-|---⌫|-----|-|---⌫-|
e nperneit	-⌫|------|
furchesleuer al	------|----|-|
dereinsi·lpende i t	-----|---|-----⌫-⌫|
Issibe leRimignil deperilguarisseit	---|--⌫-|-------|-|----|---------|
celfe tgrantmerc iz enrend eit.	--|--⌫|----|----⌫-|-|----⌫---|
Pu rlesuingequeertgref	--⌫|-|-----|--|--|---|
li reis senesueillat	-|---||-|--------|
Ta nten fudesfreezkepur	--⌫-|-|--|------|-|--|
Ilsasetsurs un liten turluisesgardat	-||---|--|-⌫-|--|--⌫--|--||-------|
MesilbeleRim ignil	--|-|---|---⌫----|
Dunts outker tuisiunquen dormantueu	---|-⌫--||--⌫|-----|-|-|------|--|
K igi seit deu antlui Haderofapelat	-⌫|--⌫---|---⌫--|--|------|-----|
Lesunge cume fudidun csili	-|----|---|--|----⌫|-|-|
Equantilout oimultsen esmerueil lat	|----|-|--|-|---||-|---------⌫--|
E pusrespon dissi	|--|------⌫|---|
SiDeuplest bi enirrat.	-|--|----|--⌫-|-----|
M édeWik lesuscreimk	-⌫-|-|---⌫-|-------||
alcun eren fra t	-----⌫|--|---⌫|
uersmadameRimig nilduntele se	---|-|---|-----⌫--|---|--|-|
Pa r mafeidist	--⌫|-|--|---|
l i reiben	-⌫|--|--|
lecreikeisi	-|---|-|--|
Apres ditdeskeerior	----|--|----|-|--|
kil s apresterat	|-||---------|
Easnefstre stutdreitod sa	|-|---|---⌫---|----|-|-|
gentsenirrat	---||-|----|
K arRigme luoltueeriani	-⌫-|-----⌫|---|---|-|||
atar gerat.	----⌫-----|
Enl aguarde Ha[r]dré	-|-⌫|-----|--------|
sunregnesilerrat	--|----|-|-----|
Entrit a nt qu euendrats amere enseruirat	------⌫-⌫-|--⌫|------|-⌫|---|-|-------|
Carasunrep airrerRimel od	--||--|---⌫-----|----|-|
seimenrat.	--|------|
Haderof quantil	------|----|-|
oit tutsesdizben loat	--|--|--|--|--|---|
Hunc puis nepotd ormi r d ici ki l	---|---|-|--|-⌫----⌫||--||-⌫|
ai ornat .	--⌫-----⌫|
D eski luirent	-⌫-||-⌫|-----|
leior ler e isHornsileuat	-|--|-|-⌫-⌫-|---|-|----|
Ealpalaishalçu rles barons	|-|-----|------⌫|--|-----|
Des ke pa rutle io re	--|-|--⌫--|-|--⌫||
li re isseest	-|--⌫-|-|--|
D uncsunttutlibaronal	-⌫--|---|--|-|----|-|
palei sasemblez	-----⌫|-------|
Elirei sluradd u ncdescuuert sun	|-|---⌫|--|-|-⌫-⌫-|--------|--|
Trestutente l semblantcumuu sertia	------|-|--⌫|-------|--|--⌫|--|-|
Seignursc ̧ o d ist	-------|-⌫-⌫|-⌫--|
lire isDeuen sei t	-|--⌫-|--|-|---⌫|
Par l aiedeuus ai	--||--|-|--|-|
cunquis munregnez.	------|--|------|
untseru it aime s terres	--|----⌫-|-|--⌫|-----|
donez[f.21b]	-----------|
Sulunc c ̧oke	-----|-⌫-|-|
untseruit l a i	--|-----||-⌫|
Parle me nescient nedeiestreblasmez.	--|-|--⌫|------|-|--|----|-------|
Desor meiestauis	--|-|--|--||--|
queioai bien	--|-|-|---|
S i reuoil er re r – çoestm a	-⌫|-----|--⌫--⌫||--|--|-⌫|
uol e n tez–	---⌫-⌫-⌫--||
P urRigmel amenerianert plu satar gez .	-⌫-|-----|-----|-||--|---⌫|----⌫---⌫|
Mun regnegarderaten	--|----|-------|-|
bonsHa[r] derez	---|-----⌫----|
EmamereSam burc seruiratasun grez.	|-|---|---⌫---|-------||--|----|
Segnursuenetodmeipurla	------|----|-|--|--|-|
meieamiste z	---|------⌫|
Ne sa[i ] quenc u nteraiuers plus or ssui	-|----⌫|-|-|-⌫-⌫-----|---|----⌫--⌫|--|
Ne ne sai bende ficum Hunlaf	-|-|--|--|-|-|--|-----|
Carq uor s ch angentsuuentquant gen t sun teslu ingez	--|-⌫---⌫|--⌫-----|-----|----|---⌫|---⌫|----⌫----|
Purçoestbon	--|--|--|--|
damen erodsei	|----⌫-|-|--|
su nbon barn ez	--⌫|--|----⌫-|
Kiladtelcum	|-|-|--|--|
iola[i]eissial os ez.	-||---||---|--⌫--⌫--|
S itrouums el païs par	-⌫|------|-|----|--|
tres tu t surtez	----⌫--⌫|-----|
Enus trou um lapr endrumbensienertDeu	|--|----⌫-|-|--⌫-----|--|-|-|--|--|
E s[i ]nus trouumel	|---⌫|--|-----|-|
si sei tlores uengez.	-|---⌫|----|------|
Ore enalum as	--|-|---|-|
nefsIanenertt resturne z.	---|-||-|--|-⌫--------⌫-|
Oreiparratseignur scumuus	--||-----|-------⌫|--|--|
mauez amez	|---|---|
S i re ço dient	-⌫-⌫-|--|----|
tuitianert	---|-||--|
c unt rep a r l ez.	-⌫---⌫---⌫-⌫-⌫-⌫--|
Si[seit]cumuusuolez encu m	-|-----|--|--|----|-|--⌫|
ertcumandez.	--|--------|
lireis Hornfetsunaprestem e nt.	-|---|---|--|--|--------⌫-⌫--|
Ensesnefs estentrezoretad ebon	-|--|---|--|-----|---|-||--|
O r elecun duieDeusli	-⌫-⌫|-|---⌫---|---|-|
reisomnipot ent	---|-------⌫--|
DeWike[le]kiladfe tredirrum enpr es ent	-|-------||-|-|--⌫|-------|-|--⌫--⌫--|
fe taceler le sun	--⌫||----|-|--|
cun tenement	---⌫-------|
Cumil u erssunseignuraderré folement	--|-|-⌫--|--|------|-|----|-------|
Cumedespent sun	---|------|--|
tresor ambure	-----|-----|
or e arge nt	-||----⌫-|
Keri en ne licuss tatsi·l despent	-|--⌫-|-|-|----⌫--|---|------|
largement.	---------|
Unc asteladiafet[ bel efor t	-|-⌫----|-|-|--|-⌫--||---⌫|
du rement]	--⌫------|
[En u nfortliuladfet] de	--|-⌫|---|--||-|---|-|
pereed e cem ent	---||-⌫|---⌫--|
Departutiadmis multgrantguarn issement	-|--|--||-|--|---|----|-----⌫-------|
Cumdeuinede char de fuerre e	--|-|--||-|---|-|-----||
defurmen t.	-|------⌫-|
Cheua lersretintmul t	-----⌫---|-----|---⌫|
es erianz ensement	|-⌫-----|-------|
Karilu olta	--|-|-⌫--||
Hunlafsenzsonotr eemen t	-----|---|--|---⌫-----⌫|
TutparforcetolirR ig mel od	--|--|----|----|-⌫--⌫--|-|
lecorsge n t	-|---|--⌫-⌫|
S ilapre ndrat ape r –	-⌫|-|---⌫----||--⌫||
purpenseme nt.[f.21 c]	----------⌫--------⌫-|
M e sunfrere kil out	-⌫-⌫|-|----||-|--|
kierro tlealment–	-|----⌫|-------||
Wothere out	------|--|
anun – pa raperceiuem ent	|--||--⌫|----------⌫--|
Saparçutkiluoleiterrertricher usement.	|-------||-|-----|----|-------⌫-------|
uintsilid isti ssichastiemen t	---|-|-|-⌫--|-⌫--|----------⌫|
tumis ore en obliement	-|--|--|-|--------|
Hun laflegrante ncus ement	---⌫--|-|----|-⌫----⌫----|
DuntHornp ar sabunté uus fistpardunement	---|---|-⌫-|-|-----|--|---|----------|
S imesforfeisuerslui–	-⌫|--|------|---|--||
benensaezli couent –	--|-|---|-|-----||
Netepardurrat	-|-|--------|
mes edi tlad lealmen t.	--||--⌫||-|-------⌫-|
M allideit a uenirque	-⌫-|-|---|-⌫----|--|
uersson seignurmespr ent.	---|--|------|-----⌫---|
Sifaisk asen pensétumur rasuer aiem ent.	-|---||-|-|-----|-|---⌫--|---⌫----⌫---|
Traitreefelun	------||----|
iocest uuscuns ent.	-|---|--|----⌫---|
QuantWik le	----|---⌫-|
pur poide dolnefent	--|--|-|--|-|---|
Iamesli[é]	----|-----|
siln en ai[t]uengement.	|-||-|----|---------|
Lanuitlirratm urdrir– ç oadenpensement	-|---||----|-⌫-----||--⌫|-|-|--------|
Ke homne·l sacet	-|--|---|----|
mort si ·l frat priuéément.	---|--⌫-|---|------------|
Mesc il par s u n	--|-⌫-|--|-⌫-⌫|
sembl antse n aperçutase z.	-----⌫--||-⌫|-------|---⌫-|
Asun ostelal addeski lf u dauespre z	|--|----|--⌫-|---|-⌫|-⌫-⌫|-------⌫|
Coieitementsestmult bi ende ses	----------||--|---|--⌫-|-|--|
armesarmez	----|----|
Surl emeillur des trier	--|-⌫|------|---⌫----|
k ilaueits es tmuntez	|-|----||--⌫|-----|
Parlapos te rne	--|-|---⌫--⌫--|
Unc homne·l aperçutque de	--|--|---|-------|--|-|
[mere]fust nez	-----|---|--|
Issiest de[ l]	---|--|---⌫-|
feluncumDeusuo leschapez.	----|--|---|--⌫|--------|
Tutenuit ad erréu nc	---|---|-|----|-⌫-|
si cor snat finez	-|---⌫||-|----|
Deske uin tlau	----|---⌫|-||
mistre is H unl af li senez	---|--⌫-|-⌫---⌫-|-|----|
Ne finatdesquil	-|----|--|-|-|
fudla tutdreit	--|-|--|----|
U este it l ireisdunc	|----⌫-|-⌫|---|---|
asesc unseill izpriu ez.	|--|-⌫-------⌫-|----⌫--|
Illad t retune par td es	-||-|-⌫--|--|---⌫|-⌫-|
altreis e sloig nez	------|-⌫-----⌫--|
Man dé éi	---⌫---⌫-||
fudR im elodlestr es grantb eltez.	--|-⌫--⌫-|-|--|--⌫-|----|-⌫-----|
Quanteleuintidunc ditlur	----|--|---|----|--|--|
fude mus trez	--||---⌫---|
Liasch eisun spurquei ils	-|----⌫-----⌫|--|---|-||
estuerselshastez.	--|---|--|------|
iouus die si uusme	-|--|-||-|--|-|
uuscoueint ke multtos tla	--|------|-|---|---⌫|-|
citéguarnissez	----|---------|
Misfreresuient su r	--|-----|----|--⌫|
uussiserezas egez[f. 21d]	--|-|----|--⌫-------⌫---|
dameRigmelamuillierlid urrez.	---|-----||-------|-|-⌫-----|
Sil pr endreuus pout eferene·l uolez	|-|--⌫----|--|---||---|---|----|
Dunc a d ilbieniurezqueserrezafolez.	---|-⌫|-|---|----|--|-----|------|
Li nenchaltque il	-||-|----|--|-|
