#MET A#Tex tU RIOmbreB2	----⌫-|---⌫--⌫-|------|
#ME TA #DEAF http//www.deaf- page.de/fr/bibl/ bib99o.php#OmbreB2	---⌫--⌫|---|---------------⌫----------------⌫-----------------|
#META#TLOmb re2	-----|-|---⌫--|
#META# FEW	-----|--|
#ME T A#ARLIMA ht tps//www.arlima.net/no/234	---⌫-⌫-|-----|--⌫-------------------------|
#META#Aut horIeanRenart	-----|---⌫--|---|-----|
#META#AuthorBorn	-----|---------|
#META#AuthorBor nAmb	-----|---------⌫---|
#META#AuthorD ied	-----|-------⌫--|
#META#Autho rDiedAmb	-----|-----⌫-------|
#META#AuthorFl1	-----|--------|
#M ET A#AuthorF l2	--⌫--⌫-|-------⌫-|
#M E TA# TextTitleL elaide	--⌫-⌫--|--------|-⌫|--|-|
#META#TextSubtitle	-----|-----------|
#MET A# Textuo ls1	----⌫-|------⌫-||
#META#TextS ubisho rt	-----|-----⌫--|---⌫-|
#MET A#Tex tDomli t	----⌫-|---⌫---|--⌫|
#META# Translationfalse	-----|----------|----|
#MET A#Colle cti on	----⌫-|-----⌫---⌫-|
#M ETA# Co llec tionNo	--⌫---|--⌫----⌫-----|
#M ETA#TextD escARL	--⌫---|-----⌫-----|
#M ETA#TextDescuers 8	--⌫---|-----------||
#META#TextDateAR L débutduXIIIes iècle	-----|----------⌫|-----|-|----|-⌫-----|
#META #Tex tDateA did13	-----⌫|---⌫------⌫-|--|
#META#Tex tDateMin	-----|---⌫-------|
#META#TextDat eMax	-----|-------⌫---|
#META # E dEditorBédier	-----⌫|-⌫------|------|
# META#EdPlaceP aris	-⌫----|------|-⌫---|
#MET A#EdPublis herF irmi n-Didot	----⌫-|--------⌫--|-⌫----⌫------|
#META#Eduol	-----|----|
#META#EdYear1913	-----|-----|---|
#META#EdPages1 -50	-----|------|-⌫--|
#META# MsBas e BN fr.837	-----|-----⌫|-|--|--|
#META #MsO th erBC D	-----⌫|---⌫--⌫-||||
#META#MsN um 7	-----|---⌫-||
#META#MsDateARL	-----|--------|
#META#MsDateAdi	-----|--------|
#META#Form	-----|---|
#META# Complet e true	-----|-------⌫|---|
# META#NoWo rds	-⌫----|----⌫--|
# META#NoLines	-⌫----|------|
# META#Dial Auth	-⌫----|----⌫---|
# M ETA#DialScribe	-⌫-⌫---|---------|
#META#ScanURL https/ /arc hiue.org/de tails/ lelaidelomb re00ie an uoft	-----|------|------⌫----⌫-----------⌫------⌫-----------⌫------⌫--⌫---|
#META#Sc anURIOther	-----|--⌫---------|
#ME TA#ArkIDark/1 3960/t 0 4x5hu90	---⌫--|----|-----⌫------⌫-⌫------|
#META# LccnID	-----|-----|
#META#OclcID	-----|-----|
#META#WebAu thorYero N ia mad i o	-----|-----⌫---|---|-⌫--⌫---⌫-⌫|
#META# ORCID WebAut hor	-----|-----⌫------⌫--|
#META#WebReuie wer Daui dI ose ph Wrisley	-----|--------⌫--|----⌫|-⌫---⌫-|------|
#META#ORCIDReuiewerorcid . org /00 0 0-0002-0355-1487	-----|------------|-----⌫-⌫---⌫---⌫-⌫---------------|
#ME TA#MiscInfo	---⌫--|-------|
# META# CC License	-⌫----|--⌫------|
CCBY-NC-SA4.0International	-|-------|--|------------|
ert pa sdameatres pas ser.	--|--⌫|---||----⌫---⌫---|
Sabiau t ezle sfe ttre spensser	-|----⌫-⌫-|--⌫|--⌫|---⌫-------|
Toz. III.enlorsalure nd ant.	--|-⌫---|-|--|---|--⌫--⌫---|
Eleprentparlamain	--|----|--|-|---|
Leseigno rsel mai ne seoir	-|------⌫|--|---⌫-|----|
Or otauqu esdesonuo l oi r	-|-|----⌫-|-|--|--⌫-⌫--⌫|
Qua ntde lez lisefuas sis.	---⌫-|--⌫--|-|-|-|--⌫---|
Sic o mpaignonsont bienapris	-|-⌫-⌫-------|---|---|----|
Ass issontnelor	---⌫-|---|-|--|
fire ntcuiu re	----⌫-|----⌫-|
Su sunc offreferré decuiur e	--⌫|-|-⌫----|-----|-|-----⌫|
A uoe c.II.seues	-⌫---⌫|---|----|
damoiseles.	----------|
Que qullsedelitenta	--|-|-|-|-------||
E nd eman dantpl usors	-⌫|-⌫----⌫---|--⌫----|
Licheualiersnip enssoitgueres	-|---------|||-⌫------|-----|
Pa geu01P 018	--⌫------⌫--|
Aeusainzpe nss e a son	|--|---|--⌫---⌫||--|
gentiexladebonere	------|-|-------|
Li setbi enrendr epare s col e	-|--|--⌫-|-----⌫|--|-⌫-⌫---⌫|
R es on de quanqu illa p arole	-⌫--⌫-|-|-----|-||-⌫-⌫----|
Queleertmoutco rtois e	-|--|--|---|--⌫-----⌫|
etmoutsage.	-|---|----|
Cillimetadè seluisage	--|-|--|----⌫|-|-----|
Ses i expormirer sabiauté	--|-⌫-|--|----|-|------|
Moutles abienpr is a uert é	---|--||---|--⌫-||----⌫-|
S esc uersquitoze sten	-⌫-|-⌫---|--|--|-⌫-|-|
Qued equ a nquil liont pro mis	--|-⌫|--⌫-⌫--|-|-|--|---⌫--|
Li tesmoingne nt iloreb ien	-|----------⌫-|-|--|-⌫--|
Qu ilneli ontm entiderien	-|-|-|-|--|-⌫---|-|---|
Mou tlipl est se suis etsa	---⌫|-|--⌫--|--⌫|--|-|-|
Be letrèsd ou ce damechiere	--⌫-|----|-⌫--⌫-|---|-----|
porqui forcedecuer	--|--|----|-|---|
Mef etguerpi re tgeterpuer	-|-⌫-|------⌫|-⌫|----|---|
Detoutes autr e s monpensser	-|-----|----⌫-⌫|--|------|
Ieuoussuiuenuz p rese nter	-|---|--|----|-⌫----⌫---|
Quanquesie	-------|-|
ai forceet pooir	-|----|-|----|
Si e n puis seie ioie auoi r	-|-⌫|----⌫-|-|---|----⌫|
Qui lnest riensnule	-|-⌫||--|----|---|
queiaim t a nt	--||--|-⌫-⌫-|
Comm euousseDiex	----⌫|---|-|---|
Melest uenira sa	-|---|----||-|
Pageu01P019	----------|
Etpo rce suii euenuzci	-|--⌫|-|--|-⌫|----|-|
Et que genteliseet	-|--|--------|-|
u ou senpr aingne	-⌫--⌫|-|--⌫-----|
qu il estmesti ers	-|-|--|-----⌫--|
Quar quienferoitaus	---|--|-|-----|--|
Orois ons i	-----⌫-|-⌫|
fero itilbie n	----⌫-|-|---⌫|
Porceusquinentendent arien	--|---|--||--------||---|
Sae strenon lealami.	||-⌫---|--|---|---|
—Hasireporla medemi	|-|---|--||-⌫-|-|-|
Fet elequauezuousor dit	--|--|-|---|---|-|--|
u eoirlundi t	-⌫---|-----⌫|
Damefet ilieuous di	---|--|-|-|---|-|
uous toutese uleau ez	---|----|--⌫--|--⌫-|
famequiuiue.	---|--|----|
Lacolo rsle ncroistetauiu e	-|----⌫-||-⌫|-----|-|----⌫|
qu ildistq u ll	-|-|---|-⌫|-|
est tozs ue ns.	--|--|-⌫--⌫--|
ditparmo utgrant sens	--|--|--⌫-|----|---|
C ertes s ireienecroimie	-⌫----|-⌫--|-|-|---|--|
Qu e si preudom	--⌫|-|------|
Comuousestes.Nusn el croiroit	--|---|-----|--|-⌫-|-------|
uostreprisenabesse ro it	-----|---|-|------⌫--⌫-|
Etsi enuaudriiezmout	-|-|-|--------|---|
Sibiaushomdebra z	-|----|--|-|---⌫|
etdem ains	-|-|-⌫---|
P a geu 01P0 20	-⌫-⌫---⌫----⌫-|
Decorsetd etoute autre	-|---|-|-⌫|----|----|
uousmesauri i ez iam outb ien	---|-|-----⌫-⌫-|-|-⌫--|-⌫--|
Parparoleetparluei l atrere	--|-----|-|--||---⌫||----|
Lapeneetcequ e ne	-|---|-|-|--⌫|-|
uue ilfere	---⌫-|---|
Aentendrepa rueri té.	|-------|--⌫|----⌫---|
ensonuenir hu rté	-|--|----|--⌫---|
Parpa roleetdesfetsonconte	--|--⌫---|-|-----|--|----|
Sicomcilqu imaprist leconte	-|--|--|--⌫||-----|-|----|
afet por uoirentendant.	|--|--|---|---------|
I lse sueffr eamener te ndan t	-⌫|-|------⌫||----|--⌫----⌫|
Quil nestoi t rien que tantamast.	-|-||-----⌫|---|--|---|-----|
S une autrel imesaesmast	|--|----|-⌫|---------|
Ilsen seu ̈ st bi en reuengier	-||-|---⌫-⌫-|--⌫-|--------|
Mèsil est siensondangier	---|-|--|-|-|--|------|
Qu i lnelose	-|-⌫|-||--|
deri endesdi re .	-|--⌫-|-----⌫--⌫|
Puis ilrecommenç aa dire	---|-|----------⌫||---|
Hadame m ercipor p itié	-|---|-⌫---|--|-⌫----|
uostream ors m a fetsan zfaintié	-----|--⌫--|||--|---⌫|-------|
Descouurirles	---------|--|
Moutmals i acordeetasent	---|--|||-----|-|----|
Pageu01P0 2 1	---------⌫-⌫|
uos trep a roleet uosbiausiex	---⌫--|-⌫-⌫---|-|--|----|--|
Quimacueil li rent iehuimiex	--||------⌫--⌫---|----|---|
Auueniretpluspl es aument	-|----|-|---|--⌫--⌫-----|
Et sachiezbien certainement	-|------|---|-----------|
Quecortoisiefu	--|--------|-|
quilfirent	-|-|-----|
Q uardèslorsqueilpr imesu irent	-⌫--|---|---|--|-|--⌫---|-⌫----|
Nenuir entnul ce	|-|---⌫--|--|-|
estla somme	--|-|----|
Qui s i se uousist a	--|-⌫|-|------||
uostrehomme	-----|----|
T eni rcomieuueil	-⌫---⌫|--|-|----|
s an zfaintise	-⌫--⌫|-------|
Doucedameuo gen telise	----|---|-|---⌫-----|
Quarleuous	---|-|---|
p l esea o troier	-⌫-⌫--||-⌫-----|
Retenez moi a	------|--||
Et qua ntuo uspleraa	-|---⌫-|--⌫-|----||
Ain zque past	---⌫|--|---|
.I.a netdemi	--|-⌫|-|---|
Maurezuo usfetsi	|----|--⌫-|--|-|
preuet tel	---|-|--|
Etaus armeset a	-|--|----|-||
Ettant aure z bien en moi mi s	-|---|----⌫|---|-|--|--⌫|
Quelinoms co napeleamis	--|-|---||-⌫|----|---|
Se Dieu plest n e mertiaueez.	-|---|----|-⌫||--|-|----|
—Licuid iersqueuousenauez	|-|----⌫---|--|---|-|---|
P ageu0 1P022	-⌫-----⌫----|
aprè suousfe tg ran tbi en.	-----⌫|---|--⌫|-⌫---⌫|--⌫--|
Ien e n tendoiea u	-||-⌫-⌫------|-⌫|
regart rien	-----|---|
Se cortoisienonetsens	-|--------|--|-|---|
Mè suouslauezen	---⌫|---||---|-|
autreassens	----|-----|
Noté commefolss i m e npoise.	----|----|---|-⌫||-⌫|-----|
Seienefussesicorto ise	-|-|-|----|-|-----⌫--|
ia moutu ersuous.	-|---|-⌫--|----|
Porcestfol echo se de nous	--||--|---⌫|---⌫-|-|---|
Dames qu i sonsmalpa rceuanz	----|--⌫|---|--|--⌫------|
Quantcortoisieet biau ssamblanz	----|--------|-|----⌫|-------|
Nousmain eacortoisief ere	---|----⌫||--------|-⌫--|
Lorscuident	---|------|
toutlor au tr eafere	---|--|--⌫--⌫|----|
Cil souspi ran tauoirtroué.	--|------⌫---⌫|----|------|
iebi enesproué	-|--⌫-|-------|
A nsila uezuousen tendu.	-⌫--||-⌫--|---|--⌫-----|
Mie xuou suenist auoir tendu	---⌫|---⌫|-----|----|----|
Lafors une	-|---|--|
r oi ausco ulons	-⌫-|--|--⌫----|
Quarselianzestoitsi lons	---|-|-|--|-----|-|---|
Etl idemiscomtroi	-|-⌫|----|--|---|
Nesauriezuousta ntes plo itier	-|------|---|--⌫-|--⌫---⌫----|
Pageu01P023	----------|
queuousseüss iez fe re	--|---|------⌫--|--⌫-|
fussesi debonere	----|-|-------|
En uers uous com ie	--⌫---|---|--|-|
fuio rainz.	--|-⌫-----|
biengarder a inz	---|-----|-⌫--|
dequi illefet.	-|--|-|-|---|
Orneset cil en ditn en	-|-|--|--|-|--||-|
Qu ilpuist	-|------|
ferenedeuenir .	---|-|-------⌫|
Au mains ne puisiepas	-|----|-|---|-|--|
Damefeti lq ue i	---|--|-⌫|-⌫-||
Pitie ́et de boner e t é	-----⌫|-|--⌫-----⌫-⌫-⌫-|
en uousnen d out e zmie	-|---||-|-⌫---⌫-⌫|--|
Nonq ues ne	|---⌫--|-|
failliaamie	-----||---|
Nus enlafi n qu ibienamas t	--|-|-|--⌫|--⌫|---|----⌫|
Sime su imi se nmer sanz	-|-|--⌫|--⌫|-⌫|--|---|
Por n oierausi comTristan s .	--|-⌫---|---|--|-------⌫-⌫|
C ommentq uei a ie	-⌫-----|-⌫-||-⌫-|
estélonctans	----|---|---|
mauol ent éfere	-|---⌫---⌫-|---|
Aceai torné mon afere	|-|-|-----|--|----|
ai merci anuit	-|----|----|
necuit que	-|---|--|
P ageu01P024	-⌫---------|
Nule quantg	---|----||
istrai de cesti	-----|-|----|
Itelplet m	---|---||
amoncuerbasti	|--|---|----|
Quienuousses tmiss anzcong ié.	--|-|---||--⌫|--|-⌫--|----⌫---|
Fet elea ine	--|--|-⌫--|
m ès telen oï	-⌫--|---||--|
Orpuetbien demorer is si	-|---|---|------|--⌫-|
Puisqueie u oique	---|--|-|-⌫-|--|
cen estg as.	-||--|-⌫--|
Encorepar saintNicolas	-----|--|----|------|
Cuidoi equeuousgabiss iez .	------⌫|--|---|------⌫---⌫|
—En nom D ieunésse uosfussie z	|-|--|-⌫--|---|-|--|------⌫|
Une pouregarce	--|----|----|
Bele gentizdameho noree	---|-----|---|--⌫----|
seu ̈ssei entre met re .	---⌫---||-----⌫---⌫--⌫|
R i ensquilpuistdi re nepr ometre	-⌫-⌫--|-|-|----|--⌫-|-|--⌫-----|
c eriens ua loir	-⌫|----|--⌫---|
puisseiai oieauoir	-----|-|-⌫--|----|
sinesetquilenfac e.	-|-|--|-|-|-|---⌫-|
Pageu01P025	----------|
Liuermau slimonte en	-|------⌫|-|----|-|
Etleslermesducuera usiex.	-|--|-----|-|---|-⌫-|---|
Siqu eli blans etliuermiex	-|--⌫|-|----|-|-|------|
Len moillecontr eual le uis.	|-|-----|-----⌫---|-|---|
Orestilb ien ladameauis	-|--|-|-⌫--|-|---|---|
Nelif ausse	-|-|-⌫----|
pasde couen t	--|-|-----⌫|
Sescuersainz set bienque	--|----|---|--|---|--|
Le nsem ontilaillors	|-⌫|---⌫--|-|------|
e nplo rastauoe c	-⌫|---⌫---|----⌫|
Ladame moutlife ïstbie n.	-|---|---|-|--⌫---|---⌫-|
E lenecuid astia por rien	-⌫-|-|----⌫--|-|--|---|
Qu lldeüstestr e si dest roiz.	-|-|-----|----⌫|-|----⌫----|
Sirefetele	---|--|--|
nestp asdr oiz	|--|-⌫-|--⌫--|
Par Di euqu eiaim neuous	--|--⌫-|--⌫||--|-|---|
Queia imonseig nor et preudomme	--||-⌫|--|----⌫--|-|--------|
Quimou tmesertb ienetho neure.	--|---⌫|-|---|-⌫--|-|--⌫-----|
—Hadam efeti labo neeure	|-|---⌫|--|-⌫||--⌫-|---|
P arfoicedoit ilestr e	-⌫-|--|-|---|-|----⌫|
Maisse genteliseetpitiez	---|-|--------|-|-----|
uousprendo it demoie t	---|------⌫-|-|--|-⌫|
f ra nchise	-⌫--⌫-----|
Ia nu squid a mors c h antne	-|--⌫|--||-⌫---|-⌫-⌫--|-|
Pageu01P026	----------|
en te ndr oit	-|--⌫---⌫--|
Ainz en fer i ezau siec lehon or	---|-|---⌫-⌫-|-|----⌫-|---⌫-|
S euousm eu oliiezamer	-⌫|---|-⌫|-⌫-----|---|
Auneuoiedou tr emer	|--|---||--⌫--⌫---|
Enporriez l	-|------||
a umo sneaa tir.	-⌫---⌫--|--⌫---|
—Or mef ete sde	|-|-|-⌫---⌫|-|
u ouspartir	-⌫--|-----|
Sirefe telecestroi tlait	---|--⌫|--||------⌫|---|
Mescu er s n eme sueffrenel ait	--|--⌫--⌫|-⌫|-|------|-|-⌫--|
Ac order en nule manier e	--⌫----|-|---|------⌫|
esto iseuseproiere	--|-⌫-----|------|
Siuospr iqueuosen	-|--|--⌫|--|--|-|
— Hadamefet	|-|---|--|
ilmo rtma uez.	-|--⌫-||-⌫---|
Ga rdezneldites m ès porrien	--⌫---|--|----|-⌫--|--|---|
Mè s fetescortoisie etbie n	---⌫|----|--------|-|---⌫|
Retenésmoipar unioiel	-------|--|--|-|----|
Ouparc ̧ainture ou p aranel	-|--|-⌫-------|-|-⌫-|---|
Ou uou srece uésu ndes mien s	-|---⌫|----⌫---|-⌫|--|----⌫|
creantquil	-----|-|-|
Quecheualiers facep or	--|---------|---|-⌫-|
deu oieperdre	---⌫--|-----|
Simaït Diex	-||---|---|
queie ne face.	--|-|-|----|
Page u01P027	----⌫------|
uouairoe ile tuoclere	-|---|--⌫-|-⌫|-|----|
Me pue t demoutpoi	-|---⌫|-|---|--|
iusticier.	---------|
Ieaitoutsouz	-|-|---|---|
uostre dangier	-----|------|
Quanquesieai force	-------|-|-|----|
—Sireien e uu eilpasauoir	|---|-|-⌫|--⌫--|--|----|
Fe tele le los	--⌫|--|-|--|
sanzlepre u.	---|-|---⌫-|
Biensaiconuoustienta moutpreu	---|--||-|---|----||---|---|
Et sestpieçac hoseseüe.	-||--|-----|-⌫---|-----|
Bienseroi eorede ceüe	---|-----⌫|--|--⌫----|
Seor uousmetoieen	-|-|---|-----|-|
am oretieniauoie	--⌫-|-|-|||----|
Lecuer ceseroit uilon ie.	-|---|-|-----|-----⌫--|
Ilest une gra ntcortoisie	-|--|--|---⌫-|--------|
Dissi r fors deblasmequipuet .	|----⌫|---|-|-----|--|----⌫|
to utel uous en estuet	--⌫-|-|---|-|-----|
Damefetilpormoigarir.	---|--|-|--|--|-----|
Se uous me	-|---|-|
lessiiezmorir	-------|----|
Sanzestreame z ce seroit	---|----|---⌫|-|-----|
bia usuisplainsdesimp lece	---⌫-|--|-----|-|----⌫---|
Esto it omeci d esdemoi.	----⌫-|-----⌫-⌫-|-|---|
Ilencouien tp r endrec onroi	-|-|------⌫|-⌫-⌫----|-⌫----|
Page u01P028	----⌫------|
P rochainen aucune manie re .	-⌫------|-|-----|-----⌫--⌫|
Dam edebia ute ́etmaniere	---⌫|-|---⌫---⌫|-|------|
Detozbiens porD ieu g ardezi	-|--|----|--|-⌫--|-⌫----||
mot plesant	--|------|
Lefon ten unpe nss é	-|---⌫|-|-|--⌫---⌫-|
Dendroitce q u eleueu toïr	|------|-|-⌫|--|---⌫|---|
Sarequeste senotpitié	-|-------||-|-|-----|
Quarne tint apoint	---|-|---||----|
de fa in tié	-|--⌫--⌫---|
Les souspi rs les	--|------⌫-|--|
lerme s qu	-----⌫|-|
queforcelicort seure	--|----|-|---|----|
DAmorsqui toutcelifet fere	|----|--|---|-|-|--|---|
Nequeia m èssi	-|--|-|-⌫--|-|
Aminaurasen acest ui	--||---|-|||----⌫-|
Mèscequeonques mèsfo rsh ui	---|-|--|-----|---|--⌫-|-⌫-|
Nenparlaliuintameruei lle.	|-|----|-|---||------⌫---|
Auoe cce l pe nssé latraueille	----⌫|--⌫|--⌫----|-|--------|
Resonsquid autrepart l oppose	-----|--||----|---||-----|
Q u elesegart	-⌫|--|-|---|
d e fere c hose	-⌫|---|-⌫---|
D onteleserepenteauloing.	-⌫--|--|-|------|-|-----|
Aceluiqu iert	|----|--⌫|--|
engran t soing	-|----⌫|----|
Dupensseroue lee r ten tree	-|------|-|-⌫-|-⌫-⌫|--⌫---|
Amoutbe leuoiemonstree	|---|--⌫-|---|-------|
Pag eu01P0 29	---⌫------⌫-|
Dun egrant	|--⌫|----|
cortoisiefere	--------|---|
Amorsqui entantmaintaf e re	----|--|-|---|----|--⌫-⌫-|
Aes te ́ sa g eset	|--⌫--⌫|--⌫-⌫-|-|
s o ut i ex.	-⌫-⌫--⌫-⌫--|
E ntr uesquele esto itla ge nti ex	-⌫---⌫--|-|--|----⌫-|-|--⌫---⌫-|
Elpensser la o ueleestoit	-|------|-|-⌫|--|-----|
Ciltreterraumentdesondoit	--|---|--------|-|--|---|
Sonanelselimi st elsuen.	--|---|-|-|--⌫-|-|----|
Decefis til u n	-|-|---⌫|-|-⌫|
moutgrantsen	---|----|--|
Quillidesr o m pi	-|-|-|----⌫-⌫-⌫-|
so npe n sser	--⌫|--⌫-⌫---|
Queaincn el i lutapens ser	--|---|-⌫|-⌫|--|-----⌫--|
anelqueleot ensondoit.	---|-|--|-|-|--|----|
A cequele mains segardoit	|-|-|--|----|-|------|
Damefetilauo congié	---|--|-||-|------|
Sach iezque monpooiretgié	----⌫--|--|--|----|-|---|
Est tout en uocomman dement.	--|---|-|-|------⌫------|
Ilsepa rtde	-|-|--⌫-|-|
liesraum ent	-|------⌫--|
compaignonambedui	---------|------|
Nusnesetlachoisonforslui	--|-|--||-------|---|--|
Pa geu01P030	--⌫--------|
ils enestai n sipart is.	-||-|--|--⌫-⌫-|----⌫--|
Il estsou spir an z et pe nssis	-|--|---⌫----⌫--⌫|-|--⌫----|
uenuz asonch eual simont e	----||--|--⌫---|-|----⌫|
Etceleacuileplu s enmonte	-|---||--|-|---⌫|-|----|
De lui remetre en sa	-|--|------|-|-|
Iroit se nil	----||-⌫|-|
acertesQu est c e	|-----|-|--|-⌫|
Cenefistonques cheuali ers	-|-|---|-----|-------⌫--|
Iecui daisse	-|---⌫-----|
Lifu st assezm ains	-|--⌫-|----|-⌫---|
lonsdunior	---||-|--|
Mèsq u il	---|-⌫|-|
Et i lmaiasitost lessie	-|-⌫|||-|-|---|-----|
if usseplessi e	|-⌫---|------⌫|
uerslui deparole ou d efez	---|--|-|-----|-|-⌫|--|
Porles faus s amblanzquil	--|--|---|-⌫------|-|-|
Doi tlenmèstoutlemontmescroire.	---⌫||-|---|---|-|---|---------|
Qui porp lor er	--|--|-⌫---⌫-|
leuousist croire	-|------|-----|
Neporfer eses f aus sousp irs	-|--|---⌫|--|-⌫--|-----⌫--|
conseutliSainzEspirs	------|-|----|-----|
Porice n ipe rdist ilrien.	--|--|||--⌫----|-|----|
Nusne gu ilasto resi bien	--|-|--⌫----|-⌫-|-|---|
Nesibelcestor edu	-|-|--||--|--⌫|-|
Atantenuoieuerssesmains	----|-----|---|--|----|
Pageu01P031	----------|
Unreg ar t si choi s istl anel.	-|---⌫--⌫|-|----⌫-⌫--||----|
T ozlisansiusqu eldoitmanel	-⌫-|-|---|----|-|---|----|
Etiusquelpiéli	-|----|-|---|-|
Nonques sinese suanuï	|-----|-|-||-⌫------|
rie nsigrant merueille.	---⌫|-|----|---------|
La fa celideuint	-|--⌫-|-|-----|
Pui sdeuint	---⌫|-----|
trestote empalie.	-------|-------|
Que s tcefeteleDi exaïe	-|-⌫-⌫|-|--|--|--⌫-|---|
N euoi iel	-⌫|--|-||
an elqu ifu suens	--⌫-|--⌫|-|----|
D etantsuiie bien e nmon	-⌫|---|--|-|---|-⌫|--|
u i orainzenson d oit.	-⌫|-----|-|--|-⌫---|
fet elee tqu e doit	--|--|-⌫|--⌫|---|
Etporqoil ai l	-|--|--|||-⌫|
el mien m is	-|---|-⌫-|
Ia nestilmiemesamis	-||--|-|--|--|---|
Etsipensiequ ll	-|-|---|-|-|-|
le cu ideestre.	-|--⌫--|-----|
O restil pa rDie u	-⌫|--|-|--⌫|---⌫|
plusque m estre	---|--|-⌫----|
De cestartne	-|---|--|-|
sai quila prist.	--|--||-⌫-----|
Etcomment uint cequ	-|------|---|-|-|
P ageu01P03 2	-⌫---------⌫|
A ce que ieere siprise	|-|--|-|--|-|----|
Quei enemen suigard eprise	--|-⌫|-||-|--|----⌫|----|
De l anel qu	-||---|-|
llma eldoit m is	-|||-|---|-⌫-|
llestmesamis.	-|--|--|----|
Di railuoir	--⌫-|-|---|
Nenilqu arceser o it	----|--⌫-|-|---⌫-⌫-|
Ce rtespor no ien t	--⌫---|--|--⌫---⌫|
Ainzlimanderai orendroit	---|-|-------|--------|
Que iluien gnepa rler a	--|-|----⌫--|--⌫---||
Sllue utqu eielt iengne a	|-|--⌫-|--⌫|--|-⌫-----||
di ra iqu l llerepraingne.	--⌫--⌫|-|-⌫|-|----------|
pas qu ll en mes praingne	--|-|-|-|---⌫-------|
uersmoi sl lneueutqueiel hace.	---|--||-⌫|-|---|--|--|----|
Atan tcommande c onliface	----⌫|-------||-|-|---|
uen i runualletto utm onté .	---⌫-⌫|-|-----|--⌫-|-⌫-----⌫|
Sespuc eles	--|---⌫---|
Quil iestuenuz tozmontez.	-|-||--|----|--|------|
A misfet e leortosthurtez	-⌫--|--|-⌫-|-|---|-----|
Poingn iezaprès lecheualier	------⌫--|-----|-|--------|
Ditesluisicommeilachier	----|--|-|----|-||----|
Mamorqullne uoiste nauant	|---|-|-|-|----|-⌫|----|
Mèsuiengnearri erema intena nt	---|------|----⌫--|--⌫------⌫-|
P age u01P033	-⌫---⌫------|
Parler am oidesona fere.	-----||-⌫-|-|--|-⌫----|
—Dame fetil	|---|--|-|
iecuit bie nfere	-|---|---⌫|---|
uostre m essage dusquen	-----|-⌫-----|----|-|
part a espero n	---||------⌫|
Apre ̀sle ch eualier poingna nt	----⌫-|-|--⌫------|-------⌫-|
Quiamo r s aloitdest r aingnant	--|---⌫-⌫|----|----⌫-⌫-------|
Porc eliqui lenuoieq uerre.	--|-⌫--|--||-----|-⌫-----|
Enmains dun el iuede	-|----||--⌫|-⌫--|-|
ilataint et reto rné.	-|-----|-|----⌫----|
Sachiez qui l s eti nt a	------|-|-⌫|-⌫|--⌫-||
Dece quon lauoitremandé	-|-|-|-||----|-------|
Mèsn apasau me ̀sdemandé	---|||--|-|--⌫-|-------|
Porqoionremand é lau oit.	--|--|-|------⌫-||--⌫---|
Lianiaus quel ea uo it el doit	-|-----|-|--⌫|-⌫--⌫-|-|---|
Ertl achoi sons del	--||-----⌫---|--|
Ce lifist son	-|-|---|--|
oirream ender	----|--⌫----|
Quartartliest qulllereu oie.	---|---|-|--|-|-|-|---⌫---|
Lies cuierssestenl auoie	-|--⌫-----||--|-|-⌫|---|
Del retor deluiacointiez.	--|----|-|--|---------|
Pageu01P034	----------|
E Die xcomme	|---⌫|----|
ilen parfuliez	-|-|--|-|---|
Delreto rner sepor ce	--|----⌫---|-|--|-|
Q uilestoitengra ntsoupeçon	-⌫|-|-----|-|---⌫-|--------|
Con ne liuuei lle	|-|-|-|----⌫--|
l anel re ndre	|---|--⌫---|
Ild ist quils ir o itainçoisrendr e	-|-⌫--|-|-||--⌫-⌫-|-------|-----⌫|
AC istiaus qu illerepreïst.	|-⌫------|-|-|-|---------|
N ecuitpasqu elemespreïst	-⌫|---|--|-|--|---------|
Enuersmoifetil	-----|--|--|-|
deteleoeure.	-|---|-----|
Laioiedelreto rlicueure	-|---|--|----⌫|-|-----|
Lepenssé dont	-|------|---|
Ilest uenuz	-|--|----|
atantde rou te	|---|-|---⌫-|
Co mmeilotuers la forterece.	--⌫--|-|-|---|-|---------|
La dam e quie ngrantdestr ece	-|---⌫|--|-⌫|----|-----⌫--|
Estoit seurs oncors	-----|---|-⌫-|---|
deff endant	----⌫-----|
Is tde las ale d escendant	--⌫|-|-|-⌫--|-⌫--------|
Pasp orpasaualle	--|-⌫-|--|---|-|
P or penss eementetdegré	-⌫--⌫-----⌫-----|-|-|---|
uintenl ac ortpor li	---|-|-⌫|-⌫--|--|-|
Ensondoi t uit l a n el etluire	-|--|---⌫|--||-⌫-⌫--⌫-|----|
Quel eueu trendre	-|--⌫|---⌫|-----|
aucheualier .	-|---------⌫|
Silmen feti a	|-||-|--|-⌫|
pointdedangier	----|-|------|
Pageu01 P035	-------⌫---|
F et eleetilnelu eut	-⌫-|--|-|-|--|-⌫--|
Porcene lirai	--|-|-||---|
iep asprendre	-|-⌫-|------|
Parsesbiaus	--|--|----|
cheuex.S eie	------|-⌫|-|
Ainzle menraiiasor	---|-|-----|-|--|
Si pa r leraiil uec	-|--⌫-⌫----|--⌫--|
S il nel ueut prendre s anzanui	|-|--|---|------|-⌫--|---|
Ierompe raici la	-|-----⌫--|-|-|
n erepassi foi e	|--|--|-|---⌫|
