enhauteuoizseste scrié	-|----|---||--|-⌫-----|
exmladch iercump aree	|-||-|--⌫--|----⌫---|
ia nefaudraia	-|-|------||
sa m eisnee	-|-⌫-----|
cum pussec eind rees p ee	--|----|-⌫----⌫-|--⌫-⌫-|
isem bartdista sauo izc lere	----⌫---|---||-|--⌫-|-⌫---|
ufuiezuusgentesguaree	|----|--|---|-------|
senz sein uren autrecun tree	---|----⌫-|-|----|---⌫---|
turnezar ierelesestrees	-----|--⌫---|--|------|
siuenge romnost ree mperere	-|-----⌫--|----⌫-|-⌫------|
lo r elarg ente	|-⌫|||---⌫--||
lessoudees	--|------|
e lespelices engulees	|--|------|-------|
eeuss i funtsan zredutee	|--|-⌫|---|---⌫|------|
ari eretornent	---⌫--|------|
l es estr ees	-⌫-|----⌫--|
lowisadsagent	----|-|-|---|
e mmi che uac ha l em perrere	-⌫--|---⌫---⌫-||--⌫------|
quant s arrazinli	----|-⌫------|-|
t resturner e nt	-⌫---------⌫-⌫-|
la ueis siez t antcopd espee	-|----⌫---|-⌫--|--||----|
lancee nquarteree	----|-⌫---------|
tanzsarrazins par	---|--------|--|
ces estrees	--|------|
morirsanglentso r l	----|-------|--⌫||
ensunlemu nt	-|--|-|--⌫-|
a l estandart	||--------|
lauiutmort lesatena s	-||--|---|-|------⌫|
ui ndrentpaiensdetute sparz	--⌫-----|-----|-|----⌫|---|
p urletue ndeu	-⌫-|-|---⌫|--|
sire isembart	---|-------|
ge ntilnenusfaill irtuia	--⌫---|-|--|-----⌫-|-|-|
n uf eraiieodistisembart	||-⌫---|--|---|-------|
tant cumlimien scorsdur ra	---|--|-|----⌫|---|---⌫-|
paiens neuosesmaiezpas	-----|-|--|------|--|
q uatreiorz	-⌫----|---|
puisquexmf udafo lé	------|-|-⌫-|---⌫--|
car ise mbart i e st remis	--|---⌫----||-⌫-|----|
od quar rantemil	-|----⌫----|--|
parmifranceissensuntpassez	----|-------||-|---|-----|
moreaffolez	--||------|
low is ses genzaio stez	---⌫-|--|---||--⌫---|
t antquedismillers	-⌫-----|--|------|
parmi pa iens	----|--⌫---|
se n sunt passez	|-⌫|---|-----|
plusenuntmor te a ffolez	---|-|--|---⌫||-⌫-----|
quen euussaidirene co nter	--|-⌫|--|--|---|-|--⌫---|
elowi sestelpuimun té	|----⌫|--|-|--|---⌫--|
eadlereixmtroué	|-|-|--|-|-----|
a lestand a r t	||------⌫-⌫-⌫|
a i nceis lotmort rué	-⌫-⌫----||-|---|---|
mutfranc heme nt	--|-----⌫----⌫-|
lad r egreté	|-|-⌫------|
ilreiamiré	-|--|-----|
tantmarfustesgentilber	---|--|-----|-----|--|
sicreissiezendamned eu	-|--------|-|------⌫-|
meudreh omne p usth omtrouer	-----|-⌫-|-|-⌫--|-⌫-|-----|
decofistlowis	-|-|---|----|
qualpaueillunle fi s t port er	-|-|--------|-|--⌫-⌫|----⌫-|
troué g ormunt	-----|-⌫-----|
al esta ndartensun lemont	||----⌫----|-|--|-|---|
regret a le comgentilhom	------⌫|-|--|-----|--|
tant mar fust esr eibaron	---|--|----⌫-|-⌫-|----|
sec reissie za lcr eator	-|-⌫-------⌫|-⌫|--⌫----|
meudreuass alne fust de uus	-----|----⌫-|-|---|-|--|
d ec eof is tlowisq u epruz	-⌫|-⌫-|-⌫--⌫|----|-⌫-⌫|---|
porte rlenfis tas pa ueilluns	-----⌫||-|---⌫|-|--⌫-------|
coue r tsuzunes curu n t	----⌫-⌫|--|-|--⌫-|--⌫-⌫|
puis re pair a	---|--⌫----⌫|
enzelchambon	--|-|------|
siatroué nafréhugon	-||-----|-----|----|
deiusteli g unt i ergeudon	------|-|-⌫---⌫-⌫-|-----|
quiesquier	--|------|
f udalbarun	-⌫-|-|----|
fa issie rl efist	--⌫-----⌫|-⌫|---|
d un pelicun	|-|------|
puislot monté	---||-|-----|
sur un gasc on	--|-|----⌫-|
lestriulitintli	|-----|-|---|-|
reis leior	---|-|--|
puislunt por t é alpa ueill un	---||--|---⌫-⌫-|-|--⌫-----⌫-|
lauiut mortrei xm	-||--|---|--|-|
partcochent danhugon	---|------|--|----|
e enzen lestu raunepart	-⌫--|-||----⌫||--|---|
s ecombatmiles	-⌫|-----|----|
tut corsacors aisembart	--|---||---||-------|
ia leus tmor tle bonuassal	-||---⌫|---⌫|-|--|-----|
q u antsuruint leuiel bern ar d	-⌫-⌫--|------|-|---|----⌫--⌫|
le pere fu tmeistreisem bart	-|---|--⌫|------|----⌫---|
leperealfiztel	-|---|-|--|--|
que su ne scu li	--|--⌫|-⌫--|-|
m ie uzferilem eistre	-⌫--⌫-|---|-|-⌫-----|
is em bart	--⌫--⌫---|
car sunesc uli estrua	--|--|---⌫|-|-----|
e sunha uber cli	|--|--⌫----⌫|-|
mileulespie passa	----||----|----|
mes nenat einstm ieenchar	--|--|--⌫----|-⌫-|-|---|
d esuncheual	-⌫|--|-----|
parlesdou sresneslecobra	--|--|---⌫|-----|-|----|
ueant seseuz	----|--|--|
puis imonta	---||----|
unquesc ongienedemanda	-----|-⌫----|-|------|
dec eofistil pechiee ma l	-|-⌫-|---|-|-----||--⌫|
quesunpered e s che uach a	--|--|---|-⌫-⌫-⌫---⌫----⌫|
maisquilnel	-----|-|-||
reco noistpas	----⌫----|--|
silleconust	|-|-|-----|
ia neltocha st	-|-||-----⌫-|
c ardautrecho se l ar eisnast	-⌫-||----|---⌫-||--⌫------|
denosfranceisi	-|--|-------||
fist asart	---|----|
kiilconsui tne sen ala	-|-|------⌫|-||-|--|
ki ilfer ipuisn e	-|-|---⌫|---|-⌫|
sedamnedeu ne l suscita	-|-------|-||------|
fier futl esture e sbaudi	---|--||----||-⌫-----|
paienssesc rie nt ahau t	-----||---⌫---⌫-||---⌫|
ais emba rtfelmargari	|--⌫----⌫-|--|------|
fe lpeneiezpurrepent i r	--⌫|------|--|------⌫-⌫|
ca su ntl esche ualiershardiz	-|--⌫-|-⌫-|---⌫------|-----|
ma rariu amesen	--⌫|----⌫---|-|
pu rlu rhon ors sureu s se isir	--⌫|--⌫|---⌫--|--|--⌫|--⌫---|
mutnusau ez	--|--|--⌫-|
eis embartlur	|--⌫-----|--|
fel unspaiensesarrazins	---⌫--|-----||--------|
malu eissegente cunquesti sz	----⌫----|---||---------⌫-|
a und eslor que	|-|-⌫-|--|--|
iabentrente sa rraz ins	||--|-----|--⌫----⌫--|
de fendez uusdolenzis si	--⌫-----|--|-----|--⌫-|
cumpur uos	--|--|--|
u iesgarantir	-⌫--|-------|
e eussifunt gekelot dit	|--|-|---|---||-|--|
li es turfutfi er	-|--⌫--|--|--⌫-|
e labataillecummunel	|-|-------|-------|
paiensnelpore nt endur er	-----|-||----⌫-|-----⌫-|
quitr aua illésuntepenez	--|--⌫---⌫----|---||----|
at an ts en s untfuiantturnez	--⌫--⌫||-|-⌫--|-----|-----|
enencha uca essez	-|-----⌫--|----|
fu ssentb arges enes	--⌫----|-⌫----||--|
kil l aiss ieren talar iuer	|-|-⌫----⌫-----⌫|||--⌫---|
ianenpeustuneschaper	-||-|----|-|-------|
sic umlicerssefuit la	-|-⌫-|-|---|-|---|-|
enfuirentcesdi rlande	--------|--||-⌫-----|
s i senchacerentces def rance	-⌫||----------|--|-|-⌫----|
reis lowise se scump ain n es	---|----||--⌫|----⌫---⌫-⌫-|
paienssefuienttutaun	-----|-|-----|--||-|
eissembar t estremasu	|--------⌫|--|-----|
dousmil paie ns ens emble odli	---|--|----⌫-|---⌫----|-|-|
quilcu nsuittutestuencu	-|-|--⌫----|--|--|----|
ne lp otgarirsun	-||-⌫-|----|--|
ne blancha uuercqu	-|----|--⌫----|-|
quetutnel tre nche desque al	--|--|-||---⌫---|-----|-|
lestreiscontesele quartducs	--|----|-----||-|----|---|
liu n sl i	-|-⌫-⌫|-⌫|
fier t ensun escu	----⌫|-|--|---|
alblanch auberc	-|----|-⌫-----|
elcors li firenttrei s	-|---|-|-----|----⌫|
desun cheualle mistrentius	-|--|-----|-|-------|--|
mesn elunt	--|-⌫||--|
pas reconu	--|-----|
siuntl enchanz	-|--||------|
auantte nu	----|--⌫-|
lauch ai li	-||--⌫-|-|
auquaref oz detr eisch emins	-|------⌫-|-|--⌫--|--⌫----|
lezunbruilleespes	--|-|------|----|
de danmedeu l imembrasi	-|-------|-⌫|-----|-|
queiadir ra l efrancgentil	--|-|---⌫-|-⌫|----|-----|
pa rquei i l deuere t	--⌫|---|-⌫|------⌫|
bie ngarir	---⌫|----|
s eintema ri egenitr ix	-⌫----|--⌫--⌫|------⌫-|
me redeudame	--⌫-|--|---|
isemb art dist	-----⌫--|---|
distun sarraz i n	---|-|------⌫-⌫|
ultrelamerquien sorti	----|-|--|--|-|----|
siieo uenei e en	-|--|-----⌫|-|
que ieos erraieumo rtupris	--|--|-⌫-----||--⌫-||---|
o rs ai ieobi enque	-⌫|-⌫-|--|--⌫-|--|
aieper edeudistil	--|---⌫|--|---|-|
cruiz fus mis	----|--|--|
a u end resdim ort isoffri	|-⌫---⌫----|-⌫--||-----|
dunttuttunpo ple	---|--|--|--⌫--|
euseinte sepu lchrefustesmi s	-|-----|----⌫----|-----|--⌫|
eautierzio r surrexis	|-|----|--⌫|-------|
siueire mentcu mceofeis	-|-----⌫---|--⌫|--|---|
si aiezuusdemeimerci	-|---|--|-|--|----|
lamei mortp ardoinsicil	-|--|---|-⌫------|---|
pu ruostre	--⌫|-----|
amor q uimunt	---|-⌫-||--|
sainte mariegen itrix	-----|----|---⌫----|
mered eudame isembart	---|-⌫-|---|-------|
depreez en	------|-|
uos t re beaufiz	---⌫-⌫-|---|--|
eitmerc ide cestchaitif	--|----⌫|-|---|------|
ga rdaauale nunlarriz	--⌫--|---|-⌫|-|-----|
e uit u n ol liuerfuilli	|--|-⌫|--⌫----|-----|
tantsetrauaille quil	---|-|--------|-|-|
sorlafre s che herbesest asis	--|-|---⌫-⌫--|----||--|---|
contr eorientturnasunuis	-----⌫|-----|----|--|--|
at erreuaitculpe bati	|-⌫---|---|----|---|
pui ssedrecaunsulpeti t	---⌫|-|----|-|--|----⌫|
