messiresnoblesl ilions	--|----|-----|-⌫|----|
chascunsleset	-------|-|--|
ni asi sort	|||-|---|
quetieus nepeche sie ncort	--|----|-|----|-|-⌫----|
malegracema dieusdonnee	---|----|||----|-----|
mesite lestma	--|---⌫|--|-|
que iadebien	--|-|-|---|
n e saura i fa ir e	-⌫|-----⌫|--⌫--⌫|
quel o nne m e tortacontraire	--|-⌫-⌫|-|-⌫|---||--------|
c ertesmo ltaia ceus	-⌫----|--⌫-|-||---|
quiorme porchacentt el plai t	--|-|-|---------|-⌫-|----⌫|
uosmena uez cife ts emondre	--||-|-⌫--|-|--⌫|-⌫------|
ors uissitout pristde	-|-⌫--|-|---|----|-|
auiugementde uostrecort	-|-------|-|-----|---|
a ce t m ot ysangrinacort	|--⌫|-⌫-|-------|----|
deuantleroientre	-----|-|--|----|
le s aut res	--⌫|---⌫--|
etroe nellefelli ui autr e s	-|---⌫--|-|--|-|--⌫----⌫-⌫|
la m esengeetthib ertlicha z	-|-⌫-----|-|----⌫--|-|---⌫|
qui auoi t	--|----⌫|
estépris aula z	----|---|-|--⌫|
da merousete la geli ne	--⌫-|------|-|----⌫-|
e tdamepintesa	-⌫|---|----|-|
de renartfont au roil or	-|-----|---|-|--|-⌫-|
ci namestier	-|||------|
parolefaite	-----|----|
renart u oitn	-----|-⌫--||
i ames tier	||---⌫---|
saigniezsest desa	-------||--|-|-|
m ainesclanche	-⌫--|--------|
orlicouient q ue	-|-|------|-⌫-|
ra ison re nde	--⌫---|--⌫--|
gra ntpaor	---⌫-|---|
aquelo n n upende	|--|--⌫|||----|
sorne setrenar t	|-|-|--|-----⌫|
maracoi ntath ibert le chat	--|----⌫--|--⌫----|-|---|
e t xmlorss ornestes	-⌫|-||--||-||--|-|
bonsresto riens	---|-----⌫----|
renartsenis sitsa n zesc harpe	-----||-|--⌫--|--⌫-⌫|---⌫----|
sanzchaperon	---|-------|
sanztaillierch ape	---|-------|--⌫--|
etdautr e part	-||----⌫|---|
les tuetparler	|--⌫---|-----|
qu a painessepuetescuser	-||-----|-|---|------|
ceditnob le sque uosestu is	-|--|---⌫--⌫|--|--|--|-⌫-|
etditrenart	-|--|-----|
ilm es t auis	-||--⌫|---|
siquebienconn oi s parraison	----|---|----⌫--⌫|--|-----|
queenuersausn	--|-----|--||
aidesraiso n	-|--------⌫|
sirec ert esceditrenart	---|-⌫---⌫-|-|--|-----|
s onques deu s naiten	|-----|---⌫||--|-|
sei edemesfe t merec ort	-|-⌫|-|-----⌫|-|---⌫--|
do ntuers leuos	--⌫-|---|-|--|
eusse tort	----|---|
ce qu eiluo udront	-|--⌫|-|--⌫-----|
rien s ne met oudr ont	----⌫|-|-|-⌫----⌫--|
seuos plest qu i mes sireses tes	-|--|----|--⌫|--|----|--⌫--|
sordizdepluso rsbest es	-----|-|-----⌫-|----⌫-|
a t elaifaitmoltgranthonnor	|-⌫-|-|---|---|----|-----|
qui puismafetgrant	--|---|||--|----|
ie saiq ue l itor s nestpas m i ens	-|--|-⌫-|-⌫|---⌫||--|--|-⌫-⌫--|
toutesuoies uaintrali	-----|----|------|-|
o nqu es deriens ne	-⌫---⌫-|-|----|-|
men tremis	|--⌫-----|
dequoi deu sseestre	-|---|---⌫--|----|
dantys an grinmon	---|--⌫--⌫---|--|
chi ercomp e re	---⌫-|----⌫-⌫-|
neonquesparlame	-|-----|--||--|
asa fa menequis folie	|-|--⌫-|-|---|----|
a moltpor moiasaillie	|---|--|--|-------|
su ideprouersanzfaille	--⌫|-|-----|---|-----|
iuisse ou parbata ill e	-----|-|--|----⌫---⌫|
a ins icomlone sgardera	-⌫---⌫|--|--|-⌫-------|
etcoml acorsdeuisera	-|--|-⌫|---|-------|
is angrin ssaillit enla	--⌫------⌫|------|-|-|
qu iqu anpo ist ne a	--⌫|-|-|--⌫--|-||
sadroitme uoudroiesprouer	||----|-|------|-------|
to ut sanzm enson gecontroue r	--⌫-|---|-⌫-----⌫-|--------⌫|
nobl escomme nde que	----⌫-|-----⌫--|--|
soulqui contredie	---|--|--------|
r enart dit ysangrinent ent	-⌫----|--|-------|---⌫--|
iesui ci lqui	-|--|--⌫|--|
mondroi tatent	--|----⌫|----|
enu izquetu me f ais	---⌫-|--|-|-|-⌫--|
que nosauonsc e an zretraiz	--|--|----|-⌫-⌫--⌫|------|
n eme cort oresamendé	-⌫|-|---|---|------|
silauoitlirois	-||----|-|---|
commend é	-------⌫-|
moltaurasfet autresgreuer	---|----|--|-----|-----|
ainzconte peust amener	---||-|-|----|-----|
et deiones et dec henuz	-|-|----|-|-|-⌫----|
tuen esassezporfos t enuz	-|-|-|----|--|--|-⌫---|
tuitcilquicic lamécesont	---|--|--|-|-⌫----|-|---|
e tsiences teplacesont	-⌫|-|-|---⌫-|----|---|
pa rmoiq uiportoi sui h onis	--⌫|--|-⌫-|--|--|--|-⌫---|
uoilquecis	---|--|--|
chans soitetfeni s	----|---|-|----⌫|
ueri tem enirai	----⌫-||-|---|
puis ie nenmentir ai	---|-||-|------⌫-|
laou le puisseapar ceuo i r	-|-|-|-----|----⌫----⌫-⌫|
queie neme nai lle	--|-|-||-⌫|--⌫--|
ie naimestierdefaire alonge	-||-|------|-|----|-----|
nedecon trouerenmensong e	-|-|---⌫-----|-|-------⌫|
detraiso nteprou er ai	-|------⌫|-|----⌫--⌫-|
siq u egarantentrou erai	---⌫-⌫|-----|-|----⌫---|
etmonstreraitotp arra ison	-|---------|--|-⌫-|--⌫---|
etfelon niee t	-|-----⌫--|-⌫|
b ienens ara ila raison	-⌫--|-|-⌫---⌫|-|-----|
sele uouloi esesco ndire	-|-|------⌫-|----⌫----|
re nartaditbien d it auez	--⌫---||--|---|-⌫-|---|
or ditescommentlesaue z	-|----|------|-|----⌫|
ditysangrin bienledirai	--|-------|---|-|----|
enmentir ai	-|------⌫-|
mes compereseste s	--|-------|----⌫|
sim aue z m enez enbelloi	-||---⌫|-⌫---|-|-----|
plusdeyyfoizq ue iene mente	---|-|-|---|-⌫-|-|-|----|
m aintebe steasfai tedolente	-⌫----|--⌫--|-|---⌫-|------|
biensont p lusoraparceu	---|---|-⌫----|------|
quema intesf oizm	--|--⌫----|-⌫--||
orsa ibien secuer	-|--⌫|---|-|---|
c orsu imesue nuz al	|-|--⌫|--|--⌫--|||
moltaipar toi	---|-|--|--|
malend uré	--|---⌫---|
mai ntesfoizt es p ariur é	---⌫---|---||-|-⌫-----⌫-|
masmalbailli	|-|--------|
ditrenart tu esfailli	--|-----|-|-|-----|
neu erstoide riens nemes pris	-|-⌫--|--|-|----|-|---⌫---|
ysangrin certesrenart	-------|-----|-----|
ie monstrera idemoiepart	-|---------⌫|-|---|---|
masaillistes	|----------|
aucon trouerpasnefaill istes	-|--|-----|--|-|-----⌫----|
uo ianttouznosuousi st	--⌫---|---|--|-----⌫-|
libatistesuos lecrepo n	-|-------|--|-|-----⌫|
degra nzcosauostrepooir	-|---⌫-|--||-----|----|
c arieui lepoitron tout uoi r	-⌫-|-|-|-|------|---|---⌫|
bien uosui	---|--|-|
bo ute r etenpaindre	--⌫---⌫|-|--------|
uilaqueueestr aindre	-|-|----|----⌫-----|
illuec l ate nis tu	-----|-⌫|--⌫--|-|
nesamblapa s geusde pelote	-|-----|--⌫|---|-|-----|
cen ep orriez pasdeff endre	-|-⌫|-⌫-----|--|----⌫----|
n euos en ueissedes cendre	-⌫|--|-|-----|---⌫-----|
e t uosbr aiessusremonter	-⌫|--|--⌫---|--|-------|
nemest hont eduraco n ter	-||--|----⌫|-|----⌫-⌫--|
messeie celer	--|-|-|----|
anuluicertes n udeisse	|----|-----|||-----|
cedit renartia	-|--|-----|-|
dieu s neplace	----⌫|-|----|
l ecri ator quetantme hace	-⌫|---⌫---|--|---|-|---|
qu aiefaitte l desc onuenue	-|--|---|--⌫|----⌫------|
quemacome reaiefoutue	--|-|----⌫-|--|-----|
plu sbasdelueilsi	---⌫|--|-||---|-|
c omuos dites	-⌫-|--|----|
donquesseroi eieh erites	------|-----⌫|-|-⌫-----|
or puetonbien de fi sau o ir	-|---|-|---|-|-|---⌫-⌫-|
queuosne sauezhon teauoir	--|--|-|----|---⌫-|----|
quiceauez am enteu	--|-|---|--⌫----|
donttuitliautre so n tteu	---|---|-|----|--⌫-⌫|--|
ned eussie zpas	-|-⌫------⌫|--|
ch osedir e	--⌫--|---⌫|
qui a hersentt o rnast ai re	--||------|-⌫-⌫----||-⌫-|
mais siauezl ach os eenprise	---|-|---|-⌫|--⌫--⌫|------|
quehon teauezarriers	--|---⌫-|---|------|
biena sore honteadossee	---|-⌫|--|----|------|
quiainsi honnis tespousee	--|----|-----||-------|
leboter et lesofeschier	-|----|-|-|---------|
cefisie po r li	-|--|-|--⌫|-|
enpaindreetboter m eue ist es	--------|-|----|-⌫|--⌫---⌫-|
biensaiqu e	---|--|--⌫|
entendistes	----------|
mesi ene lfisseporbi enno n	--|-⌫|-||--|-|--|--⌫-|--⌫|
ormenrendezmongu erredon	-||-|-----|--|--⌫------|
bienetparf r anchise	---|-|--|-⌫-⌫------|
oren perdonmonseruise	-|-|-----|--|------|
ie fui fous quantm enentremi s	-|--|---|----||-|-------⌫|
orenestesm esanemis	-|-|----|-⌫-|-----|
cil liditbient ep uezuanter	--|-|--|---|-⌫|-⌫--|-----|
biensezafolmesse cha nt er	---|--||--|----|---⌫--⌫-|
choseconneue	----|------|
mainte honteai	-----|----|-|
partoi eue	--|--|--|
t ues de teleauctori te	-⌫|-|-|---|-------⌫-|
entoi n afoineuerite	-|--|||--|-|-----|
tume c onseilles en l	-|-|-⌫--------|-||
entrer mefeis	-----|-|---|
enlaseille	-|-|-----|
etaua le rou puis dedenz	-|---⌫--⌫|-|---|-----|
gout eaiezesdenz	----⌫|---|-|---|
pa rtantesf o izm as	--⌫|-----|-⌫-⌫-||-|
tufet honte	-|--|----|
ienen sai pasdire le	-||-|--|--|---|-|
tudeis queroi	-|---|--|--|
porr oie estre	----⌫--|----|
loia nzen paradiscelestre	----⌫-|-|------|-------|
ou ilauoi t guaaignerie	-|-|----⌫|----------|
etplainsetbois et praer ie	-|-----|-|---|-|-----⌫-|
celerie nsro uer	---|---⌫-|--⌫--|
qu ill u ecne peu stontrouer	-|---⌫-⌫-|-|---⌫-|-|-----|
etquiuoloitmengier poisons	-|--|-----|------|------|
luzlamp roies	--|----⌫----|
etes t urions	-|--⌫-⌫-----|
tan t enauoit comluiplaisoit	---⌫|-|----|--|--|-------|
asauolen te e slisoit	|-|-----⌫-|-⌫------|
de touz bien ser tli leusgarniz	-|---|----⌫|--⌫|-|---|-----|
ill uecfuit ouzes charniz	---⌫--|--|-⌫--|--⌫------|
i ecuidaique	-⌫|-----|--|
d euss e auoir	-⌫----⌫|----|
mesiene fi s poin tdesauoir	--|-|-|--⌫|----⌫|-|-----|
moltmengigne s en icele	---||-------⌫|-|----|
ousaielent rai san z demore	-|----|---⌫--|---⌫|-----|
et l a cordeilledestortoille	-|-⌫|--------|-----------|
tuestoiesenl autresoille	-|------|-||----|-----|
iefuipesanz et	-|--|-----|-|
t ulegie rs	-⌫|-----⌫-|
tu traitres etlosengiers	-|-------|-|---------|
e ttu montas	-⌫|-|-----|
quante nm ile pui z men co ntras	----|-⌫--⌫|-|---⌫||--⌫--⌫----|
dontfu mesc uersirie z	---|-|--|-⌫---|----⌫|
molt es defe l o nieplains	---|-|-|--⌫-⌫-⌫--|-----|
i e demanda i outualoies	-⌫|-------⌫|-|-|-----|
de is amont	--⌫-|----|
cestl ac oustume d e	|--|-⌫|-⌫------|-⌫|
ce stmo nt	--⌫-|--⌫-|
li zzuiene ntliautreu o nt	-|-|-----⌫-|-|----|-⌫-⌫-|
d enferestoies e s c hape ́s	|----|------|-⌫-⌫-⌫----⌫-|
et geeretouzent rapez	-|-|--|---|---⌫----|
ienesa ique	-|-|--⌫|--|
tel trai s onmeporqueis	--|----⌫-⌫-|-|-------|
puiz s oufrisgran tmesaise	---|-⌫-----|----⌫|------|
e stoi e agrantaise	-⌫----⌫||----|---|
yyfoizme reclostsor la	-|---|-|------|--|-|
moltiend uraigrantmoleste	---||---⌫---|----|------|
liblansmoines men	-|----|-----||-|
mist ren tho rs	----⌫---⌫|--⌫-|
mes t a nt	--|-⌫-⌫-|
me b atir entle dos	-|-⌫----⌫--|-|--|
de pote nc esetde	-|----⌫--⌫-|-|-|
q uilmemistreta	-⌫|-|-|------||
gen o illons	---⌫-⌫-----|
de peus mefi rent	-|---|-|--⌫---|
te ldeport	--⌫|-----|
lessierentpor	---------|--|
e nune foss e quiert pull anz	-⌫|--|----⌫|--|--|----⌫--|
p arl a queuememistret	-⌫-|-⌫|----|-|------|
depu orduiest recre uez	-|--⌫-|--|---⌫-|---⌫--|
toigr euez	--|--⌫---|
diluec mepar ti a	|----|-|---⌫-||
grantp aine	----|-⌫---|
c arnepooie a uoirmala ine	-⌫-|-|----|-⌫---||---⌫--|
en cormedeulent tuit li menbr e	--⌫--|-|------|---|-|-----⌫|
moltsuidol enz quant ilmen me nbre	---|--|---⌫--|----|-||-|--⌫---|
tume feis alerpeschier	-|-|---|---|-------|
eueta n tacro c hier	--|--⌫-⌫|----⌫-⌫---|
quetouteoilaqueuegelee	--|----|-|-|----|----|
e tenlaglaceseel lee	-⌫|-|-|----|----⌫--|
queue perdreapa rtir	----|-----||--⌫---|
nem en poiie miepartir	-||-|--|-|--|-----|
ysen grind isletua certes	----⌫---|-⌫-|-|-||-----|
quetuparmoi	--|-|--|--|
eusces p ertes	--|--|-⌫----|
t u paroles parfoiaorce	-⌫|------|--|--||---|
ta lech erie tantfist force	-|----⌫---|---|---|----|
quetu eressi	--|-|---|-|
be soigneus	--⌫-------|
etdepo iss onssiconu oite us	-|-|--⌫---⌫--|-|----⌫----⌫-|
quenencuidoiespre uauoi r	--||-|-------|---⌫|----⌫|
uoirdit liliuresdesa uoir	---|--|-|-----|-|--⌫---|
qui toutconuoite e tto utpert	--|---|-------|-⌫|--⌫-|---|
ceosiebien direen ape rt	-|-|-|---|---|-|---⌫-|
molt e sthonizquitantcouante	---|-⌫-|----|--|---|------|
que songuaaingpe rt	--|--|------|--⌫-|
ets entente	-||------|
desque tulespoi son s sentis	-----|-|--|---⌫---⌫|-----|
dimoiporquoi tutalentis	-|--|--|---|-||------|
tongi rony yn en	--|--⌫--|-⌫||-|
mespo r escha rnite tenisses	--|--⌫|-----⌫--|-|-------|
s etunenf u ssest ouz	-⌫|-||-|-⌫-⌫---|-⌫--|
quar poufustes	---|--|-----|
tantat ar giez	---|--⌫--⌫---|
qua ntdu hastert al a isemonr e	---⌫-|-|-----||--⌫-⌫|------⌫|
tu commensaszz pou a gondre	-|--------|-|--||-----|
quantie fui en u iousdataindre	----|-|--|--⌫-⌫---||-------|
si telesses espoi ssonspran dre	-|-|-----|-|---⌫----|----⌫--|
se ma lteuientquel mal	-|--⌫|-|----|---|--|
onquesd espoiso nsne menge	-----|-⌫-|-----⌫-|-|----|
renart bientesez	-----|---|-|--|
agentparole am user	|---|-----|--⌫---|
nepor roi eauoi rretrez	-|---⌫---⌫|----⌫|-----|
les mausquetumesdiz as	--|---|--|-||-|--|-|
to uz iors	--⌫-|---|
mestenuz porbricon	|-|----|--|-----|
zziorque menge doubacon	-|--|--|----|--|----|
auoie grantme stier	----|----|--⌫----|
lorsmeseusttub iendes oiure	---|-|----|-|-⌫--|---⌫----|
tu medeis q ue doucelier	-|-|---|-⌫-|--|-----|
t auoitl onfetbouteillier	|----|-⌫-|--|----------|
enta gardeestoient liui n	-|-|----|-------|-|--⌫|
touztensa usoiretaumat in	---|---|-⌫|---|-|-|---⌫-|
lam emenastucommefo l	-|-⌫|----|-|----|--⌫|
ietant batulecol	-|---|---|-|--|
lamem enastuaenu ers	-|-|-⌫---|-||---⌫--|
c han t esdem oltfelue r s	-⌫---⌫-⌫-|-|-⌫--|--|--⌫-⌫|
ceditrenartoras	-|--|-----|-|-|
decesaibien enm onrecort	-|-|--|---|-|-⌫-|-----|
que tantbeus que	--|---|---|--|
t ufu zyures	-⌫|--⌫|----|
siteuantesquetout	-|-|-----|--|---|
sanzl iu r e	---|-⌫--⌫-⌫|
chante riezbien	------⌫---|---|
lors com mensa asi grantbru it	---|---⌫----||-|----|---⌫-|
quetuitc ilde l a uilleuinrent	--|---|-⌫-|-|-⌫|----|------|
qui agrantmeru eil le	--||----|----⌫---⌫-|
l et inr ent	-⌫|-⌫---⌫--|
quant oila noi seuen ir	----|-|-|---⌫-|---⌫-|
hors memis	---|-|--|
carmolt uosauoient	--|---|--|------|
qui malchace malliauient	--|--|----|--|-|-----|
ren artmoltesdema le part	---⌫--|---|-|-|--⌫-|---|
l ametenistuamusart	-⌫|-|----|-||-----|
ou tu me feisla	-|-|-|---|-|
chaudecommeapersonn e	-----|----||-------⌫|
si grant s iampleet	-|----|-⌫|----|-|
oilateste pelee	-|-|----|----|
nemeremest poilsus les ioes	-|-|-----|---|--|--|---|
lorstentornasfai s antgrantio e	---||-|-----|---⌫-⌫--|----|--⌫|
de moi deuoies moines fere	-|--|------|-----|---|
certe s moltes deput	-----⌫|---|-|-|--|
partoiestma	--|--|--|-|
c h arsafebl ie	-⌫-⌫--|-----⌫-|
aillorstecrui	------|-|---|
sifisfolie	-|--|----|
zztronson me donnesdang uille	-|------|-|-----||---⌫----|
que tuc onqueispar ta	--|-|-⌫------|--|-|
ce fupo rmo i farealechier	-|-|--⌫|--⌫|---|-------|
enmainsleu sma s tufetpechier	-|----|---⌫||-⌫|-|--|------|
iedemandeouletrouez	-|------|-|-|-----|
pormoi decoi ureco n tro uez	--|--|-----⌫--|--⌫-⌫---⌫--|
que che srenttant amenoient	--|---⌫----|---|--------|
q u eparmi	-⌫-⌫|----|
n efendoient	-⌫|--------|
d esanguilles	-⌫-|--------|
auoienttant	------|---|
q ue sou entseuont a restant	-⌫-|---⌫--|-|---|-⌫------|
i e dem andaipar quelsambl ance	-⌫|---⌫----|--|---|-----⌫---|
ien porroie emp lir mapance	|-|------|---⌫--|-|----|
tume d eis	-|-|-⌫--|
te giterent	-|-------|
oucharret isquiltet rouer ent	-|-------⌫-|-|-|-|-⌫-----⌫--|
et pr oierent qua ssez mangassez	-|--⌫------|-|-⌫---|--------|
etleremenant lorgard asse	-|-|-------|--|----⌫---|
tan tmena las	---⌫||-|-⌫--|
amonnesta nt	---------⌫-|
queielo r en	--|-|--⌫|-|
uin saudeuant	---⌫|-|-----|
etf issa mbl antq u efussemors	-|-⌫-|--⌫---⌫--|-⌫-⌫|----|---|
lafuibatuz pargrantesf ort	-|--|----|--|----|---⌫--|
etd el euiers et debastons	-|-⌫|-⌫-----|-|-|------|
en deutli pelisons	-|---|-|-------|
nest merueille	|--|--------|
sen aianuis	|-|-|----|
quantde t oi uengierne m e puis	----|-|-⌫-|------|-|-⌫|---|
enzzd esp lus lonc	-|-|-⌫-|-⌫--|---|
iour d este	---||---|
n auroie ietoutracon té	|-----|-|---|-----⌫--|
lesmausquantauiemasfez	--|---|-|-|-|--||-|--|
mesor e esttantmen ezlipl ez	--|--⌫|--|---|---⌫-|-|--⌫-|
cor t enso mmezuenu	---⌫|-|--⌫---|---|
sommes tenu	-----|---|
en dieuaimoltbone	-|---|-|---|---|
que iedetoiauraicreance	--|-|-|--|----|------|
ietai meneeloia ute	-||-|----|----⌫--|
ettumoi grant desloi aute	-|-|--|----|------⌫---|
quan tmesto rdras que que	----⌫||----⌫----|--|--|
petituaudra tarenardie	----|-----|-|-------|
renartr es po n tpar grantco nfort	-----|-⌫--⌫--⌫-⌫|--|----|--⌫----|
sireysang r inuos aue ztort	---|-----⌫-⌫-|--|---⌫|---|
qui mancusse z nes ai p orquoi	--||-------⌫|-|-⌫-|-⌫-|---|
ci l autrebaro n so nttuitquoi	--⌫|----|----⌫|--⌫-|---|---|
quinosoient nedientmot	--|--|----|-|----|--|
t ieu s ia qui	-⌫---⌫|||--|
uos tie nt por s ot	--|---⌫-|--|-⌫-|
uostreraiso nsestde scouuerte	-----|-----⌫-|--|--⌫--------|
quiaue zdi t me nsongeap erte	--|---⌫|--⌫|--⌫-----|--⌫---|
icilquitropments amepert	---|--|---|---||--|---|
airenart trope ss oufert	-|-----|---|-⌫|-⌫-----|
to n grantor gueil	--⌫|----|--⌫----|
t on g rant	-⌫-|-⌫---|
messei e n aic ongie do u	--|-||-⌫|-|-⌫----|--⌫|
iaauraslabatail leal	-|----|-|------⌫-|||
renart res pont riens tantneue il	-----|---⌫---|----|---|-|--⌫-|
renartcombatresongaigetent	-----|-------|--|----|---|
e tysa ngrin etlir oislep rent	-⌫|---⌫----|-|-|-⌫--|-|-⌫---|
renartapresle sie n t endi	-----|----|-|---⌫|-⌫---|
siqueliroi s	----|-|---⌫|
bienl entedi	---||-----|
libaron sa nzdoute	-|----|--⌫-|----|
quelabataillei afierttoute	--|-|-------||-----|----|
s orne setrenart	|-|-|--|-----|
maruitlabataillearr amie	--|--|-|-------|---⌫---|
dema n dele so sta g es	----⌫-⌫-|--⌫|-⌫---⌫-⌫-|
q ui moltestoitcortoisetsages	-⌫-|---|-----|------|-|----|
a nuldausne s a pardonnés	|--||--||-⌫||---------|
ysangrinales	-------||--|
sie n sdonnez	---⌫-⌫|-----|
porluifetbrun l ours	--|--|--|---||---|
thibertlechat	------|-|---|
etbrichemer	-|--------|
et lelie uresire couart	-|-|---⌫--|---|-----|
ceusmi stysangrinde	---|--⌫-|-------|-|
renarten adesmieus	-----|-||--|----|
carilade sa pa rt	--|-||-|-|--⌫-|
bruiantet baucentlecengler	------|-|------|-|------|
qu ilo tf et olui	-|-|-⌫|-⌫-||--|
as samb ler	--⌫----⌫--|
etespi narzli hericon s	-|----⌫---|-|-------⌫|
g rinbert sescousi nsli taiso ns	-⌫------|--|-----⌫-|-|-----⌫-|
cilfirentarenart secors	--|-----||-----|-----|
moltenpesaa danbru nlou rs	---|-|---||--|---⌫||--⌫-|
labataill eont aterminee	-|-------⌫|--|--------|
iusq uayy iors sanzdem oree	----⌫||-|---|---|---⌫---|
grinb ertacr eanté molt bien	-----⌫--||--⌫-----|---|---|
neleroitpor nulerien	-|-----|--|---|---|
q u ilnef ac e	-⌫|-|-|-⌫--⌫|
renartcomba tre	-----|-----⌫--|
porlorguelysa ngrina b at re	--||-----|---⌫----|-⌫-⌫--⌫-|
lordittenezu ospes	--|--|----|-⌫-|--|
alés au o sost ieus	----||-⌫-⌫|---⌫---|
cort parti	---|----|
malementontlegeu par ti	-------|--|-|--|---⌫-|
dentrerenart	|----|-----|
etys angrin	-|--⌫-----|
e s toientmal uoisin	-⌫-⌫-----|--|-----|
renartn iertpa sd etelpuissance	-----||---|--⌫|-⌫|--|--------|
comysangrinm esgra nt	--|-------|-⌫-|---⌫-|
a u oitrena rt ensescremie	-⌫-⌫--|----⌫-|-||-------|
por ce otbata illearr amie	--|-|-|----⌫---|---⌫---|
engigneusest	--------|--|
etysang rinfa it grant effors	-|-----⌫--|--⌫-|----|-----|
de l entredeus cesetcourir	-||----|---|-|--|-----|
etbientapir pord escourir	-|---|----|--|-⌫-------|
si c om paignonafairelesse	-|-⌫--⌫------||----|----|
et faire chosequi liplesse	-|----|----|--|-|-----|
tantsestentr emi sdelapra nd re	---||--|----⌫---⌫|-||----⌫--⌫-|
quenusnelenp uetentr epra ndre	--|--|-||-|-⌫--|----⌫----⌫---|
ta ntsest renartdengin s	--⌫-|---|-----||-----⌫|
deluitredecha blesde tors	-|-----|-|---⌫---|-|---|
quantysan grinbaill ierle	----|----⌫---|-----⌫--|-|
lib riseraoubraoucuisse	-|-⌫-----|-|--|-|-----|
e tysang r inentent ael	-⌫|-----⌫-⌫-|-----||-|
g istasonos tel	-⌫--||--|--⌫--|
carel d roit queilasefie	--|-|-⌫---|--|-||-|--|
etren arte nsoncue r	-|---⌫--|-⌫|--|---⌫|
seil espoinsle	-|-|-|----|-|
puetbaillier	---|-------|
forment lecuide	------|-|----|
trauaillier	----------|
uittantquasmainsle tiegne	--|-----|-|----|-|-----|
ilne cuidequa	-|-|----|-||
tens iuie gne	---||---⌫--|
desplaitenso n c orage	-------|-|--⌫|-⌫----|
qu elabatai llet ant	--⌫|-|-----⌫--|-⌫--|
i a ne cuide ueo ir	-⌫|-|----|---⌫-|
que elesoit ta n tli	--|--|---|--⌫-⌫|-|
renartsifu enmolt	-----|-|-|-|---|
grantpaine	----|----|
darmesporquarre lasemaine	|----|--------|-|------|
et y sa ngrin toutensemen t	-|-⌫--⌫----|---|-------⌫|
armesporchaceaso n	----|-------||--⌫|
engra nt pai ne sontde haster	-|---⌫-|---⌫-|---|-|-----|
etenpo rchazde	-|-|--⌫----|-|
la prester	|-⌫------|
sonescue t sautre	--|---|-⌫||----|
a sa faiture	|-|------|
chauces gamba isi es bi en fa itez	------|-----⌫---⌫-|--⌫-|--⌫---|
ensesiambestrait e s	-|--|-----|-----⌫-⌫|
ses escuzes t uermeiltrestoz	--|----|--⌫|------|------|
coterou ge	---|---⌫-|
baston de neff lie ro tbienfe t	-----|-|----⌫---⌫|-⌫|---|--⌫|
b ienfuarm ez au iordouplet	-⌫--|-|---⌫-|-|--|--|---|
n e refumi edesgarn iz	-⌫|---|--⌫|-------⌫-|
r e nart quimain s	-⌫-⌫---|--|----⌫|
a escharnis	|--------|
assezauoi tde bonsamis	----|----⌫|-|---|---|
quipor lui sesont ent rem is	--|--|--|-|---|---⌫---⌫-|
e sleuoutas a	-⌫---|--||-⌫|
acommandéquelenli q uie r e	|--------|--|--|-|-⌫---⌫-⌫|
zzeniotqui futouz ia unes	-|-||-|--|-|---|--⌫---|
en sa cotenotpasyyau nes	-|-|---||-|--|-|--⌫--|
bastonotbon dune au be	-----|-|--||--|--⌫-|
quiestoit bone etenterine	--|-----|---|-|-------|
enluiestoitb i e nenploiez	-|--|-----|-⌫-⌫-⌫|-------|
deco rro iesestoi tliez	-|--⌫---⌫--|-----⌫|---|
dech ief e nchie fiusq	-|--⌫--|-⌫|----⌫|---|
ainsiarm ez aco r tsemet	----|---⌫-||--⌫-⌫|-|--|
estesuo us	----|--⌫-|
alacor tren art	|-|---⌫|---⌫--|
etysangrindel	-|-------|-||
sontensam ble	---|-----⌫--|
fet cequelisamble	--|-|--|-|-----|
renart ne fum ie	-----|-|-|-⌫-|
ainzfurooignieze ttondus	---|-|--------|-⌫|-----|
etbarbe se	-|----|-|
p o rledes daingdeson	-⌫-⌫|-|---⌫----|-|--|
ysangrinl o ten grantdespi t	-------||-⌫|-|----|-----⌫|
cars a f orceprisapetit	--|-⌫|-⌫---|----|----|
daignaoster cheue ul	-----|----|-----⌫-|
mesainz q ueil letiegneas	--|----⌫-⌫-|-|-|-----|-|
seraplusm alades quesains	---|---|-⌫-----|--|----|
ham elinefuen peour	---⌫----|-|-|----|
pordan renart ete n freo ur	--|--|-----|-|-⌫|----⌫-|
q ui estoitbone dameetfranche	-⌫-|-----|---|---|-|------|
pe rcehaie etmalebran ce	--⌫------|-|--------⌫-|
etrouel trestu it li yyfre re	-|----|------⌫-|-|-|---⌫-|
fais oient grantdu el	----⌫----|----|--⌫-|
aueclormereenlo r taisn iere	---|--|---|-|--⌫|-----⌫---|
por r enartfon tadieu proier e	--|-⌫----|---⌫||---|------⌫|
chascunli deprieet	------|-|-----|-|
quile ga risse	-||-|--⌫----|
desonanemilesc rem isse	-|--|----||---⌫---⌫---|
qua n la ba ta ille neperisse	-|-⌫|-|--⌫--⌫---|-|------|
ensil ont fet e n lor	---||--|--|-⌫|--|
fontuersdieuchascunsorois on	---|---|---|------||-----⌫-|
per e qu itantles	---⌫|--⌫|---|--|
quanti llesuoitbiaus	----|-⌫|--|---|----|
her sentpriepor sonseignor	---⌫---|---|--|--|------|
qu e dieusli facet elehonnor	--⌫|----|-|---|-⌫--|-----|
