auiures negarison	|-----|-|------|
pasgraume nt	--|------⌫-|
q u ilti ntconcileeparlement	-⌫|-|--⌫-|------||--------|
tuit iiosterent	---||--------|
ecildessoens de	|--|--|----|-|
elieue sque eliabbe	|-|---⌫---||-|---|
refurenttres tuit mand é	-------|----⌫---|----⌫-|
conseil r eisnableme nt	------|-⌫----------⌫-|
eparleluresgardement	|--|-|--|----------|
doneeasiet leis co uenables	---||----|---|--⌫-------|
edreit uresaestreestables	|-----⌫---||----|-------|
cu mlipoplesfaiteestace	--⌫|-|-----|---||-----|
que li unstortn emal	--|-|--|---|-⌫|--|
quepari uge ment	--|--|-⌫---⌫---|
nenaitsa peineesuntorment	|-|--|-|----||--|------|
paisib leconuersation	------⌫-|-----------|
defeiededi lection	-|--||-|--⌫------|
ueutquilaientq ue ns emblemai nnent	---|-|-|----|-⌫|-⌫--⌫----|---⌫----|
entelse nquela leinenfra ignent	-|--|--⌫|--|-|--||-----⌫-----|
as eglisesfist	-|------|---|
peinem et tre	----|-⌫--⌫--|
dece ose uoutmultentremettre	-|--⌫|-|---|---|----------|
drescierles f ist	-------|--|-⌫--|
ema intericheoure	|--⌫---|----|---|
li beautemplelichertenu	-|---|-----|-|---|---|
quel i paie norentfondu	--|-⌫|----⌫|----|----|
ce usfist res torer erefaire	--⌫-|---|---⌫----||------|
deses curesfuce olamaire	-|--|----|-|--⌫|-|----|
unquesn out bien	-----||--|---|
ioienepa iz	---|-|--⌫-|
fulimes tiers deufaiz	-|-|---⌫----|--|---|
genzsainte	---|-----|
d e religion	-⌫|-------|
d ebona fair eedebonno n	-⌫|--|-⌫----⌫||-|--|--⌫|
uisitae u ituolent ier s	-----||-⌫-|------⌫---⌫|
e clersam a e mult tint chers	|----|--⌫||---|---|----|
s adignite e saiusti se	-⌫|------||-|-----⌫-|
uo ut qu eustpartotsain teg lise	--⌫-|-|---|--|--|----⌫|--⌫---|
ascitez furent liui la i n	-|----|-----|-|--⌫--⌫-⌫|
e li our er	|-|---⌫-|
asmurs r ef airee afermer	-|---|-⌫--⌫---||------|
eas granzdouesrecourer	|-|----|----|-------|
asriche s porta useast ur s	-|-----⌫|-----⌫-||-|-⌫--⌫|
ler egne fistp lusurs	-|-⌫---|---|-⌫-----|
sirefirent illibaron	-|-------|-|-|----|
tanterich ede f ension	----|----⌫|--⌫-⌫-----|
quesempres	--|------|
furentlescontree s	-----|--|-------⌫|
forze riche sebien fe rmees	---||-----⌫||---|--⌫----|
enbretaigne raue itbretons	-|--------|----⌫-|------|
richeshomesmulte felo ns	-----|----|---||----⌫-|
c eus alamatere pleissier	-⌫--|--|----||--------|
quesenzorguil	--|---|-----|
l e seruirentpuisaluruie s	-⌫|--------|---||--|---⌫|
des riches r entes est ablies	--|-----|-⌫----|---⌫-----|
uiured e celpa is	----|-⌫|--|--⌫-|
el argitantasesamis	--⌫---|---||--|---|
queuiureenp orentnoblement	--|----|-|-⌫----|--------|
e isiensustinttantsagent	-⌫--|-|------|---|-|---|
q uelur terresfur ent	-⌫-|--|-----|---⌫--|
c harg anz	-⌫----⌫--|
epleinteiueser endanz	|----------||-⌫-----|
e querefuli gaaignages	|--|---|-|---------|
faiz parles terre sgranzetlarge s	---|--|--|-----⌫|----|-|-----⌫|
quant liduxouttot	----|-|--|--|--|
ache f t rait	|---⌫|-⌫---|
eisicumieouosa i re t rait	---|--|--|--|-⌫|--⌫-⌫---|
ref istpar tutsu nban crier	---⌫--|--|--|--⌫|--|----|
eentrediree deueer	|--------||-----|
que lerresne	--|-----|-|
fu stconsentuz	--⌫-|--------|
e ste itaperceuz	-⌫---⌫-|-------|
que ce leznefust	--|--⌫--|-|---|
apresrafaitautrede uise	----|-|---|----|--⌫---|
quenuls nulleude su nlab or	--|---|--|--|-|--⌫|---⌫-|
uil auraesté	|-|---|----|
s oc necul tre nen ostnem o ue	-⌫-|-|---⌫--||-|--|-|-⌫-⌫-|
se embl e zensunt	-|----⌫-⌫|-|---|
il lir estorrerasenzfaille	-|-|-⌫--------|---|-----|
quicheua usa snes ualmai lle	--|-----⌫-|-⌫---||-----⌫--|
aura elchampsislaistleior	---|-|----|-||----|-|--|
senz garde nule depastor	---|----|---|-|-----|
del perdre p o ur ne dut e	-||-----|-⌫-⌫-|-|---⌫|
eisi assie t saterretute	---|-----⌫|-|----|---|
tuz lipopl es s iasseure	--|-|----⌫-|||------|
quatuz f aitraisun ed reiture	-||--|-⌫--|-----||-⌫------|
pur ledeuepurlent redit	--|-|---|--||---⌫----|
quei eo uosaicontéedi t	--|-⌫-|--|-|-----||--⌫|
oute nsaa reedegerpi z	--|-⌫|-|-⌫--|-------⌫|
u nsg aaignerresses ustilz	-⌫-|-⌫---------|--|-----|
asama iso nsal adisne r	|-|--⌫---⌫||--⌫|-----⌫|
osa odse iporter	--|-|--⌫|-----|
pu rle deuie quelom ne	--⌫|-|----|--|--|-|
necorrei e	-|------⌫|
quant laf emmeu itsonse ignor	----|-|-⌫---|-⌫-|--|--⌫----|
sirepa irerde son labor	-|----⌫---|-|--|----|
s enzses uist il z multfumarri e	-⌫--|--|----⌫--⌫|---|-|-----⌫|
ameru eilles len	|----⌫-----||-|
contra lie	------⌫--|
tencenoisegrantplaitdemaine	----|----|----|----|------|
lebonhometientengrantpeine	-|--|---|----|-|----|----|
irieep le in e detorment	---||-⌫--⌫--⌫|-|------|
lou tla idilongeme nt	|--⌫|--⌫--|-------⌫-|
a mangie rli done amalaise	|------⌫|-|---||--|---|
karnepotestr eque lese	--|-|--|----⌫|-|-⌫-|-|
desleiplei ne	-----|----⌫-|
me ttra sel epoett raui l epeine	--⌫---||--⌫|---|-⌫----⌫||----|
c um cillip rosdoemsi sm arriz	-⌫-|--|-|-⌫------|--⌫|-⌫----|
neseitiamaisse urs ne fiz	-|---|-----|--⌫--|-|--|
d e lais sier i riena pressei	-⌫|----⌫---||---|-⌫---|--|
mettre lenuolt	-----||-|---|
engranteffrei	-|----|-----|
tut areposteac elee	--||-----|||-⌫---|
a la dre i tement e n	-⌫-|---⌫-⌫-----|-⌫|
nilaisseoistil	||-----|-----|
ne ferrem e nt	-|------⌫-⌫-|
neles correiesens ement	-|--|-------|---⌫----|
ostéen at utepo rté	----|-||-⌫-||--⌫---|
quantli ui lains	----|-|--⌫----|
sefu disné	-|-|-----|
as cha nsreuait son	-|---⌫-|-----|--|
l abor faire	-⌫---|----|
maisdonc outmul tdole co ntraire	---|---|--|---⌫|--||--⌫------|
quantnetrouasesapareilz	----|-|----|--|-------|
tristesemarrizedestreiz	------||-----||-------|
senesta rie rerepairi ez	|-|--|-⌫---⌫-|-------⌫-|
i lsilaidengiez	-⌫|-|---------|
que rie nsne luo ssaureit retraire	--|---⌫-|-||--⌫|------|-------|
uilainfaiteled e malair e	-----|---|--|-⌫|--|---⌫|
enputreseenpoz	-------||----|
ne s untor pas	-|-⌫--|-|--|
lioistilnoz	-|-----|--|
porlema u uaisdeuoscostez	--|-|--⌫-⌫---|-|--|-----|
lesaorautreenportez	--||-|----|-------|
la perescequiest enuos	-|------|--|--|-|--|
nos enfer aor	--|-|---⌫|-|
soffra i tos	------⌫-⌫--|
ceo u osestbelkar	--|-⌫-|--|--|--|
forsdepeine	---|-|----|
enserrez mais c este sem aine	-|-----|---|-⌫---|---⌫---|
a uostresbien	|--|---|---|
en m auueisir	-|-⌫-------|
ne coue ndreit p a sgranzleisi r	-|----⌫-----|-⌫-⌫|----|-----⌫|
seuosnefu iss ezs imalestruz	-|--|-|--⌫---⌫-|-⌫|--------|
ne fus sentormieperduz	-|---⌫---|-|--|-----|
k ar homesagesneueziez	-⌫-|---|----|-|-----|
nesi eustmiela i ssiez	|-||---|--|--⌫-⌫----|
enporrezgesiras denz	-|-----|----|-|---|
malegoteuos	---|---|--|
seitesdenz	---|-|---|
queael nauriéuos	--||-||-----|--|
fait i l auersier	---|-⌫|-------|
lairr asmeiori a m ais ester	-----⌫-|--|-|-⌫-⌫-⌫--|----|
dun noistu	--||--|-|
ele d eu ie e	|-|-⌫--⌫-||
e queuoustudoncque ieoface	|--|---|-|---|--|--|---|
ueus tu que	---|-|--|
ieo m efacepr endre	--|-⌫|---|--⌫----|
trench erle	------⌫-|-|
pi edes faireupen dre	--⌫|---⌫----||---⌫--|
sascomand emenzestab l iz	|-|------⌫----|-----⌫-⌫-|
qui par totsuntcrieze	--|--|--|---|----||
enchaeie sifaitement	-------|-|--------|
enserreit deffen de me nt	-|------|------⌫--⌫--⌫-|
serreit riensqui fustnee	------|----|--|---|--|
tuzior z s errasfemmedesuee	--|---⌫|-⌫----|----|-----|
roufaitel euilaindolent	--|---|--⌫|-----|-----|
pur lesp arolesde lag ent	--|--|-⌫-----|-|-|-⌫--|
so s laisseriezen damagier	|-⌫|---------|--⌫-------|
ua illantdunsolde ner	--⌫-----||-|--|--⌫--|
n ose nfereient	|-|-⌫|-------|
cer t esuosmoureizoicestior	---⌫-⌫-|--|------|-|---|--|
au d uc uos en	-|-⌫-|--|-|
couientaler	------|---|
cestouraigne diree cun ter	---|-------|---||---⌫--|
cestd amagee	---|-⌫----||
siu erro m	-|-⌫----⌫|
cu m faitreturnos	--⌫|---|----|--|
nequelamendecesteen	-|---|-----|----|-|
ainzquemaisod	------|---|-|
uosmed espo i l	--|-|-⌫----⌫-⌫|
ferai cherespanir	----|---|------|
serre z al repen tir	-----⌫|-|-----⌫--|
femmequi sedesleie	----|--|-|------|
s est liuilainmisala	|--|-|-----|--||-|
uientalproz alsage	----|-|---|-|---|
silireconte sondamage	-|-|------|--|-----|
sapertee tutle la rreci n	-|----||--|-|--⌫-----⌫|
maisne lensaitn omerue isin	---|-||-|---|-⌫---|--⌫---|
queai t lou re fa iteemeue	--|--⌫||--⌫-|--⌫--||---|
tutlapareil de sa charue	--||------|-|-|-----|
embléceo liretr ait	-----|--|-|----⌫--|
ent ient autre plait	-|-⌫---|----|----|
ma isu nprouostfistapeler	--⌫-|-⌫|------|---|-----|
sil iafai t cinc so uzdoner	-|-⌫||---⌫|---|--⌫-|----|
dunt restorerpussesaperte	---|-------|----|-|----|
fistleelacuiluer te	---|--|-|-------⌫-|
quant sou tquet eusertsisbaraz	----|---⌫|--|-⌫--|--|--|----|
e sisenginz esis purchaz	|--|-----||--|------|
cin c souzerentsaisi z	---⌫|---|----|-----⌫|
ma isdunechoseseientfiz	--⌫-||--|----|-----|--|
quesi l orne	--|-|-⌫-|-|
remaindront mie	----------|--|
silidux siet	-|-|--|---|
latricherie	-|--------|
escharnisu n t ie l sai deueir	-------|--⌫-⌫|-||--|-|---|
n ai nznepuet	|--⌫-|-|---|
pas remaneir	--|-------|
ces tdeceo	|--⌫|-|--|
qu il pasnesoblie	-|-|--|-||----|
kar al pr euost dela baillie	--|-|--⌫----|-|-|------|
asursesm embr escomandé	|--|--|-⌫----⌫-|-------|
quaceusde la ueisinte	-||---|-|-|-------|
fust lachose cerch ee equise	---|-|----|-----⌫-||----|
fuissent m isaiuise	-------|-⌫-||----|
eisiepart el iugement	---||--|-⌫-|-------|
enfust tant	-|---|---|
faitl enqu erement	---||----⌫------|
q uelifurs fustaconseuz	-⌫-|-|---|---|-------|
etroueze aperceuz	|-----||-------|
ceus d euconuersdelauiron	---|-⌫-|------|-||-----|
dunt lo mp outaueirsuspecon	---|--⌫|-⌫--|----|-------|
a fait uenire	|---|----||
lachoselor f a itdemander	-|----|--|-⌫-⌫-|-------|
apres iurent	----|-----|
n en su ntfator	|-|--⌫-|----|
ne conse ntan t neceleor	-|-----⌫----⌫|-|-----|
parfeu port antles en assaie	--|--|----⌫--|--|-|-----|
autre manaie	----|-----|
n autr emerc iquien	|----⌫|----⌫|--|-|
fust q uise	---|-⌫---|
maisne na nul	---||-⌫||--|
prisl e iuise	---|-⌫|----|
ceofus t pecche zdolorsemaus	--|---⌫|------⌫|-----||---|
kar quitesenerentesa us	--|-----|-|----||--⌫-|
lipreuost tu t enapert	-|------|--⌫|-|----|
dite retr ait al du cr obert	--||----⌫--|-|--⌫|-⌫----|
quideucor re	--|--|---⌫-|
nesamole i e	-||-----⌫-⌫|
purlarceuesque	--||---------|
fr anqueenueie	--⌫----|-----|
parfeifait ilr esazier	--|--|---|-|-⌫------|
neme pui spasd emerueillier	-|-|---⌫|--|-⌫|----------|
deudeudecrestientez sire	--|--|-|----------|---|
purquiieorecuibapt estir e	--|--|--|----|----⌫-----⌫|
silestdecest	|-|--|-|---|
fu rtco noissant	--⌫-|--⌫-------|
q uil aquil fistqui nes t	-⌫-|||--||---|--||--⌫|
quede itquod feusa intefié	--|--⌫-|-|-|--|--⌫-------|
en sunseintnong lorifié	-|--|----|--|-⌫-------|
nedemust requ i ce oafait	-|------⌫-|--⌫|--⌫||---|
sachezde ueir multm e n	-----|-|---|---||-⌫|
fra nque srespunt chersd uxamis	---⌫----⌫|------|----|-⌫-|---|
dece on eseeziado tis	-|--⌫|-⌫|---|-|--⌫--|
ni ertiaac elsnu isables	|-⌫--|-||-⌫--|--⌫------|
quiforfaitnen	--|------||-|
sunt ne cupables	---|-|-------|
s achezunalfeun adessere nt	-⌫----|-|-|--||--------⌫-|
u ncoreci l quila	-⌫----|--⌫|--|-|
choseem ble rent	----|--⌫---⌫---|
iasipoi ni adesserunt	-|-|--|||---------|
quemaintenant	--|---------|
aparistrunt	----------|
fausquidco pable	---|---|--⌫----|
e parioré	|-------|
lidu xcoma n dé	-|--⌫|----⌫-⌫--|
que trest ot liabiteor	--|-----⌫-|-|------|
auirondiloc	-----||---|
des paroissese	--|--------||
desmaisniz	--|------|
edepart uzlesplasseiz	|-|--|-⌫-|--|-------|
se in tmandénul niremaigne	--⌫--⌫|-----|--|||-------|
alpreuostne	-|------|-|
sen fa i gn e	|-|--⌫-⌫--⌫|
e l non deihesu	-⌫|--|-|----|
qu elifeuseitsaintefiez	--⌫|-|--|---|---------|
uceoseient quis ecerchié	|--|-----|---||-------|
cilqui ceuntfai tepechié	--|--|-|--|---⌫||------|
multuoild eus f acedemostrance	---|---|-⌫--|-⌫--|----------|
decelsquiceo	-|---|--|--|
senz tarianc e	---|-------⌫|
d equa nqu i l	-⌫|---⌫--|-⌫|
aue it comand e ́	---⌫-|------⌫-⌫|
fu tos tfaite s a u olente	-|---⌫|----|-⌫|-⌫-----|
erenunci é co m es t	|-------⌫-|-||--⌫|
quene n untnu l trouérepris	--|--⌫|--|--⌫|-----|-----|
lidux senznul autr ese iur	-|--|---|--|----⌫|--⌫--|
t rametpurlegaaigne or	-⌫----|--|-|-------⌫-|
duncli enquertneliceilt mie	---|-|------|-|-|----|--|
tutelaueriteliendie	---|-|-----|-|-|--|
aquiillaissaenla ree	|--|-|-----|-||-⌫--|
quillie stemblee	--|--|-⌫-|-----|
dieenuei r	--|-|---⌫|
quiil les laissa	--|-|--|-----|
nesa u eirquipuis i al a	-|--⌫-⌫--|--|---||--⌫|
hom respontmoiss or	--|------||----⌫-|
suipasme nt eor	--|--|--⌫--⌫--|
adunclali duxapelee	----|||-|--|-----|
s eit meifait ill ourec ontee	-⌫--|--|---|-||---|-⌫----|
quea stufait decel	--|-⌫|-|---|-|--|
quetu emblas	--|-|-----|
ouest lisocse lescureies	-|--|-|---||--|------|
garde quetostlem erecrei es	----|--|---|-|-⌫|------⌫-|
celeneiasen zriengehir	---|---|---⌫|---|----|
unques ne liuoutdescourir	-----|-|-|---|--------|
aduncf u longem entbatue	----|-⌫|------⌫--|----|
tantquel a cho se	------|-⌫|---⌫-|
edes couer t	|---⌫-----⌫|
tot eretrait	--||------|
saueirpur quele lauei t	-----|--|-|--||----⌫|
dunc dis tlidux ason mari	---|---⌫|-|--||--|---|
enseitf ait ilmenti	-|---|-⌫--|-|----|
sa u eiest u	--⌫-⌫---|-⌫|
quetrich eresse	--|-----⌫-----|
fust tafemmen elarone sse	---|-|----|-⌫|------⌫--|
sa ueieslatucustumiere	--⌫----|-|-|---------|
d e mb lernule	|-⌫--⌫--|---|
rie n denariere	---⌫||-|-----|
oilsire bien par mafei	--|---|---|--|-|--|
mais unc n el	---|--|-⌫||
uoultl aisserpurmei	----|-⌫-----|--|--|
sez fait lidux	--|---|-|--|
ies dampn ez	--|-----⌫-|
pardous ma nieresdedecrez	--|---|--⌫-----|-|-----|
lunq uechef esde tamuillier	|-|-⌫-|---|-|-|-|-------|
sileusses ac hastie r	-||-----||-⌫------⌫|
de telour edeteldeslei	-|--|---⌫|-|--|-----|
bien ledeustlaissierpurte i	---|-|----|-------|--|--⌫|
elautrequantle	||----|----|-|
furtsaueies	---|------|
quetu de rien lencon senteies	--|-|-|---||-|---⌫-------|
ep ur ceoten estot	|-⌫-|--||-|----|
ne uous isd esco urir	-|----⌫-|-⌫----⌫---|
autresifaitilfau teeforce	------|---|-|---⌫-||----|
quitie n t l e piecumquiescorc e	--|---⌫-⌫|-⌫|--|--|--|------⌫|
parconie rs e s d esundeslei	--------⌫-|-⌫|-⌫|--|-----|
si n uoil quo mpen de liete i	-||---|-|-⌫|---⌫-|-||--⌫|
eissi lorfistlesoilzbender	----|--|---|--|---|-----|
ea forches enhautleuer	||------|-|---|----|
decr u elmort lesfist morir	-|--⌫-⌫-|---|--|---|----|
ei ust iseten ir	|-⌫---⌫--|---⌫-|
c espoental estricheors	|-------|-⌫-|--------|
elesdeceue o rs	|--|------⌫-⌫-|
n ioserentrienpu isembler	||------|---|--⌫-|-----|
par l ater re peustal er	--|-⌫|---⌫-|----|--⌫-|
charg iezdebesanz	-----⌫--|-|-----|
de io r zsiluousist	-|--⌫-⌫||-|------|
seuremen t ia netrouas t	--------⌫|-|-|------⌫|
quip armau r e spit l a desa st	--|-⌫-|--|-⌫-⌫---||-⌫----⌫-|
laterreest eit	-|----|---⌫--|
chambree palais	------||-----|
por tenircu itee epais	--|----|--⌫---||---|
ouresquimultde u reintplaire	----|--|---|--⌫-⌫----|-----|
be lesedi gnes der et raire	--⌫--||--⌫---|-|-⌫--⌫----|
fistliduxseusne	---|-|--||--|-|
s unte scrites	-⌫--|-⌫------|
tantquineuosserre i ent dites	---|--|-|--|-----⌫-⌫--|----|
maisen fist	---|-|---|
por esprouer	--|-------|
qui multf ait b ien	--|---|-⌫--|-⌫--|
areconte r	|-------⌫|
sa ueirqu e upa iz queuquitee	--⌫---|--⌫-⌫|--⌫-|---|-----|
unt l eschoses d esonregne	--|-⌫-|-----|-⌫|--|----|
cumfaiteseurt eiunt	--|----|-----⌫||--|
cilquiparmila t erre	--|--|----|-|-⌫---|
si agairesdes embleors	-||-----|--|-------|
desl arronsn edescinsneors	--|-⌫-----|-⌫|--|--------|
oie zcumenti llespr oua	---⌫|-----|-⌫||----⌫--|
tantc um li si e cles maisdura	---|-⌫-|-|--⌫-⌫---|---|---|
ne seranulsh omq uicen	-|---|---|-⌫-|-⌫-|--|
unioresteital é	-|--|-----|--⌫-|
roemenboissu s seigne	---|-|---|--⌫|-----|
eis icuml estorie menseigne	---⌫|--||------||-------|
surunema reen un beauleu	--|--|--⌫-|-|-|---|--|
orentsunman g erprestli queu	----|--|---⌫-⌫-|----|-|---|
a sun d isn er li dux	|--|-⌫---⌫-|-|--|
esagentod lui tutle	|-|---|-|--|--|-|
multeni out	---|-||--|
ceosuilisanz	--|--|-----|
de mai nzplusorsdiu erssemblanz	-|---⌫-|------|---⌫--|-------|
lasasistren tla	-||--------⌫|-|
untma ngé	--|--⌫---|
ioiosee lie	----|||--|
oiezcumf aitespeiriment	---|--|-⌫--|----------|
lidux uean ts agen t	-|--|----⌫|-⌫|---⌫|
ses armill esquom	--|------⌫-|-|-|
bous apele	---|----|
od odurep reciosee bele	-|----|-⌫------||---|
doredepierresgrantegent	|-||-|------|----||---|
qui ualeientmaint m arc	--|-------|----|-⌫--|
laissa enun chaisnependuz	-----|-|-|------|-----|
ei siquetuitlesuntueuz	--⌫-|--|---|--|--|---|
n iaconseilderemanei r	|||------|-|-------⌫|
parforceeparuif estoue ir	--|----||--|--|------⌫-|
mestotamununcl e aler	|----||--|----⌫|---|
n ulautre e sc a rdnisaitrouer	-⌫-|----|-⌫--⌫-⌫-|||--|-----|
b e rnartle conte desain tliz	-⌫-⌫----|-|----|-|----⌫|--|
cil m eferacumasonfi z	--|-⌫|---|--||--|--⌫|
ciluei tmonortante mon p ru	--|---⌫||---|---||--|-⌫-|
c umuncl edeitasonneuou	-⌫-|----⌫|---||--|----|
o dluiseraitresqua cel	-⌫|--|----|-----||--|
quiiai equ isgentq u imesecure	--||--⌫|--⌫-|---|-⌫-⌫|-|-----|
parsun c onseileparsaie	--|--|-⌫-----||--||--|
quid sirentrerennormen die	---|-|------|-|------⌫--|
qu etozceu smetrai adolor	--⌫|--|---⌫|-----||----|
qui uersmei	--|---|--|
isunttraitor	|---|------|
lost defranc eferai	|--|-|-----⌫|----|
poreusmorteument	--|--|---------|
d elautr edeseure r	-⌫||----⌫|-------⌫|
prendre es c orchi eredes menbrer	------|--⌫-⌫-----⌫-||---⌫------|
de eus e de totelorli gne e	-|--||-|---|--|--⌫---⌫|
seralater rees neiee	---|-|---⌫-|--⌫----|
s isenzdo tan c e	-⌫|---|--⌫---⌫-⌫|
ianiertmais d eus faitremenbranc e	-||---|---||--|---|----------⌫|
neni remai ndra lemeno r	-|||-----⌫---|-|----⌫|
desleiécui luerttrait or	-------|---⌫----|-----⌫-|
quiuitmaisce osenznul	--|--|---|--⌫|---|--|
queloreussedit nefait	--|--|----|--|-|---|
mesunteisir eue itsan glent	-|---|---|-⌫---⌫-|---⌫----|
ehainosemauuoillent	|-----||----------|
suntl oinz depai zaue ir	---|-⌫---|-|---⌫|---⌫-|
m endonelepoeir	|-|---|-|----|
b ernartresp o nd i	-⌫-----|----⌫-⌫--⌫|
iam ar si nosen d ir ez	-|-⌫-|-|--|-|-⌫--⌫-|
ne uole zpas	-|----⌫|--|
celernefaindre	----|-|------|
aqueilom potauosat eind re	|---|--|--||--|--⌫----⌫-|
tuitpet it et	---|---⌫-|-|
quel quoraueze	---|---|---||
queltalan t	---|-----⌫|
desorconoissentu ostre esforz	--|-|---------|-⌫----|-----|
assez estmorz	----|--|---|
si enfra nc eten uous aler	-|-|---⌫--⌫||-|---|---|
celne tepoum pasueer	--|-|-|---|--|---|
esez cu mbiennostesiuueron	|--|--⌫----|--|-|-------|
de ciqualfluie deet te	--⌫---|-|----|-|--⌫-|
nedurraplus	-|----|---|
nostre conuei	-----|-----|
neplein pasn	-|----|--||
iromplus o d	---|---|-⌫|
kartui tse u entp etitet g rant	--|---⌫|--⌫-⌫--|-⌫---|-|-⌫---|
quodroutonpere	-|-|--|--|---|
leu ai llant	-|-⌫--⌫----|
noscombatimesod franceis	--|---------|-|-------|
nequ a nz anz nequa nz meis	-|--⌫-⌫-|--|-|---⌫-|---|
ma isg rant damage slor feimes	--⌫-|-⌫---|------⌫|--|-----|
emaint homelor	|----|---|--|
duntun cor uiue ntles	---|--⌫--|----⌫-|--|
eles parenzeles maisnee s	|--|-----||--|-------⌫|
u ncle n euofize cosin	-⌫---|-⌫--|--||----|
cistno sse rreientmau ue isin	---|--⌫|--⌫------|--|--⌫---|
si enlurterre nost enei ent	-|-|--|----|--|-⌫----⌫--|
sen z fail leuilnos occir eient	---⌫|----⌫-||-|--|-----⌫----|
u chaitifnostendreie ntpris	|------|--|--------⌫-|---|
de sq ui e ss ir ecre anz	--⌫--⌫|-⌫-⌫|-⌫|-⌫----⌫--|
ques trangeloinzenrepr ouier	-|--⌫-----|----|-|----⌫----|
ue uzmie lzuiure	--⌫-|---⌫-|----|
d autrui quartier	|-----|-------|
hunizeschard a utrescuraille	----|-----||-⌫----|-------|
quodesfor zdar mesnodbataille	-|-|-----⌫||--⌫--||-|-------|
tunri ch e regned eliurer	--|--⌫--⌫|----|-⌫------|
e defendre ego ue rner	|-------||--⌫--⌫---|
faillizdequorcemestauis	------|-|---|-||--|---|
uos l aissal oncon q uis	--|-⌫----|-⌫-|---⌫-⌫--|
uostol ent traitu r	--|---⌫--|------⌫|
quinesuntrei nempe reor	--|-|---|--||----⌫---|
sinime tezautreco ntent	-|||--⌫--|----|--⌫----|
neuost rebrantn	-|----⌫-|----||
en er tsanglent	-|--⌫|-------|
neu ostre escuzsaisi z p a ruos	-|-⌫----|----|-----⌫|-⌫-⌫|--|
multdeiuent	---|------|
cilestre ioios	--|----|----|
qui enuos aueient	--|-|--|------|
orn i aplusquelnepoum	-||||---|-|-|-|---|
neieon etuitmic ompaignon	-|--|-⌫|---|-|-⌫--------|
n equerompaso dteialer	-⌫|-----|--|-⌫|--|---|
quai nceisnosmetronenla mer	-|--⌫----|--|-----|-|-|--|
si retornerom	-|---------|
enn oz co ntrees	-|-⌫-|--⌫-----|
qui pasn e nosserr untu ees	--|--|-⌫|--|----⌫--|-⌫--|
c ie rtp a r s ofr aite	|--⌫-|-⌫-⌫|-⌫---⌫---|
nez senzualor eff eminé	--|---|----|---⌫-----|
nospoe z garantir	--|---⌫|-------|
equi aue zdote demorir	|--|---⌫|---|-|----|
contr esi faite	-----⌫|-|----|
nesuntci s tuostretraitor	-|---|--⌫-⌫|-----|------|
u oslosissiez emprendre	-⌫-||-------|--------|
quil uososassentsol atendre	-|-|--|-------|--|------|
n enalmaispre sestde u erg oine	-⌫---|---|---⌫|--|-|-⌫---⌫---|
qu ie nm a uueiseirmetsa	--⌫|-⌫|-⌫-⌫----|--|--|-|
li duxxmotce s	-|--|-|-|--⌫|
blastenges	---------|
ces rep r och ese ceslaidenge s	--|---⌫-⌫---⌫-||--|--------⌫|
sil ertiriezaumunt poii er	|-|--|----|-|---|----⌫-|
or niparoutqueco ruci e r	-|||-----|--|--⌫----⌫-⌫|
oiant u i l ainsoiant	----|-⌫-⌫-⌫---|----|
respondibernartal daneis	-------|------|-|-----|
siqueli princee li	----|-|-----||-|
enorentpit ie edolor	-|----|---⌫-||----|
bernartfait iltort enau ez	------|---|-|---|-|--⌫-|
duntsilai d ement meb las mez	---|-|---⌫-⌫----|-|-⌫---⌫--|
la fai llede c has cu n parsei	-|---⌫--|-|-⌫---⌫--⌫|--|--|
au e ztutatornésor mei	--⌫-⌫|--|------|--|--|
purqu ant nia rienfaitn en pris	-----⌫--||||---|---||--⌫---|
d unt atoz naie conseil quis	-⌫--||--||--|------|---|
ia celqueiasenuant	||--|--|-||-|---|
neu nsoliasentraieau ant	-|-⌫|--|-||-|----|--⌫--|
quidie ieuo sensemons	--|--|-|--⌫|-|-----|
ainztoz pens iset to z	---|--|----⌫-|-|--⌫|
en untesté	-|--|----|
tuitlimeillor	---|-|------|
karc on treundeeusuntset des	--|-⌫--⌫--|-|-|--|--|--|--|
s ilmeeust	|-|-|---|
est éconseillé	---⌫-|---------|
ese ilm en	|-|-||-|
eussentaid ié	------|---⌫--|
ci t echalo ngee	--⌫-⌫|-----⌫---|
e ma i nteal m ede corssach ee	|--⌫-⌫--|--⌫-⌫|-|---|----⌫-|
karen mei ne r emistil mie	--|-|--|-|-⌫----|-|--|
maisniaura ia	---|||---|-|
prezda ler	---||-⌫--|
nesolne puis ieocumencier	-|--|-|---|--|--------|
bernart abraztotenoiance	------||---|--|-|-----|
mauezdi thontee	|---|--⌫|----||
qui senz ualor eff eminé	--|---|----|---⌫-----|
m auezoianttuz apelé	|---|----|--|-----|
m auueisdarmese neientage	-⌫-----||----||--------|
au ezgardéparage	--⌫-|-----|-----|
maiss achiéttantenauezd it	---|-⌫------|---|-|---|-⌫-|
a cena mais nul contredit	|-|||---|--|--------|
ainzlesirai	---|--|---|
sulenu air	--|---⌫--|
c ene mep otr ien sdestolir	-⌫|-|-|-⌫-|-⌫---⌫|-------|
quensancuermeil nibaingeteign e	-|-|---|------|||----||-----⌫|
le fer dema lanceemenseigne	-|--|-|-|----|||-------|
nedireziaque	-|----|-|--|
