Che stleuiedesainte	-|-⌫-|-|--|-|-----|
pooi entdeg entpourluicontredi r el	----⌫--|-|-⌫--|---|--|--------⌫-⌫||
entreede son regne	-----|-|--|----|
Clodo uius rechut amout lie chie re lesmessai g essef eme	-----⌫---|-----||---|--|----⌫-|--|------⌫-⌫-|-|-⌫--|
et moutle uren quist	-|---|--⌫-|--⌫----|
de lestatle roineetde	-||----|-|----|-|-|
sesenf ans etdel est atdel roi aume	--|---⌫--|-|-||---⌫-|--|---⌫---|
E t quant i leutaprisuraiesnouu e lesde	-⌫|----|-⌫|--|----|-----|----⌫-⌫--|-|
qu ilauo ient encarkie ́	-|-|---⌫---|--------⌫|
etcomment i l	-|------|-⌫|
auoientfermésca stiaus	------|------|--⌫-----|
par laouildeu oit en treren son	--|-|-|-|---⌫--|--⌫---|-|--|
re gnesien	--⌫--|-|-|
fucorec hi e ́se t tor ment és en soncoraigeeta pe laa	-|-----⌫--⌫-⌫-|-⌫|---⌫----⌫--|-|--|------|-|-⌫--⌫-||
lu il esme ssaigeset t ousciaxdeson	--⌫|-⌫-|--⌫------|-|-⌫--|---|-|--|
co nseiletleurdemandaenquele	--⌫----|-|---|------|-|----|
maniereilleconseiller o ient seu r ces cose s	------|-|-|----------⌫-⌫---|---⌫|--|----⌫|
Cil furentmoutlongue ment	--|-----|---|------⌫---|
con se iletquanti l	---⌫--⌫-|-|----|-⌫|
e urentbi en regardé comment sienfant	-⌫----|--⌫-|-------|------|-|-----|
auoientque parf orcheq ue	------|--|--|-⌫----|-⌫-|
pardonstoutleregne sousmis	--|---|---|-|----|------|
aleurpooirsidisentau r oi	|---|----|-|-----|-|-⌫-|
quilne lisauoientc onsel doner	-|-|-|-|-------|-⌫----|----|
for stantqu ilmeisttoutsonafair een	---⌫|---|-|-|----|---|--|-----⌫|-|
Sei gneurquinulefois ne	---⌫----|--|---|---|-|
defautachiaus	-----||-----|
quienl uiont leur	--|-|-⌫-|--|---|
esperanche	---------|
Lirois setintbien a leur c onsseil et	-|---|-|---|---||---|-⌫------|-|
sim ist toutes e sper an che e lroi	-|-⌫--|----||-⌫----⌫--⌫--|-⌫|--|
etc reich ertai nnementqu il	-|-⌫--|--⌫-----⌫------|-|-|
re couuerroi ttoutso nregneparlepoissanc hede	--⌫---------⌫|---|--⌫|----|--|-|--------⌫-|-|
Dieus eulement ete ut	---|-⌫-------|-|-⌫-|
moutgrantfianche quelesorisons	---|----|------|--|--|------|
se feme li	-|---|-|
ai deroientmout	--⌫-------|---|
Etporchequilnesamblastquil	-|--|--|-|-|-|-------|-|-|
uoussi stsesenfans	------⌫-|--|-----|
u aintrepa rorg uelet parbeuban	-⌫-----|--⌫|---⌫--|-|--|-----|
senuoiaa ses en fansses m essaigesetleurmanda	|-----||--|--⌫---|--|-⌫-------|-|---|----|
moutde bonairementquepou rlepietéet lamor	---|--⌫----------|--|---⌫|-|-----|-||---|
doitauoi r	---|----⌫|
a pereeta mere	|---|-||---|
etpourc heme ismes	-|---|-⌫-|--⌫----|
quilneneussent re proche	-|-||-|------|--⌫-----|
atousi ours quils e	|---|-⌫---|-|-|-⌫|
repentissentdeleurfol ie etquille recheusse n tel	-----------|-|---|---⌫-|-|-|-|-|---------⌫-⌫|-|
regnesico mmeenfant doiue nt	----|-|--⌫--|-----|-----⌫-|
reche uoirpere	-----⌫---|---|
Etporchequ	-|--|--|-|
ilneussentpeeu rde ue nir asam er chi	-||------|----⌫|-|--⌫--||-|-⌫--⌫--|
sileur mandaquen estmiem erueille	-|---|----|--||--|--|-⌫-------|
s onmesprent maisch est	|-|-------|---|-|--|
merueille q uantonneseui eltde so nmesfa itr ep entir	--------|-⌫---|-|-|-|--⌫--|-|--⌫|-----⌫-|-⌫--⌫----|
Quan tlimessaiger	----⌫|-|--------|
euren tdit ase nfensle	-----⌫|--|-|-⌫----|-|
messaige le roi leurpereoi ant tousles haus hom e s	-------|-|--|---|---|--⌫--|---|--|---|---⌫-⌫|
quii estoient tout aussi	--||-------|---|----|
comm e lis erpensestoupeses	----⌫|-|-⌫-----|------|--|
oreil lesdes ekeue q ueli enca nterre sn e	-----⌫--|-|-⌫|---|-⌫-|-|----⌫------⌫|-⌫|
le puistencanter totau ssiest oupere ntcil	-|----|-------|--|--⌫--|---⌫------⌫-|--|
leurcueret	---|---|-|
leursor ei llescontre lemande m entet lepr ierede	----|--⌫--⌫---|-----|-|-----⌫-⌫--|-|-|--⌫---|-|
leurpereetrespondirenttout sansconseil	---|---|-|-----------|---|---|------|
q u iln auoient p oin td epe re etq ueia	-⌫|-||------|-⌫---⌫|-⌫|--⌫-|-|-⌫-|-|
lecoronne delregne	-|------|--|----|
t olueneleurse roitse par	-⌫---|-|---|--⌫---|-|--|
a rmes et a	-⌫---|-||
N ule a utr e amo r nautrebontélimessaige ne	-⌫--|-⌫---⌫|---⌫||----|-----|-|-------|-|
peur enttrouuerenlor enf ans	----⌫--|------|-|--|---⌫--|
etquanti lleu r eurenttoutesuoiesdem andéquil	-|----|-⌫|---⌫|-----|-----|----|---⌫----|-|-|
remanderoien taur oileur perecil neu olrent	------------⌫|-|-⌫-|---|---|--|-|-⌫-----|
neis lenon leurpereramenteu oiretag ra ntpainne	---|-|--|---|---|--------⌫--|-||-⌫--⌫-|-----|
renlaisserentil lesmessaigesralerqu	|-|---------|-|--|--------|----|-|
il nele ur	-|-|--⌫-|
feiss enthonte descors	-----⌫--|----|--|---|
Limessaig e	-|-------⌫|
sem par ti re nt mou tdeses p erédele p aiset	|-|---⌫--⌫--⌫-|---⌫|-----⌫-⌫---|-|-|-⌫--|-|
q uant li ro isseutlorreuenues i uinte ncontre iau s	-⌫---|-|--⌫-|---|--|------|-⌫|---|-⌫------|---⌫|
etlorpriamout	-|--|---|---|
qu ilnelichelassent	-|-|-|-|---------|
riendele responsse a	---|-|-|--------||
sesenfansetsi llelairo ientensen	--|-----|-||-⌫|-|-----⌫---|-|--|
regne entrer	----|-----|
sans bataill e	---|-------⌫|
Limessaigelorrespondirent	-|-------|--|-----------|
q uilnequidoientmie qu il	-⌫|-|-|--------|--|-|-|
pe us t ennule gens	--⌫--⌫|-|---|---|
elmonde auo irtantdorguel commeil	-|----|---⌫-|---||-----|----|-|
auoien t t rouue ́ en	------⌫|-⌫-----⌫|-|
sesen fans etco m ment il s	--|--⌫---|-|--⌫-⌫---|-||
e nfa illi peu	-⌫|--⌫---|--|
quilnelesfis t honnir descorsetl i	-|-|-|--|---⌫|-----|--|---|-|-⌫|
direntqu ilauoient sigr an t ost	-----|-|-|------|-|--⌫--⌫|--|
assambleeque pou r nuleaide	--------|--|---⌫|---|---|
que li rois	--|-|---|
peust auoir il	----|----|-|
ne leurporroitcontreste rse	-|---|------|---------⌫|-|
Siresni faisoitmirac le	----|||------|-----⌫-|
apertetlidiren tque	----|-|-|-----⌫|--|
nul e paisnen ul econcor de il	---⌫|---|-|-⌫--⌫|------⌫-|-|
nepooiten iaustrouer	-|----|-|---|-----|
Quantlirois	----|-|---|
Clodo ueuoiches cose s	-----⌫--|-|---|----⌫|
sapela touschiausde sonconse ilet	|----|---|-----|-|--|-----⌫-|-|
Ainssi commeil mesambletous nos sec ourset	-----|----|-|-|-----|---|--|---⌫---|-|
toutenostreaideg i st	----|-----|---|-⌫-⌫-|
enle m a in	-|-|-⌫-⌫-|
Seigneurqui est tous poissans e tdroitu riers	-------|--|--|---|-------|-⌫|------⌫----|
Or soionsdo nt tou t asseur	-|-----|--⌫-|---⌫|-----|
et m etonsenlui toutenostr e	-|-⌫----|-|--|----|-----⌫|
esperanc heetnaions	--------⌫-|-||----|
nulefi anche	---|--⌫----|
ennousmesmes carpuis quem e quereleestdr oiturie re	-|---|-----|--|---|--|-⌫|------|--|--⌫-------⌫-|
etnous l e meton stoute seur	-|---|-⌫|-----⌫|----|---|
celuiquies t tos p oiss ans	----|--|--⌫|--|-⌫----⌫--|
etsid roituriersquilnefist	-|-|-⌫---------|-|-|-|---|
onques nuluitor t	-----|----|---⌫|
et ilnousendonrra sansdoute n ostre dro i t	-|-|---|-|-----|---|----|-⌫----|---⌫-⌫|
Orlesalonsdon ttoutseurementenuairet saichie ́s	-|--|----|---⌫|---|--------|-----|-|-------⌫-|
certain nement que uousuerrés quesiles to ient	-------⌫-----|--|---|------|--||-|--⌫--⌫---|
d ass ésgregnorpooirqu e iln esont n e	|---⌫--|------|----|--⌫|-|-⌫|---|-⌫|
porroientiliadu rera	--------|-|-|--⌫--||
Sei gnour qui ennossecombatra	---⌫----|--|-|--|-|-------|
Chilq uiauec leroie stoientn o serent onq ues son	---|-⌫-|---|-|--|-⌫------||-⌫-----|---⌫--|--|
c onseilde sdir eains se	-⌫-----|--⌫----⌫|---|-|
saign er entt uitdelsi gnede	-----⌫--⌫--|-⌫--|--|--⌫--|-|
lec roisau s alu e or	-|-⌫---|-|-⌫---⌫-⌫-|
d umon deetquantilfuren tarmé si	-⌫|---⌫-|-|----|-|-----⌫|----|-|
s esmurentauecleurseig neurle r oi	|-------|---|---|----⌫---|-|-⌫-|
Clodoueupourl eursanem isenua i r	-------|---|-⌫---|----⌫-|----⌫-⌫|
Endedens e nuoia lirois sesmessaiges alasainte	-------|-⌫----|-|---|--|--------||-|-----|
roinese femeet lifi st sauoir leiour	----|-|---|-|-|--⌫-|-----|-|---|
de le b ataill eetli ma ndae tpr i a tant	-|-|-⌫------⌫|-|-|--⌫--|-⌫|--⌫-⌫|---|
comme il peutplu s	----|-|---|---⌫|
qu elelesseco ureust	-|--|--|----⌫-----|
dequanquele porroit	-|-----|--|------|
ge ntetquelef eist largesaumos neset	--⌫-|-|-|--|-⌫---|-----|-----⌫--|-|
Seignorquiliugast e n tele m anierelequerele	------|-|-|-----|-⌫|---|-⌫-----|-|------|
entre lepere etles enfans	----|-|---|-|--|-----|
et queliiugemensfustsi atemprés par	-|--|-|-------|---|-|--------|--|
se mi s er ic ord e qu il fust faisaupourfitd el	-|--⌫-⌫--⌫--⌫---⌫|-|-|---|---|-|------|-⌫||
unepartie etde l autre	--|-----|-|-||----|
Chenestnule	--||--|---|
doute q ueleroine	----|-⌫-|-|----|
nobei st de touts onpooir	|----⌫-|-|---|-⌫-|----|
aumande mentet	-|-----⌫---|-|
ale pr oieredeso n segnor	|-|--⌫----|-|--⌫|-----|
Cl odouiusaproc hatantparses	--⌫------|-----⌫-|---|--|--|
iornees pre sd el a ousi	------|---⌫|-⌫|-⌫|-|-|
enfant estoientqu ilentra	-----|-------|-|-|----|
en seterreetdeuisa afair eun cast el	-|-|----|-|-----||----⌫|-|----⌫-|
enun edesparti es	-|--⌫|--|-----⌫-|
quitou tesces co se s oirent assamblerentt outleur	--|---⌫--|--|--⌫--⌫|-----|-----------|-⌫--|---|
pooiret s esmurentmout	----|-||-------|---|
orguelleuseme ntpou r	-------------⌫-|---⌫|
ass aillir lorp ereetch ia usqui ensai deest oie nt	---⌫-----|--|-⌫--|-|--⌫--⌫-|--|-||--⌫-|---⌫---⌫-|
L iroisqu imoutfuhuml es	-⌫|---|--⌫|---|-|----⌫-|
d ec u ereteng résas	-⌫|-⌫-⌫-|-|---⌫---|-|
a r me s se ferieniaus moutu ertueusement queli	-⌫-⌫--⌫|-|---|-|---|---|-⌫-----------|--|-|
a utrequie stoient nientnombrau leetquies t oientione	-⌫---|--|-⌫------|----|-------⌫-|-|--|--⌫-⌫----|---|
etfor tnesepeu renttenir c ontrec hiausqu i	-|---⌫|-|-|---⌫---|----|-⌫----|-⌫----|--⌫|
e stoientuielet debrisié ainssenfuire nt	-⌫------|---|-|--------|---||-|-----⌫-|
l iplus maistreetliplus fortdeses	-⌫|---|------|-|-|---|---|-|--|
Quant li enfantser e gar derent	----|-|-----|-|-⌫-⌫---⌫-----|
etilui rentquecilsenestoientfui	-|-|--⌫---|--|--||-|-------|--|
e n cuiilauoient	-⌫|--|-|------|
totelo r fi ancheet quilestoientdemoréau s s i	---|--⌫|--⌫----|-|-|-|-------|------|--⌫-⌫-⌫|
commeseulen	----|---|-|
lebatail le seurentmoutgrantpaour deche	-|------⌫-||-----|---|----|----|-|--|
meismes quileur	------|-||---|
auintqui l nec aissen t esmai ns et	----|-|-⌫|-|-⌫------⌫|-|---⌫-|-|
es loiensleurpere	-|-----|---|---|
Nedemoragairesquilf uren t and o i	-|-----|-----|-|-|-⌫----⌫|---⌫-⌫|
prisetqua nt l e	---|-|---⌫-|-⌫|
bataillefudepar tieeton leseut andeusamenés	-------|-|-----⌫--|-|-|--|--|-----|------|
deuantleu r	-----|---⌫|
peres icommandaliroisqu ilfus s e ntloié	---|-⌫|-------|-|---|-|-|---⌫-⌫-⌫-|----|
etilsifurent	-|-|-|-----|
Li roissepartide	-|---|-|----|-|
c elliuets en uint	-⌫-|--|-||-|---|
Franc he etpartoutlaoui luen oit	-----⌫-|-|--|---|-|-|-⌫|---⌫--|
lirend oitonaseuolenté	-|----⌫--|-||-|-------|
l es chitéset	-⌫-|------|-|
lescastiaus c	--|-------||
onauoitgarnisencontre lui	-|----|-----|-------|--|
Nu sneporroitlegrantio ie	--⌫|-|------|-|----|--⌫-|
raconterq uele sainte	-------|-⌫-|-|-----|
Balt elt eut	----⌫--|--|
quantel eseutc esnouu elesets	----|--⌫|---|-⌫-|----⌫---|-||
esmuttantost	----|------|
au enircon tr e sonseigneur	|-⌫---|---⌫--⌫|--|-------|
Et quipar porroitle gr an tioieraconter	-|--|--|------|-|--⌫--⌫|---|-------|
que li roi set	--|-|---⌫|-|
entrefirentquant	----------|----|
liunsuitla utre	-|--|--||-⌫---|
n eutgaires seiorné	|--|-----|-------|
quant ila pela	----|-|-⌫---|
sescheua lierset	--|-----⌫----|-|
distquiluol oitque sienfa nt fusse ntiugiéselonc	---|-|-|---⌫--|--|-|----⌫-|-----⌫-|-----|-----|
cequil auoient	-|-|-|------|
ouuréet s elo nc l escripture	-----|-|-⌫---⌫-||---------|
Lifildeshomesiugiés adroit	-|--|--|----|------||----|
et leurdemandaquelcon seilil endonroient	-|---|------|---|---⌫---|-|-|--------|
C hilfurent tout es bahiet neseu rent q uerespondre au	-⌫--|-----|---|--⌫---|-|-|---⌫---|-⌫-|--------|-|
roifo rs tantqu il disent pour	--|--⌫-|---|-|-|-----|---|
ia usescuserqueli plusgr antet	--⌫-|------|--|-|---|--⌫--|-|
liplus saigeb aronde	-|---|----|-⌫---|-|
Franc hen iestoient miee t	-----⌫-|||-------|--|-⌫|
que sans iaxneferoientil mie	--|---|--|-|-------|-|--|
iug emen t desigrantcosecomme desenf ansleursegneur	---⌫----⌫|-|-|----|---|----|--|---⌫--|---|------|
Quantli rois	----|-|---|
quimoutestoitdesirran s	--|---|-----|--------⌫|
del iugemento i r oi	--|-------|-⌫-⌫|-|
leur responsse	---|--------|
si fistassamblertout l eco mmun co nseil	-|---|--------|---|-⌫|--⌫---|--⌫----|
Fr an ceet leu rdist	--⌫--⌫-|-|---⌫|---|
ce meismesquil auoitdeuant ditasautres	-|------|-|-|----|-----|--|-|-----|
Cilfurentmoutlong uementensambleaconse ilet	--|-----|---|----⌫-----|-------||-----⌫-|-|
enlafi ndisen t	-|-|--⌫|-----⌫|
Com mentmetrons nosloi ne iugement seur roial lign ie ne	---⌫---|------|--|--|-|-------|---|----|----⌫-|-|
dampneronsnosseigneu rs meesmes	---------|--|-------⌫-|------|
Chenauigne iaA	--||-----|-||
tantuinrrent tuit	---|-------|---|
d euant liroietl eroineetleurd isent	-⌫----|-|--|-|-⌫|----|-|---|-⌫----|
S aluelegrace et	-⌫---|-|----|-|
lecom mandeme nt	-|---⌫-------⌫-|
Seigneu rleroi	-------⌫|-|--|
Clodoueun os neferonsennulemanieresi	-------|-⌫-|-|-----|-|---|------|-|
grant presumpti onque nous meton s iugementseur	----|---------⌫-|--|---|-----⌫|-------|---|
roiallignie nes eurnos se igneurs me is mes	----|-----|-|-⌫--|--|--⌫------|--⌫--⌫--|
Nushom morteusnepuetde ceste	--|--|------|-|---|-|----|
coseiu gierforsentreuous	---|--⌫---|---|----|---|
deusseulemen t	---|--------⌫|
Quant la sainteroineoi	----|-|-----|----|-|
quelibaron n e nosere nt	--|-|----||-⌫|-----⌫-|
i u gementfaire sidistoianttous	-⌫-⌫-----|----|-|---|----|---|
I l couuien tquechascun squi fourf aitl	-⌫|-------⌫|--|-------⌫|--|-----⌫--||
e spanisseence stsiecleoue nl autre	-⌫-------|-|--⌫-|-----|-|-⌫||----|
Et pour chequel espainn es	-|---|--|--|-⌫-|-----⌫-|
si ecle sont	--⌫---|---|
pluslegie res queche les delautre	---|-----⌫--|--|---⌫--|-||----|
miexquemi enfantfai che ntleu r p eni tance en c he stsiecle	---|--|-|-----|---⌫---⌫-|---⌫|-⌫---⌫----|-|-⌫--⌫-|-----|
aut ree tpor ce meismesque liautrefilde	---⌫-|-⌫|--|-|------|--|-|----|--|-|
roise castient atous	--|-|-------||---|
ioursmaisdesig riementmesprendre uersleurpere et	----|---|-|-|-⌫------|---------|---|---|---|-|
mereiemeismesferai	---|-|------|----|
leiugement	-|-------|
demese nfans	-|--|-⌫----|
Pourchequil uoul rent	---|--|-|-|----⌫---|
aforchetenirleregnecontreleur per eet	|-----|----|-|----|-----|---|---⌫|-|
con t releurmereet	---⌫-⌫-|---|---|-|
p ourchequil renoierent	-⌫--|--|-|-|---------|
leurpe reoiant tousieiugequ	---|--⌫-|----|---|-|---|-|
ilperd entatousio rs	-|----⌫--||---|--⌫-|
tel hyr etaigecomme ildeuo ientauoir	--|---⌫-----|----|-|----⌫---|----|
elregne et p o ur chequilporterentarmes	-|----|-|-⌫-⌫-|--|-|-|--------|----|
con treleur	---⌫--|---|
perei eiugequ ilper dentle forche etl e	---|-⌫|---|-|-|---⌫---|-|-----|-|-⌫|
uretudes cors	----|--|---|
Cl odoueuqui mout biensacorda au iugement	--⌫-----|--|---|---||-----|-|-------|
saintero inefi s ttantostles enf ans	-----|--⌫--|--⌫-⌫|------|--|---⌫--|
amenerdeuant luietle urfistcuirele s garés	-----|-----|--|-|--⌫-|---|----|--⌫|-----|
u oiantto uschiaus	-⌫----|--⌫-|-----|
qui iestoient	--||-------|
Franç ois quiches coses	------⌫--|--|---|----|
eurentu euesd ire nt liu nal	-----|-⌫---|-⌫---⌫-|-|-⌫|||
De x commeli cuers	--⌫|----|-|----|
S eig ne urleroiestendurchispuisqu il se	-⌫---⌫--⌫-|-|--|--|--------|---|-|-|-|
part ide che stpaï s	----⌫|-|---⌫-|----⌫|
Com mentpuetilendu r e r quesi enfant soientainssi	---⌫---|---|-|----⌫-⌫-⌫|--|-|-----|-----|-----|
baillip ar deuant lui	-----|-⌫-|-----|--|
Pui silluecen auan tf uliro issi	---⌫|-----|-|----⌫|-⌫|-|--⌫-|-|
doutés en	------|-|
Fr anche co nq uespuisn	--⌫----||-⌫--⌫--|---||
i eutnul si	|--|--|-|
hardiquideriensosast mespren dreu ers lui	----|--|-|----|----|-------⌫--|-⌫--|--|
Lienf an tquieurentre ceucelesen te nc e	-|---⌫--⌫|--|-----|--⌫--|---|---⌫--⌫--⌫|
parle iugeme ntle r oin e	--|-|------⌫-|-|-⌫---⌫|
leu r merele sou stinr renta	---⌫|---|-|---⌫-----⌫---||
mout bonepatien c eet	---|---|------⌫-⌫|-|
serecorderent	-|----------|
quill a uo ientb ie n d eseruica ril	-|-||-⌫--⌫---|-⌫--⌫|-⌫-----|--⌫|-|
n ed emoura	-⌫|-⌫-----|
mi e e n iausquil	--⌫|-⌫|---|-|-|
noche issentleur p er eetp rier en t	|----⌫-----|---|-⌫--⌫|-|-⌫----⌫--⌫|
S ei gneurmouthumlementqu	-⌫--⌫----|---|--------|-|
ilnefussentpourchepechi éli uréa pard urabletorment	-|-|------|---|--|-----⌫-|--⌫---||----⌫-----|------|
e tabandonnerentl eurs cuerset leurscorsauseru ige	-⌫|------------|-⌫---|----|-|----|---|-|----⌫--|
leurcre ateurenuegilles et	---|---⌫----|-|-------|-|
eno risonsetena umosn es et	-|-⌫-----|-|-|-⌫-----⌫-|-|
de m ani eredastinencede leurs	-|-⌫---⌫--||--------|-|----|
corseten telemanieredemorerentunepiec he	---|-|-|---|------|---------|--|----⌫-|
del tansen	--|---|-|
le maison leur	-|-----|---|
Cl odoueu quiresgar d oitsese nfansquitous	--⌫-----|--|------⌫-⌫--|--|-⌫----|--|---|
ioursse seoie ntet nulefois n eseleuoient s i	----|-|-----⌫-|-|---|---|-⌫|-|-------|-⌫|
moutgrant pitiéet	---|----|-----|-|
ui ntuni oura	--⌫-|-|-⌫--||
leroineetlidist	-|----|-|-|---|
Damec omm entporr on s no smais	---|-⌫---⌫--|----⌫--⌫|--⌫|---|
uie souffrirete ndure r	--|-------|-|-⌫-----⌫|
auei rdeuantnosle f ouleu re de	|---⌫|-----|--|-|-⌫-----⌫-|-|
no s enfan s	--⌫|-----⌫|
autrep artcommentend uerrio nsnous quenosleso stis siensd	----|-⌫--|------|---⌫------⌫-|---|--|--|--|-⌫----⌫----||
en tornousetquen ousneles ue issiens	--⌫--|---|-|--|-⌫--|-|--|--⌫------|
Qu antle roine	--⌫--|-|----|
a per chutlegrantdebonnairetéle roison	-⌫---⌫---|-|----|------------|-|--|--|
seig neure tlenaturel	----⌫---|-⌫|-|------|
pitiéquil auoitdeses	-----|-|-|----|-|--|
enfans sil ecommenchamo utdebonairementaconforteretdist	-----|-|-⌫|--------|--⌫-|------------||--------|-|---|
Beneoiss oit	------|-⌫--|
Israelqu iau isitéetracatésonpueple	-----|--⌫||-⌫-----|-|------|--|-----|
e tquile gran t o r guel denos	-⌫|--|-|----⌫|-⌫-⌫---|-|--|
mué en si gr ant	---|-|-|--⌫--|
humili tée tleura don nécu e ret uolenté	------⌫--|-⌫|---||---⌫--|--⌫-⌫|-|-------|
de l uis eruir	-|-⌫-|-⌫----|
Tresd ouss ireconfortésuou sde u osenfans	---|-⌫--|-⌫--|---------|---⌫|-|-⌫-|-----|
carsaichié s	--|--------⌫|
c hert ain n emen tqu il	-⌫----⌫---⌫-⌫----⌫|-|-|
ne demo rra	-|----⌫--|
Siresnousmousterracequiluourr aque	----|---|--------|-|-|-|-----⌫|--|
no us en f aichons	--⌫-|-|-⌫------|
Aprésch escoses	-----|--⌫-|----|
fucele sa interoineenas siduelx orisons	-|---|--⌫---|----|-|--⌫------|------|
Seigneurqu ilpar	-------|-|-|--|
se grantmisericordeleurdemoustrastchouquil	-|----|----------|---|----------|---|-|-|
liplairoit quil f esissentde le ursenfans	-|-------|-|-|-⌫-------|-|--⌫--|-----|
Nedemoragair esaprésces coses quela	-|-----|----⌫-|-----|--|----|--|-|
roine uint a sesenfansetparla ai a u s	----|---||--|-----|-|----||-⌫-⌫-⌫|
Commeestbons li	----|--|---|-|
chiausq uisontdedroitc ue r	-----|-⌫-|---|-|----|-⌫--⌫|
Sir esestmoutgranse tde sesapienc he	---⌫-|--|---|----|-⌫|-|-|-------⌫-|
n es t nusnombres	|--⌫|--|------|
Mifil dontneueés uouset saue ́s	-|--|---|-|----|---|-|----⌫-|
chertai nn ementqueuostres	-------⌫--⌫----|--|------|
desmes urésorguexqueuousauiés enc arkié contre	------⌫----|-----|--|---|-----|---⌫-----|-----|
uopereetu o	-|---|-|-⌫|
mereestmuésenhumilitéparles apien che	---|--|----|-|--------|--|-|-⌫-----⌫--|
e t lem is erico rde delsouu r ainroi	-⌫|-|-⌫--⌫-----⌫--|--|----⌫-⌫--|--|
Donne sa ués uoussans douteque	--|-|--⌫---|---|---|----|--|
Dexiugeto us	--|---|--⌫-|
ioursadroit e n tre lesgens	----||----|-⌫-⌫--|--|---|
Sai ch ié schertainnementquil neuousa	---⌫--⌫---⌫|-------------|-|-|-|---||
miedon néce st	--|---⌫--|--⌫-|
iugementpouruostremalmaispourlesalu	-------|---|-----|--|---|---|-|---|
Esioissie ́suousetconforte ́suoscuers	---------⌫-|---|-|--------⌫-|--|----|
en c eluiqui	-|-⌫---|--|
I ene uingmie sauu er lesiustesmais	-⌫|-|---|--|----⌫-|--|-----|---|
le spec he ours	--⌫|---⌫--⌫---|
enfan toire nt ledebona ir eamonnestement	-----⌫|----⌫-|-|------⌫--⌫|------------|
de leurme reuerscuiil	-|---|--⌫-|---|--|-|
auo ientsigriementmesprissisehu meliere nt	---⌫---|-|-------|------|-|-|--⌫-------⌫-|
dec ueret d e corset leur prierent	-|-⌫--|-|-⌫|---|-|---|-------|
moutdo ucementqu ele lorpardon nastchou	---|--⌫------|-|--|--|------⌫---|---|
li auoient mef fa i tetpuissitendiren t	-|------|---⌫--⌫-⌫|-|---|-|--------⌫|
uerslecielmainsetiex	---|-|---|----|-|--|
etpe nseeetdir e nt	-|--⌫---|-|---⌫-⌫-|
Bi aussire	--⌫--|---|
Dexqu itous iors	--|--⌫|---|---|
estesacraue nterres desorguellex	----|------⌫------|--|--------|
etes sauch ierresde shumles etalegemen sdes	-|--⌫-----⌫-----|--⌫|-----|-|--------⌫|--|
poureset forchedesf oibles etesperan ce descrea ns	-----|-|-----|--|-⌫-----|-|-------⌫-|--|----⌫-|
etamor des loiauset nie nt	-|---|--|-----|-|---⌫-|
esp uisab lefontainnedepitiéetde	---⌫-----⌫-|--------|-|-----|-|-|
misericordeetquic esuos sersn i entdignesdaigniésconfo rter	----------|-|--|-⌫-|--|---|-⌫-⌫--|-----|--------|-----⌫---|
pa r celiquine lesd eustnes	--⌫|---|--|-|--|-⌫---|--|
resg ard eru ost re nonsso it ben eoispartousle s	----⌫---⌫-|-⌫---⌫-|---|--⌫-|---⌫---|--|---|--⌫|
s ieclesdessieclescar nossauonset	-⌫-----|--|------|--|--|-----|-|
creon scertainnemen t que	-----⌫|------------⌫|--|
pourch enous aués uoustolue	---|--⌫|---|----|---|----|
leuretu de s cor s quelesame su ou s	-|----|--⌫|---⌫|--|--|---⌫|-⌫--⌫|
puisse ntplus	------⌫-|---|
deliurementse ruir a uo stre uolentéparle	----------|--⌫---||--⌫---|-------|--|-|
subiection de l eur	---------|-|-⌫--|
tres c rueleanemiecee stlachars	---|-⌫----|-----|-|-⌫-|-|----|
Tre sdo ucemerees ioissiésuous auec	---⌫|--⌫--|---|--⌫--------|---|---|
nousca r miexnous uieuthu meles etafolés aleren	---|--⌫|---|---|----|--⌫----|-|------|---|-|
pa radisque orguellex	--⌫----|--|--------|
et sainsestre tormentée n enfer	-|----|----|--------|-⌫|----|
Et qua nt li	-|---⌫-|-|
enf a nts efurentapercheu parlesparoles	---⌫-⌫-|-⌫|-----|-------|--|--|------|
dele roineleur	-|-|----|---|
merequeliroisleurspe resauo ittelpitié d	---|--|-|---|----|--⌫--|---⌫-|--|-----||
iaussenfu r ent mo utcorouchie ́enleurscuerset	---||-|--⌫-⌫--|--⌫-|---------⌫|-|----|----|-|
silpe ussentale r mout	|-|--⌫-----|---⌫|---|
u olentiersse soustraississ entdeseses gars	-⌫--------|-|-------------⌫--|-|--|--⌫---|
L orspriere nt mout le ur	-⌫--|------⌫-|---|--⌫-|
saintemerepourlamourde	-----|---|---||----|-|
Diuqu elene preist	--|-|--|-|-----|
miegarde aleurfolieains lesconseill as tentele	--|----||---|----|---|--|--------⌫--⌫|-|---|
manierequi lf ussent misenaucune relig ion	------|-|-⌫|-⌫-----|--|-|-----|-----⌫--|
ou ilpeussentfaire	-|-|-------|----|
penitanc edeleurspekiés	--------⌫|-|----|------|
Quantleroine entendi l e	----|-|----|------|-⌫|
repen t anche deses enfansloable a	-----⌫-⌫----|-|--|-----|-----||
Di eu et ash omessen	--⌫-|-|-|-⌫---||-|
rendi gracesa	----|-----||
Se ign euretdis t	--⌫---⌫--|-|---⌫|
gracesetmerc h is d e	-----|-|----⌫-⌫-|-⌫|
chouqueuo usnaués	---|--|--⌫-||----|
