c hic om mence	-⌫-|-⌫--⌫----|
et qu anti l	-|--⌫--|-⌫|
furentuenusileurdi st li	-----|---|-|---|--⌫-|-|
empereres seigneur me g entnem e	--------|-------|-|-⌫--|-|-⌫|
laissentenpa i sque	-------|-|--⌫-⌫|--|
ie neuousdoingneni ent etqueie uous	-|-|---|------|--⌫--|-|--|-|---|
e ncache h orsdemeter e	-⌫-----|-⌫--|-|-|---⌫|
maisor uousenalés toutensanleetie	---|-|---|-|----|---|------|-|-|
u oussiurrai ent re	-⌫--|------|---⌫-|
mie tt outemegent	-|-⌫|-⌫---|-|---|
ets iso iés	-|-⌫|--⌫---|
en unl ieuqu ileurnommaetie uous	-|-|-⌫--|-||---|----|-|-|---|
man deraiparme smessages	---⌫----|--|--⌫|-------|
qu euousuouse nuoisiésetuousmemanderés qu e	--⌫|---|---|-⌫|-------|-|---|-|--------|--⌫|
uousenirésmie	---|-|----|--|
pour mi ne pourmegentainsferés gran tsanlant	---|-|-|---|-|---|---|-----|----⌫|------|
dem icorre susadontsi	-|-⌫|----|--|----|-|
u errai commentmegentsepr o ueron t .	-⌫----|------|-|---|-|--⌫-⌫-----⌫||
eti l lef is ent t otsi	-|-⌫|-|-⌫--⌫--|-⌫-|-|
etquantilsenfurentale ́liempereresmanda	-|----|-||-|-----|---⌫|-|--------|----|
sege n ttoute	-|--⌫-⌫|----|
si les s iui.	-|--|-⌫--||
etq uan t iluintpresdausilleurmand a	-|-⌫---⌫|-|---|---||--|-|---|----⌫|
ala i sse ntesraument et quilwida isse nt setere	---⌫-⌫---⌫-|--------|-|-|-|----⌫----⌫-|-|---|
quiauo ient	--|---⌫---|
loélempereurquil lescachast	---||-------|-|-|--|------|
horsdeset ere	---|-|-|-⌫--|
furent moltlieetdisent a lempereur	-----|---|--|-|-----|||-------|
s ire sil nes enueu le nt	-⌫--||-|-||-|---⌫--⌫-|
alere sraumen t donnésnou s co ngie que	---|-⌫-------⌫|------|---⌫|--⌫---|--|
n ouslesochions	-⌫--|--|------|
liempereresrespondiuolentiers.	-|--------|-------|---------||
limessa ge	-|-----⌫-|
alempereuruinrentasf ranch oisilleur	||-------|------|-|-⌫-----⌫--|-|---|
disentleur message moutorgelleusem ent quils	-----|---|------|---|-----------⌫--|-|-||
en alaissen t	-|--------⌫|
lif r anchois respondirent	-|-⌫-⌫------|-----------|
asmessages si	-|-------|-|
leur disen t q u	---|-----⌫|-⌫|
enyroientmie p ourlemper e urnepour	-|------|--|-⌫--||-----⌫-⌫-|-|---|
li messages	-|------||
en reuinrent arriere e tco nterent	-|--------|------|-⌫|--⌫------|
cho uque lifranchoisauoient	---⌫|--|-|--------|------|
r espon du .	-⌫-----⌫-||
dontsikemanda	---|-|------|
liem pereres ase gentq uil sarmaissent	-|--⌫------||-|---|-⌫|-||---------|
liaid aissent	-|---⌫------|
acorresuslesfr anchoisetilsarmerent	|----|--|--|--⌫------|-|-||-------|
alere ntu ers les f ranchois	-----⌫-|-⌫--|--|-⌫-------|
etlifranchois uirrent	-|-|--------|------|
en contreaus si	--⌫-----|--|-|
eure ntmoltb ienleurbatai l lesordenees	----⌫-|---|-⌫--|---|-----⌫-⌫--|-------|
quan t li em pereres uit	----⌫|-|--⌫------|--|
quil uen oientuer slui et u e rssegent	-|-|---⌫----|---⌫|--|-|-⌫-⌫-|-|---|
pourcombat resi distasege nts eig neuror	---|------⌫-|-|---||-|--⌫-|-⌫---⌫---|-|
pensésd ubienfaire	------|-⌫|---|----|
oruouspoésuous bien	-|---|----|---|---|
uengierdau s.	------||--⌫||
sicommeileu tchedit	-|----|-|--⌫|--|--|
ligrieueurent molt grantpa our deslatins	-|----|-----|---|----|--⌫--|--|-----|
q ue iluirrentsiaproc hierdausoreapele	-⌫-|-|------|-|-----⌫---||--|--|----|
ontous chiaxdeleloyde rom melatins et	-|---|----|-|-|--|-|---⌫-|-----|-|
li l at infisent	-|-⌫--⌫-|-----|
grant sanlantdaus	----|------||--|
quantligrieuu i rrentchousitorn enten	----|-|----|-⌫-⌫----|---|-|----⌫--|-|
fuies silaisse ntlempe r eur	----|-|------⌫-||----⌫-⌫--|
trestots eul.	------|-⌫--||
quantliempereresui t chousi distas	----|-|--------|--⌫|---|-|---|-|
fr ancho is se igneuro rreuenésarriere etieu ous	--⌫-----⌫-|--⌫-----|-⌫|-------|------|-|-|-⌫--|
dou raiplusque	---⌫--|---|--|
o n quesmais.	-⌫-⌫---|---||
sien r emena les	-|-|-⌫----|--|
fureue nussim anda se gentsileurdistseigneur	-|----⌫--|-|-⌫---|-|---|-|---|---|-------|
or puetonbie n ueiren cuionse doit	-|---|-|---⌫|---|-|--|-|-|---|
uousuou senf uis t es quan tuousmed eustesaidie rsi	---|---⌫|-|-⌫---⌫-⌫-|----⌫|---|-|-⌫-----|-----⌫|-|
melaissastes toutseulet	-|---------|---|---|-|
s el ilat in uaussissentilm eusse nt totdecopéen	-⌫|-⌫|---⌫-|----------|-||-----⌫-|--|------|-|
pieche s .	------⌫||
maisorkemanchiouque nusdeuous	---|-|------|--|--|--|-|---|
nesoit si o sés n esihardisqu	-|---|-|-⌫---|-⌫|-|-----|-|
paraut d e melarguec hene decho uque	-----|-⌫|-|-------⌫-|-|-|---⌫|--|
iaim le sfranchoisca rieles aimets i	|--|--⌫|--------|--⌫|-|--|--|-|-⌫|
plusen aus que en	---|-|--|--|-|
ets i leur don raipl us queiou	-|-⌫|---|---⌫--|--⌫-|--|--|
ne le uraidonné.	-|--⌫-|-|-----||
et ligrieune furent	-|-|----|-|-----|
onques puis si	-----|---|-|
h ardiqu il enosaissen tpa rler.	-⌫---|-|-|-|--------⌫|--⌫---||
c hisempereresmanuuaus au oitun	-⌫--|--------|-------|--⌫--|-|
m oltbelfi ldese femm e etse	-⌫--|--|--⌫|-|-|----⌫|-|-|
pourp ensaqu	-----⌫---|-|
illeuol oit marieraupl ushautement	-|-|---⌫--|-----|-|--⌫-|--------|
qu il porroit	-|-|------|
etparle consei l	-|--|-|------⌫|
de sfranchoisquientorlui	--⌫|--------|--|----|--|
estoie ntsiman daaphelip pomle	------⌫-|-|---⌫-||------⌫--|-|
ro i defran ch e	--⌫|-|----⌫--⌫|
quillido nnas tse sere urauec senfi l	-|-|-|--⌫----⌫|-|----⌫-|---|--|--⌫|
si enuoia liempereressesmessagesenfranche	-|-----|-|--------|--|-------|-|------|
quimoltestoienthaut homme etmoltyal erent	--|---|-------|---|----|-|---||--⌫----|
ne o nquesneui t	-|-⌫----|-|--⌫|
ongensplus	-|---|---|
rikement ne plusnoblemen t alerq ue	-------|-|---|--------⌫|---|-⌫-|
chil f isents iquelir oisdefrance	---|-⌫----|-⌫|--|-|-⌫--|-|-----|
e tsegentse merueillie rent de le gr ant n obleche	-⌫|-|---|-|----------⌫---|-|-|--⌫--|-⌫------|
quelimessageme noient.	--|-|------|--⌫-----||
quantlimessag euinrr ent	----|-|------⌫|-----⌫--|
au ro iseli disent chouqueli	-|--⌫|-|-|-----|---|--|-|
emperereslimandoit .	--------|-|------||
et liroisdit	-|-|---|--|
qu il senc onse illeroit	-|-||-|-⌫----⌫-------|
et quantliroissefucon seilliéssililo er ent	-|----|-|---|-|-|---⌫--------|-|-|--⌫--⌫--|
qu ilenuoiast se sereurasi hauthommeet	-|-|-------|-|-----||-|---|----|-|
asi ri kehomme	|-|--⌫-|----|
commel iempereresesto it .	----|-⌫|--------|----⌫-||
dont sirespondi l iroisasmessages quil enuoieroit	---|-|-------|-⌫|---|-|-------|-|-|---------|
uolent iersse sere uralem pere ur .	------⌫---|-|----⌫-|||--⌫----⌫-||
ado ntsiato rnaliroismou trikementsesereur si	---⌫-|-|---⌫--|-|---|---⌫|-------|-|-----|-|
l enuoiaaue clesmessagesen constant in oble	|-----|---⌫|--|-------|-|--------⌫--⌫---|
etassesde s e	-|----|-|-⌫|
ge n t auecluiet	--⌫-⌫|---|--|-|
cheuauchier en ttant et errerentquil necesserentsi	-----------⌫--⌫|---|-|-------|-|-|-|--------|-|
uinrenten coust antinoble .	------|-|-----⌫--------||
quant il fur ent ue n u sien fist li	----|-|---⌫--|--⌫-⌫|-|-|---|-|
emp erere smo ltgr ant festede	---⌫-----⌫|--⌫-|--⌫--|----|-|
ledam o isel eetgrantgoieetdeluie t	-|---⌫-⌫----⌫|-|----|---|-|-|--|-⌫|
deseg ent .	-|-|-⌫--||
entrementiersqueliemperereseut enuoié	---------------|-|--------|--|------|
pou rc hel edamo ise le si	---⌫|-⌫---⌫|----⌫---⌫-|-|
renuoiadautrepartoutremerun sien	------||----|---|----|--|-|---|
par entquilmoltamoit andromesau oi tanon	---⌫--|-|-|---|----|-------|--⌫--⌫||--|
pou rl e ro inete udore deiherusalemq ui	---⌫|-⌫|--⌫--|--⌫----|-|---------|-⌫-|
est oitquel e uenistaucourounem ent senfilet a	---⌫--|-|--⌫|-----|-|---------⌫--|--|--|-||
leroi n esemistenmer auec androme	-|---⌫-⌫|-|---|-|--|---|------|
constantinoble .	-------------||
qua n t ilfurentbienal éauantenlem er	---⌫-⌫|-|-----|---|--⌫-|----|-|-|-⌫-|
sinefa it maiselandromes siaa ma l e	-|-|--⌫-|---|-|-------|-|--⌫-|-⌫|
roin equise cousineest oitet iu ta	----⌫|--|-|------|---⌫--|-|--⌫||
ileutche faitsin	-|--|--|---|-||
o sareuenirarriere e nc oustan tinobleainsp r istle	-⌫-|------|------|-⌫|-⌫------⌫------|---|-⌫-⌫--|-|
roinesilenmenaaforceauc oineas	----|-||-|---||----|-|-⌫---|-|
sarrasins.	--------||
ill ueques sidemoura	---⌫-----|-|------|
quantliemp ereresmanuausseutles nouuelesqueandromes	----|-|---⌫-----|------|---|--|-------|--|-------|
eutsi fa i tementleroine seseu reur menee	--|-|--⌫-⌫-----|-|----|-|---⌫---|----|
futmolt dolensetpo urchenelas sail	--|---|-----|-|--⌫-|--|-|---⌫-|-|
mi e quilnefe sistg rant	--⌫|-|-|-|--⌫---|-⌫---|
festeetq u il	----|-|-⌫|-|
necoronastsen	-|-------|--|
filetle damoisele	--|-|-|--------|
nedemoramiegraumentapresqu elie mp ereres	-|-----|--|-------|----|--⌫|-|-⌫--⌫-----|
quantandromeslitraitres	----|-------|-|-------|
o id irequeliempe reres manuausfumor ssie nuoia	-⌫|-⌫--|--|-|----⌫----|------|-|---⌫|-|-⌫----|
asen fi l q ui empereres estoitetse	|--|--⌫|-⌫-|--------|-----|-|-|
lifistr equerre po ur dieuqu il lipardon na s t	-|---|-⌫------|--⌫-|---|-|-|-|------⌫--⌫-⌫|
senma utalentet	--|--⌫------|-|
acroire que	------|--|
chenefu semench oing nenonq ueon	--|-|-|-|-----⌫----⌫-|--|-⌫-|-|
liauoit missu stantq ueliempereres	-|----|--|--⌫|---|-⌫-|-|--------|
quienfeses toit	--|----|--⌫---|
lipardo nnasen mau tale ntsi	-|-----⌫--|--|---⌫----⌫-|-|
limanda tantquechisandromesreuintarriere etfu	-|----|---|--|---|-------|-----|------|-|-|
entorlenfant	----||-----|
ta ntqu elienfeslefist	--⌫-|--⌫|-|----|-|---|
ba illiudetote	--⌫----|-|---|
se terre e tquil fu	-|----|-⌫|-|-|-|
orguelle x qu etropde	--------⌫|--⌫|---|-|
le balliie qu il auoit.	-|------|-|-|----||
nedemora miegraum entapresquilprist	-|-----|--|-----⌫--|----|-|-|----|
par n uit le m pereursi le	--|-⌫--||-⌫-⌫-----|-|-|
mourdrietsemereaussi.	------|-|-|---|----||
quantileutchefaitsipr i stdeus	----|-|--|--|---|-|--⌫-⌫-|---|
g rande s mes pie rre ssileu rfistlierascous	-⌫-----⌫-⌫--|---⌫---⌫|-|---⌫|---|---|-|---|
etpuissilesfistgeterenle mer	-|---|-|--|---|----|-|-|--|
a pressi se	-⌫---|-|-|
fistcoronertota forceae mpereur.	---|------|--||----||-⌫------||
quanti lfucoro n és	----|-⌫|-|----⌫-⌫--|
p ren dre t re sto uschiax	-⌫---⌫--|-⌫--⌫---⌫-|----|
queil seutqueil	--|-|---|--|-|
enpesoitquil	-|-----|-|-|
estoit empereres sileur faitil	-----|--------|-|---|---|-|
creuer lesiexetdestruireetd emale	-----|--|--|-|--------|-|-⌫|---|
mort morir.	---|----||
etprenoittoutes les	-|------|-----|--|
belesfemmesqueilt rouoitsigesoitaeles	----|-----|--|-|-⌫-----|-|-----||---|
etprist l empeerrisafemmequiestoitsuersle	-|----||--------||----|--|-----|----|-|
roidefranch eet fist	--|-|------⌫|-|---|
tantdesig ransdes l oiautesque	---|-|-|-⌫---|---⌫-⌫------|--|
o nquesnustraitresne nusmourdris si er restantnenfi st	-⌫----|--|-------|-|--|--------⌫--⌫--⌫--|---||-|--⌫-|
commeil fist.	----|-|---||
qu antileu tfaitestoutesc hesdesl oi autesapres	--⌫--|-|--⌫|-----|-----|-⌫--|----⌫--⌫----|----|
sid eman d a a	-|-⌫----⌫-⌫||
unsienmaistreba lliu quili	-|---|------|--⌫---|--|-|
aidoita faire touteschesma lauenturesse ily auoit	-----||----|-----|---|--⌫---------|-|-||----|
maisdech iaxqui l	---|-|--⌫--|-|-⌫|
enpesastqu ilesto itemp erer es.	-|-----|-|-|----⌫-|---⌫----⌫-||
etchislirespondi	-|---|-|-------|
n en sauoit m aisn ul	|-|-----|-⌫--|-⌫-|
forsqueondisoit quil	---|--|-|-----|-|-|
auoitt roisioule suaslesen leuilequiestoient	----|-⌫---|-----⌫|-----|-|-|---|--|-------|
d unlignage	|-|------|
queonap eloitlelignag e da ngle	--|-|--⌫----|-|------⌫||-⌫---|
etestoienthauthommemai s i ln e s toientmie	-|-------|---|----|---⌫|-⌫||-⌫-⌫-----|--|
rikea insestoien tp ourenenestoientm ie	---|-⌫--|-------⌫|-⌫---|-||-------|-⌫-|
degrantpooir.	-|----|----||
quantliempereresan dromesoiquesi	----|-|--------|--⌫-----|-|--|-|
fa it ementest oient chil troi	--⌫--⌫----|---⌫----|---|---|
ua sletdechu	--⌫---|-|--|
kemand a a che luisen balliuqui	------⌫||---⌫--|--|-----|--|
mol t esto it maluaishonset traitresausicomme	---⌫|----⌫-|------|---|-|-------|---|----|
il estoitq uillesalastprend re	-|-----|-⌫|-|--|----|-----⌫-|
etqu il les	-|-|-|--|
pen dis tou qu	---⌫---⌫|-|-|
fes istde malemort	---⌫--|-|---|---|
lib a lliussen ala	-|-⌫-⌫----||-|--|
pour prendre ches troi sfrere s	---|------|---|----⌫|-----⌫|
enpristqueunet	-|----|--|-|-|
li doi escap erent.	-|--|-----⌫----||
cheluiquifupr is onli fi st	-----|--|-|--⌫-|-|-|--⌫-|
cr eue rl esiex	--⌫---⌫|-⌫-|--|
ap re sil s erendi.	--⌫--⌫|-|-⌫|----||
lidoia utre	-|--|-⌫---|
sen fuire nt si sena lal iuns e n	|--⌫-----⌫-|-||-|-⌫-|-⌫|--|-⌫|
qu eonapele blakiechi s	--⌫|-|----|-----|---⌫|
a uoi tnonk yr sac	-⌫---⌫|--|-⌫--⌫--|
etliautressen ala ena nthioc he etfu	-|-|-----||-|--|-|-⌫------⌫-|-|-|
prisdes sa rr asins paruneche u auchie	---|--|--⌫--⌫----|--|--|---⌫-⌫-----|
quelicrestienfisent.	--|-|-------|-----||
chisquien blakieestoitfuissiyfu s i	---|--|-|-----|-----|---|-||-|-⌫|
p o uresquilnesepooit	-⌫-⌫---|-|-|-|-|----|
warirtantqu	----|---|-|
ils en reuint arriereencon stanti nobleparfi nepourete	-||-|-----|------|-|---⌫------⌫----|--|--⌫-|------|
mucha en lemai sonaune ue ued ame	----|-|-|---⌫--||--|--⌫-|-⌫--|
or nauo it il nulcatelusiecle	-||---⌫-|-|--|----||-----|
fors une mule	---|--|---|
etun uaslet	-|-|-----|
siw aaingnoit chusu allesasemuleenuinsqu	-|-⌫--------|---|-⌫----||-|---|-|---|-|
elep ortoiten autrescose s	--|-⌫-----|-|-----|----⌫|
choudontkyrsaa cs	---|---|------⌫-|
sessiresetilu iuoient	--|----|-|-|-⌫------|
t an tqueles nouu elesal empereuruin rentandrome	-⌫--⌫|--|--|----⌫---|||-------|---⌫---|------|
letra ite urque ch isest oi tsi faitementreuenus en	-|---⌫---⌫-|--|--⌫-|---⌫--⌫|-|--------|------|-|
adon t sikemand aase nballiuq uimolte stoithais	----⌫|-|------⌫||--⌫|-----|-⌫-|---|-⌫----|---|
deto te g entpourles	-|--⌫-|-⌫--|---|--|
max quil faiso itcascu niourqu il	--|-|-|-----⌫-|-----⌫|---|-|-|
alastpr endrecheluikyr sacetquille pend i st	----|--⌫----|-----|---⌫--|-|-|-|-|----⌫-⌫-|
tant quechismonta	---|--|---|----|
cheual etpristassesgentauec lui sis	-----|-|----|----|---|---|--|-||
enalaa le maisonle boine	-|--||-|-----|-|----|
femmeou kyrsaacsestoit .	----|-|-------|-----||
quant iluintlasifist	----|-|---|-|-|---|
apelera luiset	-----|||--|-|
la boinefemm e uintauant sise	-|----|----⌫|---|----|-|-|
meruellamol tquiluolo ittantqui	-------|---⌫|-|-|----⌫-|---|-||
li kem anda quelef esist	-|---⌫---|-|--|-⌫----|
uenir aua n tcheliqui	----|---⌫-⌫|----|--|
estoit m uchiésensemaison.	-----|-⌫------|-|-|-----||
leboi ne femme	-|---⌫-|----|
respondisidi stha	-------|-|--⌫-|-|
sirepourdieu	---|---|---|
anul hom me chaiens muchié.	|--|---⌫-|------|------||
etil kemand a autr e	-|-|------⌫|----⌫|
fois quelel e f esistuenirauantou	---|-|--|-⌫|-⌫----|----|----|-|
sel e nelfaisoit	|--⌫|-||------|
uenirquile f ero it	----|-||-|-⌫---⌫-|
p rendre lun et	-⌫-----||-|-|
quantleboinefe mme oic housieut	----|-|----|--⌫--|-|-⌫--|-|--|
grantpe u rde chud iable	----|--⌫-⌫|-|--|-⌫----|
quitanta uoi tfaitd emal	--|---|-⌫---⌫|---|-⌫|--|
entraensemaisonsi	----|-|-|-----|-|
uint auuasletseli dist	---|-|-----|-|-|---|
biaus ire kyrsac	---|-⌫--|-----|
u ou ses tesmors	-⌫--⌫|--⌫--|---|
uéschil ebal liu	---|--|-⌫|---⌫--|
le mpereuret molt degent	|-⌫------|-|---|-|---|
auecliqu iuous s ontuenuq uerrepou r	---|-|--⌫|---|-⌫--|---|-⌫----|---⌫|
uousdes truireetpouruous	---|---⌫-----|-|---|---|
l iuaslesfumolt es mar isquaniloi	-⌫|-----|-|---|--⌫---⌫-|---|-|-|
chesn ou ueles	---|-⌫--⌫----|
ettantquil uin taua nt	-|---|-|-|---⌫|---⌫-|
n e sepeutestordreanulf u erqu	-⌫|-|---|-------||--|-⌫-⌫-|-|
il na las t horsac h u	-||-⌫---⌫|---||-⌫-⌫|
fa itilmaiselsiprent	--⌫-|-|---|-|-|----|
ilsespee sile metil	-||----|-|-|--|-|
sousse nsurc otsese n is til	---|--⌫|----⌫-|-||-⌫|--⌫|-|
hors dele maisonsiuient	---|-|-|-----|-|----|
ildeuantl eballiu se li dist s ire	-|-----|-⌫|-----|-|-|---|-⌫--|
que plaist uous	--|-----|---|
etchislirespondim oltfenelessementse	-|---|-|-------|-⌫--|------------|-|
l idistribauspuansonuous	-⌫|---|-----|----|-|---|
tantquekyrsaacs uitqui licouuenoit alerau ec	---|--|-------|--|-||-|--------|---|--⌫-|
ausma ugre sien	--|--⌫---|---|
etmoltuo lontiers senueniastd	-|---|--⌫-------||-|------||
se s e trait il pluspres	-|-⌫|----|-|---|---|
quil p e ustdechu	-|-|-⌫-⌫--|-|--|
traistilsespee sifiertilchuball iu pa rmi	-----|-||----|-|----|-|--|----⌫-|--⌫--|
letestesi qu ille	-|----|-|-|-|-|
pourfendi t restout	--------|-⌫------|
dusqueses dens.	------|-|---||
qua ntliserian t et legentqui	---⌫-|-|------⌫|-|-|---|--|
estoientauec l eb alliuuirre ntqueli	-------|---|-⌫|-⌫----|-----⌫-|--|-|
uasles auoitsi p ourfenduleb alliu sisen	-----|----|-|-⌫-------|-|-⌫----|-||-|
quantl i uasl esui tquilsenfuio ients i	----|-⌫|----⌫-|--⌫|-|-||-|----⌫---|-⌫|
prent i lle cheualleballiuqui lauoit ochis	----|-⌫|-|-----|-|-----|-|-⌫|----|----|
susettints	--|-|---||
espeequitote	----|--|---|
e rtsanente.	-⌫-|------||
sinefait ilmaiselsisem e t a	-|-|---|-|---|-|-|-|-⌫-⌫||
a aleruerslem o ustiersaintes ouphie.	|---|---|-|-⌫-⌫-----|-----|-⌫-----||
sicomm ei l s enaloi t si	-|----⌫|-⌫||-|----⌫|-|
crioitm erchi a sgen s quiestoien t	-----|-⌫----|-⌫|---⌫|--|-------⌫|
aua llesruesqui totesto ient	---⌫|--|---|--|--|----⌫---|
esmar i dele	-----⌫|-|-|
noise quilauoientoie	----|-|-|------|--|
sileurdisoit	-|---|-----|
liu asles seign orpour dieumer chineme	-|-⌫----|-----⌫-|---|---|---⌫--|-|-|
c arieaiochisle dia ble	-⌫-|-|-|----|-|---⌫--|
mordri sseeu r quito utesleshonte sa	------⌫-----⌫|--|--⌫---|--|-----⌫||
faitesachiausd e cheste uileet	-----||-----|-⌫|-----|---|-|
quantil uint au moustier sai nte	----|-|---|-|-------|---⌫--|
souphiesi mo nta seurl aut el	------|-|--⌫--|---||---⌫-|
enb rac ha le	---⌫---⌫-|-|
crois p our	----|-⌫--|
che quiluoloit sauuer se uie.	--|-|-|-----|-----|-|--||
c rise tle noisefu moltgr ans	-⌫--|-⌫|-|----|-|---|--⌫--|
tan t alaam ont	---⌫|--|--⌫--|
etauallic ri s queo nl e	-|---|-|-⌫--⌫|--|-⌫|-⌫|
seut par toutele uilecommentkyrsac	---|--|----|-|---|------|-----|
ma uf eetchum ord risseeur o chis	--⌫--⌫|-|--|-⌫---⌫-------|-⌫---|
qu antchilde l euilele	--⌫--|---|-|-⌫|---|-|
seurent sienf ur entmolt lie	------|-|-|-⌫--⌫--|---|--|
si ke urentil	-|--⌫----|-|
miexa umo ustiersai nte	---|-⌫|--⌫-----|---⌫--|
souph iepourueir chuuasl etqu i chuhar d em entauoit	-----⌫-|---|---|--|----⌫-|--⌫|--|---⌫-⌫--⌫--|----|
sico mm eil	-|--⌫--⌫|-|
fur en t la t out as an lé s icommenc h ierent adire l uns	---⌫--⌫|-|-⌫--|--⌫--⌫--|-⌫|-------⌫-⌫-----||---||--|
alautrechist estuaillanse t	||----|----|--|-------|-⌫|
h a rd is quantsi	-⌫-⌫--⌫-|----|-|
granthardement entreprist afaire.	----|--------|---------||----||
tant q ue ligriudise nt entrausfaisons	---|-⌫-|-|---|----⌫-|---|--|------|
faisonsde chestuasl ete mpere ur	------|-|----|----⌫-|-⌫-----⌫-|
ta nt quilsiacorderenttout	--⌫-|-|-|||---------|---|
s ienuoientil pour lepatriar chequi a meesme d	-⌫|-------|-|---|-|-------⌫--|--||-----||
ilueces toitensenp alais	----|--⌫---|-|--|-⌫----|
quilueni st coronerun no uuel	-|-|----⌫-|------|-|--⌫---|
empereeur quilauoienteslut.	--------|-|-|------|----||
quantlipa triarche s oi chou si	----|-|--⌫--------⌫|-|---|-|
dist quil nenfero it n i ent	---|-|-||-|----⌫-|-⌫-⌫--|
et com menchaad ireseigneurmallefaites	-|---⌫-----||-⌫--|-------|--|-|-----|
s oiés en pais	-⌫----|-|---|
uousnefaites miebie n	---|-|-----|--|---⌫|
telechoseentreprise.	---|----|---------||
s eioulecoroune liemp erer es	-⌫|--|-|------|-|---⌫----⌫-|
andr omes metueroitet decoperoit	----⌫---|-|------|-|---------|
tout enp ieches.	---|-|-⌫-----||
lirespondirentquesilne lecorou noit	-|-----------|--||-|-|-|-----⌫---|
quil licouperoie nt	-|-|-|---------⌫-|
tant quelipatriarchesq ue	---|--|-|----------|-⌫-|
par f orchequeparpeurqueil	--|-⌫----|--|--|---|--|-|
e u t descendidesenpala issi senuint	-⌫-⌫|-------|-|--|----⌫-|-||-|---|
au moustier laoukyrsacs estoit	-|-------|-|-|------|-----|
enmolt pourerob e	-|---|----|---⌫|
moltpoureueste ure quele	---|----|-----⌫--|--|-|
iourm eesme au o itliempereresandromes	---|-⌫----|--⌫-⌫-|-|--------|-------|
enuo ie ́se n	----⌫--⌫|--⌫|
balliu etse sgens	-----|-|--⌫|---|
pour l uiprend re etd estruire	---|-⌫-|-----⌫-|-|-⌫-------|
tant q uel ip atriarkesse	---|-⌫-|-⌫|-⌫--------|-|
reu esti silecoronalu es	---⌫---|-|-|-----|--⌫-|
esr aumen t u ausistounedengnast.	---⌫-----⌫|-⌫-----|-|-|-------||
quantkyrsacsf u coro ne ́s sien al eren t lesnouu elesta nt	----|------|-⌫|----⌫--⌫-|-|-|--⌫----⌫|--|----⌫---|--⌫-|
amon tetau a l que andromes leseutetqu	----⌫|-|--⌫-⌫|--|-------|-|---|-|-|
i l auoi t sen	-⌫|----⌫|--|
b alli uochisne	-⌫----⌫|----|-|
nele peu t onquescroirede uantlaque	-|-|---⌫|-----|-----|--⌫---|-|--|
ilye n uoi asesme s sages.	-||-⌫-⌫---⌫|--|--⌫-⌫----||
etquantsimes s ageuinrrent las i	-|----|-|---⌫-⌫--|-------|-|-⌫|
uirrentbienq u e che fuu o irs	------|---|-⌫-⌫|--|-|-⌫-⌫--|
en reuienenttantost arri erea l	-|--------|------|----⌫--|||
sidisentsirechest	-|-----|---|-|--|
tout uoirs .	---|----||
empe reresse ut qu eche	----⌫----|--⌫-|--⌫|--|
fuu oirssi	-|-⌫---|-|
se leuas i	-|---|-⌫|
pristmoltdese gentauec	----|---|-|-|---|---|
aladusq uesa u moust ie r saint esoup hiepar	--|----⌫--|-⌫|-----⌫--⌫|-----⌫|----⌫--|--|
unsaloo irsquia l ooien t	--|----⌫--|--|-⌫-⌫-----⌫|
desenpalaisdusquesaumoustier	-|--|-----|------|-|-------|
quantiluinta u	----|-|---|-⌫|
mou stiersifisttan t	---⌫----|-|---|---⌫|
seu rles uautesdu m ou stiersiu itchelui	---⌫|--|-----|-|-⌫--⌫----|-|-⌫-|-----|
quiestoitcoronnés.	--|-----|--------||
leu it si en fumolt	-|-⌫-|-|-|-|---|
dol ensetdemanda a segen t s	---⌫--|-|------||-|---⌫||
ilyauoit chel uiqui	-||----|----⌫-|--|
eustnul arc	---|--|--|
tantqueon enaportaunetunesaiete .	---|--|-|-|-----|-|-|--|-----||
et androm es prent chel	-|------⌫-|----|---|
arcsi entoisesicuide	--|-|------|-|----|
ferirkyrsa cqui	----|-----⌫|--|
corounése sto itparm i leco rs.	--------|-⌫---⌫-|----⌫|-|--⌫-||
sicommeilentesasi rumpi	-|----|-|-----|-|----|
le corde etil enfu molt	-|----|-|-|-|-|---|
e smaris etmol tes perdus	-⌫-----|-|---⌫|--⌫-----|
sis en reuintarriere	-||-|-----|------|
eupalaistantquildista	-|-----|---|-|-|---||
segent qu il	-|---|-|-|
alaissentfre mer lespo rt es	--------|---⌫--|--|--⌫--⌫-|
du palaiset qu	-|-----|-|-|
ils armaiss ent	-||-------⌫--|
et qu ildeff endi ssent le	-|-|-|----⌫----⌫----|-|
etilsifi sent .	-|-|-|--⌫---||
issientrem entiersdupalais	---|------⌫------|-|-----|
uin ta unefauseposternesi s	---⌫||--|----|-------|-||
ildeleui l esisen	-|-|-|--⌫-⌫|-||-|
e nt raen unegalieet desesgens auec	-⌫--⌫-|-|--|----|-|-|--|---|---|
si semistenlemer pourc he	-|-|---|-|-|--|---|-⌫-|
quil ne uolo it mie q ue le gentde	-|-|-|----⌫-|--|-⌫-|-|---|-|
le uile lepresissent	-|---|-|---------|
apres le gentdeleuilealerentu	----|-|---|-|-|---|------||
pa laisetme n ere nt le n o uuelempe r eeur auecaus.	--⌫---|-|--⌫-⌫---⌫-|-|-⌫-⌫---|----⌫-⌫---|---|--||
sipr isentle palaisa	-|--⌫----|-|-----||
