oi ezsei gnordex	--⌫-|---⌫---|--|
b ienu osdoiaco intier	-⌫--|-⌫-|--|---⌫-----|
apost requ enar ome	-----⌫-|-|-||-⌫--|
fran ce sihardi	----⌫-|-|----|
c heualier	-⌫-------|
silprentla	|-|----|-|
terreau pe titberang ier	----|-|--⌫--|------⌫--|
acesteespee tost neperde l e chief	|----|----|---|-|----|-⌫|----|
granzmercizs ire	----|-----|-⌫--|
die nt li cheualier	---⌫-|-|--------|
qu iapartie nenta len fantberangier	--⌫|-------⌫---|||--⌫---|--------|
yy eniaq ui li clinentle chi ef	-|-|||-⌫-|-|------|-|---⌫-|
liuontalaiambeetaupie	-|---||-|----|-|-|--|
sir e xmdit	---⌫|-|--|
loo ysoi ez	---⌫-|--⌫-|
q uan tcestehe noraprendren e	-⌫---⌫|----|--⌫--||------|-⌫|
sedex maist or	-|--||---|-|
uosdorraite lfie	--|-----|--⌫|--|
sesaiges estes don t seroiz sorhaucie ́	-|-----|----|---⌫|-----|---------⌫|
geuosdorra idefrance	-|--|-----⌫|-|-----|
zzquartier	-|-------|
quart eabeieetpuislequa rtmarchie	-----⌫|----|-|---|-|---⌫-|------|
qu arteetquarte ar cheueschie	--⌫---|-|-----|--⌫---------|
le qu art seriantet	-|--⌫--|------|-|
le qu artch eualier	-|--⌫--|--⌫------|
quar tuauassoret quar tgar conapie	----⌫|-------|-|----⌫|---⌫--||--|
quartepuc ele et quarte	-----|---⌫--|-|-----|
e tlequartp res treet	-⌫|-|----|-⌫---⌫--|-|
puislequartmoustie r	---|-|----|-------⌫|
establesuos doi nglequart destr ier	-------|--|---⌫-|-|----|-----⌫--|
de montreso ruosdoing	-|--|-----⌫|--|----|
lequartdenier	-|----|-----|
la quar tepartuosotro i uolantiers	-|----⌫-|---|--|----⌫|---------|
lempirequegeaia	|-----|--|-|-||
receu ez lenobile cheualie r	-----⌫-|-|-----|--------⌫|
n on fer ai sire xmre spondie	-⌫-|---⌫-|---|-|--⌫------|
cenefer oieportotl ordesorciel	-|-|---⌫--|--|--||-|----|---|
qu ei a dir oient	--⌫|-⌫|---⌫----|
x ml em archis	-⌫|-⌫|-⌫-----|
auuisfi er	-|--|--⌫-|
com meil a	---⌫-|-||
or e son droitseignorboisié	--⌫|--|----|------|------|
demi sonregneliatototro ié	---|--|----|-||--|----⌫--|
si nelenrentua illissa ntzzxxm	-|-||-|---|--⌫-------⌫-|-|--|
bien liaoreson	---|-||--|--|
uiureretaill ié	----|-------⌫--|
sirexm ditlooys	---|-|--|----|
parcel apostre que n	--|--|------|-|-⌫|
quiert ennoiron	-----|-|-----|
quant cesteh en nor	----|----|-⌫--⌫--|
recoiu rene uolez	------⌫-|-|----|
ence ste terre neuossai	-|--⌫--|----|-|--|--|
nu l e au tr en emesai porp ense r	--⌫-⌫|--⌫--⌫|-⌫|-|--|----⌫----⌫|
xmlessi ez	-|-----⌫-|
ledontester	-|---|----|
foiznen quieror plus parler	---||-|----|-|---|-----|
qu an tuosp le ra u o sm edorroizasse z	--⌫--⌫|--|-⌫--⌫-|-⌫-⌫|-⌫|------|----⌫|
chastiauset mar c hesdonionset	--------|-|---⌫-⌫--|------|-|
ac ezparo le ss enest	|-⌫-|----⌫--⌫||-|--|
l ic uenstor nez	-⌫|-⌫---|---⌫--|
parmalta lenta ual elesdeg rez	--|-----⌫---|-⌫---⌫|--|---⌫--|
enmisauoie abertra n e nco ntré	---|-|---||------⌫|-⌫---⌫----|
quil i demande	--|-⌫|------|
sireoncle dontu enez	---|----|---|-⌫---|
xmi aorroiz uerite	-|-⌫|-----|-----|
decelpal esou	-|--|---⌫-|-|
aigrantpiecees té	-|----|----|--⌫--|
aloo ysaitencié e tiré	|---⌫-|-|------|-⌫|---|
moltlai serui si nem	---||-|----|-|-||
a riensdo né	|----|--⌫--|
etditbertran ama leic onde	-|--|------||--⌫----⌫-|-|
uo dro itseignor ne	-|---⌫-|------|-|
deuezpas haster	----|--|-----|
ainz l e deuez	---|-⌫|----|
seruireth ennorer	-----|-|-⌫------|
c ontreto zhomesgarantiretten ser	-⌫----|--⌫|----|-------|-|---⌫--|
diuafetilia	---|--|-|-|
qua lui seruir ai mon	-||--|-----|-|--|
tenssi usé	---|-|---|
uaillantzzoef	-------|-|--|
et dit xmsirebertranbeaux nies	-|--|-|---|------|----|---|
s eruir aimont ensemplo ie ́	-⌫----|-|--|-⌫--|-----⌫--⌫|
si laipa r fo r celeué	-||-|--⌫|--⌫-⌫-|----|
etessa ucié	-|----⌫----|
france otroi élunqua rtier	-----|-----⌫-||-|---⌫----|
totensementc o mfust e n	--|-------|-⌫-⌫|---|-⌫|
parmonseruis em eueltrendre	--|--|------⌫|-⌫|---|-----|
apostreq uenaromme	------|-⌫|-||----|
c uitli a batrelacorone	-⌫--|-|-⌫----|-|-----|
ai miss i l a uorr aioste r	-|--|-⌫|-⌫|----⌫-|----⌫|
distbertr an sire nedit espasqueber	---|-----⌫-|---|-|---⌫-|--|--|--|
uo droit seignor nedeuez menacie r	-|----|------|-|----|-------⌫|
ainz lede uez	---|-|--⌫--|
leuere t essaucier	----|-⌫|--------|
contre tozhomesseco rreetai dier	-----|--|----|----⌫--|-|--⌫---|
etditlicuen s uosditesuoir	-|--|-|----⌫|--|----|---|
beau nie s	---|---⌫|
la le au tedo itlen tozi orzamer	-|--⌫--⌫-|--⌫-|--|--|-⌫--|---|
dexlec ommandequi tot aaiug i er	--|-|-⌫------|--|--|||---⌫-⌫-|
ditbertra n lisenez	--|------⌫|-|----|
quaralonsore al ooys	---|----|--||-⌫---|
etmoietuosen	-|--|-|--|-|
c elp a l es plenier	-⌫-|-⌫-⌫-⌫-|------|
porquer rezzdondontme s u i	--|----⌫-|-|--|---|-|-⌫-⌫|
qiexseroit	---|-----|
il ditxmle	-|--|-|-|
etdit bertrania	-|--|------|-|
or roizuerite	--⌫---|-----|
de mandezliespai gneleregn e	--⌫-----|-|-----⌫--|-|----⌫|
ettor tolo use	-|---⌫----⌫--|
etpor paillarts o rmer	-|---⌫-------|-⌫-⌫|--|
e tapresnymes	-⌫|----|----|
celeboneci te	---|---|--⌫-|
or enge qui	--⌫---|--|
tantfe t a loer	---|--⌫||---|
s il la u osdoneniafiert	|-|-|-⌫-|---|||-----|
conque sescuzn e nfupa r l u iporte z	|-----⌫|----||-⌫|-|--⌫|-⌫-⌫|-----⌫|
ne che ual i ern en otensoldeez	-|---⌫---⌫-⌫-||-|-|--------|
as sez uos puet	--⌫--|--|---|
ce le terredone r	--⌫-|----|----⌫|
nesonreaumeneniert	-|--|-----||-|---|
gai re s greuez	---⌫--⌫|-----|
ot lexm s ena	-|-|-||-||
z zrisg ité	-⌫|--|-⌫---|
niesditxm d e boneh eur e fus nez	---|--|-|-⌫|---|-⌫---⌫|--|--|
quetotausilauoiegepensé	--|--|---||----|-|-----|
mesg euo loieauan tatoiparle r	--|-⌫|--⌫---|----⌫||--|-----⌫|
s e prenne ntel	-⌫|------⌫-|-|
pa les sont	--⌫--|---|
trusquala sale ne seson taresté	-----||-|---|-|-|---⌫|------|
u oitleliroisencontre s	-⌫--|-|-|---|-------||
puisliaditxmqua r s eez	---|-||--|-|---⌫|-⌫--|
no n f eraisire	--⌫|-⌫---|---|
cuensnatur ez	----|-----⌫-|
mes z z petituorroieauos	--|-⌫|----|------||--|
porquerrezzdondoncmesuiporpensez	--|-----|-|--|---|-|--|--------|
etditliroisabeneiconde	-|--|-|---||-------|-|
seuosuoleznec hastel ne cite	-|--|----|-|-⌫-----|-|---|
neborcneuiledonion	-|---|-|---|-----|
sera o troiéetgraé	---|-⌫-----|-|----|
d emi monre gnese	-⌫--|--|--⌫--|-|
prend rele	-----⌫-|-|
uos d oin gesi reu olantie rs	--|-⌫--|-|--⌫-|-⌫-------⌫-|
quarde g rant foi uosaitoz iorz	---|-|-⌫---|--|--|-|--|---|
etparuossu i roide fra nce clamé	-|--|--|--⌫|--|-|---⌫--|-----|
xm sen a zz	-||-||-|
ouuoit ler oi	-|---|-|-⌫-|
silaaraiso nné	-|||------⌫---|
icestuidonpar nos	------|--|--|--|
n iertiaro ue ́	|---|-|--⌫--⌫|
a i nzuo sdemant espaigne leregne	-⌫-⌫-|--⌫|-----|-------|-|----|
ettortol oseet	-|------⌫--|-|
po rtpaillartsormer	--⌫---------|--|--|
siuosde mantnymescele	-|--|--⌫---|----|---|
apresoren ge qu itantfet	----|----⌫-|--⌫|---|--|
dones n i afi ertmie	----|||---⌫--|--|
conquesescuznen	|-----|----||-|
fu partoi porte z	-|--|--|-----⌫|
nainzcheualier n eneusau dign er	|---|--------||-|--|-|----⌫-|
n apouriez nenestuost re chastel	|-------||-|--|----⌫-|------|
ot lelirois sen az zris	-|-|-|---||-||-⌫|--|
lo oyssireditxm	--⌫--|---|--|-|
me donedes paigne	-|---||--⌫-----|
toz lespor z	--|--|---⌫|
moieestla terre	---|--|-|----|
tuen s e nie rtlitresorz	----⌫|-⌫|--⌫-|-|------|
y y cheualier	-⌫|--------|
tenconduironten ost	|-|---------|-|--|
donemoi roisuauseure lagr a n t	---|--|---|-------|-|--⌫-⌫-⌫|
etauecnymeset le	-|---|----|-|-|
f ortmandement	-⌫--|--------|
s engite rai	|-|----⌫--|
l ema lpai enotrant	-⌫|--⌫|---⌫-|-----|
qui tantxms ad est ruitpo rneant	--|---|--||-⌫---⌫---|--⌫|----|
demainte sterres	-|------⌫|-----|
lesafet de fuiant	--||--|--⌫-----|
s edexmeueultaidie rpar soncom m ant	-⌫|--|-|----|-----⌫|--|--|---⌫-⌫--|
geautret e rre si reneuo sdema nt	-|----|-⌫-⌫--|--⌫-|-|--⌫|----⌫-|
d onezmoisireual so reetualsure	-⌫---|--|---|---⌫--⌫-|-|------|
don ezmoiny mes o	---⌫-|--|--⌫--||
lesgranzt orsagues	--|----|-⌫--|----|
apresorenge	----|-----|
ce lecitecremue	--⌫-|---|-----|
et neminoi set	-|-------⌫|-|
totelapasture	---|-|------|
si comlirosnes li cortporles des rube s	-|--|-|-----|-|---|--|--|---⌫----⌫|
dist lo oysbeausire dex aiue	---|--⌫--|---|---|--|---|
parunseu l homeiertcelehonor tenue	--|-|---⌫|---|---|---|----|----|
xmde seiornernaicure	-|-|-------||-|---|
cheuaucherai au	-----------|-|
so ir eta l alune	--⌫-|-||-⌫|---|
dem onhaube rccouertlafe utr eure	-|-⌫-|-----⌫-|-----||---⌫---⌫---|
seng iterailapute	|-|-⌫-----|-|---|
gen tta fure	---⌫|--⌫---|
sirexmdi t lirois	---|-|--⌫|-|---|
pa r celapostr equenquiert	--⌫|--|------⌫|-|-|-----|
ennoironprez	-|-----|---|
elne st pa smoienelauos	-||-⌫-|--⌫|---|-|-|--|
eincoisla tiene ntxmetescle r	------|-|-----⌫-|-|-|-----⌫|
clareausdorengeet sonfrere acer e	-------||-----|-|--|----|----⌫|
e tgoliaset	-⌫|-----|-|
li rois desrame	-|---|------|
etarroganzet mirant etbarre	-|-------|-|-----|-|----|
etyyp aume setson frere gondre	-|-|-⌫----⌫|-|--|----|-----|
otransde nimese tlirois murgalez	-----|-|----|-⌫|-|---|-------|
le roi tieb au ti	-|--|----⌫--⌫||
doitlencoron er	---|--|-----⌫-|
prise aorable	----||-----|
la seror l	-|----||
cest laplus belequ el en	|--|-|---|---|--⌫|-⌫-|
puissetro uer	-----|---⌫--|
en paienienenla	-|------||-|-|
crestiente	---------|
criengeseentreus	----|-|-|---|--|
queceleterrenepuissiez	--|---|----|-|-------|
mess iluospl estences teremanez	--||-|--|--⌫--|-|---⌫-|------|
toteg almentdeparto nsnozcitez	--|--⌫-----|-------⌫-|--|----|
uosauroizchartres	--|-----|-------|
etorliensme	-|------|-|
e tlac oron e	-⌫|-|-⌫----⌫|
qu e plusn	--⌫|---||
enquier porter	-|----|-----|
nonferaisi re ditxml eber	--|----|--⌫-|--|-|-⌫|--|
diroientcilb a ronnaturel	-------|--|-⌫-⌫--|------|
uezci xmle marchis	--|-|-|-|------|
au cort nes	-|---|--|
com meil a ore	---⌫-|-||--|
sondroit seign or monte ́	--|----|-----⌫-|-----⌫|
d emi s on regne liaparmidoné	-⌫--|-⌫-|----|-||----|----|
sinelen rentzz	-|-||-|---|-|
xxmmo nnoié	--|--⌫-----|
bien li a o re s onuiure recop é	---|-||-⌫-|-⌫-|----|-----⌫-|
sir exm ditlirois frans guerriers	---⌫|-|--|-|---|----|--------|
etuosque ch au t demau ue srep rouier	-|--|--|--⌫--⌫|-|---⌫--⌫|---⌫-----|
encesteterre nequie rqueme lessiez	-|----|----|-|----⌫|--|-|------|
uosaurezc hartresetmelessiez	--|----|-⌫------|-|-|------|
etlacoronequeplusneuosen quier	-|-|-----|--|---|-|--|-|----|
nonfe rai sirexmrespondie	--|--⌫--|---|-|--------|
por totlor desozciel	--|--||-|----|---|
deuostre henn or ne	-|-----|----⌫-|-|
u osq uie rabessier	-⌫-|-⌫---⌫|-------|
ainzl acroi st raiauf ereta lacier	---||-----⌫--⌫--|-|-⌫-|-|||----|
messires estessin e uosq uierboi sier	--|----|----|-|-⌫|--|-⌫---|---⌫---|
autensa fes t esaintmichiel	-|---||---⌫-⌫|----|------|
f uia saintgile lorsfuigechieszzber	-⌫-||----|---|---|--|-|----|-|--|
herberiamoilecortoischeua lier	-------|--|-|------|-----⌫---|
moltmedona	---|-|---|
aboi ure eta mengier	|---⌫--|-||------|
fainetauainea la uferra nt	---|-|-----|||-⌫------⌫-|
q ua ntce fucho sequeeusmesmengié	-⌫--⌫-|-|-|---⌫-|--|-----|------|
il senala espr ez es banoier	-||-|--|-|--⌫-|--⌫------|
osamesnielegentillch eual ier	|-|-----|-|------|--⌫----⌫--|
quantpar la resne me	----|--|-|----|-|
saisisa mo illier	----|-|--⌫-----|
gedescen dielemetintl estrier	-|------⌫-|--|-|---||------|
pu ismemenaauale n	--⌫-|-|---|---|-⌫|
etd elcel ier	-|-⌫-|---⌫--|
amontenzz solier	----|-|-|-----|
a inznensotmots ime ch ai aspiez	-⌫--||-|--|--|-⌫|-|--⌫-|-|---|
cuid aibeau si re	----⌫-|---|--⌫-|
q uelquiest amistiez	-⌫|-|-----|-------|
ou itel chose	-|---|----|
q uefemeahomequiert	-⌫-|---||---|-----|
se gelseu ss enem	-|-||---⌫--⌫|-||
q ui medonast yyxxfsde	-⌫-|-|-----|-|---|-|
demand ailidamefemeque	------⌫-|-|---|---|--|
mercixmnob i l ech euali er	----|-|---⌫-⌫-⌫|--⌫-----⌫-|
dece steter r e qua r u os praignep itie	-|--⌫--|---⌫-⌫|---⌫|-⌫-|------|-⌫---|
po ramor deu qui encroizfu	--⌫|---|--|--|-|----|-|
parlafenestre m efistmetremonchief	--|-|-------|-⌫|---|----|--|----|
toutela te rre	----|-|--⌫--|
ui plaine da uersiers	-|-----||-⌫-------|
uilesardoir	----|-----|
etuioler moustiers	-|-----|--------|
cha pelesfondre	---⌫----|-----|
e tt rebuchie rcloc hiers	-⌫|-⌫--------⌫|----⌫----|
mamelestortrea	------|-----||
cortois esmoillie r	-------⌫-|-------⌫|
queenmo n c uermenpristsi	--|-|--⌫|-⌫--||-|----|-|
grantpitie	----|----|
molttendrement	---|---------|
plor aide s eulzdelch i ef	----⌫-|--⌫|---|--|--⌫-⌫-|
lapleuig ele	-|----|-⌫|-|
gloriexdelciel	------|--|---|
eta saintgile	-||----|---|
do ntueno ie proier	--⌫-|----⌫-|-----|
quenc eleterrelorir oieaidier	-|-|-⌫--|----|--|--⌫--|-----|
a tantd e gentcomporraiiustisier	|---|-⌫|---|--|-----|--------|
sirexmdist looysli f ra ns	---|-|---|----|-|-⌫--⌫-|
qu antces tete rrene	--⌫--|---⌫-|--⌫--|-|
u osuientatalant	-⌫-|----||-----|
si maistdexgrainzensui	-||---|--|-----|-|--|
fr anccheu alier o ruenezdo ntauant	--⌫--|----⌫----|-⌫|----|--⌫-|----|
uoi r tot l euo stre	---⌫|--|-⌫|--⌫---|
tenezespaigne	----|-------|
pre nezlaparcest gant	---⌫--|-|--|---|---|
uosdoig paritel conuenan t	--|---|--|---|--------⌫|
seuos encro istne paine neahan	-|--|-|---⌫--|-|----|-|---|
cinea ill or s net en	-|-|-⌫---⌫--⌫|-||-|
seraigarant	----|-----|
et dit xm etge mie lz	-|--|-|-|-|---⌫-|
f orsseulem entzzseco rse nyy anz	-⌫--|------⌫--|-|----⌫-|-⌫|-|--|
ge lotroi bone ment	-||----|----⌫---|
o rferaiuoir totle uostre comma nt	-⌫|----|---|--|-|-----|-----⌫-|
granz mer ciz sire dit li	----|---⌫--|---|--|-|
cuen soreentent	----⌫|--|-----|
licuens xms estregardez	-|----|-||--|-------|
s i uitesterguielinetbe rtran	-⌫|--|----|------|-|--⌫----|
sineueufure n tfillbe rnar t debreban	-|----|----⌫-⌫|---|--⌫----⌫|-|-----|
ille sapel ehaut ementeno i ant	-|--⌫|----⌫|----⌫----|-|-⌫-⌫--|
uen ezau ant guielinetbert ran	---⌫-|--⌫--|------|-|----⌫--|
m i prochainparent	-⌫|-------|-----|
deuantleroi uosmetezenpresent	-----|-|--|--|----|-|------|
de cestehennor queciu ois	-|----|-----|--|-|-⌫--|
ensemble omo i que receu ez le gant	-------||--⌫|--|-----⌫-|-|---|
omoiauroizl esbiensetles ahans	|--|-----|-⌫-|----|-|--|----|
ot leber transi sor istfaintement	-|-|---⌫---|-|---⌫--|---------|
etdite n basquene	-|--|-⌫|--|--|-|
lententneant	|-----|----|
gefer aiia mononcl e mo lt dolant	-|---⌫-|-|--|----⌫|--⌫-|-----|
nonferoizsireceditli	--|-----|---|-|--|-|
cuen s bertran	----⌫|------|
quem olte st fier xm	--|-⌫--|-⌫-|---|-|
leuaillant	-|-------|
chautd istgu ielinl enfa nt	----|-⌫--|--⌫----||----⌫-|
quet ropsuiiuenesge n en	--|-⌫--|--|-----|-||-|
ai q ue yy anz	-|-⌫-|-|--|
enco rne puispainesoffrir	----⌫|-|---|----|------|
o tlebernartsonperedebreb an t	-⌫|-|------|--|---|-|----⌫--⌫|
zzpou q u ei lne	-|--|-⌫-⌫|-⌫|-|
pertlesens	---|-|---|
ha uce l apaume s i lia	--⌫--|-⌫|----|-⌫|-||
do ne ́grant	--⌫--⌫|----|
he fo x le chierresormas	-|--⌫|--⌫-------|-||-|
tu fetd olan t	-|--|-⌫----⌫|
deu ant le	---⌫--|-|
roi temetraienpresent	--|-|-----|-|------|
pa r cel apostre	--⌫|--|------|
que quierentpeneant	--|-------|------|
s aue cxmn e receuez	|---⌫|-|-⌫|------|
deceste e spee auras	-|----|-⌫---|----|
tuun egra nt	-|--⌫|---⌫-|
miredec est	---|-|-⌫--|
ioren auant	--|-|----|
qui u o ssaintme s	--|-⌫-⌫|----|--⌫|
entot uostreuiuant	-|--|-----|-----|
que r ezh enno r d ontuosn	---⌫-⌫-|-⌫----⌫|-⌫--|--||
auez neant	---|----|
gefis tantcom	-|--|---|--|
queparlapost re	--|--||-----⌫-|
quequierent peneant	--|-------|------|
iadel a m oienauroizmesplainz z gant	-|-|-⌫|-⌫--||-----|--|----|-⌫|---|
ainz la dorraitrestot a mon tala nt	---|-|-----|------||--|----⌫-|
auantpasserent g uielin	----|--------|-⌫-----|
et bertran	-|------|
s or unetab lemonterentenestant	-⌫-|--|---⌫-|--------|-|-----|
alo ruoi zcleresescrien thautement	|--⌫|---⌫|----||-------⌫|--------|
batuznos adanbe rnar z	----|--||--|--⌫----⌫|
m espar l apostrequequiere ntpeneant	-⌫-|--||------|--|------⌫-|------|
ce co mp arrontx metpersant	-|--⌫--⌫-----|-⌫|-|------|
bie n pueentdire ent résontenmal an	---⌫|-----|---|---⌫--|---|-|--|-|
ile n morrontamilliersetayy	-|-⌫|------||-------|-||-|
seur unetableestxm montez	---|--|----|--|-|-----|
asauoizclerecommenc a a crier	|-|---|----|-------⌫||----|
entendezmoide	-------|--|-|
f ranc ele	-⌫----⌫|-|
sedex ma istd e	-|--||-⌫--|-⌫|
cemepuisuanter	-|-|---|-----|
plus ai d eterre queyyde	---|-|-⌫|----|--|-|-|
e ncor n en aizziornelaquité	-⌫---||-|-|-|-----|------|
icedig easpoures bachelers	--|-|-⌫|-|-----|--------|
asm enuscops etasdrasdescirez	-|-⌫---|---|-|-|---|-------|
quantontse rui	----|--|--⌫--|
por neantconquester	--|----|---------|
s omoise uueulentdebataillee sprouer	||--|-|-------|-|-------|-⌫------|
gelor dorr ai deniers	-|--|----⌫-|------|
et heritez	-|------|
chasteausetm archesdon ion s et fermetez	--------|-|-⌫-----|---⌫---⌫|-|-------|
selepaismaiden ta	-|-|---||-----⌫||
co nquester	--⌫-------|
e t la loi deues sauci er etmonter	-⌫|-|--|--|--⌫-----⌫-|-|-----|
ceuu eillge dire aspoures bach elers	-|--⌫---|-|---|-|-----|----⌫----|
asescuiersqui ontdras d epane z	-|-------|--|--|---|-⌫-----⌫|
s en uienent e spaig neconquester	|-|------|-⌫-----⌫-|---------|
et lepaismaidentaaquiter	-|-|---||-----||------|
et l a loideue ssaucier	-|-⌫|--|--|-⌫-------|
ta ntlordorraideniers et	--⌫-|--|-----|------|-|
arg ent c ler	---⌫--|-⌫--|
chasteausetmarches don ion setfermetez	--------|-|------|---⌫---⌫|-|-------|
destrier sdespaignesiseron t adoubé	--------⌫||-------|-|-----⌫|------|
quantc ill oirentsi son tioiant	----|-⌫-||-----|-|---⌫|-----|
ahau teuoi zcommen c entahuichier	|---⌫-|---⌫|------⌫-⌫--||-------|
sirexmpordeune	---|-|--|--|-|
uostargiez	--|------|
qui n a cheual	--|||-----|
o uosiraapie	|--|--||--|
quidontueis t	--|---|----⌫|
les pouresescuiers	--|-----|-------|
ensemble oelsles poure scheualier s	-------||--|--|-----⌫|---------⌫|
uontaxm lemarchisauuisfier	---||-|-|------|-|--|---|
enpetitdeureen ot	-|----||---|-|-|
yymilliers	-|-------|
a lorpooir sdar mesapareil lié	|--|-----⌫||--⌫--|-------⌫---|
quituit en ontiuréet	--|---|-|--|----|-|
neli faudron tpor les membrestra nchier	-|-|-------⌫|--|--|------|---⌫-----|
uoitle cuens s	---|-|----||
e n est i oian zet liez	-⌫|--|-⌫----⌫|-|---|
de deu degloireles en amerciez	-|--|-|-----|--|-||------|
licuensxmfistforment	-|----|-|---|------|
a proisier	|-------|
a looys ua prendrelecongie	|----|-|------|-|-----|
doned e g rezet uolantier s	---|-⌫|-⌫--|-|---------⌫|
a l ez b eausireau glorieusdel	-⌫-⌫-|-⌫--|---|-|-------|--|
ihe susdegloire	---⌫--|-|-----|
uosdointbienesp loitier	--|----|---|---⌫------|
doi ntsainet	---⌫-|---|-|
saufrepairie r	---|--------⌫|
l emarchi s auuisfier	-⌫|------⌫|-|--|---|
ens embleolu imaint gen til cheualier	---⌫----||--⌫|----|---⌫--|--------|
p armi lasaleezuosa ymon	-⌫---|-|---|-|--|-⌫---|
d exleconfon deleglor ieusdel c i el	-⌫-|-|------⌫-|-|----⌫---|--|-⌫-⌫-|
ouuoit leroise	-|---|-|--|-|
lp ristaaresnier	|-⌫---||-------|
dr oize mpererescomest esengign iez	--⌫--|-⌫-------|--|---⌫-|------⌫--|
comm ent beausirelooys respondie	----⌫--|---|---|----|--------|
ilceuos dirai gebien	-|-|--|----|-|---|
de s orsen uet xml e guerrier	--⌫|-||-|--|-|-⌫|-------|
ensacom pai gnemaintg entil	-|-|---⌫---⌫--|----|-⌫----|
c he ualier	-⌫--⌫-----|
l aflo rdefr anc euos a fetsi	-⌫|---⌫|-|--⌫---⌫|--||--|-|
sautguerre neuos por roizaidier	---|-----|-|--|---⌫---|-----|
etsic roibienquilreuendraapie	-|-|-⌫--|---|-|-|-------||--|
tuit liautre	---|-|----|
erentmenéa mendie r	----|----||------⌫|
neditpreul ooysrespondie	-|--|---|-⌫---|--------|
moltestp reudon xmleguerrier	---|--|-⌫-----|-|-|-------|
ennul eterrenameillorch eualier	-|---⌫|----|||------|--⌫------|
bien ma s eruiauferet a l	---|||-⌫---|-|--|-|||
ihesus degloirelendoi ntbien	-----|-|-----||-|---⌫-|---|
d o int tote	-⌫-⌫--|---|
espaignea quitier	-------|-⌫------|
iluecauoitzz	----|----|-|
ge ntilcheua lier	--⌫---|-----⌫---|
q u enape loitletol osa n tgautier	-⌫|-|---⌫---|-|---⌫---⌫-⌫|------|
quantil oi xmle dengier	----|-|-|-|--⌫------|
moltfudolantniotque	---|-|-----|||-|--|
c or rocier	-⌫--⌫-----|
isnele m entaua l ele planchier	------⌫-⌫--|---⌫-⌫|-|--------|
uintax mselsesi par	---||-⌫|-||---|--|
e tparlares nede so n corantdestr ier	-⌫|--|-|---⌫-|-|--⌫|-----|-----⌫--|
sired istil m oltesbuencheua lie r	---|-⌫--|-|-⌫--|-|---|-----⌫---⌫|
m eselpa lesneuaustuzzxxm	-⌫-|-|--⌫--|-|---|-|-|--|
quidit cedon ques	--|--|-|---⌫---|
dit xmlefier	--|-|-|---|
si r e ditil	--⌫-⌫|--|-|
gen e luosdoin o ier	-|-⌫||--|--|-⌫-⌫--|
foiquedoiuoscafetaymesle	--|--|--|--|||--|----|-|
enuersleroiuospens ed	-----|-|--|--|----⌫||
etditx m il	-|--|-⌫|-|
l eco mparrachier	-⌫|--⌫-----|----|
medonequepu issereperier	-|---|--|--⌫---|-------|
feraitoz lesm em brestranchi er	----|--|--|-⌫--⌫---|-------⌫-|
oupendre as forches oue n eue noier	-|-----|-|------|-|-⌫|--|----|
et ditg autiern ai so ing	-|--|-⌫-----||-|--⌫--|
deme nacier	-|--⌫-----|
tiex hommenacequine	---|--|-----|--|-|
uautzzxx m	---|-|--⌫|
mes dune c hoseuos	--||--|-⌫---|--|
uorroiep roier	------|-⌫----|
loncles eru ise li rendez so nloi er	---|-|-⌫---⌫--|-|-----|--⌫|---⌫-|
etyy e nfanzque i lotengendré	-|-|-⌫----|--|-⌫|-|--------|
decesapenseli ui lains	-|-||-----|-|--⌫----|
ques en ez	--|-⌫--⌫-|
qu eselest	--⌫|--|--|
r egned on tfune z	-⌫---|-⌫--⌫|-|--⌫|
desorson charazztonelleué	----|--|---||-|----|----|
emplie t tot raséde se l	----|-⌫|--|----|-|--⌫|
lesyyenf anzque ilo t e ng endr ez	--|-|---⌫--|--|-|-⌫|-⌫--⌫----⌫-|
ie uentetrientett ienentpainassez	--⌫---|-|----|-|-⌫-----|---|----|
a l abillete ie uent	|-⌫|------|--⌫---|
xms enri ent	-||-|--⌫--|
queferoientilel	--|-------|-|-|
licuen sbe rtran lena	-|----⌫|--⌫----||-||
d i nosui lainpar talo i dones	-⌫|--|--⌫---|--|-|--⌫|--|-|
etcilresp ontiaorro izuerite	-|--|----⌫--|-|----⌫-|-----|
parmahomsirede	--|----|---|-|
l aualdes us	-⌫---|---⌫-|
saint gile ouieaiconquest é	----|---|-|-|-|--------⌫-|
orm enreuoi s p orr eclo rr e mesblez	-||-|-----⌫|-⌫-|-⌫----⌫--⌫|--|---|
lesmeuo loit s a uuer	--|-|--⌫---|-⌫-⌫---|
b i e n m e n garroietantenai	-⌫-⌫-⌫||-⌫|------|---|-|-|
die nt xmorasqu e b risparlé	---⌫-|-|-|-|--⌫|-⌫--|-----|
quanttuce croizquexmso itde	----|-|-|----|--|-|--⌫-|-|
queparluiaies richec ene plante	--|--|--|---|------⌫|-|-----|
c halore n este	-⌫----|-⌫|---|
lentedeuroittoz lesmem bresc oper	--|-|------|--|--|---⌫---|-⌫---|
etditxmbaron	-|--|-|----|
lessi ezester	-----⌫-|----|
du naut reafereuorr ai a luipar le r	|-⌫|---⌫-|----|----⌫-||--|---⌫--⌫|
licuensxm licom mencaadire	-|----|-|-|---⌫----||---|
diuauilainpar	---|-----|--|
do nttuuiu es	--⌫-|-|---⌫-|
fustuanymesla fort	--|-||----|-|---|
