uneman ieredegentsunt	--|---⌫---|-|---|---|
derasembleri llecarriere	-|--------|-⌫---|------|
l icheualier sentel m anere	-⌫|---------⌫|-|--|-⌫----|
s enparte t	|-|---|-⌫|
ladam eluscl ot	-|---⌫||-|--⌫-|
mes tantcomm eueo irlep ot	--|---|----⌫|---⌫-|-|-⌫-|
le conuoiad e	-|------|-⌫|
sesbiauxex	--|----|-|
quante llenepoutfere	----|-⌫--|-|---|---|
quant liduzuit c lorre luseit	----|-|--|--|-⌫----||----|
tantost alauoie se met	------||-|---|-|--|
tantqu eleche ualier	---|--⌫|-|---⌫-----|
qui aluime ismese	--||--|--⌫---|-|
s icomme iladit	-⌫|----|-||--|
quitropl i adu répetit	--|---|-⌫||--⌫--|----|
autelpenseeet autel zdiz	----|-----|-|-----⌫|--|
outcelled o ncilertpartilz	--|----|-⌫-⌫-|-|--|------|
aqui ilsemblaporlanuit	|--|-|-----|--|-|---|
q uefailli	-⌫-|-----|
sond eduit	--|-⌫----|
ne du io urneseloepoi nt	-|-|--⌫-|-|-|--|---⌫-|
li c heualierser ten	-|-⌫--------|--⌫|-|
etdepenseeet	-|-|-----|-|
quant lid u z l ataintsi	----|-|-⌫-⌫||-----|-|
et li a f etio ie	-|-||-⌫-|--⌫-|
mo ntgrant	--⌫-|----|
etliditieu ousacr eant	-|-|--|-|-⌫--|---⌫---|
que touziorsme suousam erai	--|---|---|--⌫|---|--⌫---|
neiam esior	-|-|-⌫-|--|
ne uousharrai	-|---|-----|
du tout u oir mauezdit	-|---|-⌫--||---|--|
e tladucessem ame ntit	-⌫|-|------|||--⌫---|
sire dist ilp or	---|---|-|-⌫-|
dieumerchi	---|-----|
etporsess ainz uous q uie ret	-|--|--|-⌫---|---|-⌫---⌫|-|
quecest c onseilcel er uouspleise	--|---|-⌫-----|---⌫-|---|-----|
q u amors perdroi eet ioie	-⌫|----|-------⌫|-|---|
etmorroiesanznule faute	-|------|---|---|----|
seiesauoie quenulautre	-|-|-----|--|--|----|
ice ns e ustforsuous s anz	---⌫|-⌫-⌫--|---|---|-⌫--|
ornenp e nsez ia	-||-|-⌫-⌫---|-|
sachie zquilert si	------⌫|-|-|--|-|
bien celé	---|----|
que iaparmo i	--|-|--|--⌫|
nen ert parle ́	|-|--|-----⌫|
sontpar lantuenu	---|---⌫---|---|
a ulieu donc	-⌫|---|---|
ilerent me u	-|----|--⌫|
etce liourquantuintaumengi er	-|--⌫|---|----|---|-|-----⌫-|
mou stra lidu zaucheualier	---⌫---|-|--⌫|-|--------|
p lusbiausembl ant conqu esnoutfet	-⌫--|---|-----⌫--||----⌫-||--|--|
donctelzcourou z	---|---|------⌫|
etteldehet	-|--|----|
en outladucessesanz	-|--|-|------|---|
qu ele seleua	-|--|-|---|
d elata ble	-⌫|-|--⌫--|
et afait se m b lantpar faintise	-||---|--⌫-⌫-⌫---|--|-------|
que maladie lisoitprise	--|------|-|---|----|
cou chieren	---⌫----|-|
outmont poi ded elit	--|---|--|-|-⌫---|
e tliduzqu antilout mengié	-⌫|-|--|--⌫--|-|--|------|
dedu itetfe stié	----⌫-|-|--⌫----|
siualaducesse ueo i r	-|-|-|------|---⌫-⌫|
ensonlitseoir	-|--|--|----|
et acommand é q uenul li	-||-------⌫-|-⌫-|---⌫-|
neremaigne l eenz fo rsli	-|-------|-⌫---|--⌫-|-|
lenfi sterrant cenquilcommande	--|--⌫-|-----|--|-|-|-------|
et li duzerrant lideman de	-|-|--|-----|-|-----⌫-|
donccel malli	---|--|--|-|
estoituenu	-----|---|
e tquecefuquelleouteu	-⌫|--|-|-|-|---|--|-|
ellerespontsedex megar t	---|------|-|--|-|---⌫|
i ene medo n noie regart	-⌫|-|-|--⌫-⌫---|-----|
orains quantaumengierassis	-----|----|-|------|----|
quegreigno r senset	--|-------⌫|---|-|
quei en iui	--|-⌫|||-|
quant uoustene zplus	----|---|----⌫|---|
queie uous	--|-|---|
diqueilpo urchas se	-|--|-|--⌫------⌫-|
queil amoy hont ee t d es pitface	--|-||--|----⌫|-⌫|-⌫--⌫--|---|
e tquant uiqueplus biausembla nt	-⌫|----|-|--|---|---|------⌫-|
lifei stesplus qu e de uant	-|---⌫---|---|--⌫|--⌫---|
sigr ant due l	-|--⌫--|---⌫|
et si grantyreoi	-|-|----|--|-|
que i llecquesdem o urerne p oi	--|-⌫-------|---⌫-⌫---|-|-⌫-|
aydist liduzdouce	-|---|-|--|----|
sachie zie	------⌫|-|
necr eroiemie	-|--⌫----|--|
neuousne autrecreature	-|---|-|----|-------|
queonqu esparnulleaue n t ure	--|----⌫-|--|----|---⌫-⌫-⌫--|
aueni s t cenqu eu ous medite s	-----⌫-⌫|--|--⌫|-⌫--|-|----⌫|
ainzsai bie n q uilen e sttotquites	---|--|---⌫|-⌫|-|-|-⌫-|--|-----|
sinemen pa rlezdes or	-|-||-|--⌫---|--|-|
at antsepart dilecliduz	--⌫--|-|---||---|-|--|
etcel eremestsi p ensiue	-|---⌫|-----|-|-⌫-----|
qu eiamesiour	--⌫|-|--|---|
q ueeleuiue	-⌫-|--|---|
a i esen esera	|-⌫--|-⌫|---|
deuantquep lus aprisa ura	-----|--|-⌫--|----|-⌫--|
de c endo ncli d uzli deffent	-|-⌫-|--⌫-|-|-⌫-|-|------|
quelene li	-|--|-|-|
dem ant nient	---⌫--|----|
nel entendradeffens e	-||-|-----|-------⌫|
que rensoncuer	---⌫|-|--|---|
e nginporpens e	-⌫---|-------⌫|
commeel le le	----|--⌫-|-|
po rrasauoir	--⌫--|-----|
s ele s enseuffre iu sq uasoir	|--||-|------|--⌫--⌫||---|
qu eleaitl eduentresesb ras	-|--|--|-⌫|-|----|--|-⌫--|
que relles eitbie ntelsoulas	---⌫|---|-⌫--|---⌫|--|-----|
quen feracen	-|-|---|--|
n edoutepoint	-⌫|----|----|
miexso nuouloir qu enautrepoint	---|--⌫|------|-|-|----|----|
por cen adoncata ntse	--|--|----|---⌫-|-|
etquantleduccoucherse	-|----|-|--|------|-|
aunepartdu	|--|---|-|
s emblant faitquepoint	-⌫------|---|--|----|
qu eli duz o lie	--⌫|-|--||--|
g esirdoie	-⌫---|---|
q uele soitbienceestlauoie	-⌫|--|---|---|-|--|-|---|
de sonmarimetreau desoz	-|--|---|----|-|----|
quefairesemblantdecorouz	--|----|-------|-|-----|
acroirequelesoi tirie	|-----|-|--|---⌫|---|
p o rcensan zplu s q u	-⌫-⌫|--|---⌫|---⌫|-⌫|
illab eisie	-|||-⌫----|
lidistellemonte stesfa us	-|---|---|---|-⌫---|--⌫-|
et tric hierres et desloiau s	-|----⌫------|-|--------⌫|
qui memoustre zsemblant damor	--|-|-------⌫|-------||---|
nemamastez	-||------|
etiaiesté	-||-|----|
lonctemp ssi	---|----⌫|-|
queiai creuuostreparole	--||-|---|-----|-----|
quersou uen tes foizd isiez	---|---⌫---⌫--|---|-⌫----|
queducuer loi alm a miez	--|-|---|---⌫-||-⌫---|
meshuim e s uiapercheue	--|--|-⌫|-⌫-|--------|
queie naieste ́d echeue	--||-⌫|-|----⌫|-⌫-----|
et dis tli duzetuousen	-|---⌫|-|--|-|---|-|
iame deistesparmafoy	-|-|------|--|-|--|
f ait cell equi am aly b ee	-⌫--|----⌫|--||-⌫-||-⌫-|
queienefusse	--|-|-|----|
uousenqueri sse	---|-------⌫--|
dec en queuoussauez orbi en	-|-⌫-|--|---|----|-|--⌫-|
dequoysuer	-|---|---|
dist li d uzpo rde	---|-|-⌫-|--⌫|-|
decen queie	-|--|--|-|
uousaycon té	---|-|---⌫--|
selaparoleestfausseou	-|-|-----|--|-----|-|
que ie uous filz	--|-|---|---|
p enser e tcroire	-⌫----|-⌫|-----|
sa uoirnemechaut	--⌫---|-|-|----|
aipen séquepetituaut	-|---⌫--|--|----|---|
a uo us amerdecuerleal	|--⌫-|---|-|---|---|
quequecen fustoubien ou mal	--|--|--|---|-|---|-|--|
le miencuer	-|---|---|
neuitn enesot	-|--|-⌫|-|--|
qu eneseu ssie ́ saussitost	--⌫|-|---⌫----⌫-⌫|--------|
uoique uousmecelez	--|--|---|-|----|
uostre mercilesuos	-----|----|--|--|
or cesachiez biensanzdo uta nc e	-|-|------|---|---|--⌫---⌫--⌫|
queia mes naurai telfiance	--|-|--||----|--|-----|
enuoussire	-|---|---|
detelmaniere	-|--|------|
co m mi aieuc ha en	--⌫-⌫||-|-|-⌫-|-|
lor srecomm encha aplorer	---⌫|------⌫----||-----|
laducesse etasosp i rer	-|------|-||----⌫-⌫--|
etsesforcha plusquelepout	-||-------|---|-|--|---|
etli duztelpitie enout	-|-|--|--|----|-|--|
d itma dou ce	-⌫-|-|---⌫-|
iene soufferroiea nulfeur	-|-|----------||--|---|
n euost recourrout	-⌫|----⌫-|-------|
mess a ch iezie nepuis	--|-⌫-⌫--⌫--|-|-|---|
cenqueuo ulezqueieuous	--|--|--⌫---|--|-|---|
sanzfairetropg rant	---|----|---|-⌫---|
ellerespont	---|------|
isn elepas	---⌫-----|
siresenele	---|-|-|-|
dite s pas	----⌫|--|
auosemblant	|-|-------|
qu e n moyneuo us fiez pastant	-|-⌫|--|-|--⌫-|---|--|---|
que celas se uostre conseil	--|-----⌫-|-----|------|
etsachi ezque	-|-----⌫-|--|
tropmemeru eil	---|-|----⌫--|
connoiste sgra n t nep etit	|-||-----⌫|---⌫-⌫|-|-⌫---|
conse il queuousm e u ss iésd it	-----⌫-|--|---||-⌫-⌫--⌫---|-⌫-|
doncdescouuertfussi ésparmoi	---|---------|-----⌫--|--|--|
et s iuousdien b o nne foy	-|-⌫|---|-|-|-⌫-⌫--|--|
iaen ma u ie	-|-|-|-⌫-|
q uantceou td it sireplora	-⌫---|-|--⌫|-⌫-|-|------|
duzsil acole et bei se	--|-||----|-|---⌫-|
qui deson cors	--|-|--|---|
estamesaise	--||------|
nep lus ne sepoutdetenir	-|-⌫--|-|-|---|------|
de s oncourage descouurir	-|-⌫-|------|---------|
aditmado u cedame	|--|-|--⌫-⌫-|---|
sai que fair e	--|--|----⌫|
quertantmefi en	---|---|-|-|-|
uous etcroy	---|-|---|
quechosecele rneuousdoi	--|----|----⌫|-|---|--|
messachiez	--|------|
itantuousen di	----|---|-|-|
quese iesuipar uous trai	--|-|-|--|--|---|---|
u o usenrecheurie zlamo rt	-⌫-⌫-|-|---------⌫|-|--⌫-|
celerespontb ienmi ac ort	---|------|-⌫--|||--⌫--|
es trenepor roitq ue	--⌫--|-|---⌫---|-⌫-|
c hosedo ncuersuousm espreisse	-⌫---|--⌫-|---|---|-⌫--------|
l ai meporcelacroit	|--⌫-|--|-|-|----|
etcuidequ eueritesoit	-|----|--⌫|-----|---|
e le adit puis liconte	-⌫-||--|---|-|----|
desani eche t r estout	-|-|--⌫---|-⌫-⌫-----|
c om meap r islout ducheualie r	-⌫--⌫-|--⌫-⌫-||--|-|--------⌫|
et comment ilfu en ue rg ier	-|------|-|-|-|--⌫--⌫--|
enlangleit ou	-||------|-|
il nou tq uelzyy	-||--⌫|-⌫|--|-|
quant l e ch enet soruint aeulz	----|-⌫|--⌫---|------||---|
issue etde l	----|-|-||
lialauer itecontee	-||-|---⌫--|-----|
ariens teu	|----|--|
qu e ilyaitoi ne ue u	--⌫|-||--|-|-|--⌫|
etquant laducesse l	-|----|-|------||
quecilaime	--|--|---|
plusba ssement	---|--⌫------|
q ui des amourlaescondite	-⌫-|-||----|||--------|
morte set iente t a d espite	----|-|-⌫---|-⌫||-⌫-----|
m e s oncdece nsemblan t n enfis t	-⌫-⌫|--|-|--⌫|-------⌫||-|---⌫|
ainzotriabi enetpram ist	---|----|--⌫-|-|----⌫--|
abiencelerceste	|---|----|----|
aui ent qu elle des cueure	---⌫--|-|-|-|---⌫-----|
q uelenlap e ndeau ne	-⌫-|--|-|-⌫-⌫--||-⌫-|
est iliamonttar t	--|-|-|---|---⌫|
c el leparlle	-⌫--⌫-|-----|
qu ele h eit	-|--|-⌫--|
d es yce llehorequele s eit	-⌫-|---⌫--|---|-|--|-⌫--|
queel eestamie acelui	--|--⌫|--|---||----|
qu i lia fet honte	--⌫|-||--|----|
ce liestauis	-|-|--|---|
quei lne ueut estresesam is	--|-⌫|-|---|----|--|--⌫-|
siaffe rmetou tsonpourpens	-|----⌫--|---⌫|--|-------|
ques ele uienten lieu ne n	--||--|----|-|---||-⌫|
q uala nie che leduc parout	-⌫||-|---⌫--|-|--|-----|
qu e leli di ra ausitost	-|-⌫-|-|--⌫-|-------|
ne ianeceler atelc hose	-|-|-|-----⌫|--|-⌫---|
ou felonnie	-|-------|
aura enclose	---|------|
mesoncenpointn	--|--|-|----||
enlieunen u int	-|---||-|-⌫--|
tantquela pent ecosteuint	---|--|-|----⌫-----|---|
quecefulafeste perm iere	--|-|-|-|----|----⌫---|
tintsacourtpleniere	---|-|----|-------|
en uoiapartout querre	--⌫---|------|-----|
l es damesde tou tesaterre	-⌫-|----|-|---⌫-|-|----|
etsan iecheto utpremeraine	-|-|-⌫----|--⌫-|---------|
quidu uergiertchastel aine	--|-|----|--|-------⌫---|
ladu ces se	-|--⌫---⌫-|
tantosttoutle	------|---|-|
com celeen monde	--|---|-|----|
que plusheit	--|---|---|
mes soncourage	--|--|------|
cel e r seit	---⌫-⌫|---|
siqueplusbiau	-|--|---|---|
sembla ntlifait	------⌫-|-|---|
co n quesd euant ne	|-⌫-⌫---|-⌫----|-|
l iou tfait	-⌫|--⌫|---|
mesmongrant	--|--|----|
talent outdedire	-----|--|-|---|
ce ndoncellea	--⌫|---|---||
au cuer grantire	-|---|----|--|
et lademeure mon tli	-|-|------|---⌫|-|
por c eli iourde pente co ste	--|-⌫--|---|-|-----⌫--⌫--|
que l establesfurentostees	--|-⌫-|-----|-----|-----|
ducessemenees	------|-----|
les dame senla ch ambreo	--|----⌫|-|-|--⌫----||
porellespar eren	--|----|---⌫-|-|
quelennelestenis tporfole s	--|--|-|--|-----⌫|--|----⌫|
l o rs n e poutte nirses	-⌫-⌫-|-⌫|---|--⌫--|--|
l aduce ssequiuitsonl ieu	-⌫|----⌫--|--|--|--|-⌫--|
sidist ausi comm epargie u	-|---|---|----⌫|--|---⌫|
cha steleinesoiezbiencointe	---⌫-------|----|---|-----|
querbel amiaue zetcointe	---|--|--|---⌫|-|-----|
etcelerespontsim plem en t	-|---|------|---⌫----⌫--⌫|
ienes aique laco in tem ent	-|-|-⌫-|---⌫|---⌫--⌫---⌫--|
ma dameporuoir	-|---|--|---|
quer ne uou droie	---|-|---⌫----|
a miauoi r	-⌫-|----⌫|
quenefustdutout al enor	--|-|---|-|---|||---|
et demoyetde monseignor	-|-|--|-|-|--|------|
otribien dist la ducesse	---|---|---|-|------|
mes uous estesb o nnemest resse	--|---|----|-⌫-⌫--|----⌫----|
quiauezaprisleme stier	--|---|----|-|--⌫----|
dupet itche netaf fetier	-|---⌫-|---⌫--|--⌫-----|
me snes euenta	--⌫|-|-⌫----||
quoycemonte	---|-|----|
o laducessesenreuont	|-|------||-|-----|
ask a roles quifaites sont	-|-⌫-⌫----|--|-----|---|
chastelaineremain t	----------|------⌫|
irelit roubleett aint	--|-|-⌫-----|-|-⌫---|
etlitress ue	-|-|-----⌫-|
touteuuentre	---|-|-----|
de d enz unegarderobeentre	--⌫-⌫--|--|--------|----|
ou unepu celeteeste it	-|--|--⌫-----|----⌫-|
qui aspiez du nlie tsegeseit	--|-|---||-⌫|---⌫|-|-----|
la poutueoir	-|---|----|
enliet s es t lessiechaoir	-|---||--⌫|-----|-----|
l ach asteleinemont	-⌫|--⌫--------|---|
montsecomplai ntetsedemente	---|-|-------⌫-|-|-|------|
biau sirede x me rci	---|---|--⌫|--⌫--|
quepuetestreque i ai oi	--|---|----|--||-|-|
damemafai tregre it	---|||---⌫|-----⌫-|
queiaiaffe tie ́lech e ne t	--||-|----⌫---⌫|-|--⌫-⌫--⌫|
seitelleparnul ui	---|---|--|---⌫-|
censaiiebien	--|--|-|---|
fors parcelui	---|--|----|
que i amoieet traie	--||----|-|----|
necen neli deistil ia	-|--|-|-|----|-|-|
s ali e neust grant acointance	||--⌫||---|----|---------|
ets ilnelamastsanzdoutance	-||-|-||----|---|-------|
plusquemoyqu ei latraie	---|--|--|--⌫|-⌫||----|
mesoruoiquil nem aimemie	--|-|--|-|-|-||---|--|
quant ilme fautd e couuenant	----|-|-|---|-⌫|--------|
douzdiexetie	---|---|-|-|
co mri e ns peustplusautreamer	--⌫|--⌫-⌫-|----|---|----|---|
quaillorsne pouoie pe nser	-|------|-|-----|--⌫---|
neisiour n e une	---|---|-⌫|--|
qu eci ert maioieetmondeduit	--⌫||-⌫--|-|---|-|--|-----|
etmondeduit et monc onfort	-|--|-----|-|--|-⌫-----|
e tmonsoulaset	-⌫|--|-----|-|
m on d eport	-⌫-|-⌫----|
haamisd oncestce n	-|---|-⌫--|--|--⌫|
quepouezestredeuenu	--|----|----|-----|
q uantuer smoy auezes téfaus	-⌫---|---⌫|--|---|--⌫--|---|
iecuidoiequeplus	-|------|--|---|
mefussiezsedexmeconseut	-|------|-|--|-|------|
quetris tra nsn efua yseut	--|----⌫---⌫-|-⌫|-||----|
plusuousamoie lamoitie	---|---|----|-|-----|
sede x aitiademoy piti e	-|--⌫|--|-|-|--|----⌫|
quene fesoie	--|-|-----|
m oymeismes	-⌫-|------|
no nquesau ant ne puisne	|-⌫----|--⌫--|-|---|-|
n emesfizuersuousnullerien	-⌫|-----|---|---|----|---|
ausi m ai tsaintiuli en	---||--⌫|----|----⌫-|
porquo y medeussiezhair	--|---⌫|-|-------|---|
nesiuil aine me nttr air	-|-|---⌫----⌫--⌫-|--⌫--|
co mmeanosa morsdepechier	--⌫--||--|-⌫---|--------|
porautreamer et moylessier	--|----|---|-|--|------|
et descouurir nostr e conseil	-|---------|-----⌫|------|
etsachez quetrop	-|-----|--|---|
men m erueil	|-|-⌫-----|
quelimie ncuer simait	--|-|---⌫|---|-||--|
nefu onquesuersuous	-|-|-----|---|---|
quesetou t le m ont	--|-|---⌫|-|-⌫--|
ette rreetparadis	-|--⌫--|-|------|
medonnastd iexpasn e	-|------|-⌫--|--|-⌫|
p arco uuenantqueu o usperdisse	-⌫-|--⌫------|--|-⌫-⌫-|-------|
que uousesti ésmariches che	--|---|----⌫--|-|------⌫--|
etmasanteet	-|-|----|-|
ne r iens greuerne	-|-⌫---|-----|-|
t antcomme m es las cuersseust	-⌫--|----|-⌫-|--|----|----|
queliuostrede riens	--|-|-----|-|----|
hafin amor	-|--|---|
quecil feistuersmoi des roi	--|--|----|---|--|---⌫--|
q uiuei stquantil	-⌫-|---⌫-|----|-|
queiefesoiemonp ouoir	--|-|-----|--|-⌫----|
deferet restoutson uouloir	-|---|-⌫------|--|------|
queilert t o ut mienset	--|-|--|-⌫-⌫-|----|-|
metenoitetde corset	-|-----|-|-|---|-|
d isoitsidou c ement	-⌫----|-|---⌫-⌫----|
quel encreoieuraiem ent	--||-|-----|------⌫--|
qualu iamermestoitsibon	-||--⌫|---||-----|-|--|
cuerpernoie	---|------|
d elime pens oie	-⌫|-|-|----⌫--|
q ueilsetenoit amon	-⌫-|-|-|-----||--|
t outesau ieetsonaage	-⌫---|-|-⌫-|-|--|---|
etbienconnoi samon courage	-|---|------⌫||--|------|
sauantmourust	|----|------|
quetant lamasse	--|---||-----|
qu eapresl ui	--⌫|----|-⌫-|
petitdurasse	----|------|
mort eoluiuousi sseestremiex	----⌫||--|-----⌫--|----|---|
qu e uiuresiquedemes	--⌫|----|-|--|-|--|
nel eueisse nulle foiz	-|-⌫|-----|----|---|
am o restcend ocdrois	--⌫-⌫|--|--|-⌫-|----|
que cil aainsi	--|--||----|
descouuert	---------|
nostreconse ildon cil	-----|-----⌫-|---⌫|-|
am o rotrier li dis	--⌫-⌫|-----|-|--|
et bienencouuen antli	-|---|-|------⌫--|-|
queacelehoremeperdr oit	--||---|---|-|-----⌫--|
quenostreamord escouu riro i t	--|-----|---|-⌫------⌫----⌫-⌫|
etquantiai auant perduli	-|----||-|----|----|-|
ne puis ap r es	-|---|--⌫-⌫-|
sigrantanui	-|----|---|
uiuresanzl i porquime dueil	----|---|-⌫|--|--|-|----|
neiene q uierne	-|-|-|-⌫---|-|
ien euoi l	-|-⌫|---⌫|
nemauienemeplaistpoint	-|-|--|-|-|-----|----|
ain zpri di euquela	---⌫|--|--⌫-|--|-|
mortmedoinst	---|-|-----|
etquetoutaussi urai eme n t	-|--|---|----|----⌫---⌫-⌫|
comme iaiaméloiaum e nt	----||-|---|------⌫-⌫-|
cen mapourc hacié	--|||-----⌫-----|
aitde l ame de	--|-||--|-|
eta ce li quia sontort	-||--⌫-|--||--|---|
m a traie et	||----|-|
liureeamort	-----||---|
doinst henor et ie	-----|----|-|-|
n ema mort ne stse douce non	-⌫|-|---||-⌫-|-|----|--|
ceme s tauis qu antd e liuie nt	-||-⌫-⌫|---|--⌫--|-⌫|-|---⌫-|
etquantde s amour m e	-|----|-||----|-⌫|
porli mourirnem est	--|-|-----|-||--|
atantsetutla	----|-|--|-|
chas t el aine	----⌫-⌫--⌫---|
mesq u eledistensouspirant	--|-⌫|--|---|-|---------|
a dieuuouscommant	|---|---|------|
a cest mot desesb ras	|---|--|-|--|-⌫--|
sest raint	|---⌫----|
lifaut leui s li t ain t	-|---|-|--⌫|-|-⌫---⌫|
angoisseuse ments est pamee	-----------⌫---||--|----|
etgiestmorte etdescoul oree	-|----|----|-|-------⌫---|
enmielelitmorte sa nz uie	----|-|--|----|--⌫-|--|
messe samis ne	--|--⌫|---|-|
quise de duisoitenlasale	--|-|--⌫------|-|-|---|
alak arole	|-|-⌫----|
oudanc e et bale	-|----⌫|-|---|
m esneliplaist riensque	-⌫-|-|-|-----|----|--|
q u ant celeaq uison cuer sotroie	-⌫-⌫--|---||-⌫-|--|---||-----|
n iu oi tpointdo nctrop semerue ille	||-⌫--⌫|----|--⌫-|---|-|-----⌫---|
siaditaudu c	-||--|-|--⌫|
sire qu estcenque	---|-|--|--|--|
u ostrenieche	-⌫----|-----|
estdemoure es i grant pieche	--|-------⌫|-⌫|----|-----|
quenestas k arol esuenue	--||--|-|-⌫----⌫-|----|
biencroiq ue lauez miseenm ue	---|---|-⌫-||---|---|-|-⌫-|
et liduz lakar ole	-|-|--|-|---⌫--|
quedece nnes es toi tpris garde	--|-|--⌫|-||--⌫---⌫|---|----|
lecheualierasoiatrait	-|--------||--||----|
en l a chambres en uei t	-|-⌫|------||-|---⌫|
etquantillecques	-|----|--------|
nela treuue	-|-|-----|
auc heualiercomman deetroeuue	-|-⌫-------|------⌫-|-|-----|
quenlagarderobe laquiere	-|-|-|--------|-|-----|
quer ill es	---|-|-⌫-|
telmaniere	--|------|
leensentr eulzauancher	----|---|---|-------|
comdacoler et d ebaisier	--||-----|-|-⌫|------|
et cilquil i	-|--|--|-⌫|
en seith autgrez	-|---|-⌫--|---|
estenl agarderobe e ntrez	--|-|-⌫|--------|-⌫----|
ousamieges oit enuer se	-||---|---⌫--|-----⌫-|
enlietdescouloreeet perse	-|---|----------|-|----|
lalatrouuee toute roid e	-|||------|----|----⌫|
e t labouc eserreee tfr o ide	-⌫|-|----⌫|-----|-⌫|--⌫-⌫--|
et au semblant que lec orsmoustr e	-|-|-------|--|-|-⌫--|------⌫|
u oitbie nqu elle estmorte tout	-⌫--|---⌫|-|---|--|----|---|
tantostcomme	------|----|
quest cenlas	-|--|--|--|
es tmorte mamie	--⌫|----||---|
puc ele saill i	---⌫--|-----⌫|
qu iasp iezduliet ges oitius	--⌫|-|-⌫--|-|---|---⌫--|--|
etdist sire	-|---|---|
cen croiiebien	--|---|-|---|
m iexquesoitmortequ	-⌫--|--|---|----|-|
autre rien	----|---|
nedementapui squeuint ci	-|------|---⌫---|---|-|
forsl e co urou sdesonami	---|-⌫|--⌫----⌫|-|--|--|
don c ma dame l atayna	---⌫|-|---||-----|
e tdunchenet	-⌫||-|-----|
la ram pona	-|---⌫---|
d on c licourousliuintmo rt ex	-⌫--⌫|-|------|-|---|--⌫--⌫-|
etq u antcilentent les m oztex	-|-⌫-⌫--|--|-----|--|-⌫-|--|
quecen queild is t	--|--|--|-|-⌫--⌫|
sanzmesuresedesconf orte	---|-----|-|-------⌫---|
h a las disti lma douceamor	-⌫|--|---|-⌫|-|----|---|
la plusco ur toise	-|---|--⌫--⌫----|
et l ameillor	-|-⌫|------|
conq uesfust e tla plus	|---⌫--|---|-⌫|-|---|
commetricherre s	----|---------⌫|
desloi aus	------⌫--|
uousaimo rte	---|-|--⌫--|
si f u stdroiture	-|-⌫-⌫-|-------|
que susmo y to rnastlauentor e	--|--|--⌫|--⌫----||-------⌫|
si queuous nie ussiés mal	-|--|---|||-⌫------|--|
mes cuerauiés siloial	--|---|-----|-|----|
quesu suous	--|--⌫|---|
l au ezauant prise	|--⌫-|----|----|
mesief erai demoyiustise	--|-|-⌫---|-|--|------|
porla traisonqueiai faite	--|-|------|--||-|----|
uneesp eeadu	--|---⌫-||-|
feurretraite	-----|-----|
quiilleucpendoitazz es peur	--|-----|------||-|--⌫---|
sesenferiparmie lecuer	-||-|---|-----|-|---|
cha airseletsuslautr ecors	---⌫--|-|--|--||----⌫|---|
seigniéqueil e stmors	-------|--|-|-⌫-|---|
e tla p ucelesa illihors	-⌫|-|-⌫----|--⌫---|---|
quantui t morsgesir les cors	----|--⌫|---|----|--|---|
decen que leuit	-|--|-|-⌫-|--|
auducquelee ncontra	-|--|-|--|-⌫------|
cen quele ou t oietueu	--|-|--|--⌫|-|-|--|
si que leni	-|-|-⌫-|||
ari ensteu	|--⌫--|--|
comment l afaireertcommench ié	------||-----|--|--------⌫--|
neisdu ch e net afeitié	---|-|--⌫-⌫--|-------|
d o nc la ducesseauo itparlé	-⌫-⌫-|-|------|---⌫-|-----|
e s uous le	-⌫|---|-|
d u ca doncdesué	-⌫-⌫|-⌫---|-----|
t outmaintenantenlachabreentre	-⌫--|---------|-|-|-----|----|
a u che ua liertra ithorsdu u entre	-⌫|---⌫--⌫---|---⌫-|---|-|-⌫----|
doncsestoitoc is	---||-----|--⌫-|
tant ostalauoies	----⌫--||-|---||
gra nt er redroitalakar ole	---⌫-|--⌫-|----||-|---⌫--|
san zplusten irlon g ue parole	---⌫|---|---⌫-|---⌫-⌫-|-----|
u e uladucess e	-⌫-⌫|-|------⌫|
siliaren du s a pramesse	-|-||---⌫-|-⌫|-------|
querelc hie f	---|-|-⌫---⌫|
li a embatue	-||------|
aportoi t nue	-------⌫|--|
sanz parl erquemont fu y riés	---|----⌫-|--|---|-|-⌫----|
laducess e	-|------⌫|
chietas espies	----||-⌫-|---|
uoi anttouzceulz dela contr ee	---⌫--|---|----|-|-|-----⌫-|
lorsfu la festemou ttroublee	---|-|-|----|---⌫|-------|
descheualiers qu i lae stoient	--|---------|--⌫|-|-⌫------|
ioiemené auoient	---|----|------|
toutaut re sitost	---|---⌫--⌫-|---|
oianttouzce ulzcoirl euout	----|---|--⌫--||--|-⌫|---|
contalafe ireoian t la c or t	----||---⌫--|----⌫|-|-⌫--⌫|
ce liqui neplourt	--⌫-|--|-|-----|
etnommeementquantiluoi en t	-|---------|----|-|---⌫--⌫|
les aman s qui mor s gesoient	--|----⌫|--|---⌫|-------|
e tl adu cesse dautre par t	-⌫|-⌫|--⌫----||----|---⌫|
aduel eta courou z depart	|---|-||------⌫|-----|
lacourt eta	-|----|-||
m esc hiefuilain	-⌫---⌫---|-----|
li duzenterrerl endemain	-|--|-------||-------|
fist laducesse en sarqui eu	---|-|------|-|------⌫-|
etlesamans enautre	-|--|----|-|----|
me s del a ue ntoreouttel	--⌫|-||-⌫--⌫----|--|--|
c onquespui s n ele	|-----|---⌫|-⌫|-|
leuitlenrire	-|--|--|---|
errant se croisadou tremer	-----|-|-----||--⌫-----|
