sal emonfeitun petit	---⌫---|---|-|----|
croiz queienmimoire	----|-|-|-|------|
pa rque ihesucrist	--⌫|--|----|----|
otu itoi re	-|-⌫----⌫-|
etm orutpor nostre	-|-⌫---|--|-----|
po rcedeit et pens er	--⌫|-|---|-|----⌫-|
quapa reiliezestdomartire	-|---⌫------|--|-|------|
sanzc ontencier s anz contredire	---|-⌫--------|-⌫--|---------|
sestquipordeleueille	|--|--|--|-|-|-----|
sortote g entest aposto ire	--|---|-⌫--|--|------⌫--|
quiih esum crist onten mimoire	--|--⌫---|----|--|-|------|
cestnostrechef	|--|-----|---|
no s t reaiutoi re	--⌫-⌫-⌫-|------⌫-|
nostre s alu nostreuitoire	-----|-⌫--|-----|------|
ildeit toz nospe ch iezporter	-|---|--|--|--⌫--⌫--|-----|
e tlese smaiezconforter	-⌫|--|-⌫-----|--------|
ele srep enta ntde porter	|--⌫|---⌫----⌫-|--⌫-----|
elesrebel lesroarter	|--|-----⌫--|------|
nedeitpreisier gloire del munde	-|---|-------|-----|--|----|
uolequenule	---|--|---|
totredefistq u anque habunde	--|-------|-⌫-⌫----|------|
etquanqueuit	-|------|--|
mortq ui quengro nde	---|-⌫-|-|-|---⌫--|
totueit do	--|---|-|
muntlas oas tume	---|-|-⌫---⌫---|
etporceunenfespar	-|--|-|-|----|--|
deua ntlu i	----⌫-|--⌫|
lin deliéalum e	--|-----|----⌫|
quitotestars et cotensfume	--|--|--|--|-|-----|---|
ile stfonteinededoctrine	-|-⌫-|-------|-|-------|
uerge et bas tondedecipline	----|-|---⌫--|-|--------|
uineto iledemedecine	--|-|-⌫--|-|-------|
depiet eleitet far ine	-|----⌫|---|-|---⌫--|
nostrech efes t nostre salu	-----|--⌫-|--⌫|-----|---|
molte st posé	---|-⌫-|----|
sor hauttalu	--|---|---|
et silrechie tenlapalu	-||-|------⌫|-|-|---|
quelia ura sonorualu	--|-|-⌫--|--|-|---|
qui son chief ne	--|--|----|-|
limenbr eauron tpoi de fierte	-|-----⌫|-----⌫|--|-|-----|
bienlepeisdirede uer te	---|-|---|---|-|---⌫-|
enf ermu ient e nferte	---⌫--|-⌫---|-⌫-----|
auientque lafontein e	-----|--|-|-------⌫|
seit delim onetdetaipleine	---|-|---⌫-|-|-|--|-----|
do ruissel enleidistl ar eine	-|------|--------||--⌫---|
etsa n teu ient	-|--⌫-⌫-|-⌫---|
de testeseine	-|----|----|
s ileigu e delafontenelle	-⌫||----⌫|-|-|---------|
estneteet pure et	--|---|-|---|-|
clere e tbe lle	----|-⌫|--⌫--|
cl ereen est aufonz lagrauelle	--⌫--|-|--|-|---|-|-------|
deq u elquepartqu els aruis elle	-|-⌫-⌫----|---|-|-||-----⌫---|
ne ui uge dexnenepou testr e	-|--⌫--|--|-|-|---⌫|----⌫|
quecil quiest souerein	--|--|--|--|-------|
autremestre	----|-----|
nemes ihe sumle	-|--|---⌫--|-|
reicele stre	--|----⌫---|
leroge pluu i al	-|---|----⌫-⌫-|
et porteceptreenper ial	-|----|-----|-----⌫--|
qu ilfacechosedesleial	-|-|---|----|-------|
aescient nisuenia l	|------|--|-----⌫|
seilmesfet par	-|-|-----|--|
negligence	---------|
has tiueenseit la penit ence	---⌫---|-|---|-|-----⌫---|
repre n gesaconcience	-----⌫-⌫-|-|--------|
q uedepechierai t	-⌫-|-|------|--⌫|
nisconsen ce	--|------⌫-|
tote i g l iseporlu is op lei e	---|-⌫-⌫-⌫--|--|--⌫|-⌫--⌫---⌫|
quedex lemete en	--|--|-|---|-|
e ti letc elsqu eilmest reie	-⌫|-⌫|-|-⌫--|--⌫|-|----⌫---|
ueien t deet de	-----⌫|-|-|-|
desozluisuntlica rdinal	----|--|---|-|--⌫-----|
qui dig lise	--||--⌫---|
su ntmarin al	--⌫-|-----⌫-|
quiiugen tore issonfinal	--|-----⌫||--⌫----|----|
dre itciteienetcrem ina l	---⌫-|------|-|----⌫---⌫|
molt deiue ntareisonente ndre	---|-----⌫-||-----|----⌫---|
quesorelsni	--|--|--|||
aitque reprend re	--|--|-------⌫-|
uilan ieestde loier pre nd re	-----⌫-|--|-|----|---⌫--⌫-|
pordeniers	--|------|
garderdeiuent quecoueit ise	-----|------|--|------⌫--|
al oierprendre nes at ise	|-⌫---|------||-|--⌫--|
oderai neleialiustise	|-|---⌫-|----|------|
malue i seprise	-----⌫-⌫-|----|
gardezdonc deboneiremen t	-----|---|------------⌫|
a inceisque seitfe tsei rement	-⌫--------|---|--⌫|---⌫-----|
q ue il facentdreitiuge ment	-⌫-|-|-----|----|----⌫---|
deuantceluiq uipa s mement	-----|----|-⌫-|--⌫|-|---|
nus nesb lasme seilmesprennen t	--||-|-⌫----|-|-|----------⌫|
siloent maletb i en m esprennent	|-|---|--|-|-⌫-⌫-|-⌫---------|
i ltrichen tneengen nen t	-⌫|-------⌫|-|-----⌫---⌫|
labonegentpluss en degennent	-|---|---|---||-|--------|
et dex les dontsicontenir	-|--|--|---|||-------|
quilpeis senti u stiseteni r	-|-|----⌫---|-⌫-⌫----|----⌫|
etseurdeuant	-|---|-----|
ildeiue ntme inten ir	-|-----⌫-|--⌫-----⌫-|
cheualierdeitespeeprendre	--------|---|----|------|
por i ustis i eretpo rdefen dre	--|-⌫-----⌫-⌫-|-|--⌫|-----⌫--|
funtlesaut res pleindre	---|--|---⌫--|-------|
forcee trauine	----|-⌫|-----|
deitestein dre	---|------⌫--|
plu so rsenso lentfeindre	---⌫--⌫||-|--⌫---|------|
si queseno itoteiorplei ndre	-|-|-|-|-⌫|---|--|----⌫---|
quilnelorpout chose remeindre	-|-|-|--|---|----|--------|
que ilpeisentauei r	--|-|------|----⌫|
nat eindre	|--⌫-----|
quant lid olentde	----|-|-⌫----|-|
feinbaaillent	---|--------|
ill esr obent etillestaillen t	-|-⌫-|-⌫----|-|-|--|-------⌫|
illespeinentilles	-|--|------|-|--|
trauail lent	-------⌫---|
moltesc orue es nelor faillen t	-----|-⌫----⌫-|-|--|-------⌫|
lordreitesre ntes enreceiuent	--|------|--⌫---|-|--------|
peis lesm eniuentetlesb eiuent	---|--|-⌫------|-|--|-⌫-----|
e tles engenne ntet	-⌫|--|-------⌫-|-|
nesegarde nt	-|-|-----⌫-|
quefeilor deiuent	--|--|--|------|
grainorfeideitsire a son h ome	------|--|---|---||--|-⌫--|
queaseignoreta dome	--||------|-||---|
dexquelhon t e	--|---|---⌫-⌫|
etde ma lfeire	-|-|--⌫-----|
a lui nechome	|--|-|----|
sol poide mesprison	--|--|-|--------|
dopoinou de ltiso n	-|---|-|--⌫|----⌫|
pei sletrebuc heensa priso n	---⌫|-|------⌫-|-|-|-----⌫|
totsagarisu m	--|-|------⌫|
malfeirenecoar de	-------|-|----⌫-|
totle s on	--|-|-⌫-|
ga ste etdebarde	--⌫--|-|------|
mori r leleit	----⌫|-|---|
lre gar de	|--⌫---⌫-|
mausei tgarder quiissigarde	--|---⌫|-----|--|---|----|
morirle leitsanzregarder	----|-|---|---|-------|
et dexcon lepouz esgarder	-|--|--|-|---|-------|
issiso lent pererg arde r	---|--⌫---|----|-⌫----⌫|
effan tquisolentbof arde r	-----⌫|--|-----|---⌫----⌫|
cilqui ueut leperier defendre	--|--|---|-|-----|-------|
aquienueute nlei sepr e ndre	|--|-|---|-⌫|---⌫-|--⌫-⌫---|
etl o rdi tn i	-|-⌫-⌫|--⌫|||
peis oreentend r e	---|--|------⌫-⌫|
aum ac hie	-|-⌫--⌫--|
uoiz maro beue ndre	---|-|--⌫-|--⌫---|
quan ti lr euientsilerefrape	----⌫|-⌫|-⌫-----|-|-|------|
si l irescottres	-|-⌫|-----|---|
bienlachap e	---|-|----⌫|
s ils e mmarit	|-||-⌫|----|
etci l se ngabe	-|--⌫||-⌫|---|
molt deuo nchera ueirno sho mes	---|----⌫|---|-⌫---|--⌫|--⌫--|
qua rl i uilen por tent	---⌫|-⌫|----|---⌫---|
donnos uiuon	--|--|----|
q uanquenossunme s	-⌫-----|--|-----⌫|
etc heual ierset cl erset domes	-|-⌫-----⌫---|-|--⌫--|-|----|
choilesia suntilcrestien	------|-|---|-|-------|
nesuntpaienne sulien	-|---|----|-|-----|
gra n t sorfet ne s prenien	---⌫-⌫|-----||-⌫|------|
de urion mestre	--⌫----|-----|
ordr e futc he ua lerie	----⌫|--|-⌫--⌫--⌫----|
mesor e stce trig ale r ie	--|-|-⌫-|-|----⌫---⌫-⌫-|
tropaimentdanceetbal erie	---|-----|----|-|---⌫---|
etde me nerbachelerie	-|--⌫--⌫--|---------|
franchomdefranchemere	----|--|-|------|---|
s ac heu alieresto rdenez	||-⌫---⌫----|--|-⌫-----|
pene rse deitsil	----⌫|-|---||-|
quil ne sei tuils n edegenez	-|-|-|---⌫|---|-⌫|------|
h ardizseitsa geme nt	-⌫----|---|--⌫----⌫-|
etdonestecontennement	-||-----|-----------|
uersigliseetuerstotegent	---|-----|-|---|---|---|
secontienge afeiteieme nt	-|--------|----------⌫-|
menbrerli de itet	------|-|--⌫-|-|
le ialte us tsoniouent	--⌫----|--⌫|--|-----|
plusque nul	---|--|--|
moignedecouen t	-----|-|-----⌫|
l es pe epris t	|--⌫--⌫|----⌫|
partelcouent	--|--|-----|
netricherie neco nsente	-|--------|-|--⌫-----|
sainte ig liseaint	-----|--⌫---|---|
frequen te	-------⌫-|
et ui uede sadrei terent e	-|--⌫-|-|-|----⌫-|----⌫|
nait enuiedemal ueis uice	|--|----|-|---⌫---|---|
ne prengedesme ne	-|-----|----|-|
orden é sunt aude seruic e	-----⌫-|---|-|-|------⌫|
et por ceuiuentdice	-|--|-|-----||--|
qu a ntde son bleli estout ren d re	--⌫-⌫-|-|--|--|-|-----|---⌫-⌫-|
conloserade l autrui prendre	--||----|-||-----|------|
et celiue il direet aprendr e	-|-|-|--⌫-|---|-|-------⌫|
que ne lapoutdonerne	--|-|-|---|----|-|
ice l iueil	--|-⌫|---|
queilnenpout	--|-||-|---|
aumo ne feire	----⌫-|----|
nemesla ren desanz	-|--|-|---⌫-|---|
aiglise quila	|-----|--|-|
deitt r eire	---|-⌫-⌫---|
al autel deitlespeeprendre	||----|---||----|------|
por lepopleihesudefendre	--|-|----|----|-------|
et a l au telcedeit entend re	-|||--⌫--|-|---|------⌫-|
enceis q u ilme relestuetre ndre	------⌫-⌫|-|--⌫-||-----|--⌫---|
sauu ersepout	----⌫-|-|---|
sile nn itroue q u eremordre	-|--⌫|||----|-⌫-⌫|-------|
sa traison seueu l t amordr e	||------|-|---⌫-⌫|------⌫|
ne par en ginpi ncier nem ordr e	-|--|--⌫--|--⌫----|-|-⌫----⌫|
sil deit lenbiendesordener	-||---|--|---|---------|
toli rlespeeet griefpenner	----⌫||----|-|----|-----|
le sespe ronsescoleter	--⌫|----⌫---|--------|
etde ntrec heualers geter	-||-⌫---|-⌫-------|----|
ilpristl o r dreenliglise	-|----||-⌫-⌫--|-||-----|
senred eit lenprendreiustise	|-|---⌫--|--|------|------|
de uantlautel	--⌫---||----|
enitauguise	-|---|----|
pr oznes t ma lueis e co ueitise	--⌫-||--⌫|--⌫-----⌫|--⌫------|
n ia nei ent	|||---⌫--|
dobobancier	-|--------|
deboherder detornei er	-|-------|-|------⌫-|
l u n desglaiues	|-⌫|--|------|
dei t meneier	---⌫|------|
popledeau eier	----|-|--⌫---|
dun ihesu crist	--|----|----|
dist quantilere	---|----|-|--|
pres deprispor	---|-----|--|
nostremis e re	-----|---⌫-⌫-|
querez glaiuesciuient lilere	-----|------|-|----|-|---|
cedist sain tpere	-|---|----⌫|---|
cestasezcedistnostre	|--|---|-|---|-----|
liun sestausarmesocire	-|--⌫|--|--|----|----|
porq u iiesof reces t m arti re	--|-⌫-⌫|-|---⌫-|---⌫|-⌫----⌫-|
qui monconmant	--|--|------|
uodra desdi re	----|-----⌫-|
icelau ru ntli	---|--⌫--⌫-|-|
par que seruntc ilmalm ené	--|--|-----|-⌫-|----⌫---|
etesconmingie ́etp e né	-|-----------⌫|-|-⌫-⌫--|
quiaurontmaleidegené	--|-----|-|--|------|
liautresglaiu es ertb ailli ez	-|-----|-----⌫-|--|-⌫-----⌫-|
ausch euali er spa r queerttail liez	--|--⌫-----⌫--⌫|--⌫|--|--|----⌫---|
le peil epoingdesm aubailliez	-|--|-⌫|----|--|-⌫---------|
quiatortontgenttrauailliez	--||---|--|---|----------|
cilduigl aiuecorent ensenble	--|--|--⌫---|-----|-------|
a iustisier	|--------|
quitos t etenble	--|---⌫|-|----|
lesdesasenble	--|---------|
lautrelifetun peide tren ble	|----|-|--|-|--|-|----⌫--|
l ungla iuedei tlautrea i uer	|-|---⌫--|---⌫||----|-⌫-⌫--|
lunmaudire l autretuer	|-|------||----|---|
sils entreuo lentescuer	|-||-------⌫---|-----|
iu stiseaudeluer	--⌫----|-|-----|
qu a ntlicl ercli la rr o nenfeirge	--⌫-⌫-|-|--⌫--|-|--⌫--⌫-⌫|-------|
de sc onm ungeoliureeto	|-⌫--⌫---⌫---||----|-||
auc heualierconmant quil fierge	-|-⌫-------|------|-|-|-----|
etle m e ite	-|-|-⌫-⌫--|
en char tretenierge	-|----⌫--|-------|
liundesglaiues l autre aiue	-|-|--|------||----|---|
li unsmauditetlaut retue	-|--|-----|-||---⌫-|--|
silunl autreleidist nargue	-||-||----|------||----|
asteuosiustiseperdue	---|--|------|-----|
dont sientre am er	---|-|-----⌫--⌫-|
etl un lautresi reclamer	-||-||----|-|-------|
qu an duiseient dol z	-|--⌫--|-----|---⌫|
acelsqui f unt	|---|--|-⌫--|
lesautresclamer	--|-----|-----|
c lercdeiuentp or toz orer	-⌫---|------|-⌫-|--|---|
li cheual ier	-|------⌫--|
sanzdem orer	---|---⌫---|
de iuentd efendreetennorer	--⌫----|-⌫------|-|------|
etlipaisantlaborer	-|-|------|------|
terresarern ori raumaille	-----|---|-⌫---⌫|-------|
sor l euilainestlabataill e	--|-⌫|-----|--|-|-------⌫|
qu archeualieret	--⌫-|--------|-|
clerc sanzfail le	----|---|----⌫-|
u iuentdeceque il trauaille	-⌫----|-|-|--|-|--------|
molta trauail	---||------|
e tmoltapeine	-⌫|---||----|
aumeiloriorde lasemeine	-|-----|--|-|-|------|
ilseinmeseigleilhereaueine	-|-----|-----|-|---|-----|
ilfaucheprez il toseleine	-|-----|---|-|---|----|
ilfetpal izil f etm eiseires	-|--|---⌫-|-|-⌫-|-⌫-------|
i lfetestanz par	-⌫|--|-----|--|
ces ri uieres	--|--⌫-----|
primescoruees	-----|------|
peispreieres	---|-------|
etpe is ce ntcho ses costumieres	-|--⌫-|--⌫-|---⌫--|----------|
ne mengeraiadebonp ain	-|------|-|-|--|-⌫--|
nosena uonlemeil lorgr ein	--|-|-⌫--|-|----⌫--|--⌫--|
plus b ele t le	---|-⌫-|-⌫|-|
ladroe remeint	-|---|------|
au uil a in	-|---⌫-⌫-|
silagrasse	|-||-----|
oie ougeline	--|-|-----|
ne gasteldeblanchefarine	-|-----|-|------|-----|
asons aingno rtot	|--|-⌫------⌫|--|
le destine	-|------|
ouasa dameen s ag esine	-||-|---|-|-⌫|-⌫----|
etseilauinde sa	-|-|-||--|-|-|
siss ire len e rte	--|-⌫--||--⌫-⌫--|
ete ng ing ne	-|-⌫--⌫---⌫-|
ou parlos enge	-|--|---⌫---|
oupar grinne	-|--|-----|
enquauquesen s qu illes gaugrine	-|------|---⌫|-|-||--⌫-------|
debon m orselonquesnetaste	-|--|-⌫----|-----|-|----|
ne i ld o is elneildeh a ste	-|-⌫||-⌫--⌫-|-|-|-|-⌫-⌫--|
se ila peinde neirepaste	-|-||---|-|----|----|
e tlaitetburremo lt eng aste	-⌫|---|-|----|--⌫-|-|-⌫---|
etquan tplusu itde poureuite	-|----⌫|---|-⌫-|-|----|---|
de tant a il g rainormerite	-|---||-|-⌫-----|-----|
rentpa rtotsadebite	---|--⌫---|-|-----|
et lei almentsaf eiaquite	-|---⌫-----|-|-⌫-|-----|
se ilprent en greses malesfreites	-|-|----|-|--|--|----|------|
sesangoiss es e tses	--|-------⌫-|-⌫|--|
pors es fa ute squ ila	--|-⌫-|--⌫---⌫|-|-||
meffei tes	------⌫--|
neliseruntiam es re tre ites	-|-|-----|-|-⌫-|--⌫---⌫---|
mesneprent rienenpac ience	--|-|----|---|-|---⌫----|
a inceis sir estet	-⌫-----||--⌫--|-|
o ude te nce	-⌫|-|--⌫--|
etdexfet ilpar quel	-|--|--|-|--|---|
ma uezdoné taupe s tilence	|-⌫--|----|--|--⌫-⌫------|
to rtabien	--⌫-||---|
il ne n me rci e	-||-⌫|--⌫---⌫|
nel enset gr e quela	-||-|--|--⌫|---||
o rlai bienfet fetil	-⌫||-|---|--|--|-|
diredeureitdexuostr eg race	---|------|--|-----⌫|-⌫---|
sig e f azrien qui auosplace	-|-⌫|-⌫-|---|--||--|----|
treisq uimal	----|-⌫-|--|
bi umes tpor	--⌫||--⌫|--|
uairuo stre face	---|--⌫---|---|
mes qu eno alzmo lt	--|--⌫|--⌫--|--⌫-|
poien treis	--|-|----|
q uitiegen t unep orpor deis	-⌫-|------⌫|--|-⌫-|--|---|
qui ma idera	--||-⌫----|
q uimeg a rrasi	-⌫-|-|-⌫-⌫--|-|
geme queis	-|-|----|
par sert de folebric he	--|---|-|---|----⌫-|
quiade tost	--||-|---|
nenble netr iche	|----|-|--⌫---|
amor sedesa fiche	---|-|----⌫----|
e tnenpou t pasestre	-⌫||-|---⌫|--|----|
hacon aci lperduehonte	-|--||--⌫|-----|----|
quiadetrichene	--||-|-----|-|
mesc on te	----⌫--⌫-|
qui seitqu anzgreinse tquesemonte	--|---|--⌫--|-----|-⌫|--|-|----|
iarb eque ilconte	----⌫|--|-|----|
quitotle monttrenble	--|--|-|---|------|
demande p arautalconlisenple	------|-⌫-|----|--|-|-----|
quila li tost	--|-|-|---|
n elalienble	-⌫|-|-|----|
litosttrestotensenble	-|---|------|-------|
a preslitoutl	-⌫---|-|---||
armeetlecors	---|-|-|---|
quantlicors muer tetl arme estfors	----|-|---|----⌫|-||---|--|---|
molt li ualentpetit illors	---|-|-----|----|-----|
uignesnebl ezna u tre tensors	-----|-|--⌫-||-⌫-⌫--|------|
primesd o nademe cain	-----|-⌫-⌫-|---|---|
do p remie retdo regain	-|-⌫-----⌫|-|-|-----|
mesni futpasice l t rain	--|||--|--|---⌫|-⌫---|
quifutam ezasnabain	--|--|--⌫-|-|-----|
quar ilcontout ad reitson	---|-|------||-⌫---|--|
mescilqui seituairelnonbr e	--|--|--|---|---|-|-----⌫|
s etquisaquite	-⌫-|--||-----|
etquisencon bre	-|--||-----⌫--|
ilseco eitsa	-|----⌫--|-|
iar bee nlaire	---⌫-|-⌫||---|
ainzqu ilueillesa	-----|-|-----|-|
d e smefei re	-⌫-⌫--|---⌫-|
bienc eleuimair e	---|-⌫--|------⌫|
sine la uolt s o frirne	-|-|-|---|-⌫-⌫---|-|
distlimalues	---|-|-----|
quarneueilpasque	---|-|---|--|--|
lenmeren de	--|-|---⌫-|
o tr ich erie moufere nde	|--⌫---⌫---||------⌫--|
acel quiset co nterto tes	|--|--|--|--⌫---|--⌫--|
delapl eiedel ciellesgoutes	-|-|--⌫--|--|---|--|-----|
trichieretmestc onterne dotes	-------|-|-----⌫----|-|----|
aenz ene nfertefiers et	---|-|-⌫---|-|----|-|
nelenu oult	-||-|-⌫---|
pascai moir	--|---⌫|--|
lademe escamps leisaporrir	-|---|-|----|----|-----|
enlo stal enb ler et froir	-||-⌫---|---⌫--|-|----|
por cene poente incioir	--|-|-|----|-⌫--|---|
doudum abel fut dexbonprestre	--|--|---|--|--|--|------|
que dexsaign aosa	--|--|-----⌫||-|
mei n de stre	---⌫|--⌫---|
puislarttot oso nfoucelistre	---||--|--||--⌫|--|-------|
dopechieq uetrop	-|-----|-⌫-|---|
et d om de lotsiacusé	-|-⌫-|-||-|-|-----|
s otcaimquede	-⌫-|---|--|-|
l ot rusé	|-|----|
sondon despe itetref usé	--|--|-----⌫-|-|---⌫---|
en uieeno te ttrop	--⌫--|-|-⌫|-⌫|---|
el champmena	-|----|---|
s on frereoci re	-⌫-|----|---⌫-|
pui sle repo st nelosotdire	---⌫|-|----⌫-|-||---|---|
dexe nhait sisaligneie	--|-⌫----|-|-|------|
conmema uditee treneie	----|--⌫----|-⌫|-----|
que toteen senb le futneie	--|---|--⌫----⌫-|--|---|
g ardez doncfranc	-⌫----|---|----|
queu os seiez bondes me or	--|-⌫-|----|--|---⌫--⌫-|
s orautresestespecheor	-⌫-|-----|----|------|
siuersde este stricheor	-|---|-|----⌫|-------|
fermecreance	----|------|
bien sauance	----⌫|-----|
uous quild r iezetsan zdot ance	---|-----⌫-⌫--|-|---⌫|---⌫---|
acentdoble s uost ref ei sance	|---|-----⌫|----⌫-|-⌫--⌫----|
meslienfan t	--|-|-----⌫|
uos su ntm al mestre	--|--⌫-|-⌫-|-----|
queuo sdeue z noriret	--|--⌫|----⌫|----|-|
por qu iestesf aus	--|--⌫|----|-⌫--|
etsodestre	-|-------|
et dex uostou t	-|--|--|---⌫|
et flestre	-|------|
tene zfiancee tseir e ment	----⌫|-----|-⌫|----⌫-⌫---|
uendrei zauiugement	-------⌫|-|-------|
deuantc el ui qui	-----|-⌫--⌫-|--|
quiluosreceiuebo nement	-|-|--|------|--⌫-----|
asci teienseta us borzeis	-|--⌫-----|-|-⌫-|------|
dei tconma nder etquensetreis	---⌫|-----⌫---|-|----|-|---|
queilaientsegonl or leis	--|-|----|----|-⌫-|---|
lei al mesureetleial	---⌫-|-----|-|----|
menestera letm a rcheant	---------⌫|-|-⌫-⌫------|
de iuent es treli reseant	--⌫----|--⌫--|-|------|
estre usur erettermeiant	----|----⌫-|-|--------|
ce e stmestiera recr eant	-|-⌫-|------||----⌫---|
s il aporte	|-|-----|
deuersgarmaise ou	-----|-------|-|
de uerspise	--⌫---|---|
achatenseitlaprise	----|-|---|-|----|
q u eni ateinecoueis tise	-⌫-⌫|||-----|------⌫---|
siluete nfrance oue n espai gn e	|-|--|-⌫|-----|-|-⌫|-----⌫--⌫|
e tilaportquauque bar gaigne	-⌫|-|----|------|---⌫-----|
bie ndeituiure	---⌫|---|----|
desa gaine	-|-|----|
mestricherie niateigne	--|--------|||------|
neuen depaseiueporuin	-|---⌫-|--|---|--|--|
peldeliure	--|-|----|
nefoi ne porcen belin	-|---⌫-|--|---⌫----|
fustdepleine por	---|-|-----|--|
iluosiuraparsoncha pet	-|--|---|--|--|---⌫--|
dedr asdeoquetqu	-|--⌫-|-|----|-|
estmustabet	--|-------|
nepres egair es tel gabet	-|----⌫|----⌫-|--|----|
de lsd eceiure par sonabet	|-⌫-|-⌫------|--|--|---|
n e d eit iurer porsonm ersuendre	-⌫|-⌫--|----|--|--|-⌫--|-----|
nesor feire porterme a tendre	-|---⌫----|--|----|-⌫-----|
forstantc onpoutmei ntenant	---|---|-⌫-|---|---⌫------|
quarce sere it usurerendre	---|-|----⌫-|----|-----|
et t el i quidegaagnier	-|-⌫-||----|-------|
quemioze n porrei tbarg u inier	--|---|-⌫|------⌫|----⌫-⌫----|
espeir eb iens aignier	------⌫|-⌫--|-⌫------|
quisonde s treoil se fet	--|--|--⌫-⌫--|--|-|--|
por dezprestequipoiuault	--|--|-----|--|--|----|
m escilenreseit bien a b at re	-⌫-|--|-|-----|---|-⌫-⌫--⌫-|
queainceisuendra de s cocegatr e	--|------|-----||-⌫-⌫---|----⌫|
quilreg ar t fe imesquan	-|-|---⌫--⌫|--⌫|--|-|-|
il quide aueirchate lou monte	-|----|----|-----⌫|-|----|
me s c il li	--⌫|-⌫-|-|
deffet molt sonconte	-----|---|--|----|
encor lifet ilmeireh onte	----|-|--|-|----|-⌫---|
safam eou sa filelimonte	-|---⌫|-|-|---|-|----|
et telia qui	-|--|||--|
pas nenp eisse	--||-|-⌫----|
si le n ioueo s a borzeise	-|--⌫|---||-⌫|-------|
idonces tel	----|--⌫|-|
ceditcorteise	-|--|-------|
siel se rite tels	-|-|-|--|-⌫|-||
e n quidesadeitetre ire	-⌫|----|-|----|---⌫--|
mesl idomageenest molt	--|-⌫|-----|-|--|---|
dras ui ezsi	---|--⌫-|-|
done lantreispeire	---|--|----|----|
porla quitance plusa treire	--|-|-------|---|-⌫-----|
porunuiez ma ntel qu ilidone	--|-|---|--⌫---|-||-|---|
lifous de cre ire s aban done	-|---|-|---⌫--||----⌫---|
m aledenree ci l	-⌫--|-----||-⌫|
coste tropest	----|---|--|
moltparest	---|--|--|
degra ntp acience	-|---⌫-|-⌫------|
quice ueitetnegrineou ten c e	--|-|---|-|-|----|-|---⌫-⌫|
q uardou fetetdelaconsence	-⌫--|--|--|-|-|-|-------|
ser aegallapenit ence	---⌫|---|-|-----⌫---|
chastier l adeitbone ment	-------|-⌫|---|----⌫---|
et destrei ndre	-|-------⌫---|
priueement	---------|
neliqueultchastiement	-|-|-----|----------|
neplorgenene sedement	-|-----|-|-|-|-----|
mesfa cela be iure a laialle	--|--⌫-|-|--⌫---||-|----|
relit biena l espalle	----|---|||------|
e tliatourttresbi e n lestalle	-⌫|-|-----|---|--⌫-⌫||------|
nemesqu el fustfilleaureicharle	-|--|-|-|---|----|-|--|-----|
d esquelbeuralaiue a	-⌫---|-|----||---||
etue stirala pourepe i lle	-|--⌫----|-|----|--⌫-⌫--|
doncserail moltgrantmerueil le	---|---|-|---|----|-------⌫-|
siau trement nesecons eille	-|--⌫------|-|-|----⌫----|
si pordonerneporpremeitre	-|--|----|-|--|--------|
ne porbat renipout finmeitre	-|--|---⌫-|||---|--|-----|
plusneloqu ils enentremete	---|-|-|-|-||-|--------|
aiglise la pouttremeitre	|-----|-|---|--------|
b o rzeisdeit alera igli s e	-⌫-⌫----|---|---||----⌫-⌫|
ete scoter lede seruise	-|-⌫-----|-|-|------|
desongainde sa conq ui s e	-|--|---|-|-|----⌫--⌫-⌫|
desa plus le ia lmena ntise	-|-|---|--⌫--⌫|----⌫----|
de it feireau cors de	--⌫-|----|-|---|-|
larmelalirende	|---|-|-|----|
a fetdomde offende	|--|--|-|------|
paraumonesenfacea men de	--|------|-|---|-⌫---⌫-|
sonproue ireaintta nt neseitpessme	--|-----⌫--|---|--⌫-|-|---|-----|
et lennortet	-||-----|-|
aluimeesme	|--|-----|
se f ace c onfesenquareime	-|-⌫--|-⌫----|-|-------|
sadesme rend ede meim e	-|----|----⌫|-|----⌫|
delgaa in qu	--|---⌫-|-|
i lporaueir	-⌫|---|---|
queliprestres la	--|-|-------|-|
aicelanparsonsaueir	|---|-|--|--|-----|
que aurac reu sonauei r	--|---|-⌫--|--|----⌫|
auneauneachast ee tuende	|--|---|------⌫|-⌫|----|
somdrapn etirgenenestende	--|---|-⌫|----|-||------|
sideusurearien	-|-|----||---|
prissil r e n de	---|-||-⌫-⌫-⌫-|
qua rie nen	---⌫|-||-|
saiplusbelam ende	--|---|--|--⌫---|
mainiaqui remuer	---|||--|-----|
etqui sententeillocause	-|--||------|----|---|
maintprodomerusse	----|------|----|
e ncoree stpeisqu	-⌫----|-⌫-|---|-|
ilsen acuse	-||-|----|
fetconuenant	--|--------|
mescharitepara ue nant	--|------|--|-⌫--⌫---|
quilam e fet prenc	--|-|-⌫|--|----|
ma intenant	--⌫-------|
domequeuoi bie ncontenant	|--|--|--|---⌫|--------|
quanleprouead eserit é	---|-|----||-⌫------⌫-|
ill a fetcharite	--||--|------|
miuzporei t direchanite	---|-----⌫|---|------|
si luol eit direuerite	|-⌫|---⌫--|---|-----|
miuzu od roie	---|-⌫--⌫---|
g e qu adreitconte	-⌫|-||----|----|
fe istcouenantd e	--⌫--|-------|-⌫|
quarcouenantne ien tnemonte	---|-------|--⌫---⌫|-|----|
mesle prendreest	--|-|------|--|
quidezpor yy fetupreste	--|--|--|-|--||-----|
