#M ETA #Te xtURI AlexisP11	--⌫---⌫|--⌫----|--------|
#META # DEAF h ttp//www. d eaf-page. de/fr/bibl/bib99a.php#Ale xisP	-----⌫|---|-⌫---------⌫-⌫---------⌫-------------------------⌫---|
#META# TLAlex. Alex.S.	-----|-|----|----|-|
#META# FEW	-----|--|
#META#ARLIMAhttps//www.a rlima.net/no/114	-----|-----|------------⌫---------------|
#META#Au th or	-----|--⌫--⌫-|
#META#AuthorBorn	-----|---------|
# META #Au thorBor nAmb	-⌫----⌫|--⌫-------⌫---|
#META# AuthorDie d	-----|---------⌫|
#META#A ut horDiedAm b	-----|-⌫--⌫---------⌫|
#META#Auth orFl1	-----|----⌫----|
#META#Au thor Fl2	-----|--⌫----⌫--|
#MET A#T extTitle La uiedesain tAl exis	----⌫-|-⌫-------|-|--|-|----⌫|--⌫---|
#META# TextSu bt it le po e ̀medu	-----|------⌫--⌫--⌫-|--⌫-⌫--|-|
XIes iècleet	--|-⌫-----|-|
ilse ndeit aler	-||-⌫|---|---|
Celso nseriant ada	--|--⌫|------|-||
seiapelet .	--|------⌫|
Quierm eib elsfr edre et en quee parcham in	----|-⌫-|-⌫--|--⌫---|-|--⌫--||-------⌫-|
Etun epenn eçopri t oemerc it.	-|--⌫|----⌫|--|--|-⌫-|----⌫--|
Cilli aportetreceitlesAlexis	--|-|------|-----|--|-----|
D es eimedi sme to tela cha rtre escris t	-⌫|-⌫-|----⌫--|--⌫-|-|---⌫---|------⌫|
Comsenal at	--||-|--⌫-|
ecomilsenr euint.	|--|-||-|-⌫-----|
Tresse i latin tne lau oltdem ostrer	---|--⌫|-|---⌫|-|-|-⌫--|---⌫-----|
Nel reco noisse ntus qu il se nseit	-||----⌫------⌫-|--⌫-|-||-⌫|---|
Parf itement s	----⌫------||
ad a Deucomandet	-||--|-------|
Safina proismet ses	-|--|-⌫-------|--|
corsest agraue z	---|--|------⌫|
totr ecessetdel	--|-⌫------|--|
En lasamaine quedilsen dut aler	-|-|------|---|-||-|--|---|
uint uneuoiztreis feizenla cit et	---|--|---|----|---|-|-|---⌫-|
Pageu0 1P15 4	------⌫----⌫|
Hors delsacra riepar comandemen tDeu	---|--|-----⌫--|--|----------⌫|--|
Qu i se sfideilz li at tozenuidez.	--⌫|--⌫|------|-|-|--|-------|
Pre stes t lagloriequed	---⌫-|--⌫|-|-----|---|
illiuoltdoner.	-|-|---|-----|
uoiz lor uintaltresomonse	---|--|---|----|------|
homeDeuquiergentqui gistenRome	---|--|--------|--|---|-|---|
Silid epreient quelacit e tnefondet	-|-|-⌫-------|--|-|---⌫-⌫|-|-----|
Nene peri s sen tlagentq ui enzfregondent .	-|-|----⌫-⌫---⌫|-|---|-⌫-|--|----------⌫|
Quil ontodit remainent en	--||--|---|--------|-|
grantdot e .	----|---⌫-⌫|
S ainzInnocenz ert	-⌫---|-------|--|
idon capostolies	----⌫|---------|
A lu ienuindrenteliricheelipou re	|--⌫|-|-------||-|----||-|---⌫-|
Si lirequier entcons eil	-|-|-------⌫--|----⌫--|
d ic ele chose	|--⌫--|----|
Qu ilontodidequimolt l esdesco nfortet	-|-|--|----|--|---|-⌫-|-----⌫------|
Neguardentl horeque terre les enclode t.	-|-------||---|--|----|--|-------⌫-|
L iapost olies e	-⌫|-----⌫----||
li empered or	-|-------⌫-|
— L iunsArcadieli	|-⌫|--|------|-|
altre Honorieou tnom—	----|------|--⌫|---|
E t oz lipoplespa rcommun eoraison	|-⌫-|-|-----|--⌫|------⌫|------|
DepreientD e u	--------|-⌫-⌫|
que conse illoren doinst	--|-----⌫-|--|-|-----|
Dicel sai nt	|---|---⌫-|
qu i ilg uariron t.	--⌫|-|-⌫-------⌫-|
Çol idep rei entla soepiet et	--|-⌫|---⌫---⌫--|-|--|----⌫-|
enseinto u	------|-⌫|
lpoissent recourer.	|-------|--------|
uintun e uoizqui loradenditet	---|--⌫|---|--|--|-|------|
En lamai sonEufemien	-|-|---⌫--|-------|
Queriloces t elaletrouereiz.	---|---|--⌫||-|-|---------|
Pageu01P1 55	---------⌫-|
Toit senretornent sor dan Eufemien	---||-|--------|--|--|-------|
A lqu ant le prenentFortmenta	-⌫---⌫--|-|------|-------||
b lastengier	-⌫---------|
I c este chosenosdousesnoncier	-⌫-⌫---|----|--|-----|------|
Atotlepoplequiestdesc on se iliez	|--|-|----|--|--|----⌫--⌫--⌫----|
Tant l ascel etmol tias grant	---||-|---⌫-|---⌫||-|----|
II sescon dit comlihomqui	-||-----⌫--|--|-|--|--|
Maisne l en creient alh erberc sont alet.	---|-||-|------|-|-⌫-----|---|----|
I l uaitauantlamaison	-⌫|---|----|-|-----|
Fort me ntl enq uierta tozsesmen estrels	----⌫--⌫-||---⌫----||--|--|---⌫------|
Icilres p ondent	---|---⌫-⌫-----|
qu eneulsdelsne ls e t.	--⌫|----||--|-||-⌫-⌫-|
Liapostolies	-|---------|
eliemper edor	|-|-----⌫---|
Si e dentesban sepensifeploros	--⌫-⌫---|-|---⌫||-----||-----|
Iloces gua rdenttoi t cilaltreseinor	---|--⌫---⌫----|---⌫|--|----|-----|
DepreientD euque c o nseillorendo inst	--------|-⌫-|--|-⌫-⌫----|--|-|--⌫---|
Dicel sa int homep arq uiil	|---|--⌫--|---|-⌫-|-⌫-|-|
guariront.	---------|
Entantdementrescom ilil oc	-|---|--------|--|-|--⌫-|
Des eiuret laneme del	---⌫-----||----|--|
corssaintAlexi s	---|----|-----⌫|
Totdreitem en tenuait	--|-------⌫--⌫|-|---|
enpa radis	-|--⌫----|
Asonsei nor qu ilaueittant	|--|---⌫--|-|-|----|---|
E reis celestestunos	|---|-------|-|--|
ifa i uenir	|--⌫|----|
Pageu01P156	----------|
L ibonsserianzquilserueit uo lentiers	-⌫|---|------|--||------|--⌫-------|
Illenonçat sonpedreEufemien	-|-|------|--|----|-------|
Soeflapeletsiliat conseiliet	---||-----|-|-|-|---------|
Siredist ilmorzesttespro uen diers	---|---|-|---|--|--|---⌫---⌫----|
Eçosaid i requilfutbonsc ristiens.	|--|--|-⌫-⌫-|-|-|--|---|-⌫--------|
Mol tlongemen tai	---⌫|--------⌫|-|
odluiconu e rset	-|--|----⌫-⌫---|
Denu lechosecertesnelsai bla smer	-|--⌫-|----|-----|-||--|---⌫---|
Eço mest uisqueç oestlihom	|--||--|--|--|--⌫|--|-|--|
Tozs ols senestEufemienstornez	--|-⌫--||-|--|--------|-----|
uin taso nfi l ou	---⌫||--⌫|--⌫|-|
gist sozsondegret.	---|--|--|------|
Lesdrasso zl ieuetdontilesteitc ouerz	--|---|--⌫--⌫----|---|-|-----|-⌫----|
uit delsa inthomeleuisecl ereb el	--|--|--⌫--|---|-|--||--⌫-||-⌫-|
Ensonpoingtie ntsachartreli	-|--|----|---⌫-|-|------|-|
Ouadescri t trestotleson	-|-|-----⌫|------|-|--|
Euf e miens uo l t	---⌫-⌫----|--⌫-⌫|
s aueirquedespelt.	-⌫----|---|------|
uoltprendrecilne li	---|------|--|-|-|
uoltg uerp ir	---|-⌫----⌫-|
A lapo st o li ereuin t	||---⌫--⌫-⌫--⌫|-----⌫|
toz esmariz	--|------|
Ore aitrouet ço quetantauons quis	--|-|-----|--|--|---|----|---|
Sozmondegret gistunsmo rz pele rins	--|--|-----|---|--|--⌫-|----⌫---|
T ien t unech artre maisn e lipoistolir.	-⌫---⌫|--|--⌫----|---|-⌫|-|---|-----|
Li ap ostol ies e liempe r edor	-|--⌫-----⌫--||-|----⌫-⌫---|
uienent de uantgetentsenoraisons	------|--⌫---|-----||-|-------|
Me ten tlor corsengranzaflictions	--⌫---⌫|--|---|-|----|---------|
Page u01P 157	----⌫----⌫--|
Mercitmercit merc it sa intismes hom	-----|-----|----⌫-|--⌫-------|--|
Netconoumesnunc orne	-||-------||---⌫-|-|
tconoissons.	|----------|
C ideuantteiestoi tdui pec hedor	-⌫|-----|--|-----⌫|--|---⌫----|
Par laDe ugraceuochiet	--|-|--⌫|----|------|
em pered or	--⌫-----⌫-|
Ç ostsa mercitquilnosconsentl ho nor	--⌫|-|-|-----|-|-|--|------||--⌫--|
De totest mondsomesnosiugedor	-|--|--|---|----|--|------|
Delton conseils omes	--|--|------|-⌫---|
totbo soi nos.	--|--⌫---⌫---|
Cistapo stoliesdeit lesanemes baillir	---|---⌫------|---|--|-----|------|
Ç ostses mes tier s dontila d aser uir	--⌫|-|--|---⌫----⌫|---|-|-⌫||---⌫--|
R e n tli lachartreparla toemerc it	-⌫-⌫-⌫|-|-|------|--|-|--|----⌫-|
Ç o nosdiratqu enztroueratesc rit	--⌫|--|----|-|--|-------|---⌫--|
EçodoinstDeusq uor enpoisso ns gua rir.	|--|-----|---|-⌫|-|-|------⌫-|---⌫---|
Lia p ostoli estentsam aina lachartre.	-|-⌫-⌫------⌫-|---|-|-⌫--||-|-------|
SainzAlexislasoelialaschet	----|-----|-|--|-|-------|
L uilaconsentqui deRome esteit	-⌫-|-|------|--|-|---|-----|
Ilnela list ne dildedenz	-|-|-|---|--⌫|-|-----|
nesguardet	|--------|
A uantla tent ad unbonclerc	-⌫---|-|---|-|-|--|----|
esa u ie .	|--⌫-⌫--⌫|
Lichanceliers cu i li	-|----------|--⌫|-|
mestie r sen eret	------⌫-⌫|-|---|
Cill i stl ac ha rtr elialtrelescolterent.	--|-⌫-⌫-|-⌫|-⌫--⌫---⌫|-|----||-----------|
Dicelegemmequed iloconttro uede	|----|----|---|---|--|---⌫---|
Pageu01P158	----------|
Lordistlenom d e lpedre e	--|---|-|--|-⌫-⌫|----||
de la medre.	-|-|-----|
Eçolordist de quel s	|--|--|---|-|----⌫|
parenzileret.	-----|-|----|
Eçolo r distcom	|--|--⌫|---|--|
fuitparme r	---|--|--⌫|
E co mil futen	|--⌫|-|--|-|
Alsis la citet	----|-|----|
Ecom limag eneDe usfist por luipa rler	|--||----⌫--|--⌫-|---|--|--|--⌫---|
honordontne s	----|---|-||
uoltencombrer	---|--------|
S enrefuit enRome lacitet.	|-|-----|-|---|-|-----|
Quant otlipedre	----|-|-|----|
ço qued it at lachartre	--|--|-⌫-|-|-|------|
Adambesmainsde romp t	-|----|----|--⌫----⌫|
sablancheba rbe .	-|------|--⌫---⌫|
Efilzdistil	|---|---|-|
comdolcrosm e ss age	--|------|-⌫-⌫--⌫--|
u ifsaten deiequedam eirepairasses	-⌫--|----⌫---|---||-⌫-|----------|
P arDeu mercitque tu mrecon fortasses.	-⌫-|--|-----|--|-||-----⌫---------|
A h a lt e	|-⌫-⌫--⌫|
uo is prist	--⌫-|----|
lipedrea crid er	-|----||----⌫-|
FilzAlexisquels dois	---|-----|----|---|
m estpresentez	|--|--------|
Maluaisegu ar detai fa itsoz	-------|--⌫--⌫-||-|--⌫-|--|
mondegret.	--|------|
Alaspechablesc om parfui auo glez	|--|--------|-⌫-|--|--|---⌫---|
Tantlaiuedut si	---||-|----|-|
ne lpoiauiser .	-||--|------⌫|
Filz Alexis de t a dolente	---|-----|-|-⌫|------|
Tantesdo l ors	-----|--⌫-⌫--|
atporteiendu re des	-|--|--|----⌫--⌫--|
fain setantesseizpass edes	----⌫||-----|---|----⌫---|
Pa geu01P159	--⌫--------|
Etant es lairmesp orleto n corsploredes	|----⌫-|------|-⌫-|-|--⌫|---|-------|
Cis tdols l aurat enquoi par acorede.	---⌫|---||----|-----|--|-------|
c ui ierentmesgranzheredi tez	-⌫-|-----|--|----|------⌫--|
Mes largesterres dont ioa ueieasez	--|-----|-----|---|-|-⌫---|---|
Migran z palaisenRome lacit et	-|----⌫|-----|-|---|-|---⌫-|
Em por teifilz	--⌫--|--|---|
men este iepenez	|-|----⌫-|----|
dec esen fusses honorez.	---⌫-|-|-----|-------|
Blanc ailechiefela b arbe chan u de	----|-|-|----||-|-⌫---|----⌫-⌫-|
Magra nthonor	-|---⌫-|----|
au e ier etenude	--⌫-⌫-|-⌫------|
Empor teif ilz	----|--|-⌫--|
maisnenau eies cure .	---||-|--⌫---|----⌫|
Sigr antd olor oim estapareu d e	-|--⌫--|-⌫---|-||--|------⌫-⌫|
Filzla t ueane mes e itel ciel ab solude.	---|-|-⌫-|---⌫-|-⌫-⌫-|-|---|--⌫------|
Te icouenist helme e b roniea porter	--⌫|-------|----||-⌫----||-----|
Espede ce indr eco rne tu ia ltreper	-----|--⌫----⌫|--⌫--|--⌫|-⌫---|--|
Egr antmais niededou sesgouerne r	|--⌫--|----⌫----|---⌫--|-------⌫|
Legonf anon lemperedorporter	-|----⌫---||--------|-----|
Comfisttes	--|---|--|
pe dre elitonsparent ez.	--⌫--||-|---|------⌫--|
Ateldoloret asi	|--|----|-||-|
grant po uerte	----|--⌫----|
Filzties dedu iz par alienesterres	---||--|----⌫-|--|------|-----|
E dicelbien qui	||---|---|--|
tozdous ttonsestre	--|----⌫|---|----|
Pageu0 1P160	------⌫----|
Poi en perneiesent a	--|-|-------|-|-⌫|
pou r e herberge.	---⌫-⌫|--------|
Se Deup lousts i reen	-|--|-⌫----|-⌫-⌫-|-|
doussesestre.	------|-----|
Delado lor	-|-|--⌫--|
quedemenat liped r e	--|------|-|---⌫-⌫|
Grantfutlanoisesil entendit	----|--|-|----|-||-------|
Lau intcorantcomfe mme for senede	-|-⌫--|-----|--|--⌫--|---⌫-----|
Batan tses	-----⌫|--|
palm es cridant esche uelede	----⌫-|------|-----⌫-----|
uei tmo rt	---⌫|--⌫-|
sonf ila terr e chiet pasmede.	--|-⌫-||----⌫|----|-------|
Quidon cli uit	--|---⌫|-|--|
songr ant dol demener	--|--⌫--|--|------|
Sonp i zdeb a treesoncorsde geter	--|-⌫-⌫|---⌫-⌫--||--|---|--⌫----|
Sesc rinsde rompr esonuis demais eler	--|-⌫---|--⌫-----⌫|--|--|------⌫---|
E sonm ortf il	|--|-⌫--|-⌫-|
detra ir e etacoler	-----⌫--⌫|-|-----|
estous tplorer.	------⌫|------|
Traitse scheuelse de bat sap eitrine	----|--⌫|------||--⌫--|-|-⌫------|
A grantdolmetlasoecliarn medisme	|----|--|--|-|--|-----|------|
E fi lzdist elecom mo us	|--⌫-|---|--|--||-⌫-|
dolentecomparfuiauog lide	------|--|--|--|----⌫---|
Nel conoi ssei eplusqu	-||-----⌫----⌫|---|-|
onq ues ne	---⌫--|-|
l ued isse.	|---⌫----|
Plo rentsi	---⌫---|-|
oilesigetetgra nz cri z	--||-|----|---⌫-|---⌫|
Semp resregr e tet Mar teporta i bels	----⌫--|----⌫-⌫--|--|-|-----⌫|---|
Page u01P161	----⌫------|
Edetamedre que na ueiesmercit	|-|-|----|--||-⌫----|-----|
uedeiesd es irrer a	------|-⌫--⌫----||
C ̧ostgrantmerue ileq uepitetne	-⌫-|-|----|-----⌫--|-⌫-|----|-|
A lasse mesrecom	|----|----|--|
oifort auenture	-|---|-------|
Ci ueiiomortetote map orte d ure.	-|--|-|----|---|-|-⌫----⌫-⌫---|
Malonge ate nteagrantdolest	-|----|---⌫--||----|--|--|
Que porrai fairedolente malfedude	--|-----|----|------|--------|
Ç os tgrant	--⌫|-⌫|----|
merueil eque limiensco rstantduret.	-------⌫|--|-|----|--⌫-|---|-----|
F ilz A lexismoltousdurcorag e.	-⌫--|-⌫----|---|--|--|-----⌫-|
Comad osastot ton	--|--⌫---|--|--|
gentillinage	-----|-----|
Sedam ei so leuelsu nefeizparlasses	--||-⌫-|--⌫-|---|-⌫-|---|--------|
Ta lasseme dresilareconfortasses	-|----|--⌫--|-|-|-------------|
Qui sistdolentechi ersfilzbor ia lasse s.	--|-|-|------|---⌫--|---|--||-⌫-----⌫-|
FilzAl exis delatoe charntendre	---|--⌫---|-|-|--|----|-----|
A q ueldolordeduit as	|-⌫--|----|-----|-|
ta iouente	-|------|
Porqueimfuiziatportai	--|---||---|-||-----|
enmon uentre	-|--|-----|
E D eus lesetquetotesu idolente	|-⌫--|-|--|--|---|--⌫|------|
Iamaisnierc	-|---||---|
lie de porhom ene	---⌫-|--|---⌫|-|
A inzquetousse sin	-⌫--|--||----|-||
fuim oltd esi r rose	--|-⌫--|-⌫---⌫-⌫---|
nezfusses sinfui m o ltang uissose	--|-----|-||--|-⌫-⌫-|---⌫------|
P ag eu0 1P162	-⌫--⌫---⌫----|
Quantiotuidnet	----|-||--|--|
sinfuilie de egoi ose	-||--|---⌫-||---⌫--|
Ort e ueimortto te	-|-⌫|--|---|--⌫-|
ensui co roços e	-|--|--⌫------⌫|
Çopeisetmeiquemafin tantdemoret.	--|-----|--|--|-|--|---|-------|
Seino rsdeRomepor a m o r Deu mer ci t	-----⌫-|-|---|--|-⌫-⌫-⌫|--|---⌫--⌫|
ap lain drele dol demonami.	|-⌫----⌫--|-|--|-|--|---|
Gra nzes tl idoisquisormei estuertiz	---⌫-|--⌫|-⌫|---|--|--|--|--|-----|
tantfaire quemes corssen sazit	---|----|--|--|---||-|----|
I l nestmerueile	-⌫||--|-------|
nai m ais filienefil.	|-|-⌫--|----|-|---|
Ent rel edol	---⌫-|-⌫|--|
de lpedreedela m edre	--⌫|----||-|-|-⌫---|
uint lapulc elequediloutesposede	---|-|----⌫--|---|-|--|-------|
Sired istelecom longede mor ede	---|-⌫--|--|--|----|--⌫---⌫--|
Ai at e nd udeen	-|--⌫-⌫--⌫--|-|
lamaisonton pedre	-|-----|--|----|
Outumlai sa sdolenteetesguarede	-|-||---⌫--⌫|------|-|--------|
Sir e Al existanz ior ztai	---⌫|--⌫---|---|---⌫||-|
Et antes lairme sporle toncors	|-⌫----|------⌫|--|-|--|---|
E tant esfeizportei en lo inzguardet	|----⌫-|---|--|--|-|--⌫--|------|
Sereuen i s sest a	-|-----⌫-⌫-⌫--|-⌫|
sposeconfor ter	----|------⌫--|
Porfe lo ni enientne porlastet.	--|--⌫--⌫--⌫|----|-|--|------|
O c hiersamis de	|-⌫----|---|-|
t aioue ntebele	-⌫|----⌫--|---|
Pageu0 1P163	------⌫----|
Ço p eiset	--|-⌫----|
me ique tei podriratterre	--⌫|--|--|-------|----|
Eg enti ls homco md olentepo is	|-⌫----⌫-|--|--⌫|-⌫-----|--⌫-|
Io atendeie	-|-------|
det eibonesnouele s	-|-⌫-|----|------⌫|
M ais orlesuei sidures	-⌫--|-|--|--|-|----|
et sipesmes	-|-|-----|
Obeleboche bels uisb e le	|---|----|---|--|-⌫-⌫-|
Comest mu dedeuostr ebele fig ure	--|--|--⌫---|-----⌫|---|---⌫--|
Plusuosam ai	---|--|--⌫-|
que nule creatur e .	--|---|-------⌫-⌫|
Sigrantdoloro imestapareude	-|----|----|-⌫||--|-------|
Mi elzm eu enistamisquemorte	--⌫--|-⌫|-⌫----|---|--|----|
Se iotsoussela iussoz	-|-||-----|-|--|--|
Ouasgeu t delonge enfermetet	-|-|---⌫|-|----|---------|
Ia totegent ne	-|---|---|-|
msoussentt orner	|-------|-⌫----|
Quen sembl odteinousse conuerse t	-|--⌫----|-|--||----|--------⌫|
le ustsi t ouss eguarde t.	--⌫--|-||----⌫|------⌫-|
Orpar sui ueduesiredistl a pulcele	-|--|--|----|---|---|-⌫|------|
Iamaisledice naurai que r ne	-|---|-----|-----|---⌫|-|
pot es tre	--|--⌫--|
Neia mai s	-|-|---⌫|
homenauraichar ne len terr e.	---||----|----⌫--⌫|-|----⌫-|
Deuse ruira ile reiqui tot	--|--⌫-----⌫|-|--|--|--|
Ilnemf aldratsilueitque	-|-||-⌫-----||-|---|--|
Pa geu01P164	--⌫--------|
Tant iplorerent e lipe dre ela	---||--------||-|--⌫--||-|
Elapulcele q uetoitsen	|-|------|-⌫-|---||-|
ala sserent.	---⌫-------|
En ta ntd ementr esles ai n t	-|--⌫-|-⌫------⌫-|-|-⌫--⌫-⌫|
corsc onreerent	---|-⌫--------|
seinorebel lacostumerent .	-----||--||------------⌫|
Com felix celqui parfeitlhonorerent	--|----|--|--|--|---||---------|
Se inorsquefaitesçodist li apostolies	--⌫----|--|-----|--|---|-|---------|
Que ua ltcist crizc ist	--|--⌫-|---|---|-⌫--|
doi snecestanoise	---⌫|-|----|----|
Cu i queseit	--⌫|--|---|
d olsa nostre	-⌫--||-----|
os e sti l	-|-⌫-|-⌫|
Querparcestu i aurons bone adiuto rie.	---|--|-----⌫|-----|---|------⌫---|
Si lipreionsque det ozmaisnos tolget .	-|-|------|--|-|-⌫-|---|--|------⌫|
Trestoit lepren entquipourentauenir	-------|-|----⌫--|--|------|-----|
Chantant enporten t leco rssa int	-------|-|------⌫|-|--⌫-|--⌫--|
Etoitlip reientquedelsaietmercit.	|---|-|-⌫-----|--||--|---|------|
Nest o t s omondre	|---⌫-⌫|-⌫------|
icelsquilo nt odit	----|--||-⌫-|---|
Toi tiac or ent	---⌫||--⌫--⌫--|
e lipetit.	|-|-----|
Sis encommourenttotelagent	-||-|---------|---|-|---|
P l ustosti uint q ui plustosti poutcorr e	-⌫-⌫-|---||---|-⌫-|---|---||---|----⌫|
Parmilesru es enui enen tsi granztorb es	----|--|--⌫-|-|--⌫----⌫|-|----|----⌫-|
Nereisnec ons ni	-|---|-|-⌫--|||
potfaireentrerot e	--|----|--------⌫|
N e les aint corsnepourentpasser	-⌫|-|-⌫---|---|-|------|-----|
Pag eu01P16 5	---⌫-------⌫|
E ntrel s enprenen t cilsei nor aparler	-⌫--|--⌫|-|------⌫|--|---⌫--||-----|
Grant estla	----|--|-|
pressen osni podronspasser	-----|-⌫-|||------|-----|
Porcestsaintc orsqueDe us nos	--|---|----|-⌫--|--|--⌫-|--|
L i ezes t	-⌫-⌫-|--⌫|
lipopl esquitant	-|----⌫-|--|---|
To it iacorent	--⌫-||------|
uoltt orner .	---|-⌫-----⌫|
Cilenrespondentquilempiriebailissen t	--|-|---------|--||------|---------⌫|
Mercitseinors	-----|------|
que rronsmeci ne	---⌫----|----⌫-|
aueirsfe ronsgr anzdepartides	-----|--⌫---|--⌫--|---------|
L amainmenudequil almosn ede sirret	-⌫|---|-----|--||------⌫|--⌫-----|
n osfont pre sse	-⌫-|---|---⌫--|
ierme sdeliu re .	-----⌫|-----⌫--⌫|
tre sorprenen tlor	---⌫--|------⌫||-|
Silfontgeterdeuant	-||---|----|-----|
lapouregent	-|----|---|
Paric ̧ocuident auei r	--|--⌫-|------|----⌫|
de scombre ment.	--⌫-------⌫----|
Maisnepote str ecil	---|-|--|-⌫---⌫|--|
nen rouent nient	|-|-----|----|
sainth ometornetontl ortalen t.	----|-⌫--|-----|--|-⌫-|-----⌫-|
Aduneuo izcriden tla gentmenude	-|--|--⌫-|------⌫|-|---|-----|
Decestaue ircert esnosnauonscure	-|---|---⌫-|----⌫-|--||----|---|
S igrant le dice nos estapareude	-⌫|----|--⌫---|--|--|-------|
Dicestsaint	|----|----|
corsnauonssoinda ltre mune	---||----|---||-⌫---|---|
Q uerpa rcestui	-⌫--|--⌫|-----|
aurons no sbone aiude.	-----|--⌫|---|-----|
P a geu01P166	-⌫-⌫--------|
Onquesen Ro men eno ut sigrant	-----|-|--⌫-|-⌫-|-⌫-|-|----|
leio rnaspoures	-|--⌫-|-|-----|
et asr ich es	-|-|-⌫---⌫-|
Porcel saintcors	--|--|----|---|
enlorbailide.	-|--|-------|
Çolorestu isquetiengentD eu m edis me	--|--|--|-⌫-|--|-------|-⌫-|-⌫----⌫-|
Tr estozlipo p leslodet Deuegraciet.	--⌫----|-|--⌫-⌫--|----|--||-------|
S ainzAlex isout bone	-⌫---|----⌫-|--|---|
uo le ntet	--⌫--⌫---|
en es toicestiornhonorez.	-|--⌫|-|---|---|-------|
Li corsengist en Romela	-|---|-|---|-|---|-|
Elanem eenesten z el par ad isDeu.	||----⌫|-|--|--⌫|-|---⌫--⌫-|---|
Bienpotliezest requisies t aloez .	---|--|---|---⌫-|--|-|--⌫|-----⌫|
Quiat pechi etb iens	--|-|-----⌫-|-⌫--||
enpotrec order	-|--|---⌫----|
Parpenit ences en pottres	--|-----⌫---||-|--|---|
bien saluer.	---|------|
Briesest cistsiecl es p lu sdurab leat ende i z.	----|--|---|-----⌫-|-⌫--⌫|-----⌫-|--⌫----⌫-⌫-|
Ç o preionsDeula	--⌫|------|--|-|
saintetrinit et	-----|------⌫-|
Quod lui ensemblepoiss o nsel c iel regner.	-|-|--|-------|-----⌫-⌫-|-|-⌫--|------|
So rzne auoglesne con traiz	--⌫-|-|------|-|---⌫----|
Nemuzneor bs ne nuispalazi nos	-|--|-|--⌫-|-|---|------⌫--|
Ensorquetotn eneuls l angoros	----------|-⌫|----|-⌫------|
Nuln eni atquin	--||-||-|--||
alget m alendos	----|-⌫------|
Cel n eniat	--||-||-|
quinreportsa	--||-----|-|
N iuintenfermsd e	||---|------|-⌫|
nuleenfermet et	---|--------⌫-|
Quant illap el etsem pres	----|-||--⌫--⌫-|---⌫---|
nai e tsant et.	|--⌫-⌫|----⌫--|
Pageu 01P167	-----⌫-----|
Alquantiuontalquant	------||---|------|
sef ontporter	-|-⌫--|-----|
Siueirsmi racleslor i	-|----|--⌫-----|--||
Quiuintplorant	--|---|------|
c hanta ntl en	-⌫-----⌫-||-|
f uit raler .	-⌫--|-----⌫|
Cildui seinorquilempirie	--|--|-----|--||------|
goue rnent	----⌫----|
Quant i lenuei entlesu e rtuzs i	----|-⌫|-|---⌫--|--|-⌫-⌫---|-⌫|
Illerec ei uentsil	-|-|---⌫--⌫---|-||
portentesilseruent.	------||-||-------|
Al que s pa rprieleplusparpodeste	--⌫---⌫|--⌫|--||-|---|--|------|
uo nten auantsi	--⌫-|-|----|-|
dero mpent la	----⌫----|-|
S ainzBonefacequelhomm artirapelet	-⌫---|-------|--||--|-⌫----|-----|
Rome uneeg lis e mo lt	---|--|--⌫---⌫|--⌫-|
Ilocenport entd an	---|-|----⌫--|-⌫-|
Alex isacertes	----⌫-|------|
Et attement leposentala	-|-------|-|-----||-|
Felixlili usou	----|-|--⌫-|-|
c ors herberget	-⌫--|--------|
L agentd e Romequitan tlontdesirret.	-⌫|---|-⌫|---|--|---⌫||--|--------|
Setiorsletienentsor	--|---|-|------|--|
t erre a podestet.	-⌫---||--------|
G ran testlapres senelestot d emander.	-⌫---⌫|--|-|----⌫-|-||----|-⌫-------|
De t otes parz lont	-|-⌫---|---||--|
siauir onet	-|----⌫---|
Que a uiso nquesipot hom	--||--|-⌫----||--|--|
Al sedmeio rnfu tfaite	-|-------⌫-|--⌫|----|
l a herberge	-⌫|-------|
cors ala gemmeceleste.	---||-|----|-------|
entrai entsi	-|----⌫--|-|
alaschetla pre sse	-------|-|---⌫--|
Pageu01P168	----------|
uoillen tou nonsi l laissentmetreen terre	-------⌫|-|--|-||-------|----|-|----|
Ço peis etelsmaisaltre ne	--|----⌫-|--|---|----|-|
pot estre.	--|-----|
Adencen si ersador ies chandelab res	-|-----⌫--⌫--|-|--⌫--|---------⌫--|
Clercreues tuten	----|-----⌫--|-|
albes et enchapes	----|-|-|-----|
Metent lecorsenzel sarcou dem arbre	-----|-|---|--|-|-----|-|-⌫----|
chanten tli plu isor gete n t lairmes	-------⌫|-|---⌫---|----⌫-⌫|------|
Ialelor u oildelui nede se ur assent.	-|-|--|-⌫--|-|--|-|--⌫--⌫--⌫------|
Dor e de gemmesfutlisarcouspar ez	|-||-|-----|--|-|------|---⌫-|
Porcelsaint	--|--|----|
cors quilideiuent pos er	---|-|-||------|---⌫-|
Enterr elmetentparuiue podeste t	-|----⌫||-----|--|---|-------⌫|
Plor etl i poplesdeRome lacitet	----⌫-|-⌫|-----|-|---|-|----|
Sozciel n athome	--|---||-|---|
quispoisse tc onfor ter.	--||------⌫|-⌫-----⌫---|
Ornest ot dire	-||---⌫-|---|
delpe dre ed ela medre	--|--⌫--||-⌫|-|----|
Edelasp ose com il	|-|-|--⌫--|--|-|
leregr eterent	-|----⌫------|
Quer toitenont loruoiz s iat empredes	---|---|-|--|--|---|-⌫|--⌫-------|
