richardama	------|--|
lecorsnostreseinur receut	-|---|-----|-----|-----|
serestrei nstou iliut	-|-------⌫--|-|-|--|
gra nzfu limalsmurir	---⌫-|-|-|---|----|
granzfu li deu ls quant il murut	----|-|-|---⌫-|----|-|----|
duncoissezeplursecriz	---|-----||----||---|
dehum me s defillesedefiz	-|---⌫--⌫|-|-----||-|--|
el sarkeuu ntl e cors porté	-|-----|-⌫-|-⌫|---|-----|
quil otgrantposeain zapres té	-|-|-|----|---|---⌫|-----⌫--|
multoissiezalen terre r	---|------|||--⌫-----⌫|
humesefemmesdement er	----||-----|------⌫-|
bonseignurdeitlumbienplurer	--|------|---|--|---|-----|
kargriefchoseestarecuurer	--|----|----|--||-------|
desus untfait une chapele	----|--|---|--|------|
de sain tth omaski mult es t bel e	-|----⌫|--⌫---|-|---|--⌫|---⌫|
milanz quat remei nsout passe z	--|--|----⌫-|---⌫-|--|-----⌫|
puisq uedeusfuen terrenez	-----⌫-|---|-|-|----|--|
prem i errichardmurut	----⌫-⌫-|------|----|
el esecundlonu r receut	|-⌫|-----||---⌫|-----|
richardfup ere richa rdfiz	------|-|-⌫--|-----⌫-|--|
chascunfumultpruzegent ilz	------|-|---|---||----⌫--|
denormendi ec hascundus	-|--------⌫|-⌫-----|--|
bon f u lipere l i fizpl us	--|-⌫|-|---|-⌫|--|--⌫-|
pursabun t epu rsa noblece	--|-|---⌫-⌫|--⌫|-|------|
pursaua lurpursalargece	--|-|--⌫--|--|-|------|
fucist li bons	-|---|-|---|
richa rd clamez	-----⌫-|-----|
mult fupre isiezm ultfu	---|-|---⌫----|-⌫--|-|
multsentremistd ed eu	---||--------|-⌫|-⌫-|
edel seruis e d euoir	|--|------⌫|-⌫-|--|
emu ltmist	|--⌫-|---|
gr ant ent enciu n	--⌫--|---⌫-----⌫|
muinesamer	-----|---|
multsepe na	---|-|--⌫-|
deeu shonurer	-|--⌫|------|
uenirfist muines d edigu n	----|---|-----|-⌫|----⌫|
kisu ntde gr a nt religiun	-|--⌫-|-|--⌫-⌫-|-------|
desplushonestes desmielsletr ez	--|---|-------|--|----|----⌫-|
despluspreisie zdesp lusamez	--|---|-------⌫|--|-⌫--|---|
deune abeie de	-|--|----|-|
queiertdemult bo n	--|---|-|---|--⌫|
testemoine	---------|
de s mustiers ke	--⌫|-------|-|
s isp eresfist	-⌫-|-⌫---|---|
ost ale scle r smuines im ist	---⌫|--⌫|---⌫-⌫|-----||-⌫--|
af esch ampfist	|-⌫----⌫--|---|
laplusrich ede	-|---|----⌫|-|
normendi e	--------⌫|
tantimistetant	---||---||---|
tutli pueplesses merueil a	--|-|------||--⌫-------⌫|
neuotmestie rde s ameisun	-|--|------⌫|-|-⌫|-----|
d un e rsi agentilh umme nun	-⌫--⌫-⌫|-||-----|-⌫---|--|
gen tilfurentl i chapelein	---⌫--|-----|-⌫|--------|
gentilfur en tli escriuain	-----|---⌫--⌫|-|--------|
gentilfurentli cunestable	-----|-----|-|---------|
e bien puissa ntebien aidable	|---|------⌫-||---|------|
gentil fur en tli	-----|---⌫--⌫|-|
gen tilfurentli	---⌫--|-----|-|
ge ntilfu rent	--⌫---|--⌫---|
libutteillier	-|----------|
genti lfurent lidesp ensie r	-----⌫|-----|-|----⌫-----⌫|
lichamberlenceliussie r	-|----------||-|-----⌫|
furent tuitnoble cheualier	-----|---|----|--------|
ch a scun iurorentliureis uns	--⌫-⌫---|--|----|-------⌫--|
e as granzfe stesdras	|-|----|--⌫---|---|
einsiiertla curtbien seruie	----|---|-|---|---|-----|
endre itchascu npar curteisie	-----⌫-|------⌫|--|--------|
chascunsepenade	------|-|---|-|
ed ehonurfaireedelargece	|-⌫|----|----||-|------|
naueit gu eres regné	|----|--⌫---|-----|
ne guaires naueit duc esté	-|------||----|--|----|
qua nte lpaissur stunegue rre	---⌫-|-⌫|---|---⌫-|--|---⌫--|
kidut gr antmalfair e alaterre	-|--|--⌫--|--|----⌫||-|----|
cildelbosc hag e	--|--|----⌫---⌫|
ecil d el plain	|--|-⌫-|----|
ne sai parcui e ntichement	-|--|--|--|-⌫---------|
nekilesmut premierement	-|-||----|-----------|
paruinz par tr en t ainesparcenz	--|---|--|--⌫--⌫-⌫----|--|---|
unttenu plusursparlem enz	--|---|------|------⌫--|
paroleuun tcunseilant	-----|---⌫|---------|
se il lapoentmetreauant	-|-|-|----|----|----|
eillapuis s entachieftraire	|-|-|----⌫-⌫--||----|-----|
ki as plushauzf eracuntraire	-|-|---|---|-⌫--|--------|
pri ueementont	---⌫------|--|
pur parlé	---⌫-----|
e plusurs luntentr	|------||--|---|
queiamaisp arluruolunte	--|-----|-⌫-|--|------|
n aurunt sei nur	|-----|---⌫--|
s eignu r sne lurfunt	-⌫-----⌫-⌫|-|--|---|
ne p uetaueirode lsfuisun	-|-⌫--|----|-|-⌫-|-----|
nelu rgu aa inznelurlabur s	-|--⌫|--⌫--⌫--|-|--|-----⌫|
chascuniuruunta	------|--|---||
grantdul urs	----|---⌫--|
enpeinesuntee nhah an	-|----|---||-⌫|---⌫-|
antanfumale pis awan	----|-|--||--|---|
tote iursunt lur bestespris e s	---|--|---|--|-----|----⌫-⌫|
pur a ies epurser uises	--|-⌫--||--|---⌫----|
tant iaplaintes	---|||-------|
e querel es	|------⌫-|
e cu stummes	|--⌫------|
uiez e nuueles	---||------|
nepoent uneh u reauei rp ais	-|----|--|-⌫-⌫-|----⌫|-⌫--|
tuten iursu nts umunsde plais	--|-|--|--⌫-|-⌫----|-|----|
plaiz deforez	----|-|----|
plaizdepurprise s plaizdeueies	----|-|--------⌫|----|-|----|
plaizde bie sfaireplaizdemoutes	----|-|---⌫|----|----|-|-----|
plaizdedefaut ee	----|-|------⌫||
plaizdaguaiz pla i zd e	----||-----|---⌫-⌫|-⌫|
plaizdemedleesplaizde aies	----|-|------|----|-|---|
t ant iapreuoz e	-⌫--|||-----||
etanzbail izuielz	|---|----⌫-|----|
aueirpaisn ulehure	----|---|-⌫--|---|
t u ten iurlu rcurent sure	-⌫-⌫|-|--|--⌫|-----|---|
nesepoentdera in ier	-|-|----|----⌫--⌫--|
c h ascunuult aue irsun luier	-⌫-⌫----|---|---⌫-|--|----|
aforcef unt lur	|----|-⌫--|--|
beste s pre nd re	-----⌫|---⌫--⌫-|
osen t nedefe nd re	----⌫|-|----⌫--⌫-|
nepoentmi eissi guarir	-|----|--⌫|---|-----|
terresl ur estuu ra guerpir	-----|-⌫-|-----⌫-|------|
ne puentaueir nul	-|----|----|--|
seignur ne u ers seriant	------|-|-⌫--|------|
nelurtienentnul c uue nant	-|--|------|--|-⌫---⌫---|
fiz apu tain	--||--⌫---|
dientalquant	----|------|
pur qu ei nus laissum damag ier	--|--⌫-|--|------|-----⌫--|
metum nusfor s delurdangier	----|--|---⌫|-|--|------|
humescumils unt	----|--|-|-⌫--|
telsmenbre s auum	---|------⌫|---|
cum il unt	--|-|--|
eau t resigran z	|--⌫-⌫---|----⌫|
e t a utretan suffrirpo um	-⌫|-⌫------|------|--⌫-|
ne nus fautfor scu e rssulement	-|--|---|---⌫|--⌫-⌫-|-------|
aliumnus par	----|--|--|
nosaueirsenus	--|-----||--|
e tu i t ensem b lenuste num	|--⌫-⌫|-----⌫-⌫-|--|--⌫--|
il nusuuelent guerrier	-|--|------|-------|
bienauumcuntreuncheualier	---|---|-----|-|--------|
trenteuquara nte	-----||-----⌫--|
man iablesecumbatanz	---⌫-----||--------|
malueisserunte uillitre nte	------|-----||--|-|---⌫--|
bachel erdebele iuuente	------⌫-|-|---|------|
seporruntdefe ndre	-|------|----⌫---|
s ilseuuelent ensembleprendre	|-|-|------|-------|------|
a s macueseasgranzpeus	-⌫|-----||-|----|---|
assaieteseas tineus	-|------||-|-----|
a shachesasarcsasgisa rmes	-⌫|-----|-|---|-|----⌫---|
od l agrant	-|-⌫|----|
g en tk enusauum	-⌫--⌫|-⌫|--|---|
descheualier s	--|---------⌫|
nusd ef endum	--|-⌫--⌫----|
ein sipoumaler e lbois	---⌫-|---|---|-⌫|---|
arbrestrenchier eprendrea	-----|--------||------||
esuiuers prendr eles	-|-----|------⌫|--|
eesforezlesueneisuns	|-|----|--|--------|
de tut ferumnosuo lunt ez	-|--|----|--|--⌫----⌫-|
d esboisd eseauese	-⌫-|---|-⌫-|----||
partel sdi z epa rp a r oles	--|---⌫|--⌫||--⌫|-⌫-⌫-⌫---|
e par autres	|--|-----|
untt uitcelcu nseil graanté	--|-⌫--|--|--⌫----|-------|
esunt ent reserementé	|---|---⌫-----------|
ke tu itensem blesetendrunt	-|--⌫-|-----⌫--|-|-------|
eensembl ese d efen drunt	|-------⌫|-|-⌫----⌫----|
esl ituntnesai	---⌫-|--|-|--|
des pl us quintesdesmielzparlanz	--|--⌫-|------|--|----|------|
kipar tutle	-|--|--|-|
paisiru nt	---|---⌫-|
elessere menzreceuru nt	|--|----⌫---|-------⌫-|
nepotestre l un ges celee	-|--|----|-⌫--⌫--|----|
paroleatantegenzportee	-----||----|---|-----|
fustpar h ummefustpar seri ant	---|--|-⌫---|---|--|----⌫--|
fe m mefustpa r e nfant	--⌫-⌫-|---|--⌫|-⌫----|
fust pariurec efust pa rire	---|--|-----⌫|---|--⌫|--|
oiri charddi re	-|--⌫----|--⌫-|
ke ui le incumunefaseien t	-|--⌫--⌫-|-----|-------⌫|
esesdreituresli toldreient	|--|--------|-|---------|
a l uieas autresseinurs	|-⌫-||-|-----|------|
kiuilains un t e	-|------|--⌫||
uaua su rs	----⌫--⌫-|
sun uncleenue ia	--|----|----⌫-|
cestebusuin elicunta	----|------⌫|-|----|
quensie rtdeeur e uesmultuaill a nz	----|--⌫-|-|---⌫-⌫--|---|-----⌫-⌫-|
deplusur schosesbienaidanz	-|------⌫|-----|---|-----|
s ir e disti l enpe i s	-⌫--⌫|---|-⌫|-|--⌫-⌫|
les paisanzamei l es sez	--|------||--|-⌫--⌫--|
ke i amarenuoz piez	-|-⌫|--|-|--|---|
mai suo s m aineesm e nuei e z	---⌫|--⌫|-⌫-----||-⌫----⌫-⌫|
e n ueiezmei	-⌫-⌫----|--|
uoscheua liers	--|-----⌫----|
erichardli distuolentiers	|------|-|---|---------|
duncenueiaenplus urslieus	---|-----|-|----⌫--|----|
sesesp ies e sescurlie us	--|---⌫--||--|------⌫-|
t antal a raoles pi ant	-⌫--|--⌫|---|--⌫--⌫--|
epare sp iese n querant	|--|-⌫--⌫--|-⌫-⌫------|
q ueparmalad eske	-⌫-|--|-----⌫-|-|
kilateins te pr istlesuileins	|-|------⌫||--⌫--|--|------|
quiius toent lesparleme nz	--|---⌫----|--|-------⌫-|
eperneientl es seremenz	|--------|-⌫-|-------|
raulfumultde ma ltalent	---|-|---|-|--⌫|-----|
uoutmeneraiuge ment	---|----||----⌫---|
tuzlesf ist tristesed olenz	--|--|-⌫--|------||-⌫----|
a p lusursfi sttraire les de nz	|-⌫-----|--⌫-|-----|--|--⌫-|
aut resfistespeter	---⌫--|---|------|
traire les oilzl e spu i nsco uper	-----|--|---|-⌫-⌫|--⌫-⌫-|--⌫---|
atelsioutl e s	|---||--|-⌫-⌫|
garezquire	----|----|
nelichautg uei r esqui	-|-|----|-⌫---⌫-⌫-|--|
l esautr esfist tut	-⌫-|----⌫-|---|--|
uifs rostir	---|-----|
e lesautre senplum	|--|-----⌫|-|---|
tuzlesaf ait	--|--||-⌫--|
sicunre er	-|-----⌫-|
hisdusfurent aesgarder	-----|-----||-------|
n e furentpu isen lieuueu	-⌫|-----|--⌫-|-|---|--|
kilnefuss e n t b iencuneu	|-|-|----⌫-⌫-⌫|-⌫--|----|
lacumune remestatan t	-|-----|-----|----⌫|
nenfir entpuis ui l ai nsembla nt	|-|---⌫--|---|--⌫-⌫--⌫|------⌫-|
retrait s e sunttuitedemis	------|-⌫|---|---||----|
deceok ila ueientenpris	-|--||-|-⌫-----|-----|
pur lapou r delur amis	--|-|---⌫|-|--|---|
uire nt de fa ize m al mis	----⌫-|--⌫--⌫-||-⌫--⌫--|
el i riche le cu mperer e nt	|-⌫|----|-|--⌫------⌫-⌫-|
maisparl urbursesaquitere nt	---|--|-⌫-|----||--------⌫-|
laissalunrienaprendre	-----|--|---||------|
de ta ntcuml unlespoutraendre	-|--⌫-|--|-⌫-|--|---|------|
tels plaiz firent uers lur s eign urs	---|----|-----|---|--|-⌫----⌫--|
c um ilporentfai r e meilurs	-⌫-|-|-----|---⌫-⌫|------|
richa rdout f re res	-----⌫-|--|-⌫--⌫--|
bonscheualierse	---|---------||
b eal s plusur s	-⌫---⌫|------⌫|
a squan zfist cuntese baruns	-⌫-----⌫|---|-----||-----|
duna lur terr es	---|--|----⌫-|
a g uilleame adoismes	|-⌫-------|-|-----|
iurafealte	---|-----|
feilipleu ises	--|-|----⌫|--|
huem deuint	---|-----|
pais dutt enir m a ispoilatint	---|--|-⌫---|-⌫-⌫-|--|-|---|
guilleamefumultorgu eilus	--------|-|---|----⌫----|
pur cek il fucheual erus	--|-||-|-|------⌫---|
e parlosengiers queilcrei	|--|---------|--|-|---|
richardsunfreremesserui	------|--|----|-------|
felu ns a traist	----⌫-|-⌫-----|
laguer eamalapeishai	-|----⌫|--|-|---|--|
desmarches salia	--|------||---|
les hommesrich ard guerre ia	--|-----|----⌫--|------⌫-|
richa rdsuu ent lech as tia	-----⌫-|---⌫--|-|--⌫--⌫--|
emain tefeiz	|----⌫-|---|
eq uantpurlui nel uolt laisser	|-⌫---|--|--|-||---|------|
parautresle fistchastier	--|-----|-|---|-------|
pa roleoir	--⌫---|--|
depaisnede	-|---|-|-|
tri we ste nir	---⌫--⌫|--⌫--|
quant richard	----|------|
paisnaureit	---||-----|
n equ epur	-⌫|--⌫|--|
lui rien neferei t	--|---|-|-----⌫|
tantledemenaqu	---|-|-----|-|
ill eprist	-|-⌫|----|
enla turde ruemle	-|-|--|-|---|-|
sesfol scunseiliersfist desfaire	--|---⌫|----------|---|-------|
tolirl es fr eresles	----|-⌫-|--⌫---|--|
oilztrair e	---|-----⌫|
cinc anzfuguilleaumeenlatur	---|--|-|---------|-|-|--|
queunk es n en pot issirnuliur	--|---⌫-||-|--|----|--|--|
quant parcunseilduncheualier	----|--|------||-|--------|
kilioutfaitapareil ier	-|-|--|---|-------⌫--|
unecordekeillimuca	--|----|-|-|-|---|
pa rcelecorde deuala	--⌫|---|----|-----|
deunefene stre for sissi	-|--|----⌫---|---⌫|---|
lacordedescendi	-|----|-------|
elbois semist comil	-|---|-|---|--|-|
leiurdo rmeitlanuitueillout	-|--|--⌫----|-|---|-------|
endutanceiertoil i reit	-|------|---||-|-⌫---|
ee n quellieuguari rporr ei t	|-⌫|---|---|-----⌫|----⌫--⌫|
tant iertrichard degrantpuissan ce	---|---|------|-|----|-------⌫-|
e tantlamou t	|---||----⌫|
uoldrei tpurlui	-------⌫|--|--|
ar ichardsunfrer emedler	|-⌫-----|--|----⌫|-----|
enluif ier	-|--|-⌫--|
n eilneluoudreitrec eter	-⌫|-|-||-------|---⌫---|
enbretaign e neenangou	-|--------⌫|-|-|----|
n osadalerneenpeit ou	|---|---|-|-|----⌫-|
purpensa sei	-------|--|
queil fera	--|-|---|
asunfrererichardira	|--|----|------|--|
multum blement	---|--⌫------|
merciquerra	----|-----|
ensa maneiesemetra	-|-|-----|-|----|
miel z seueultmetredesungre	----⌫|-|----|----|-|--|--|
esmain srichard sunauoé	-|----⌫|------|--|----|
keautrelimette uuile	-|----|-|----|----|
en quide aueir pardun	-|----|----|-----|
arestezs est acestpense	------||--||---|----|
queiurque nuiter ré	--|--|--|---|--⌫--|
a uernei uintceofulafin	|-----|---|--|-|-|--|
unef orestdebeessin	--|-⌫----|-|------|
ensach ape	-|-|--⌫--|
sesten buschié	|--|--⌫-------|
kilnefustpr is nee nte rcié	|-|-|---|--⌫-|-|-⌫---⌫----|
liquensesteital é c hacier	-|----|-----|--⌫-|-⌫-----|
s alout esbanier	|----|-------|
guilleame l	--------||
a tantparsui	|---|-----|
parla f ores t kil descendi	--|-|-⌫----⌫||-|-------|
al pi elichai	-|--⌫|-|---|
merc ic ria multhumblem ent	----⌫|-⌫--|---|-------⌫--|
ric harddem andakie stu	---⌫---|---⌫---|-|-⌫|-|
e deskeilla	|----|-|||
munterlefist silen mena	-----|-|---|-||-|---|
sunmal tal entlipardona	--|--|---⌫--|-|------|
mult letinthonoreement	---|-|---|----------|
ensemble odseibien lon gement	-------|-|--|---|---⌫-----|
p arcon seil	-⌫-|---⌫---|
le conteraul	-|----|---|
n outalconseil nemaisli	|--|-|------|-|---|-|
lido naou e leconte	-|--⌫-|-||-|----|
ec illi iura	|-⌫-|-|---|
puis li dunauneme schine	---|-|---|--|--⌫-----|
fil leturketil lieceline	---⌫-|-------|--------|
turketil fu de	-------|-|-|
grantpoeir	----|----|
richedefeumanantde	----|-|--|-----|-|
nauei t fors	|----⌫|---|
l a fillenuleir	-⌫|----|--|--|
ece lefude	|--⌫-|-|-|
gr antsaueir	--⌫--|-----|
de grant bon t e	-|----|---⌫-⌫|
d amonesfa ire e deamerde	|-----|--⌫--||-|---|-|
sur diu e estor alabeie	--|---⌫|-----⌫||----|
demad amesainte	-|-|-⌫--|-----|
treisua dlez out	----|--⌫---|--|
desunseig n ur	-|--|----⌫-⌫-|
robertclamerent le	-----|--------|-|
quensde ou enpressun pere	----|-|-|-----|--|---|
iohan numerentl altrefrer e	----|-------||----|----⌫|
iohanfuclers ecoronez	----|-|----||------|
eteuesquesfuorde nez	-|-------|-|----⌫--|
delis ewis	-|---⌫---|
croceportant	----|------|
biensauant	---|-----|
a cel termesurstu ne guerre	|--|----|----|-⌫-|-----|
e ntreal redle	-⌫---|--⌫--|-|
rei d een gle terre	--|-⌫|--⌫---⌫----|
el eseignurde no r mendie	|-⌫|------|-|--⌫-⌫-----|
nesaiparire upa renuie	-|--|--|--||--⌫|----|
neremestpaspurs asorur	-|-----|--|--|-⌫|----|
que al reda ueita	--|--⌫--|-⌫---||
keiln euolistr ichardgre uer	-|-|-⌫|-----|-⌫-----|---⌫--|
edes truireedesbarat er	|---⌫-----||--------⌫-|
sunna uiriefistase mbler	--|--⌫----|---|---⌫----|
bar unsecheualier s mande r	---⌫--||---------⌫|-----⌫|
gran tfu la flote a	----⌫|-|-|----||
qua ntlagentfutote	---⌫-|-|---|-|---|
lire is apelases baruns	-|--⌫-|----|--|-----|
e le sua s a ls k	|--⌫|--⌫-⌫-⌫-||
ilout somuns	-|--|-----|
ceste m er distilpasserez	----|-⌫-|---|-|-------|
enormendie dest ruirez	|--------|----⌫-----|
pern e zrichardsiuuspoez	----⌫-⌫|------|-|--|---|
pris e liéle m	---||---|-||
