B oinecanc honplairoituous	-⌫---|----⌫--|-------|---|
u ostreame	-⌫----|--|
s eco rsni	-⌫---⌫-|||
a ueroisTrop	-⌫-----|---|
esthonisfrans homquiuilain	--|----|----|--|--|-----|
bienlifait illepert par	---|-|---|-|-|---|--|
ma foi. I out aibien fait et au	-|---|-⌫-||-|---|---|-|-|
et a usoirOrme fais honteetsi	-|-⌫|---|-|-|---|----|-|-|
medis an o i .Et li	-|--|--⌫-⌫-⌫|-|-|
porti e r sl i	-----⌫-⌫-⌫|-⌫|
respo nt gr ant de sroiN	-----⌫-|--⌫--|--⌫---||
ienterrés parle Dieu	|--------|--|-|---|
ouie croiTrop	-|-|---|---|
nousu olés chaienstenirde st roisTous uos bie nsfaisne	---|-⌫----|------|----|--⌫--⌫---|---|--|---⌫-|---|-|
priso m es	-----⌫-⌫-|
deus no is.Liquens Guillau mes s aut	---|--⌫--|-|----|-------⌫--|-⌫--|
iusdelpalefroi Aicest	--|--|-------||----|
s a g r antire li	-⌫|-⌫-⌫--|--|-|
croist. uoit	------|---|
un marrienqui a terre	-|------|--||----|
g isoitDune	-⌫----||--|
maisonq ue onicarpentoit Troi	-----|-⌫-|-||---------|---|
grant uilainnel	----|-----|--|
leuassen tde s	--------⌫|--⌫|
mois.Li quens le lieue co mle pel	----|-|----|-|----|--⌫|-|--|
dune s oifEnuers	|--|-⌫--|-----|
en adrece to tdroitTel	-|-----|--⌫|----|--|
cop i hurte delpel quigrosestoitLigon	--||----|--|--|--|---|-----|-|--|
br i sie rentetl iportedescroist	--⌫-⌫---⌫---|-|-⌫|----|--------|
Toten unm ontlabati	--|-|-|-⌫--||----|
deua ntsoiEt lep ortiera	----⌫-|--|-|-|-⌫-----||
m isen tel	-⌫-|-|--|
destr oit Desouslep ort e que crauenteeauait Le cuer de l	-----⌫--|-----|-|-⌫---⌫|--|--------|----|-|---|--⌫|
f aitpartirentrois. Li	-⌫--|-----|-|-----|-|
quensGuill aumes	----|-----⌫----|
ientred emanoisLe	|----|-⌫------|-|
portieruitquiiluecsemoro itL i quensl i	------|--|--|----|-|----⌫-|-⌫|----|-⌫|
dist Oraschou que	---|-|-|---|--|
tudois A nul franc h ome nediras mai sanoi.	-|---||--|----|-⌫--|-|----|---⌫|----|
merueille l	--------||
esgardentlibour goisDistl uns alautre	--------|-|----⌫---|---||--|||----|
Taisonsnous	------|---|
tresto tc oi	------⌫|-⌫-|
Quep arcelDieu	--|-⌫-|--|---|
lon c uoit Senous	---⌫|---|-|---|
rion setilnos aper ch oitNe dis ons rien qu iencontre	----⌫|-|-|--|----⌫--⌫--|-|---⌫--|---|--⌫|-------|
T ou s lors	-⌫--⌫||--|
delmontne nous	--|---|-|---|
garan tiroitQuene noust utdecelfust	-----⌫-----|--|-|---|-⌫-|-|--|---|
ore nd roit.Libor ioisfurentc elioren grant errorN	---⌫--⌫----|-|---⌫---|-----|-⌫-|--|-|----|----||
aitmoutgrantpa orPorc hou quil	--|---|----|--⌫-|--|-⌫--|-|-|
uoientGuillaume entel	-----|--------|-|--|
i ror. Distl uns	-⌫---|---||--|
autreSignor	----|-----|
or no ustaisonsLaisso ns	-|--⌫-|------|------⌫-|
lif aire sontalentetsonbon.Li	-|-⌫---|--|-----|-|--|---|-|
que nsGuillaumes nifa it	---⌫-|---------|||--⌫-|
arest is onE nlabe ̈ieen tretou t abandon.	-----⌫--⌫-|-⌫||---⌫--|--⌫--|---⌫||------|
En f ui esto rne nt escuier et	-|-⌫--⌫-|--⌫---⌫-|------|-|
garcho nFe r ment	------⌫|--⌫-⌫---|
quisi nes e stable s et	-----⌫--|-⌫------⌫|-|
maiso ns. LimoinesontporG ui llaume enfrichonEnfuies	-----⌫--|-|----|---|--|-⌫--⌫-----|-|------|-|----|
cascunsd ausserepont	------||--|-|-----|
Quan tilöirentaconterlaraison Quedans	----⌫|-|------|------|-|-----|--|---|
Gui llaumes faitsigrantmarrisonQue	---⌫------|---|-|----|-------|--|
p orte e t l epostis	-⌫---|-⌫|-⌫|-----|
se l onc A abatu	--⌫-⌫--||----|
e tleport ierdesous.L abes mëism es uausist	-⌫|-|----⌫--|------||---|------⌫-|------|
a LoncP ont Et lipri ̈eusaspuis de	|---|-⌫--|-|-|---⌫---|-|---|-|
B esenchonE tli	-⌫-------|-⌫|-|
coue nsaRains	----⌫-||----|
o u a Soi ssonsQue	-⌫||---⌫----|--|
tropredot entGuill au me lebaro n. Die u sdist	---|-----⌫--|-----⌫--⌫-|-|----⌫-|---⌫-⌫|---|
Guillaumes partonsa intismenonCom mecist moineso n t plain	---------|--|--|--⌫------|--|---⌫-|---|----|--⌫-⌫|----|
desuois on Orsaiiou bienq uece fu träison sQu	-------⌫-|-|--|--|---|-⌫-|-|-|--------⌫|-|
ilm enuo iere nt a	-||----⌫----⌫-||
lameraspoissons.Ilmequidierent faire	-|--|-|--------|-|-|---------|----|
larronsMais	------|---|
par la foiquedoi saint	--|-|--|--|--|----|
Si m e onAinsquem enpartemoutcierle	--⌫-⌫-⌫-|---|--||-|----|---|---|-|
comperrontMie us	---------|---⌫-|
ameroieparDieue tpar son non Qu e	------|--|---|-⌫|--|--|--|--⌫|
i oufuisse	-⌫-|-----|
fude c arbonQ uei ou i amaisfuisseau oecaus	-|-|-⌫----|-⌫-|-⌫-|-⌫|---|-----|--⌫--|--|
Au m ostieruient sibr iseleuero ilPuis	-|-⌫-----|----|-|--⌫--|-|----⌫-|---|
ent raens quiquen	---⌫-|--|--|-|-|
poist nequinonDeuant le	----|-|--|--|-----|-|
mistagenillon sLe	---||--------⌫|-|
en clinemoutparfont . Liabesf udeu ant l au teltos	--⌫----|---|-------⌫|-|---|-⌫|---⌫--||--⌫--|--|
s ousQua nt	-⌫--|---⌫-|
uoitGuillaumetelpa o u rn	---|--------|--|--⌫-⌫-⌫||
ot nusho mOr uoitil bi en	-|--|--⌫|-|---|-|--⌫-|
pris au broionNe	---|-|-----|-|
liguencirsneliuau t un	-|-------|-|-|---⌫|-|
bot on. Ou uoit lecon te	---⌫--|-|---|-|---⌫-|
sila m isa	-|||-⌫-||
raisonSi reGui l laumes n e	-----|--⌫-|---⌫-⌫-----|-⌫|
fa itescelis onAués	--⌫---|-----⌫-|----|
u ousnosaporte ́despois s onsLiabes aGuillaume arai s oné	-⌫--|--|------⌫|--|----⌫-⌫--|-|---||--------|----⌫-⌫---|
son droitno nsilenaapele ́Sir eGuillaumes	--|----|--⌫|-||-||-----⌫|---⌫|---------|
fustes uos a la	-----|--||-|
merAuésuou snos d es poisso ns	--|----|---⌫|--|-⌫-|------⌫-|
Oie faiti ldel frèset delsaléMai smaisement	--|---|-⌫|--|----|-|--|----|---⌫|--------|
ue nuengr é	--⌫-|-|--⌫-|
Quant uostreporte	----|-----|----|
me fëistesfr eme r.Mais u oportier	-|-------|--⌫---⌫-|---|-⌫|------|
uousaisiconreéDeso us laportel	---|-|-|------|----⌫-|-|----||
acrauentéSi	---------|-|
eluentrecreué .Cepoisem oique	-|-----|------⌫|-|----|-⌫-|--|
nefustes delésTr äim	-|-----|-----|--⌫--||
auésiels aid e	----|--|-⌫-|-⌫|
ueritéQuan tm enuoiastessansarmesa la mer	------|----⌫||---------|---|----||-|--|
lilarron m	-|-----||
ore ntp rès	---⌫-|-⌫---|
desmenb ré. Otleliabessi enfuesfreés	-------⌫---|-|-|-|---|-|-|-|-------|
Mout d oucementlia mer ch i	---|-⌫-------|-||---⌫--⌫|
crïéEtsi lidistque	-----|-|-|-|---|--|
li ordenesest	-|------|--|
tels.Et distGuillaumes li	----|-|---|---------|-|
mar chisau	---⌫---|-|
Au isdïa bles	|-⌫-|----⌫---|
soitteus ordresdonés Quantl	---|---|-----|-----|----||
uns desmoinesueut la utr e	--|--|-----|---||-⌫---⌫|
uergonde rUst lipreuosetlipr ïeusalés	--------⌫||-|-|-----|-|-|--⌫----|----|
Ilm e nu oier ent as	-||-⌫--⌫----⌫--|-|
larrons desfaé sMai s	------|-------⌫|---⌫|
iesait ouse tmors	--|-|-⌫--|-⌫|---|
et desmenbrés.Etuous	-|-----------|-|---|
m ëismesm e quidastestü er	-⌫------|-⌫|--------|---⌫-|
Maisparlafoi	---|--|-|--|
que iou do i	--|--|--⌫|
DieuporterA ins queme n uoi s emout	---|-----|-⌫--|--||-⌫|---⌫-⌫|---|
chi e rle com perr ésFilsa pu tain fel	---⌫-⌫|-|---⌫----⌫--|---||--⌫---|--|
tra ̈itre prouésCommentm	---⌫----|------|------||
osa stesträirneuergonde rL	---⌫---|-----|-|--------⌫||
abesl ententsestenfuies	---||-----||--|-|----|
tournésAh autesuoisc omenchaacrïerSain te MarieGu ill aumes	-------||-⌫----|---|-⌫------||-----|----⌫-|----|--⌫---⌫----|
est d eruésLicouensl	--|-⌫-----|-|-----||
otses t uenusa	-||--⌫|----||
labé Plus de	|---|---|-|
soissanteenuironet enlé.uoientGuillaume uenirtout	--------|------|-|-|---|-----|--------|----|---|
äire ́Ouil	-----⌫|-|-|
uenoit encauchantd a ntabé Quidont uëist	-----|---------|-⌫-⌫-|---|--|---|-----|
cesmoines desroute r	--|-----|--------⌫|
enclois treetentor cespilers Rire enpë ust	-------⌫--|-|----|--|-----|---|-|---⌫--|
grantpité.Distl unsala utre Mar	----|-----|---||--|||-⌫---|--|
fustcis m oinesnés Li	---|--|-⌫----|---|-|
quens lorc riePar foin idüeré sC els qu	----|--|-⌫--|--|--|||-------⌫|-⌫--|-|
m alato rnésI lhurtelun si	-⌫-|---⌫----|-⌫|----||-|-|
alautr ebouté Chat roischa	||----⌫|-----|--|-⌫---|--|
quat refaitma intena ntuerse r.	----⌫-|---|--⌫------⌫-|-----⌫-|
Etliprie ̈us	-|-|----⌫--|
comenchaacr ïe r A	-------||--⌫---⌫||
uisdïablessoitcismoines	--|-------|---|--|-----|
donésuoire dist la besmalsoit	-----|----|---||-⌫--|--|---|
ilre tornés Distli	-|--⌫------|---|-|
p rïeusOrl efaison s berser	-⌫-----|-|-⌫|------⌫|-----|
Licenelierssi fustbien	-|--------|||---|---|
acordé sEt	-------⌫|-|
uolentie rs etde grés Maisli m archislesa	--------⌫-|-|-|----|---|-|-⌫-----|--||
malatornés Lunaferu	--|-------||-||---|
lautreatout defröé	|----||---|-------|
poursachele quart aafolé.Emmilencloistreal	--------|-|----||------|---||---------|||
ab éencontré	--⌫-|--------|
Aucaperonlali	-|------|||-|
marchiscombréTroist ors le	------|------|----|-⌫--|-|
torneauquartle	----|-|----|-|
lait a lerDelabéa	---|-⌫--|-||---||
leprïeusencontréEtl iprï eus	-|------|--------|-|-⌫|----⌫--|
se h urtea	-|-⌫---||
un pile r Li	-|----⌫|-|
oeldel chef lisontandoiuolé	--|--|---|-|---|----|----|
Et liprïeusfutous	-|-|------|-|---|
escerue lé sEtlabes fuenaisestous fröés.	-------⌫---⌫|-||---|-|-|----|---|-------|
A incpuisqueD ieu s	-⌫--|---|--|-⌫---⌫|
fudela uirg enésNe furentmoinesimaleme nt	-|-|-|----⌫|---|-|-----|----|-|------⌫-|
mené Mai sabo in	----|---⌫||--⌫-|
d roi tf urent siatornéCarlem arc hisquidierent afole r	-⌫---⌫|-⌫----|-|------|--|-|-⌫---⌫--|---------|-----⌫|
enuo ie rentparles u aus de Sigr é	----⌫--⌫---|--|--|-⌫--|-|----⌫-|
Pou rlespoisso ns don t	---⌫|--|------⌫-|---⌫|
deuoientdisner Et	-------|-----|-|
puislifirentlegrant	---|-|-----|-|----|
porteueer.Et	----|----|-|
limarchisl esasi conf essésIamais	-|------|-⌫-||-|----⌫-----|-|---|
ne rt iou rs	|-⌫-|---⌫-|
quil nen soitr edotés.Es uous	-|-||-|---|-⌫-------|-|---|
lesmoinesform ent espae nté s	--|-----|----⌫--|-----⌫----⌫|
DeuantGu illaume seso nt tout	-----|--⌫------|-|--⌫-|---|
aclinéSire fontilmer ch i	------|---|---|-|---⌫--⌫|
poramorDé Faitesd enoustoutes	--|---|--|-----|-⌫|---|-----|
uosuolentésIamaispar	--|--------|-|---|--|
ertuos di srefusés. Labes	--|--|--⌫|--------||---|
mëismes l	-------||
enes taupié alésMerchi	-|--⌫|-|---|----|-----|
lipriepoursainteca ritéNefera	-|---|---|-----|--⌫----|-|---|
maiscon tre sesuole ntés	---|---⌫--|--|----⌫----|
uou s maue ́ssiretousles menbr es fröés	---⌫||---⌫-|---|---|--|-----⌫-|------|
Etleprïeusno usa ués	-|-|------|--⌫-|-⌫---|
m ortieté.	-⌫--|-----|
Ce p oi semo i dist	-|-⌫--⌫-|--⌫|---|
Guillaumes libers	---------|-|---|
Bi aussire	--⌫--|---|
m aist resorlemepardonés.S ire	-⌫----⌫--|-|-|-|---------|-⌫--|
faitil s isoitconuous	---|-|-⌫|---|--|---|
uolésGel uous	-----|--|---|
pardoinsu olentiers et	-------|-⌫--------|-|
de grésPa r si q ues oi tuos	-|----|--⌫|-|-⌫-|-⌫--⌫|--|
ma utalenspass ésQuenouslai ssiés enboine	--⌫------|----⌫--|--|---|---⌫-----|-|----|
paise ster.Et dist	---|-⌫----|-|---|
GuillaumesN enorre ́s mais	---------||-|----⌫-|---|
par ler. En si	---⌫---|--⌫-|
sesont limoin e	-|---|-|----⌫|
racordéSontleprïeuserra ument	-------||--|-|------|----⌫----|
La messedi te	-|----|--⌫-|
leseru icec ant é.Liquens Guillaumes a	-|----⌫--|-⌫---⌫--|-|----|---------||
clam éGlorï eu sDieusque i ouai	----⌫-|------⌫--⌫|----|--|-⌫-|-|
m alouré Par mautal e ntquisim	-⌫-|----|--|------⌫-⌫-|--|-||
asourportéIo uneporroiemiechaie nsdur er M	|---------|--⌫|-|------|--|-----⌫-|---⌫-||
amemëismen i	--|------|||
porroiesauuer.Ormeniraipa restran gereg né He rmites	------|------|-||-|---|--⌫|------⌫-|---⌫--|--⌫-----|
enun boisramé Ouen desert se	-|-|---|----|-|-|-----|-|
ioulepuistrouer.urais	--|-|---|------|----|
uaudraimoncors	------|--|---|
p enerS ainteMa rie damec are npensés	-⌫---|-⌫----|--⌫--|---|-⌫-|-⌫|------|
mep uisseauofil	-|-⌫----||-|--|
acorderCartrop	------|--|---|
aifaitd egranspeci és	-|---|-⌫|----|----⌫--|
mor tels.Lorscomencha Guillaumes	---⌫----|---|-------|---------|
a plorerDel cuer delu e ntre	|-----|--|---|--|-⌫-⌫---|
formenta souspir er.Quantlimoineorentleserui cefiné	------||-------⌫--|----|-|----|----|-|-----⌫-|----|
pri ̈e us e n la tere	---⌫--⌫-|-⌫|-|---|
boutéLabes	-----||---|
afait lesp oissonsdestors erSi	|---|--|-⌫------|-------⌫-|-|
enfistquire	-|---|----|
a fuisonaplenté.	|-----||-------|
Etl im engiersf u	-|-⌫|-⌫------|-⌫|
ator nésLi	----⌫---|-|
moine en orentet li seria nt	----|-|----|-|-|-----⌫-|
assésB ien sontseruide	-----|-⌫--|---|----|-|
dec laréTantont	-|-⌫----|---|--|
b ienconree ́.	-⌫--|------⌫-|
M aisaincGuill aumes ne uoltdeu ingous terNed e s	-⌫--|---|-----⌫----|-|---|-|-⌫-|----⌫--|-|-⌫-⌫|
poissons qu i l	-------|-|-⌫|
auoitaportés	----|-------|
pe ciésestf orment trespensésEtdelcouent	--⌫----|--|-⌫-----|----------|-|--|-----|
quilasimalmené .Tr estout	-|-||-|--|-----⌫|--⌫-----|
lauoirlora abandoné Que il auoit	|----|--||--------|--|-|----|
asla rronsc onques té Dontil	-|--⌫----|-⌫------⌫--|---|-|
auoitle cor st aintetnaur é For sce	----|-|---⌫|-⌫---|-|----⌫-|---⌫|-|
q u ilotasonfamle doné. Pa r	-⌫|-|-||--|----|-----|--⌫|
deuantlabe	-----||--|
sestliquens	|--|-|----|
a clinésSiliem br ache le i ambeetle soller.	-⌫------|-|-|--⌫--⌫---|-|-⌫---|-|-|------|
Toutlecouent	---|-|-----|
deuantlui manderMe rchi	-----|--|-----|--⌫---|
lorpriepor	--|---|--|
sainte caritéDe cequil	-----|------|-|-|-|-|
aenuerseusmes erré.Etcilq ui	|-----|--|---⌫-----|-|--|-⌫-|
fu rentde lboinui n abeuréTout	--⌫---|--⌫|---|--⌫|------|---|
li pa rd onen tetsi	-|--⌫--⌫----⌫|-|-|
lo ntacoléEntre	|-⌫-|-----|----|
lontdetere leué.	|--|-|---|-----|
Etil l or a	-|-|-⌫-||
tantos tcon gi érou éCaler s enueut en	------⌫|---⌫--⌫-|---⌫-||---||-|---|-|
regné Chaiens	-----|------|
coman tmes armesagarderEtmo n	-----⌫|--|----||-----|-|--⌫|
ceualque iouai	----|--|--|-|
tantamé Par telcouentquesemestiers	---|---|--|--|-----|--|-|-------|
en ertQue i	-|--|--||
Qua nt li couensot	---⌫-|-|-----|-|
qu ils enueutalerDelagrant	-|-||-|---|---|-|-|----|
ioie lorest	---|--|--|
licuersleuésN efuissentpassiliét p our	-|----|-----|-⌫|-------|--|-|----|-⌫--|
u intcité s.Sire	-⌫--|-----⌫-|---|
fontilu olentiers l es rarés	---|-|-⌫--------|-⌫-|-----|
Iusca uinta ns iporrés recourer	---||---|-⌫-||------|-------|
NemaisaD i eu	-|---||-⌫-⌫-|
soiésuouscomandés.Labes li a et	-----|---|---------||---|-||-|
iu ré Iad eses	--⌫--|-|-⌫|--|
a rme sneliest uetdouterEt illesatous	-⌫---⌫|-|-|---⌫--|-----|-|-|--||---|
comandé s.Li	--------⌫-|-|
enua niestplusarrestés Descaus	-|-|||--|---|--------|------|
lan gessans ca ucheets ans	---⌫--|---|--⌫---|-|-⌫--|
soll erAincga rnim e ntni u oltli	----⌫-|---|--⌫----⌫-⌫-|||-⌫--|-|
qu ensp orterForsun eg ounesic	--⌫--|-⌫----|---|--⌫|-⌫---|-||
ai öi c ont er.	-|--|-⌫---⌫--|
po rteists i	--⌫--|--|-⌫|
commen ceaerrer.Limoine sontlié	------⌫-||-----|-|----|---|---|
etioiantr emésEtprïen tDieu	-|-----|-⌫----|-|------⌫|---|
etses saintes	-|--|------|
bo ntésQu eilia	--⌫----|--⌫|-|-|
maisnepu istlaiensentre r.	---|-|--⌫--|-----|-----⌫-|
e ntl iquensquiDiexpuist	-⌫-|-⌫|----|--|---|----|
Huima isorés ca n chonde	--|--⌫-|----|--⌫-⌫---|-|
fie re geste Chiliougleourenc antent en	---⌫-|----|---|--------|-|-⌫-----|-|
uïe le Maisteusencanteetaum ain e t	----⌫-|---|---|-|----|-|-|-⌫--|-⌫|
auu esp reQui n enset	-|-⌫---⌫-|--||-|--|
ua il lantun ecenele.uait sen t	--⌫--⌫---|--⌫|------|---||--⌫|
Guill aumessilaisse saherberge	-----⌫----|-|-----|-|-------|
Lesmoines la isse	--|-----|--⌫---|
enfontgrant	-|---|----|
festeSiprïent Dieu le	----|-|------|---|-|
gl orïeusceles treQue iliamaisne	--⌫------|-----⌫--|--|-|-|---|-|
uiegn e alorrepere.	-----⌫||--|------|
quensenp ure sa goneleDe sc aus	----|-|-⌫--|-|-----|--⌫--⌫--|
enl ange spa r mil a terre	-|-⌫----⌫|--⌫-⌫-|-⌫|----|
pesmeLipié	----|-|---|
lis ainentdes pier res	-|-⌫-----|--|----⌫--|
quil apress ent.Cesuefr ë	--||------⌫---|-|-----⌫-|
pour D ieu le roicelestre Dieusl enrendi	---|-⌫--|-|--|-------|----||-|----|
guerre donmou t	------⌫--|---⌫|
honeste.Pa rmiProu uencheli m archi s setr auerse	-------|--⌫--|----⌫-----|-|-⌫-----⌫|-|--⌫-----|
Passele s bos etlespuise tles	----|--⌫|--|-|--|---|-⌫|--|
tertresM angüepumesfäines et	------|-⌫-----|----|------|-|
ceneles.E nsisenpasseleiourdusques a u	-------|-⌫--||-|----|-|---|------|-⌫|
u es preEtpri eDie u	-⌫--⌫--|-|---⌫|---⌫|
la uirg e puceleQuenitel lieul e mete	-|----⌫|-----|-|-|---|---|-⌫|---|
l e serue.ua it sent	-⌫|-----|--⌫-||--|
Guillaumessa nsnul detrï em ent	---------|--⌫-|--|------⌫--⌫--|
Dieusuefremoutgrant	---|-----|---|----|
torment EtprieDieu	------|-|---|---|
lepereomnip otent Qu	-|---|-----⌫----|-|
ille conduieet	-|-|------|-|
m aintasaluementEtquil	-⌫---||--------|-|-|-|
maintiegneLöëyl euaillant Et	---------|-----|-⌫|-------|-|
B lanceflorsaseror aucors	-⌫--------|-|----|-|---|
gent Et toussesfre rese tse sa ut res	---|-|---|--|---⌫--|-⌫|--⌫|-⌫--⌫--|
pa rensEtil	--⌫---|-|-|
maint ien gnel	-----⌫---⌫--||
abée tleconuen tCar il en ua p our	---|-⌫|-|------⌫|--|-|-|-|-⌫--|
estrepenëans.Ne s ai	----|--------|-|-⌫-|
pasd iretrest out son airreme ntTant uali	--|-⌫--|-----⌫--|--|-------⌫-|---|-|-|
quens etarrieree t	----|-|------|-⌫|
auan tQuen un ualentre mo ut soutil	----⌫|-|-|-|--|----|--⌫-|-----|
grant.Desousunarbrefoillue tuerd oiant Uner iuiere i	-----|-----|-|----|-----|-⌫|----⌫----|--|-⌫-----||
co rantSo urle riuieret roeueun habitementUnssainshermi tes	--⌫---|--⌫-|-|------|-⌫----|-|---------|--|----|-----⌫--|
prist herbergementIl uec ser t Dieumoutenterinement.De s et	----|-----------|--⌫--|---⌫|---|---|------------|-|-⌫-|
lieues not ne uilene gent	-----||-|-|---|-|---|
Decoiilaitni suncon fortement Sermites non	-|--|-|--|--⌫--|---⌫--------||------|--|
en sicom ioul	--⌫-|--|--||
ententQuiens elb ois	-----|--|--|-|-⌫--|
ontlor estor ement.Etlor bestailles	--|--|-----⌫-----|-|--|---------|
auoient uoireme ntLor c ortis iausloredef ïe me nt	------|-------⌫-|--|-⌫-----⌫---|--|----⌫---⌫--⌫-|
Lase g arissent	-|-|-⌫-------|
etuiuent saintement.Maislilarronse lestoirene	-|-----|----------|---|-|-----|-||------|-|
fontmaint mal e tmenuetso uent	---|----|--|-⌫|---|-|--⌫---|
Pre n dentlo rbestesetuendent a	---⌫-⌫---|--⌫|-----|-|------||
argentLormaisonsbrise nt	-----|--|------|-----⌫-|
saciés cer t ainementLordraslor	------|---⌫-⌫-------|--|---|--|
to lent etm ainentmalementSes enkembelent	--⌫---|-|-⌫-----|-------|--|----------|
etloientmout forment.	-|-----|---|-------|
Douse eniot de t elafaitementMa is iou q uit	----|-||-|-|-⌫-|---------|--⌫-|--|-⌫--|
gransdieus	----|----|
lo r a tentCardansGuillaumesquimout	--⌫|-⌫---|--|---|---------|--|---|
afiertal entAinsdemain	|---|---⌫--|---|-----|
ue s pr elesf eratous	--⌫-⌫--⌫|--|-⌫--|---|
dolensTrestousl i	-----|-------|-⌫|
mieudres sachiés	-------|-------|
certainement N iuauroitestre pourpl ainun	-----------|||------|----|---|--⌫--|-|
ualdargent.u ait	--||------|-⌫--|
sentGuillaume s sicon Diexl i	|--|---------⌫|-|--|---|-⌫|
apr en tDesespechie ́s a grant	---⌫--⌫|-|--|------⌫-||----|
re pentemen t.Alermitagesenuient deliuremen t Le maillot	--⌫--------⌫-|||-------||-|----|----------⌫|-|------|
t roeuequidr o itaupostis pentLiquensi fiert	-⌫----|--|--⌫-⌫-|-|-----|---|-|----||----|
t roi scaus	-⌫---⌫|---|
me n ue m ent.Le maisoncele	--⌫-⌫--⌫-⌫---|-|---------|
ertb iencloseentoussens	--|-⌫--|----|-|---|---|
Deb oine soifesp ineefo rme ntEt	-|-⌫---|---|---⌫---|--⌫---⌫-|-|
unfos sé iot	-|---⌫--||-|
faituoirementLi	---|--------|-|
sai nsh ermitesquiDieuprie	---⌫-|-⌫------|--|---|---|
so uentS estoi thordés	--⌫---||-----⌫|------|
ensif aitier ement. Le maillot ot cele partuient errantLepostis	-----⌫------⌫-----|-|------|-|---|---|----|-----|-|-----|
oeuretostetis nelem entQui	----|---|-|--⌫-----⌫--|--|
st l afa itil por	-|-⌫|--⌫-|-|--|
omnipotent Liquensres pont	---------|-|----|---⌫---|
moutdeb oinairementPechieressui	---|---⌫----------|--------|--|
ai nc homneuitplus gran t.	--⌫-|--|-|--|---|----⌫-|
Her bergi é smoiporDi e u	---⌫-----⌫--⌫|--|--|--⌫-⌫|
l eu osdemant	-⌫|-⌫-|-----|
P armi chestboisaialé trauersant	-⌫---|----|---|-|---|---------|
Pl usdeset iourssachiés	--⌫-|-|--|----|-------|
certa in ementAincn itrouaimais on	-----⌫--⌫----|---|||-----|----⌫-|
nabitementAu	|--------|-|
campait iut	---|--|--|
al apluieet	|-⌫|----|-|
me herbergesetoiuient	-|-------|-|--|----|
atale n t. Li	|----⌫-⌫-|-|
sainshermites lesgarda durementQuantil leuit	----|-------||------|-------|----|-|-|--|
pourement Simal ai sieusigrant	--------|-|---⌫--⌫---|-|----|
etsipar a nt	-|-|---⌫-⌫-|
hermit esi	------⌫|-|
grantpa or	----|--⌫-|
e nprentNi uausist estre	-⌫|----|||------|----|
unu a ld arge nt.	-|-⌫-⌫||----⌫--|
Laporteclot sis enfuit	-|----|---|-||-|---|
du rement Pour cent mars dorn ifust	--⌫-----|---|---|---||-|||---|
plus longement .Diexdistle rmit esparton	---|---------⌫|---|---||-⌫----⌫-|--|--|
commandemen t	-----------⌫|
Decelm aufé seto i	-|--|-⌫----|-|--⌫|
plaistmedeffentCar iousuimor sseilas	-----|-|------|--|--|--|---⌫|-|-|-|
poins meprentT outmonhost el ett out	----|-|----|-⌫--|--|----⌫-|-|-⌫--|
monmandeme nt	--|-------⌫-|
Ferroit ilius au n	------|-|--||-⌫|
piéseulementSainte	---|--------|-----|
Mariedontuien t	----|---|----⌫|
grand egent	-----⌫|---|
LiquensGu illau mesala porte	-|----|--⌫-----⌫--||-|----|
latent Iluecs	|----|----||
assietsi ple uretenre ment	-----|-|---⌫--|-----⌫---|
Pour ses p echiésdontserepent	---|--|-⌫------|---|-|-----|
L orsen apelel ermited oucement.L i quensGuillaume s a	-⌫--|-|----||-----|-⌫--------|-⌫|----|---------⌫||
er miteMoutdoucement	--⌫---|---|--------|
etparamoursli	-|--|-----|-|
prie Oeure laporte	---|----|-|----|
fr ereDieusle temireHe rberge mo i	--⌫--|----|-|-|---|--⌫-----|--⌫|
pourDieu le	---|---|-|
filMarieDe	--|----|-|
moinas garde	--||-|----|
seDieus mebenë ie	-|----|-|-----⌫-|
Penëanssuisi nele	-------|--|-|-|-|
mieTantaifaitm al	--|---|-|---|-⌫-|
ne sth o m q uilepu istdire.Lermites	|-⌫-|-⌫-⌫|-⌫-|-|--⌫--|----||------|
otlicu ersliatenrieui ent a	-|-|--⌫--|-|------|--⌫--||
la po rtele pos tis a	-|--⌫--|-|---⌫--||
luitire Le	--|---|-|
conte apelealacierehar die	----|----||-|----|---⌫--|
uenés auant deparIhesubiaus	-----|----|-|--|----|----|
s i re De cheque iai uous	-⌫-⌫-|-|--|--||-|---|
feraidepartie.EtdistGuillaumes	----|--------|-|---|---------|
FrereDieus	----|----|
leuousmi r e. Liquens entra	-|---|--⌫-⌫-|-|----|----|
enlaherbergerie	-|-|----------|
he rmitesla po rt e auerillie	--⌫-----|-|--⌫--⌫||-------|
Pour leslarro nsque Ihe su s	---|--|-----⌫-|--|---⌫--⌫|
malëie.Guillaumesa	-------|---------||
lacapele co isie Li quensi uait	-|-----|--⌫---|-|----||---|
a targemie	-⌫----|--|
lidut estre petiteCarl i mar cis	-|--|----|-----|--|-⌫|---⌫--|
hurtaaleliste.Abaissi ésuoussired istl i hermite.	----||-|-----|-------⌫--|---|---|-⌫--|-⌫|-------|
GuillaumesIouna i iaune	---------|--||-⌫|-|--|
prise Trop parfesis te spetite	----|---|--|-----⌫--⌫|-----|
manandie. Ele me st gr anssi re distlihermiteEl	--------|--||-⌫-|--⌫--|--⌫-|---|-|------|-|
pasauostre	--||-----|
