kidiuerscunteueut	-|-----|----|---|
ioiee deduit	---||-----|
lescheualerseurentplente	--|--------|-----|-----|
mi lu nad asunfizcunté	--⌫--⌫|-||--|--|-----|
cumil la ma	--|-||-⌫-|
ecumsis pere sladuna	|--|--|----⌫|-|---|
u nbarun desac un tre	-⌫|----|-|-|-⌫--⌫--|
e cumentill	|-----|-||
adpuisamee	-|---|---|
de bon curage	-|--|-----|
ecumdel cignef is tme ssage	|--|--|----|-⌫--⌫|--⌫----|
se s l ettresluife seit porter	--⌫|-⌫-----|--|--⌫---|-----|
ennul liufier	-|--|--|---|
lefiz respuntp ar feibel	-|--|------|-⌫-|--|--|
assembleraiuuse	----------|--||
sunseignurq ueeleadoc irai	--|------|-⌫-|--|-|--⌫---|
eespus erlauusferai	|-----⌫-|-|--|----|
celeparoleduncless e rent	---|-----|---|----⌫-⌫---|
ea lde mainsapa reillerent	|-⌫|--⌫---||---⌫---------|
cun ge perne nt	---⌫-|-----⌫-|
del urami s	-|-⌫-|---⌫|
enreuunten lurpa is	-|-----|-|--|--⌫-|
mer passerent hastiuement	--|--------|----------|
bon oreeurentesuef uent	--|--|-----||---|---|
sicumil eirentlechemin	-|--|-|-----|-|-----|
siencun trerentunmeschin	-|-----⌫------|-|------|
amiem ilun ueneit	---|-⌫---|-----|
enb re taigne	-|-⌫--⌫-----|
passeru oleit	-----|-⌫----|
ele l i auei t	--|||----⌫|
oreads untrauailacurcié	--|-|-⌫-|------|-------|
unbrief libailleenseelé	-|----|-|-----|-------|
p arparoleliad cunté	-⌫-|-----|-|-|-----|
quesenuenistn e demurast	--||-|-----|-⌫|-------|
morzestsissiresoresenha stast	---|--|--|----|--||-|--⌫----|
quantmiluno ila nouele	----|----|-⌫|-|-----|
a me rueille lisemb labele	|--⌫------|-|----⌫-|---|
a su n fizad mustréedit	|--⌫|--|-|------||--|
ni ot ess uignene respit	||-|---⌫----|-|-----|
tanteire ntqu	---|----⌫-|-|
il suntuenu	-|---|---|
fuli ez desun beaufiz	-|--⌫-|-|--|---|--|
esteit pr uz	-----|--⌫-|
uncnedemanderentparent	--|-|----------|-----|
sanzcun seil detutaut regent	---|---⌫---|-|--|---⌫-|---|
leurfiz amde usles as sembl a	---|--|----⌫-|--|--⌫-----⌫|
la merea sun p ere	-|---||--|-⌫--|
engrantbiene en d ucur	-|----|---||-|-⌫---|
ues quire ntpui s enui t e iur	---⌫-----⌫-|---⌫||---⌫||--|
d e luramu redelurb i en	-⌫|--|---⌫||-|--|-⌫-⌫-|
fi rent unlaili auncien	--⌫---|-|--|-|------|
que le aim is enescr i t	--|-|-|-⌫-|-|----⌫-⌫|
alrecuntermut medelit	-|-------|--|-|----|
