roisartusdebretaigne	---|----|-|--------|
ses coutai tantquilo rentfait	|--⌫-----|-----|-|-⌫---|---|
l orseruicet restot atrait	-⌫-|------|-⌫-----||----|
qaincma isnoi sibel eioie	|---|--⌫-||-|-|---⌫|---|
ne quit quen ushoml oie	-|---|--|-⌫-|--||--|
seil neuaueoirceli	-|-|-|-|----|---|
qu itant meplot	--⌫|---|-|---|
en poiporfoltenir	-|--|--|--|----|
tantifui quei oiue nir	---||--|--||-|--⌫--|
cheua liers cemefuau is	-----⌫----|-|-|-|--⌫-|
bie nquidoiequil	---⌫|------|-|-|
fussent yy	------|-|
tel noiseettelesfroi s m e no it	--|----|-|--|------⌫|-⌫-⌫--⌫-|
zzseuscheualierquiueno it	-|---|--------|--|----⌫-|
qant ioleuitotso luenant	---|-|-|-|--|--⌫|-----|
mon ceualre strai ng main tenant	--|----|--⌫-----⌫-|----⌫-----|
demorenifis	-----|||--|
etcil com memaltalenti s	-|--|---⌫-|----------⌫|
uint plustostcomuns al erions	---|---|---|--|--|--⌫-----|
fiersparsam blantcommel ions	----|--|---⌫----|----|-⌫---|
co milp o tcrier	--⌫|-|-⌫-⌫|----|
mecomanc a adesf ier	-|------⌫||----⌫--|
etdi stua ssal	-|--⌫-|--⌫---|
moutmaués fai t	---||----|---⌫|
sansdesfiancehon teetlait	---|--------|---⌫-|-|---|
desfier m edeussie ́s	------|-⌫|-------⌫-|
g uerreentrenou s	-⌫----|----|---⌫|
u almains droiturer equerre	|-|----|-------|-⌫------|
ai nsqueuos	--⌫----|--|
me meus siésguerre	-|----⌫----|-----|
maisparmonc iefsire	---|--|--|-⌫--|---|
ua s s aus	--⌫-⌫-⌫--|
ent ornerali max	-|-⌫-----|-|--|
delda mage	--|--⌫---|
quiest apar ans	--|--|----⌫--|
enuir onmoies tli g arans	-----⌫-|--|--⌫|-|-⌫----|
demon boisquiest	-|--|---|--|--|
plaindres edoitqui es tbatus	-------|-⌫|---|--|--⌫|----|
etiome pla ins iairaison	-|-|-|---⌫-|-⌫|-|-----|
aués forsde m a	----|---|-|-⌫|
c aciéetaf o ldre e t apluie	-⌫----|-||-⌫-⌫---|-⌫||----|
faitmau és	---||--⌫--|
c ose quimanuie	-⌫--|--||----|
aitqui ile st bel	--|--|-|-⌫-|--|
quenmonboisetenm on cas tel	-|-|--|---|-|-|-⌫-|---⌫--|
maués fa ite telenuaie	|----|--⌫--|--|-----|
quemestiernem i	--|------|-|||
degentnedarmenede mur	-|---|-||---|-|-|--|
onquesniothomeaseur	-----|||-|---|----|
enforterec equi ifust	-|--------⌫|--||---|
defortepier enedefust	-|----|----⌫|-|-|---|
m aissaci és bi en des oremes	-⌫--|----⌫--|--⌫-|---⌫-----|
n aué s a moitriue	|----⌫||--|----|
motn ous entreue nimes	--|-⌫--|-------⌫----|
l es esc usenbracie ́steni mes	-⌫-|---⌫-|--------⌫-|----⌫--|
sisec ou ri	-|-|-⌫--⌫-|
ca scuns delson	--⌫----|--|--|
licheuali erotceua lbon	-|-------⌫-|-|----⌫|--|
etlanceroideetfusa nsdote	-|----|----|-|-|--⌫-|---|
plu sgransdemoilateste	---⌫|----|-|--|-|----|
ain s ideltota mescie ffui	---⌫-⌫|--|--||------⌫|--|
car iofuipl u speti sdelui	--|-|--|--⌫-⌫|----⌫|-|--|
etsesceu a xforcor delmien	-|--|---⌫-⌫|-----|--|---|
parm i leuoirce saciésbien	----⌫|-|---|-|------|---|
uoisp ormahont ecourir	---|-⌫-|-|----⌫|-----|
sigrant fa isc om io poi	-|----|--⌫-|-⌫-|-|--|
onq uesne menfains	---⌫--|-||-|----|
el combledeles culatains	-|-----|-||--⌫-||-----|
simistotemapuisc ance	||--|---|-|-----⌫---|
siq u enp iecesuolamalance	-|-⌫|-|-⌫----|---|-|----|
etl a s oi eremesten terre	-|-⌫|-⌫--⌫|-----|--⌫----|
nestoitmielegerre	|-----|--|------|
ainspesoitplus al mienquidier	---|-----|---|-|---|------|
que nul elancea cheua li er	--|---⌫|----||-----⌫--⌫-|
q ainc nule	|---|---|
si g rossene n ui	-|-⌫----||-⌫|-|
etlicheual ierme	-|-|------⌫--|-|
siroidemen tqu e	-|--------⌫|--⌫|
cr opecontreual	--⌫--|--------|
memista l ateretot plat	-|---||-⌫|---|--|---|
simelaissa ho n teus	-|-|-----|--⌫-⌫---|
queonquesne m e regarda	--|-----|-|-⌫|------|
monc eual pr ist	--|-⌫---|--⌫--|
simelaissa	-|-|-----|
sisem istala	-|-|-⌫--||-|
etioquimonroin	-|-|--|--|--||
r emescorecosetmaris	-⌫---|------|-|----|
daleslafon tain emasis	----|-|---⌫----⌫||---|
unpeti tetme	-|----⌫--|-|
le c he u al ier suirn osai	-|-⌫--⌫-⌫--⌫--|---||---|
car foliefaireq uida is se	--|----|----|-⌫----⌫--⌫-|
etseiobienfairelosaiss e	-|-|-|---|----||------⌫|
si nes oiiouqueil deuint	-|-|-⌫-|--|--|-|-----|
osteconuenttenroie	---|------|------|
etquepar luimen reuenroie	-|--|--|--||-|--------|
ensimeplot ensil efi s	---|-|---|---|-⌫|--⌫|
ettoute smes armestramis	-|-----⌫|--|----|-----|
por al erplus le gerrement	--|--⌫-|---|--⌫--------|
si menreuinghontos emen t	-||-|-----|------⌫----⌫|
qant iouinglanuit alostel	---|-|---|-|---|||----|
tr ouaimon ostetotautel	--⌫---|--|---|--|----|
ausiloialalsi	---|----|---|
conioauoiefait ancois	--|-|----|---|-----|
onq ues der ien nem apercu i	---⌫--|-|-⌫--|-||------⌫|
nedesafe me	-|-|-|--⌫-|
que main s uol enter smeu eis sent	--|----⌫|---⌫-----⌫|-|-⌫---⌫---|
ma insdonormefeiss ent	--⌫--||---|-|-----⌫--|
q uil auoient faitl	-⌫|-|------|---||
al trenuit	--⌫--|---|
grantho normepor te rent tuit	----|--⌫--|-|---⌫--⌫---|---|
la lo rmercienlormaison	-|--⌫|----|-|--|-----|
etdientque	-|----|--|
on ques maishon	--⌫---|---|--|
ne rtescapésque ilseussent	|-⌫-|-------|--|-|-------|
oidire l eusse n t	-|---||-----⌫-⌫|
deladon ti estoie uenus	-|-|---⌫||-----|----|
fustmors etretenus	---|---|-|------|
a insialaieta insiui ng	-⌫---|---|-|-⌫---|--⌫-|
al reuen irp or fol meting	-|-----⌫-|-⌫-|--|-|---|
siuousai contécommefals	-|---|-|-----|----|---|
cec onques mais di re	-||-----|---|--⌫-|
parm on cieffait m essi reyuains	--|-⌫-|---|---|-⌫-|--⌫-|-----|
uousestesmes	---|----|--|
cosinsgermains	-----|-------|
sinou s deuome sentr amer	-|---⌫|------⌫|----⌫---|
maisdetant	---|-|---|
uo uspuisfolclamer	--⌫-|---|--|-----|
queuous tant le	--|---|---|-|
mauéscel é	|----|---⌫-|
s e iouous ai folape le ́	-⌫|-|---|-|--|---⌫--⌫|
biax aa dous	---|-|---|
amisneuouspo ist	---|-|---|--⌫--|
iop uis etilmeloist	-|-⌫--|-|-|-|----|
g irai uostr e	|---|-----⌫|
hont euen gie r	----⌫|---⌫---⌫|
bienper tqu iles t apr es	---|---⌫|-|-|--⌫|---⌫-|
faitk exquitairenesepot	---|-⌫-|--|----|-|-|--|
ilaplusparol e enun pot	-||---|-----⌫|-|-|--|
zzmui de cer uoi se	-|--|-|---⌫---⌫-|
on dit q ue c hassoals s enuoise	-|--|-⌫-|-⌫--|----||------|
ap resmengie r sansremuer	--⌫--|------⌫|---|-----|
uacascunsn oradin tue r	-|------|-⌫-----|---⌫|
et uous irés uengierforre	-|---|----|------|----|
soruostrepene laborré	--|-----|----⌫|------|
et uoscauce sd e ferfroies	-|--|-----⌫|-⌫|--|-----|
etu osban iere sdesploie s	-|-⌫-|---⌫----⌫|--------⌫|
o rt ostpordeumes	-⌫|-⌫--|--|--|--|
sirey uain	---|-⌫---|
molu rés a nuitudemain	----⌫---|-⌫---||-----|
faites len ous sau oirbiax sire	-----|-|-⌫--|---⌫--|---|---|
qantuousirésa	---|---|----||
ce lmartire	--⌫|------|
carnousuousuauronsconuoie r	--|---|---|------|-------⌫|
niauraprouost	||---|------|
quiu olenters	--|-⌫-------|
ne uous conuoit	-|---|------|
etsiuous pricommentqu	-|-|---|--|--------|
n enal e ́spas sans	|-|--⌫-⌫-|--|---|
nos con gies	--|---⌫---|
u o u san quen uitsongiés	-⌫-⌫-⌫|--⌫----⌫--|-------|
maluais songes iremanés	------|----|-⌫|-------|
uou se stestr op malenganés	---⌫|-⌫---|--⌫-|--|-------|
mes sirekexfait la	--|---|--|---|-|
lauostr elanguesoit	-|-----⌫|-----|---|
quetant i adescamonie	--|---||||--------|
certes uostrelange uo ushe t	-----|-----|----|--⌫-|--⌫|
quetot lepi squ eelese t	--|--|-|--⌫|--⌫|--|--⌫|
ditacascunquiq ue ilsoit	--||-----|--|-⌫-|-|---|
lang equionques	----⌫|--|-----|
nerecr oit	-|----⌫--|
de maldiresoitmaleoite	-|--|---|---|-------|
l auostre l a ng esiespl o ite	-⌫|-----|-⌫-⌫--⌫|-|----⌫-⌫--|
qu e leuou sfait	-|-⌫-|---⌫|---|
a toshai r	|--|---⌫|
uouspuete le trai r	---|---|-⌫-|----⌫|
etbiensaciéss elee sto it	-|---|------||--|-⌫---⌫-|
detraison mapeleroie	-|------||--------|
h omec onnepuetcastoie r	-⌫--||-|-|---|-------⌫|
deuroitonal mostierloie r	------|-|-|------|----⌫|
comme desué	----|-----|
deuantlesprosnes	-----|--|------|
certes damedesesramprosnes	-----|---|-|--|---------|
faitmes sireyuains neuous	---|--|---|-----|-|---|
tantsetet tant puetettant	---|--|-|---|---|-|---|
m essirekexento tesco rs	-⌫-|---|--|-|--⌫--|--⌫-|
iert iamuiax	|--|-|----|
bien set en contre uilonie	---|--|--⌫-----|------|
r e spondre se nsetcortoisie	-⌫-⌫------|--⌫-|-|--------|
sinelfistonqu e s	-|-||---|----⌫-⌫|
altr ement	----⌫----|
or s auésuousbien	-|-⌫----|---|---|
maisio n aicu re detenchier	---|-||-|--⌫-|-|-------|
n ede melleecome nchi er	-⌫|-|-----|----⌫----⌫-|
carcilne fait	--|--|-|---|
la me lle e	-|--⌫---⌫|
qu ifier tla	--⌫|----⌫|-|
prem ierecolee	----⌫---|----|
ains le fait cilqui se	---|-|---|--|--|-|
bientenceroit aun e st renge	---|--------||-|-⌫--⌫----|
cilq ui t anceas oncom pagnon	--|-⌫-|-⌫---||-⌫-|---⌫-----|
neuoi l passamblerleg agn on	-|---⌫|--|------|-|-⌫---⌫-|
quisehericeet reg uigne	--|-|-----|-|---⌫----|
qant altre mastinsle res grigne	---|----|------|-|---⌫-----|
deque ilparloientissi	----|-|--------|---|
l iroisfors delac ambre issi	-⌫|---|---|-|-|-⌫----|---|
o tfaitlonged emore	-⌫|---|----|-⌫----|
car dormi otdusq a celeore	--|----|-|---||---|--|
etlib aronqa ntilleuire nt	-|-|-⌫---|--⌫-|-|-|----⌫-|
totempiescontre lui	--|-|---|-----|--|
r as seoirles fist	-⌫--⌫----|--|---|
roine sasist	----||----|
et laroinem ainte nant	-|-|----|-⌫-----⌫---|
l esnouel escalogrenant	-⌫-|-----⌫-|----------|
lor reco nt o ittotmota mot	--|----⌫--⌫-⌫-|--|--||--|
carbienetbelc onter lessot	--|---|-|--|-⌫----|--|--|
l irois les oiuolen t er s	-⌫|---|--|-|-----⌫-⌫--⌫|
etfis tyysai r em en s e nters	-|---⌫|-|---⌫-⌫--⌫--⌫|-⌫----|
lame xm sonpere	|--|-|--|---|
e tlaso n fil et la	-⌫|-|--⌫|--|-|-|
qu il iroi tueir la	-|-|----⌫|---|-|
iaainsnep asse roitquinsa in e	-|---|-|-⌫----⌫---|------⌫--⌫|
et la tempest eetla	-|-|-------⌫|-|-|
siqu iluie nra a la	-|-|-|---⌫--||-|
monsigno rsain tiehan	--|-----⌫|----⌫|----|
ets iprendral a nuit songist	-|-⌫|------|-⌫|---|--|---|
etdi tqueauolclui iront	-|--⌫|--|----|--|----|
totc i lqu i aler iuolron t	--|-⌫-⌫|--⌫|---||------⌫|
liro isdeu isa	-|--⌫-|---⌫--|
tote lacorsmi usl en prisa	---|-|---|--⌫-||-|----|
car mouti uol oientaler	--|---||---⌫----|---|
li baronetlibaceler	-|----|-|-|------|
ma isquiqu	--⌫-|----|
enso itli es etioians	-|--⌫-|--⌫-|-|-----|
m essireyu a ins	-⌫-|---|--⌫-⌫--|
en fu dolans	-|-|-----|
q uidaialert ossols	-⌫---||---|-⌫-|---|
de struisetangoissols	--⌫-----|-|---------|
del roi solement	--|--|-------|
quialerideuoit	--|---||-----|
pourcesolementlig reuoit	---|-|-------|-|-⌫-----|
sauoitbienquela	-----|---|--|-|
aroitmess irekexsansfai ll e	----|--|-⌫--|--|---|---⌫--⌫|
ainsqueils	------|-||
illareq uerroit	-|-|---⌫------|
iaueé neli seroit	-|---|-|-|-----|
ou me s sirega uains m ei smes	-|--⌫|---|--⌫----|-⌫--⌫---|
e spoi rladema nder oit pri m es	-⌫----⌫|-|----⌫----⌫--|---⌫-⌫-|
senus decesyylarequiert	-|--|-|--|-|-|-------|
iacontrediteneliiert	-|---------|-|-|---|
neles atandra	-|--|------|
n aso in g delorcompagnie	||--⌫--⌫|-|--|--------|
ancoisiratosseussonuol	-----|--|--|---|--|--|
ouasaioieo ua son do l	-||-|---|-⌫||--|--⌫|
etquiqueremaignea	-|-----|-------||
yuainsuien ra a	-----|----⌫-||
em breceliande	-|----------|
puet tantqueil uerra	---|------|-|----|
lestroitsentie rbuissonconos	|------|------⌫|-----------|
car mouten est cusenco nous	--|---|-|--|-------⌫---|
et l al ande et	-|-⌫|-⌫---|-|
lamaiso n fort	-|-----⌫|---|
et lesolla set ledeport	-|-|-----⌫|-|-|-----|
dela cort oisedamoisele	-|-|----⌫---|--------|
q uitant estauenans et	-⌫-|---|--|------|-|
etlepro dome	-|-|---⌫---|
auolcsafille	----|-|----|
qui en onorfaire	--|-|---|----|
tantestfrans etdebonepart	---|--|----|-|-|---|---|
puisuerralesto rsetl	---|----|--|--⌫-|-||
etlegrantuila in	-|-|----|----⌫-|
quilagarde	--|-|----|
demoreettarde	-----|-|----|
quitantpar estlais	--|---|--|--|---|
gransethi sdex	----|-|--⌫---|
etcontrefais	-|---------|
etn oirsagui sedeferron	-|-⌫---||---⌫-|-|-----|
et puisuer ra l enoirperron	-|---|---⌫-|-⌫|---|-----|
et lafontaineet	-|-|-------|-|
etleso isiax	-|--|-⌫----|
desor le pi n	----|-|--⌫|
s iuerraplouoiret u enter	-⌫|----|------|-|-⌫----|
m aisil nesen quie rt iauanter	-⌫--|-|-||-|----⌫-|-|-----|
eti a sonu oelnus ne le	-|-⌫|--|-⌫--|--|-|-|
desi a tantqueilaura	---||------|-|---|
gran t honteougranthono reue	----⌫|----|-|----|----⌫|--|
puissisoitl a	---|-|---|-⌫|
yuainsdelacorts	-----|-|-|---||
s i qu odluinenmena ensa mble	-⌫|-|-|--||-|---|----⌫---|
mais solsuersso nhostels en	---|---|---|--⌫|-----||-|
tote samaisnietroua	---|-|------|----|
sicommanda met resasele	-|-------|---⌫-|-|---|
escuierapele	------|----|
quiil nece loit	--|-|-|--⌫---|
diuafaiti l apresmoi uien	---|---|-⌫|----|--|---|
la fors etmes armes	-|---|-|--|----|
iom enistrai par cele	-||-|-----|--|---|
sormon palefroi totle pas	--|--|-------|--|-|--|
gardenedemoure	----|-|------|
i l meconuientmoutloingerrer	-⌫|-|-------|---|----|----|
etmonceua lfaiensel er	-|--|----⌫|--|-----⌫-|
silamaineto s tapresmoi	-||-----|--⌫-⌫|----|--|
e tramaine m on pal efroi	-⌫|------|-⌫-|---⌫----|
maisgard e biencetecommant	---|----⌫|---|-|-|------|
quenus q uide	--|--|-⌫-|-|
moitedemant	--|-|-----|
quetu nouelenelen dies	--|-|-----|-||-|---|
setu derienenmoit afie s	-|-|-|---|-|--||----⌫|
iamartifieroie s mais	-|--|||-------⌫|---|
sire fait iloraié s pais	---|---|-|-|----⌫|---|
a lésque i ouou s suirai ia	-⌫---|--|-⌫|---⌫|-----|-|
messireyuain s m aintena ntm onte	--|---|-----⌫|-⌫-------⌫-|-⌫---|
quiue n ge rasil	--|--⌫-⌫--⌫-||-|
puetla honte	---|-|----|
soncos i nainsqueil r etort	--|---⌫-⌫|------|-|-⌫----|
l iescuiers	-⌫|-------|
etal ceualet	-|-|----|-|
qu ilniotde demore	-|-|||-|-|-----|
qu iln ifaloit	-|-|||-----|
nefersnecl os	-|---|-|--⌫-|
s onsignorsi u tt osle	-⌫-|-----|--⌫-⌫|-⌫-|-|
tantqueilleu it	------|-|-|-⌫-|
et lauoitunp oi atendu	-||----|-|-⌫-|-----|
longdelceminenundestor	---|--|----|-|-|-----|
harnas etsonator	-----|-|--|---|
ota to rnéet si	-|-⌫--⌫---|-|-|
mes sir e yuai ns n	--|---⌫|----⌫-||
pourqanoiésfu	----|------|-|
ta nt ne qant	--⌫-|-|---|
an coiserrac ascuniortant	--⌫---|---|-⌫----|--|---|
parmontaignes etpar	--|---------|-|--|
etparfor es	-|--|---⌫-|
longesetlees	-----|-|---|
parliusestranges	--|---|--------|
etsal u age s	-|---⌫-⌫---⌫|
etpassamainsdiuerspassages	-|----|----|-----|-------|
etmaint peril	-|----|----|
e tmaintdestroit	-⌫|----|-------|
tantque iluint alsenti er d roit	------|-|---|-|-----⌫-|-⌫---|
plain de ronce setdoscurte	----|-|-----⌫|-||------|
il as seurré	-|--⌫------|
queilne potmaise sgarer	--|-|-|--|---|-⌫-----|
quiquiledoiecomparer	----||-|---|-------|
nefineratantquei l uoie	-|-----|------|-⌫|---|
lepinoulafontaineo mbroie	-|--|-|-|-------|-⌫-----|
etle perron etl a	-|-|-----|-|-⌫|
u g rel le etpl oetet	|-⌫---⌫-|-|--⌫--|-|
toneetuente	---|-|----|
lan uit otcepoéssauoir	-|-⌫--|-|-|----|-----|
telhostel c omil dutauoi r	--|-----|-⌫-|-|--|----⌫|
carplusdeb ienetplusd	--|---|-|-⌫--|-|---||
troua assesel	----|----|-|
conneli otcontén ed it	|-|-|-|-|-----|-⌫|-⌫-|
e tense nlapuceleuit	-⌫|----⌫|-|-----|--|
desens etdebiaute yy	-|---|-|-|-----|-|
quenotcontécalog ren ans	--||-|-----|-----⌫---⌫--|
quenne poetpasconterla	-|-|-|---|--|-----|-|
debon eda meet deprodome	-|---⌫|--⌫-|-|-|------|
desqu ils a torne a	----|-||-⌫----||
g rantbonte	-⌫---|----|
i a nert tot dit neaconté	-⌫||--|--|--|-|------|
que lonn e poroitp as	--|--|-⌫|-----|-⌫-|
tantdon orcomprodo m	---||--⌫-|--|-----⌫|
messireyuaince lenuitot	--|---|----|--⌫-|---|-|
moutbonhost el etmoutliplot	---|--|----⌫-|-|---|-|---|
etui nten l es s art lende main	-|--⌫-|-||--⌫-⌫--||----⌫---|
etuit lestors et	-|--|--|---|-|
quila uoieliensaigna	--|-|---|-|-------|
delameruelle queil ot	-|-|-------|--|-|-|
commentn ature	------|-⌫----|
sil aidec hoseetsi u ilaine	-|-⌫---|-⌫---|-|-|-⌫-----|
puis es radusqa la fontaine	---|--⌫-|---||-|-------|
siu itquanquiluoloitueoir	-|-⌫-|-----|-|-----|----|
sansa rester	---|-⌫-----|
uersa sorleper ronde plai n	----|--|-|---⌫--|-|----⌫|
d eleu e t otpl ain	-⌫||--⌫|-⌫-|--⌫--|
etmaintenant uent aetplut	-|---------|----⌫|-|---|
etfistteltansco m	-|---|--|---|--⌫|
et qant dex	-|---|--|
red onal eb el	---⌫--|-⌫|-⌫-|
sorlep in tuinr entliois el	--|-|-⌫--⌫|----⌫--|-|---⌫-|
et firent ioiemeruil lose	-|-----|---|------⌫---|
sor lafontaine perillos e	--|-|-------|--------⌫|
a insq uel aioie fustremese	-⌫----⌫-|-⌫|---|---|-----|
ireplus ardansquebrese	--|---|-----|--|----|
liche ual ierasi g r ant	-|---⌫---⌫--||-|-⌫-⌫--|
comsil cacastuncerfde ruit	--||-|-----|-|---|-|---|
etmaintena ntqu i l sentreuirent	-|--------⌫-|-|-⌫||----------|
s e ntreuindr entet	|-⌫---------⌫--|-|
assalirent	---------|
quil sentre haoientde mort	-|-||-----⌫------|-|---|
cascu nsotlance roi de	-----⌫-|-|----|---⌫-|
sisantredo n entsi	-||-------⌫-⌫--|-|
gransco ls	----|--⌫-|
q yy l esescus de	|-|-⌫-|----|-|
pe rcent etlihauber c desl icent	--⌫----|-|-|------⌫|----⌫----|
les lances	--|-----|
f ende nteteschicent	-⌫----⌫-|-|--------|
et litro ncon uo lent enaut	-|-|---⌫---|--⌫---|-|--|
liunsl autr e a lespeeassalt	-|--||----⌫|||----|-----|
siso ntauc apl e	-|--⌫-|-|-⌫---⌫|
dese spe e s	--|-⌫---⌫-⌫|
lesguigesdese scu s colpees	--|-----|--|-⌫---⌫|------|
et les escus dehaci és to us	-|--|----|------⌫--|--⌫-|
desusetpar desos	----|-|--|----|
sique lespieces	-|--|--|-----|
en dep endent	-|---⌫-----|
coeurentetdesfendent	-------|-|---------|
c arsisesonthaligotés	-⌫-|-|-|---|---------|
q adeliure	||------|
etsorles braset sorleshan c es	-|--|--|---|-|--|--|---⌫-⌫-|
seferrentlesesp eesblances	-|------|--|---⌫--|------|
f elenesse me ntse nt resproeuent	-⌫--------⌫--⌫-||-⌫--⌫----------|
n onquesdunestaln e	|-----||-|----|-⌫|
neplusquefeissent doi	-|---|--|-------|--|
aincdui c heu a liersieng res	---|--|-⌫---⌫-⌫---|-|---⌫--|
nefurentde lormort haste r	-|-----|-|--|---|-----⌫|
nont cure de lor	|--|---|-|--|
col sgaster	---⌫|-----|
miusquil p oeentlesem ploi en t	---|-|-|-⌫----|--|--⌫----⌫--⌫|
li hiaume senbui gnent et	-|-----||-----⌫----|-|
hauberc l es mailles	------|-⌫-|------|
si que del sancassessetolent	-|--|--|---|----|-|-----|
mei smesontsicalt	---⌫--|---|-|---|
l ihaubercque lisoens neualt	-⌫|------|--|-|----|-|---|
gaires miusdunf roc	-----|---||-|-⌫--|
esescus se ferrent	-|----|-|------|
s i estmeruelle quetantdure	-⌫|--|-------|--|---|---|
la bataille cr u e x etdure	-|-------|--⌫-⌫-⌫|-|---|
mais andui sontdesigrantcoer	---|----|---|-|-|----|---|
que liuns porl	--|-|--|--||
autreanu l	----||--⌫|
de terezzpi eneguerpiroi t	-|---|-|--⌫|-|---------⌫|
se d usqa mortnel empiroit	-|-⌫--||---|-||-------|
etdece firent mo utquepr eu	-|-|-|-----|--⌫-|--|--⌫-|
conq ues lor ceuax en nulleu	|---⌫--|--|----|-|--|--|
ne naurerent ne empirierent	-|--------|-|----------|
quilneu al rentnenedaigne ren t	-|-|-|-⌫--⌫---|-|-|------⌫---⌫|
m ai stosiorsa s ceuaxsetinre nt	-⌫--⌫|--|---|-⌫|----|-|-----⌫-|
q uenulefois apie ni uinrent	-⌫-|---|---||--|||------|
la ba ta ille plus	-|--⌫--⌫---|---|
enlafinson	-|-|--|--|
hiaume esquartele	-----|---------|
alc h eua liermessireyuains	-|-⌫-⌫---⌫---|--|---|-----|
d el col pfuestordisetu ains	-⌫-|---⌫|-|-------|-|-⌫---|
licheu a liers isesmaia	-|----⌫-⌫---|-⌫||-----|
carsi feloncolpn	--|-|----|---||
queilo tdesos	--|-|-⌫|----|
f andule ciesd usqal	-⌫---|-|---|-⌫--|-|
siquedecerueleet de sanc	-|--|-|------|-|-|---|
ta intli mailledel haub erc blanc	--⌫--|-|-----|--|----⌫--|----|
don tsitresg r antdolor	---⌫|-|---|-⌫-⌫--|----|
coers nelipart i	----|-|-|----⌫|
et sil fu in	-||-|--⌫||
otmiet ort	-|--|-⌫--|
c aril sesen tinauréa mort	-⌫-|-|-|---⌫-|-----||---|
n oiantniualtdeffense	-⌫----|||---|-------|
enu erssoncasteles laissié s	---⌫--|--|-----|--⌫--------⌫|
pons li fuabaissiés	---|-|-|---------|
porte ol ue rteabando n	----|--⌫--⌫--||-----⌫|
et m essireyuains	-|-⌫-|---|-----|
p ot apresesper one	-⌫-|----|-----⌫--|
sicom girf a usgruerandone	-|--|----⌫-⌫-|---|------|
quedeloingmoe t ettantl	--|-|----|---⌫|-|---||
l quidema is ne lt o ce	|----|--⌫-|-||-⌫-⌫-|
ensi fui tciletci l	---|---⌫|--|-|--⌫|
zz pouqu il nel	-|--|-|-|-||
ne lepotpasataindre	-|-|--|--|-------|
si estsi p resque il lotp lain d re	-|--|-|-⌫--|--|-||-|-⌫----⌫-⌫-|
deladestrecequ eil s e nt	-|-|-------|--⌫|-|-⌫-⌫-|
maistos iors a lfuirentent	---|--|---|-⌫|---|-----|
de cachier s	-|------||
qui crientsap oine auoi rperdue	--|-----|-|-⌫---|----⌫|-----|
semor tou pr i sne	-|---⌫|-|--⌫-⌫|-|
ledeti ent	-|----⌫--|
car desram prones lisouient	--|--|---⌫-----|-|------|
quemessirekex l iotdite s	--|--|---|--|-⌫|-|----⌫|
n estpasdelaprames se quites	|--|--|-|-|------⌫-|-----|
quea sonc osin a	--||--|-⌫---||
cr eus nen	--⌫--||-|
er t ennuleguise	--⌫|-|---|----|
s ensaigne	|-------|
ueraiene nporte	-----||-⌫|----|
aesperon iusqa	|------|---||
deson ca st ell	-|--|--⌫--⌫-||
en a mene ́	-||----⌫|
sisont ensambeduie ntré	-|---|--|------|-⌫----|
esr ues par uil pa sserent	-|-⌫--|--||-|--⌫------|
onques nulhom	-----|--|--|
nencontrerent	|-----------|
etuinrenta ndui a	-|------|-⌫---||
portedelpales	----|--|----|
si auoit siestroite e ntree	-|----|-|-------|-⌫----|
que duihome n e dui ceual	--|--|---|-⌫|--|----|
sansencombrie r et sansgra nt mal	---|---------⌫|-|---|---⌫-|--|
poeentpasensambleen trer	-----|--|-------|--⌫---|
nedui home	-|--|---|
cart o utansement estoit faite	--|-⌫-⌫-|-------|-----|----|
coma rbalestequiagait e	--|-⌫-------|--|-----⌫|
desusquifi ertet gaiteet	----|--|--⌫--|-|----|-|
quele escapeloe set d es cent	-|--|-----|---⌫|-|-⌫--⌫---|
carnoiantn a tocealaclef	--|-----||-⌫---||-|---|
tocerasoef	-----|---|
issidesus laportee stoit	---|----|-|----|-⌫----|
zztreb ucesquisostenoit	-|----⌫---|--|--------|
amontuneportecolant	----|--|----|-----|
de feresmoluetra n can t	-|--|------|---⌫-⌫---⌫|
ser ie n sor celeng inmontoit	-|-⌫--⌫|--|--|---⌫-|------|
damontdescendoit	|----|---------|
sistoit pris et detranciéstos	-|----|---|-|----------|--|
quilapo rteatagnoitdesos	--|-|--⌫--|-------|----|
ettoten mia dro it compas	-|--|--⌫-||---⌫-|-----|
es to i tsiestrois litre sp as	--⌫--⌫-⌫|-|------|-|---⌫--⌫-|
com ce fust	--|-|---|
z zcem insb atus	-⌫|---⌫--|-⌫---|
se nti er s es temb atu s	--⌫---⌫-||--⌫|---⌫---⌫|
licheualier mou tsa gement	-|--------|---⌫|--⌫-----|
etm essireyuainssolement	-|-⌫-|---|-----|-------|
hurtegranta l eur e apres	----|----|-⌫-⌫---⌫|----|
ata gn an tdesi pr es	---⌫--⌫--⌫|-|-|--⌫-|
qua l arcon	-|||----|
derieresetint	------|-|---|
bienliaui nt	---|-|---⌫-|
quilauant sefues tendus	-|-|----|-|-|--⌫-----|
tos Eustestéporfendus	--|---|----|--------|
se cesteauenturen efust	-|----|-------|-⌫|---|
ca r lic euaxmarcale f ust	--⌫|-|-⌫---|----|-|-⌫--|
qu i t enoitlapo rt edefer	--⌫|-⌫----|-|--⌫--⌫|-|--|
aus icom diable d enfer	---⌫|--|-----||----|
de scentlaporte etcie t	--⌫----|-|----|-|---⌫|
lasele etle ceual	-|---|-|-|----|
deriereettrencet otpa rmi	------|-|-----|-⌫-|--⌫--|
