des cont e sque	--|----⌫-⌫|--|
quiensoiait ual or ne sen s	--|-|--|--|---⌫-|-|---⌫|
s ele trueuehommea samesure	|--|-----|----||-|-----|
n ese fa ce uers luios c ure	-⌫|-|--⌫-|---|--|--⌫-⌫--|
ame rasenaura ioie	---⌫-||-|---|---|
ainzquenus l e sache	---|--|--|-⌫|----|
auront ilmoltdelor pr eu	-----|-|---|-|--|--⌫-|
bele ami ef inon	---|---⌫|-⌫---|
or lio troie	-|-|-⌫----|
lamor deli	|---|-|-|
guim araaise	----⌫-||---|
ensemble ioent etparole nt	-------|----|-|------⌫-|
etsouen t etacole nt	-|-----⌫|-|-----⌫-|
c emestauisan etdemi	-⌫||--||--|-|-|---|
ens em bleoli	---⌫--⌫--||-|
moltlord elite	---|--|-⌫----|
mesfo rtu ne qui	--|--⌫---⌫-|--|
nesoubl i e	-||----⌫-⌫|
saroe torne	-|--|----|
e nmo lt po i deure	-⌫|--⌫-|--⌫||---|
lunmet des uslautredeseure	|-|--|---⌫-||----|------|
eins iest ild eusaue nu	----⌫|--|-||--|---⌫-|
cart ostfuren taparceu	--|-⌫--|-----⌫|------|
deste parmat in	|---|--|---⌫-|
i utladamelezle	-⌫-|-|---|--|-|
lab ouche libaisetleuis	-|-⌫----|-|---|-|-|--|
p uissi lidist biausdouza mis	-⌫--|-|-|---|----|---|-⌫--|
moncuer medit qu eieuospert	--|---|-|--|--⌫|-|--|---|
u e u sero it etdescou ert	-⌫-⌫|----⌫-|-|------⌫--|
se uosmorezie u oilmorir	-|--|----|-|-⌫--|----|
poez partir	---|-----|
uosrecourerez au treamor	--|---------|--⌫--|---|
etieremaindraien	-|-|---------|-|
damefetilnel	---|--|-|-||
d itesm es	-⌫---|-⌫-|
i enaiei e ioie	|-|--|-⌫|---|
quantu ers nule autre	----|-⌫--|---|----|
n aiezdece nulepeor	|---|-|-|---|---|
uostrechemisem eliurez	-----|------|-⌫|-----|
elpandefor s	-|--|-----⌫|
feraiploit	----|----|
congieuos do ins ou	-----|--|--⌫--|-|
quecesoi t	--|-|---⌫|
damercele quidesfera	|---|---|--|------|
etq uid es ploierleporr a	-|-⌫-|-⌫--⌫-----|-|----⌫|
il la beses ilaseure	-|-|---|-⌫||-----|
le ploitifet entel	-|----||--|-|--|
nulefamenudes f er oit	---|---|||---⌫-⌫--⌫--|
seforceo u	-|----|-⌫|
coutelnime toit	-----|||--⌫---|
lachemiselibail leettent	-|------|-|----⌫-|-|---|
il larecoitpar te lc o ue nt	-|-|-----|--|--⌫|-⌫-⌫--⌫-|
q uelle faces eurde	-⌫|---|---|-⌫--|-|
pa r unecaintu r eautre si	--⌫|--|------⌫-⌫|-----⌫-|
d ontasa cha rnuela	-⌫--||-|---⌫|--|-|
p armilesflans ses tra int	-⌫---|--|----||--⌫---⌫--|
q uil a boucleporroit ourir	-⌫-|-⌫|-----|------|----|
sanzdesploieretsanz	---|--------|-|---|
illiprie que aint	-|-|---|--|---|
puis labesaat antremain t	---|-|---||-⌫--|------⌫|
de scouerz sonte ttrouez	--⌫------|---|-⌫|-----|
a ladameuoloit pa rler	|-|---|-----|--⌫---|
nepo tded e n zchambreen tre r	-|--⌫|---⌫-⌫-⌫|------|--⌫---⌫|
parunefen estre	--|--|---⌫----|
uait asonseignor si	---||--|------|-|
quantlis ires	----|-|-⌫---|
laente ndu	||----⌫--|
onquesmes tant dolenzn e fu	-----|--|---|-----|-⌫|-|
dese s priues	-|--⌫|-----|
dema ndetr oi s	----⌫--|--⌫--⌫|
a la chambreua it demano is	|-|------|--⌫-|------⌫-|
ilenfetlesh uispecoier	-|-|--|--|-⌫--|------|
de denztrueuelec heual ier	--⌫---|-----|-|-⌫-----⌫--|
por lagrant	--|-|----|
ireque ila	--|--|-||
aocireles conmanda	|----|--|-------|
guim ars estoitem piezleue z	----⌫-||-----|-|---|----⌫|
mesne sestno i ent	--|-||--|--⌫-⌫--|
perche pristd esap	-----|----|-⌫|--|
ousoloientpendreli drap	-|-------|-----|-|---|
pris ten sesmainsets es a t ent	----⌫|-|--|----|-|-⌫||-⌫-⌫--|
ilenf eraaucun	-|-|-⌫--|----|
ainzque soit dutoutaprochiez	---|--|---|-|---|--------|
lesaurail tozmahaingniez	--|---|-|--|----------|
li sirela moltes gardé	-|---|||---|--⌫-----|
aet dema ndé	|-|----⌫---|
quiiles t oit etdont fu	--|-|--⌫-⌫--|-|---|-|
conme nt ile rt laienze ntrez	-----⌫-|-|-⌫-|-----|-⌫----|
cil li conteconme ili	--|-|----|----|-||
con ment la	---⌫---|-|
d ameleretint	-⌫--|-|-----|
totelid ist	---|-|-⌫--|
sa destinee	-|-------|
delabiche quifunauree	-|-|----|--|-|-----|
etdela nef et desa	-|-|-|--|-|-|-|
orest detot en	-|--|-|--|-|
illiresp ont	-|-|----⌫--|
quepa s nu croit	--|--⌫|||----|
et sainsi fu conme ildisoit	-||----|-|----|-|-----|
etilpeustla	-|-|----|-|
nef tr ouer	--|--⌫---|
il leremeist e nlanef	-|-|------|-⌫|-|--|
se gueri ssit celi pesast	-|-----⌫---|-|-|-----|
etbellefustse iln oiast	-|--|-|---|-|-|-⌫----|
quantill a bienasseuré	----|-|||---|-------|
a u haureensont andui ale ́	-⌫|----|-|---|----|---⌫|
labarge tru euenten zlontm is	-|----|---⌫----|--⌫||--|-⌫-|
enuetenson	-|--|-|--|
la ne ferrepasnedemeure	-|--⌫|---|--|-|------|
licheualier s soupire etpleure	-|---------⌫|------|-|-----|
reg retesouent	---⌫---|-----|
etpriedeuommipo tent	-|---|--|------⌫---|
queil l idoin thastiue	--|-|-⌫|----⌫|------|
et que iames	-|--|----|
neuiengne apo rt	-|------||--⌫-|
repuetauoirsam i e	-----|----||--⌫-⌫|
quildes irreplusque sauie	-|-|---⌫---|---|--|-|--|
tant aceled olortenue	---||---|-⌫---|----|
que laneses tau port	--|-|--|--⌫|-|---|
prime str ouee	-----⌫|--⌫---|
assezertp resde sac ontree	----|--|-⌫--|-|-|-⌫-----|
auplus tost quil	-|---|---|-|-|
po ts enissi	--⌫||-|---|
unsdamo isiausquil otnorri	--|----⌫-----|-|-|-|----|
apresunc heualier	----|-|-⌫-------|
main me noit destrier	---|--⌫---|-------|
ille connuit si l a pela	-|-|------|-||-⌫---|
etli uallez	-|-|-----|
se regard a	-|------⌫|
son seg noruoitapiedescent	--|---⌫--|---||--|------|
son c heual le m et	--|-⌫----|-|-⌫-|
em present	-|------|
uaitio iousen sont	---|--⌫---|-|---|
toutsi amiquitroué	---|-|--|--|-----|
molt fupr o isiez ensonpais	---|-|--⌫-⌫----|-|--|---|
mestozi orsestmaze t pensi s	--|--|-⌫--|--|--|-⌫|-----⌫|
fameuoloientqu	---|-------|-|
mes d u t otlesenescond it	--|-⌫|-⌫-|--|-|------⌫-|
ia neprandrafamenulior	-|-|------|---|--|--|
nepor auoir ne	-|--|----|-|
s e lenedesploier	|-⌫-|-|--------|
sachemisesan zdespechier	-|------|---⌫|---------|
pa rbretaigne ualanouele	--⌫|--------|-|-|-----|
iln i ad amene p u cele	-||||-⌫--|-|-⌫-⌫---|
quini alastpor	--|-|----|--|
ain z ne la des ploiera	---⌫|-|-|---⌫------|
del ad ameuosuuelconter	-|-⌫|-⌫--|--|---|-----|
queguimar pouettantamer	--|-----|----|---|---|
parleconseildun	--|-|------||-|
sessiresla	--|----|-|
enun etor de marbrebis	-|--⌫|--|-|-----|--|
a m aletla	|-⌫-|-|-|
nus homdu mon t nuporroit dire	--|--|-|---⌫|||------|---|
lagrantp oinen elemartire	-|----|-⌫---|-⌫|-|------|
ne langoi ssene	-||-----⌫--|-|
que ladame	--|-|---|
suef fr e en lator	----⌫--⌫|-|-|--|
fuet pluscecuit	-|-|---|-|---|
onquesnotioien ededuit	-----||-|---|-⌫|-----|
souent reg retesonami	-----|---⌫---|--|--|
guimarb ia u	-----|-⌫--⌫|
sire maruos	---|--|--|
mielz uoil hastiuementm or ir	----|---|----------|-⌫--⌫-|
quelonguementte lmalsosfr ir	--|---------|--⌫|--|-----⌫-|
amisseiepuiseschaper	---|-|-|---|-------|
laouu osfustes	-|-|-⌫-|-----|
mis en mer	--|-|--|
menoie raido ntlieue s us	-|----⌫--|--⌫-|----|-⌫-|
tot esb ahi euintalui s	--|---⌫---⌫|---|||--⌫|
n itrouacl erf	||----|--⌫--|
neferm eur e	-|----⌫---⌫|
forsenissipa rauenture	---|-|---|--⌫|-------|
o nqu esnusn e	-⌫---⌫-|--|-⌫|
lidestorb a	-|-------⌫|
uint lan ef t roua	---|-|-⌫-|-⌫---|
atachieefuaurochier	-------|-|-|------|
se uoloitno ier	-|-----|--⌫--|
qu ant elleui tenzest	--⌫--|-|-|--⌫|--|--|
mesduneriens sestpo rpensee	--||--|----||--|--⌫------|
s e sami s noiez	-⌫-⌫|---⌫|----|
n e puetarestersorse spiez	-⌫|---|------|--|--⌫|---|
se d esqu aub ort p eust uenir	-|-⌫---|-|-⌫--|-⌫---|----|
el selessastdeforschair	-|-|------|-----|----|
asezsosfri	---|-----|
trauailet poine	------|-|----|
q uitostl enmoine	-⌫-|---||------|
enbre taigne est uenu auport	-|---⌫-----|--|---|-|---|
sozchas teluailla ntetfort	--|----⌫--|------⌫-|-|---|
cu i licha sti aus	--⌫|-|---⌫---⌫--|
au oita nonmer iadu	--⌫--||--|---⌫---|
ilgu erroi oit si enuoisin	-|--⌫-----⌫--|--⌫-|-----|
porce estoi tle uez	--|-|-----⌫|--⌫--|
sag entuoloi t	-|-⌫--|-----⌫|
fors enuoie r	---|------⌫|
a unefen estresestoit	|--|---⌫----||-----|
etuit la n efquiariuo it	-|--|-|-⌫-|--|-----⌫-|
il des cend ipar d egre	-|---⌫----⌫|--|-⌫---|
s onchambellenc aapelé	-⌫-|----------||-----|
isnelement ala ne fuont	---------||-|--⌫|---|
par leschiele m ontent	--||-------|-⌫-----|
ded enzontladametrou ee	---⌫--|--|-|---|----⌫-|
quidebiauteresemblo it	--|-|-----|--------⌫-|
saisistp arlemantel	------|-⌫-|-|-----|
lenmainne el chastel	|-------|-|------|
mo ltfu li ez delatro ueure	--⌫-|-|--⌫-|-|-|---⌫----|
carbele estoitades m es ure	--|---|-----||---⌫-⌫--⌫--|
qui quele ust mise en	--|--||-⌫--|---|-|
biensetq uelle	---|--|-⌫|---|
hautp arage	---|-⌫----|
i liatorne t elam o r	-⌫||-----|-⌫-|--⌫-⌫|
onquesa famen otgreigno r	-----||---||-|-------⌫|
il otune seror puc ele	-|-|--|----|---⌫--|
ensachambrequi	-|-|------|--|
la damelia commandee	-|---|-||--------|
bienfuser uieeth en no ree	---|-|---⌫--|-|-⌫--⌫--⌫--|
richement lau estet at orne	--------|-|-⌫--|-|--⌫---|
mestoz iorse s t pensiueet morne	--|--|---|-⌫-⌫|------|-|----|
i l uet souent	-⌫|--|-----|
alui parl er	|--|----⌫-|
carde boncuer	--|-|--|---|
lapuet am er	-|---|--⌫-|
illarequ iert elnen a	-|-|----⌫---|-||-||
ainz li mostre lacainture	---|-|-----|-|-------|
ia m eshom menenamera	-|-⌫-|---⌫-||-|----|
se celuinonqueleuerra	-|----|--|--|-|----|
sanz despecie r qua ntillentent	---|--------⌫|---⌫-|-||-----|
sili re s pontparmalt ale nt	-|-|--⌫-⌫---|--|--|-⌫---⌫-|
autresiaenc est pais	------||-|-⌫--|---|
che ualierde	---⌫-----|-|
m olthautpris	-⌫--|---|---|
de fameprandre	-|---|------|
en itelguise	-|---|----|
sedesfent parune ch emise	-|------|--|--|--⌫----|
dontle destres	---|-|------|
pansertploiez	---|--|-----|
etn e puet estredesloie z	-|-⌫|---|----|-------⌫|
quiforceo uc ou tel nimetroit	--|----|-⌫|-⌫--⌫--|||------|
uos f eistes	--|-⌫-----|
cecui tle plo it	-|---⌫|-|---⌫-|
quant e ll	----|-⌫||
oisisoupira	-|-|------|
po rpe titnesepasma	--⌫|--⌫--|-|-|----|
recutentrese s	----|----|--⌫|
de son bliautt ran chaleslaz	-|--|-----|-⌫---⌫--|--|--|
pooitachiefuenir	----||----|----|
puisnot el palesc heualier	---||-|-|----|-⌫-------|
queil ni feist essaier	--|-|||----|------|
insirem est b ienlongu ement	---|---⌫--|-⌫--|-----⌫----|
des iq u a	---⌫--⌫||
tornoi em ent	------⌫--⌫--|
quemariad usafia	--|------⌫-|---|
co ntrecelui quigue rroia	--⌫---|----|--|---⌫----|
semonscheua liers	-----|-----⌫----|
guimarifutoz li	-----||-|--|-|
i l limanda p argue rredon	-⌫|||----|-⌫-|---⌫-----|
si con meamie tco mpaingnon	-|---⌫-|--|-⌫|--⌫--------|
quacebesoing	-||-|------|
etensaiealui	-|-||--||--|
aleziestmoltriche ment	---||--|---|-----⌫---|
cheualiersmoineplusdecent	---------|----|---|-|---|
meriadusdedenzsa tor	-------|-----|-|--|
l eh e rbergapargrant amor	-⌫|-⌫-⌫-----|--|----|---|
encontre luisaserormande	-------|--|-|----|----|
parcheualiersl iconmande	--|---------|-⌫|-------|
celeafetsonco n mandemen t	---||--|--|--⌫-⌫--------⌫|
uestuesfurentrich ement	------|-----|----⌫----|
mainama inuiene ntenla sal e	---||--⌫-|-----⌫-|-|-|---⌫|
p e nsiu eet	-⌫-⌫----⌫|-|
guimarnommer	-----|-----|
sor l es piezester	--|-⌫-|---|----|
se celenele us ttenue	-|---|-||-⌫--⌫|----|
ell efust a terrec heue	---⌫|---||----|-⌫---|
le cheua liers co ntr e eles ua	-|-----⌫----|--⌫---⌫|---|-|
ladameuit et	-|---|--|-|
semblantets amaniere	-------|-|-⌫|------|
pet itetse	---⌫---|-|
t retarie re	-⌫--|----⌫-|
es tce fetilmadouceamie	--⌫|-|--|-|-|----|---|
m espera ncemonc uermauie	|------⌫--|--|-⌫--|-|--|
ma bele damequi ma ma	-|---|---|--||-⌫-|
dontuient ele	---|----|--|
q ui lamena	-⌫-||----|
oraipe ns émolt gra ntfolie	-|-|--⌫--⌫-|---|---⌫-|----|
biensaiquecen	---|--|--|-||
famesser esemblentas sez	----|-|-⌫--------|--⌫--|
porn oientchange	--|-⌫----|-----|
mes pensez	--|-----|
mesporcel eq uilaresemble	--|--|---⌫|-⌫-|-|-------|
po r lim escuerssopire ettre nbl e	--⌫|-|-⌫-|----|-----|-|---⌫---⌫|
a liparleraiuolentie rs	|-|-------|--------⌫-|
dont uie nt auantlic heualiers	---|---⌫-|----|-|-⌫--------|
illa besa lonclui s	-|-|---|---|--||
onque salau t remo tn e d ist	-----⌫|||--⌫-⌫-|--⌫|-⌫|-⌫--|
for stantqueseo irlar oua	---⌫|---|--|---⌫-|-|-⌫--|
mariaduslese sgarda	-------|--|-⌫-----|
m olt li p es adece	-⌫--|-|-⌫--⌫|-|-|
guima r apeleenriant	-----⌫|----|-|----|
si ref etilsiluosplesoi t	--⌫-|-⌫-|-||-|--|------⌫|
cestepucele	----|-----|
ess aier oit	---⌫----⌫--|
uostrechemisea desploier	-----|------||--------|
s eleiporroit	|--||------|
r ie nsesploitier	-⌫--⌫-|---------|
illiresponte t	-|-|------|-⌫|
chamb ell encapel eosoi	-----⌫---⌫--|----⌫||--|
quilach emiseot a	--|-|--⌫----|-||
i lliconmande a ap orter	-⌫|-|-------||--⌫----|
a lap ucele f u	|-|-⌫----|-⌫|
mesne la mied esploié	--|-|||--|-⌫-------|
ladamec o nnu tbien leploit	-|---|-⌫-⌫---⌫|---|-|----|
moltason cuer engrant	---||--|---|-|----|
d estroi t	-⌫------⌫|
car u olentierssi essai ast	--|-⌫--------|||-----⌫--|
peust ets ele o ssast	----|-||--|-⌫----|
biens apar coitmeriadus	---||----⌫---|-------|
dolent enestainz nefuplus	-----|-|--|---|-|-|---|
damefet ilca res saiez	---|--|-|--⌫|--⌫----|
se desf erele porrie z	-|----⌫--|-|------⌫|
quantel eo tleconmand ement	----|--⌫|-⌫|-|-------⌫----|
le p ande la	-|-⌫-|-|-|
chemiseprent	------|----|
l egiere mentledesploia	-⌫------⌫---|-|-------|
lecheualiers	-|--------||
e nmerueilla	-⌫|--------|
bi enlac onn utmesnequedent	--⌫-|-|-⌫---⌫-|--|--------|
ne lpooi t croirefermement	-||----⌫|-----|--------|
ali parla entelmesure	|-|----|-|--|-----|
amiedoucec rea ture	---|----|-⌫---⌫---|
e stesuo sced ite smoiuoir	-⌫---|--⌫|-|-⌫---⌫|--|---|
les siezmoiuostreco rsueoir	---⌫---|--|-----|--⌫-|----|
lac einturedontieuos	-|-⌫------|---|-|--|
a soncoste limet	|--|----|-|--|
s es mains	-⌫-|----|
ilatroueel a ceinture	-||-----|-⌫|-------|
belefet il quelauenture	---|--|-|---|-------|
est ce que	--|-|--|
uos ai ci trouee	--|-|-|-----|
quiu osaici amenee	--|-⌫-||--|-----|
eleli conteladolor	--|-|----|-|----|
lesgr an zpainesetlat ristor	--|--⌫--⌫|-----|-|-|-⌫-----|
prisonou e le fu	-----|-|-⌫-|-|
etcon m entli est	-|---⌫-⌫--|-|--|
co nment e les en	--⌫----|-⌫-||-|
noi erseuol t lane ftroua	---⌫-|-|---⌫|-|--⌫|----|
dedenzent r a a	-----|---⌫-⌫||
ceportuint	-|---|---|
e t li cheu aliersla re tint	-⌫|-|----⌫-----|-|--⌫---|
gar deela a g ranthonnor	---⌫--||||-⌫---|-----|
mes t oz iors larequis t dam o r	--|-⌫-|---|-|------⌫||--⌫-⌫|
orest saleer euenu e	-|--|-|--|-⌫-----⌫|
amis m enez enuostre	---|-⌫---|-|-----|
guimar ses tt ostempiez	-----||--⌫|-⌫--|-|---|
seign orfet	-----⌫-|--|
ilorm e scoutez	-|-||-⌫------|
a m ieconneue	-⌫-⌫-|------|
q ueiecuido ie auo irperdue	-⌫-|-|-----⌫-|---⌫-|-----|
meriadusrequier etp ri	-------|------|-|-⌫-|
re ndelamoi seuemerc i	--⌫--|-|--|---|----⌫|
ses hon liges e ndeuendrai	--|--|----|-⌫|--------|
anzoul eseruirai	--|-|-⌫|-------|
ototcheualiers ou plu s	|--|---------|-|---⌫|
ado nc respont	---⌫-|------|
guimarfe t il biaus douzamis	-----|--⌫|-|----|---|---|
i e n esuimie	-⌫|-⌫|--|--|
nesidestroiz de	-|-|-------|-|
nuleguerre	---|-----|
q u edecem edo iez requerre	-⌫-⌫|-|-|-⌫|--⌫--|-------|
ielatrouaisilatend rai	-|-|-----|-|-|----⌫--|
encontreuos lades fendrai	-------|--|-|---⌫------|
quantill oihasti ue ment	----|-||-|-----⌫--⌫---|
c o nmandaa montersa	-⌫-⌫-----||-----|-|
sempart celui	|-|---|----|
mol t lipoi se quil	---⌫|-|---⌫-|-|-|
u ileno tcheu alier	-⌫--||-⌫|----⌫----|
quiuenuzfust portor noier	--|----|---|--|---⌫----|
que guimarnenmaint	--|-----||------|
ch ascunsli afi asa foi	--⌫-----|-|---⌫|-|--|
oluiirontquelpar t qui l	|--|----|---|---⌫|-|-⌫|
honizquiorlorf aut	----|--|-|--|-⌫--|
lanuitsont	-|---|---|
el chast el uenu	-|-----⌫-|---|
queguerreoit meriadu	--|--------|------|
li sire les	-|---|--|
a herbergiez	|---------|
quimoltenf uioie uset lie z	--|---|-|-⌫|----⌫-|-|---⌫|
deg uimaa retdesaie	-|-⌫-----⌫|-|-||--|
b iensetsaguerreest fenie	-⌫--|--|-|-----|--|----|
eldemain parmatin	-|-----|--|----|
parlesostiexse	--|--|-----|-|
c onroierent	-⌫---------|
dela u ileagrantb ruit	-|-|-⌫--||----|-⌫---|
guimaarpr imes lesconduit	------|--⌫---|--|------|
au chast eluien entsil	-|-----⌫-|----⌫--|-||
asaill ent	------⌫--|
m es for s estoitaup ra ndrefaillent	-⌫-|---⌫|-----|-|-⌫--⌫---|-------|
lauileassise	-|---|-----|
tornera ainzse rap rise	------|---|--⌫-|-⌫---|
tant li aident rois etgenz	---|-|-----|---|-|---|
que tozlesa famadedenz	--|--|--|-⌫---|-----|
le chaste ladestruit et	-|------⌫||-------|-|
etleseignordedenzocis	-|-|------|-----|---|
agrant ioiesamie enmain ne	|----|---||---|------⌫-|
or atrespasseesa p ainne	-||---------|-|-⌫----|
decestecontec	-|----|----||
fuguimaarlilais	-|------|-|---|
