Icicumencelicompuz	--|------|-|-----|
Kiis siad errétEçoest le	-|--⌫-|-|-----||--|--|-|
ententis si Eç otr uuu mescri t	-----|--⌫-||--⌫|--⌫---⌫|-----⌫|
Augustinsd it Ço que sem u nscuildruns	--------|-⌫-|--|--|---⌫-⌫-|--------|
Que donunsreceuruns	--|-----|--------|
E cestp recepts er at	|---|-⌫-----|-⌫--⌫-|
Qu ant sam ad iuendrat Useruntcuruné	--⌫--|---⌫--⌫|------||-----|------|
Lifed e il	-|---⌫-⌫-|
Dunc se runt enlüurU	---|--⌫---|-|----||
ianauruntdolurEçoertledieme ine	-||-----|----||--|--|-|-----⌫--|
Iesudemeine	---|------|
Aiezenr emembranceÇo	---|-|-⌫---------|--|
estsenefiance	--|---------|
D esiurz en	-⌫-|---|-|
S icumeestes pruuét	-⌫|---|--|--⌫------|
De mensib us	-|------⌫-|
Mais orquid	---|-|---|
Qu ealc unenui dïus	--⌫|---⌫-|----⌫----|
Leuoldratcuntredire	-|------|---------|
ensa ur at	-|--⌫--⌫-|
Maisquit ç o telle orrat	---|---|--⌫|--|-|----|
Kipur folle tendrat	-|--|--|-|------|
Q ues ei t mois	-⌫-|-⌫--⌫|---|
d emustruns	-⌫--------|
Parmul t breuesraisuns	--|---⌫|-----|------|
Maisest d itame s ure	---|--|-⌫-||--⌫-⌫--|
Quatresemeines	-----|-------|
dureEs achiez	---||-⌫-----|
duz eensunt	---⌫|-|---|
Parq ue itu itlianuunt Ç oestian uarius	--|-⌫--⌫|--⌫-|-|-|---|--⌫|--|---⌫-----|
Feur eremarz	----⌫-||---|
Aurilmai i unius	----|--|-⌫----|
Iuliusa ugust us	-----|-⌫-----⌫-|
September oc tober	--------|--⌫----|
Nouemberdecember	-------|-------|
Iceznumslur	---|---|--|
du neren t	--⌫-----⌫|
P aien squis cuntruuere nt	-⌫----⌫|---|----------⌫-|
Lepremerain	-|--------|
num ere nt	---⌫---⌫-|
Ianumeapelerent	----||--------|
DelancumencementEledefin ement	-||-|----------||-|-----⌫----|
Maisalqu a ntuunt	---|----⌫-⌫-|---|
Que ̈unsreis uintfuia nt Dunestrangeregnét	---⌫|--|---|---|----⌫-||-|-------|------|
Ru melacit éd Eilocfudasis	--⌫-|-|---⌫--||---|--|---|
Detuzse sen emis	-|--|--⌫|--⌫---|
l es chaçat	-⌫-|------|
Parenginque	--|----|--|
EstupesepeizpristEalumer l esfist	------||---|----||-----|-⌫-|---|
enen uolupa t	-|--⌫------⌫|
E les muralz muntat	|--|-----|-----|
Rume l aci tétEodsei adportét	---|-⌫|--⌫---||-|--|-|------|
Dous e spees	---|-⌫----|
trença ntesEmultreflam bantes	-------⌫---||---|------⌫-----|
Rumains apelatEsilurcumanda t	------|-----||-|--|-------⌫|
Quelur armes pres issen t	--|--|----|----⌫-----⌫|
C els defors oceïss ent	-⌫--|-----|-------⌫--|
P lusur s par zsenturno ut	-⌫-----⌫|---⌫||-|-----⌫-|
C e lsdeforsmane çout	-⌫-⌫-|-----|----⌫----|
Cildefors quantleu i re nt	--|-----|----|-|-⌫-⌫--⌫-|
Isn elepasfu ïren t	---⌫-----|--⌫-----⌫|
Distrent qu edeus esteit	-------|--⌫|---|-----|
O cirreles uolei tE qu ant l i	-⌫----|--|-----⌫||--⌫--|-⌫|
Rumainsuirent	------|-----|
Quecildeforsfu ïrent	--|--|-----|--⌫-----|
Pur l e rei	--|-⌫|--|
quis c rioutEquis espoën tout	---|-⌫----||---|-------⌫---|
Multforement sen	---|-------||-|
gabber ent Elerei	------⌫--||-|--|
Chienfuielesm ist	--|-|---|--|-⌫--|
Quëunsuln en ocist	---|-|--||-|----|
Purçocestnum dune rentA	--|--|---|--|----⌫---||
ienuereposerent	-----||-------|
Quë il uaitregardantE ar eree	---|-|---|--------||--⌫--||
Cumlireisfeseit	--|-|---|-----|
Qui surl emu res teit	--|--|-⌫|--⌫|--⌫---|
Februariu sE	---------⌫||
Plutoquiert	----|--|--|
De enfern out icel mois	-|-----|--|---|---|
Queapelere ntfe urer	--|-------⌫-|--⌫---|
Pur c ̧oquëencumbrerLanme nefeïs t	--|-⌫-|---|--------||---|-|-----⌫|
Quant aenfernuenist	----||-----|-----|
Ce l meis li en cultiuouent	--⌫|---|-|--⌫----------|
Paiens eonurou ent	-----||------⌫--|
Mais cristï enegent	---|-------⌫--|---|
Lefirenta ltrement	-|-----|-⌫-------|
Kar icel sac rifise	--|---|---⌫-----|
F irenteniceli ur	-⌫----|-|---|-⌫-|
Da mn edeu	--⌫--⌫---|
MarciusElibers	------||-|---|
Ro mu l us	--⌫--⌫-⌫-|
Rum efuddux	---⌫|--|--|
Len ums umperemist	-|-⌫-|-⌫-|---|---|
Alterzmois	-|---|---|
fud ap elét	--|--⌫----|
Karsiesteitnumét	--|-|-----|-----|
Queilne f ustu blïé	--|-|-|-⌫--|-⌫-----|
Mais tuziu rzrememb re ́	---|--|--⌫-|------⌫--⌫|
Mais dïentli	---|-----|-|
Quëasmasl e s amur	---|-|----⌫-⌫|---|
ue nt en celesaisun E	--⌫-|-|---|-----||
p ur çom a rz ad num	-⌫-|--|-⌫-⌫-|-|--|
A pr i li s	-⌫--⌫-⌫--⌫|
Auerilçoestau ̈u ri r	-----|--|--|--⌫--⌫--⌫|
Karduncueitlenissir	--|---|---||-|----|
D e cezarbresles	-⌫|--|-----|--|
flursEbe s tesenamurs E	----||--⌫-⌫--|-|----||
purcestach ais un	--|---|---⌫---⌫-|
Iss ileapeled	---⌫|-|-----|
MaiusEmaisest	----||---|--|
apelédEcest numemposét	------||---|--|-------|
Mai a quëer tmerr e	---⌫|---|--⌫|----⌫|
Deldeuqui e rtmercherre	--|--|--|-⌫-|--------|
Dum la des us par lai	--|-|---⌫-|---⌫--|
Quantiodesi u rztraitai	----|-|--|-⌫-⌫-|------|
Cel m o islen cultiuouentEsamerreen urouent	--|-⌫-⌫-||--⌫----------||-|----|--⌫------|
Marchëantch iesteient	---------|--⌫|-------|
Enlaterre e uoleie nt	-|-|----||------⌫-|
En c elan gä ainner	-|-⌫-|-|---⌫-----|
De feirelur mest er	-|----|--|----⌫-|
Charita ntf olesteient	---|---⌫-|-⌫-|-------|
Que purdeule steneient	--|--|--|--⌫|-------|
Iu niusEunphilosophu s	--⌫---||-|----------⌫|
Ditqueiui g nfutdunét	--|--|---⌫-⌫|--|-----|
Iunoni enum e ́tEp ar figuresditÇo	-----||---⌫-⌫-||-⌫-|------|--|--|
truuumen escrit	-----|-|-----|
Sincopaml apelum	-------||-----|
E nlatineraisun	-⌫|-----|-----|
Maissi cum e l aitruué	---|-|---⌫||-|-----|
Ditiçoque	--|---|--|
Rum e f u dd ux	---⌫|-⌫-⌫|-⌫-|
Fistundes e iurement	---|-|---⌫-⌫-------|
Delaruma inegent	-|-|----⌫--|---|
lesse urat	--|--⌫---|
Asmaiu rscumandat	-|----⌫-|-------|
Lacitét a	-|-----||
garder Ebenacultiue r	-----||--||-------⌫|
erent fedeil	----|-----|
De dunerbonc unseil	-|----|--|-⌫-----|
Limeind reafaireg uerresA	-|-----⌫-||----|-⌫-----||
cunquer re lesterres E	-------⌫-|--|-----||
pur cestachaisu n	--|---|-------⌫|
Epurceste ra isun	|--|----|--⌫---|
ditas maiu rs	--|-|----⌫-|
Iunïusasmenurs	------|-|-----|
Chipuisfudil oc	--|---|--|--⌫-|
A l s edmemoisposat	-⌫|-⌫---|---|----|
Sunnumiuill apel at	--|--|---||----⌫-|
Purço que ̈ilfudnét	--|--|---⌫|-|--|---|
Eniui lq uëainume ́t	-|---⌫|-⌫--|-|----⌫-|
Augu stusE	----⌫---||
Ch i puisoutagarder	--⌫|---|--||-----|
Ruman ie ElaterreenbaillieAüst	-----⌫-||-|----|-|------|----|
P osatsu nnum	-⌫---|--⌫|--|
P ur ço quëi luenqui	-⌫-|--|---|-⌫|-----|
Celmoiss unenem i	--|---|-⌫-|----⌫|
C him ult l o utguerrïé	-⌫-|-⌫--||-⌫-|--------|
Elungestrauaillié	|-----|----------|
Mais çodit	---|--|--|
Qu ant numslurenpos at	--⌫--|---|--|-----⌫-|
Tut issilesnumat	--|---|--|----|
Iulï umquintilem	-----⌫-|--------|
SextilemEuito ure eseptemb re En ouem bre	-------||----⌫--||-------⌫-||-⌫----⌫--|
e decembre	|-------|
P luiussun t apelé	-⌫----|---⌫|-----|
Chardu nc sunttempe sté E quepl uie apelum	---|--⌫-|---|-----⌫---||--|--⌫--|-----|
En franchesche raisu n	-|----------|-----⌫|
C ̧oestlatins	-⌫-|--|-----|
Dumestditseptember	--|--|--|--------|
Saci ezdes al tresmois	----⌫-|--|--⌫---|---|
Si suntnum éttuztreisE	-|---|---⌫--|--|----||
pur cezachaisun s	--|--|--------⌫|
Fure nttru uét	----⌫-|---⌫---|
ceznunsNenuoiloreplustra iter	--|---||-|---|--|---|---⌫---|
Altre uoi lc umencer	----|---⌫|-⌫------|
Griu dïent cal oEli	---|-----|---⌫||-|
Lati nsuocoÇo estapelum	----⌫-|---|--|--|-----|
En franchesche raisun E	-|----------|-----||
Romulusqui ertreis	------|--|--|---|
Ruuatquechascun moi s	----|--|------|---⌫|
Fustka lendeape lé t	---|--⌫----|---⌫---⌫|
Partrestut s un regnétE s ulunc	--|------|-⌫-|------||-⌫----|
nos ra isunsÇoe stapeleisunsEbensaciezque	--|--⌫----|--|-⌫-|---------||--|-----|--|
Kar enzenchascunmois	--|--|-|------|---|
Uns euesquesgardout	--|-------|------|
Cum lalune ̈aloutE qu antnu uel eesteit	--|-|----⌫|----||--⌫--|--⌫---⌫|-----|
Rumainsledisei t E	------|-|-----⌫||
duncsa crefio uent	---|--⌫------⌫---|
Aprofço apelo uen t	----|--|-----⌫---⌫|
Trestuzicels delregnét A	------|----|--|------||
R u melacitétEce ls asemblemenz	-⌫-⌫-|-|-----||--⌫-|----------|
C hiesteientdesgenz	-⌫-|-------|--|---|
Nu n eslesapelouen t	--⌫-⌫-|--|--------⌫|
Purço que se ase mblouentEquantc i l	--|--|--|-|---⌫-------||----|-⌫-⌫|
deseurouent	----------|
Celsiurzidesclamouen t	---|---|---|--------⌫|
mus truns bre ue ment	---⌫----|---⌫--⌫---|
ordeneme nt	--------⌫-|
S aciezquëenien uer	-⌫----|---|-|---⌫--|
Pur ço qu eer t premi er	--|--|--⌫|--⌫|-----⌫-|
Se scha lendesposer ent	--⌫|---⌫-----|-----⌫--|
Dise nof lendunerent	--||--||-|-------|
Altreta ntenposer ent	-------⌫-|-------⌫--|
Fe ureredunerentA semptembre en sementl celo rdenement	--⌫---||-------||---------|--⌫-----|-⌫--|-⌫--------|
iui nensembleAu ̈s te nouembre	---⌫|-------|--⌫--⌫||-------|
setenposerent Achascun ta nt	--|---------||------|--⌫-|
duneren tE uitoure	-------⌫||------|
Altretantensembl eE des	--------|-------⌫||--|
nonesmustrum	----|------|
Par mul tbreueraisun	--|---⌫|----|-----|
Ienuers quifu t premers	------|--|--⌫|------|
Quatree nnoutefeurers	-----|-⌫-|--||------|
Aueri l iuin es eptembre E aüst enouembre	-----⌫|---||-⌫-------||----||-------|
Altretant enposerent	--------|---------|
End ece mbreedune rent	-|-⌫---⌫---||----⌫---|
O c toberensement	-⌫-⌫----|-------|
Outcelo rdenement	--|--|-⌫--------|
Een zenchascunmois	|--⌫|-|------|---|
Uitidesmistlire is	--|---|---|-|--⌫-|
Kiprimesle s t r uuat	-|-----|--⌫|-⌫-⌫---|
Su l unc sauolent ét	--⌫-⌫--|-|------⌫--|
Neint dealtre auctoritét	----|-|----|----------|
Mai soreest questïun	---⌫|--|--|--------|
Pur quel c osetruu um	--|---|-⌫--|----⌫-|
E nz e l mo isde i enue r	-⌫-|-⌫|--⌫-|-|-⌫----⌫|
Kal e nde sdefeurer	---⌫-⌫---⌫|-|-----|
De saltr es	--⌫|----⌫-|
Entrechaniablem e nt	---------------⌫-⌫-|
Rumainquis	-----|---|
Leskalendes	--|-------|
Sicum ioa icuntét	-|--|-|-⌫|------|
Desc r itedemustrét	----⌫-⌫-||---------|
Mais puislest resturnerent	---|---|--|-⌫-----------|
Pu rles larun s qui erent	--⌫|--|-----⌫|--|----|
El regne e destrusouent	-|----||-----------|
Rumealoue nt	---|-----⌫-|
Lu rmarchiétdemenouent	--⌫|--------|---------|
Lur c osesuen douent	--|-⌫---|---⌫-----|
Pur çoqueil	--|--|--|-|
ne soü ssent	-|----⌫----|
Qua nt ale r ideüs ent	---⌫-|---⌫||-----⌫--|
A lueiagegar d er	-⌫|-----|---⌫-⌫-|
Purlagent destr usserEço e n est lachai sun	--|-|---|-----⌫----||--|-⌫|--||-----⌫--|
Pur queiissi truuum	--|---|---|-----|
Ennost re kalenderI ço uus	-|----⌫-|-------|-⌫--|--|
uoilmustrerNen u oilo replusp arl er	---|------||-|-⌫--|-⌫-|---|-⌫---⌫-|
Ch aro reuus	--⌫-|-⌫-|--|
uo il nuncer	--⌫-|-----|
D essignesdum parla i	-⌫-|-----|--|-----⌫|
Quantdesiurztraitai	----|--|---|------|
Egyptïentruuerent	--------|--------|
Quimultsagegent erentE	--|---|---|---|----||
distrentparfiguresEpard iuine s curesE	-------|--|------||--|-⌫-----⌫|----||
Pur queif uren ttruu ez	--|---|-⌫----⌫|----⌫-|
Macrobequerez	------|-----|
Iloecle truuerez	----|-|-------|
ScipïunUdem ustret	-------||---⌫-----|
Purç onel	--|--⌫|--|
u oilc uncter	-⌫--|-⌫-----|
Ainz meplaist demustrer	---|-|-----|--------|
Purq ueif u rentnu mezEasmaisenposez	--|-⌫--|-⌫-⌫---|--⌫--||-|---|------|
Maisçodeu e z saueirEbenc reirepurueir	---|--|---⌫-⌫|-----||--|-⌫----|--|---|
Signenestcose nu le	----||--|---|--⌫-|
Ainz estditp arfigu re	---|--|--|-⌫-|----⌫-|
Ne m ais quesulement	-|-⌫--|--|-------|
Sutilentendement	----|----------|
Egypt ïentruuerent	-----⌫---|--------|
Quantlecelde uiser ent	----|-|--|--⌫-----⌫--|
Lapremera ine	-|-------⌫--|
Nel arrainel uus die	-|-⌫----|--|--|--|
Arïetemnumer e nt	-------|-----⌫-⌫-|
C estnumliemposerentIc ̧o	-⌫--|--|-|---------|--⌫-|
estmultuns	--|------|
Enf ran chesch e s	-|-⌫---⌫------⌫-⌫|
r a is uns	-⌫-⌫--⌫--|
Or e uëe zsutile ment	--⌫|----⌫|------⌫---|
P a rquelent endem ent	-⌫-⌫|---|---⌫-----⌫--|
Cha rsi cume celebest e	---⌫|-|---|---|----⌫|
Ad lungs corns enl a teste	-|----|----|-|-⌫|----|
Granzerecercelez	----||---------|
Quemul tun apelezEalch efadualurE	--|---⌫--|-----||-|--⌫-|-|----||
S enznulredutem ent	-⌫--|--|-------⌫--|
Q uantil uait icelepart	-⌫---|-|---|----|---|
Se s raisgetet	--⌫|---|----|
Plusursparzles es t ent	------|---|--|--⌫-⌫--|
Trestuza suntalentE purço	------||--|-----||--|--|
e st numee	-⌫-|----|
IssicelecuntreeUpur cest achaisu n	---|---|------||--|---|-------⌫|
Quëencelesa isun	---|-|---|--⌫---|
Lisoleilzenueritét	-|------|-|-------|
ua itle destrecostét	--⌫-|-|-----|------|
De lgrantÿonï um	--⌫|----|------⌫-|
Q uen usme rapelum	-⌫-|-⌫-|--⌫|-----|
E issicumelimu ltu ns	-⌫---|---|-|--⌫---⌫-|
Enicele ssai suns	-|-----⌫|---⌫---|
Se gistenueri tét	-|---|-|----⌫---|
Surl edes tr e costét Ecestsigneposeren t	--|-⌫|---⌫--⌫|------||---|----|-------⌫|
Icil quilcuntruuerent	---|---|-----------|
q uies teitdigne	-⌫-|--⌫---|----|
Que ilou ̈st ice l	--|-|--⌫--|---⌫|
CharesduzekalendesD	---|-|---|-------||
au rilque benl e ntendes	--⌫--|--|--||-⌫------|
Furmat lespremers iu rs Ulisoleilztuz	-----|--|------|--⌫-||-|------|--|
Cume nceratsun	----⌫-----|--|
Helpri dit	-----|--|
ensunescrit	-|--|-----|
Nebroz liuail lanz	-----|-|----⌫---|
Lealtresignepos erent	-|----|----|---⌫----|
Taur um apelere nt	----⌫-|-------⌫-|
Enau ril ueire ment	-|--⌫--|-----⌫---|
Parce stentendemen t	--|--⌫-|----------⌫|
Charquant lisol eilz uait	---|----|-|---⌫---|---|
Encelepartse trait	-|---|---|-|----|
Dunc maürent les blez	---|-------|--|---|
Queboesu nt laburez	--|---|-⌫-|------|
Encesterres	-|--|-----|
a rdant esEdes	-⌫-----⌫-||--|
ewe ssaill ant e s	---⌫|-----⌫---⌫-⌫|
Egyptïeneissi	--------|----|
Cestnum l ienpose rent E	---|--|-⌫|------⌫---||
Taurumleapelerent	-----|-|--------|
Leterzsi gnepose rent	-|---|--⌫--|----⌫---|
En mai que ilapel ere nt	-|--|--|-|----⌫---⌫-|
Geminospa rrais uns	------|--⌫|----⌫--|
Quefr erresapel u ns	--|--⌫----|----⌫-⌫-|
Suluncl entendeme nt	-----||---------⌫-|
Delapaiene	-|-|-----|
CastoremElealtre	-------||-|----|
PollucemEamduifurent frere	-------||----|-----|----|
Demerenumdepere	-|---|--|-|---|
Castorfudfilz	-----|--|---|
P olluxfilz	-⌫----|---|
Casto rf ud itels	-----⌫|-⌫-|----|
Queilnefudpasmortels Ecil t antespleitat	--|-|-|--|--|------||--|-⌫--|--------|
Quesunfre r e dunat	--|--|---⌫-⌫|----|
Chi ainzmortelesteit	--|---|-----|-----|
Quilmurir nen	-|-|----|--|
Encelfurentp orte z	-|--|-----|-⌫----⌫|
En esteilesmüezEour enttel a mu rEit eledulc ̧ur	-|-------|----||---⌫--|--|-⌫--⌫||--⌫--|----⌫--|
Que qu antli	--|--⌫--|-|
uns raiou tL altreseres cu nso ut	--|-----⌫||----|-|---⌫--⌫---⌫-|
Eço tru uuml is a nt	|--|---⌫--|-⌫--⌫-⌫-|
Ouidelegrant Çofud e n tendement	----|-|----|--|--|-⌫-⌫--------|
D e lapaienegent	-⌫|-|-----|---|
del quartsigne	--|----|----|
Pur quelco seilfuddigne	--|---|--⌫-|-|--|----|
Quëeniuinfudposét E	---|-|---|--|-----||
Cancrum ap e lét	------|--⌫-⌫---|
Que nus crabbeapelum	--|--|-----|-----|
Enfra nchescheraisun	-|---⌫-------|-----|
B e steestde tel natur e	-⌫-⌫--|--|-|--|-----⌫|
Edete lefigure	|-|--⌫-|-----|
ne p ar m er	-|-⌫-|-⌫-|
Sac eiztutissifait	---⌫--|--|---|---|
Li soleilzquant	-|------|----|
Enicelec u nt ree	-|----|-⌫-⌫--⌫--|
Que siest apelee	--|-|--|-----|
Nepot plus	-|--|---|
haltmunter	---|-----|
Ainzlestoetreturn er E	---||-----|------⌫-||
purcesta chaisun	--|---|-⌫------|
Issice stsignead	---|--⌫-|----|-|
Si cumetruu umlis ant	-|---|----⌫-|---⌫--|
Enzelcum pot	--|-|---⌫--|
saceiz purueritét	-----|--|-------|
Liquints ignee stp o sét	-|----|-⌫---|-⌫-|-⌫-⌫---|
Eniuinnét	-|-------|
Queapelerentleün	--|--------|----|
Leünsa d telna ture	-----|-⌫|--|--⌫---|
b estenule	-⌫---|---|
For t adlepizdeuant	---⌫|-|-|--|-----|
Hardize cumba tant	-----||-----⌫---|
Feblead letrait	----|-|-|----|
derereQüe degrantma nere	-----|---|-|----|--⌫---|
Saceizpur celuoil	-----|--|--|---|
C har aitel	-⌫--||---|
Li soleilzquantlauaitEce le partset rait	-|------|----|-|---||--⌫-|---|-|-⌫---|
Enzelcumencement	--|-|----------|
Tutesaue rtudprent	---|-|--⌫---|----|
Tut estes builliss ant	--|--|--⌫--------⌫--|
For mentchalte ar dan t	---⌫---|----||--⌫---⌫|
Quantesten mi uenud Na dgueresdeuertud	----|--|-|-|----||-⌫|-----|-|-----|
Plusque li	---|--|-|
leu ̈ ns ad	---⌫-⌫-|-|
Quilesgreilles flans a d	--|--|-------|----|-⌫|
Suluncl euë ement Acest	-----|-⌫|---⌫----||---|
h umaineg ent	-⌫-----|-⌫--|
La cües ignefi e	-|---|-⌫------⌫|
Q ueiladdegrant bailli e	-⌫-|-|-|-|----|------⌫|
L e soleil perec ̧u s	-⌫|-----|-----⌫--⌫|
Parletensqu eest p luius	--|-|---|--⌫|--|-⌫----|
Maisn estpaspereç u s	---||--|--|------⌫-⌫|
Ainze s tueu ̈anus	---|-⌫-⌫|---⌫||--|
truuumenes crit	-----|-|--⌫---|
Nebroz le dit	-----|-|--|
Eenaüs t a s istr e nt	|-|----⌫|-⌫-⌫----⌫-⌫-|
Le sist signemi st rent	-|---|----|--⌫--⌫---|
Quee nlat inapelum	--|-⌫|---⌫-|-----|
uirginemparra isunE	-------|--|--⌫---||
enfr a nceisser mun	-|--⌫-⌫----|---⌫--|
Pulcelel eape lu m	------|-⌫|---⌫--⌫|
Pulcel e signefie	------⌫|-------|
Nelarrainel uus die	-|-----|--|--|--|
Co sequi fruitnenad	--⌫-|--|----|--|-|
Tantcum uirgi neserad	---|--|-----⌫-|----|
Sa cieztut e nsement	--⌫---|--|-⌫------|
Senz nu lredutement	---|--⌫|---------|
Queterref ruit	--|----|-⌫---|
n endune Nëarb re neb urz une	-⌫-|---|--|---⌫-|-|-⌫---⌫--|
Eni cele sais un	-|-⌫---|----⌫-|
Que aü stapeletlum	--|---⌫-|-----||-|
E purcesta chaisun	|--|---|-⌫------|
Issicestsigneadn um	---|---|----|-|-⌫-|
Sicumt r uuum	-|--|-⌫-⌫---|
HelprileditEle sedmeposer ent	-----|-|--||-|----|-----⌫--|
Enseptem bre eru ue re nt	-|------⌫--||--⌫--⌫--⌫-|
Libraf ust	----|-⌫--|
Par grantsut ilitét	--|----|---⌫------|
Quenu speise	--|--⌫|----|
En franchesche ra isunEç oes ttele strument	-|----------|--⌫---||--⌫|--⌫|--|-⌫-------|
Q uepart multüele m en t	-⌫-|---|---|-----⌫-⌫--⌫|
Cumli s oleilfait	--|-|-⌫----|---|
Quantcele part se	----|---|---|-|
F ait equinoctium	-⌫--|----------|
Queenfranceisapelum	--|-|-------|-----|
Que la n uite	--|-|-⌫--||
Suntde üeles lungu rsE purç o	---|-|-----|-----⌫-||--|--⌫|
fud dunét	--|-----|
eenpose ́tAi c ele	|------⌫-||-⌫-⌫--|
Del c elquisiest	--|-⌫-|--|-|--|
Si c ume t r u uumli sant	-|-⌫--|-⌫-⌫-⌫--|--⌫---|
Enze l cump ot	--|-⌫|----⌫-|
signeposerent	----|-------|
Scorpïun numere nt	--------|------⌫-|
Enuitourequiertdigne	-|------|--|--|----|
Qu e ilo üst	--⌫|-|-⌫---|
i cels ign e	-⌫--|-⌫---⌫|
Char çoe st bestep uignante	---|--|-⌫-|----|-⌫-------|
Hardieecumb atanteE sace izensement	-----||----⌫-----||----⌫-|-------|
Quantlisoleilzla tent	----|-|------|-|---|
Enicelecuntr ee	-|----|-----⌫-|
Duncest gresileg elee	---|--|-----||-⌫---|
En purçolenumerent	--⌫--|--|-|-------|
En ce lmois le	-|--⌫|---|-|
pos er ent	---⌫--⌫--|
Egyptïenissi	--------|---|
Sicum edit	-|---⌫|--|
Le neofmequeil	-|-----|--|-|
t ruueren t	-⌫-------⌫|
Ennouemb reposer en t	-|------⌫-|-----⌫--⌫|
SagittarieÇoestb este quese ttraireEde	---------|--|--|-⌫---|--|--⌫|-----||-|
humain efigur e	------⌫|-----⌫|
Tres que lace intureE	----⌫--|-|--⌫-----||
de tre ́s ad faiture	--⌫---⌫-|-|------|
Decheual e f igureEço	-|-----||-⌫----||--|
Egyp tïeneiss i	----⌫----|----⌫|
Cest nu mli e nposerent E issi lenumer ent	---|--⌫|-|-⌫--------||---|-|-----⌫--|
Purgresilquëau um	--|-----|---|--⌫-|
Enicelesa isun	-|----|--⌫---|
Ferent nuscunpugnuns	-----|--|---------|
Asnéseasmentuns	-|---||-|------|
E çoque i lad de r erre	|--|--|-⌫|-|--⌫-⌫---|
Cheualineman ere	--------|---⌫--|
Signe fie titant	-----⌫---⌫|----|
Lisoleilzquan t	-|------|----⌫|
cel epart se	---⌫|---|-|
Capr ic ornumdunerentAdece mbre e pos erent	----⌫--⌫----|-------||----⌫---||---⌫----|
Quen us cheureapelum Eparc es t e	--|-⌫-|-----|-----||--|-⌫--⌫-⌫|
Char s icumecele	---|-⌫|---|---|
uoltm unter	---|-⌫----|
L i sol eilzquantla	-⌫|---⌫---|----|-|
uentEcele partmaintent Elapar	---||---|---|-------||-|--|
es tuenu d	--⌫|----⌫|
De tute sa	-|---|-|
P aresse lacharereS en reparetarere	-⌫-|---|-|------||-|------|----|
E purcestachaisun	|--|---|-------|
Issi cest signea dnum	---|---|----|-⌫|--|
entend ement	------⌫----|
De lap aienegent	-|-|-⌫----|---|
Leunzimequ e tr uue re nt	-|-----|--⌫|--⌫---⌫--⌫-|
En genue r	-|-----⌫|
lepos erent	-|---⌫----|
Aquarïus adnun	--------|-|--|
Sul un c lelur raisun	---⌫--⌫|-|--|-----|
Chardu nc sunt tempest ez	---|--⌫-|---|-------⌫-|
P luies emals	-⌫----||---|
Enf eu rer	-|-⌫--⌫--|
C elquepeisuncl am erent	-⌫-|--|-----|--⌫--⌫----|
grantrai sun	----|---⌫--|
Cha rian enert	---⌫|-|-⌫-|--|
C hipou ̈stbeng arir	-⌫-|---⌫--|--|-⌫---|
Quilneuoille t murirSëilewe n enad	-|-|-|------⌫|----|--|-|--|-⌫-|-|
Quantil la	----|-|-|
r equerradE purceza chaisuns	-⌫-------||--|--|-⌫-------|
Fure n t truuét	----⌫-⌫|------|
del cell es cu ntrees	--|--|-⌫-|--⌫-----|
Suntissiapelees	---|---|------|
Suluncles diuer s tens	-----|--|-----⌫|---|
Delso leiledesuenzE	--|--⌫---||--|---||
s ulunc lesorét	-⌫----|--|----|
Sulunc lestempe s tez	-----|--|-----⌫-⌫--|
Helpri dit	-----|--|
Paruei rensunescrit	--|---⌫|-|--|-----|
Maisquibenen tendratEsut ilement	---|--|--|--⌫------||---⌫------|
iue rrad Ç oque	|--⌫---|--⌫|--|
a i cu ntét	-⌫|--⌫----|
Su lunc diuinité t	--⌫---|---------⌫|
Lepurratafe rm erEparueirdemustrerE	-|-----|---⌫--⌫-||--|---|--------||
c estall egori e	|--|---⌫-----⌫|
Nelarrai nelu usdie	-|-----|--|-⌫-|--|
Limultu nssignefie	-|-----⌫-|-------|
Lefilzs ainte	-|---|-⌫----|
Charsic ume	---|-|-⌫--|
Adlungscornsenlateste	-|----|----|-|-|----|
recercelez	---------|
Quem ultunap elez	--|-⌫----|--⌫---|
Qui p rim esfudt ruue ́t	--|-⌫---⌫-|--|-⌫----⌫-|
Ei ssifaite r em ent	--⌫--------⌫-⌫--⌫--|
Senznu lredutement	---|--⌫|---------|
De usquantlemund criat	--⌫-|----|-|---|----|
Forment sepur pen satEiçoentendum	------|-|---⌫---⌫--||---|-------|
Pa rlechefdel	--⌫|-|---|--|
Char enchef est	---|-|---|--|
Dunet fo rce	----|--⌫--|
N eian er tbensanez	-⌫|-||--⌫|--|----|
Chilaa de nfermetezE al tree ntente i	--|-|-⌫|-⌫--------||--⌫--|-⌫-----||
Limultuns unuerm	-|------|-|---|
Quilesco rns limaniüe	--|--|--⌫--|-|------|
Quantdelhurterseargüe	----|--|-----|-|-----|
Purç ol nument di uin	--|--⌫-|-----|--⌫--|
ueruecem en	-------|-|
lati nEcil	----⌫||--|
uermssignefie	----|-------|
quenel die	--|--|--|
Espi ri z quei laueit	----⌫--⌫|--|-⌫|----|
il puruëeit	-|--------|
Tutesl escrëatures	----|-⌫-|---------|
Dediuerses f igures E	-|-------|-⌫-----||
licornssigne fie nt	-|----|-----⌫---⌫-|
Suluncço quealq ua n td ïent	-----|--|--|---⌫--⌫-⌫|-⌫----|
Quisunt recer cel ez	--|---|-----⌫---⌫-|
