#META#TextURILancI	-----|------|----|
#ME TA#DEAF	---⌫--|---|
#META #FEW	-----⌫|--|
#META# ARLIMAhttps//www.arlima.n et/ad/chretien_de_troyes.ht m l#cha	-----|-----|-------------------⌫---------------------------⌫-⌫----|
#META# Au thor Ch rétien deTroyes	-----|--⌫---|--⌫------|-|-----|
# M ETA#AuthorBorn1130	-⌫-⌫---|---------|---|
#MET A# Au thorBo rnAmbc	----⌫-|--⌫------⌫----||
#META#Auth orDie d1180	-----|----⌫-----⌫|---|
#META#Autho rDiedAmba	-----|-----⌫-------||
#M ET A#A uthorFl1	--⌫--⌫-|-⌫-------|
#META#AuthorFl2	-----|--------|
#META#TextTitleLan celot	-----|--------|---⌫----|
#META#TextSub ti tle LeCheualier	-----|-------⌫--⌫--|-|--------|
Sile uialtfeire ali antendre	-|-|----|----||-|-------|
Etsonnon uialt deluiapr endre	-|--|--|----|-|--|---⌫----|
Elelireq uie r tquillidie	--|-|---⌫---⌫-⌫|-|-|-|--|
U ne foiz et au treliprie	-⌫-|---|-|--⌫--|-|---|
Tantqueilli ditparenui	---|--|-|-|--|--|---|
geditq u eie	-|--|-⌫-⌫|-|
Del rëa umele	--|----⌫--|-|
Foi quedoiDeuet	--|--|--|--|-|
Demonno nnesauroiz u ospoint	-|--|--⌫|-|------|-⌫-|----|
Lo rs l iditcele	--⌫-|-⌫|--|---|
Co ngiésis	--⌫----|-||
an iraarriere	-|--|------|
Etillidoneabe l e	-|-|-|---||--⌫-⌫|
Atant l a puceles a n part	|---|-⌫|-----||-⌫|---|
Etciltantqueil fumolttart	-|--|---|--|-|-|---|---|
Acheualchi é sanzc onpaignie.	|---------⌫-|---|-⌫---------|
Aprésuespresandroitcon p l ie	-----|------|------|---⌫-⌫-⌫-|
Si co milson chemin ten oit	-|--⌫|-|--|-----|---⌫--|
u itun cheualie r qu iuen oit	-⌫-|-|--------⌫|--⌫|---⌫--|
D elboisouilauoi tchac ié.	-⌫-|---|-|-|----⌫|----⌫---|
Cilue no itle	--|--⌫--⌫-|-|
hia ume laci é	---⌫--|----⌫-|
Eta saue niso n tr oss ee	-||-|--⌫----⌫|--⌫---⌫-|
Dexli auoitdon e e	--|-|----|---⌫-⌫|
grantchaceorf er rant .	----|------|-⌫--⌫----⌫|
Liu auasorsmolttos terrant	-|-⌫------|---|---⌫|-----|
uientancontre le ch eualier	----|-------|-|--⌫------|
Si l e priedeherbergier	-|-⌫|---|-|---------|
Sir efet ilnuiziertpar ta ns	---⌫|--|-|---|---|--|--⌫-|
De herbergieresth uimést ans	-|---------|--|-⌫-----|-⌫--|
Seldeuezfeirepar reison	--|----|----|--|-----|
une moie meison	--|---|-----|
Cipresoug e uos manrai	-|---|-|-⌫|--|-----|
E in znusmia lzneuo sherberia	-⌫--⌫|--|---⌫-|-|--⌫|-------|
L oncmonp ooir queie f era i	-⌫--|--|-⌫---|--|-|-⌫---⌫|
S i luo sple stetl ie z	|-⌫|--⌫|---⌫-|-|-⌫--⌫|
g en r esuim olt li ezfetcil.	|-|-⌫---|-⌫--|--⌫-|--|---|
anuo iesonfil	----⌫-|--|--|
Liuauas orstotm aintenant	-|-----⌫--|--|-⌫--------|
Porfeir el oste l auen ant	--|----⌫||----⌫|----⌫--|
Etporlacuisine	-|--|-|------|
Etliuasl ez sa ns arester	-|-|----⌫-|--⌫-|------|
Fis t tantost son c omandemant	---⌫|------|--|-⌫---------|
Moltuolantiersetlieemant	---|---------|-|-------|
E t s anuet m o ltgr an t	-⌫||-|--|-⌫-⌫-|--⌫--⌫|
quide lhastern	--|--⌫|-----||
Ontapr e ́s	--|---⌫-⌫-|
lorchemintenu	--|-----|---|
Tantqu ilsontalostel uenu.	---|-|-|---|||----|----|
Liuauasors auoi ta fame	-|-------|----⌫||---|
Unebie nafeitiee	--|---⌫|-------|
Etcinqf i lzqu il	-|---|-⌫-⌫-|-|-|
a u oitmoltchi ers	-⌫-⌫--|---|---⌫--|
Troizuaslez etdeuscheualiers	----|-----|-|---|---------|
Etdeus fillesgentes et	-|---|-----|-----|-|
Quiencoreestoi entpuceles.	--|-----|-----⌫--|-------|
N estoient	|-------|
pasdelpa ïsné	--|--|--⌫--|--|
Mes ilestoientanse rré	--|-|-------|----⌫---|
Et prisontenu iauoie nt	-|-----|---||-----⌫-|
Moltlonguemant	---|---------|
ets iestoient	-|-⌫|-------|
DelrëaumedeLogresné.	--|------|-|-----|---|
Liuauasorsa	-|-------||
L echeualierdedanz	-⌫|--------|-----|
E tla da mealenco n trecort	-⌫|-|--⌫-|||----⌫-⌫--|---|
etsesfil lessaillent	-|--|---⌫--|-------|
Porlu iseruirtrest u i t sebail l e n t	--|--⌫|-----|-----⌫-⌫-⌫|-|----⌫-⌫-⌫-⌫|
Silesalu ̈e n tetdesce nd ent.	-|-|----⌫--⌫-⌫|-|-----⌫--⌫---|
Alorsei gnorgairesnantendent	|--|---⌫---|-----||--------|
Nele ss ero rs	-|--⌫|-⌫---⌫-|
neli c inc frere	-|-|-⌫--|----|
Car bien sauoient quelor pere	--|---|-------|--|--|---|
uoloit q ueensi	-----|-⌫-|---|
le feïssent.	-|---------|
Molt lenorentetconioïssent	---||------|-|-----------|
illorentdes armé	-||----|---⌫----|
Sonmant elliaafublé	--|----⌫-|-||------|
L un edes deus	|--⌫|--|---|
filless on	-----|-⌫-|
A uc ol limet etdels uenl	-⌫|-⌫-|-|--|-|--|-⌫--||
Silfubien seruiz	|-|-|---|-----|
Decene q uieri eia	-|-|-|-⌫---|-⌫|-|
Mesqua ntceuintaprésman gier	--|---⌫-|-|---|-----|---⌫---|
ot pui sfetdangier	-|---⌫|--|------|
Deparler d afeiresplusors .	-|-----||------|-------⌫|
Pre mierema ntliua uas ors	---⌫-------⌫-|-|--⌫---⌫--|
Coman ça sonost ea enquerre	-----⌫--|--|---⌫||-------|
est oitetdequ el te rre	---⌫--|-|-|--⌫-|--⌫--|
Messo nnonne li anqu ist pas.	--|--⌫|--|-|-|----⌫--|---|
respontenes lepas	------|----⌫----|
Delrëaume deLogre ssui	--|------|-|-----⌫|--|
Einzmesa ncest	---|--|-⌫|---|
p a ïsne fui.	-⌫-⌫--|-|---|
Etquant li uauasor s	-|----|-|-------⌫|
Si san meruoilleduremant	-||-|--------|-------|
Ets afamee t	-|-⌫|---|-⌫|
sianfa nt tuit	-|----⌫-|---|
au n seu lc ui molt nenuit	|-⌫|---⌫|-⌫-|---||----|
Si liancomance nta	-|-|---------⌫-||
Ta ntmarif uste s biax	--⌫-|--||-⌫----⌫|---|
Ta ntes tgra nz domagesdeuos	--⌫-|--⌫|---⌫-|------|-|--|
Co rsero iz	|-⌫|----⌫-|
ausicom enos	---|---⌫|--|
E tanseruageetaness il.	-⌫|-|------|-|-|---⌫--|
-Etdo mes tesuosdoncfet	|-|--⌫|--⌫--|--|---|--|
-Sirede uostreterre	|---|-|-----|----|
Ancestpa ïsamainz	-|---|--⌫--||----|
D eu ost reterrean seruitume.	-⌫|-⌫---⌫-|----|-|---------|
Maleoite soittexcos tum e	-------|---|--|---⌫---⌫|
Etcilauoecquilamaintienent	-|--|----|--|-|----------|
Qu enu lestrang eçane uienent	--⌫|--⌫|-------⌫|--|-|------|
Qu aremenoir nelor	-||-------|-|--|
couain gn e	------⌫--⌫|
l aterrenes detaign e	-⌫|----|--|-------⌫|
Carqui seuialt	--|--|-|----|
antrer i puet	-----||---|
Mesare menoi rliestuet.	--||--⌫-----⌫|-|------|
Deuosmeïsmes e st or pes	-|--|-------|-⌫-|-|--|
istroizce cu it	------|-|--⌫-|
-Siferaife t ilseiepu is.	|-|----|--⌫|-|-|-|--⌫--|
Liuauasorsli redit	-|-------|-|----|
C omant Cuidiezanuosi ssir	-⌫----|------|-|--|-⌫---|
-OïlseDe u uient apleisir	|---|-|--⌫|----||------|
en fera imonpooir tot.	-|----⌫|--|----|---|
-Do nc a nistr oient sanzredo t	|--⌫-|-⌫|----⌫----|---|----⌫|
Tre stuitli autrequitemant	---⌫----|-|----|--------|
Carpuisqu e li unslëa umant	--|---|--⌫|-|--|----⌫----|
Ist ra forsdeceste prison	---⌫-|---|-|----|-----|
Tuit li au tres anz mesprison	---|-|--⌫--|-⌫--|--------|
An p orrontissirsanz desfanse.	-|-⌫-----|----|---|--------|
Atantliu auasors	|---|-|-⌫------|
Quan l iauoitditetconte ́	-|-|-⌫|----|--|-|-----⌫|
cheualiers de	---------|-|
gr antbo nté	--⌫--|--⌫---|
forceu enoit	----|-⌫----|
Po r lareïne quetenoit	--⌫|-|-----|--|-----|
Me leaganzlifi lz le roi	--⌫------|-|--⌫-|-|--|
EtditCertesie pa nsetc r oi	-|--|-----|-|--⌫-|-|-⌫-⌫-|
Quecesoi t	--|-|---⌫|
ildirailidonques.	-|----|-|-------|
Lo rsli distNe me	--⌫-|-|---|-|-|
celezo nques	----|-⌫----|
Si reri endeuostre besoigne	--⌫-|--⌫-|-|-----|-------|
Paru n couantque	--|-⌫|-----|--|
Cons oilau mial z que	----⌫--|-|----⌫|--|
Ie meïsmespreu iau ra i	-|-------|---||--⌫--⌫|
Se uosbienfeirelepöez .	-|--|---|----|-|-----⌫|
mand esnöez.	|-|-⌫-------|
Por uostr e	--|-----⌫|
preuetporlemien.	---|-|--|-|----|
Ancest pa ïs cecuitie bien	-|---|--⌫--|-|---|-|---|
E st esue nuzporlarei ̈ne	-⌫--⌫-|--⌫--|--|-|---⌫--|
Antrece ste	----|--⌫--|
gentsarradi ne	---|-------⌫-|
Qui peio r qu eSa rrazin so nt.	--|----⌫|--⌫|--⌫-----|--⌫--|
Etli cheual ierslirespont	-|-|------⌫---|-|------|
Onquesni uin gpora utre chose.	-----|||---⌫|--|-⌫---|-----|
l ire scorre tesoil	-⌫|--⌫-----|-----|
Ets a i gran tmesti erd e	-||-⌫|----⌫|-----⌫-|-⌫|
Conseilli e z mois e uossauez.	---------⌫-⌫|--|-⌫|--|-----|
Et cildi tSire uos auez	-|--|--⌫|---|--|---|
Anp r iseuoiemolt	---⌫-⌫--|---|---|
greu ainne.	----⌫-----|
Lauoie ouuosestes	-|---|-|--|----|
AuPont de lE sp ee tot dr oit.	-|---|-||-⌫--⌫-|--|--⌫---|
Consoilcroireuoscoue ndroit	------|-----|--|----⌫-----|
Seuoscroire m e uol ïez	-|--|-----|-⌫|---⌫---|
delEspeeirïez	-||----|-----|
Paru ne plusseür euoie	--|-⌫-|---|-----⌫|---|
Eti em eneruosiferoie.	-|-⌫|-⌫---|--||------|
menor couoi t e	----|-----⌫-⌫|
LidemandeEst	-|------|--|
eleaus idr oite	--|---⌫|--⌫---|
Comeces te uoie	---|---⌫-|---|
- Nenilfe t ilei nc ̧o is i a	|----|--⌫|-|--⌫--⌫--⌫-|||
Pluslo ngue uoie	---|--⌫---|---|
e tplus seu ̈re.	-⌫|---|---⌫---|
Etc il dit De	-|-⌫-|--|-|
cenaigecure	-||-|-|---|
cest i meconseilli ez	----⌫|-|---------⌫-|
Ca r ie i s ui apareillie z .	--⌫|-||-⌫-|----------⌫-⌫|
-S ireu oiri a	|-⌫--|-⌫--|-⌫|
Se uosal e z paraut releu	-|--|--⌫-⌫|--|---⌫-|--|
Dema i nu enroiz aun	----⌫-⌫|-⌫-----||-|
Outo stpor roiz auoir	-|--⌫-|---⌫---|----|
SanonliP assagesdes	||--|-|-⌫------|--|
uolezque ieuosd ie gierres	----|--|-|--|-⌫-|------|
Delpassagecom	--|------|--|
Ni puetpas s ercunss e usch euax	||---|---⌫-⌫-||--|-⌫-⌫-|--⌫---|
Lez alezniiroientpas	--||--|||------|--|
Duih omeetsi est litrespas	--|-⌫--|-|-|--|-|------|
Biengardezetbiendesfanduz.	---|-----|-|---|---------|
Ne uossera	-|--|---|
Mainte nantqueuosiuandro iz	------⌫---|--|--||------⌫-|
Des pee et delance iprandr oiz	|--⌫--|-|-|----||------⌫--|
Maintcopetsan	----|--|-||-|
rand roiz assez	----⌫---|----|
soiezoutrepassez.	----|----|------|
illi ot tot	-|-|-|--|
Unscheua liersauantsetre t	--|-----⌫----|----|-|---⌫|
Qu iestoit	--⌫|-----|
filzau uauasor	---|-|------|
Etdi t Sireauoec cestseignor	-|--⌫|---|----|---|------|
M aniraise ilne uo s	|-|---|-|-|-|--⌫|
uns de s uas le z sel ieue	--|--⌫|---⌫--⌫|-|-⌫---|
Etdit Ausinsiiraig i é.	-|--|-----||---|-⌫-⌫--|
Etli pereand one	-|-|---|-|-⌫--|
Moltuole ntie r sae nbedeus.	---|----⌫----⌫-⌫||-⌫-------|
Orne s anira	-|-||-|--|
Li cheualierssesanmercie	-|---------|--|-|-----|
Que mol taime lor conpaig ni e.	--|---⌫|---|--|-------⌫--⌫-|
lesparolesremainnent	--|------|---------|
Le che u alier couc hieranm a in n ent	-|---⌫-⌫----|----⌫---|-|-⌫-⌫--⌫-⌫--|
S idorm ise talanten ot.	-⌫|----⌫|-|-----|-|--|
Tantost conleior ueoirpot	------|--|-|--|----|--|
Se lieuesuset cil leuoient	-|----|--|-|--|-|-----|
Quiauoec l ui a le rdeuoient	--|----|-⌫-|-⌫--⌫|-------|
Sisont totmaintenantleué .	-|---|--|---------|-----⌫|
Lich eualierse sontarmé	-|--⌫------|-|---|----|
S i sanuo nt et	-⌫||-|--⌫-|-|
ont congi épris	--|-----⌫-|---|
Etliuaslezses t	-|-|-----||--⌫|
d euant mis	-⌫----|--|
Ettant loruoiea nsanblet ienent	-|---|--|---|-⌫------|-⌫-----|
QuanPa ssa gede s	-|-|--⌫---⌫-|--⌫|
Pierresuiene nt	------|-----⌫-|
deprimetotdroit.	-|----|--|-----|
Une bretesche enmiauoit	--|--------|-|-|----|
Ouil auoit	-|-|----|
un h om e adé s.	-|-⌫--⌫|----⌫-|
Einçoisque ilue nissentpres	-------|--|-|--⌫------|---|
Cil qui sor labre teschefu	--|--|--|-|---⌫-----|-|
criea grant uertu	---||----|----|
Cistuientpo rmal Cist ui entp or	---|----|--⌫|--|---|--⌫--|-⌫-|
un c heual	-|-⌫----|
Uncheua lier	-|-----⌫---|
sozlabr etesche	--|-|--⌫------|
Ar m é d un earmeüref resche	--⌫-⌫-||--⌫|-------|-⌫-----|
Etdechascune	-|-|-------|
part serg enz	---|----⌫--|
Quite noienthachestr anchanz.	--|--⌫-----|-----|--⌫-------|
Etquant il aupassage aproche	-|----|-|-|------|------|
Cilqui legar de lireproche	--|--|-|---⌫-|-|-------|
La charrete molt laidemant	-|-------|---|--------|
Etdi tu assaxgranthardemant	-|--⌫|-⌫----|----|--------|
Asfet etm oltesfosnaïs	-|--|-|-⌫--|-|--|----|
Quant antrezie ́san ces t païs.	----|-----|--⌫-|-|---⌫|-----|
Iahomçaue nirnedeu ̈st	-|--|--|--⌫--|-|---⌫--|
Qui sotcharrete	--|--|-------|
estéeüst	----|----|
ioïrn etand oint	----|-⌫||-|-⌫---|
Atan tliunsuer s lautrepoint	|---⌫|-|--|---⌫||----|----|
Quanquecheual p orent aler	------|-----|-⌫----|---|
E t cilquidoit les	-⌫|--|--|---|--|
pasg arder	--|-⌫----|
P e ço iesalanc e a	-⌫-⌫---⌫-|-|----⌫||
ande uscheoir le s	----⌫-|-----|--⌫|
Etcilan lagor ge	-|--|-|-|---⌫-|
Trestotdroit par	------|----|--|
d esuslapann e	-⌫---|-|----⌫|
Delescusil egiete	-||---|-|-⌫|----|
Desusle spierresantrau e rs	----|--⌫|------|-|----⌫-⌫-|
Et lisergentashaches saillen t	-|-|------|-|-----|-------⌫|
Mes aesciant a	--||------||
luifaillent	--|-------|
nonttalant defe i rema l	|--|-----|-|--⌫-⌫-|--⌫|
Ne a lui ne ason cheual.	-||--|-||--|------|
E tlic he ualiersparç oit	-⌫|-|-⌫--⌫------|-----⌫--|
Quilneluoelentgreuer de	-|-|--|------|-----|-|
onttalantdelu imalfeire	--|-----|-|--⌫|--|----|
Si na soingde se s pee treire	-|||----|-||-⌫-⌫--|-----|
passeoltr esanztançon	----|----⌫|---|------|
Et a pre ́slui siconpaigno n.	-|-⌫---⌫-|--|-|---------⌫-|
Etli unsdax	-|-|--||-|
alautredit	||----|--|
C onquest elch eualier	|-----|-⌫-|--⌫------|
Nen usa luinesaparoille.	-|-⌫-||--|-||---------|
feite grant meruo ille	----|----|-----⌫---|
Quipar ci es t pas seza	--|--|-|--⌫|---⌫--||
frer eporDeu cart	----⌫|--|--|--||
Fe tlich eualie r s	--⌫|-|--⌫------⌫-⌫|
as onfrere	|-⌫-|----|
Tantquetu uaig nesamon	---|--|-|----⌫--||--|
Silicontece ste a uanture.	-|-|----|--⌫--|-⌫-------|
Et liuaslezaficheetiur e	-|-|-----|-----|-|---⌫|
Que iadireneli	--|-|---|-|-|
Neiamesne sa n partira	-|-|--|-||-⌫|------|
De cecheual i er t antquillait	-|-|------⌫-⌫-|-⌫--|-|-||--|
Adobéetcheual ier fait	-----|-|------⌫--|---|
autfeirelemes sage	--|----|-|---⌫---|
Se ilena sigrantcorage.	-|-|-||-|----|------|
A ta nts an uont	|--⌫-||-|---|
tu it troi	--⌫-|---|
po testrenonebasse.	--⌫|----|---|-----|
uersnone unh ometr ou éont	---|---|-|-⌫--|--⌫--⌫-|--|
Qui lordem ande	--|--|---⌫---|
quiil sont	--|-|---|
EtildïentC he u a liersomes	-|-|-----|-⌫--⌫-⌫-⌫---|----|
Qui an nozafeiresalo mes.	--|-|--|------|---⌫---|
dit au ch eualier	--|-|--⌫------|
Sireo ru ol dro ieherbergier	---|-⌫|-⌫--⌫---⌫-|---------|
uosetuozconpaignons ansanble.	--|-|--|----------|--------|
ditqu ilisanble	--|--⌫|-|-----|
Q ue des autre s	-⌫-|--|-----⌫|
soitsireetmestre.	---|---|-|------|
lidit Neporroi testre	-|--|-|------⌫|----|
Q ue ieh erb erias seace ste ore	-⌫-|-|-⌫---⌫-----⌫-||--⌫--|--|
C arm aluésestqui sedemore	-⌫-|-⌫-----|--|--|-|-----|
Nequ iaeiseserepose	-|--⌫||---|-|-----|
aenprisegrantchose.	|------|----|-----|
Et ieait ela fei r eanpris	-|-|-|-⌫-|-⌫---⌫-⌫|-----|
Qua p iece niertmes	-||-⌫---||---|--|
os tex pris.	--⌫--|----|
Etl ihomliredit	-|-⌫|--|-|----|
Mesoste xnestm i e	--|----⌫||--|-⌫-⌫|
Einzest gr antpi ec e çaauant.	---|--|--⌫--|--⌫--⌫|--|-----|
ueni ri pöe z par couant	----⌫||----⌫|--|-----|
Q ueadroite ore	-⌫-||-----|--|
ostel pre ndroiz	----|---⌫-----|
Que tar t iertq uant uos iuendroiz.	--|---⌫|---|-⌫---|--||--------|
- Et iefet ili irai don ques.	|-|-|--|-||---|---⌫----|
sem etadonques	-|-⌫-|-------|
Lihomdeuantquilesanmainne	-|--|-----|--|--|-|-----|
Etcil aprés la uoieplai nne.	-|--|-----|-|---|----⌫---|
E tquant il ontgr antpiecea lé	-⌫|----|-|--|--⌫--|----|-⌫--|
S o nt unescüieranc ontré	|-⌫-|-|-------|---⌫-----|
Quiu enoittre s totle ch emin	--|-⌫----|---⌫-⌫--|-|--⌫---|
Lesgranz galozsorunro ncin	--|----|----|--|-|--⌫---|
Grasetreont co m une pome.	---|-|----|--⌫|--|----|
escüi ers dit	------⌫--|--|
Siresire uenezplus tost	---|---|----|---|---|
uen u sorc es de	---⌫|--|-⌫-|-|
ceste terre	----|----|
comancieela g ue rre	--------|-|-⌫--⌫--|
Etla t ançon etlam eslee	-|-|-⌫-----|-|-|-⌫----|
Et dïent quancestec ontr ee	-|-----|-|-|----|-⌫----⌫-|
Se stu nscheua liersanbatuz	|-⌫-|-⌫-|-----⌫----|------|
mainzleu ssest conbatu z	----|---⌫||--|-------⌫|
l ipue tcontretenir	-⌫|---⌫|----------|
Passageou iluuelleuenir	------|-|-|-----|----|
Queil nipastcui	--|-|||---|--|
qu il enui t .	-|-|----⌫-⌫|
C e d ï ent	-⌫|-⌫--⌫--|
ancestpa ïs t uit	-|---|--⌫--|-⌫--|
Que illesdeliuerra toz	--|-|--|--------|--|
Et metralesnozaude soz.	-|----|--|--|-|--⌫---|
Orsiuoshastezp ar mo nl os	-|-|--|-----|-⌫-|--⌫|-⌫-|
Lors se met lihom	---|-|--|-|--|
Etcila nsontmoltesioi ̈	-|--|-⌫|---|---|-----⌫|
Quiautr esi lor ent oï	--|----⌫--||--⌫--|--|
Carilu oldronteidi eraslor.	--|-|-⌫------|----⌫-|-|---|
Et ditlifilz auuauasor	-|--|-|---|-|------|
Si re öezque ditcists ergenz.	--⌫-|---|--|--|---|-⌫------|
Alonssieido ns	----|-|----⌫-|
Quisontmes léacesdela	--|---|---⌫--||--|-|-|
totadés s	--|----||
Quilnesatantençoiss adrece	-|-|--|----|------||-----|
Molttostuers	---|---|---|
une fort ere ce	--|----⌫---⌫-|
Quisoruntertr ees to it ferm ee	--|--|-|-----⌫|--⌫--⌫-|----⌫-|
Etcor ttant	-|---⌫|---|
quil uienta le ntree	-|-|----|||-⌫----|
Etcilaprésaesperon.	-|--|-----||-------|
Li b ai lesestoit anuiro n	-|-⌫--⌫--|-----|------⌫|
Closd ehau tmuret	---|-⌫|---⌫|--|-|
defos sé.	-|---⌫---|
Tant ostqu	----⌫--|-|
ilfu rentanzantré	-|--⌫---|--|-----|
Silor lessie ren taua ler	-|--|------⌫---⌫|---⌫--|
ne s anpoïssentral er	-||-|--------|---⌫-|
Uneporteapre ́sles talo ns.	--|----|----⌫-|--|----⌫--|
Et c ildïent Alons	-|-⌫-|-----|----|
Queci n aresterons	--|-||---------|
Apre ́sl om e plusque	----⌫-||--⌫|---|--|
uonttantqu i lu ienentalissue	---|---|-|-⌫|-⌫-----|||----|
lor fupasdesfan d ue	--|-|--|------⌫-⌫-|
M esmain tenan tqu ec ilfufors	-⌫-|----⌫-----⌫|--⌫|-⌫-|-|---|
Lilessiere ntaprés lecors	-|--------⌫-|-----|-|---|
Che oirune por tecolant.	---⌫--|--|---⌫-|------|
Etcilan furent	-|--|-|-----|
moltdolant	---|-----|
Q uant dedanzanferméseuoient	-⌫---|-----|-------|-|-----|
Cari lcuid en t	--|-⌫|----⌫--⌫|
quanchante ́ soient	-|--------⌫|-----|
Mes ci ld on plusdire uosdoi	--|--⌫|-⌫-|---|---|--|--|
Auoi tunanelan	----⌫|-|---|-|
Donla pierre tel force auoit	--|-|-----|--|----|----|
Qu anchantemanz	-|-----------|
n elepooi t	-⌫|-|----⌫|
Te nirpuis q uil	--⌫--|---|-⌫|-|
lau oit u eüe.	|--⌫--|-⌫----|
Lanelme td euant	|---|--⌫|-⌫----|
Sesg arde la pierr eet si dit	|---⌫---|-|-----⌫|-|-|--|
Dame dame seDex m	---|---|-|--||
Orauroieie grantmestier	-|-----|-|----|------|
Queuosmepoïssiez eidie r.	--|--|-|--------|-----⌫-|
Celedameune feeestoit	---|---|--|--|-----|
Q uilaneldonéliauoit	-⌫-||---|----|-|----|
norria nsanfance	----|-⌫||------|
Sauoitan l imoltgra ntfiance	|----|-|-⌫|---|---⌫-|-----|
Que e l eanquelle uqueil fust	--|-⌫-⌫|-|---|--⌫|--|-|---|
Secor ree tei dierlideu ̈s t	-----⌫-|-⌫|--⌫---|-|---⌫--⌫|
Mes il uoitbienasonapel	--|-|---|---||--|---|
Eta lapi erredelanel	-||-|--⌫---|-||---|
Quilniapointdanchantemant	-|-||||----||-----------|
Etsettrestot ce rtain nemant	-|--|------|--⌫-----⌫-----|
Qu ilsontanclosetans erré.	-|-|---|-----|-|---⌫-----|
Lorsuienentaunhuis barré	---|------||-|---|-----|
Dunepostorn e estroiteet bas se.	|--|-------⌫|-------|-|---⌫--|
Lesespees traient	--|-----|------|
Sifier t tant chascunsdesespee	-|----⌫|---|-------|-||----|
orent la barre colpee.	----|-|----|------|
Quanti lfurent	----|-⌫|-----|
forsdelator	---|-|-|--|
Et comanc iéuoient lestor	-|------⌫--|-----||----|
Aualles pr ezm o ltgr a ntet	---|--|--⌫-|-⌫-⌫-|--⌫-⌫-|-|
Quedune partqued au treau	--||--|---|--||--⌫--|-|
iau dedes uil ai ns.	---⌫-|--|---⌫--⌫--|
Quantil u indrentauallespre z	----|-|-⌫------|---|--|---⌫|
Come sa gesetatremprez	---|--⌫--|-|--------|
auua uaso rparla	-|--⌫----⌫|----|
Sir eeinzque	---⌫|---|--|
no suaign iemes l a	--⌫|-----⌫----|-⌫|
Fer i ̈emescecuitsauoir	---⌫-⌫----|-|---|-----|
Qu iiroitanquerreet sauoir	--⌫|----|-------|-|-----|
Dequelpartlesnoz	-|---|---|--|--|
genzset ienen t.	---|-|-⌫-----⌫-|
Ienesai deque lpart il uienent	-|-|--|-|---⌫|---|-|------|
Mesgiira iseuosuolez.	--|||---⌫|-|--|-----|
- Iel uo elf etiltost	|--|--⌫-|-⌫-|-|---|
Ettost reueniruoscouie n t.	-|---|------|--|-----⌫-⌫-|
Cil iuatostet tostr euient	--||-|---|-|---|-⌫-----|
EtditMoltnosestbien cheü	-|--|---|--|--|---|----|
certainnemantueu ̈	------------|---⌫|
Etli cheualiers sadreça	-|-|---------||------|
uerslamesle e	---|-|-----⌫|
mainte nant	------⌫---|
S anc ontreuncheua l ieruenant	|---⌫----|-|-----⌫-⌫--|-----|
Etioste alui self iert	-|----||--|--|-⌫---|
Parmilu e l que il labatmort.	----||-⌫-⌫|--|-||---|----|
Etliuasleza	-|-|-----||
pié de sce nt	---|--⌫---⌫-|
L e cheual	-⌫|-----|
au che ualierprent	-|---⌫-----|----|
Etlesarmes q ueil	-|--|----|-⌫-|-|
Sisan arm ebel et	-||-|---⌫|--|-|
Quant armezfusanzdemorance	----|----|-|---|--------|
Monte etprantlescuetlalanc e	----|-|----||---|-|-|----⌫|
Qu iestoitgrosseetroide et peinte	--⌫|-----|-----|-|----|-|-----|
Au cost e ́otlespeeceinte	-|----⌫-⌫|-||----|-----|
Tranchan tetflanbeant	--------⌫|-|--------|
estap résson frer e	--|--⌫---|--|----⌫|
Etaprésson	-|-----|--|
seignorue nuz	------|--⌫--|
bien s iest	---|||--|
maint e nuz	-----⌫-⌫--|
Anlameslee	-|-|-----|
u negrantpiece	-⌫-|----|----|
Qu eilrontetf antetd epiece	--⌫|-|---|-|-⌫--|-|-⌫-----|
hiaumes e thaubers.	------|-⌫|-------|
N es ga rantis tnefuz ne fers	-⌫-|--⌫------⌫|-|--|-|---|
Cui ilataintq uilnel	--|-|-----|-⌫|-|-||
Ou morz ius del cheualneuolt.	-|---|--|--|-----|-|----|
Ilseu ssitre sbien	-|---⌫|-|---⌫|---|
le feisoit	-|------|
Que trestoz l es	--|------|-⌫-|
desconfisoit	-----------|
Et cilmoltbien leref eisoient	-|--|---|---|-|---⌫-------|
Qui auoecluiuenuestoient.	--|----|--|---|--------|
Mes ci ldeL ogressenmeru oillen t	--|--⌫|-|-⌫----||-|----⌫------⌫|
nelcon ui ssentetcon soillent	--|---⌫--⌫----|-|---⌫-------|
Tan tandeman dentliplusor	---⌫|-|-----⌫---|-|-----|
QuanlordistSeignorceest cil	-|-|--|---|------|-|--|--|
Qu ino sgite ra toz dessil	--⌫|--⌫|----⌫-|--||----|
grantma leürté	----|--⌫-------|
Ounosauonslon c	-|--|----|---⌫|
Se l ideuons grant enor	-|-⌫|-----|----|---|
Qantporn osfors deprisontre ire	---|--|-⌫-|---|-|-----|---⌫--|
Atantperilleusleus passez	|---|--------|---|-----|
Etpas seraanc or a ssez	-|---⌫---|---⌫-|-⌫---|
Molta afeireet molt	---|||----|-|---|
celuiioienenait	----|---||-|--|
Quantceste noue leontoïe	----|----|----⌫-|--|---|
Molta nest lorge nzesioïe .	---|-⌫|--|--|--⌫-|-------⌫|
Qua ntlano uele e sttant	---⌫-|-|--⌫---|-⌫-|---|
Queele fuatoz	--|--|-||--|
