asonbonseigneurlooysfilzduroy	|--|--|-------|----|---|-|--|
compaignon sc u i de ntqueuousmesdis iésd eulz	----------⌫|-⌫-⌫-⌫--⌫-|--|---|------⌫---||---|
se uousp arlés aumanger dec ho se	-|---|-⌫-----|-|-----|-|-⌫--⌫-|
quinousdoieplaire si ditesha ut	--|---|---|-----|-|----|--⌫-|
siu oustais i é s .	-|-⌫--|----⌫-⌫--⌫||
quantl eroy e stoitenioie simedisoit senescha l	----|-⌫|--|-⌫----|-|---|-|-|-----|--------⌫|
or mediteslesraisonspo ur quoy preu domme	-|-|----|--|------|--⌫-|---|----⌫----|
uautmiex quebeguin.	---|---|--|-----||
lorss iencommencoitla tencon de moyetdemaistre	---|-⌫|-----------|-|-----|-|--|-|-|------|
quant nousauionsgrantpiescedesputési rendoitsasen tence	----|---|-----|----|-----|-------|-|------|-|---⌫----|
et dis oi tainsimais trerobertieuourroiea uoirle	-|---⌫--⌫|----|----⌫--|-----|-|-------|-⌫---|-|
nondepreudomme	--|-|--------|
mesqueie l efeusseet tout leremenant uousdemourast	-----|-|-⌫|-----|-|---|-|-------|---|--------|
carpreudommeest	--|--------|--|
sigra ntcho se etsi bonne ch ose	-|---⌫-|---⌫-|-|-|----|--⌫--|
aunommer enplistil la bouc he	-|-----|------|-|-|----⌫-|
a ucontrairedisoit -ilqu e male	-⌫|--------|-----||-|--⌫|---|
chosee st oi tdeprendredel autruicarlerendr e	----|-⌫--⌫--⌫|-|------|-||-----|--|-|-----⌫|
estoitsigrief quen eisau	-----|-|----|--|-⌫--|-|
nommerle rendre	-----|-|-----|
esc orchoitlagorgeparquiy so ntle s	---⌫------|-|----|--|--||--⌫-|--⌫|
quie xsen efient l es ratiausaudiablequitouz iours	----⌫|---⌫-----|-⌫-|------|-|-----|--|---|----|
ti reariereuer sl iceulz qui	--⌫-|-----|---⌫|-⌫|----|--|
laut ruichaste luueulent rendre .	|---⌫--|------⌫|-------|-----||
ets isoutilment lefa itle d y ablecara us	-|-⌫|---------|-|--⌫-|-|-⌫-⌫---|--|-⌫-|
gransus uriersetausgransrobeu rs lesattic e -il	----|--⌫-----|-|--|----|-----⌫-|--|-----⌫||-|
siq ueilleurf ait d onne r	-|-⌫-|-|---|-⌫--|-⌫----⌫|
pour dieucequeildeuroien t	---|---|-|--|-|--------⌫|
il medistque iedeisseau roy	-|-|---|--|-|-----|-|--|
tibaut depar liqueil se pr eist garde	-----|-|--|-|--|-|-|--⌫---|----|
alam es ond es	|-|-⌫--⌫-|-⌫-|
preescheur sd eproui nsqueilfa isoitque	----------⌫|-⌫|-----⌫-|--|-|--⌫----|--|
il nenc ombrast l	-||---⌫------||
amede l ipour l es granz deniersqueily	--|-|-⌫|---|-⌫-|----|------|--|-||
sageshomestand isqu e ilu iu entdoiu entf air edul e ur	----|----|----⌫----⌫|-|-⌫--⌫--|----⌫--|-⌫---⌫|-|-⌫-⌫-|
aussicomme	----|----|
executeu rze n deuroien tfaire .	--------⌫-|-⌫|--------⌫|----||
cesta sauoir	|--||-----|
queles bon sexec uteursdesfo ntp r emi erement	--|--|---⌫|----⌫-----|-----⌫-|-⌫-⌫---⌫------|
le storsfai z	--⌫|-------⌫|
aumorte t re ndentlautruichatel etdu	-|---|-⌫|--⌫----||-----|-----|-|-|
rem enant del	---⌫----|-||
auoira u mor t font aumosn es .	----|-⌫|---⌫|---|------⌫-||
lesaint r oyfuta co r beil aunepen thec oustela	-|----|-⌫-|--||--⌫-⌫---||--|---⌫----⌫----|-|
ot quatorzeu inscheua liers .	-|-------|-⌫--|-----⌫----||
l e r oy descendiapr e s mangerou pr ael	-⌫|-⌫-|-------|---⌫-⌫|-----|-|--⌫--|
desouzla chapell eetparlo italuysdela	-----|-|-------⌫|-|-----⌫-|||--|-|-|
por teaucon tedebretaig nele pere a u	---⌫-|-|---⌫-|-|-------⌫-|-|---|-⌫|
ducqu i ore	--|--⌫|--|
estqued ieu	--|--|-⌫--|
lameuint querre mestrerober t	-|-|---|-----|-----|-----⌫|
d e c erbonetme	-⌫|-⌫----|-|-|
pristparle co r demonma ntelet	----|--|-|--⌫|-|--|--⌫---|-|
m emena auroy .	-⌫|---|-|--||
ettuitliautrec h eualier uindr ent	-|---|-|----|-⌫-⌫------|-----⌫--|
apresn ous .	----|-⌫--||
lo rs dem andai-ieam estrerobert	--⌫-|---⌫----||-||-⌫----|-----|
mestrerobertquemeuoulez-	-----|-----|--|-|-----||
et medist ieuousueildema nder sele	-|-|---|-|---|---|----⌫---|-|-|
royseseoiten cestpr a el	--|-|----|-|---|--⌫-⌫-|
etuousuousali ez seoir	-|---|---|---⌫-|----|
sursonbancp lu s haut	--|--|---|-⌫--⌫|---|
seen u ousen	-|-|-⌫--|-|
deuroitbi en blasmer	------|--⌫-|------|
etiel idiz	-|-|-⌫|--|
dont faite s -uousbie nablasm er q uant uous	---|-----⌫||---|---⌫||-----⌫-|-⌫---|---|
estesplusno blementuestuque	----|---|--⌫------|----|--|
car u ou s	--|-⌫--⌫|
uou s uestezdeua ir et de	---⌫|-----|-|--⌫-|-|-|
roysne f a it pas.	---|-|-⌫-⌫-|--||
lidiz mes trerobertsa lue	-|--|---⌫--|-----|--⌫--|
uost reg race iene	----⌫-|-⌫---|-|-|
foizmi e ablasm er seiemeue st de uert	---|--⌫||-----⌫-|-|-|-|--⌫-|-|---|
etd eu aircar	-|-⌫|-⌫--|--|
cestabi t melessamon per ee t	---|---⌫|-|----|--|---⌫|-⌫|
fai tesa blasmer c ar uousestes	---⌫--||------|-⌫-|---|----|
filzdeuilainetde	---|-|-----|-|-|
uilainn eetauezlessie ́l habitu ostreper e	-------⌫|-|---|------⌫||----|-⌫----|---⌫|
e t uostr em ereetet es te suestudeplus riche	-⌫|-----⌫|-⌫--|-|-|--⌫--⌫|----|-|---|----|
camelinquele roy nest.	------|--|-|--||--||
etlors ieprislepan de son seurcotet	-|---|-|---|-|--|-|--|------|-|
du s eur cotl eroy	-|-⌫---⌫--|-⌫|--|
etlidiz oresgardez se iediz uo ir	-|-|--|-|-------|-|-|--|--⌫-|
entreprista deffen dre m estre robertdeparolesdetoutson	---------||------⌫--|-⌫----|-----|-|------|-|---|--|
apre s ces	----⌫|--|
ch oses mons eigneurli	--⌫---|--|-⌫------|-|
roysap pe lla mon seigneur phelippesonf i lzlep ere	---|--⌫--⌫--|--|-------|-------|--|-⌫-⌫-|-|-⌫--|
a uroyqui oreestetle royt ybaut	-⌫|--|--|--|--|-|-|--|-⌫----|
et sassistaluys de	-||-----|||--|-|
sonorat oire etmistlamai naterree t dist	--|----⌫---|-|---|-|---⌫||----|-⌫|---|
seez-uou s cib i enpresdemoy	---||---⌫|-|-⌫-⌫-|---|-|--|
pourcequ e e nnenou s	---|-|--⌫|-⌫|-|---⌫|
oie -hasirefirent-ilno us	--||-|---|-----||-|--⌫-|
n e nousos erionsasseoir sipres deuous	-⌫|---|--⌫-----|------|-|---|-|---|
etilmedis tseneschal seez-uous ci.	-|-|-|---⌫|--------|---||---|-||
etsi fiz -i esi	-|-|--||-⌫|-|
presdeli q uemarobetouchoit ala	---|-|-|-⌫-|-|---|-------||-|
fita sseoi ra presmoy etle ur di t	--|-⌫-----⌫|-⌫---|--|-|--⌫-|--⌫|
grantmal ap ertauezf ait quantuous	----|--|--⌫--|---|-⌫--|----|---|
este smes filzetnauezfaitau premiercoup	----⌫|--|---|-||---|---|-|------|---|
t outcequeieuousaicommandéet g ardés	-⌫--|-|--|-|---|-|--------|-|-⌫-----|
qu eil ne uousauie ingne iamai s .	--⌫|-|-|---|----⌫----|-----⌫||
direntque n onferoient-il .	-----|--|-⌫-|-------||-||
etlorsmed it	-|---|-|-⌫-|
n ou sappele zpou rl iconfesser amoy de	-⌫--⌫|------⌫|---⌫|-⌫|--------||--|-|
ce quea tort auoitde ffendumestr erobert en contre	-|--||---|----|--⌫-----|-----⌫|-----|--⌫-----|
mesfist-il ieleuisiesbahiqu e	--|---||-|-|-|-|-|-----|--⌫|
ilauoit bienm e stie r	-|----|---|-⌫-⌫----⌫|
q ueieli aidasse	-⌫-|-|-|------|
et tou t e uoizneu oustenezpasachose	-|---⌫-⌫-⌫---|-|-⌫--|----|--||----|
que ieendeis sep ourme strerobert	--|-|-|----⌫-|-⌫--|--⌫---|-----|
deffendrecaraussicommeles eneschal	--------|--|----|----|-|-⌫-------|
dituous uous	--|---|---|
deuezbienuestiretnett ementpourceque	----|---|-----|-|----⌫----|---|-|--|
uosfemme suousenamerontmiexe tuos tre	--|-----⌫|---|-|------|---|-⌫|---⌫--|
gent uousen priseron t	---|---|-|--------⌫|
carceditlesa geonsedoitassemer en	--|-|--|-|--⌫-|-|-|---|------|-|
robeset e narmesent el manier eq ue	----|-|-⌫|----|-|-⌫-|------⌫|-⌫-|
lespr eudeshommesdecest	--|--⌫----------|-|---|
di entqueo ne nfacetrop ne	--⌫--|--|-⌫|-⌫|---|---|-|
les ioenes gensdecestsieclenedient	--|-----|---|-|---|-----|-|----|
face pou .	---|--||
c ia presorre zunen seignemen tque	-⌫|-⌫---|----⌫|-|--⌫---------⌫|--|
ilmef istenla merquant	-|-|-⌫--|-|-|--|----|
nousreuenions	---|--------|
doutre mer.	|-----⌫--||
ilauintquenos trenef	-|----|--|---⌫--|--|
h urta deuantlillede	-⌫---|-----||---|-|
cyp reparu nuen tquia non	---⌫-|--|-⌫|---⌫|--||--|
guerbinq uine st	------|-⌫-||-⌫-|
mie desquatre mestr es uenz.	--|--|-----|-----⌫-|---||
etdece coup qu enostre	-|-|-|---|--⌫|-----|
nefpristfurentlinoton nier s i	--|----|-----|-|-----⌫---|-⌫|
des perezque	---⌫----|--|
ildes siroient	-|---⌫-------|
leur robes e tleurbarbes.	---|----|-⌫|---|-----||
leroy sailli d e sonlitt out	-|--|-----|-⌫|--|--|-⌫--|
deschausc arn ui testoitun ec ot e sanz plusuestue	-------|-⌫-|-⌫--⌫|-----|--⌫|-⌫--⌫|---|---|-----|
a la m ettree ncro izdeua ntle	-⌫-|-⌫----|-⌫|---⌫-|----⌫-|-|
cors nostreseigneurcommecilqu i natendoit	---|-----|-------|----|--|--⌫||-------|
que la mort .	--|-|---||
quece nousfuaue num appela	--|-|---|-|---⌫-||-----|
le roytoutseul etme dist	-|--|---|---|-|-|---|
sen eschalor enous	---⌫-----|--⌫|---|
a mo ustré die u	|--⌫-----|---⌫|
unepartiede	--|-----|-|
carundeses petiz	--|-|-|--|----|
u enzque apeinnelesceitonno mmer	-⌫--|--||-----|-|----|-|--⌫---|
de ut auoir leroydefrancesesenfanset	--⌫-|----|-|--|-|-----|--|-----|-|
safe mmeet ses	-|--⌫--|-|--|
g ensnoiés.	-⌫--|-----||
or dit saint anciaume s que	-|--|----|--------⌫|--|
ceso ntdesmenac e snostr e	-|--⌫-|--|-----⌫-⌫|-----⌫|
seigneurau ssicomme se die x uousist di re.	-------|--⌫--|----|-|---⌫|------|--⌫-||
- or uouseusse-iebien mor sse	|-|---|----||-|---|---⌫|-|
ieuousisse.	-|-------||
- sir edieufait li	|---⌫|---|---|-|
sainspo urquoy	----|--⌫-|---|
nousmenaces	---|------|
caresmenacesquetunous	--|-|------|--|-|---|
es tpourton preu ne pourtonauantag e	--⌫|---|--|---|-|---|--|-------⌫|
car setunous	--|-|-|---|
auoiestouz	-----|---|
perdussine n seroi es	-----|-||-⌫|-----⌫-|
- tu iaplus poure	|-|-|---|----|
neplus riche.	-|---|----||
cepaspour tonpreula	-|--|---|--|---|-|
men acequet unous afa itemes pour	---⌫--|--|-⌫|---||--⌫--|--|---|
nostrep rofitsenousle sauo ns mettr e aoeuure.	-----|-⌫----|-|---|-|----⌫-|-----⌫||-----||
ao euuredeuo ns nou smettre	|-⌫----|----⌫-|---⌫|-----|
cest e menacequedieu nous a	----⌫|-----|--|---|---||
fai te ent elemanierequese nousse n tonsq u e nous	---⌫-|-|-⌫--|------|--|-|---|--⌫-⌫---|-⌫-⌫|---|
aionsennoscuers et en no s cor schos e	----|-|--|----|-|-|--⌫|---⌫|----⌫|
qui desplese a dieu	--|-------||---|
os t erledeuonsh astiuement .	--⌫-⌫-|-|-----|-⌫---------||
et qua nquenous cuideronsq ui	-|---⌫---|---|--------|-⌫-|
liplesenous nous de uons efforci er	-|----|---|---|--⌫---|-------⌫-|
hast iuementdu	----⌫------|-|
et senousle faiso n sai nsi ncno stresirenous	-|-|---|-|-----⌫-⌫|--⌫---⌫-|--⌫---|---|---|
donrap lus de bien encest siecle	----|-⌫--|-|---|-|---|-----|
ete n l aut re	-|-⌫||---⌫-|
quenousn e sa urions	--|---|-⌫|--⌫-----|
etsenousne le	-|-|---|-|-|
faisonainsi il fera	-----|----|-|---|
aussicommele bon seigneur d oitf ai re	----|----|-|--|-------|-⌫--|-⌫--⌫-|
asonmauuaisse r gant	|--|------|--⌫-⌫---|
car apreslamenacequa nt	--|----|-|-----|---⌫-|
l e mauuaisser iant neseueutamenderl e seigneur	-⌫|------|---⌫---|-|-|---|------|-⌫|-------|
fierto ude	----|-⌫|-|
mortou deautresgr eingneurs	---|-|-|-----|--⌫--------|
mesch eancesquipizualentquemo rt.	-----⌫-----|--|--|-----|--|--⌫-||
si ypreingnegar deli roysqui	-||-------|---⌫-|-|---|--|
oreestca ril	--|--|--⌫|-|
esteschape ́deaussi	--|-------⌫|-|----|
grantpe ril o ude plusqueno usfei mes.	----|--⌫--|-⌫|-|---|--|--⌫-|---⌫--||
sisa mend ede	-||-⌫----⌫|-|
sesmesfais	--|------|
e n telmaniereque die unefiere en	-⌫|--|------|--|---⌫|-|----|-|
seschos e scru elment.	--|----⌫-⌫|---⌫-----||
lesaintroy seesforca detout son	-|----|--|-|------|-|---|--|
p o oir parse spa ro les de	-⌫-⌫--|--|--⌫|--⌫--⌫--|-|
moyfairecroirefermementen laloycrest i e nne	--|----|-----|--------|-|-|--|-----⌫-⌫-⌫--|
quedi eunousadonnee au ssicommeuous o rrez	--|--⌫-|---||-----|--⌫--|----|---|-⌫---|
ildisoitque nousdeuionscroiresifermement les articles	-|-----|--|---|------|-----|-|--------|--|-------|
d e lafo yqu e	-⌫|-|--⌫|--⌫|
pou rmortnepourmeschief	---⌫|---|-|---|-------|
quiauenistaucorsque nous naiens nulle	--|------|-|---|--|---||----|----|
uolent e dalere ncontr eparparolene par fait.	------⌫||---|-⌫------⌫|--|-----|-|--|---||
etd i soitque lennemiest	-|-⌫-⌫---|--||-----|--|
si soutilzquequantlesgens se	-|------|--|----|--|---|-|
meurent il se	------|-|-|
traua il le tant commeilpeu tque illesp uisse	-----⌫--⌫-|---|----|-|---⌫|--|-|--|-⌫----|
fairemourirenaucunedo utance despoinsd elafoy	----|-----|-|-----|--⌫-----|--|----|-⌫|-|--|
car iluoitque	--|-|---|--|
les bo nesoeuuresque lomme	--|--⌫--|------|--||---|
a faitesnel ipeu t-iltolli ret	|-----|-|-⌫|---⌫||-|-----⌫|-|
uoitqu eillaperdu seil meu rt	---|--⌫|-|||----|-|-|---⌫-|
enuraie foy.	-|----|--||
et pource se d oit-	-|---|-|-|-⌫--||
on ga rder e tentelema nie re	-|--⌫---|-⌫|-|---|--⌫---⌫-|
deff end rede	----⌫---⌫-|-|
c esta gaitque en diea	-⌫--|-⌫---|--|-|--||
lennemiquant ilen	|-----|----|-|-|
en uoieteletempt acionua- t	--⌫---|---|-----⌫----|-|||
-en doitondireal	|-|---|-|---|||
tune metempter as ia acequei ene	-|-|-|-------⌫-|-||-|--|-⌫|-|
c r oie fermementtouslesarticles	-⌫-⌫--|--------|---|--|-------|
ne ss etu mefesoies	--⌫|-⌫|-|-|------|
to u zlesmembrestranch iersi	--⌫-⌫|--|------|------⌫--|-|
uueili e ui ureetmor ire ncesti point .	----|-⌫|--⌫--|-|---⌫-|-⌫|----|----||
a in si l efait iluaint l ennemi	-⌫--⌫-|-⌫|---|-|----||-----|
desonbastonetde	-|--|-----|-|-|
s e speedontl	|-⌫---|---||
ennemileuouloit occir e.	-----|-|------|-----⌫||
ildisoitquefoye tcreance estoitunechoseo u	-|-----|--|--|-⌫|------|-----|--|----|-⌫|
nousdeuionsbien croire fermem ent	---|------|---|-----|------⌫--|
encorenen feussiens	-----||-|--------|
cert ei nsme zqu e pa roirdire .	----⌫--⌫-|--⌫---⌫|--⌫|--|---||
poin tilme fist unedemandecomment	----⌫|-|-|---|--|------|------|
mo n perea uoitnon.	--⌫|---|-⌫---|--||
dizqueilauoit	--|--|-|----|
n on symon.	-⌫-|----||
e tilme dit	-⌫|-|-|--|
co mmen tiel esauoie.	--⌫----⌫|-|-⌫|-----||
etielidizqueieenc ui doie	-|-|-|--|--|-|-|-⌫--⌫---|
estre certeinet	----|------|-|
l ecreo ie fe rmement pource quema mere	-⌫|----⌫-|--⌫------|---|-|--|-|---|
l emauo it tesmoingné	-⌫||---⌫-|----------|
medist don cdeuez-uous	-|---|---⌫|----||---|
croire fe rmement touz les article sdela	-----|--⌫------|---|--|-------⌫|-|-|
quiex lesapos tres tesmoingnenta ussi	----|--|----⌫---|-----------|-⌫---|
commeuous oez c hanteraudyman cheen	----|---|--|-⌫-----|-|-----⌫--|-|
il m edistquel euesqueguilla ume deparisli	-|-⌫|---|--||------|------⌫--|-|----|-|
a uoitco ntéque un grant	-⌫---|--⌫---|--|-|----|
m estrede diui nit e	-⌫----|-|----⌫---⌫|
estoit u enu alietl iauoit ditque	-----|-⌫--||-|-|-⌫|----|--|--|
iluo uloitp arler	-|--⌫----|-⌫----|
et illi di stme stre dites uostre uo lente	-|-|-|--⌫-|--⌫---|----|-----|--⌫----|
etqu ant lemestrecuidoitparler	-|--⌫--|-|-----|------|-----|
a le uesqueet	||-⌫-----|-|
commen ca aplorertropfort.	------⌫-||-----|---|---||
e tleuesq ue liditmaistredites	-⌫||-----⌫-|-|--|------|----|
ne uousdesconfortéspascarn ulz n ep eut tantpech ier	-|---|------------|--|--|-⌫--|-⌫|-⌫--|---|----⌫--|
que dieunepe u t pluspardonner .	--|---|-|--⌫-⌫|---|--------||
-et ieuousdi	|-|-|---|-|
sire dit limestresie	---|--|-|------|-|
n e n puisma issi	|-⌫|---|--⌫-|-|
ie pleure cariecuid eestremescreant	-|-----|--|-|----⌫|----|--------|
p ource que	-⌫--|-|--|
ienepuismon cuer ah u rter	-|-|---|--|---|--⌫-⌫---|
qu eiecroie ou sacrementde lau tel a insi com me	--⌫|-|----|-|--------|-||--⌫--|-⌫---|---⌫-|
saintesgli se l enseigne.	----|-----⌫-||-------||
etsi saibi en	-|-|--|--⌫-|
des temptaci onsl	--|--------⌫--||
mestrefistli euesques	-----|---|-|-------|
ormeditesl	-|-|----||
ennemiu ousenu oieces tetemptacion se elle	-----|-⌫--|---⌫--|---⌫-|---------|-|---|
uousplet .	---|---||
et le mestre	-|-|-----|
ditsire mes nen nuietantcommeilm epeut	--|---|--||--⌫---|---|----|-|-⌫|---|
-oruousdemandeiefis tl	|-|---|------|-|---⌫||
euesque seuo us prenriésne	------|-|--⌫-|--------|-|
orne arge nt parquo yuousrege issi ezd eu ostreb ouche	-|-|----⌫-|--|---⌫|---|----⌫----⌫-|-⌫|-⌫----|-⌫----|
n uller ien s qui feust c o ntrele sacrementde lau tel	-⌫---|-⌫---⌫|--|----|-⌫-⌫---|-|--------|-||--⌫--|
ne c ont r elesautress ain ssac remens	-|-⌫---⌫-⌫|--|-----|-⌫---⌫|---⌫-----|
ie sire f istli	-|---|-⌫--|-|
sachiezqueilnest n ulle riensoumonde	------|--|-||--|-⌫---|----|-|----|
que ie n preisse	--||-⌫|------|
ai ncoisamer oi e	--⌫----|----⌫--⌫|
miex queen m aracha sttouzles	---|--|-||------⌫-|---|--|
memb resducorsqueie le	----⌫--|-|---|--|-|-|
re geisse .	--⌫-----||
dirai-ieautrechose fistleues queu oussa uez	----||-|----|----|---||----⌫--|-⌫--|--⌫--|
quele roy de	--|-|--|-|
franceguer roie	-----|----⌫---|
auroyd eng leterre	-|--||---⌫------|
etsauezqu e	-|----|--⌫|
lechas tiauquiestp lusenla marche	-|----⌫---|--|--|-⌫--|-|-|-----|
deeul z d eu xce stla rochelle en	-|---⌫|-⌫--⌫||-⌫-|-|-------|-|
o ruousuueil faireunedemande	-⌫|---|----|----|--|------|
quese liroys	--|-|-|---|
uou sauoitbaillélarochelleagarde rqui	---⌫|----|------|-|-------||-----⌫|--|
e stenlamarcheetilm eus t baillé	-⌫-|-|-|-----|-|-||---⌫|------|
l ech asteldemontleheria	-⌫|--⌫----|-|---------||
gar der qu i	---⌫--|--⌫|
est oucue rde france e t	--|-|---⌫|-|-----|-⌫|
enterred e paixauquell iroysdeuroit sauoir	-|----|-⌫|---|-|---|-⌫|---|------|-----|
meilleur gre e nlafindesa guerre o ua	-------|--|-⌫|-|--|-|-|-----|-⌫||
uousqui au riésgardé	---|--|--⌫----|-----|
larochell e sanzperdreouamoi qui	-|-------⌫|---|-----|-||--|--|
li au roie	-|--⌫---|
ga r d éle	--⌫-⌫-⌫-|-|
chas tel demont leheri sanzper dre	----⌫--|-|----⌫-----|---|---⌫--|
-ennomdie usire fist	|-|--|---⌫|---|---|
le mestreamoyqu i au roiegardélaro c helle	-|-----||--|--⌫|--⌫---|-----|-|--⌫-⌫----|
sanzperdre .	---|-----||
-mestreditl	|-----|--||
eue sque ieuousdi	---⌫---|-|---|-|
quemon cue restsemblableau chastelde	--|--|---⌫|--|--------|-|------|-|
montleheri .	---------||
c ar nulle temptacionne	-⌫-|----|---------|-|
nulled oute i enai	----|-⌫---|-⌫||-|
dusacrem entd el	-|------⌫--|-⌫||
pour laquelchose	---|-|---|----|
ieuous d ique pourungrequedieume	-|---|-⌫|--|---|-|--|--|---|-|
scet dece que	---|-|-|--|
i e lecro yfermementeten	-⌫|-|---⌫|--------|-|-|
paixuousen scetdieu quatrepour	---|---|-|---|---|-----|---|
cequeuous li	-|--|---|-|
gar dezuostrecuer	---⌫--|-----|---|
enla guerre d etribulac ionetauezsi bon euo lente	-|-|-----|-⌫|--------⌫--|-|---|-|---⌫|--⌫----|
enuersli que	-----|-|--|
uouspournullerienst erriennenepou r me schief que	---|---|----|----|-⌫-------|-|---⌫|--⌫-----|--|
onfeist du c orsnele rele nquiriés .	-|----|-|-⌫--|-|-|----⌫--------||
dontieuous dique soié s	---|-|---|-|--|-----⌫|
tout aeseque uost re estat plet miexa	---||--|--|----⌫-|----|---|---||
nost reseigneur en cecasque nefait	----⌫-|-------|-|-|--|--|-|---|
quantle mestreoy ceils	----|-|-----|-|-|-||
a genoil la deuantleuesqu eet se	-⌫------⌫-|-----||------⌫|-|-|
pour poie z.	---|----⌫||
royme contaque plu seursgens d eaubigoi s	--|-|----|--|---⌫----|---|-⌫|-------⌫|
uin d r entauco ntedem onf ort qui lorsga rdoitlater re	---⌫-⌫-⌫--|-|--⌫--|-|-⌫---⌫--|--|---|--⌫----|-|---⌫-|
deaubiiois pourleroy etlidistrentque il	-|-------|---|-|--|-|-|-------|--|-|
uenistueoirle co rs nos tres eigneur qui estoitdeuenu z e n	-----|----|-|--⌫-|---⌫--|-⌫------|--|-----|------⌫|-⌫|
san cet encharen tre lesma i nsau prestre	---⌫|-|-|---|--⌫--|--|--⌫-⌫-|-|------|
etil le urdital ezleueoiruousqui	-|-|--⌫-|--|--⌫-|-|----|---|--|
le cr eez carie	-|--⌫--|--|-|
le croifermement auss i	-|---|--------|----⌫|
comm esa int eesgl i sen ousraconteou sacrement	----⌫|--⌫---⌫|----⌫-⌫-|-⌫--|------|-|--------|
etsauezuousque	-|----|---|--|
iey gagnerai	-||-------|
fistleconte deceque i e lecroyen	---|-|----|-|-|--|-⌫|-|---|-|
cest m ort elu ie aussicommesai n teesgli se	---|-⌫---⌫-|-⌫-|----|----|---⌫-⌫-|-----⌫-|
lenous ensei gne	-|---|-----⌫--|
ie enauraiunecouronneesciex p lusqueles	-|-|----|--|-------|-|---|-⌫--|--|--|
ang resquile uoient	---⌫--|--|-|-----|
fac eafacepar quoy	---⌫||---|--|---|
ilcouuie nt que il	-|------⌫-|--|-|
lecroient .	-|------||
contaqueil ot	----|--|-|-|
u ne grantdesputaison	-⌫-|----|----------|
declersetdeiuis oumoustierde	-|----|-|-|---|-|-------|-|
l a ot uncheualier a qui	-⌫|-|-|--------||--|
a uoit donnél ep ainl ee nspourdieu.	-⌫---|-----|-⌫|-⌫--|-⌫--⌫-|---|---||
etreq uist alabbequ e illi lessast	-|---⌫---|||---|--⌫|-|-|------|
direlapremiere parole eten l i o tria	---|-|-------|-----|-|-|-⌫|-⌫---|
etlo rs ilse l euaet	-|--⌫-|-|-|-⌫--|-|
sappuiasu ssacro ce et	|-----|--⌫|-|---⌫-|-|
di t qu e len l if eistuenirl e pl usgran t	--⌫|--⌫|--|-⌫|-⌫---|----|-⌫|--⌫-|----⌫|
cle rcet leplusg rant mestredes iuis.	---⌫-|-|-|---|-⌫---|-----|--|---||
et s ifirent il.	-|-⌫|-----|-||
etli f istunedeman dequifutele	-|-|-⌫--|--|-----⌫-|--|-|---|
m estrefistl e	-⌫----|---|-⌫|
cheualier ieuousd emandese	--------|-|---|-⌫-----|-|
uouscreezquela uiergema riequidieu	---|----|--|-|-----|--⌫--|--|---|
port aen sesflans etensesbrasenfantas t u i erge	----⌫|-|--|----|-|-|--|---|--------⌫|-⌫-⌫---|
ell esoit me re de dieu	---⌫|---|--⌫-|-|---|
iui fr es pondi que detou t	---⌫|-⌫--⌫----|--|-|---⌫|
ce ne c reoit-	-|-|-⌫----||
e t l ich euali er	-⌫|-⌫|--⌫-----⌫-|
li respondiq u emoult	-|-------|-⌫-⌫|----|
au oitfait que	--⌫--|---|--|
folquantilne	--|----|-|-|
lacr eoitnenelam oit	-|--⌫---|-|-||--⌫--|
e testoit entre ́ensonmous ti eret en sa meson	-⌫|-----|-----⌫|-|--|----⌫--⌫-|-|-|-|----|
eturaieme nt fistlecheualie ruous	-|-------⌫-|---|-|--------⌫|---|
le co mparrez.	-|--⌫------||
sa po tenceet ferile iuif les	-|--⌫----|-|---|-|---|--|
loyeet leporta par te r re	|--|-|-|----|--|--⌫-⌫-|
etles i uistournerentenfuieet	-|--|-⌫--|---------|-|---|-|
emporte ren tl eurmestretou t	-------⌫---⌫|-⌫--|-----|---⌫|
blecie ́ .	------⌫||
etainsid em our a	-|----|-⌫--⌫---⌫|
la d es putaiso n.	-|-⌫--⌫-------⌫||
lorsuintlabbe aucheualieretli	---|---||---|-|--------|-|-|
distqueilauoitfai tgra ntfolie.	---|--|-|----|---⌫|---⌫-|----||
e tlecheualier d itqueenc oreau oitilfait	-⌫|-|--------|-⌫-|--|---⌫--|--⌫--|-|---|
greingn eur fo lied assemblertele d esput ais on .	-------⌫--|--⌫--||--------|---|-⌫-----⌫---⌫-||
carauantque la despu taison	--|-------|-|-----⌫-----|
feustmen ee a fin	----|---⌫-||--|
auo it -ilceansgrantfoisonde	---⌫-||-|----|----|-----|-|
bon s crestiensquisen feussent	---⌫|--------|--||-|-------|
parti touzmescreanz par ce queilne ussent m ie	----|---|--------|--|-|--|-||-⌫-----|-⌫-|
bien entendulesiuis .	---|------|--|---||
aussiuou s	----|---⌫|
dis- iefis tli	--||-|---⌫|-|
r oys quen ulzse iln esttre s	-⌫--|--|-⌫--|-|-||--|---⌫|
bonc l ercne	--|-⌫-⌫--|-|
d oit d esputer	-⌫--|-⌫------|
me sdiredelalaycres tie nnene doi tpas	--⌫----|-|-|--|----⌫---⌫--|-|---⌫|--|
deffendr elalaycres tienne nem ai sde lespeede	--------⌫|-|--|----⌫-----|-|-⌫--⌫|-||----|-|
qu oyil doi tdonnerparmile uentre dede ns	--⌫-|-|---⌫|-----|----|-|-----|----⌫-|
tant commeelley p eutentrer.	---|----|---||-⌫--|-----||
