Horauosdic uera raizun	---|--|--|---|-----|
intrinita d qui luicredanc ilerent s aluqui	-|-------⌫|--|--|-----|-⌫-|----|-⌫--|--|
no·l cretrans er andamnat	-|-|------|-⌫--⌫-|-----|
Signe sfa r anlisoi fide l quals elabanzfaire	-----⌫|--⌫-⌫-|-|--|----⌫|----|-|----|----|
L inguesnouesilparlaranet dï ablesencalcer an	-⌫-----|----|-|-------|-|---⌫----|--------⌫-|
Si alcunsd elsbeuenueren	-|-----||--|----|----|
n on a ura malzos ab perue r	-⌫-|-⌫--|--|-|-⌫-|--|--⌫|
sobraemalabdesmansmetranet	-----|-------|---|-----|-|
sanitad atozrendran	------||--|------|
umontdonches mont at que	|---|------|----⌫-|--|
Hol iuetnumna tuosai	---⌫---|-----⌫|--|-|
Leuetsa man si·lsbene dis uengre la	----|-|--|-|--|----⌫--|-----|-|
n uuolssi·l	-⌫----|-|-|
collitElor uedent monte t enc el a·dde xtris	-----||--|-----|-----⌫|-|-⌫-||----⌫----|
Iesú·se · ssetetquiuenrato ziudicar a	----|--|-⌫---|----|----|--⌫|------||
toz rendraebene mal	--|-----||--||--|
L isoi fidel enson to rnetal dezen iornia	-⌫|--|----|-|--|--⌫---|-|----|---|-|
cumperueng	--|------|
Sanctussobrelz ched	------|---|--|---|
si ·lsenfla metcumfu gs arden z	-|--|-----⌫--|--|--⌫-|-----⌫|
Il des abanzs unt aseradde	-|--|----|-⌫--|-----|-|
Cristnonsaben tmotparlaren	----|--|-----⌫|--|-----|-|
pascheuenguertuzd ecelilnondob ten	--|--|---|-----|-⌫|--|-|--|---⌫--|
len gatgesuanparlan	---⌫-----|--|-----|
Cr istuanannuncianno	--⌫--|--|--------|-|
contrastar sig nesfazenp erp odesta d	---------|---⌫--|----|-⌫-|-⌫------⌫|
Espandu tsuntpertotces	-------⌫|---|--|--|--|
m undregnum	-⌫--|-----|
De inunc entpe rtotpe r totconuerte n tpoplet	--⌫|----⌫--|--⌫|--|--⌫|--|--------⌫-⌫|---|-|
Iesúspertotab elz	-----|--|--|-|--|
Sa ta násd o lenagrand a ls	--⌫--⌫---|-⌫-⌫|-||----|-⌫-|
De ufidel sfai dursafa nz	--⌫|-----⌫|--|---|---⌫-|
Alcanzencruz fai losleuar	-----|-|---|--|--|----|
alquanz d espadesd egollar	------||------|-⌫------|
e·llosalquanz	|----|------|
fa iescorceralq uanz en fo g uiustrebucher eten	--⌫|-------|---⌫---|-|--⌫|---|--------|-|-|
gradilie·lsfa itoster alquanza ·ppetdreslapider	-------|--|--⌫|-----|------||--------|------|
L uiqueai u d e	-⌫-|--|--⌫-⌫-⌫|
Nu·lsue nc era cumpeislorf aiilcreis entmais	-|--|--⌫--⌫--|--|---|--|-⌫-|-|-----⌫--|---|
Cristesueguradper tot	----|--------|--|--|
esmund es adhora z	-|---|-|------⌫|
No scestespugnesnon a uem contranoseps pugnardeuem	--⌫|-----|-----|--|-⌫--|-----|--|--|-----|----|
fraindre deuemnoz	-------|----|--|
uoluntezquepart aiamab	-------|--|---|---|-|
Deuf idels	--|-⌫----|
Q uarfi ni m unzn one smult lo netregnum	-⌫--|--⌫-|-⌫--|-⌫-|-⌫|---|--⌫|-|-----|
Deu fortmen tesprob dontre nos lez facaml o	--|-------⌫|-|---|-----|--|--|----|-⌫|
bengurpissemm u nd ets om pechet	--|--------|-⌫-⌫-|-|-⌫-|-----|
Iesúsquimansensus	-----|--|---|----|
mercetaias de	-----|---|-|
pechedorsentalsraizonssia·mmespraesperta pitad	--------|-|---|------|-||---------|--|-|----|
lo·mperdones	-|-|-------|
Tep osch e retdraegraciaedau antto pa ireglor iae	-|-⌫----⌫|------|------|---⌫--|-|--⌫--|----⌫--|
Spir itum p oschelauda re tn unc pertotin	----⌫---|-⌫----|-----⌫|-⌫|-⌫--|--|--|-|
