enlenorn ostresegnior	-||---|-⌫----|------|
si a m en aobseile	-|-⌫-⌫--⌫|-|--|-|
qui fu duxdes	--|-|--|--|
mescone detlo mm ie teisircumgrantessample	--|-|-|--|--⌫|-⌫-|-----|--|----|-------|
nostresire sdegnia d emostreraceaus q ui	-----|----⌫|-----|-⌫-------||----|-⌫-|
ontenbalielesoumonesperdoner	--|-|----|--|------|--|----|
auspour eseaus	--|----⌫-||--|
cle rs eau s ygli s e e illesretienent.	---⌫-||--⌫|----⌫-⌫||-|--|--------||
carqu antlioz	--|--⌫--|-|-|
karles efuarbergiez auio r entor	----|-⌫|-|--------|-|--⌫|----|
ba i oneune	--⌫-⌫--|--|
cit e daus bascles siot	---⌫|---|------|-|-|
uncheua li erenlo stqui moltf umalades	-|-----⌫--⌫-|-||-⌫-|--|---|-⌫|------|
eaueitnom romastes .	|----|--|-------||
i l demanda leprouoire	-⌫|------|-|-------|
confese pu isrecuteapresco s i	-----||--⌫-|----||----|-|-⌫|
depa rtilasoechose.	----⌫--|-|--|----||
il sinaueitque unsol	-|-||----|--|-|--|
cheualqui lbaliaaun	-----|-|-⌫|----||-|
sonpar ent	--|---⌫--|
silicomanda	-|-|------|
quil lou e ndist e totcoquilen	-|-|-|-⌫-⌫----||--|-|-|-|-|
auroi tdona s tper	-----⌫|----⌫-⌫|--|
deueper sarme ausclers e aus prouoires	--||--||---|--|----||--|--------|
eauspoures quienlostestoient .	|--|-----|--|-||--|-------||
romastesfu morz cilsine	-------|-|---|--|-|-|
pr ezagueires laparoleda umorteuendilo	--⌫--|------|-|-----|--⌫|---||----|-|
ch eual centsols.	--⌫---|---|---||
si fue nueios	-|-|-⌫-----|
e co ueitos.	|--⌫-----||
diab le lengig nia re ntcaril pristle sdeniersqu il	----⌫-||-----⌫---⌫--⌫-|--|-|----|--⌫|------|-|-|
otdelcheual .	-|--|-----||
silesdespendi enbeu reeen	-|--|-------|-|---⌫-||-|
ma ng iereenic odontauoit mestier.	--⌫--⌫--||-|--⌫|---|----|------||
eicofi t il molttost	|--|--⌫|-|---|---|
mesacelt enssen u engiotdeu s molt tost	--||--|-⌫--||-|-⌫-----|---⌫|---|---|
delmalqueliuns fazoit aloutre	--|--|--|-|--|-----|||----|
des tren te iorzeauchiepdautrente	--|----⌫-|---||-|----|--|-----|
iors siaparut li morz au uifsidis tie	---|-|-----|-|---|-|--|-|---⌫|-|
t auoieco mandeelamoie	|----|--⌫-----|-|---|
ch ose perdoner auspouresper	--⌫--|--|----|--|-----|--|
lasal udemam e	-|---⌫|-||--⌫|
et u si nen asrienzf eit	|-⌫|-||-|-|----|-⌫--|
sachiésquenos tresires	-------|--|---⌫--|----|
menhapar donez toz	|-|-|---⌫----|--|
me spechiez eperco	--⌫|------||--|-|
re tenuelaumone atortiesui	--⌫----||-----||---|-|--|
enen feresi	-|--⌫--||-|
ai demorégrantpiec e esosfertlespoinese	-|------|----|----⌫||------|--|-----||
tuhientreras de main enenfer- dontie	-|-|-------|--⌫---|-|----||---|-|
su iissuz-e	--⌫|----|||
seras encel l umoime	----|-|--|-⌫|----|
quantcootditl imorzsi	----|-|-|--|-⌫|---|-|
s esuano i	|------⌫|
e li uissesuelliaq ui	|-|--||-------|-⌫-|
moltfu esp a ontez.	---|-|---⌫-⌫----||
auma tin si comenca	-|--⌫--|-|------|
a conter sauision a toze	|-----|-|-----||--||
totel oz sien comencaa parlerli	---||-|-|-|------||-----|-|
unsaloutre .	--|||----||
esac hiezquemo lt semeraui llarentdeceleuision.	|---⌫---|--|--⌫-|-|------⌫------|-|---|-----||
elorzsi oirentsod amentclamor en	|---|-|-----|---⌫----|-----|-|
sore le chaitif.	---|-|------||
eecil crizsiresem blotb rais	|---|---|-|-----⌫---|-⌫---|
ode losodoutresbestessal uagies.	|-|--|||-----|-----|---⌫-----||
mai ntenantsifuroubiz	---⌫------|-|-|-----|
l ichaitifd entrelage nt	-⌫|------||----|-|--⌫-|
esil enp ortarentdi abl eto tul lant.	|-||---⌫-------|--⌫---⌫|--⌫|--⌫---||
quisperquatreiorzper le smonz e	---|--|-----|---|--|--⌫|---||
p erlesualeesdegent a p ie	-⌫-|--|-----|-|---||-⌫-|
ede genta cheualmes	|-|---||-----|--|
neleporenttroue r.	-|-|-----|-----⌫||
enlafin q uant illogre ntquis	-|-|--|-⌫---|-||----⌫-|---|
perlesdeserz loz	--|--|-----|--|
denauarres iq uetoteloz iot	-|------|-⌫|-⌫-|---||-||-|
es té per doze iors	--⌫--|--|---|---|
sifutrouezli cor sdau cha i tif	-|-|-----|-|---⌫|--|---⌫-⌫--|
tozdepec oiezsoruneroch ie molt haute	--|-----⌫---|--|--|----⌫-|---|----|
bien t rois lie ues deuoiee	---|-⌫---|---⌫--|-|---||
so r elamersi	--⌫-⌫|-|--|-|
este it celer ochie	----⌫-|---|-⌫----|
loi ngdela	---⌫-|-|-|
citequatr ei o rn ees.	---|-----⌫|-⌫-⌫--⌫--||
iloec s i auoient diablelaiss éle	----|-⌫|------|-----|-----⌫-|-|
cor sdauchaitifetot issicum ilauoient	---⌫|--|------||--|---|--|-|------|
l armeportee ene nfe r .	|---|-----|-|-⌫---⌫||
percestui sach iont	--|-----|----⌫---|
t ui tcilquiatortret ienentlesaumonesdesmorz	-⌫--⌫|--|--||---|---⌫-----|--|------|--|---|
quelom lorh a	--|--|--|-⌫|
lai ssees perdepartirq u il enaurontout retelloie r	---⌫----|--|-------|-⌫|-|-|-----|---⌫----|----⌫|
cumcilot e	--|--|-||
prendreoutreteluengiance c u m il fit de	------|-------|--------|-⌫-⌫|-|--|-|
ce stu i .	--⌫---⌫||
apres cestemeruellie karlesligranzroise miles li	----|----|--------|-----|-|----|---||----|-|
duxobl ors ozsi comenca re n t	--|-|-⌫--|-|-|-------⌫--⌫-⌫|
aigu olantaquerrepe respagnietant quil	----⌫----||-----|--⌫|-------|---|-|-|
lo trouarenten uneterrequiestapeleec hains sore	-|--------|-|--|----|--|--|-----|-⌫----|---|
u neeuelogie ́ en molt be a us prez	-⌫-|--|-----⌫|-|---|--⌫-⌫-|---|
e en moltdeleitosleu een	|-|---|-------|--||-|
molt beaup lain.	---|---|-⌫---||
lorsa pressifit karlesunemolt b el e yglise	---|-⌫---|-|--|-----|--|---|-⌫--⌫|-----|
e mo ltgrantenl	|--⌫-|----|-||
eno rdaugloriosmartyr sa int fagunt e	---⌫|--|------|-----|--⌫--|-----||
saintprimitifqui iloecreposent.	----|-------|--|----|-------||
esta blili bo ns roisun eabeiedemoines .	----⌫--|-|--⌫-|---|--⌫|----|-|-----||
qua ntaiguolanzso tquelioz	---⌫-|--------|--⌫|--|-|-|
karleuen oit	----|---⌫--|
equ ilestoient bi en pressil i manda	|-|-|-------|--⌫-|---|-|-⌫|----|
qu il seconbatroitsi iluoloitu intcheualierscont re	-|-|-|---------|-|-|-----|-⌫--|---------|----⌫-|
uin toquarantecontrequ a ra nteo centcontrecent o	---⌫||-------|-----|--⌫-⌫--⌫--||---|-----|---||
m ilcontre mi l ouncontre uno	-⌫-|-----|--⌫||-|-----|-||
deuscontredeus .	---|-----|---||
karlespri stcent	-----|---⌫-|---|
daussonscon tr eles	---|---|---⌫--⌫|--|
centaiguolantesifurent ocis	---|--------||-|-----|---|
lisarrazin.	-|-------||
repris tai guolanzd euscen zcontre	------⌫|--⌫------|-⌫--|---⌫|-----|
de us cenz	--⌫-|---|
daus nozsi	---|--|-|
fur en t ocis	---⌫--⌫|---|
li mort cofu rent li	-|---|-|--⌫---|-|
enc ore en reprist	---⌫--|-|------|
aiguo lanz d eusmirecontre deusmi res ien	-----⌫---|-⌫--|---|-----|---|--⌫-|-⌫|-|
un eparti ee lo utrep artie s	--⌫|-----⌫|||-⌫---|-⌫----||
auti ersiornapressi	-|--⌫--|---|----|-|
g ita aiguola nzson sort priueamentesi uit que	-⌫--|-------⌫-|--|---|---------||-|--|--|
karlesauroitgrantdamagiee n	-----|-----|----|------|-⌫|
l abata l l i e	-⌫|----⌫-⌫-⌫-⌫|
man daquil se uendroitlend emainconba tre	---⌫-|-|-|-|-------||---⌫----|-----⌫--|
ot lui o tp la n ei rebatallie	-|--|-⌫|-⌫--⌫-⌫--⌫-|-------|
lotro chie tequi.	|----⌫----⌫|---||
c e usd enoz crest iensqui le s erde uant	-⌫-⌫-|-⌫|--|-----⌫---|--|-|-⌫-|--⌫---|
laba tallie apar elliar ent lo rs arme selorslance s	-|--⌫-----|----⌫------⌫--|--⌫-|----⌫||---|-----⌫|
fichare nt totesdroites	-------⌫-|----|------|
deu a ntlorsarbe rgi es.	---⌫-⌫-|---|----⌫---⌫-||
a um atinsi lestrouare nttotesuersplenes	-⌫|-⌫---|-|--|-------⌫-|----|---|-----|
descorcesedebranches .	|-------||-|-------||
cofugranzsignefiancec a rcilrec eurentmart yre	-|-|----|----------|-⌫-⌫|--|---⌫-----|----⌫--|
pernostre se gnior.	--|-----|--⌫----||
enice l iorntuitcilse nm er auil larent	-|---⌫|---|---|--||-⌫|-⌫--⌫----⌫-----|
quicoui re nt	--|-|--⌫--⌫-|
plusquelomnepoiroitdirede si grant	---|--|--|-|------|---|-|-|----|
miraclec umnos tr e sires a uoitdemostré.	------|-⌫-|---⌫--⌫|----|-⌫---|--------||
es ifues crizlimiracles .	|-⌫|-|--⌫---|-|-------||
cil quitrencharentlorslancesres	--|--|----------|---|-----|--|
terrelesraci nesquiremedrentsigit arentpuis	----|--|----⌫--|--|--------|-|---⌫----|---|
granzboisquiencoresunt en	----|---|--|-----|---|-|
molt hia ueitdecez lan ces defreine.	---|-|-⌫---|-|--|---⌫--|-|-----||
pu isuindrentenlab atal liee	--⌫-|-------|-|-|-⌫----⌫--||
sarraz inecr estien.	------⌫-||--⌫-----||
si o to ci s crestiens qu arante	-|-⌫|-⌫--⌫|--------|--⌫-----|
eliduxd emilepei res rol lant r ecut	|-|--|-⌫|---|---⌫--|---⌫---|-⌫---|
martyrea uoe ceauscoe stasauoir	------|-⌫---⌫|---|-|-⌫-||-----|
lescuilances florirent .	--|--|-----|--------||
eli ch euau ska rle	|-|--⌫----⌫|--⌫--|
hi fu ocisde sozluienicele	-|-|---|--⌫--|--|-|----|
karlesseco nti nccumardize	-----|-|--⌫---⌫-|--|----||
s emistapie obdizmi r ede cezhome s	-⌫|---||--|-|--|--⌫-⌫|-|--|----⌫|
es eferient rel es	|-⌫|---|---⌫-|-⌫-|
sarrazins donttant	--------|---|---|
hiaueitquenu s neles	-|----|--|--⌫|-|--|
peu st nombrerquiliassalirentsa gen tdetotesparties	---⌫-|------|--|-|---------|-|---⌫|-|----|------|
eiladonctreitsespeeet rencon aun	|-|----|----||----||-⌫------⌫|-|
sar r azi npe rlo milo .	---⌫-⌫---⌫|--⌫|-|---||
qua ntil comencaauesprer sise t reidrenten	---⌫-|-|------||------|-|-|-⌫-------|-|
lorsarbergies e	---|--------||
sarrazinecrestien	-------||-------|
l endema ins iuindrenten l	|------⌫-|-⌫|-------|-||
aiek arlequatre du csiuindrentdeuerslumbardie	--|-⌫---|-----|--⌫|-|-------|-----|--------|
liam enare nt quat remir e cheua liersm olt bons	-|--⌫-----⌫-|----⌫-|---⌫|-----⌫----|-⌫--|---|
e molt ardiz .	|---|----||
equa nt aiguolanzle	|---⌫-|--------|-|
to rna enfuie e sen	--⌫--|-|---|||-|
a laen lemozin	-⌫-|-|------|
ekarles sen retornaen fran ce.	|-----||-|------|-|----⌫-||
oresideuom	--|-|----|
entendreque cil	-------|--|--|
signefientqui m orirent	---------|--|-⌫------|
enlabatalliesicomel icheualier karle quise	-|-|-------|-|---|-⌫|--------|----|--|-|
deuo ien t conbatr e e qui aparelliarent lor sarmes	----⌫---⌫|-------⌫||--|------------|---⌫|----|
deuantla batallie	-----|-|-------|
t otoutresi de uomn osap arellier	-⌫-|------|--⌫--|-⌫-|--⌫-------|
noz armes .	--|----||
a direbon es uertuzdeuomau er	|---|---⌫-|-----|----|--⌫-|
con treles uicesecontr e	---⌫--|--|----||-----⌫|
lestemptacion s de lacharn	--|----------⌫|-|-|----|
quiquionquesaurabonefoi	-----|-----|---|---|--|
contrema uuaz heresie	-----|--⌫---|------|
o c ha rite co ntrearmeolargececontr e	|-⌫--⌫---|--⌫---|---||------|-----⌫|
auaric eoboneo rei son contre la te mptacion	------⌫||---|-⌫---⌫--|-----|-|--⌫-------|
al enemiopou uretecon trerichec ee	||----||---⌫----|---⌫--|------⌫||
p erseuerance contreestabilite	-⌫----------|-----|---------|
equisetairaco n treles tenconse	|--|-|----|--⌫-⌫--|--|------||
quimetraob ediencecontre	--|----|--⌫------|-----|
char naldelitla	----⌫--|----|-|
sera floriee s arma ser acoron eeon c elestial	---|-----|||---|---⌫|-----⌫-|-|-⌫-------|
cilquil o ngiam ent	--|--|-⌫-⌫-----⌫--|
tencerontcon trelesu icese c ontre le	--------|---⌫--|--|-⌫---||-⌫----|-|
uole r dela charnen t err e .	----⌫|-|-|----|-|-⌫---⌫||
car co d itliapostresnu s h omc oroneznesera	--|-|-⌫-|-|-------|--⌫|-⌫-|-⌫-----|-|---|
si cilnon quileiaument sec o nbatront	-|--|--|--|--------|-|-⌫-⌫-------|
t o tissicumliconb ateor	-⌫-⌫|---|--|-|----⌫----|
cheualierquimorirentenla batallieper laf o iihe su	--------|--|-------|-|-|-------|--|-|-⌫-⌫|---⌫-|
cristautresi	----|------|
deuom nosmor iraus	----|--|---⌫-|--|
uizeseuiureonmo nde	----||----|-|--⌫--|
obsaintesuertuze	-|------|-----||
perque nos p o chionau erpernostre lo ier lacoro ne	--|--|--|-⌫-⌫----|--⌫-|--|-----|--⌫--|-|----⌫-|
flori eon regned ausceuseq ued eus	-----⌫|-|----|-⌫--|---||-⌫-|-⌫--|
le noso treit	-|--|-⌫----|
que dit uosai	--|--|--|-|
asse mblanceaiguol anzot	-|--⌫------|------⌫--|-|
sigranzge nzqui l	-|----|--⌫-|-|-⌫|
n efusi m eruellienoncaril aio sta	-⌫|-|-|-⌫-------|--|--|-|---⌫--|
sarrazins emors emoabite s.	--------||---||-------⌫||
[IK(...) éroide	--|-----⌫-|--|-|
hospinelloroi d	-------|-|--||
aci eeffaturloroiepersanz l o	---⌫|------|-|--||------|-⌫|
arabie loro i dalixand rieloroide	-----|-|--⌫||-------⌫--|-|--|-|
bugie lo ro id	----|-|--⌫||
acieloro ide ba rbarieloroide	---|-|--⌫|-|--⌫-----|-|--|-|
marroclor oidemaiorielo	-----|-|-⌫-|-|------|-|
roidemequeloroi desebill e e	--|-|----|-|--|-|------⌫||
laumanc orlo	|------⌫-|-|
en uincaigu o lan zen gasc ongn y e aunecite	-|---|----⌫-⌫---⌫|-|----⌫----⌫-⌫||--|---|
apele ag entesilap rist .	----|--⌫--||-|-|-⌫---||
diloec manda akarle.	|----|----||----||
a sis enuinc	|-||-|---|
enbeausseauneiornee	-|------||--|-----|
de pari s.	-|----⌫||
e siarbe rgiatotesoze n uneterre l oi ng	|-|----⌫---|---||-|-⌫|--|----|-⌫--⌫-|
d eueequant fu rentarbergiéli cheual ier	|--||----|--⌫---|--------|-|------⌫--|
e licheualmuriontde	|-|-----|------|-|
au oient point deue .	--⌫----|----||--||
ekarlesfit eq uiendroito reis on	|-----|--|--⌫-|------|-⌫----⌫-|
anostresegniorquillidonast de	|-----|------|-|-|-|-----|-|
enostre sir esdona loreuesiq ueperdeua nt	|-----|---⌫-|---|--|--|-|-⌫-|--|----⌫-|
cheunearbergiedebaron sorsitun e	-----|-------|-|----|-----|--⌫|
fo n tai nela mieudre	--⌫-⌫---⌫-|-|------|
quionquesfust .	--|-----|---||
etuitlifr anceissenesioirent molt.	|---|-|--⌫-----||-|--------|---||
ep er ices t	|-⌫-|----⌫|
miraclelorseguirentd efran ce	------|--|--------|-⌫|----⌫-|
t uitci l qui	-⌫--|--⌫|--|
onqu es armes p ogrent porta r.	----⌫-|----|-⌫-----|-----⌫||
a e ad oncsemouli bonrois e	||--⌫--|-|--|-|--|---||
uinc senasanctecro izd orlienz	---||-||-----|---⌫-||------|
ediloecsis en uincasaint	||----|-||-|---||----|
mar tinatorseuellia	---⌫--||---||-----|
etfit oreizon a nostresegnior ea m onsegnior	-|--|------||-----|------|||-⌫-|------|
saintm a r tin qu i l li	----|-⌫-⌫-⌫--|-|-⌫|-|
d on a stueintr e l essar razins	-⌫--⌫-⌫-|------⌫|-⌫-|---⌫-----|
iloec sisenuinc	----|-||-|---|
asaintylaire apestierseuel liae	|----|-----||-------||---⌫--||
co mandaque lom	--⌫----|--|--|
rendist a monseg nior saint hy lairec heuns	------||--|---⌫---|----|--⌫----|-⌫----|
quatred en iers perco qu il	-----|-⌫--⌫---|--|-|-|-|
de sfen ditoteaguiaine daleren essil .	--⌫----⌫-|---|-------||---|-|----||
e puissisenalaa	|---|-||-|--||
lim oges amon se gn iorsain tm arcau	---⌫---||--|--⌫--⌫--|----⌫|-⌫----|
e donahimoltgran zdons.	|---|-|---|----⌫|---||
ediloec sis en al a asarlatou	||----|-||-|--⌫||-----|-|
ilfitmo lt ri c he ygliseemoltricheabeie	-|--|--⌫-|--⌫-⌫-|-----||---|----|----|
hiquatre leg uees dete rreentoz senz .	-|-----|---⌫---|-|--⌫--|-|--|---||
epuissenuinc	|---||-|---|
d equien pei reg orc aune fontainearbergier.	|---|-|---⌫---⌫--||--|-------|--------||
etrouailoec unbon homeemanda	|----|----|-|--|---||----|
lique si ilauoituinqu i ll	-|--|-|-|----|--|-|-⌫||
entramesist.	-|--------||
eli bonsho m	|-|---|--⌫|
ilnauo ituine	-||---⌫-|--||
tramistlide leuee	------|-|-||--||
icofulimi eud reuindau	--|-|-|--⌫---⌫-|--|--|
ea umati nqua ntliroisseleua	|-⌫|----⌫|---⌫-|-|---|-|---|
sit rouasa lanc e florieebelee	-|-⌫---|-|----⌫|-----||---||
unericheabeie quelo m	--|----|----|--|--⌫|
apelepaonat	----|-----|
etdonahi m oltdauf ust	-|---|-|-⌫--|--|-⌫--|
delasancteuera iecroiz.	-|-|-----|----⌫-|----||
omonzpermol t grantorgoilman d a	----|--|---⌫|----|-----|---⌫-⌫|
akarlequil li	|----|-|-|-|
re ndisttreueq ue tenguistt otefran ce	--⌫----|---||-⌫-|-------|-⌫--|----⌫-|
de lu io siquenon	-|--⌫||-|--|--|
si senfoist.	-||-|----||
ekarles limanda queco nes er o it	|-----|-|----|--|-|-|-⌫--⌫-⌫-|
adoncalaomonzencontre karle ob	----|--|----|-------|----|-|
trois ce nzm iresarra zinsper conbatre ot	----|--⌫-|-⌫--|-----⌫---|--|-------|-|
eiss icum karl esfe ri enl	|---⌫|--|----⌫-|--⌫-|-||
ostomontdelunepa rtgirarsda u	--|----|-||--|--⌫-|-----|--⌫|
fradeduxdelumbardie	----|--|-|--------|
feride loutrepart	---|-||----|---|
obtr entemire	-|--⌫---|---|
cheu aliers qu ilauoitamené .	----⌫-----|-|-|----|-----||
icestebatalliesi fuentre	-----|-------|-|-|----|
doesmontagnieslunesiha	---|---------||--|-|-|
nom as premont	--|--⌫------|
elou tre calabre.	||--⌫--|------||
icestebat a llie duradau	-----|---⌫-⌫---|---|--|
matintresquealanui t.	----|------||-|---⌫||
a donc fit	-⌫---|--|
karl esor eisonanostresegn ior	----⌫-|--⌫----||-----|----⌫--|
siqueli iorzl	-|--|-|---||
ialon gia .	|----⌫--||
equiuinc girars daufrad e e siprist lo	---|---|-----|--|----⌫||-|----|-|
less arrazins	--|-⌫-------|
q uie stoien t.	-⌫-|-⌫------⌫||
ad oncsen foi omunz ebalanz	--⌫--||-|--|----||-----|
mesocgier s p ristbala nt	--|------⌫|-⌫---|----⌫-|
eka r les seg ui omontesi	|--⌫-⌫--|---⌫-|----||-|
loconsut a une f ontaine ouil	-|-----||--|-⌫------|-|-|
e quant omonz	|----|----|
ui tkarlesiot uergog nie	--⌫|----|-|-|------⌫--|
e k arleslidis tmontequeconbatre	|-⌫----|-|---⌫|----|--|-------|
te stuet obmoi	|-⌫----|-|--|
eomunzmonta a cheu al e siot	|----|----||----⌫-||-|-|
molt grantioie	---|----|---|
ep uis gre uaomo n ztantkarlequealaterre	|-⌫--|---⌫-|---⌫-⌫|---|----|--||-|----|
deslacoitleaumequa ntrollanz	--------||----|---⌫-|------|
uincobunpal e	---|-|-|--||
feriomunts orle	---|----|-⌫-|-|
brazdestresiquel	---|-----|-|--||
espeelifit uoler da u poing .	----|-|--|----|--⌫|----||
e pr i st l	|--⌫-⌫-||
espeemoimee to lili la teste e	----|----||--⌫-|-|-|----||
lobraziusquaucobde.	-|---|----|-|----||
ep uissisen	|-⌫--|-||-|
tornakarles asesarb e rg iesefit une	----|-----||--|---⌫-⌫--⌫--||--|--|
abe ie qu e lom apeleclaira c.	---⌫-|--⌫|--|----|------⌫||
ape let lom	---⌫--|--|
cl airacquedeu sliescla rsit le io r.	--⌫----|--|---⌫|-|-----⌫---|-|--⌫||
efitiloecseuelir deusmireconpagnions quimort estoient	|--|----|------|---|---|----------|--|---|-------|
enl abat allieefitse uelirgandebodeuantl	-|-⌫|---⌫----||--|--⌫----|------|-----||
pu isfitmetr e en l	--⌫-|--|----⌫|-||
oute rmaint e	----⌫|-----⌫|
sa nct uaireperamo rdeceausq uimortes toienten la	--⌫---⌫----|--|---⌫|-|----|-⌫-|---|--⌫-----|-|-|
e donaalabeieunelegueede	|---|||----|--|-----|-|
terreentoz se nz	----|-|--|--⌫-|
e detotconesauoitrienz	|-|--|-|-|-----|----|
aig uolanz.	---⌫-----||
ainzman daakar l equ	---|---⌫-||---⌫-⌫|-|
ill irendisttreuelui com and aper tr oisrois	-|-⌫|------|---||--|---⌫---⌫|--|--⌫--|---|
quenonsi senfoist detote f rance	--|--|-||-|----|-|---|-⌫----|
tramistlateste domu nt e lobra zot	------|-|----||---⌫-||-|---⌫|-|
totl anel.	--||---||
eq uantaig uolanzle uit si	|-⌫---|---⌫-----|-|--|-|
otmoltgrant duel.	-|---|----|---||
puis uinckarlespresd	---|---|-----|---||
ag entefitiloecunechapele desan cte	--⌫--||--|----|--|------|-|---⌫--|
efit iloecro llan t cheu alier .	|--|----|--⌫----⌫|----⌫----||
e turpins liestabli iloecyyco npagnions	|------|-|------|----|-|--⌫--------|
quinelifa lisso nt.	--|-|-|--⌫-----⌫-||
ei co fure ntliyyper.	|-⌫-|----⌫-|-|-|--||
lacitedagent	-|---||----|
esi laassiste s ist	|-|-|-----||-⌫--|
hientor le sp aice dey ymoiset	-|----||-⌫--⌫---|-|-⌫|---|-|
auc isenmoi s siotfei tfeire	-|-⌫---|---⌫|-|-|---⌫|----|
ses en geingsedrec er aumur	--|--⌫-----||----⌫-|-|--|
cofurent mangu oneletperei resettru ies	-|-----|-----⌫---|-|-----⌫--|-|---⌫--|
etassez outresen geinzdontlom	-|----|-----|--⌫----|---|--|
puetpren dre chastel .	---|----⌫--|------||
e quantcouitaiguolanz	|----|-|--|--------|
prists esroi s eles plus auz	----|-⌫-|---⌫||--|---|--|
home sdelost et	----⌫|-||--|-|
sis enessi dela	-||-|---|-|-|
c itemesco fuper mi	-⌫--|--|-|-|---⌫-|
le s longaineseten larronci n esen passa	--⌫|--------|-|-|--------⌫|||-|----|
permi guarone	----|------|
delez l acitee totissieschapa	----|-⌫|---||--|---|------|
d ausma inzka rle.	-⌫--|--⌫--|--⌫--||
lendem ai nsientra kar lesen lacit e	|-----⌫--⌫|-|----|---⌫--|-|-|---⌫|
otmolt grant	-|---|----|
uicto ire .	-----⌫--||
lors hiot moltmo rt des sarrazi nse	---|-|-|---|--⌫-|--|-------⌫-||
molten eschapaqui	---|-|------|--|
senfoirentpermileue .	|--------|----||--||
mestotesuoies hiot mort	--|----|----|-|-|---|
uintmires arrazins.	---|---|-⌫-------||
a ea iguolanzs enes tei tiaue nuza	||-⌫-------||-|--⌫---⌫|-|--⌫--||
bordeuea unamoltgrant ost	-----||-⌫--|---|----|--|
eaiostaq uant queaios terpoec.	|-----|-⌫----⌫--|----⌫--|---||
e puisa chastellionpasse g ironde .	|---||----------|----|-⌫-----||
ed equ i s ena laaiguolanz a e lleposelle	||---⌫||-|-⌫-|--------||-⌫---------|
qui adoncesteitasarraz insea l orsco mandamenz	--|----|-----||------⌫--|||-⌫--|--⌫--------|
e il oec sestares tezob	|--⌫--||--|----⌫--|-|
s es genzed iloe cmandakarlebatal lie.	-⌫-|---|||----⌫|----|----|-----⌫--||
karlessifiteu esque agentechenoinesa	-----|-|--|--⌫----|----||--------||
saintcaprais	----|------|
adoncconquistkarlesag eneis	----|-------|-----|--⌫----|
e quant otconquistotageneis	|----|-|------|--|------|
sisen uincasaintmelione	-||-|---||----|-----||
fi ti lo ec l abeie.	--⌫|-⌫--⌫-||----||
ma nda a i guolanz akarlequ	--⌫--|-⌫-⌫------||----|-|
il uenista	-|-----||
lui p a rler	--|-⌫-⌫---|
toten paiseneamena st gu eiresobseid e	--|-|---||-|-----⌫-|--⌫----|-|--|-⌫|
mandaqui l li donrroitassezo r e	----|-|-⌫|-|-------|----|-⌫||
a rg e nteo utresric h ezces euin tsomiers	-⌫--⌫-⌫-||-⌫----|---⌫-⌫----||---⌫|------|
charg iezdepailes edecendezsiildeu e noitsis	-----⌫--|-|-----||-|-----|-|-|---⌫-⌫---|--|
home feistse s	--||----|--⌫|
comandamenz.	----------||
e tot codi soitil p erco	|--|-|--⌫---|-|-⌫-|-|
q u i llouoloit	-⌫|-⌫|-|-----|
c ono istreequil	-⌫---⌫----||-|-|
lepeu st fereocire.	-|---⌫-|---|----||
karleoitc osip rist	----|--|-⌫|-|-⌫---|
deus mir echeualie rs daus mell io rsde sate rre	---|---⌫|--------⌫-|---|----⌫--⌫-|-|-|--⌫--|
ealaadonc uers	|--|----|---|
aiguolanttant	--------|---|
q uilfu bien presau nelieue	-⌫|-|-|---|---||-⌫-|----|
de lac ite .	-|-|-⌫--||
eilfittote s sesgenza reste rf orsquant	|-|--|----⌫|--|---|-⌫-----⌫|-⌫--|----|
solamentquarante	-------|-------|
che ualiersqu il mena o b sei	---⌫------|-|-|---|-⌫|--|
tr esque aunemon ta g niequiestbienp res dela	--⌫----||--|---⌫--⌫-⌫--|--|--|---|-⌫--|-|-|
ci tesiqu elomla poe tbien	--⌫-|-|--⌫|--|-|---⌫|---|
ueoir eiloec si	----||----|-|
les la i ssa	--|--⌫-⌫--|
lorzmistkarlesiussa roubecartropesteit	---|---|-----|--|-|----|--|---|-----|
bon eep ristuneo utreplusmauuezee	---⌫||-⌫---|--|-⌫---|---|------||
sis enalauers la	-||-|--|---|-|
citeo bunsolcheuali ersanz	---|-⌫|-|--|-------⌫-|---|
la n cemes il port otsonescu detres	--⌫-⌫-|--|-|----⌫-|--|---|-----|
sondoscart otiss i	--|--|--|-⌫-|---⌫|
lesporto ent lorsles escu z	--|-----⌫--|---|--|----⌫|
li mes sagierq ua nt i lesteit g uerre.	-|---⌫-----|-⌫--⌫-|-⌫|-----|-⌫----||
sarrazinne seiquan t	-------|-|--|----⌫|
f ur entissudela c iteq ui se aloient deduire	-⌫--⌫--|---|-|-|-⌫--|-⌫-|-|------|------|
elorsquantil uir en tnozgenz	|---|----|-|---⌫--⌫|--|---|
sitornare nt	-|-------⌫-|
ae auselor de mandarentqueus genzil	|-⌫--||--|--⌫--------|----|---|-|
estoiente ilr e spondirentm essagier someskarlemain e qui	-------||-|-⌫-⌫---------|-⌫-------|----|---------⌫|--|
nosenuoiea ai guolant uostreroi.	--|-----||--⌫------|-----|--||
lorssilesmenarent li sarra zintresqueper	---|-|--|-------|-|-----⌫--|------|--|
deuantai guolantesili dist rent	-----|--⌫------||-|-|----⌫---|
kar lesno s	---⌫--|--⌫|
toiqui est	--|--|--|
