L AFI LLE	--⌫|--⌫--|
ensamai n.Etquantil	-|-|---⌫-|-|----|-|
les otueüsil resgardaariere	--|-|----|-|-------|-----|
u itautr es.iiii. en	-⌫-|----⌫-|-----|-|
aut elmaniéré atornéset distDame	---⌫-|--------|---------|---|---|
neuousesfr eésde cose que	-|---|----⌫---|-|---|--|
uoiés. Il salualespre-	-----||-|----|--|---|
mierse til seteu rent ason	----|-⌫|-|-|---⌫---||--|
salu.A pr è silleur	----|-⌫--⌫--⌫|-|---|
daqu llp ensoientenuer sluietli	-|-|-|-⌫-------|-----⌫|--|-|-|
unslidi stCe	--|-|--⌫-|-|
sarésuousia.Et ilmueta lui	-----|---|--|-|-|---||--|
l eglau eet	-⌫|----⌫|-|
f e rirparmilecor s.EtmesireT.uit	-⌫-⌫--|----|-|---⌫-|-|-----|-|--|
l ecop uenir si	-⌫|--|----|-|
bai sa lecor s etcil falia lui	---⌫-|-|---⌫|-|--|---||--|
maisautrespa-	---|-|------|
serietamesireT. lemaindeseure leglau e si	--|---|-----|-|-|---|------|-|----⌫|-|
laronet mutas.iii. dontcil	----|-|--|-|----|---|--|
etenfiert.i.	-|-|----|--|
co rssi lo cit et	--⌫-|-||-⌫--|-|
ilrecueur ee tmue tarieree t	-|-------⌫|-⌫|---⌫|-----|-⌫|
------ ------------------------ -	------⌫------------------------⌫|
uersionXIII(2 )p0 09	----------|--⌫|--⌫-|
il otcou(folio 316d)ditilesgarda	-|-|--|-----|--|-|--|-|------|
uit .iii i. larons	--|----⌫-|-----|
arm és sourgr an s cheuaus	---⌫--|---|--⌫--⌫|------|
tenoi tlance ens amain.Et quant	-----⌫|----|-|-⌫|----|-|----|
illesotueüsi l regarda	-|--|-|----|-⌫|------|
arr iéré e ten uitautres.lii i.	---⌫-----|-⌫|-|--|-----|----⌫-|
enau tremaniéré	-|--⌫--|--------|
at ourn és e t dist Dameor	--⌫----⌫--|-⌫|---|-----|
neuo usesfree ́sde cose	-|--⌫-|------⌫-|-|---|
uousuoiie ́s.	---|-----⌫--|
Ilsaluale spremierset ils eteurenttout	-|----|--⌫|-------|-|-|-⌫|------|---|
ch oi t asonsal u.Apriésil lordeman da	--⌫--⌫||--|---⌫-|------|-|--|-----⌫-|
k ilpensoient enui ers	|-|--------|----⌫--|
di s tCeesaurésuousia. Lileres	--⌫-⌫|--|------|---|--|-|----|
en uiersmonseigneu r	--⌫----|----------⌫|
T hieba utleglaiue	-⌫-----⌫-|-|-----|
alongiéetle	-------|-|-|
guide ferirp armi le cor s.EtmesireTiebaus uitle	----|----|-⌫---|-|---⌫-|-|-----|------|--|-|
uenirsile doutaetçoune fu p asmierueille	----|-|-|----|-|---|-|-|-⌫-|---------|
caril estoit	--|-|-----|
de sarmés etbaissal ecors	--⌫------|-|-----|-⌫|---|
etguenciçoukil potetcil	-|-----|---||-|--|-|--|
faillialuimais autre spasser gietamesireThiebaus	-----||--|---|-|---⌫------|----|-----|-------|
main desous l e glaiuesile t oliaularon	---|-----|-⌫|-----|-|-|-⌫--|-|----|
etmu etastrois	-|--⌫-|-|----|
do ntcilestoituenus et	--⌫-|--|-----|----|-|
.i. par mile corset l ocist	--|---⌫-|-|---|-||----|
etpuis retorneetmu eta rriéréetfiert	-|---|------|-|--⌫-|-⌫-------|-|----|
c elui kipremiers	-⌫---|-|-------|
uersi o nXIIIp010	-----⌫-⌫--------|
f ier tceluiq uiprimes	-⌫---⌫|----|-⌫-|-----|
es toit mus alui	--⌫---|--||--|
par milecors et	---⌫-|-|---|-|
Ens ipl eu taD iu que d es.uiii.	---⌫|--⌫--⌫||-⌫-|--|-⌫-|-----|
ocitl es.l ii.	---|-⌫-|--⌫--|
.u.l auronneren t etliocisentsen p alefro iet	--||----------⌫|-|-|------|--|-⌫------⌫|-|
sans auoirblec eürequi	---|----|----⌫----|--|
ligreuast.Ilnauoit espee ne	-|-------|-||----|----|-|
autre armeüredontil	----|-------|---|-|
se desfen dist.Il	-|------⌫----|-|
litolirentsareu be	-|-------|-|---⌫-|
(f ol.207)d uscale cemiseet	--⌫--|---|-⌫--||-|-----|-|
espér onse tho euseset	------⌫--|-⌫|--⌫----|-|
p risentl ecoroie	-⌫-----|-⌫|-----|
d uneesp eeetliloierentles mainset	|--|---⌫-|-|-|-------|--|----|-|
les piéssilege terenten .i. buiso n der onses .	--|----|-|-|--⌫-----|-|--|-----⌫|-|-⌫-----⌫|
ileurentçoufait il uinrenta	-|-----|---|---|-|------||
ladamesilitolirent	-|---|-|-|-------|
palefroie tsarebeduscala	-------|-⌫|-|---|---||-|
chemise.Et ell eestoit	-------|-|---⌫|-----|
molt b eleetne po urquant	---|-⌫--|-|--⌫--⌫------|
s iplouroit ellemoltdure -	-⌫|-------|---|---|----⌫|
ment.Lun deslarons	----||-|--|-----|
lesgardaetdistSegneur	|------|-|---|------|
i ai mo n frerepe rdusiuoel auoirc es te	|-|--⌫|----|--⌫--|-|---|----|-⌫--⌫-|
dameenres-	---|-|---|
-------- -----------------------	--------⌫----------------------|
uersionXIII (2)p010	----------|--|---|
estoituenusalui parmi	-----|----||--|----|
lecorsetl o ci ta. E nsi pl eut	-|---|-||-⌫--⌫--|-⌫--|--⌫--|
qu edes.uiii.laro ns en	--⌫|--|-----|----⌫-|-|
oci st .iii.etli.u. lauironerent	---⌫-|------|-|--||----------|
etocisent sonpalefroie t il	-|------|--|-------|-⌫|-|
caïius ari er esansauoirble-	---|--|---⌫--⌫|---|----|---|
ceüreeki ligreuast.Iln	-----||-|-|-------|-||
auoi tespeeneau tre	----⌫|----|-|--⌫--|
a rmedon t	-⌫--|---⌫|
ilsepe üst aid ier.Il	-|-|--⌫---|---⌫---|-|
li tolirentsa robe touteiusques a la	-|-------|-|---|----|------||-|
chemi se et(fol. 316e)espéron s e thueses	-----⌫-|-|----|--|-|--------⌫|-⌫|-----|
et prisentle	-|------|-|
co roieduneespeeetlil oierent et	--⌫---||--|----|-|-|-⌫------|-|
piése t main ssi	----|-⌫|----⌫|-|
tér enten.i.b u isso nde	----⌫--|-|--|-⌫-⌫----⌫|-|
ro inss esmoutpoignansetmou t	--⌫----⌫-|---|-------|-|---⌫|
aspr es.Etqu an tilorentçou fait	----⌫--|-|--⌫--⌫|-|----|---|---|
si1u i nrent a adameetli	--|-⌫-⌫----|||---|-|-|
to lire ntsonpalefroiettoutesarobedusca	--⌫----⌫-|--|-------|-|----|-|---|---||
l a chemise.Et	-⌫|-------|-|
ele es toi tmoutbielen anpourqu ant s i	--|--⌫---⌫|---|----|-⌫--------⌫--|-⌫|
pl ouroitmoutten-	--⌫-----|---|---|
mout es toit dolentedegrantmani éré.Liuns	---|--⌫---|------|-|----|----⌫-----|-|--|
deslaronslesgar de	--|-----||-----⌫-|
et d is tSeignouriou aim on	-|-⌫--⌫|-------|--|-|-⌫-|
pierduen cestestoursiu oelauoi r	-----|-|---|-----|-|-⌫--|----⌫|
ce st edameenrestor.	--⌫--⌫|---|-|------|
Etlia utres dista Ausiiai	-|-|-⌫----|---||---||-|
iou perdumonco u sin gi ermain	--|----|--|--⌫-⌫--|--⌫-----|
u e rsionXIIIp011	-⌫-⌫------------|
tor.Li autresdist	---|-|-----|---|
A us iaiio mencou singermain	-⌫--⌫|-|-|--|---⌫--|------|
autanti cl a iniou comm euous.	-----||--⌫-⌫-|--|----⌫|----|
Et a u tel distlitie rs	-|-⌫-⌫--|---|-|---⌫-|
etliquars.	-|-|-----|
Etli1quinsl eurdist	-|--|----|-⌫--|---|
Se gneurenli rete nir	--⌫----|-|-|----⌫--|
naronsn ousmie grantpreumaismenon	|----|-⌫--|--|----|---|---|----|
leence ste	-|-|--⌫--|
f orest e t faisonsdeli no suolente ́spuisleremetons	-⌫----|-⌫|------|-|-|--⌫|-------⌫-|---|-|-------|
uoieet lela sons	---|-|-|--⌫---|
ielisent et leremen e rent	-|-----|-|-|-----⌫-⌫---|
6. —Etmes ire	-||-|---⌫--|
T. l euit etdistliDamepour	-|-⌫|--|-|---|-|---|---|
Di udesliésmecar	--⌫|-------|-|--|
ces ronsesmegrieuentmolt	--|-----|-|-------|---|
dameuit une e spee	---|--|--|-⌫---|
gésirki fu a	-----|-|-||
.i.deslaro ns qui ocis	--|--|----⌫-|--|---|
pristetuintuers	----|-|---|---|
monsegneur T.si	----------⌫-|-|
- -------------- -------- ---- ----	-⌫--------------⌫--------⌫----⌫---|
uersionX III(2)	--------⌫--|--|
claimmeiol i com	------|---⌫|--|
autre teidroit.Et	-----⌫--|-----|-|
autreteldist	-------|---|
litie rsetliquars	-|---⌫-|-|-|----|
etlicuins. Lorsdist	-|-|-----|---|---|
uSei g nor	|---⌫-⌫--|
reteni rnarie smes	------⌫||----⌫---|
preu ne g rant conqu estmaismenonsl entla	---|-|-⌫---|-----⌫--|---|-----||--|-|
forieste tfaisons del inostre	------|-⌫|------|-|-⌫|-----|
uolenté puis	-------|---|
sile remet onsa	-|-|-----⌫--||
leuoiesi lelai s on s aler.Ensile	-|---|-|-|---⌫-⌫--⌫|----|---|-|
fi s entcom	--⌫-⌫--|--|
ii le deui-	-|-|----|
seren t etlemisent au	-----⌫|-|-|-----|-|
6.—MesireTiebaus le	-||-----|------|-|
ui t et moutenfu d olansmais	--⌫|-|---|-|-|-⌫----|---|
plus nen p otfa irene	---||-|-⌫-|--⌫--|-|
nulmalgrétnensota	--|--|----||-|--||
la da mede	-|--⌫-|-|
cosekifust a\renuec arilsau oit	---|-|---|------|-⌫-|-|---⌫--|
bien k eçoua uoitesté	---|-⌫|---|-⌫---|----|
forclieet encontre sauolentét. La damefumout dolante	------|-|-------|-|---------|-|---|-|---|------|
mouthonteuse.	---|--------|
MesireTieba uslapielaetdistDame	-----|-----⌫-||-----|-|---|---|
p ourDiuue n e ́s clia(fol. 316f) etme desloiiéset	-⌫--|--|--⌫-⌫-⌫-|---|----|----|-|-|---------|-|
liurésdelad olou r	------|-|-|-⌫----⌫|
ui oli suicarcesroins sesme grieuent	|-⌫--|--|--|--|-----⌫--|-|-------|
moutetangoiss ent.Ladame uacelepart u	---|-|-------⌫---|-|---|-|---|---||
Tiebau sgi essoitetuoit une espee ie sir a	------⌫|--⌫-----|-|---|--|----|--⌫--||
t ier e kifu auns	-⌫---⌫|-|-||--|
de s lar onskiochi sf u elele	--⌫|---⌫--|-|----⌫|-⌫|--|-|
prist etu ait enuers sonsei-	----|-|-⌫--|-----|--|---|
uersionXIII p01 2	-----------⌫---⌫|
ieuou s del iuerai. Ellele cuid aferir pa rmi	-|---⌫|---⌫------|---|-|----⌫|----|--⌫--|
iluitlecop	-|--|-|--|
uenir si ledu ta etsidurement tre salique	----|-|-|--⌫-|-|-|-------|---⌫---|--|
lesmainset li dos lif urentdeseure .Etelle	--|----|-|-|--|-|-⌫----|-------⌫|-|---|
l efiert si	-⌫|----|-|
bleçaesbrasetc opa lescoroies.Et	-----|-|---|-|-⌫--|--|-------|-|
ilsent iles	-|----⌫|--|
mainslaskier	----|------|
ets acaa lui	-|-⌫--||--|
et rompilesloien setsalisus	-|----|--|-----⌫|-|---|--|
e n piéset distDamese Diuplaistuousne me	-⌫|----|-|---|---|-|--|---------|-|-|
réshuimaisEtellel i d ist Certessirec e poise	---|------|-|---|-⌫|-⌫--|-----|---|-⌫|----|
lespeeet limi stle mainsurl e spaule	|----|-|-|--⌫-|-|---|--||-⌫-----|
lenremenale	|-|-----|-|
ilestoient uenu.	-|-------|----|
7.—E t quant	-||-⌫|----|
s itrouadesa com pagnie	-⌫|----|-|-|---⌫-----|
g rant p artie	-⌫---|-⌫----|
estoientuenu . Et (fol.	-------|----⌫|-|----|
207b)q uant	--|-|-⌫---|
-------- -------------------- ---	--------⌫--------------------⌫--|
u ersionXII I(2)p012	-⌫---------⌫|--|---|
gnorplaine de g rant	---|-----|-|-⌫---|
ire etde mau uaise	--|-|-|---⌫----|
uolentékiliestoit	-------|-|-|-----|
uenu e car	----⌫|--|
mou tdoutoit	---⌫|------|
kil nelenseüst	|-|-||-|-----|
malgrétdeç ou	--|----|-|--⌫-|
ke il au oi tueüetk e iln e	-|-|--⌫--⌫|---|-|-⌫|-|-⌫|
lir eprouuast enaucunta nset	-|-⌫--------|-|----|--⌫-|-|
mesistdeu ant çoucauenuli esto i t. Si	-----|---⌫--|---||----|-|----⌫-⌫-|-|
distSireio u	---|---|--⌫|
uousdeliuerrai ia.Lorshauchal espeeetuin tuiers	---|---------|--|---|-----||----|-|---⌫|----|
s eignouret lecuidafe rir p armi	-⌫------|-|-|----|--⌫--|-⌫---|
lec ors.Il uit lecop uen ir	-|-⌫---|-|--|-|--|---⌫-|
si ledouta m outcari lestoi t	-|-|----|-⌫--|--|-⌫|-----⌫|
tousnusem pure	---|--|-|---|
miseetsesbr aiessansplusetsid urement t ressailli	---|-|--|--⌫---|---|---|-|-|-⌫------|-⌫--------|
m ain set lidoit	-⌫---⌫|-|-|---|
lif urentdes eure.	-|-⌫----|---⌫----|
f iertsiq ueele	-⌫---|-|-⌫-|--|
le bleç a etco lpa	-|-----⌫|-|--⌫--|
lescoroies d e cu i	--|------|-⌫|--⌫|
i lestoitl oi i és.	-⌫|-----|-⌫--⌫-⌫---|
ilse ntilesloii enslask ier	-|--⌫--|--|----⌫--|----⌫--|
ils aca aluietr ompi lescoroies	-|-⌫--||--|-|-⌫---|--|------|
e t sailli suse m piés e t dist Dame k	-⌫|-----|--|-⌫|----|-⌫|---|---||
p laistu ous	-⌫----|-⌫--|
nemocirésmaishu i	-||------|------⌫|
1Etele distCertessireçou poise	|-|--|---|-----|---|---|----|
litolile speee t ler emistel	-|---||-⌫---|-⌫|-|-⌫----|-|
fuerreetapriésli	-----|-|------|-|
mist lamain sour	---|-|---|---|
lespaull eetle ramena alauoie	|-------⌫|-|-|-----||-|---|
e stoientuenut.	-⌫------|-----|
7. —Etq uant	-||-|-⌫---|
i luinta lent reesitro uua grantp a rtie	-⌫|---|||---⌫--|-|---⌫--|----|-⌫-⌫---|
compaignie uil estoien tu en u encont re	---------||-|-------⌫|-⌫--⌫|------⌫-|
uer sionXIIIp013	---⌫-----------|
illeu irentnus elide mand ère ntSire	-|-|-⌫----|-|-⌫|-|--⌫----⌫----⌫-|---|
qui uousa en siatornéE til1leur dist	--|---||--⌫-|------|-⌫|--|---|---|
quelaronsa uoient en-contréski ensile sauoient at orn és	--|-----|-⌫-----|----------|-|---|--⌫|------|--⌫---⌫--|
lis entgrantd oel	---⌫--|----|-⌫--|
maistost furentratorn ésimontèrent et alerentleuruoie.	---|---|-----|------⌫-|-|---------|-|------|---|----|
Celior cheuaucerentnonqes	--|--|-----------||----|
alad amepia oursanb lant mesire	|-|-⌫--|---⌫--|----⌫---|-----|
T.n enfist.	-||-|----|
Lenuitil iurent enu neboineuille . Mesire	-|---|-|-----|-|-⌫-|----|-----⌫|-----|
T.dema ndaa l	-|----⌫--|||
ostes il iauoitmais o n derelegi on u	---||-||----|----⌫-⌫|-|------⌫-||
onpeüstunedam e	-|-----|--|---⌫|
la issieretliosteslidistSire	--⌫-----|-|-|----|-|---|---|
bi enuous en estauenu.Ci dehors en	--⌫-|---|-|--|-----|-|-----|-|
aunem olt relegieuse .	|--|-⌫--|----------⌫|
C el enuispasa.L en dema in mesireT .iala	-⌫--⌫|---|----||--⌫----⌫-|-----|-⌫||--|
ets io ïmesse.	-|-⌫|-⌫-|-----|
p ria alabeesse quec ele	-⌫--|||------|--|-⌫--|
damel i gardast. Elle li	---|-⌫|-------|---|-|
otria.MesireT.i	-----|-----|-||
laisadesamaisniep our	----|-|-|------|-⌫--|
li se r u ir et senal aet	-|--⌫-⌫-⌫-|-||-|--⌫|-|
-- - -- --- -- -------- -- --- ------- -	--⌫-⌫--⌫---⌫--⌫--------⌫--⌫---⌫-------⌫|
uersi onXIII (2 ) p013	-----⌫-----|--⌫|---|
(f ol.31 7a)qua nti l	--⌫--|--⌫|-|---⌫-|-⌫|
lesuirent sim is si l or	--|-----|-|-⌫-|-|-⌫-|
demandèrent	-----------|
Sirekiuo ii s aensiatoiirnésEti l	---|-|--⌫--⌫||---|---------|-|-⌫|
lor distkilauoit	--|---||-|----|
laronse nc on trés kiensi lesa* **	-----|-⌫--⌫--⌫----|-|---|--|-|||
*uo ie nt atirés.Moiiten fisentgrantduel mai s	|--⌫--⌫-|-------|----|-|-----|----|---|---⌫|
tostfur en trewestu	---|---⌫--⌫|------|
etracesmécarilauaientbiendecoi. Si	-|-------|--|-|------|---|-|---|-|
remonte ̀rentetalerentloruoie. Celuii orcheMauchi erent	-------⌫----|-|------|--|----|----|-⌫-|---------⌫----|
neonquesbmesire Tiebaus	-|-----||-----|------|
cpi orsam-	|--⌫-|---|
blant adladamenenmo n s tra.	----|-|-|---||-|--⌫-⌫-⌫---|
Lanuituinrentauneboi ne	-|---|------||--|---⌫-|
uilee tc i lluecs e hierbregierent.	---|-⌫-|-⌫----|-⌫|--------------|
Mes ire T ieba u sd em andaasonos tesil	---⌫--|-⌫----⌫-⌫|-⌫--⌫---||--|--⌫-||-|
auoit milemaisonde	----|---|-----|-|
relegionprésd illuecuonpeüstlaissier imedame	-------|----||-----||-|-----|-------|--|---|
etliosteslidist Sirebienuuu s	-|-|----|-|---|---|---|---⌫|
en estaYe nu.Chi	-|--|---⌫--|--|
defors a i inemoiitrelegieiisemaisonet de	-----||-⌫--|----|----------|-----|-|-|
moii t boines gen s	----⌫|-----|---⌫|
f.Cel emiis	-|---⌫|---|
passa.M esire8 Tie-baii s lendemainhsen1	-----|-⌫----||--------⌫||-------|||-||
ala alamaisonet i sioï	--||-|-----|-||-|--|
messe.Apriés	-----|------|
alabee sseet	||----⌫--|-|
at ico uuentet	--⌫|--⌫----|-|
lorpria1qiiecele d ame	--|----|---|---|-⌫--|
ligarda issentlaien s dusquesas onr e uenir. Onmli	-|-----⌫-----|-----⌫|------||-⌫-|-⌫-⌫-----|-||-|
otriarno iitYolentiers.MesireT ieb ausi hissa	----|---⌫--|----------|-----|-⌫---⌫--||----|
de sa maisnien	-|-|------||
uers ionXIIIp014	----⌫----------|
son peler inageet r eui ntparl a	--|-----⌫----|-|-⌫---⌫-|--|-⌫|
d ame.Bien fi st enl amaison	-⌫---|---|--⌫-|-|-⌫|-----|
etrep ristladameet leramenaenu	-|---⌫---|-|---|-|-|-----|-||
et a si granthoneureta	-||-|----|-----|-||
si gran tioi ecom illien	-|----⌫|---⌫|--|-|---|
2auoitmen ee fors ke	|----|---⌫-|---|-|
degésirenson lit .	-|-----|-|--|---⌫|
U reuenirenla te rem olt	|------|-|-|--⌫-|-⌫--|
f iston g rantioie de lui. Ili3	-⌫--|-|-⌫---|---|-|---|-|-|
qensd e Pontiue tsesoncles	---|-⌫|-----|-⌫|--|-----|
liquensde SaintPoletl idamefu	-|----|-|----|--|-|-⌫|---|-|
molthonereededamesetde	---|------|-|----|-|-|
demisseles.Ce iorl i	----------|-|--|-⌫|
qen sdePon tiu men gaauoec mon-segneurT.as escuel le.	---⌫|-|---⌫--|---⌫-|----|----------|-|||------⌫--|
Aprèsle mengieril l i dist	-----|-|------|-|-⌫|---|
T. biaus fixkiloncuail uoi t.Or	-|----|--|-|---|-|-|---⌫-|-|
me con t ésaucu n e au ent ur e queuous aués ueüeuoï	-|---⌫-⌫--|----⌫-⌫|--⌫---⌫--⌫|--|---|----|----||--|
dire. EtmesireT.lires-	----|-|-----|-|-|---|
--- ------------------------ ----	---⌫------------------------⌫---|
uersionXIII (2)p014	----------|--|---|
a uoe cl adamepourli seruiretsen	-⌫---⌫|-⌫|---|---|-|-----|-||-|
a l aetfistson peier inage aumiex	-⌫-⌫|-|---|--|-----⌫----|-|---|
kllpot . Et	|-|---⌫|-|
q u antilot faitso npeie rinag e	-⌫-⌫--|-|-|---|--⌫|----⌫-----⌫|
r etourna a	-⌫------||
et uint a la dame. B ienf ist	-|---||-|----|-⌫--|-⌫--|
alemaiso n	|-|-----⌫|
etdounabdous ienetre pristl adame	-|-----|--|-⌫--|-|--⌫----|-⌫|---|
en mena enso n p aïsa	-|---|-|--⌫|-⌫---||
ausigrantioieet aa us i	---|----|---|-||-⌫--⌫|
granthonnor	----|-----|
comil len auoi t	--|-||-|----⌫|
ameneeforsdel iesirc ensonlit.	-----|---|--|-----|-|--|---|
8.—Ilreuintensatier e.	-||-|-----|-|-|----⌫-|
Mout fiston(fol. 3 17b)	---|---|-|----|-⌫-|-|
grant ioiede	----|---|-|
d e la dame .Ilifuli qu en s de	-⌫|-|----⌫|-||-|-|--⌫--⌫|-|
Pon tiu p eresfala	---⌫--|-⌫----||-|
dameets ii fu li	---|-|-⌫||-|-|
quens deSaintPolkion clesfuamonseignourTiebaut.	----|-|----|--|-|--⌫---|-||----------|-------|
Moutiotdeboines gensetd e uail-lansa	---||-|-|-----|---|-|-⌫|--------||
lo rreuenues.Ladamefumo uthonoréedesdames	--⌫|------|-|-|---|-|--⌫-|-------|--|----|
et desdamoisie le s.Celiour h fis t liqu e nsdeP ontiu	-|--|--------⌫--⌫-|--|----⌫|---⌫|-|--⌫-⌫-|-|-⌫----|
m onsei gnour Tie bautmangierauoe c lui a ses cuiel e.	-⌫-----⌫----|---⌫----------|----⌫|--|||--⌫-----⌫-|
Aprèslidist liq uensTh iebaut biau s fius	-----|-|---|-|-⌫---|--⌫-----|----⌫|---|
lu lo ngeuoieua	-|--⌫--|---|-|
dauenturesdontcil ne seuent rie nski nese	|--------|---|--|-|-----|---⌫-|-|-|-|
remuent. Ormec onte ́skaucuneauentu re1ke	-------|-|-|-⌫----⌫-||-----|------⌫-||-|
uousa ués	---|-⌫---|
uersion XIIIp0 15	-------⌫------⌫-|
uoi tnulea ue ntureconteretli qens	---⌫|---|-⌫--⌫----|-----|-|-|---|
(fol.208)au tre fois	----|---|--⌫--|---|
len priaetil	|-|---|-|-|
distSirepuiscaudire	---|---|---||-|---|
uient ienel uousd irai	----|-|--|---|-⌫---|
oïe detant de gent .Li	---|-|---|-|----⌫|-|
qensse leu aetlepris tpa r lemain	---|-|---⌫|-|-|----⌫|--⌫|-|---|
etlemenaaune	-|-|---||--|
partetm esireT. l i conta qensi	---|-|-⌫----|-|-⌫|----||---|
estoit auenu.i. ch e ualieret	-----|----|--|--⌫-⌫-----|-|
une damemaisilne	--|---|---|-|-|
nom amieluiet	---⌫|--|--|-|
liqenslidemandaque li	-|---|-|------|--|-|
cheualierauo itfaitde	--------|---⌫-|---|-|
distqueill auoitremen eea1au tel	---|--|-||----|-----⌫-|||--⌫--|
ioieeta autelhoune u rcomil	---|-||----|-----⌫-⌫|--|-|
len au oit men eefors	|-|--⌫--|---⌫-|---|
k edeiesirensen	-⌫|-|----|-|--|
---------------------- ---------	----------------------⌫--------|
u ersi onXIII (2)p015	-⌫----⌫-----|--|---|
u e üeuoïd ire puis ke uouspar tistesde cest	-⌫-⌫--||--|-⌫--|---|-|---|---⌫-----|-|---|
païs.Etmes ireTi ebauslirespondi kllne sauoit	-----|-|---⌫--|--⌫----|-|-------||-|-|-----|
nuleauentureconteretli quens lipr o ia	---|-------|-----|-|-|----|-|--⌫-⌫-|
a utref oi s etm oiit	-⌫-----⌫--⌫|-|-⌫---|
i en an goussaet tintmoutaengrant	|-|--⌫-----|-|---|----|-|----|
daucune auen turebconter et	|-----|----⌫---||-----|-|
tantke mesire Tiebauslir espondiSire puisque aldire	---|-|-----|------|-|-⌫------|---|------|-|---|
u ie ntioudira ic maisc eniert	-⌫--⌫-|--|----⌫-|---|-⌫||---|
m ieen loïedetantdegentse il	-⌫-|-||---|-|---|-|---|-|-|
uousplaist.Li q uen srespondi det	---|------|-|-⌫---⌫|-------||-|
distkebie nli plaisoit casouffrirune	---|-|---⌫|-|--------⌫||-------|--|
piec e.Aprié s	----⌫-|------⌫|
mangierluéske onotmangiéliquen sse	------|----|-|-|-|--------|----⌫|-|
leu aetprist	---⌫|-|----|
mo nseigneurTiebau tpar la mainetfdistO r m e	--⌫--------|------⌫|--|-|---|--|---|-⌫|-⌫|
plaistke-uous medites -uostre	-----|-|----|-|----|------|
pla isir carchi n	---⌫---|--|--||
a mie plentédegent .EtmesireTiebaus commencha	|--|------|-|----⌫|-|-----|------|--------|
s aco nterkeensi estoitayenut a	||--⌫---|-|---|-----|-----||
.i.cheua l ieret aune dametout h en si (fol. 317	--|-----⌫-⌫--|-||--|---|----⌫|--⌫-|----|--|
c)c om meuous aués oi ̈deuantel	-|-⌫--⌫-|---|----|--⌫|-----|-|
contemaisil ne contamieles	----|---|-|-|----|--|--|
n onsacuiil estoitaue n ut.Et	-⌫--||--|-|-----|---⌫-⌫--|-|
liquens quimoutestoit sages	-|----|--|---|-----|----|
e tapenséslidema ndake	-⌫|-------|-|----⌫--|-|
li cheual iers auoitfaitdeladameetil	-|------⌫---|----|---|-|-|---|-|-|
respondietdist ikelicheualiers	-------|-|---||-|-|---------|
auoitladamera men eeketaconduite	----|-|---|--⌫---⌫-||-|--------|
en sonpaïsarrie ́réaausigrant ioie	-|--|----|-----⌫---||---|----|---|
e t a ausi	-⌫||---|
granthounourcomil	----|------|--|-|
len awitm e nee1	|-|---|-⌫-⌫---|
f ors kedeliesirel	-⌫--|-|--|----|-|
litu la dame	--||-|---|
gissoit. Tieba ut	-------|-----⌫-|
uersi onXIII p016	-----⌫------⌫---|
lit.T. a utre	---|-|-⌫---|
senseut l i	---|--|-⌫|
cheualierkeiouneüsse que p a rlefoique	--------|-|--||-----|--|-⌫-⌫|-|--|--|
i odoiuous queieleüselapendue1	-⌫|--|---|--|-||----|-|-----||
a lebrancedun	|-|-----||-|
arbreparles trecesd uneronse	----|--|--|-----||--|----|
udele coro iemeïsme—Sirefaitm esire T.	|-|-|----⌫-|------||---|---|-⌫----|-|
fust miela cosesibien	---|--|-|---|-|---|
creu ̈ecomme elleseraquantladame	----⌫-|----|---|---|----|-|---|
m eïsmeslete mon gne ra .—T. f aiti l sa ués quili	-⌫--------|--⌫---⌫---⌫--⌫||-|-⌫--|-⌫|--⌫---|--|-|
cheualier fu—Sireoiebien.—	--------|-||---||-|----||
------ - --------------- - ---- -- --	------⌫-⌫---------------⌫-⌫----⌫--⌫-|
uersionX III(2) p016	--------⌫--|--|---|
faitliquens autr esens a e ü li	---|-|----|----⌫|---||-⌫-|-|
c heualiers ke io un	-⌫--------|-|--⌫||
eüsse car par	-----|--|--|
la foiqu eioudoi a Diu	-|--|--⌫|--|--||--|
uouske ioumou taim k e ioueüssela	---|-|--|---⌫|--|-⌫|--|-----|-|
dam e pen duea un arbre parles	---⌫|---⌫--||-|----|--|--|
trecesuapar u neronss eude	-----|-|--|-⌫-|-----⌫||-|
labc or oiem eï smess ec	--|-⌫--⌫--|-⌫---⌫---|-⌫-|
au t reh art	--⌫-⌫-|-⌫--|
nepeüssetrouue r1	-|------|------⌫||
—Si r e faitmesireTiebaussi	|--⌫-⌫|---|-----|------|-|
ne fust pas lacose	-|---|--|-|---|
si certaine	-|-------|
c omelesera	-⌫-|--|---|
qua ntladame meïs me se scorsl e	---⌫-|-|---|-----⌫-|--⌫|---|-⌫|
ti esmo ignera .—T liiebaiitfaitliquens saués uous	--⌫----⌫------⌫||-⌫--------|---|-|----|-----|---|
kilicheualiersfu	-|-|---------|-|
— Sirefai t mesi re	|---|---⌫|----⌫-|
Tiebaus encor uou sproieioudk e uou s me	------|----|---⌫|----|--||-⌫|---⌫|-|
déporté s denoumerlecheualiera c ui	---------⌫|-|-----|-|--------||-⌫-|
ce steau enture	--⌫--|--⌫-----|
auint.Saci ésp oruoirkeeln oum er negist	-----|----⌫--|-⌫-|---|-|-|-⌫---⌫-|-|---|
miegransconqués.—	-------|--------||
Tiebautfa itliq uens	------|--⌫-|-|-⌫---|
sachie ́se kiln estpasmesgrés	------⌫--||-||--|--|--|----|
