Cycom me nc e	-|---⌫--⌫--⌫|
Orleanshabillerd eliuree	------|-------|-⌫|-----|
comme illuy	----|-|--|
semblapourlemieulx	-----|---|-|-----|
Leroyr eto urn a a	-|--|-⌫---⌫---⌫||
ui n c ennesetditaudict du cd	--⌫-⌫-⌫----|-|--|-----|--⌫||
Orleansquil	------|-|-|
fistla plus	---|-|---|
grantdiligenceque faire cepourroitet que inc ontinentque	----|--------|--|----|-|-------|-|--|---⌫-------|--|
etbarons seroient	-|-----|-------|
prestzque lesluy amenasta	-----|--|--|--|------||
uincenneset cepe ndantledi c t ducd	--------|-|-|--⌫----|----⌫-⌫|--||
Orleansetde	------|-|-|
Bo urbonquieurentladicte	--⌫----|--|-----|------|
c hargefire ntap pres terd eux	-⌫----|----⌫-|--⌫----⌫--|-⌫--|
mille hommesd	----|-----||
ar mes d es plus	--⌫--|-⌫-|---|
gr ans dur oyau lmeetquat r emille	--⌫--|-|-⌫----⌫--|-|----⌫-⌫|----|
archiersaueclescostillier s etpag es	-------|---|--|----------⌫|-|---⌫-|
pourconduire et	---|-------|-|
ga rder legrant	--⌫---|-|----|
nombredescoffres	-----|--|------|
e tba utzquilme noit	-⌫|--⌫--|-|-|--⌫---|
Carde d ansiceu lxf urentmishab illemens	--|--⌫-⌫--|----⌫-|-⌫----|--|---⌫-------|
drapsdoretd e soye bag ues et	----||-|-|-⌫|---|---⌫--|-|
aultr esrichessesinnumerablesetfitmene r auecq les dic tz	-----⌫-|--------|-----------|-|--|----⌫|----|---⌫---⌫-|
sommierscha riot zcostur ierset bro deurs q u ilznefaisoientau ltre	-------|---⌫----⌫|------⌫---|-|---⌫----|-⌫|--|-|--------|--⌫---|
chos e qu efai rehab illemensdediuerse smanieres	----⌫|--⌫|---⌫-|---⌫-------|-|-------⌫|-------|
entr etint leroy d	----⌫----|-|--||
Angleterr e aum ieulxqu ellepeutet	---------⌫|-|-⌫----|-|---|---|-|
honnorabl ementq uef aire c e pouuoit en act endant	---------⌫----|-⌫-|-⌫---|-⌫|------|-|---⌫-----|
q ue so nfil zfut	-⌫-|--⌫|---⌫|--|
Et cependantledictroyfa isoit chercherdrap sdo r	-|-|------|-----|--|--⌫----|-------|----⌫||-⌫|
et desoyeet aul tr esbaguesp ou r eu lx	-|-|---|-|---⌫--⌫-|-----|-⌫--⌫|--⌫-|
fo rnirlesquelz entr ouueren t bien peuca r le	--⌫---|-------|-|--⌫-------⌫|---|--|--⌫|-|
F rance auoitprin stout le meilleuret le	-⌫----|----|----⌫|---|-|-------|-|-|
plus beaudontles	---|---|---|--|
A ngloisestoientfortesbays comme	-⌫-----|-------|---|-----|----|
en u netelleuilleque	-|-⌫-|----|----|--|
auoit s ipeudedrapsde so yetoutesf oi zleu r	----|-⌫|--|-|----|-|--⌫-|-------⌫--⌫|---⌫|
futforce deprendr eengrécequilz	--|----|-|------⌫|-|---|-|-|--|
trou uerent	----⌫-----|
C ependantle ro y de	-⌫|------|-|--⌫|-|
Francefut prest	-----|--|----|
pourpa r tirets enallerent	---|--⌫-⌫--|-||-|-------|
sec retementparbandes les	---⌫-------|--|-----|--|
u ngsparun g li eu	-⌫--|--|--⌫|--⌫-|
les aultresparung a ultretellementqueleroy	--|------|--|--|-⌫----|--------|--|-|--|
Angl eter renesesgensn esen	----⌫----⌫-|-|--|---|-⌫||-|
apparceurentpoint	-----------|----|
Co mmen t lescentcheualiers etl escentpagestous montez	--⌫----⌫|--|---|---------|-|-⌫-|---|----|---|-----|
ethabillez demesmesar riuerentdeuers leroyde	-|-------|-|-----|--⌫-------|-----|-|--|-|
ui ncennes	--⌫------|
baronset lescent pagesenbelleordonnan ceuindrent	-----|-|--|---|----|-|----|--------⌫-|-------|
deuers leroy a	-----|-|--||
uincenn eshabillez	-------⌫-|-------|
simignonnementqu ecestoitmerueill esetbelle	-|-----------|--⌫||-----|--------⌫-|-|----|
chose au e oirtousestoient uestuzdeuelours n oir	----||-⌫-⌫--|---|-------|-----|-|------|-⌫--|
brode ́touta lentour definor et	-----⌫|---|||-----|-|--|-|-|
les pourpoins de finsati n	--|--------|-|--|----⌫|
Ilz estoientmerueille us eme ntbeaux etblondese tbienen	--|-------|---------⌫--⌫---⌫-|----|-|------|-⌫|---|-|
pointmaissur	----|---|--|
to us e stoitle royleplusbe aue t le plus	--⌫-|-⌫----|-|--|-|---|--⌫-|-⌫|-|---|
parfaictcar belet grant homm eesto it	-------|--|--|-|----|----⌫|----⌫-|
Si deffe ndit	-|-----⌫---|
incontinant asesgensqu il zne diss ent a pe rsonne	----------||--|---|-|--⌫|-|----⌫--||--⌫-----|
quilestoitsinon qu	-|-|-----|-|--|-|
ilauoi tnom	-|----⌫|--|
Paris etquilestoitfilzd	----|-|-|-|-----|---||
ungr ichebou rgeoi s dudictlieuq ui luyauoit laisse ́	--|-⌫---|---⌫-----⌫|-----|---|-⌫-|--|----|------⌫|
moultgran de	----|----⌫-|
richess eet gra ns	-------⌫|-|---⌫-|
biensaprèssondecex	----|-----|--|----|
Quantil sceut queleroy d	----|-|----|--|-|--||
Ang leterreuouloitpartir	---⌫------|------|-----|
Parisilp artetti reson c h emi n parla	----|-|-⌫--|-|--⌫-|--|-⌫-⌫---⌫|--|-|
Beau sse carilsa u o itbie nque l edic t	----⌫--|--|-|--⌫-⌫-⌫-|---⌫|--|-⌫----⌫|
roy uou loit	--|---⌫---|
Orleans etde l aa	------|-|-|-⌫||
Bourd eauxet	-----⌫---|-|
p ourceils en	-⌫--|-|-||-|
alladeuan tiusquesuers	---|-----⌫|------|---|
Et quant ilfut aduertique leroy d	-|----|-|--|------|--|-|--||
Angleterreuenoitilpartitd	---------|-----|-|-----||
E stem peset semit	-⌫----⌫--|-|-|--|
acheuauch erla	|--------⌫-|-|
B eausse t outbellementpour c ontreactend re leroyd	-⌫-----|-⌫--|--------|---|-⌫-----------⌫-|-|--||
Angleterre	---------|
Ce fut ungmar d iaprèsqueler o y	-|--|--|---⌫-⌫|-----|--|-|-⌫-⌫|
fai soit nom me ret	---⌫---|---⌫--⌫|-|
cheu a u ch o itbelle menta tout deu xcensch euau lx grisonsetg ens	----⌫-⌫-⌫--⌫-⌫-|-----⌫---||---|---⌫|---|--⌫----⌫-|------|-|-⌫--|
telzcomme au ez ou ycom ptercydeuant	---|----|--⌫-|--⌫|---⌫---|-|-----|
etso nos testoit all é paraultr e cheminaffin	-|--⌫|--⌫|-----|---⌫-|--|-----⌫|-----|----|
quele royd	--|-|--||
Angl e ter reneles apparceustetcon duisoientles	----⌫-⌫---⌫-|-|--|---------|-|---⌫--------|--|
ch ariotz etrichessesd e	--⌫-----|-|--------|-⌫|
Pa risetauoienttous	--⌫--|-|------|---|
les io ursnou uellesl es u ng sdesaultr es	--|--⌫--|---⌫-----|-⌫-|-⌫--⌫|--|-----⌫-|
Lero y anglois	-|--⌫|------|
cepartitic eluy i our d	-|-----|--⌫---|-⌫--||
Estempesetcheua uch oitm oultfort siluy	-------|-|-----⌫---⌫--|-⌫---|---|-|--|
dirents esgens qued euanteulxauoit	-----|-⌫-|---|--|-⌫----|---|----|
unecom pai gniede	--|---⌫---⌫---|-|
gens moultbienacoustr ez ilse ro it bonenuoy er ueoir	---|----|---|-------⌫-|-|--⌫--⌫-|--|-----⌫-|----|
Angleterreenuoyalungde ses	---------|-----||--|-|--|
heraul xpour	------⌫|---|
l esueoir et	-⌫-|----|-|
sauoirquec esto itetcommentildemandale chef	-----|--||----⌫-|-|------|-|------|-|---|
compaigni e	---------⌫|
Alorsleroy d	----|-|--||
Angleterre command a alungdes es	---------|-------⌫|||--|-|-⌫-|
baronsqu ilallast querir u ng	-----|-|-|-----|-----|-⌫-|
Sifut incon tinantuenu etalors	-|--|-----⌫-----|---|-|----|
luy ditet c h argea	--|--|-|-⌫-⌫----|
queil alla st ue oircelle be llecompaig nieet	--|-|----⌫-|--⌫--|----|--⌫--|-------⌫--|-|
quil senquerist et dem andastquiestoit	-|-||--------|-|---⌫-----|--|-----|
le seigneu rd eul xetq uil	-|-------⌫||---⌫|-|-⌫|-|
le saluast deparluy	-|------|-|--|--|
Incontinantleheraultpartit e t	----------|-|------|-----|-⌫|
p i cqu e soncheualdesesperonset	-⌫-⌫---⌫|--|-----|--|-------|-|
fit tantquila rriuaprè s deulxetregarda	--|---|-|-|-⌫----|----⌫||---|-|------|
comme ilzcheuauchoien tenbelle	----|--|------------⌫|-|----|
ordonnanceettousles cheuaulxpareilz	---------|-|---|--|-------|------|
sc eutquefaire carilz luysembloientestre tous	--⌫--|--|----|--|--|--|---------|----|---|
angesdesce ndus des cieul x	----|-----⌫---|--|-----⌫|
nyoncqu esensauie n auoitu eu s i	-|-----⌫-|-|-|--||----|-⌫-|-⌫|
belle compaigni e	----|---------⌫|
Siprint courage et	-|----|------|-|
Dieu etuint	---|-|---|
iusquesaup lusprè s	------|-|-⌫--|----⌫|
desdernie rstoutpaou reux e ttremblantet	--|------⌫-|---|----⌫---|-⌫|--------|-|
g ardmesseigneurs	-⌫--|-----------|
uue illez sçauoi r	---⌫----|-------⌫|
que ler oyd	--|-|-⌫-||
Ang lete rremonmaistreque uienticyaprèsmoy	---⌫----⌫--|--|------|--|----|--|-----|--|
ma enuoyéu er suous poursauoirq uies toit	||------|-⌫--⌫|---|---|-----|-⌫-|--⌫---|
le cappit ain eet se igne ur	-|------⌫---⌫|-|--⌫----⌫-|
desibelle com paig n ie	-|-|----|---⌫----⌫-⌫-|
lungdeulxe lle esta	|--||---|-⌫--|--||
Parisnostre mai stre	----|-----|---⌫---|
Et estilic y	-|--|-|--⌫|
Ouyrespondi rentl es	--|--------⌫---|-⌫-|
François il cheuauchebie nloin g	--------|-|--------|---⌫|----⌫|
E t uoussemb ledit ilqueiepuisse	-⌫|---|----⌫-|--|-|--|-|-----|
parl eraluyetquel cheualilcheuauche	----⌫-||--|-|---|-----|-|--------|
u ous pourrezbi en parl er aluy m aisque	-⌫--|------|--⌫-|----⌫-||--|-⌫--|--|
u ousuoushastezungpeude	-⌫--|---|-----|--|--|-|
c heuauche r	-⌫--------⌫|
Etcomm en t le congn oistré	-|----⌫--⌫|-|-----⌫------|
uousleco ngnois trezparcequ ile sthabillé	---|-|--⌫------⌫---|--|-|-|-|-⌫-|-------|
commelesaultresma isilpo rte unepet ite	----|--|------|--⌫-|-|--⌫--|--|---⌫--|
uer ge bla ncheensa main	---⌫-|---⌫---|-|-|---|
Siditlehe rault	-|--|-|--⌫----|
Gran tmercy	----⌫|----|
Adonc cheuauchele	----|--------|-|
h erault parmy la	-⌫-----|----|-|
p resseuoyantsi g ranttriumphe qu	-⌫----|-----|-|-⌫---|-------|-|
ilen es toitquasienreuer ie	-|-|--⌫---|----|-|-----⌫-|
Siche uauchata ntqu	-|---⌫-----|--⌫-|-|
ilui tcelu yqu il	-|--⌫|----⌫|-|-|
demandoit siuintaluye t lesa lua endisant	--------|-|---||--|-⌫|-|--⌫--|-|-----|
Tresh ault e t pui ssa nt ienesçay	-----⌫---|-⌫|---⌫---⌫-|-|-|----|
uozt i ltresparqu oy uouspuisse hono rersi me	--|-⌫-⌫----|--|--⌫-|---|-----|----⌫--|-|-|
a u rezpourex cuse ́	-⌫-⌫--|---|--⌫----⌫|
Plaise uous sçauoirmontres redoubté seigneurque leroy	-----|---|-------|--|----⌫--------|-------|--|-|--|
Anglete rr emon maistremai cy	-------⌫--⌫|--|------|||-⌫-|
enuoyépard eu ers uostrese igneuriesçauoir	------|--|-⌫--⌫--|-----|--⌫-------|-------|
uousestezcarilest	---|----|--|-|--|
icybienprès	--|---|----|
et des ir efor testre enuostrec o mpaignie	-|---⌫--⌫|---⌫|----|-|-----|-⌫-⌫-------|
Mona myuou sluypou rrez d ire que ie	--|-⌫-|---⌫|--|---⌫---|-⌫--|--|-|
merecomma ndea	-|-------⌫--||
grace etquesil c heuauche ungp eu	----|-|--||-|-⌫-------|--|-⌫-|
legierementnouspou rraactaindrecar nousne	----------|---|---⌫--|--------|--|---|-|
ch euauchon s pastropfort	--⌫--------⌫|--|---|---|
lui d ir ayie quiuouseste s	--|-⌫--⌫-|-|--|---|----⌫|
Monamydictesluy	--|--|-----|--|
Pari ssui s appellé	----⌫|---⌫|-------|
Leheraultnel oz a	-|------|-||--⌫|
pl us interr oguerdoubtantluy	--⌫-|------⌫----|-------|--|
de spla ire	--⌫----⌫--|
Si s en retournauers sonseigneurtoutesmeruei ll é	-||-|-------|---|--|-------|---|--------⌫--⌫-|
dece quil auoitueu	-|-|-|-|----|--|
Sicheuau chasi	-|------⌫--|-|
fortq uiluintdeuersleroyetquant	---|-⌫|-|---|-----|-|--|-|----|
fut aluy luy comptal estri u mphes	--||--|--|-----|-⌫-|---⌫-⌫----|
etmerueillesqu ilauoit ueueset	-|---------|-|-|----|----|-|
ouyese tluyditquilz	----|-⌫|--|--|-|--|
esto ienten uirondeux	----⌫---|--⌫----|---|
censc heuaul x tousdune liure e	---|-⌫------⌫|---||--|-----⌫|
et estoient lescheua u lxtou s dung po il ety	-|-------|--|-----⌫-⌫-|---⌫||--|--⌫-|-||
auoit c e nthommes etce ntpages tou sd	----|-⌫-⌫-|-----|-|--⌫-|----|---⌫||
ungmesmesha bite t demesure deage	--|-----|--⌫--|-⌫|-|-----||---|
les plu s bellesgensqueiamais	--|---⌫|-----|---|--|-----|
ilauoi tueuz	-|----⌫|---|
S icroyroisie plustostquecefussent	-⌫|-------|-|---|---|--|-|------|
esp erit z que corps morte lz	---⌫----⌫|--|----|-----⌫-|
To u tesfoiz sui suenua	--⌫-⌫------|---⌫|---||
eulxetaytantfait	---|-|-|---|---|
quei ayparlé aleurmaistre lequ el i	--||-|-----||---|------|----⌫-||
aysaluédeparuous e tm a	-|-----|-|--|---|-⌫|||
ditqu i l estoit nom mé	--|-|-⌫|-----|---⌫--|
Paris car plu s au antne l	----|--|---⌫|--⌫--|-||
ay ozéinter rogu er et	-|---|-----⌫----⌫-|-|
adifferenc e	|---------⌫|
ent reeulxet l uysino nquil	---⌫-|---|-|-⌫-|-|--⌫|-|-|
porte ung baston blancensa main etest	----|--|-----|----|-|-|---|-|--|
meruei lleu se mentbelpar sustouslesaul t res et	------⌫----⌫--⌫---|--|--|--|---|--|---⌫-⌫--|-|
necheuauche pasf ortquetos t nel ayez	-|--------|--|-⌫--|--|---⌫|-||---|
Commentle r oy d	------|-|-⌫-||
Angleterrecommandaa	---------|-------||
cesbar onsquilzcheua uchass ent	--|---⌫--|-|--|-----⌫------⌫--|
quantilsceut	----|-|----|
lesnouuellesde	--|--------|-|
O r c heuauchons di t le ro y d	-⌫|-⌫---------|--⌫|-|--⌫||
Angleterreetalorsdit au	---------|-|----|--|-|
plu sprinc ipaulxdesesbaronsquilz cheuauchassentau	---⌫|-----⌫-----|-|--|-----|-|--|-------------|-|
près deluy en belle	----|-|--|-|----|
ordonnance	---------|
Si cheuaucherent	-|------------|
ilz u indre nt	--|-⌫-----⌫-|
ioindre ius quesauxdernie rs	------|---⌫---|--|------⌫-|
Etqu ant i lles uit il	-|--⌫--|-⌫|--|--|-|
enfut mo ult	-|--|--⌫--|
esmerueill étoute sfoizlessaluamoul t dou lcem entetilz	----------⌫-|-----⌫----|--|----|----⌫|---⌫----⌫--|-|--|
lu yrendirentsonsalut	--⌫|--------|--|----|
Messe ig neursditlero y angloisi e	-----⌫--⌫----|--|-|--⌫|------|-⌫|
quem e uueillezm ons trer	--|-⌫|-------|-⌫---⌫---|
Parispour ce quel	----|---|-|--||
estseigneurde	--|-------|-|
c estebellecompa ignie	-⌫---|----|-----⌫----|
Siredirentceulxnoussommes sesseru iteur s siletrouuerez	---|-----|----|---|-----|--|----⌫-----⌫|-|-|--------|
ungpeuplus auantoui l	--|--|---|----|-|-⌫|
porteungb as tonbla ncensa main	----|--|-⌫--⌫--|---⌫-|-|-|---|
e tche ua u che deuant pourlamourde la	-⌫|---⌫--⌫-⌫--|-----|---||----|-|-|
pouldriere	---------|
I euoisparleral uy	-⌫|---|-----||-⌫-|
Enbonneh e ure direntilz	-|----|-⌫-⌫--|-----|--|
Tant che uaucha leroyregardant dec ̧a et	---|---⌫-----|-|--|--------|-|-⌫-|-|
de laquil uint iusquesa	-|-|-|-|---|------||
P arislequel ilsalua mou lt	-⌫---|-----|-|----|---⌫-|
doulcementen	---------|-|
Co mmen t leroyd	--⌫----⌫|-|--||
Anglete rre ar riuaau	-------⌫--|--⌫---|-|
les alua nt	-|-⌫----⌫-|
moultdoulcement	----|---------|
Ie han d e	--⌫--|-⌫|
P aris le roy	-⌫---|-|--|
D ieudointhonneuretioye a	-⌫--|----|------|-|---||
asabellecompaignie	|-|----|---------|
desp laisecar	----⌫----|--|
iene s c ̧ay	-|-|-⌫-⌫--|
letiltre deu ostreprincip allese igneurie	-|-----|-|-⌫----|-------⌫---|--⌫-------|
Pa risuouslesçauezbi encarcestmon	--⌫--|---|-|------|--⌫-|--||--|--|
droit tiltreque	----|-----|--|
uous soyezle	---|----|-|
tresbienuenu et	-------|---|-|
uous p l aistme	---|-⌫-⌫---|-|
direzleuostre	----|-|-----|
uoulent iersditleroyie	-------⌫---|--|-|--|-|
suis leroydes	---|-|--|--|
Ang loisappellé	---⌫---|-------|
Enbonne heure dit	-|----|----|--|
Pariset ouallez uous en	----|-|-|----|---|-|
cesma rches	--|--⌫----|
Ce rt esditleroyi e m en uo ism arier	--⌫--⌫-|--|-|--|-⌫||-|--⌫-|-⌫----|
Espaigneala fille	-------||-|----|
duroy dup a ys	-|--|-|-⌫-⌫-|
Enbonneheu repar	-|----|---⌫-|--|
Piquaul tdit	-------⌫|--|
Etuousditleroy enquelpaysallez	-|---|--|-|--|-|---|---|----|
Pari sie men uo ispasser	----⌫|-||-|--⌫-|-----|
letempspar lespayscarieme es maye	-|----|--|--|---|--|-|-|--⌫---|
Parisetpource ay deslibere ́ daller	----|-|---|-|-|---------⌫||----|
Bourdeaulxetailleurssi lecourage	---------|-|-------|-|-|------|
leme c onse ille	-|-|-⌫----⌫---|
Ormedictesbeausireditle	-|-|-----|---|---|--|-|
ro y s ilestuostrep laisirde qu ele s tatestez	--⌫||-|--|-----|-⌫-----|-|--⌫-|-⌫-⌫--|----|
uousquitellecompaignie	---|--|----|---------|
menez carcestlaplus	----|--||--|-|---|
i e uis oncques	-⌫|--|------|
Cer t e s responditil iesuis filz d	---⌫-⌫-⌫|--------|-|-|---|---||
ungmoultri cheb ourgeois	--|----|--⌫--|-⌫-------|
Parisque trespass ailya longtemps	----|--|--------⌫|-|||--------|
etmelaissam oultde	-|-|-----|-⌫---|-|
Sim enuoisendespendre	-||-|---|-|--------|
unepartieetpuisienamas seray de l	--|-----|-|---||-|----⌫----|-||
Co mment amasserditleroy etmenez u oustout ce	--⌫----|------|--|-|--|-|----|-⌫--|---|-|
tr ainauozd espens	--⌫--||--|-⌫-----|
Ouycerteset es tbienpeudechose	--|-----|-|--⌫|---|--|-|----|
quant a moyueu	----||--|--|
cequemonpere m	-|--|--|---||
Parm afoy ditl e royuous en	--|-⌫|--|--|-⌫|--|---|-|
serez b ientost a bout cariln	----|-⌫--|---||---|--|-||
ya roysu sla	||--|--⌫|-|
fustbienlaset	---|---|--|-|
charge ́deentretenir ung si	------⌫|-|---------|--|-|
C ertesdit	-⌫----|--|
Parisilneuousenfaultia soucierc ar i	----|-|-|---|-|----|-|------|-⌫-||
enay bienplusail le u rs	-|-|---|---|---⌫--⌫-⌫-|
Or c heuauchonsplusfort	-|-⌫---------|---|---|
car ilnousfau ltaller	--|-|---|---⌫-|----|
anuytcou cher	----|---⌫---|
S isenuo nt cheuauch antplusfortquenauoie nt	-⌫||-|--⌫-|--------⌫--|---|---|--||-----⌫-|
acostume ́	--------⌫|
E tleroy disoit parf ois ases	-⌫|-|--|-----|--|-⌫--||--|
Cest homme es tbienfoldeainsia ll antde sp endant le	---|----|--⌫|---|--|-|----|-⌫--⌫--|--⌫--⌫-----|-|
sien parle	---|--|-|
sigranttriump heethonneuretfut il	-|----|------⌫-|-|------|-|--|-|
royouempereurila ungbeautrain	--|-|-------|-||--|---|----|
Sire dire ntsesg ensilamoultbelle contenanceet	---|----⌫-|--|-⌫--|-||----|----|---------|-|
ceil nefustbien s aig eilneust	-|-|-|---|---|-⌫---⌫|-||---|
sceuassembl erpour argentqu	---|-------⌫-|---|-----|-|
ilayeu netel lecompaignie	-|--|-⌫-|---⌫-|---------|
Bi enes turay dit leroyie	--⌫-|--⌫|---|--|-|--|-|
nesç ayq ueypence rmaisce	-|---⌫-|-⌫-||-----⌫|---|-|
me stu nec hosemoultimpo ssiblea	|-⌫-|-⌫-|-⌫---|----|----⌫-----||
croireque lefilz	-----|--|-|---|
dungbourgeois	|--|--------|
Paris pui ssemaintenir tel estat	----|---⌫--|--------|--|----|
Puis picqu oitet	---|-----⌫--|-|
uenoitpa rlera	-----|--⌫---||
P aris q uine tenoit	-⌫---|-⌫-|-|-----|
comp tedel uy	----⌫-|-|-⌫-|
q ue biena pointet	-⌫-|---||----|-|
enbonn e forme	-|----⌫|----|
Si tenoitunemoult bell eg rauité et	-|-----|--|----|----⌫|-⌫------|-|
auecce bellecontenance	---|-|----|---------|
Q uantilzfurent p rèsdungli eunommé	-⌫---|--|-----|-⌫---||--|--⌫-|-----|
Parisuadire a u roy d	----|-|---|-⌫|--||
A nglet er requi moultfortleregardoit	-⌫-----⌫--⌫-|--|----|---|-|--------|
Sires il estde u ostrep l aisiruou s	---||-|--|-|-⌫----|-⌫-⌫----|---⌫|
u ous en uiendrez soupperauecque s moyetfe ronsb onneche re	-⌫--|-|-------|------|-------⌫|--|-|--⌫---|-⌫---|---⌫-|
Grantmercyditle	----|----|--|-|
roymonamymais ieuous p rieque	--|--|--|---|-|---|-⌫--|--|
uie ngnezauecqu esmoyet deuisero n sd e schosesque	---⌫----|------⌫-|--|-|--------⌫-⌫|-⌫-⌫|-----|--|
auonsueues	----|----|
Nonferayrespo ndit	--|----|-----⌫---|
Paris iene l aisseroyepourriens	----|-|-|-⌫--------|---|----|
Et enpa r lantdebe aucop	-|-|--⌫-⌫---|-|--⌫----|
dech osescheuaucherent tant	-|--⌫---|------------|---|
ui ndrent audit lieu pourlo ger la ouiltrouua	--⌫-----|----|---|---|--⌫--|-|-|-|-----|
sesfourriersq uiauoient aco ustr él eslogisleplussumptueu sement	--|--------|-⌫-|------|---⌫----⌫-|-⌫-|----|-|---|--------⌫-----|
quelonpou rroit	--||-|---⌫----|
deui sercarles cuysiniers etmais tresdhostelz alloient	----⌫--|--|--|---------|-|----⌫---||------|-------|
t ous ioursdeuanta ce ll e finq u e	-⌫---⌫----|-----||--⌫--⌫|--|-⌫-⌫|
tout futprestqu antilseroitarriuécequel e	---|--|----|--⌫--|-|-----|------|-|--|-⌫|
Ang lete rrenefais oit paspour celu yfaill oi tpr endre	---⌫----⌫--|-|----⌫--|--|---|-|--⌫|-----⌫--⌫|--⌫----|
quil trou uoit par	-|-|----⌫---|--|
leshostel leriesqu isouue ntestoientmal ac o strees	--|------⌫-----|--⌫|-----⌫-|-------|--|--⌫-⌫-----|
Qu ant ilz furentarriuez	--⌫--|--|-----|------|
auprèsde lauille chascun s	-|----|-|-|----|------||
ensonlog isauecleurcompa ignie	-|--|---⌫-|---|---|-----⌫----|
Co m mentleroyd	--⌫-⌫---|-|--||
Angleterres enallaen sonlogis	---------||-|---|-|--|----|
Par is luy	---⌫-|--|
enuoya desesbien sau	-----|-|--|----⌫|-|
Parisfutentréenson	----|--|-----|-|--|
logis ilfu tmou ltioyeulxpo urce	----|-|--⌫|---⌫-|------|--⌫-|-|
qu ilestoitbi en	-|-|-----|--⌫-|
acous tre ́et lesoupper prest auquelauoitgrantquantite ́	-----⌫---⌫|-|-|------|----|-----|----|----|--------⌫|
deuenaisonetuoullata illede to utessortescar	-|-------|-|--------⌫---|-|--⌫---|-----|--|
ilyau oit gensquinef aisoient	-||--⌫--|---|--|-|-⌫-------|
aul tresc hosesque dallera	---⌫---|-⌫----|--||----||
tr auers pays po u r	--⌫----|---|--⌫-⌫|
trouuereta chepterce quele urestoitnecessai repar	------|-|-⌫------|-|--|--⌫-|-----|--------⌫-|--|
quoy riensneleur	---|----|-|---|
f a illo it	-⌫-⌫----⌫-|
Lesgensduroyd	--|---|-|--||
Angle terre firent tu er be ufz etmontons et de uieillepoulaille	-----⌫----|-----|--⌫-|--⌫--|-|------|-|-|------|--------|
trouuoientuou s	---------|---⌫|
pouezpencersielle est oit	----|-----|-|---|---⌫--|
fort t endre	---|-⌫----|
Quantil futtemps	----|-|--|----|
Pari sfitpor te r aur oyd	----⌫|--|---⌫--⌫|-|-⌫-||
Ang leterreen	---⌫------|-|
granspla tz dordeuiande detoutes	----|---⌫-||-|-|-----|-|-----|
sorte s et uina grant foisondont	-----⌫|-|--||----|-----|---|
ler oy ettous	-|-⌫-|-|---|
Anglois fu rentplusesbaysquedeuant	------|--⌫---|---|-----|--|-----|
Toutesf oizilles	-------⌫--|-|--|
merciae tse assitausouppertandis que	-----|-⌫|-|----|-|------|-----|--|
lauiandeestoitchauldecar sonsoupper nestoit	-|-----|-----|------|--|--|------||-----|
pa sprest etsi	--⌫|----|-|-|
ny auo itpasgrantc h os e	||---⌫-|--|----|-⌫-⌫--⌫|
queatten due d eustest re	--|-----⌫--|-⌫---|---⌫-|
Grant parlement	----|--------|
e stoi ten tre ses	-⌫----⌫|--⌫--|--|
gense tleroyde	---|-⌫|-|--|-|
P ari s lesu ngs disoient	-⌫---⌫|--|-⌫--|-------|
Il est bien fol	-|--|---|--|
d eainsileg ierem ent despe ndreungsigran ttresor	-⌫|----|---⌫-----⌫--|-----⌫---|--|-|----⌫|-----|
lequel es timpossible quil	-----|--⌫|---------|-|-|
luy puisse lon guement	--|-----|---⌫------|
L e saultresdisoient	-⌫-⌫|------|-------|
unemoul t bellecontenanceetres semb le	--|----⌫|----|---------|-|---⌫----⌫-|
bienestresagehom me	---|----|---|---⌫-|
Certesd itl	-----|-⌫-||
a ultreiemesmeruei lle delagranthausterité	-⌫----|-||--------⌫--|-|-|----|----------|
quiltientcar	-|-|----|--|
il neti en tcompteduroynemplus quede	-|-|--⌫--⌫|-----|-|--|--|---|--|-|
Maisoua ilsit osttrouu é	---|-||-|-|-⌫--|-----⌫-|
telleprouisio ndi tleroycomme il	----|--------⌫|--⌫|-|--|----|-|
nou sa enuoye ́	---⌫||------⌫|
nequ elle uaixelleail	-|--⌫---|-------||-|
urayementcestunechozebien	--------||--|--|----|---|
dure acroire a	---||-----||
quineleue rroit toutesfoizc	--|-|-|--⌫----|---------||
est un g b e aupas setempsqued	--|--⌫|-⌫-⌫-|---⌫------|--||
estreen sacompaignie	----|-|-|---------|
D ieuquiluoulsis ttir ernostrechemi n	-⌫--|-|-|-------⌫|---⌫-|-----|-----⌫|
Certessire ditung	-----|---|--|--|
Angloiss i fait iliusquesa	------|-⌫|---|-|------||
Bourdeaulxc om me ild it Iens uismoult	---------|-⌫--⌫-|-|-⌫-||-|-⌫--|----|
ioye ulx d itl ero y	----⌫--|-⌫-|-⌫|--⌫|
N ousn auonsr ie nsque luyenuoy ermaisieueu lx	-⌫--||----|-⌫--⌫-|--|--|-----⌫-|---|-|---⌫-|
queuou s soyezquil irezremercier	--|---⌫|----|--||---|--------|
desbiensquilnous aenu oyezetluy	--|----|-|-|---||---⌫---|-|--|
u eultueni rcou cher	-⌫---|----⌫|---⌫---|
ennost re logiscariecro yq ue	-|----⌫-|----|--|-|---⌫|-⌫-|
lemeilleurq uart ieret si uerrez	-|-------|-⌫----⌫--|-|-|-----|
son estatet	--|----|-|
façon def aire	-----|-|-⌫---|
uoulentierssire y iro ns etuou sen	----------|---||---⌫-|-|---⌫|-|
