SainzTiebauzfu	Sainz Tiebauz fu
enferaplussidistamonSeignorGauuainbiaxniesessaiezi.Sirefaitilsauueuostre	en fera plus si dist a mon Seignor Gauuain biax nies essaiez i . Sire fait il sauue uostre
gracenonferepuisquemessireslancelotn	grace non fere puis que mes sires lancelot n
iueltessaierg	 i uelt essaier g 
imetroielamainpornoientcarcesauezuosbienquilest	i metroie la main por noient car ce sauez uos bien qu  il est
assezmieldres	assez mieldres
cheualiersdemoi,touteuoiesfaitliroisiessaieroizuosporcece	cheualiers de moi , touteuoies fait li rois i essaieroiz uos porce ce
queieleuoil.Nemieporlespeeauoiretilgitelamainnetprentlespeeparleheut	que ie le uoil . Ne mie por l  espee auoir et il gite la mainn et prent l  espee par le heut
etsache,mesilnelapuettrerefors,et	et sache , mes il ne la puet trere fors , et
liroislidist	li rois li dist
maintenant,biauxnies	maintenant , biaux nies
lessiezester,carbienauezfetmoncomandement.MesSiresGauuainsfetlancelotorsachiezquecesteespeeuostoucheraencoreside	lessiez ester , car bien auez fet mon comandement . Mes Sires Gauuains fet lancelot or sachiez que ceste espee uos touchera encore si de
presqueuosnelauoldriezauoirbaillieepor	pres que uos ne la uoldriez auoir bailliee por
unchastel.SirefetmessiresGauuainienenpoimes.Seieen	un chastel . Sire fet mes sires Gauuain ie n  en poi mes . Se ie en
deusseorendroitmorirsilefeisseieporlauolentemonSeignoracomplir.Etquantli	deusse orendroit morir si le feisse ie por la uolente mon Seignor acomplir . Et quant li
roisotcesteparolesiserepentdecequemesSiresGauuainsafet.Etlors	rois ot ceste parole si se repent de ce que mes Sires Gauuains a fet . Et lors
distaperceualquilessaitalespee,etildistquesifera	dist a perceual qu  il essait a l  espee , et il dist que si fera
iluolentiersporfereamonSeignorGauuaincompaignie.Simetlamainalespeeettretmesilnela	il uolentiers por fere a mon Seignor Gauuain compaignie . Si met la main a l  espee et tret mes il ne la
puetauoir,etlorscroientbientuitcildelaplace	puet auoir , et lors croient bien tuit cil de la place
quelancelotdieuoir,etlesletresdoupontqueilsoientueraies	que lancelot die uoir , et les letres dou pont que il soient ueraies
.Siniamessi	. Si n  i a mes si
hardiquimainiosastmetre,etmesSiresKeudist	hardi qui main i osast metre , et mes Sires Keu dist
auroi.Sire	au roi . Sire
sireparmonchief	sire par mon chief
orpoezuosseurementasseoiraudisnerquantuosplaira,caraauenturenauezuospasfaillideuantmengierceme	or poez uos seurement asseoir au disner quant uos plaira , car a auenture n  auez uos pas failli deuant mengier ce me
semble,alonsdoncfetlirois,carausintenestilbientens.Etlorss	semble , alons donc fet li rois , car ausint en est il bien tens . Et lors s
enuontlicheualieretlaissentleperronalariue	 en uont li cheualier et laissent le perron a la riue
,etliroisfetleue	, et li rois fet l  eue
cornersisasietensonhautdois,et	corner si s  asiet en son haut dois , et
licompaignondelatablereondesasieentchascunensonleu.Celuiior	li compaignon de la table reonde s  asieent chascun en son leu . Celui ior
seruirentlaienz.iiii.roituitcoronne,etauecauxtantdehauzhomesqueamerueilleslespoistlentenir	seruirent laienz . iiii . roi tuit coronne , et auec aux tant de hauz homes que a merueilles les poist len tenir
.Celuiiorfuassisliroisasonhautdoisoupales,	. Celui ior fu assis li rois a son haut dois ou pales ,
etotaluiseruirgrantcompaigniedehauzbarons.Siauinteinsintquantilsefurent	et ot a lui seruir grant compaignie de hauz barons . Si auint einsint quant il se furent
tuitassisparlaienzquiltrouerentque	tuit assis par laienz qu  il trouerent que
tuitlicompaignondelatablereondefurentuenu,etlisiegeempli,forssolementcilquelenapeloitsiegeperilleux.	tuit li compaignon de la table reonde furent uenu , et li siege empli , fors solement cil que len apeloit siege perilleux .
Quantilorenteulepremiermessilorauintsimerueilleuseauenturequetuitlihuisdoupalaisouil	Quant il orent eu le premier mes si lor auint si merueilleuse auenture que tuit li huis dou palais ou il
menioient,etles	menioient , et les
fenestresclostrentparelesentelmanierequenus	fenestres clostrent par eles en tel maniere que nus
nimistlamain,et	n  i mist la main , et
neporquantlasalenefupasennuble,etdecestechosefurentesbahizlifoletlisage,etli	neporquant la sale ne fu pas ennuble , et de ceste chose furent esbahiz li fol et li sage , et li
roisartusquipremiersparladistpardieubiauseignornosauonshuiueuesmerueillesetci	rois artus qui premiers parla dist par dieu biau seignor nos auons hui ueues merueilles et ci
etalariue	et a la riue
,mesiecuitquenoslesuerronsencoranuitgreignorsquecestesnesont.	, mes ie cuit que nos les uerrons encor anuit greignors que cestes ne sont .
Endementresqueliroisparloiteinsisi	Endementres que li rois parloit einsi si
entralaienz.i.preudomauneblancherobeuielzetanciens,	entra laienz . i . preudom a une blanche robe uielz et anciens ,
mesilnotcheualierlaienzquiseustparou	mes il n  ot cheualier laienz qui seust par ou
ilientra,etlipreudonsuenoitapieetamenoitparlamain.i.cheualier	il i entra , et li preudons uenoit a pie et amenoit par la main . i . cheualier
aunesarmesuermeillessanzespee	a unes armes uermeilles sanz espee
etsanzescu,sidistausitostcomilfuenmilepalaispessoitauos,etapres	et sanz escu , si dist ausi tost com il fu enmi le palais pes soit a uos , et apres
distauroilaouilleuoit.Roisartus	dist au roi la ou il le uoit . Rois artus
getamoignlecheualier	ge t  amoign le cheualier
desirre,celuiquiestestrezdouhautlignageleroidauid,etdouparenteiosephdarimacie,celui	desirre , celui qui est estrez dou haut lignage le roi dauid , et dou parente ioseph d  arimacie , celui
parquilesmerueillesdecestpaiset	par qui les merueilles de cest pais et
desestrangesterresremaindront.Veezleci.Etliroisestmoutliezdecestenouele,sidistau	des estranges terres remaindront . Veez le ci . Et li rois est mout liez de ceste nouele , si dist au
preudomesirebiensoiezuosuenuzsecesteparoleest	preudome sire bien soiez uos uenuz se ceste parole est
ueraie,etbiensoitlicheualiersuenuz,carseceestcilquenosatendonsaacheuer	ueraie , et bien soit li cheualiers uenuz , car se ce est cil que nos atendons a acheuer
lesauenturesdousaintGraalonquessigrantioienefufaitedomecomenosferonsde	les auentures dou saint Graal onques si grant ioie ne fu faite d  ome come nos ferons de
lui.Etquiqueilsoitoucilqueuosditesouautres:ieuoldroiequebien	lui . Et qui que il soit ou cil que uos dites ou autres : ie uoldroie que bien
liuenistporcequilestsigentishonsetdesihautlignagecomeuosdites,Parfoifait	li uenist por ce qu  il est si gentis hons et de si haut lignage come uos dites , Par foi fait
lipreudons	li preudons
uosenuerroizpartenstelcomencementquibelsera,etlorsfetlechcheualier	uos en uerroiz par tens tel comencement qui bel sera , et lors fet le chcheualier
tostdesarmersi	tost desarmer si
remestenunecotedecendaluermeil,etillia	remest en une cote de cendal uermeil , et il li a
bailliemaintenantunmanteluermeilaafublerquilportoitsozsespauletoutdesamitetpardedenzestoit	baillie maintenant un mantel uermeil a afubler qu  il portoit soz s  espaule tout de samit et par dedenz estoit
forrezdunblanchermine.Qvantillauestuetapareilliesilidist,	forrez d  un blanc hermine . Qvant il l  a uestu et apareillie si li dist ,
siuezmoisirecheualiers,etilsifet,etillemoinetotdroitausiegeperilleuxdelez	siuez moi sire cheualiers , et il si fet , et il le moine tot droit au siege perilleux delez
quoiLancelotseseoit,etsozlieueledrapdesoiequeciliauoientmis.	quoi Lancelot se seoit , et sozlieue le drap de soie que cil i auoient mis .
Sitroeue	Si troeue
lesletresquidient.CiestlisiegesGalaad	les letres qui dient . Ci est li sieges Galaad
.Etlipreudons	. Et li preudons
resgardelesletressilestroeuenouelementescritesceliestauis,etilconoistle	resgarde les letres si les troeue nouelement escrites ce li est auis , et il conoist le
non.Silidistsienhautquetuitcildelaienzl	non . Si li dist si en haut que tuit cil de laienz l
oient.Sirecheualiersasseezuosci,carcistleuxestuostre.Etcilsasiettoutseurement	 oient . Sire cheualiers asseez uos ci , car cist leux est uostre . Et cil s  asiet tout seurement
,etdistaupreudomeoruosempoezraler,	, et dist au preudome or uos em poez raler ,
carbienauezfetcequelenuoscomanda,etsaluezmoitouzcels	car bien auez fet ce que len uos comanda , et saluez moi touz cels
dousaintostel,	dou saint ostel ,
etmononcleleroipelles,etmonaiollericheroipescheor,etlorditesdeparmoiqueielesire	et mon oncle le roi pelles , et mon aiol le riche roi pescheor , et lor dites de par moi que ie les ire
ueoirauplustostqueieporraietqueieenaurailoisir.Etlipreudonssem	ueoir au plus tost que ie porrai et que ie en aurai loisir . Et li preudons s  em
partdelaienz,etcomandeleroiartusadieu	part de laienz , et comande le roi artus a dieu
,ettozlesautresausi,etquantlenli	, et toz les autres ausi , et quant len li
uoltdemanderqui	uolt demander qui
ilestoitilnentint	il estoit il n  en tint
onquespletaaus,ainzresponditotplainementque	onques plet a aus , ainz respondi tot plainement que
ilnelordiroitore	il ne lor diroit ore
pas,carillesauroientbienatensseillosoientdemander	pas , car il le sauroient bien a tens se il l  osoient demander
.Siuientaumestrehuisdoupalaisquiclosestoit	. Si uient au mestre huis dou palais qui clos estoit
siloeure,etdescentenlacortaual,ettroeue	si l  oeure , et descent en la cort aual , et troeue
cheualiersetescuiersiusqua.xv.quilatendoient,etestoientuenuzo	cheualiers et escuiers iusqu  a . xv . qui l  atendoient , et estoient uenuz o
lui.Etilmonteetsepartdelacortentelmanierequilnesorentplusdesonestrea	lui . Et il monte et se part de la cort en tel maniere qu  il ne sorent plus de son estre a
celefoiz	cele foiz
.Qvantcildelasaleuirentseoirlecheualierousiegequetantpreudomeauoientredoute,etoutantesgranzauentures	. Qvant cil de la sale uirent seoir le cheualier ou siege que tant preudome auoient redoute , et ou tantes granz auentures
estoientauenuesparmaintesfoizsiniaceluiquinenait	estoient auenues par maintes foiz si n  i a celui qui n  en ait
grantmerueille.Cariluoient	grant merueille . Car il uoient
celuisiiuenehomequilneuoientdongracelipuistestreuenue,secenest	celui si iuene home qu  il ne uoient don grace li puist estre uenue , se ce n  est
delauolentenostreseignor,etlafestecomencegrantparlaienz,	de la uolente nostre seignor , et la feste comence grant par laienz ,
sifonthonoraucheualieret	si font honor au cheualier et
liunetliautre,carbienpensentquecesoitcilparquilesmerueilles	li un et li autre , car bien pensent que ce soit cil par qui les merueilles
dousaintGraaldoiuentfaillir	dou saint Graal doiuent faillir
,etbienleseuentparlesprouementdousiege,ouonqueshonsnesestoitassis	, et bien le seuent par l  esprouement dou siege , ou onques hons ne s  estoit assis
acuiilnenfustmeschau,enaucunemanierenemesacestui.Sileseruentet	a cui il n  en fust meschau , en aucune maniere ne mes a cestui . Si le seruent et
honorentdequanquilpueent,comeceluiquiltiennetamestreetaseignorpardesuscelsde	honorent de quan qu  il pueent , come celui qu  il tiennet a mestre et a seignor par desus cels de
latablereonde.Etlancelotquimoutuolentiersleresgardoitporlamerueillequ	la table reonde . Et lancelot qui mout uolentiers le resgardoit por la merueille qu 
ilenaconoistqueceestoitcilqueilahuifetcheualiernouel.Si	il en a conoist que ce estoit cil que il a hui fet cheualier nouel . Si
enamoutgrantioie,etporcelifet	en a mout grant ioie , et por ce li fet
illagreignorhonorquilpuet,etlemetenparolesdemainteschoses	il la greignor honor qu  il puet , et le met en paroles de maintes choses
,etlidemande	, et li demande
desonestrequillendiedesonestrequ	de son estre qu  il l  en die de son estre qu
illendie	 il l  en die
aucunechose,etcilquiauquesleconoistneloserefuser.Sirespontmaintesfoizacequ	aucune chose , et cil qui auques le conoist ne l  ose refuser . Si respont maintes foiz a ce qu
illidemande.Mesboorzquitantestliezquenusplus,et	 il li demande . Mes boorz qui tant est liez que nus plus , et
quibienconoistqueceestGalaadlefilzlancelot,cilquidoitlesauenturesmenerachiefparole	qui bien conoist que ce est Galaad le filz lancelot , cil qui doit les auentures mener a chief parole
alionelsonfrere,etlidist	a lionel son frere , et li dist
biaufreresauezuosquicistcheualiersestquisietousiegeperilleux	biau frere sauez uos qui cist cheualiers est qui siet ou siege perilleux
.Jenelsaimiebienfetlionel.Mestant	. Je nel sai mie bien fet lionel . Mes tant
queceestcilquiaestehuifetcheualiernouel,quemessireslancelotfistcheualierdesamain,	que ce est cil qui a este hui fet cheualier nouel , que mes sires lancelot fist cheualier de sa main ,
etceestcildoncentreuosetmoiauonstoteiorparleque	et ce est cil donc entre uos et moi auons tote ior parle que
messireslancelot	mes sires lancelot
engendra,enlafilleauricheroipescheor.	engendra , en la fille au riche roi pescheor .
Veraiementle	Veraiement le
sachiezuos	sachiez uos
fetboortqueceestil,etquilestnostrecousinsprochains.Etdecesteauenture	fet boort que ce est il , et qu  il est nostre cousins prochains . Et de ceste auenture
deuonsnosestremoltliez,carcen	deuons nos estre molt liez , car ce n 
estmiedoutequilneuiegneencoragreignorchosequecheualierqueieonquesconeusse,si	est mie doute qu  il ne uiegne encor a greignor chose que cheualier que ie onques coneusse , si
enaiabelcomencement.	en a ia bel comencement .
HoravosdicveraraizundeJesuChristipassiun:lossosaffanzvol	Hora vos dic vera raizun de Jesu Christi passiun : los sos affanz vol
remembrarperquecestmundtotasalvad.Trentatresanz	remembrar per que cest mund tot a salvad . Trenta tres anz
etalquesplus,des	et alques plus , des
quecarnpres,interrafu.PertotobredqueverusDeus,pertotsostegquehomcarnels.	que carn pres , in terra fu . Per tot obred que verus Deus , per tot sosteg que hom carnels .
Peccadnegununquenonfiz,per	Peccad negun unque non fiz , per
epslosnostresfuaucis	eps los nostres fu aucis
.Lasuamorzvidanosrend,sapassiunstoznosredenps.Cumaproismed	. La sua morz vida nos rend , sa passiuns toz nos redenps . Cum aproismed
sapassiuns-chofunostraredemptions-,aproismervol	sa passiuns - cho fu nostra redemptions -, aproismer vol
alaciutat:afanzpernossustegmultgranz.CumelperveingaBetfage-	a la ciutat : afanz per nos susteg mult granz . Cum el perveing a Betfage -
vilesdesozmontOlivet-,avantdelssosdosenveied,unasneadducere	vil  es desoz mont Olivet -, avant dels sos dos enveied , un asne adducere
seroved.Cumcelasnezfuamenaz,delormantelzbenlantparad:delormantelz,delor	se roved . Cum cel asnez fu amenaz , de lor mantelz ben l  ant parad : de lor mantelz , de lor
vestitbenliaprestuntossassis.PersuagrandhumilitadJesus	vestit ben li aprestunt oss  assis . Per sua grand humilitad Jesus
rexmagnessusmonted	rex magnes sus monted
,sicumprophetesanzmulzdiscantedaveiendeJesuCrist.Anzpetizdisquechofus	, si cum prophetes anz mulz dis canted aveien de Jesu Crist . Anz petiz dis que cho fus
fait,JesusloLazersuscitat,chiquatredisenmonimentjagudaveietozpudenz.Cumcoaudidtota	fait , Jesus lo Lazer suscitat , chi quatre dis en moniment jagud aveie toz pudenz . Cum co audid tota
lagent,queJesusve,loreispodenz,chiepslomorzfaiserevivere,agrandhonorencontra	la gent , que Jesus ve , lo reis podenz , chi eps lo morz fai se revivere , a grand honor encontra
xirent.Alquantdelspalmesprendentrames,delsoliversalquantlasbranches;encontralreiqui	 xirent . Alquant dels palmes prendent rames , dels olivers alquant las branches ; encontr  al rei qui
fezlocel,issidlodilepopleslez.Cantenligranelipetit:"	fez lo cel , issid lo di le poples lez . Canten li gran e li petit :"
FiliDavit,filiDavit|"Palis	Fili Davit , fili Davit |" Palis
,vestit,palis,mantenlsdavantextendent	, vestit , palis , mantenls davant extendent
assospez.Granfolesaredre,grandavan:grane	assos pez . Gran foles aredre , gran davan : gran e
petitDeuvanlaudant.Ensobretotpetizenfanosannasempervanclamant.Alaciptadcumaproismet,etel	petit Deu van laudant . Ensobre tot petiz enfan osanna semper van clamant . A la ciptad cum aproismet , et el
lavidellasgarded,desonpiucorgreususpiret,dessossanzolzfortlagrimez."Hjerussalem,	la vid ella  sgarded , de son piu cor greu suspiret , dessos sanz olz fort lagrimez ." Hjerussalem ,
Hjerussalem,gaite-disel-pertospechet|Pensarnonpoz,pensar	Hjerussalem , gai te - dis el - per tos pechet | Pensar non poz , pensar
nolvols;nontopermettosgranz	nol vols ; non t  o permet tos granz
orgolz.Venrantlian,venrantlidiquettasaldrantoiinimic;iltotentorntarberjaranet	orgolz . Venrant li an , venrant li di quett  asaldran toi inimic ; il tot entorn t  arberjaran et
aterracrebantaran.Lostosenfanzquiinte	a terra crebantaran . Los tos enfanz qui in te
sunt,amalespenasaucidront;entosbelzmurs	sunt , a males penas aucidront ; en tos belz murs
,entasmaisonspedrassubraltrenonlaiseront.Litoicaitiupertotasgenzmenad	, en tas maisons pedrassubr  altre non laiseront . Li toi caitiu per totas genz menad
enerenatormenz,quareutefiz,numcognoguist	en eren a tormenz , quar eu te fiz , num cognoguist
,salvarteving,numreceubist."Cumchoag	, salvar te ving , num receubist ." Cum cho ag
ditetpercoidat,entemplumDeusemperintret.	dit et percoidat , en templum Deu semper intret .
Losmarchedantquaeintrobed,agranddestreitforslosgitez	Los marchedant quae introbed , a grand destreit fors los gitez
.LossostalanttafortmonstredquegrantpavorspresalsJudeus;dedobplacordalzvaifirend,totlormarchedvaidesfazend	. Los sos talant ta fort monstred que grant pavors pres als Judeus ; de dobpla cordalz vai firend , tot lor marched vai desfazend
.FeloJudeu	. Felo Judeu
cumilchovidren,	cum il cho vidren ,
enzenlorcorsgrandanenvie;permalsconselzvandemandannostresenniorcumtradissant	enz en lor cors grand an envie ; per mals conselz van demandan nostre sennior cum tradissant
.LofelJudesEscariothalsJudeusvengraen	. Lo fel Judes Escarioth als Judeus vengra en
rebost:"Quemendarezelvos	rebost :" Que m  en darez el vos
tradrai?Vostrestalenzademplirai."Trentadenersdunclienpromisdrent,sonbon	tradrai ? Vostres talenz ademplirai ." Trenta deners dunc li en promisdrent , son bon
senniorquelotradisse.Sicheramerzvensipetit|Hancnonfudhomqui	sennior que lo tradisse . Si chera merz ven si petit | Hanc non fud hom qui
magislaudis.EtaceldiquedizenPasches,cumlacenaJesusocfaita,elsus	magis l  audis . Et a cel di que dizen Pasches , cum la cena Jesus oc faita , el sus
leveddelpiumanjer,assosfedelslavedlisped	leved del piu manjer , assos fedels laved lis ped
.Etperlopanetperlovinfortsaccrament	. Et per lo pan et per lo vin fort saccrament
lorcommandez,perremembrarsapassiun,quefairerovaatrestot.Depanetvinsanctificattot	lor commandez , per remembrar sa passiun , que faire rova a trestot . De pan et vin sanctificat tot
sosfidelsisaciet,maisqueJudesEscharioh,cuiunasopaenfletlocor.Judascumogmanjedla	sos fidels i saciet , mais que Judes Escharioh , cui una sopa enflet lo cor . Judas cum og manjed la
sopa,diablesenenzensagola.Semperleveddelpiumanjer,totalsJudeusovainuncer.Jesuslo	sopa , diable sen enz en sa gola . Semper leved del piu manjer , tot als Judeus o vai nuncer . Jesus lo
bonspersapietadtandulcement	bons per sa pietad tan dulcement
presaparler.SobresonpeizfezcondurmirsantJohan,losoncheramic.Acelsopar	pres a parler . Sobre son peiz fez condurmir sant Johan , lo son cher amic . A cel sopar
unsermonfiz;chicelnonsabtalnonaudid.Contralsafanzquean	un sermon fiz ; chi cel non sab tal non audid . Contrals afanz que an
apadirtozsosfidelsbenengarnid.AlosancPedreperchoindadquecelanoitluineiara;Pedresformentsen	a padir toz sos fidels ben en garnid . Alo sanc Pedre perchoindad que cela noit lui neiara ; Pedres forment s  en
adunad,perepsamortnolgurpira.ChristusJesusdens	adunad , per epsa mort nol gurpira . Christus Jesus den s
enleved,Gehsemani-viles-nanez.Tozsosfidelssederrovet,evanorarsolsenanez	 en leved , Gehsemani - vil  es - n  anez . Toz sos fidels seder rovet , evan orar sols en anez
.Granzfulidols,fortmarrimenz,sicondormirenttuitades;Jesuscumveg,	. Granz fu li dols , fort marrimenz , si condormirent tuit ades ; Jesus cum veg ,
losesveled,trestozorarbeinlosmanded.Eduncorarcumelanned,si	los esveled , trestoz orar bein los manded . E dunc orar cum el anned , si
fortsudordunquessuded,quecumlosagsaterracurrentde	fort sudor dunques suded , que cum lo sags a terra current de
sasudorlassanctasgutes.	sa sudor las sanctas gutes .
Alsosfidelscumrepadred,tambenlementlosconforted.LifelJudesjasaproismedabgrancompanniedelsJudeus.	Alsos fidels cum repadred , tam benlement los conforted . Li fel Judes ja s  aproismed ab gran compannie dels Judeus .
JesuscumvidralosJudeus,zolordemandez:"Quequerent?"Illi	Jesus cum vidra los Judeus , zo lor demandez :" Que querent ?" Il li
respondenttuitadun:"JesumqueremNazarenum|""Eusoiaquel|"zodisJesus.Tuitlifeluncadegrentjus.Terce	respondent tuit adun :" Jesum querem Nazarenum |"" Eu soi aquel |" zo dis Jesus . Tuit li felun cadegrent jus . Terce
vezlorodemanded,atotastreischedentenvers.Maislifeluntuittrassudadversnostredonsonaproismad.Judasli	vez lor o demanded , a totas treis chedent envers . Mais li felun tuit trassudad vers nostre don son aproismad . Judas li
felensennafei:"Celuiprendetcuibassaerei."JudascumveggraaJesum,semperlitendlosonmenton;	fel ensenna fei :" Celui prendet cui bassaerei ." Judas cum veggra a Jesum , semper li tend lo son menton ;
Jesuslibonsnolrefuded,altradeturbaisairdoned."Amicx-zodisJesuslobons-per	Jesus li bons nol refuded , al tradetur baisair doned ." Amicx - zo dis Jesus lo bons - per
quemtradesintobaisol?Melztifuranonfussesnaz,quemetradasper	que  m trades in to baisol ? Melz ti fura non fusses naz , que me tradas per
cobetad."Armandesterentevirum,detotaspartpresdrentJesum.Nosdefendednenossusted;alamortvaicumunsanels.	cobetad ." Armand esterent evirum , de totas part presdrent Jesum . Nos defended ne nossusted ; a la mort vai cum uns anels .
SanctPedresolsvenjarlovol;estraisloferqueallazog,siconsegueduservfellon,la	Sanct Pedre sols venjar lo vol ; estrais lo fer que al laz og , si consegued u serv fellon , la
destreaureliali	destre aurelia li
excos.Jesusli	excos . Jesus li
bonsbenredpermal,laurelia	bons ben red per mal , l  aurelia
adservsempersaned.Liadensmans,cumeladron,silentmenenapassiun.Doncloengurpissensei	ad serv semper saned . Liadens mans , cume ladron , si l  ent menen a passiun . Donc lo en gurpissen sei
fedel,cumel	fedel , cum el
desanzdizloraveit;sanzPedresolssegwenlovai,quaesuafinvedervoldrat.Annanomnavent	desanz diz lor aveit ; sanz Pedre sols segwen lo vai , quae sua fin veder voldrat . Anna nomnavent
leJudeua	le Judeu a
cuiJesusfuretmenez.Donc	cui Jesus furet menez . Donc
sadunouentlifelon,vederannouentpresJesum.DequantilquerentleforsfaitcumilJesumoicisesant,nonfudtrovez	s  adunouent li felon , veder annouent pres Jesum . De quant il querent le forsfait cum il Jesum oicisesant , non fud trovez
neenvenguz,quarelforsfaitnonfeistneul.	ne envenguz , quar el forsfait non feist neul .
Davantlestedlepontifex,siconjuret	Davant l  ested le pontifex , si conjuret
peripsumDeuquellordissestperpurafiedsivers	per ipsum Deu quellor dissest per pura fied si vers
Jesus,filsDeu,estil."Tuepslasdeit"responJesus.Tuitli	Jesus , fils Deu , est il ." Tu eps l  as deit " respon Jesus . Tuit li
felloncridentadun:"Maiorforsfaitqueiquerem?Perluimedepsaudit	fellon crident adun :" Maior forsfait que i querem ? Per lui medeps audit
lavem."Losossansolsduncquescubrirent,acolejarfellonloprisdrent;ensobretot	l  avem ." Losos sans ols duncques cubrirent , a colejar fellon lo prisdrent ; ensobre tot
silescarnissent:"Dinos,prophete,chitofisdret?"Forsenlasestrasestet	si l  escarnissent :" Di nos , prophete , chi t  o fisdret ?" Fors en las estras estet
Petre;alfogluseire	Petre ; al fog l  useire
laeswardevet.Desaraisonsi	l  aeswardevet . De sa raison si
lesfrededqueloDeufillifaineier.Anzquaelanoitlojalzcantes,tercevezPetre	l  esfreded que lo Deu fil li fai neier . Anz quae la noit lo jalz cantes , terce vez Petre
loneiez.Jesuslibonsloreswardet,lui	lo neiez . Jesus li bons lo reswardet , lui
recognostrelsemperfiz.Petrusdaloforssenaled,amaramentmultseploret,per	recognostrel semper fiz . Petrus d  alo fors s  en aled , amarament mult se ploret , per
ciolaissedDeusse	cio laissed Deus se
neier;quedenosaietpieted|Cumlematinsfudesclairez,davantPilatlenantmenet;fortment	neier ; que de nos aiet pieted | Cum le matins fud esclairez , davant Pilat l  en ant menet ; fortment
lovantilacusand,lasoamortmultdemandant.PilazErodl	lo vant il acusand , la soa mort mult demandant . Pilaz Erod l 
enenviet,cuidesabanzvoliet	en enviet , cui desabanz voliet
mel;deJesuChristipassionamsepaierentacieljorn.LofelHerodescumlo	mel ; de Jesu Christi passion am se paierent a ciel jorn . Lo fel Herodes cum lo
vid,multlezsemperenesdevint.Deluilongtempsmultaaudit,semperpensedvertuzfeisis.Demultesvises	vid , mult lez semper en esdevint . De lui long temps mult a audit , semper pensed vertuz feisis . De multes vises
lapeled,Jesuslibonsmotnolsoned.Judeulacusent,elsetais;adunrespondrenon	l  apeled , Jesus li bons mot nol soned . Judeu l  acusent , el se tais ; ad un respondre non
denat.Dunclodespeisel	denat . Dunc lo despeis e l 
escarnitlifelHerodesencel	escarnit li fel Herodes en cel
di;blancvestimentsilavestit,fellonPiladloretramist.Pilazqueanzlenvollaiser,	di ; blanc vestiment si l  a vestit , fellon Pilad lo retramist . Pilaz que anz l  en vol laiser ,
nolconsentuntfellunJudeu.Vidaperdonentalladrun."	nol consentunt fellun Judeu . Vida perdonent al ladrun ."
Aucid,aucid-crident-	Aucid , aucid - crident -
Jesum|"Barrabantperdonentlavide,Jesuminaltacruzclaufisdrent."Crucifige,crucifige|"cridentPilattrestuitensems."Cumaucidraieu	Jesum |" Barrabant perdonent la vide , Jesum in alta cruz claufisdrent ." Crucifige , crucifige |" crident Pilat trestuit ensems ." Cum aucidrai eu
vostrerei?-zodisPilaz	vostre rei ?- zo dis Pilaz
-forsfaiz	- forsfaiz
nones;rumprelfaraietflagellar,poisseslaisarail	non es ; rumprel farai et flagellar , poisses laisarai l
enannar	 en annar
."Ensemscridenttuitlifelluntentroencelenvanlasvoz:"SitulaisesviureJesum,non	." Ensems crident tuit li fellunt entro en cel en van las voz :" Si tu laises viure Jesum , non
esamicslemperador."Pilazsasmans	es amics l  emperador ." Pilaz sas mans
dunqueslaved,quedesamortposchesneger.EnsemscridenttuitliJudeu:"Sobrenossiatozli	dunques laved , que de sa mort posches neger . Ensems crident tuit li Judeu :" Sobre nos sia toz li
pechez|"Pilazcumaudidtalsraisons,	pechez |" Pilaz cum audid tals raisons ,
jalorgurpisnostresennior;donc	ja lor gurpis nostre sennior ; donc
lorecebentlifellun,forslenconducentenlacort.Depurpuredonclovestirenteten	lo recebent li fellun , fors l  en conducent en la cort . De purpure donc lo vestirent et en
samanunrauslimisdrent;coronaprendentdelasespinesetenson	sa man un raus li misdrent ; corona prendent de las espines et en son
cabfellunlasisdrent,Dedavantluituitagenolzsis	cab fellun l  asisdrent , De davant lui tuit a genolz si s 
excrebantentlifellon;dunclosaludentcumsenior	excrebantent li fellon ; dunc lo saludent cum senior
etadescarnemperador	et ad escarn emperador
.Etcumasez	. Et cum asez
lontescarnid,dunclivestentsonvestiment,etelmedepssipres	l  ont escarnid , dunc li vestent son vestiment , et el medeps si pres
sacruz,avantozvaiapasiun.Femnesluivandetrasseguanploranlovanetgaimentan	sa cruz , avan toz vai a pasiun . Femnes lui van detras seguan ploran lo van et gaimentan
.Jesuslipiusredregarder,ab	. Jesus li pius redre garder , ab
lesfemnespresaparler."Audez,filliesJerusalem;permenonvosestobsplorer;maispervoset	les femnes pres a parler ." Audez , fillies Jerusalem ; per me non vos est obs plorer ; mais per vos et
pervostresfilzplorezassaz,quiobsvoses."CumelpervengaGolgota,davanlaporta	per vostres filz plorez assaz , qu  i obs vos es ." Cum el perveng a Golgota , davan la porta
delaciptat,dunc	de la ciptat , dunc
lorgurpitsoechamisaechisenscusturaefofaitice.Ilnol	lor gurpit soe chamisae chi sens custurae fo faitice . Il no l
auserenderamar,maischilaura,sortangitad;nonfut	 auseren deramar , mais chi l  aura , sort an gitad ; non fut
partizsosvestimenz,zofugranzsignatotperver.En	partiz sos vestimenz , zo fu granz signa tot per ver . En
hunafet,hunavertettuitsoifideldeventester;lososregnaznonesdevis,	huna fet , huna vertet tuit soi fidel devent ester ; lo sos regnaz non es devis ,
encaritadtozesuniz.Edelsfelunsqueuvosdisanz,lai	en caritad toz es uniz . E dels feluns qu  eu vos dis anz , lai
