domineexaudiorationemmeam	domine exaudi orationem meam
esetãnituinondeficientfilii	es et ãni tui non deficient filii
servorũtuorũhabitabũtetsemen	servorũ tuorũ habitabũt et semen
eorumĩseculũdirigetur.ps̃d̃d.	eorum ĩ seculũ dirigetur . ps̃d̃d .
domineexaudior̃onemmeametclamormeusadte	domine exaudi or̃onem meam et clamor meus ad te
veniatnonavertasfaciemtuam	veniat non avertas faciem tuam
ameinquacũq	a me in quacũq
dietribulorinclina	die tribulor inclina
admeauremtuam.in	ad me aurem tuam . in
quacumqdieinvocavero	quacumq die invocavero
tevelociterexaudimequiadefeceruntsicutfumus	te velociter exaudi me quia defecerunt sicut fumus
diesmeietossa	dies mei et ossa
measicutcremiumaruerũtpercussussumutfenum	mea sicut cremium aruerũt percussus sum ut fenum
etaruitcormeum	et aruit cor meum
quiaoblitussumcomederepanemmeumavoce	quia oblitus sum comedere panem meum a voce
gemitusmeiadhesitosmeumcarnimeesimilis	gemitus mei adhesit os meum carni mee similis
factussumpellicanosolitudinisfactussumsicutnicticoraxin	factus sum pellicano solitudinis factus sum sicut nicticorax in
domiciliovigilavietfc̃ts	domicilio vigilavi et fc̃ts
sumsicutpassersolitariusintectototadieexprobrabant	sum sicut passer solitarius in tecto tota die exprobrabant
michiinimicimeietquilaudabantme	michi inimici mei et qui laudabant me
adversummejurabantquiacyneremtanquampanemmanducabam	adversum me jurabant quia cynerem tanquam panem manducabam
etpotum	et potum
meumcumfletumissebama	meum cum fletu missebam a
facieireetindignationistuequiaelevansallisisti	facie ire et indignationis tue quia elevans allisisti
me.diesmeisicutumbradeclinaveruntetegosicut	me . dies mei sicut umbra declinaverunt et ego sicut
fenumaruitu	fenum arui tu
autemdomineineternumpermanesetmemoriale	autem domine in eternum permanes et memoriale
tuumingenerationemetgenerationemtuexurgensdomine	tuum in generationem et generationem tu exurgens domine
misereberissyonquiatempusmiserendiejus	misereberis syon quia tempus miserendi ejus
quiavenit	quia venit
tempusquoniamplacuerunt	tempus quoniam placuerunt
servistuis	servis tuis
lapidesejusetterreejusmiserebunturet	lapides ejus et terre ejus miserebuntur et
timebuntgẽtesnomen	timebunt gẽtes nomen
tuumdomineetom̃sregesterre	tuum domine et om̃s reges terre
gloriamtuamquiaedificavit	gloriam tuam quia edificavit
dominussyonetvidebituringloria	dominus syon et videbitur in gloria
suarespexitinorationemhumiliumet	sua respexit in orationem humilium et
vitprecemeorumscribanturhecin	vit precem eorum scribantur hec in
generationealteraetpopulus	generatione altera et populus
quicreabitur	qui creabitur
laudabitdominumquiaprospexitdeexcelsosanctosuo	laudabit dominum quia prospexit de excelso sancto suo
dominusdecelo	dominus de celo
interrãaspexitutaudiretgemituscompeditorum	in terrã aspexit ut audiret gemitus compeditorum
utsolveretfiliosinterẽptorum	ut solveret filios interẽptorum
utannuntientinsyonnomendomini	ut annuntient in syon nomen domini
etlaudemejusĩihrl̃minconveniendopopulos	et laudem ejus ĩ ihrl̃m in conveniendo populos
inunumetregesutserviant	in unum et reges ut serviant
dñoresponditeiinviavirtutissuepaucitatemdierum	dño respondit ei in via virtutis sue paucitatem dierum
meorumnũtiamichi	meorum nũtia michi
nerevocesmeindimidiodierummeorum	ne revoces me in dimidio dierum meorum
ingenerationemetgenerationemannituiinitiotudomineterram	in generationem et generationem anni tui initio tu domine terram
fundastiet	fundasti et
operamanuumtuarumsuntceliipsiperibunttuautempermanes	opera manuum tuarum sunt celi ipsi peribunt tu autem permanes
etomnessicut	et omnes sicut
vestimentũveterascent	vestimentũ veterascent
etsicut	et sicut
oꝑtoriummutabiseosetmutabunturtuautemidemipse	oꝑtorium mutabis eos et mutabuntur tu autem idem ipse
esetannituinondeficientfiliiservorumtuorumh̃itabunt	es et anni tui non deficient filii servorum tuorum h̃itabunt
etsemeneoruminscl̃mdirigeturGloriapatripsalmus	et semen eorum in scl̃m dirigetur Gloria patri psalmus
domineexaudior̃onemmeametclamor	domine exaudi or̃onem meam et clamor
meusadteveniat	meus ad te veniat
.nonavertasfaciemtuamameinquacumqdie	. non avertas faciem tuam a me in quacumq die
tribulorinclinaadmeauremtuam.inquacumqdie	tribulor inclina ad me aurem tuam . in quacumq die
invocaverotevelociterexaudime	invocavero te velociter exaudi me
.quiadefeceruntsicutfumus	. quia defecerunt sicut fumus
diesmeietossa	dies mei et ossa
measicutcremium	mea sicut cremium
aruerunt.percussus	aruerunt . percussus
sumutfenumetaruitcormeum	sum ut fenum et aruit cor meum
quiaoblitussum	quia oblitus sum
comederepanemmeum.avocegemitusmeiadhesitos	comedere panem meum . a voce gemitus mei adhesit os
meumcarnimee.similisfactussumpellicanosolitudinisfactus	meum carni mee . similis factus sum pellicano solitudinis factus
sumsicutnicticoraxindomicilio.	sumsicut nicticorax in domicilio .
vigilavietfactus	vigilavi et factus
sumsic̃passersolitariusin	sum sic̃ passer solitarius in
tecto.totadieexprobrabantmichiinimicimei	tecto . tota die exprobrabant michi inimici mei
etquilaudabantmeadversummejurabant.	et qui laudabant me adversum me jurabant .
quiacyneremtanꝙͣpanẽmanducabametpotummeũcumfletu	quia cynerem tanꝙͣ panẽ manducabam et potum meũ cum fletu
miscebam.afacieire	miscebam . a facie ire
etindignationistuequiaelevansallisistime	et indignationis tue quia elevans allisisti me
.diesmeisicutumbradeclinaveruntet	. dies mei sicut umbra declina verunt et
egosicutfenumaruituautemdomineinet͛numꝑmanes	ego sicut fenum arui tu autem domine in et͛num ꝑmanes
etmemorialetuum	et memoriale tuum
ingenerationem⁊generatõnemtu	in generationem ⁊ generatõnem tu
exurgensdominemisereberissyonquiatempusmiserẽdiejusquia	exurgens domine misereberis syon quia tempus miserẽdi ejus quia
venittempus.quoniamplacueruntservistuislapidesejuset	venit tempus . quoniam placuerunt servis tuis lapides ejus et
terreejusmiserebuntur.ettimebuntgentesnomẽtuumdomine	terre ejus miserebuntur . et timebunt gentes nomẽ tuum domine
etomnesregesterregloriam	et omnes reges terre gloriam
tuam.quia	tuam . quia
edificavitdominussyonetvidebituringloria	edificavit dominus syon et videbitur in gloria
sua.respexit	sua . respexit
inorationemhumiliumetnonsprevitprecemeoꝝ	in orationem humilium et non sprevit precem eoꝝ
scribanturhecingenerationealtera	scribantur hec in generatione altera
etpopulusquicreabiturlaudabitdominum.quiaprospexit	et populus qui creabitur laudabit dominum . quia prospexit
deexcelsosc̃osuodominusdecelointerramaspexit	de excelso sc̃o suo dominus de celo in terram aspexit
.utaudiretgemituscompeditoꝝutsolveretfiliosinteremptorũ.	. ut audiret gemitus compeditoꝝ ut solveret filios interemptorũ .
utannuntientin	ut annuntient in
syonnom̃domini:etlaudemejusinihrl̃m	syon nom̃ domini : et laudem ejus in ihrl̃m
inconveniendopopulosinunumetreges	in conveniendo populos in unum et reges
utserviantdño.responditeiinvia	ut serviant dño . respondit ei in via
virtutissuepaucitatemdierummeoꝝnuntia	virtutis sue paucitatem dierum meoꝝ nuntia
michi.nerevoces	michi . ne revoces
meindimidiodierummeorũingenerationem	me in dimidio dierum meorũ in generationem
annitui.initiotudomine	anni tui . initio tu domine
terramfundasti:etoperamanuumtuaꝝsuntceli	terram fundasti : et opera manuum tuaꝝ sunt celi
.ipsiperibunttuautemꝑmanesetomnes	. ipsi peribunt tu autem ꝑmanes et omnes
sicutvestimentũ	sicut vestimentũ
veterascent.etsicutopertoriummutabis	veterascent . et sicut opertorium mutabis
eosetmutabunturtuautemidem	eos et mutabuntur tu autem idem
ipseesetannituinondeficient	ipse es et anni tui non deficient
.filiiservorumtuoꝝ	. filii servorum tuoꝝ
habitabuntetsemeneoruminseculũdirigetur	habitabunt et semen eorum in seculũ dirigetur
.psalmus	. psalmus
domineexaudior̃onemmeamet	domine exaudi or̃onem meam et
clamormeusadteveniat	clamor meus ad te veniat
.nonavertasfaciemtuamameinquacumqdie	. non avertas faciem tuam a me in quacumq die
tribulorinclinaadmeauremtuam.in	tribulor inclina ad me aurem tuam . in
quacumqdie	quacumq die
invocav͛otevelociterexaudimequiadefeceruntsicut	invocav͛o te velociter exaudi me quia defecerunt sicut
fumusdiesmeietossameasicutcremiumaruerunt	fumus dies mei et ossa mea sicut cremi um aruerunt
.percussussumutfenumetaruitcormeum	. percussus sum ut fenum et aruit cor meum
quiaoblitus	quia oblitus
sumcomederepanemmeum.avocegemitusmeiadhesit	sum comedere panem meum . a voce gemitus mei adhesit
osmeumcarnimee	os meum carni mee
.similisfactussumpellicanosolitudinis	. similis factus sum pellicano solitudinis
factussumsic̃niticorax	factus sum sic̃ niticorax
indomicilio.	in domicilio .
vigilavietfactussumsicutpasser	vigilavi et factus sum sicut passer
solitariusintecto.totadieexprobrabantmichiinimicimei	solitarius in tecto . tota die exprobrabant michi inimici mei
etquilaudabantmeadv͛summejurabãt	et qui laudabant me adv͛sum me jurabãt
.quiacinerem	. quia cinerem
tamꝙͣpanemmanducabametpotummeũ	tamꝙͣ panem manducabam et potum meũ
cumfletumiscebam.afacieire	cum fletu miscebam . a facie ire
etindignationistuequiaelevansallixistime.diesmei	et indignationis tue quia elevans allixisti me . dies mei
sicutumbradeclinaveruntetego	sicut umbra declinaverunt et ego
sicutfenumarui.tuautemdomine	sicut fenum arui . tu autem domine
ineternũpermanesetmemorialetuumingñationeetgñationem	in eternũ permanes et memoriale tuum in gñatione et gñationem
.tuexurgens	. tu exurgens
dominemisereberissyon	domine misereberis syon
quiatempusmiserendiejusquiavenittempus	quia tempus miserendi ejus quia venit tempus
.quoniamplacuerunt	. quoniam placuerunt
servistuisterreejusmiserebuntur.ettimebunt	servis tuis terre ejus miserebuntur . et timebunt
gentesnomentuumdomineetomnesregesterregloriamtuam	gentes nomen tuum domine et omnes reges terre gloriam tuam
.quiacineremtamꝙͣpanemmanducabametpotumcumfletu	. quia cinerem tamꝙͣ panem manducabam et potum cum fletu
miscebam.respexitinor̃onemhumiliumetnon	miscebam . respexit in or̃onem humilium et non
sprevitprecemeorum.scribanturhecingenerationealteraet	sprevit precem eorum . scribantur hec in generatione altera et
populusquicreabiturlaudabitdominum.quiaprospexitdeexcelso	populus qui creabitur laudabit dominum . quia prospexit de excelso
sanctosuodominusdecelointerramaspexit.	sancto suo dominus de celo in terram aspexit .
utaudiretgemitusꝯpeditorũetsolveret	ut audiret gemitus ꝯpeditorũ et solveret
filiosinteremptorum.utannuntient	filios interemptorum . ut annuntient
insyonnomẽdominietlaudemejus	in syon nomẽ domini et laudem ejus
inihrl̃m	in ihrl̃m
.inconveniendoppl̃osinunũetreges	. in conveniendo ppl̃os in unũ et reges
utserviantdomino.responditeiinviavirtutistue	ut serviant domino . respondit ei in via virtutis tue
paucitatemdierummeorumnũtiamichi.ne	paucitatem dierum meorum nũtia michi . ne
revocesmeindimidiodieꝝmeorum	revoces me in dimidio dieꝝ meorum
ingñationeetgñationem	in gñatione et gñationem
annitui.initiotudomineterram	anni tui . initio tu domine terram
fundastietoperamanuumtuarum	fundasti et opera manuum tuarum
suntceli	sunt celi
.ipsiperibunttuautẽ	. ipsi peribunt tu autẽ
permanesetomnessicutvestimentumveterascent.etsicut	perma nes et omnes sicut vestimentum veterascent . et sicut
opertoriummutabiseosetmutabuntur	opertorium mutabis eos et mutabuntur
.tuautemidẽipsees	. tu autem idẽ ipse es
etannitui	et anni tui
nondeficientfiliiservorumtuorumh̃itabunt	non deficient filii servorum tuorum h̃itabunt
etsemeneorumin	et semen eorum in
seculũdirigetur.	seculũ dirigetur .
domineexaudiorationem	domine exaudi orationem
meam⁊clamormeusadteveniat.	meam ⁊ clamor meus ad te veniat .
nonavertasfaciemtuãameinquacumq	non avertas faciem tuã a me in quacumq
dietribulor	die tribulor
inclinaadmeaurẽtuam	inclina ad me aurẽ tuam
inquacumq	in quacumq
dieinvocaverotevelociterexaudime.quia	die invocavero te velociter exaudi me . quia
defeceruntsicutfumusdiesmeietossamea	defecerunt sicut fumus dies mei et ossa mea
sicutcremiumaruerunt.percussussũ	sicut cremium aruerunt . percussus sũ
utfenumetaruitcormeũquiaoblitus	ut fenum et aruit cor meũ quia oblitus
sũcomedere	sũ comedere
panemmeuma	panem meum a
vocegemitusmei	voce gemitus mei
adhesitosmeum	adhesit os meum
carnimee.similisfactussum	carni mee . similis factus sum
pellicanosolitudinisfactussũsicut	pellicano solitudinis factus sũ sicut
niticoraxindomiciliovigilaviet	niticorax in domicilio vigilavi et
factussũsicutpassersolitariusin	factus sũ sicut passer solitarius in
tecto.totadieexprobrabant	tecto . tota die exprobrabant
michiinimicimeietqui	michi inimici mei et qui
laudabantmeadversummejurabant.quia	laudabant me adversum me jurabant . quia
cineremtanquampanemmanducabametpotummeũ	cinerem tanquam panem manducabam et potum meũ
cumfletu	cum fletu
miscebãafacieireet	miscebã a facie ire et
indignationistuequiaelevansalixistimediesmeisicutumbra	indignationis tue quia elevans alixisti me dies mei sicut umbra
declinaveruntetegosicut	declinaverunt et ego sicut
fenũarui.tu	fenũ arui . tu
autemdñe	autem dñe
ineternũpermanesetmemorialetuumin	in eternũ permanes et memoriale tuum in
generationemetgenerationem.tuexurgensdomine	generationem et generationem . tu exurgens domine
misereberissyonquia	misereberis syon quia
tempusmiserendi	tempus miserendi
ejusquiavenit	ejus quia venit
tempus.quoniãplacueruntservistuislapidesejus	tempus . quoniã placuerunt servis tuis lapides ejus
etterreejusmiserebuntur.ettimebunt	et terre ejus miserebuntur . et timebunt
gentesnomen	gentes nomen
tuumdñeetomnesregesterregloriamtuam	tuum dñe et omnes re ges terre gloriam tuam
.quiaedificavitdñssyon⁊videbiturin	. quia edificavit dñs syon ⁊ videbitur in
gloriasua.respexitinorationemhumiliumetnon	gloria sua . respexit in orationem humilium et non
sprevitprecem	sprevit precem
eorum.scribanturhecin	eorum . scribantur hec in
generationealteraetpopulus	generatione altera et populus
quicreabiturlaudabitdñm.quiaprospexit	qui creabitur laudabit dñm . quia prospexit
deexcelsosanctosuodominus	de excelso sancto suo dominus
decelointerramaspexit.utaudiretgemituscompeditorum	de celo in terram aspexit . ut audiret gemitus compeditorum
utsolveretfiliosinterremptorum.utannũtient	ut solveret filios interremptorum . ut annũtient
insyonno	in syon no
mendominietlaudemejusiniherusalem.	men domini et laudem ejus in iherusalem .
inconveniendopopulos	in conveniendo populos
inunumetregesutserviãtdomino.	in unum et reges ut serviãt domino .
responditeiinviavirtutis	respondit ei in via virtutis
suepaucitatemdierummeorumnuntiamichine	sue paucitatem dierum meorum nuntia michi ne
revocesmeindimidiodierũmeorum	revoces me in dimidio dierũ meorum
ingenerationemetgenerationẽannituiinitiotudñe	in generationem et generationẽ anni tui initio tu dñe
terramfundastietoperamanuũtuarũ	terram fundasti et opera manuũ tuarũ
suntceli.ipsi	sunt celi . ipsi
peribunttuautẽpermanesetomnessicutvestimentumveterascent	peribunt tu autẽ permanes et omnes sicut vesti mentum veterascent
.etsicutopertoriũ	. et sicut opertoriũ
mutabiseosetmutabunturtuautem	mutabis eos et mutabuntur tu autem
idemipseesetannituinondeficient.	idem ipse es et anni tui non deficient .
filiiservorumtuorumhabitabũtetsemeneoruminseculum	filii servorum tuorum habitabũt et semen eorum in seculum
dirigetur.Gloriapatrietfilio	dirigetur . Gloria patri et filio
.domineexaudior̃onẽmeametclamor	. domine exaudi or̃onẽ meam et clamor
meusadteveniatnonavertasfaciemtuãa	meus ad te veniat non avertas faciem tuã a
meinquacumqdietribulor	me in quacumq die tribulor
inclinaadmeaurẽtuaminquacumqdieinvocavero	inclina ad me aurẽ tuam in quacumq die invocavero
tevelociterexaudi	te velociter exaudi
me.quiadefeceruntsicutfum᷒dies	me . quia defecerunt sicut fum᷒ dies
meietossameasicutcremiumaruerunt	mei et ossa mea sicut cremium aruerunt
.percussussum	. percussus sum
utfenũ.etaruitcor	ut fenũ . et aruit cor
meumquiaoblitussumcomedere	meum quia oblitus sum comedere
panẽmeũavocegemitusmeiadhesitos	panẽ meũ a voce gemitus mei adhesit os
meumcarnimee.similis	meum carni mee . similis
factussumpellicanosolitudinisfactussumsicutniticoraxin	factus sum pellicano solitudinis factus sum sicut niticorax in
domicilio.	domicilio .
vigilavietfactus	vigilavi et factus
sumsicutpasser	sum sicut passer
solitariusĩtectototadieexprobrabantmichi	solitarius ĩ tecto tota die exprobrabant michi
inimicimeiet	inimici mei et
quilaudabant	qui laudabant
meadversumme	me adversum me
jurabant.quiacineremtanꝙͣpanemmanducabametpotummeum	jurabant . quia cinerem tanꝙͣ panem manducabam et potum meum
cumfletumiscebam	cum fletu miscebam
.afacieireetindignatiõistuequia	. a facie ire et indignatiõis tue quia
elevansalisistimediesmei	elevans alisisti me dies mei
sicutumbradeclinaveruntet	sicut umbra declinaverunt et
egosicutfenumarui.tuautemdominein	ego sicut fenum arui . tu autem domine in
eternumꝑmanesetmemorialetuumingenerationemet	eternum ꝑmanes et memoriale tuum in generationem et
generationem.tuexurgensdominemisereberis	generationem . tu exurgens domine misereberis
syonquiatempusmiserendi	syon quia tempus miserendi
ejusquiavenittẽpusquoniamplacueruntservis	ejus quia venit tẽpus quoniam placuerunt servis
tuislapides	tuis lapides
ejusetterreejusmiserebunturettimebunt	ejus et terre ejus miserebuntur et timebunt
gentesnomentuumdomineetom̃s	gentes nomen tuum domine et om̃s
regesterregloriamtuamquiaedificavitdomin᷒syonetvidebitur	reges terre gloriam tuam quia edificavit domin᷒ syon et videbitur
ingl̃asua	in gl̃a sua
.respexitinor̃onemhumiliumetnonsprevit	. respexit in or̃onem humilium et non sprevit
precẽeoꝝscribenturhecingenerationealteraetpopulus	precẽ eoꝝ scribentur hec in generatione altera et populus
quicreabitur	qui creabitur
laudabitdominumquia	laudabit dominum quia
prospexitdeexcelso	prospexit de excelso
sc̃osuodominus	sc̃o suo dominus
deceloin	de celo in
terramaspexitutaudiretgemituscompeditorum	terram aspexit ut audiret gemitus compeditorum
utsolveretfiliosinterremptorumutannũtientinsyonnomendomini	ut solveret filios interremptorum ut annũtient in syon nomen domini
etlaudem	et laudem
ejusiniherusalem	ejus in iherusalem
.inconveniendopopulosinunum	. in conveniendo populos in unum
etregesutservientdominoresponditei	et reges ut servient domino respondit ei
inviavirtutissuepaucitatemdierummeorumnuntia	in via virtutis sue paucitatem dierum meorum nuntia
michinerevocesme	michi ne revoces me
indimidiodierummeorumingenerationemet	in dimidio dierum meorum in generationem et
generationemãnitui	generationem ãni tui
.initiotu	. initio tu
domineterramfundastietoperamanuumtuarumsuntceli	domine terram fundasti et opera manuum tuarum sunt celi
.ip̃iperibunttu	. ip̃i peribunt tu
autempermanesetomnessicutvestimentumveterascent	autem permanes et omnes sicut vestimentum veterascent
.etsicutoꝑtoriummutabis	. et sicut oꝑtorium mutabis
eosetmutabunturtuautemidem	eos et mutabuntur tu autem idem
ip̃eesetannituinon	ip̃e es et anni tui non
deficient.filiiservorumtuorumhabitabuntet	deficient . filii servorum tuorum habitabunt et
semeneoruminseculum	semen eorum in seculum
dirigetur.	dirigetur .
Gloriapatri.ps̃d̃d.domineexaudi	Gloria patri . ps̃d̃d . domine exaudi
oratõemmeam:etclamorm̃sad	oratõem meam : et clamor m̃s ad
tevẽiat	te vẽiat
.nonav͛tasfaciemtuãame:ĩqͣꝯq	. non av͛tas faciem tuã a me : ĩ qͣꝯq
dietribulorĩclina	die tribulor ĩclina
admeauremtuam.	ad me aurem tuam .
inqͣꝯqdieĩvocavero	in qͣꝯq die ĩvocavero
te:velociter	te : velociter
exaudimededefecer̃tsicͭfumusdiesmei	exaudi me  de defecer̃t sicͭ fumus dies mei
:etossamea	: et ossa mea
sicutcremiũ	sicut cremiũ
aruerũt.percussussumutfenũet	aruerũt . percussus sum ut fenũ et
aruitcormeũ	aruit cor meũ
:quiaoblitussumcõmederepanẽ	: quia oblitus sum cõme dere panẽ
meumavocegemitusmei:adhesitos	meum a voce gemitus mei : adhesit os
meũcarnimee.	meũ carni mee .
sil̃isfactussumpellicanosolitud̃is:fc̃ussũ	sil̃is factus sum pellicano solitud̃is : fc̃us sũ
sicutniticoraxindomiciliovigilavietet	sicut niticorax in domicilio vigilavi et et
fc̃ussumsicutpass͛	fc̃us sum sicut pass͛
solitariusintectototadieexprobrabantmͥĩimici	solitarius in tecto to ta die exprobrabant mͥ ĩimici
mei:etquilaudabantmeadversũme	mei : et qui laudabant me adversũ me
jurabãtcinerẽtanqͣmpanemmanducabã:et	jurabãt  cinerẽ tanqͣm panem manducabã : et
potummeumcumfletumiscebãafacieireet	potum meum cum fletu miscebã a facie ire et
indignatõistue:elevãsallixistimedies	indignatõis tue :  elevãsallixisti me dies
meisicutumbradeclinar̃t:et	mei sicut umbra declinar̃t : et
egosicutfenumarui.tu	ego sicut fenum arui . tu
autemdñeinet͛nũꝑmanes:	autem dñe in et͛nũ ꝑmanes :
etmemorialetuumingenerationemetgeneratõem	et memoriale tuum in generationem et generatõem
tuexurgensdñemis͛eberis	tu exurgens dñe mis͛eberis
syon:tẽpusmiserendi	syon :  tẽpus miserendi
ejusvenit	ejus  venit
tempusqm̃placuerũtservistuis	tempus qm̃ placuerũt servis tuis
lapidesejus:etterreei᷒miserebunturettimebũtgentes	lapides ejus : et terre ei᷒ miserebuntur et timebũt gentes
nomẽtuũdñe:etomnesregest͛re	nomẽ tuũ dñe : et omnes reges t͛re
gl̃iamtuam.quiaedificavitdñs	gl̃iam tuam . quia edificavit dñs
syon:etvidebr̃ingloriasuarespexitin	syon : et videbr̃ in gloria sua respexit in
orationemhumilium:etnonsprevit	orationem humilium : et non sprevit
precemeoꝝ.scribanturhecingenerationealtera:et	precem eoꝝ . scribantur hec in generatione altera : et
ppl̃usquicreabiturlaudabitdominumprospexit	ppl̃us qui creabitur laudabit dominum  prospexit
deexcelsosanctosuo:dominusdeceloin	de excelso sancto suo : dominus de celo in
terramaspexit.utaudiretgemitus	terram aspexit . ut audiret gemitus
compeditorum:utsolveretfiliosinteremptoꝝut	compeditorum : ut solveret filios interemptoꝝ ut
annuntientinsyonnomẽdomini:etlaudem	annuntient in syon nomẽ domini : et laudem
ejusinierl̃m.inconveniendopopulos	ejus in ierl̃m . in conveniendo populos
inunũ:et	in unũ : et
regesutserviantdñoresponditeiinviavirtutissue	reges ut serviant dño respondit ei in via virtutis sue
:paucitatemdierũmeoꝝnuntiamͥnerevocesmeĩ	: paucitatem dierũ meoꝝ nuntia mͥ ne revoces me ĩ
dimidiodieꝝmeoꝝ:ingenerationemetgenerationẽanni	dimidio dieꝝ meoꝝ : in generationem et generationẽ anni
tui.initio	tui . initio
tudomineterrãfundasti:etoꝑamanuum	tu domine terrã fundasti : et oꝑa manuum
tuaꝝsuntceli.ip̃iꝑibũt	tuaꝝ sunt celi . ip̃i ꝑibũt
.tuautemꝑmanes:etom̃ssicutvestimentũvet͛ascent	. tu autem ꝑmanes : et om̃s sicut vestimentũ vet͛ascent
etsicutopertoriũmutabiseosetmutabuntur:tuautẽ	et sicut opertoriũ mutabis eos et mutabuntur : tu autẽ
idemipseesetannituinondeficient	idem ipse es et anni tui non deficient
filiis͛voꝝtuoꝝh̃itabunt:etsemẽ	filii s͛voꝝ tuoꝝ h̃itabunt : et semẽ
eoruminseculudiriget᷑:domineexaudi	eorum in seculu diriget᷑ : domine exaudi
or̃onẽmeã:etclamormeusad	or̃onẽ meã : et clamor meus ad
teveniatnonavertasfaciẽtuãa	te veniat non avertas faciẽ tuã a
meinquacumqdietribulorĩclinaadmeaurẽ	me in quacumq die tribulor ĩclina ad me aurẽ
tuãinquacũqdie	tuã in quacũq die
ĩvocaverote:velociterexaudime	ĩvocavero te : velociter exaudi me
.quiadefecerũtsicutfumusdiesmei:et	. quia defecerũt sicut fumus dies mei : et
ossameasicutcremiũaruerũtpercussussũutfenũet	ossa mea sicut cremiũ aruerũt percussus sũ ut fenũ et
aruitcormeũquiaoblitus	aruit cor meũ quia oblitus
sũcomederepanẽ	sũ comedere panẽ
meũavocegemitusmeiadhesitos	meũ a voce gemitus mei adhesit os
meũcarnimee.	meũ carni mee .
similisfactus	similis factus
sũpellicanosolitud̃isetfactussumsicutnicticoraxin	sũ pellicano solitud̃is et factus sum sicut nicticorax in
domiciliovigilavietfactussũsicutpassersolitariusintecto	domicilio vigilavi et factus sũ sicut passer solitarius in tecto
.totadieexprobrabantmichiinimicimeietquilaudabant	. tota die exprobrabant michi inimici mei et qui laudabant
meadv͛sum	me adv͛sum
mejurabant.	me jurabant .
cinerẽtãquãpanẽmanducabã:etpotũmeũcum	 cinerẽ tãquã panẽ manducabã : et potũ meũ cum
fletumiscebã.afacieireetindignatõis	fletu miscebã . a facie ire et indignatõis
tuequia	tue  quia
elevansallisisti	elevans allisisti
mediesmeisicutumbradeclinaverũt	me dies mei sicut umbra declinaverũt 
etegosicutfenũ	et ego sicut fenũ
arui.tuautẽdñe	arui . tu autẽ dñe
inet͛nũ	in et͛nũ
ꝑmanesetmẽorialetuũin	ꝑmanes  et mẽoriale tuũ in
generatõeetgenerõnẽtuexurgens	generatõe et generõnẽ tu exurgens
dñemisereberissyon	dñe misereberis syon  
tempusmiserendiei᷒.quiavenittempus.qm̃placuerunt	tempus miserendi ei᷒ . quia venit tempus . qm̃ placuerunt
servistuislapidesejusett͛reejus	servis tuis lapides ejus  et t͛re ejus
mis͛ebuntur.	mis͛ebuntur .
ettimebũtgentesnomentuũ	et timebũt gentes nomen tuũ
dñeetõsregesterregl̃am	dñe  et õs reges terre gl̃am
tuã.quia	tuã . quia
edificavitdñsdñssyonetvidebit᷑ingl̃asua	edificavit dñs dñs syon  et videbit᷑ in gl̃a sua
.respexitinor̃õemhũiliumetnonsprevitprecẽ	. respexit in or̃õem hũilium  et non sprevit precẽ
eorũscribanturhecin	eorũ scribantur hec in
generationealteraetpopulusqui	generatione altera  et populus qui
creabiturlaudabitdñm.prospexit	creabitur laudabit dñm .  prospexit
deexcelsos̃ctosuodñsdecelo	de excelso s̃cto suo  dñs de celo
ĩt͛rãaspexit	ĩ t͛rã aspexit
.utaudiretgemituscompeditorũutsolveretfiliosint͛emptorũut	. ut audiret gemitus compeditorũ ut solveret filios int͛emptorũ ut
anũtientinsyonnomendominietlaudem	anũtient in syon nomen domini  et laudem
ejusinihrl̃m.incõveniendoppl̃os	ejus in ihrl̃m . in cõveniendo ppl̃os
inunũ:etregesutserviant	in unũ : et reges ut serviant
dño.responditeiinviavirtutissue	dño . respondit ei in via virtutis sue
paucitatẽdierũmeorumnũtiamichi.nerevocesme	paucitatẽ dierũ meorum nũtia michi . ne revoces me
indimidio	in dimidio
dierũmeorũingenerationem	dierũ meorũ  in generationem
etgenerationẽãnitui.initiotu	et generationẽ ãni tui . initio tu
dñeterrãfundastiet	dñe terrã fundasti  et
oꝑamanuũtuaꝝsuntceli	oꝑa manuũ tuaꝝ sunt celi
.ipsiperibunt	. ipsi peribunt
tuautẽꝑmanesetom̃ssicutvestimentũ	tu autẽ ꝑmanes  et om̃s sicut vestimentũ
veterascẽtetsicutoꝑtoriũmutabis	veterascẽt et sicut oꝑtoriũ mutabis
eosetmutabũtur	eos et mutabũtur
tuautẽidẽipseeset	tu autẽ idẽ ipse es et
annitui	anni tui
nondeficient.filiiservoꝝtuorũh̃itabuntetsemeneorũ	non deficient . filii servoꝝ tuorũ h̃itabunt et semen eorũ
inscl̃mdirigetur.ps̃d̃ddomine	in scl̃m dirigetur . ps̃d̃d domine
exaudiorationemmeametclamormeusad	exaudi orationem meam et clamor meus ad
teveniat.nonavertasfaciemtuama	te veniat . non avertas faciem tuam a
meinquacumq	me in quacumq
dietribulorinclinaadme	die tribulor inclina ad me
auremtuam.in	aurem tuam . in
quacumqdieinvocaverote	quacumq die invocavero te
velociterexaudime.quiadefecerunt	velociter exaudi me . quia defecerunt
sicutfumus	sicut fumus
diesmeietossa	dies mei et ossa
measicutcremiumaruerunt.percussussumut	mea sicut cremium aruerunt . percussus sum ut
