Stephanus,δ̄i	Stephanus , δ̄i
nẽimponimusProdesseenĩill̃õibqsc̃e	nẽ imponimus Prodesse enĩ ill̃ õib  q  sc̃e
eccl̃iefiliiscupientesnilquodeosgrauetnilq̃deorũ	eccl̃ie filiis cupientes nil quod eos grauet nil q̃d eorũ
substantiãminuatergaeos	substantiã minuat erga eos
ag̃edisponim᷒nedũnoshabundãtesdeeoꝝ	ag̃e disponim᷒ ne dũ nos habundã tes de eoꝝ
cupim᷒auariciemalũq̃dscd̃mapl̃m	cupim᷒ auaricie malũ q̃d scd̃m apl̃m
euitarenonpossim᷒Curãtñaĩaꝝilloꝝgr̃acaritatis	euita re non possim᷒ Curã tñ aĩaꝝ illoꝝ gr̃a caritatis
etobseruantiasc̃eregl̃edeclinareq̃dabsittẽptau͛ĩt	et obseruan tia sc̃e regl̃e declinare q̃d absit tẽp tau͛ĩt
ꝑnr̃amsollicitudinẽadrecINdominoconfidoquomodo	ꝑ nr̃am sollicitudinẽ ad rec IN domino confido quomodo
animemeetransmigrainmosicutpasser	anime mee transmigra in mo sicut passer
Quoniameccepeccatoresintenarcumparaueruntsagittas	Quoniam ecce peccatores inten arcum parauerunt sagittas
suretrautsagittentinobscuro	su retra ut sagittent in obscuro
reQuoniamqueꝑfecistidestruxerustusautemquid	re Quoniam que ꝑfecisti destruxeru stus autem quid
fecitDominusintemplosancto	fecit Dominus in templo sancto
suoincelosedeseiusOculieiusin	suo in celo sedes eius Oculi eius in
pauꝑemrespiciuntbreeiusinterrogãt	pauꝑem respiciunt bre eius interrogãt
iniquitateanimamsuamPluetsuꝑpeccatoreslaqueosierisdabo	iniquitate animam suam Pluet suꝑ peccatores laqueos i eris dabo
tͥlicdimidiũregni	tͥ lic  dimidiũ regni
meiQͤc̃exissdix̃	mei Qͤ c̃ exiss  dix̃
matͥsueQͥdpetãet	matͥ sue Qͥd petã et
c̃festinatiõea	c̃ festi natiõe a 
discocaputiohannisbabtisteEtꝯtͥstatu᷒÷	disco caput iohannis babtiste Et ꝯtͥstatu᷒ ÷
eãꝯtͥstareSmisso	eã ꝯtͥstare S  misso
discoEtdecollaũeũĩcarc̃e⁊	disco Et decollaũ eũ ĩ carc̃e ⁊
adtulitcap̃	adtulit cap̃
ei᷒ĩdisco⁊deditilludpuelle	ei᷒ ĩ disco ⁊ dedit illud puelle
⁊puelladeditMatͥ	⁊ puella dedit Matͥ
sueQͦauditodiᷤscipl̃i	sue Qͦ audito diᷤscipl̃i
ei᷒uener̃⁊	ei᷒ uener̃ ⁊
tul̃ũtcorp᷒ei᷒⁊posuer̃illd̃ĩmonum̃toEt	tul̃ũt corp᷒ ei᷒ ⁊ posuer̃ illd̃ ĩ monum̃to Et
cesareephilippi&ĩuia	cesaree philippi & ĩ uia
ĩt̃rogabatdiscipl̃oᷤsuoᷤdicẽseisQͤmmedicũthoĩneseẽ	ĩt̃rogabat discipl̃oᷤ suoᷤ dicẽs eis Qͤm me dicũt hoĩnes eẽ
Qͥrespõd̃ũtillidicẽtesioh̃m	Qͥ respõd̃ũt illi dicẽtes ioh̃m
babtistãAliiheliãAliiuͦqͣsiunũde	babtistã Alii heliã Alii uͦ qͣsi unũ de
ꝓph̃isTc̃dic̃ill̃Vosuͦ	ꝓph̃is Tc̃ dic̃ ill̃ Vos uͦ
qͤmmedicitiᷤeẽRespõdẽsPetr᷒	qͤm me dicitiᷤ eẽ Respõdẽs Petr᷒
aiteiTu	ait ei Tu
esxp̃sEtꝯminat᷒÷eis	es xp̃s Et ꝯminat᷒ ÷ eis
necͥdic̃ẽt	ne cͥ dic̃ẽt
d̃illo&	d̃ illo &
heliãoꝑtpͥmũvenireQͥ	heliã oꝑt  pͥmũ venire Qͥ
Respõdẽsait	Respõdẽs ait
qͦmͦscͥptũ÷ĩfiliũhõiᷤũml̃tapaciat᷑	qͦmͦ scͥptũ ÷ ĩ filiũ hõiᷤ ũ ml̃ta paciat᷑
qͥa⁊heliasveñ⁊fec̃ũtilliq̃c̃quoluer̃	qͥa ⁊ helias veñ ⁊ fec̃ũt illi q̃c̃q  uoluer̃
sic̃scͥptũ÷	sic̃ scͥptũ ÷
deeoExplicit	de eo Explicit
h̃scͥpsitB	h̃ scͥpsit B
armari᷒ãnoMͦCCͦXIIIͦint̃dũ⁊forteꝗa	armari᷒ ãno MͦCCͦXIIIͦ int̃dũ ⁊ forte ꝗa
⁊aĩeintͥbutpredixim᷒Iñẽ	⁊ aĩe in tͥb  ut predixim᷒ Iñ ẽ
quodstolacorpõis	quod stola corpõis
dr̃dfut᷑ainquattuorꝓpͥetatibcorpõisgl̃ificati⁊	dr̃d fut᷑a in quattuor ꝓpͥetatib  corpõis gl̃ificati ⁊
stolaaĩepͥncipalit̃	sto la aĩe pͥncipalit̃
intͥbErũtenĩquattuorprincipalesdotes	in tͥb  Erũt enĩ quattuor principales dotes
corpõisgl̃ificati	corpõis gl̃ificati
s.subtilitas	s . sub tilitas
⁊agilitassplendor⁊impassibilitasiux̃illd̃ĩlibrosap̃ie	⁊ agilitas splendor ⁊ impassibilitas iux̃ illd̃ ĩ libro sap̃ie
fulgebũtiustisic̃solĩregͦpa.m̃i	fulgebũt iusti sic̃ sol ĩ regͦ pa . m̃i
⁊tãꝙͣscin.ĩa.di	⁊ tãꝙͣ scin . ĩ a . di
.fulgeb̃tꝑsplẽdorẽsic̃solꝑ	. fulgeb̃t ꝑ splẽ dorẽ sic̃ sol ꝑ
ĩmutabilitatemadueritatẽsiueĩpassibilitatẽ	ĩmu tabilitatem ad ueritatẽ siue ĩpassibili tatẽ 
solĩsuanat᷑aẽ	sol ĩ sua nat᷑a ẽ
ĩmutabilis⁊ĩpassibil̃taꝙͣscĩtilleꝑsubtilitatẽ	ĩmutabilis ⁊ ĩpassibil̃ taꝙͣ scĩtille ꝑ subtilitatẽ
discũrẽtꝑagilitatẽHasqͣttuoͬꝓͥetatesgl̃ificati	discũrẽt ꝑ agilita tẽ Has qͣttuoͬ ꝓͥetates gl̃ificati
coͬꝑisĩargum̃tatiõefut᷑e	coͬꝑis ĩ argu m̃tatiõe fut᷑e
gl̃ificatiõis⁊̃ĩcaͬnemoͬtalixᷤost̃ndit	gl̃ificatiõis ⁊ ̃ ĩ caͬne moͬtali xᷤ ost̃ndit
ei᷒sic̃solSubtilitatẽqñclausosigͣcl̃o	ei᷒ sic̃ sol Subtilitatẽ qñ clauso sigͣcl̃o
uirginalitãꝙͣspõsus	uirginali tãꝙͣ spõsus
ꝓcessit	ꝓces sit
detha.suoAgilitatẽsiueleuitatẽqñaliãlitt̃am	de tha . suo Agilitatẽ siue leuitatẽ qñ aliã litt̃am
ubinoshabem᷒quismundũ	ubi nos habem᷒ quis mundũ
deinmundoconceptũ	de inmundo conceptũ
infansuniusdieiẽsinepecc̃o⁊pm᷒natura	infans unius diei ẽ sine pecc̃o ⁊ p m᷒ natura
filiiireabhactñ	filii ire ab hac tñ
matrũutIer	matrũ ut Ier
emias⁊Io	emias ⁊ Io
annesquiexut̃omatris	annes qui ex ut̃o matris
QuoꝝutͥocPͥusquãteformarẽinut̃o	Quoꝝ utͥ  oc Pͥus quã te formarẽ in ut̃o
nouexiresd̃ũntresc̃ificauitequod⁊̃tendũt	nou exires d̃ ũntre sc̃ificaui te quod ⁊ ̃ tendũt
deiacob⁊b̃atauͥgineq	de iacob ⁊ b̃ata uͥgine q
habeat᷑exssum	habeat᷑ ex  ssum
Venialepecca	Veniale pecca
ratõiseẽnõpossumusꝗasemꝑ	ratõis eẽ nõ possumus ꝗa semꝑ
Iebusein	Iebuse in
t̃ranr̃aquenob̃spinas⁊tͥbunitg͛minared̃	t̃ra nr̃a que nob̃ spinas ⁊ tͥbu nit g͛minare d̃
hocaitb̃atusioannesSi	hoc ait b̃atus io annes Si
dix̃imusquodpeccatũñh̃emseducim᷒⁊	dix̃imus quod peccatũ ñ h̃em se ducim᷒ ⁊
ũitasinnob̃ñẽMor	ũitas in nob̃ ñ ẽ Mor
posteugl̃iaquesupplementũlegis	post eugl̃ia que supplementũ legis
sunt⁊inquib᷒nobisexempla⁊cepta	sunt ⁊ in quib᷒ nobis exem pla ⁊ cepta
ęccl̃asdestinareHacaut̃	ęccl̃as destinare Hac aut̃
causauidet᷑factũScilicetutinicio	causa uidet᷑ factũ Scilicet ut inicio
nascentisęccl̃ęnouiscausisexistentib&	nas centis ęccl̃ę nouis causis existentib &
resequaretuicia⁊ut	resequaret uicia ⁊ ut
posteditãlegẽmoysiinqua	post editã legẽ mo ysi in qua
õiadeimandatalegebant᷑nichilomin᷒dedoctrinasuarediuiuasemꝑ	õia dei mandata legebant᷑ nichilomin᷒ de doctrina sua rediuiua semꝑ
inmenseqͥntor̃	in mense qͥnto r̃
Istisuntdiesquosobser	Isti sunt dies quos obser
uaredebetistemꝑibussuisqͣrtadecimadieaduesꝑmpascha	uare debetis temꝑibus suis qͣrtadecima die ad uesꝑm pascha
dñiẽ	dñi ẽ 
celebrabitisaltissimo	celebrabitis altissimo
dñoũLoquutusẽdñsad	dño ũ Loquutus ẽ dñs ad
moysendicensloquerefiliisisr̃ldicesadeos	moysen dicens loquere filiis isr̃l  dices ad eos
Qͣrtal̃scd̃aEtfc̃mẽũbumdomini	Qͣrta l̃ scd̃a Et fc̃m ẽ ũbum domini
admedicensPriusꝙͣteformarem	ad me dicens Priusꝙͣ te formarem
inuteronoui	in utero noui
teanteꝙͣexiresdeuuluasanctifica	te  anteꝙͣ exires de uulua sanctifica
uiteꝓph̃am	ui te  ꝓph̃am
ingentibdediteEt	in gentib  dedi te Et
dixia.a	dixi a . a
.a.dñedeusEcce	. a . dñe deus Ecce
suntquitͥbulantmedicuntñẽ	sunt qui tͥbulant me  dicunt ñ ẽ
deusm̃uᷤQui	deus m̃ uᷤ Qui
tͥbulantmeexultabuntsimot᷒fuero	tͥbulant me exultabunt si mot᷒ fuero
egoaut̃ĩ	ego aut̃ ĩ
dix̃dominusad	dix̃ dominus ad
meNolidic̃e	me Noli dic̃e 
puersũl̃IIIͣExurgeqm̃adõiaquemittam	puer sũ l̃ IIIͣ Exurge qm̃ ad õia que mittam
teibisuniũsaq̃cumqmandauero	te ibis  uniũsa q̃cumq  manda uero
tͥloquerisNetimeasafacieeoꝝ	tͥ loqueris Ne timeas a facie eoꝝ
tecumegosumuteruamtedicitdic̃dominus	 tecum ego sum ut eruam te dicit dic̃ dominus
Etmisitdominusmanũsuamtetigitos	Et misit dominus manũ suam  tetigit os
meumr̃Quicustodiebantaĩam	meum r̃ Qui custodiebant aĩam
meamꝯsiliũfecer̃t	meam ꝯsiliũ fecer̃t
ĩunumdicentesD̃sdereliqͥteumꝑseqͥmini	ĩ unum dicentes D̃s dereliqͥt eum ꝑseqͥmini
ꝯhendite	 ꝯ  hendite
deusm̃sĩadiutoriũmeumĩtende	deus m̃s ĩ adiutoriũ meum ĩten de
ũOmnes	ũ Omnes
inimicimei	inimici mei
adũsummedicentesD̃sl̃iiiiͣ	adũsum me dicentes D̃s l̃ iiiiͣ
Etdix̃dominusadme	Et dix̃ dominus ad me
tuoecceconstituitehodiesuꝑ	tuo ecce constitui te hodie suꝑ
ibiusqdũdicamtͥ	ibi usq  dũ dicam tͥ
Futurumẽenim	Futurum ẽ enim
utherodesqueratpuerũadꝑdendũ	ut herodes querat puerũ ad ꝑdendũ
matremei᷒nocteetsecessitinegiptũEt	matrem ei᷒ nocte et secessit in egiptũ Et
eratibiusqadobitumherodis	erat ibi usq  ad obitum herodis
utadimpleret᷑q̃d	ut adimpleret᷑ q̃d
dictũẽadño	dictũ ẽ a dño
ꝑꝓph̃amdicentẽExegiptouocauifiliũ	ꝑ ꝓph̃am dicentẽ Ex egipto uocaui filiũ
meumTunc	meum Tunc
herodesuidensqm̃	he rodes uidens qm̃
illususeẽt	illusus eẽt
amagisiratusestualde	a magis iratus est ualde
Etmittens	Et mittens
occiditom̃spuerosqͥerantinbethleem⁊in	occidit om̃s pueros qͥ erant in bethleem ⁊ in
om̃ibfinib	om̃ib  finib
ei᷒abimatu	 ei᷒ ab imatu
⁊infrascd̃mtempusq̃dexquisieratamagisTunc	⁊ infra scd̃m tempus q̃d exquisierat a magis Tunc
adimpletumẽquoddictumẽꝑieremiam	ad impletum ẽ quod dictum ẽ ꝑ ieremiam
ꝓph̃amdicentemVoxinramaauditaẽploratus	ꝓph̃am dicentem Vox in rama audita ẽ ploratus
⁊ululatusmultusrachelploransfiliossuosEt	⁊ ulu latus multus rachel plorans filios suos Et
noluitconsolariquianonsunt.coll̃Deus	noluit consolari quia non sunt . coll̃ Deus
cuiushodiernaInl̃aHerodesiratusocciditmul	cuius hodierna In l̃ a Herodes iratus occidit mul
tospuerosinbethleemiudeciuitatedauidcap̃Uidisupͣ	tos pueros in bethleem iude ciuitate dauid cap̃ Uidi supͣ
qͣtuormiliahabentesnomeneiusetnom̃	qͣtuor milia habentes no men eius et nom̃
patͥseiusscriptũinfrontibsuisr̃	patͥs eius scriptũ in frontib  suis r̃
ExultentiustiũIusti	Exultent iusti ũ Iusti
inꝑpetuumAdbñaHisuntquicũmulierib	in ꝑpetuum Ad bñ a Hi sunt qui cũ mulierib
ñsuntcoinquinatiuͥginesenĩ	 ñ sunt coinquinati uͥgines enĩ
s̃t⁊secunt᷑agnũqͦcũqieritcoll̃ut	s̃t ⁊ secunt᷑ agnũ qͦcũq  ierit coll̃ ut
supͣAdiͣaAngl̃ieorũsemꝑ	supͣ Ad iͣ a Angl̃i eorũ semꝑ
uidentfaciempatris	uident faciem patris
AdiiiͣaVox	Ad iiiͣ a Vox
inramaau	in rama au
ditaẽplorat᷒	dita ẽ plorat᷒
⁊ululat᷒rachelplorans	⁊ ululat᷒ rachel plorans
filiossuoscap*⁊	filios suos cap *⁊
coll*sicutinl*Adviͣa	coll * sicut in l * Ad viͣ a
Subthronod̃isc̃iclamabantuindicasanguinẽ	Sub t h rono d̃i sc̃i clamabant uindica sanguinẽ
nr̃md̃snr̃capitulumHiisuntquicũmulierib	nr̃m d̃s nr̃ capitulum Hii sunt qui cũ mulierib
ñsuntcoinquinatiuirginesenĩsunthisecunt᷑	 ñ sunt coinquinati uirgines enĩ sunt hi secunt᷑
agnũqͦcũq	agnũ qͦcũq
ierituoĩ	 ierit uo ĩ
feudumñsuccedatnisipriusddominosat̃fec̃it	feudum ñ succedat nisi prius d domino sat̃fec̃it
p̃rimodo	p̃ri  modo
ꝓõib.idomesticissuishocfaciatIlludquo	ꝓ õib . i domesticis suis hoc faciat Illud quo
cipimusutsiuassallusde	 cipimus ut si uassallus de
feudosuo	f eudo suo
aliumuassallũh̃ũitetua	alium uassallũ h̃ũit et ua
suoppriuetur	suo p priuetur
⁊addñmsuũ	⁊ ad dñm suũ
aquoip̃etenebatreũtaturnisirequisitus	a quo ip̃e te nebat reũtatur nisi requisitus
abeopactusfũitsat̃fac̃emaioridñoꝙ̃offendit	ab e o pactus fũit sat̃fac̃e maiori dño ꝙ̃ offendit
⁊nisiuassallus	⁊ nisi uassallus
dominorequisituseũquimaiorẽdominũoffenditrequisieritutsa	domino requisitus eũ qui maiorẽ dominũ offendit requisierit ut sa
tisfaciatsuumfeudũamittatt̃ea	tis faciat suum feudũ amittat  t̃e a
sidefeudo	si de feudo
int̃duosuassallossitꝯtroũsiadominisitꝯgnitõ⁊	int̃ duos uassallos sit ꝯ troũsia domini sit ꝯgnitõ ⁊
pereumꝯtroũsia	per eum ꝯ troũsia
t̃mineturSiuõĩt̃dñmetuassallũlisoriat᷑ꝑ	t̃minetur Si uõ ĩt̃ dñm et uassallũ lis oriat᷑ ꝑ
parescurieaddomĩos̃odebito	pares curie a d domĩo s̃o debito
fidelitatisꝯiuraitost̃mineturIllud	fidelitatis ꝯiurai tos t̃minetur Illud
quos̃cimuᷤutinomni	quo  s̃cimuᷤ ut in omni
sac̃m̃tofidelitatis	sac̃m̃to fidelitatis
liberautenticorumExplicitlib̃autenticorumvidebr̃siñfastidio	liber autenticorum Explicit lib̃ autenticorum videbr̃ siñ fastidio
amabr̃siñfatigatõelaudabr̃	amabr̃ siñ fatigatõe laudabr̃
hocmun᷒ceterumquifuturisuntꝓ	hoc mun᷒ cete rum qui futuri sunt ꝓ
m̃itis	m̃itis 
quisestydo᷒	quis est ydo᷒
cogitareqͣntomag̃dic̃etm̃fut᷑um	cogitare qͣnto mag̃ dic̃e  tm̃ fut᷑um
sintñẽãbigend̃atqita	sint ñ ẽ ã bigend̃ atq  ita
⁊̃bt̃aillaciuitasmagnum	⁊ ̃ bt̃a illa ciuitas magnum
insedonumuidebitq̃dnullisuperiorinullusinf̃ior	in se donum uidebit q̃d nulli superiori nullus inf̃ior
inuidebitsic̃	inuidebit sic̃
ñĩuidẽt	ñ ĩuidẽt
archãgl̃isãgl̃icet̃iTamnolleteẽun᷒ꝗsqq̃dñ	archãgl̃is ãgl̃i cet̃i Tam nollet eẽ un᷒ꝗsq  q̃d ñ
accepitqͣmuissit	accepit qͣmuis sit
pacatissimo	pacatissi mo
uinculocõcordieeiquiaccep̃obstrictusqͣmnecĩcorꝑe	uinculo cõcordie ei qui accep̃ obstrictus qͣm nec ĩ corꝑe
uultoculiuseẽquiẽ	uult o cul i u s eẽ qui ẽ
digituscummebrumutr̃qcontineattoci	digitus cum me  brum utr̃q  contineat toci 
bitdonũalialiominut	bit donũ ali  alio min  ut
hocqͦdonũ	hoc qͦ  donũ
h̃atneul̃itampliusvicia	h̃at ne ul̃it amplius vicia
persapientie	per sapientie
doctͥnaalit̃ꝑinsipiẽtispessimamuitãita⁊obliuiones	doctͥna alit̃ ꝑ insipiẽtis pessimam uitã ita ⁊ obliuiones
maloꝝdues̃tAlr̃eanamq	maloꝝ due s̃t Alr̃ ea namq
obliuiscitureruditus⁊doctusAlit̃expert⁊	 obliuiscitur eruditus ⁊ doctus Alit̃ expert ⁊
passIllesipericiamnegligatiste	pass  Ille si periciam negligat iste
simiseriacareat.Scd̃mhãcobliuiõequã	si mise ria careat . Scd̃m hãc obliuiõe  quã
post̃ioreloco	post̃iore loco
eĩom̃ib.	eĩ om̃ib .
itautpenitdeleatur	ita ut penit  deleatur
eorumsensibusEttm̃potẽtiascĩeq̃m̃gñĩ	eorum sensibus Et tm̃ potẽtia scĩe q̃ m̃gñ ĩ
eiseritñsolũsuat̃itas⁊̃	eis erit ñ solũ sua  t̃ita s ⁊ ̃
ẜiañlateb̃	ẜia ñ lateb̃
ĩuocabim⁊uidebim᷒⁊am̃bim᷒am̃bim᷒⁊laudabim᷒Ecceꝙ	ĩuocabim ⁊ uidebim᷒ ⁊ am̃bim᷒ am̃bim᷒ ⁊ laudabim᷒ Ecce ꝙ
er̃ĩfĩesũ	er̃ ĩ fĩe sũ
fineExplicitHũclibꝝfec̃scͥbidñsBdecastãeto	fine Explicit Hũc libꝝ fec̃ scͥbi dñs B de castãeto
d̃igr̃aep̃salbieñ	d̃i gr̃a ep̃s albieñ
instãtiinquo	instãti in quo
desunteẽtalisꝑsdesinitibi	desunt eẽ talis ꝑs desinit ibi
esseaĩanecsequit᷑p̃phocq̃dine	esse aĩa nec sequit᷑ p̃p hoc q̃d in e
deminstãtiibisitnõsit	dem instãti ibi sit  nõ sit 
necĩimoĩstãtipesuel	nec ĩ imo ĩstãti pes uel
manusestꝑs	manus est ꝑs
ul̃nõꝑsip̃iuscorꝑis	ul̃ nõ ꝑs ip̃ius corꝑis
utrumãimasitsimpliciorom̃ibaliisformisSEcundo	utrum ãima sit simplicior om̃ib  aliis formis SEcundo
querit᷑utrumaĩasit	querit᷑ utrum aĩa sit
simplicõrom̃ibaliis	simplicõr om̃ib  aliis
formisvidet᷑q̃dnõ	formis  videt᷑ q̃d nõ 
qͣmalieestꝯpositõriilliss	qͣm alie est ꝯ positõr i illis s
aĩahũanacõpoĩtaestex	 aĩa hũana cõpoĩta est ex
potẽciamat͛ie	potẽcia mat͛ie
ñsũtexeẽeẽnͣꝯpoĩte	ñ sũt ex eẽ  eẽnͣ ꝯpoĩte
cũeisnõꝯpetateẽgͦaĩa	cũ eis nõ ꝯpetat eẽ gͦ aĩa
dicitqddqͦsdamgͣdussnulliforͤsb̃ali	dicit qdd qͦsdam gͣdus s  nulli forͤ sb̃ali
cõpetith̃regradusẜmeẽmͣcũquelib	cõpetit h̃re gradus ẜm eẽmͣ cũ quelib 
talissimpliciĩuariabl̃ieẽnͣcõsistatnecẜmeẽ	talis simplici  ĩua riabl̃i eẽnͣ cõsistat nec ẜm eẽ
q̃dh̃tinsb̃ocũsb̃mformesb̃alissitip̃m	q̃d h̃t in sb̃o cũ sb̃m forme sb̃alis sit ip̃m
ylegͦsaltẽformissb̃a	yle gͦ saltẽ formis sb̃a
libaĩaip̃anõeritsimplicõr	lib  aĩa ip̃a nõ erit simplicõr
pͣforͣillaq̃pot̃dicihocaliqͥd	pͣ forͣ illa q̃ pot̃ dici hoc aliqͥd
ẽcõpoĩtõrillaq̃hocaͥddici	ẽ cõpoĩtõr illa q̃ hoc aͥd dici
nõpot̃s	nõ pot̃ s
aĩahũanasinecorꝑepot̃dicihocaͥdcũ	 aĩa hũana sine corꝑe pot̃ dici hoc aͥd cũ
sitĩdiduũingen͛esb̃egͦeritcõpoĩtõr	sit ĩdi duũ in gen͛e sb̃e gͦ erit cõpoĩtõr
aliisformisquibind̃iduatõsine	aliis formis quib  ind̃iduatõ sine
mͣuelcorꝑenõtingitꝯͣriũest	mͣ uel corꝑe nõ tingit ꝯͣriũ est
aug̃VIdetͥni.caͦVIuͥdicitq̃d	aug̃ VI de tͥni . caͦ VI uͥ dicit q̃d
quidẽcorꝑissimplicõrẽlicetĩcõꝑatõe	quidẽ cor ꝑis simplicõr ẽ licet ĩ cõꝑatõe
deisitmultiplexquelalia	dei sit multiplex  quel  alia
formapotestdicicorꝑaliscũmo	forma potest dici corꝑalis cũ mo
lecorꝑisdiffundat᷑Id̃osequit᷑q̃daĩaaliisfor	le corꝑis diffundat᷑ Id̃o sequit᷑ q̃d aĩa aliis for
missitsimplicõrR̃nsiodd̃q̃dtriasũt	mis sit simplicõr R̃nsio dd̃q̃d tria sũt
illaqueadsimplicitaterequirũt᷑pͥmũ̃	illa que ad simplicitate requirũt᷑ pͥmũ  ̃
ĩd̃isibl̃itaqua·H·lib̃tatep᷒s̃t	ĩd̃isibl̃ita qua · H · lib̃tate p᷒s̃t
corrigũtꝯmissise	corrigũt ꝯmissise
Ineuãg̃qͦ	In euãg̃ qͦ
tͣbẽgestatĩocl̃osuoñ	tͣbẽ gestat ĩ ocl̃o suo ñ
p᷒sefeseduc̃deocl̃ofr̃issuiIt̃d̃d	p᷒se fes educ̃ de ocl̃o fr̃is sui It̃ d̃d
pcc̃oriãdixͭde᷒qr̃tu	pcc̃ori ã dixͭ de᷒ qr̃ tu
enar.i᷒ticiasetassũistest̃ͫ	enar . i᷒ticias et assũis test̃ͫ
m.ꝑostuũ	m . ꝑ os tuũ
Etẜgg̃ͫ	Et ẜ gg̃ͫ
c᷒uitadespic᷑ꝯrestat	c᷒ uita despic᷑ ꝯ re stat
utdicatõꝯdẽpnet᷑hĩcẽeĩꝙysaiasa	ut  dicatõ ꝯdẽpnet᷑ hĩc ẽ eĩ ꝙ ysaias a
dñoaddicand̃mittend᷒pͥ᷒ab	dño ad  dicand̃ mittend᷒ pͥ᷒ ab
tatemũda᷑et	tate mũda᷑ et
ose᷒calcl̃o	os e᷒ calcl̃o
tãgi᷑qͥforcipetolli᷑dealtaripri᷒gͥ	tãgi᷑ qͥ forcipe tolli᷑ de altari pri᷒ gͥ
debsac̃doteserrata	deb sac̃dotes errata
suacorrig̃ep᷒moͫadalienadiluendafestĩarNã	sua corrig̃e  p᷒moͫ ad aliena diluenda festĩar Nã 
gall᷒pͥ᷒seipͫalaꝝũb̃e	gall᷒ pͥ᷒ se ipͫ alaꝝ ũb̃e
corripitdeiñadhoras	corripit  deiñ ad horas 
cinendasceditsac̃dotes	cinendas cedit sac̃dotes
·H·pler̃	· H · pler̃
exemͦsuepassiõisaccendũt	 exemͦ sue passiõis accendũt
qͦss̃uitdoctͥnediuti᷒ꝯfͬmareñp᷒s̃tetuita	qͦs s̃uit doctͥne diuti᷒ ꝯfͬmare ñ p᷒s̃t et uita
disciplinisñeruditaexẽp	disciplinis ñ erudita exẽp
religiõisdesepr̃arenescͭq̃ĩ	religiõis de se pr̃are nescͭ q̃ ĩ
seip̃aexꝑimẽto	se ip̃a exꝑimẽto
ñdidicͭUtguitaꝯũsaͦur̃a	ñ didicͭ Ut g uita  ꝯũsaͦ ur̃a
irrehẽsibl̃is	irre  hẽsibl̃is
eccͣmcellaur̃anl̃lus	eccͣm cella ur̃a nl̃lus
ur̃marmal̃	ur̃m arma l̃
glaadferiend̃feratnͥfortetpr̃guerrel̃	gla ad feriend̃ ferat nͥ forte tpr̃ guerre l̃
exꝓbabl̃ic̃atimornl̃l᷒comãnutͥatne	ex ꝓbabl̃i c̃a timor nl̃l᷒ comã nutͥat ne
barbãetun᷒qͥscoronãtõsurã	 barbã et un᷒qͥs  coronã  tõsurã
̃ꝯiugatiñbigamipͥuilegiocl̃icaliguaud̃etespublice	̃ ꝯiugati ñ bigami pͥuilegio cl̃icali guaud̃e tes publice
portentnl̃lusautcanũaut	portent nl̃lus aut canũ aut
auiũiocisĩs͛uiatnl̃lutatibcrapulis.i	auiũ iocis ĩs͛uiat nl̃lu tatib  crapulis . i
.gulositatibuslitibscurrilitatib᷒ꝑcussiõib᷒etblasfemiisu	. gulositatibus litib  scurrilitatib᷒ ꝑcussiõib᷒ et blasfemiis u
autĩcenisfũitexhĩtersits	aut ĩ cenis fũit exh ĩtersit s
põpasscl̃i	 põpas scl̃i
uͦñpudicas⁊sobriacolatUn᷒qͥs	uͦ ñ pudica s ⁊ sobria colat Un᷒qͥs
ꝯiuratõescodiũeml̃atões	 ꝯiuratões c odiũ eml̃atões
obtͤctatõesatĩuidiã	obtͤctatões at  ĩuidiã
effugiatñuagisoceffͤnatalĩguaautpetulãtifluidoq	effugiat ñ uagis oc effͤnata lĩgua aut petulãti fluidoq 
ĩgestuĩcedats	ĩ gestu ĩcedat s
puacueꝯdiãmẽtissĩplici	 pu ac ueꝯdiã mẽtis sĩplici
h̃ituĩcessuqost̃ndatobscenitatẽboꝝmẽbroꝝsic̃	h̃itu ĩcessuq  ost̃ndat obscenitatẽ boꝝ  mẽbroꝝ sic̃ 
operũpẽit᷒execret᷑senioribdebitat	operũ pẽit᷒ execret᷑ seniorib  debit at
ob̃iamnullo	ob̃iam n  ullo
iactãciestudio	iactãcie studio
seipͫattollat	se ipͫ attollat
bonismo	bonis mo
studeatab	studeat  ab
õibillicitiscorac	õib  illicitis cor ac
lĩguãcorp᷒adeot̃reꝯsõis	lĩguã  corp᷒ adeo t̃re ꝯs õis
·H·iactãciaat	· H · iactãcia at
ĩmod̃atõabõis	 ĩmod̃atõ a bõis
÷moribalienanull᷒	÷ morib  aliena null᷒
ꝑq̃dꝓuocem᷑adhũilitatemexemplosue	ꝑ q̃d ꝓuocem᷑ ad hũilitatem exem plo sue
conũsatõisꝑq̃dĩformem᷑adsc̃itatẽEt	conũsatõis ꝑ q̃d ĩformem᷑ ad sc̃itatẽ Et
memoriapassionisꝑq̃dincitemuradkaritatẽ	memoria passionis ꝑ q̃d incitemur ad karitatẽ
Qͣrtoscribitur	Qͣrto scribitur
inhoctemplocordissp̃ualealphabetũsiuesp̃ualisscrip	in hoc templo cordis sp̃u ale alphabetũ siue sp̃ualis scrip
turaHecãscͥpturaq̃ibiscͥbiturtriplex	tura Hec ã scͥptura q̃ ibi scͥbitur triplex
delictoꝝDehiistribusRIICII	delictoꝝ De hiis tribus R II C II
Gentesque	Gentes que
legẽnõ	legẽ nõ
