tandus.si	tandus . si
Ꝯferemus.assignaturinich̃omin᷒	Ꝯferemus . assignaturi nich̃omin᷒
adḣop᷒.	ad ḣ op᷒ .
triamiliamarcharũargenti	tria milia marcharũ argenti
.q̃apudnosdeqͦzdamfideliũelemosinisremanserũt	. q̃ apud nos de qͦzdam fideliũ elemosinis remanserũt
.aliisĩnecc̃itates	. aliis ĩ necc̃itates
⁊utilitatesp̃dicteterre	⁊ utilitates p̃dicte terre
ꝑman᷒felicismemorie.albertiIerosolimitani	ꝑ man᷒ felicis memorie . alberti Ierosolimitani
patͥarche.acmagr̃oꝝtempli⁊	patͥarche . ac magr̃oꝝ templi ⁊
hospitalisfidelit̃distributis.cupientesautẽalios	hospitalis fidelit̃ distributis . cupientes autẽ alios
eccͣrump̃latos	eccͣrum p̃latos
nͨnonclericosuniũsos⁊ĩmerito⁊ĩp̃mio	nͨ non clericos uniũsos ⁊ ĩ merito ⁊ ĩ p̃mio
hr̃eparticipes⁊	hr̃e participes ⁊
cõsortes.excõmuni	cõsortes . ex cõmuni
Ꝯciliiapprobationestatuim᷒	Ꝯcilii approbatione statuim᷒
utõsom̃ioclericitamsubtiqͣmprelati	ut õs om̃io clerici tam subti qͣm prelati
.uicesimaeccl̃iasticoꝝꝓuentuumusq;adtͥenniumintegreꝮferãtĩ	. uicesima eccl̃iasticoꝝ ꝓuentuum usq; ad tͥennium integre Ꝯferãt ĩ
subsidiumt̃resc̃e.ꝑmanuseoꝝqͥad	subsidium t̃re sc̃e . ꝑ manus eoꝝ qͥ ad
hocfuerĩtꝓuidentiaapl̃icaordinati.quib;damdum	hoc fuerĩt ꝓuidentia apl̃ica ordinati . quib;dam dum
taxatreligosisexceptisp̃stationemeritoeximendis.Illisq;similit̃.	taxat religosis exceptis p̃statione merito eximendis . Illisq; similit̃ .
qͥassumpto.l̃	qͥ assumpto . l̃
assumendocrucis	assumendo crucis
signacl̃o.suntꝑsonal̃rꝓfecturi.nosaũt⁊	signacl̃o . sunt ꝑsonal̃r ꝓfecturi . nos aũt ⁊
fratresnr̃i.	fratres nr̃i .
sancteeccl̃ieromanecardinales.	sancte eccl̃ie romane cardinales .
plenariamdecimamꝑsoluem᷒	plenariam decimam ꝑsoluem᷒
.sciantq;seom̃sadhocfideliter	. sciantq; se om̃s ad hoc fideliter
obseruand̃ꝑ	obseruand̃ ꝑ
excõicatõissententiãobligatos.	excõicatõis sententiã obligatos .
Itaquodilli	Ita quod illi
quisuꝑfraudem	qui suꝑ fraudem
scient̃cõmiserint:sentñtiamexcõicationisĩcurrant.	scient̃ cõmiserint : sentñtiam excõicationis ĩcurrant .
sane.qꝛiustoiudiciocelestisimꝑatorisobsequiisinherentes	sane . qꝛ iusto iudicio celestis imꝑatoris obsequiis inherentes
.sp̃ali	. sp̃ali
decetp̃rogatiuagaud̃e.cũtemp᷒ꝓficiscendiannũ	decet p̃rogatiua gaud̃e . cũ temp᷒ ꝓficiscendi annũ
excedatĩmodico.crucesignaticollectiᷤ.l̃	excedat ĩ modico . cruce signati collectiᷤ . l̃
talliis.aliisq;gͣuaminib;sintĩmunes.quoꝝꝑͣs	talliis . aliisq; gͣuaminib; sint ĩmunes . quoꝝ ꝑͣs
⁊bona.p᷒	⁊ bona . p᷒
crucẽsusceptam:	crucẽ susceptam :
subbeatipetri⁊nr̃aꝓtectionesuscepimus.statuentes	sub beati petri ⁊ nr̃a ꝓtectione suscepimus . statuentes
utsubarchiep̃orũep̃oꝝ.atq;oĩump̃latoꝝeccl̃iedefensione	ut sub archiep̃orũ ep̃oꝝ . atq; oĩum p̃latoꝝ eccl̃ie defensione
Ꝯsistant.ꝓpriisnichilomin᷒ꝓtectorib;adbocspecial̃rdeputatis.	Ꝯsistant . ꝓpriis nichilomin᷒ ꝓtectorib; ad boc special̃r deputatis .
Itauͭbonaeoꝝ.donͨde	Ita uͭ bona eoꝝ . donͨ de
ip̃oꝝobitucertissimereditucognoscatur:ĩtegramaneant	ip̃oꝝ obitu certissime reditu cognoscatur : ĩtegra maneant
acqͥeta	ac qͥeta
.⁊siquisqͣmcontͣp̃sũpserit	. ⁊ si quisqͣm contͣ p̃sũpserit
.cẽ.ecc.	. cẽ . ecc.
Ꝯpescat᷑.siquiuͦꝓficiscẽtium	Ꝯpescat᷑ . si qui uͦ ꝓficiscẽtium
illuc.adprestandasusurasiuram̃toteneant᷑astricti	illuc . ad prestandas usuras iuram̃to teneant᷑ astricti
:creditoreseorum.uͭ	: creditores eorum . uͭ
remittanteisp̃stitumiuram̃tũ.⁊ab	remittant eis p̃stitum iuram̃tũ . ⁊ ab
usurarumexactionedesistant	usurarum exactione desistant
:eademp̃cipimusdistrictione	: eadem p̃cipimus districtione
compelli.Quidsiquiscreditorumeos	compelli . Quid siquis creditorum eos
adsolutionẽ	ad solutionẽ
coegerĩtusurarũ:	coegerĩt usurarũ :
eũadrestitutionẽ	eũ ad restitutionẽ
earumsimilicogiaĩadũsionemandam᷒.	earum simili cogi aĩadũsione mandam᷒ .
Iudeosũoad	Iudeos ũo ad
remittendasusurasꝑ	remittendas usuras ꝑ
scl̃aremcompellip̃cipim᷒potestatem.⁊donecillas	scl̃arem compelli p̃cipim᷒ potestatem . ⁊ donec illas
remisserĩt:abuniũsisxp̃i	remisserĩt : ab uniũsis xp̃i
fidelib;ꝑexcõicatõissententiãeisom̃inocõmuniodeneget᷑.hiis	fidelib; ꝑ excõicatõis sententiã eis om̃ino cõmunio deneget᷑ . hiis
aũtqͥuideisdebita	aũt qͥ uideis debita
soluereneqͥuerĩt.ĩp̃sentisicpͥncipessecularesutilidilatione	soluere neqͥuerĩt . ĩ p̃senti sic pͥncipes seculares utili dilatione
prouideant.qd̃	prouideant . qd̃
postiterarreptũusq̃qͦ	post iter arreptũ usq̃qͦ
deip̃oꝝobitul̃reditucertissime	de ip̃oꝝ obitu l̃ reditu certissime
cognoscat᷑.	cognoscat᷑ .
usurarũĩcõmodañĩc᷑ãtꝑfecteꝮscencat	usurarũ ĩcõmoda ñ ĩc᷑ãt ꝑfecte Ꝯscencat
actionis.Quodꝑpleni᷒declarat᷑	actionis . Quod ꝑ pleni᷒ declarat᷑
.ꝑhocꝙmonsiste.	. ꝑ hoc ꝙ mons iste .
monsorebdr̃	mons oreb dr̃
.orebenimadorint̃pretat᷑.In	. oreb enim ador int̃pretat᷑ . In
montẽitaq;oreb	montẽ itaq; oreb
ascendit.quicaritatisardoresuccensus.p̃rogatiuaꝮũsationis	ascendit . qui caritatis ardore succensus . p̃rogatiua Ꝯũsationis
cet̃osañcellit.Inmonteistodñs.	cet̃os añcellit . In monte isto dñs .
ĩflãmaignismoysi	ĩ flãma ignis moysi
legit᷑apparuisse	legit᷑ apparuisse
.Ꝯstattñrubũĩquodñsapparuit:	. Ꝯstat tñ rubũ ĩ quo dñs apparuit :
penitusillesũpermansisse	penitus ille sũ permansisse
.Inquofc̃odaturintelligi	. In quo fc̃o datur intelligi
.qꝛigniscaritatisñꝮburit.s;	. qꝛ ignis caritatis ñ Ꝯburit . s;
illumĩat.nonꝮsumit.s;Ꝯseruat.qꝛuirtute	illumĩat . non Ꝯsumit . s; Ꝯseruat . qꝛ uirtute
suaforisspinaspecc̃orumexurit.⁊int᷒uiriditatem	sua foris spinas pecc̃orum exurit . ⁊ int᷒ uiriditatem
uirtutũillibatãcustodit.ascendam᷒frẽs	uirtutũ illibatã custodit . ascendam᷒ frẽs
ĩmontẽistũ.⁊abigne	ĩ montẽ istũ . ⁊ ab igne
istocalefierisatagam᷒.	isto calefieri satagam᷒ .
ñmaneam᷒insegor.	ñ maneam᷒ insegor .
ciuitateparua.s;ĩmonteisto	ciuitate parua . s; ĩ monte isto
saluosnosfaciamus.ꝓfessionienĩnr̃ecõuenit	saluos nos faciamus . ꝓfessioni enĩ nr̃e cõuenit
.utñsolũmandata.s;	. ut ñ solũ mandata . s;
⁊Ꝯsiliadiuina	⁊ Ꝯsilia diuina
studeam᷒adimplere.⁊ĩtabernaculodñiseruientes	studeam᷒ adimplere . ⁊ ĩ tabernaculo dñi seruientes
.ñtm̃ĩ	. ñ tm̃ ĩ
sc̃a.s;	sc̃a . s;
⁊insc̃a	⁊ in sc̃a
scõꝝꝮtendam᷒introire	scõꝝ Ꝯtendam᷒ introire
.maneam᷒	. maneam᷒
ĩmonteisto	ĩ monte isto
cũmoyse.⁊c̃dñofreq̃nt̃colloquam᷑.uttandẽ	cũ moyse . ⁊c̃ dño freq̃nt̃ colloquam᷑ . ut tandẽ
ꝑuenireualeam᷒admontẽ	ꝑuenire ualeam᷒ ad montẽ
illũ:qͥpositusẽĩuertice	illũ : qͥ positus ẽ ĩ uertice
montiũ.adquẽfluentom̃sgentes	montiũ . ad quẽ fluent om̃s gentes
.adhuncmontẽ	. ad hunc montẽ
ꝓph̃anos	ꝓph̃a nos
ĩuitansait.ueniteascendam᷒inmontẽ	ĩuitans ait . uenite ascendam᷒ in montẽ
dñi.mõsiste.dñsẽih̃cxp̃c.	dñi . mõs iste . dñs ẽ ih̃c xp̃c .
monspinguis.monscoagulat᷒.cuimontes	mons pinguis . mons coagulat᷒ . cui montes
ĩcaseati.ñualẽtcoequari.Ip̃e	ĩ caseati . ñ ualẽt coequari . Ip̃e
ẽenĩquemunxitd̃soleoleticiep̃particib;suis	ẽ enĩ quem unxit d̃s oleo leticie p̃particib; suis
.qͥgr̄amñadmensurãaccepit.s;eã	. qͥ gr̄am ñ ad mensurã accepit . s; eã
fidelib;suis.proutcuiq;	fidelib; suis . pro ut cuiq;
noũitexpedire:gratuitabonitate	noũit expedire : gratuita bonitate
distribuit.adhuncmontẽ.i.adse	distribuit . ad hunc montẽ . i. adse
ip̃m.ꝑduc̃enos	ip̃m . ꝑduc̃e nos
dignet᷑.dñsnr̃ih̃cxp̃c.qͥcũ	dignet᷑ . dñs nr̃ ih̃c xp̃c . qͥ cũ
patre⁊sp̃usc̃ouiuit⁊	patre ⁊ sp̃u sc̃o uiuit ⁊
regnatꝑom̃iascl̃oꝝ	regnat ꝑ om̃ia scl̃oꝝ
scl̃a.amenremuitih̃cspũ	scl̃a . amen remuit ih̃c spũ
.⁊turbauitseip̃m.	. ⁊ turbauit se ip̃m .
⁊lacrimat᷒	⁊ lacrimat᷒
est⁊clamauit	est ⁊ clamauit
.lazareueniforas.	. lazare ueni foras .
legimusinscͥpturissacris.⁊utinãscriptumsit	legimus in scͥpturis sacris . ⁊ utinã scriptum sit
indelebilisincordib᷒nr̃is	indelebilis in cordib᷒ nr̃is
.qꝛomnis	. qꝛ omnis
xp̃iactio:anime	xp̃i actio : anime
fidelisestlectio.siquidemip̃exp̃crectelibricensetur	fidelis est lectio . siquidem ip̃e xp̃c recte libri censetur
nomine.eo	nomine . eo
quodinip̃oformamuitenr̃e	quod in ip̃o formam uite nr̃e
legeredebeamusdequolibͦꝑezechielem	legere debeamus de quo libͦ ꝑ ezechielem
ꝓph̃amscͥptumest.Expanditcorammelibrum	ꝓph̃am scͥptum est . Expandit coram me librum
.qͥscͥptuseratintus⁊	. qͥ scͥptus erat intus ⁊
foris.Et	foris . Et
dñsĩeuangl̃ioloquensaddiscipl̃os.gaudeteinquit	dñs ĩ euangl̃io loquens ad discipl̃os . gaudete inquit
.quianominaur̃ascͥptast̃inlibrouite	. quia nomina ur̃a scͥpta st̃ in libro uite
.felixanimaque	. felix anima que
ĩlibrohoclegereiugiter⁊meditaristudũit	ĩ libro hoc legere iugiter ⁊ meditari studũit
.⁊adexẽplũredẽptorissui.iusticie	. ⁊ ad exẽplũ redẽptoris sui . iusticie
⁊sc̃itatisoꝑib;fũitinformata	⁊ sc̃itatis oꝑib; fũit in formata
.freq̃nsenĩhui᷒libri	. freq̃ns enĩ hui᷒ libri
lectio.rediredocetadcorhominẽ	lectio . redire docet ad cor hominẽ
.⁊culpasagnoscere.suspirareadueniã	. ⁊ culpas agnoscere . suspirare adueniã
.morescõponere.carnemsubic̃e	. mores cõponere . carnem subic̃e
sp̃ui.salutem	sp̃ui . salutem
querere.uitãĩuenire.	querere . uitã ĩuenire .
Etqͥdemdiũsosinhoclibro	Et qͥdem diũsos in hoc libro
diũsalegentes.ezechielisꝓph̃etestimoniũcõꝓbat.qui	diũsa legentes . ezechielis ꝓph̃e testimoniũ cõꝓbat . qui
ĩeodemlibrocoramseexpanso.lam̃tationes⁊carm̃	ĩ eodem libro coram se expanso . lam̃tationes ⁊ carm̃
.⁊ue.scͥptafuisseꝮmemorat	. ⁊ ue . scͥpta fuisse Ꝯmemorat
.Expanditinqͥtcorammelibrũ.qͥerat	. Expandit inqͥt coram me librũ . qͥ erat
scͥptusint᷒⁊foris.⁊scͥpta	scͥptus int᷒ ⁊ foris . ⁊ scͥpta
erantineo.lam̃tationes	erant in eo . lam̃tationes
.⁊carm̃.⁊ue.triah̃ad	. ⁊ carm̃ . ⁊ ue . tria h̃ ad
triplicemstatũuitep̃sentisñinꝮgruerespiciunt.	triplicem statũ uite p̃sentis ñ inꝮgrue respiciunt .
inquodiũsidiũsis	in quo diũsi diũsis
affectistudiis.ul̃abinuioad	affecti studiis . ul̃ ab in uio ad
uiami᷒ticie.ꝑ	uiam i᷒ticie . ꝑ
oꝑapenitentiedirigunt᷑.ul̃celestis	oꝑa penitentie dirigunt᷑ . ul̃ celestis
gr̃emuñeiustificati.iamnuncĩsemitisꝑfectionisambulãt	gr̃e muñe iustificati . iam nunc ĩ semitis ꝑfectionis ambulãt
.ul̃certelatash᷒seculiuiasgradientes.	. ul̃ certe latas h᷒ seculi uias gradientes .
arectitudinemãdatoꝝ	a rectitudine mãdatoꝝ
d̃i.ꝑtortuososuitiorũcircuit᷒.magisac	d̃i . ꝑ tortuosos uitiorũ circuit᷒ . magis ac
magiselongant᷑.	magis elongant᷑ .
st̃enimqͥdamquiuitiis⁊scelerib;	st̃ enim qͥdam qui uitiis ⁊ scelerib;
irretiti.dum	irretiti . dum
recogitantsuppliciaimpiis⁊pecc̃orib;	recogitant supplicia impiis ⁊ pecc̃orib;
p̃parata.dum.dumattendũtcarc̃emtenebrosũ	p̃parata . dum . dum attendũt carc̃em tenebrosũ
.fletus⁊stridorẽdentiũ	. fletus ⁊ stridorẽ dentiũ
.uermemquiñmorit᷑	. uermem qui ñ morit᷑
.ignẽqͥñextĩguit᷑	. ignẽ qͥ ñ extĩguit᷑
dumĩquam	dum ĩquam
attendunth̃om̃iam̃teꝮpungũt᷑.Ꝯfugiũtad	attendunt h̃ om̃ia m̃te Ꝯpungũt᷑ . Ꝯfugiũt ad
lam̃tapenitẽtie.plangũtfortit̃mala	lam̃ta penitẽtie . plangũt fortit̃ mala
q̃Ꝯmisert̃.	q̃ Ꝯmisert̃ .
ethiiin	et hii in
libroqͥ	libro qͥ
xp̃cest:lam̃tationesscͥptasinueniunt.suntalii	xp̃c est : lam̃tationes scͥptas inueniunt . sunt alii
qͥmagnitudinembeneficioꝝdeiergase	qͥ magnitudinem beneficioꝝ dei erga se
diligenti᷒intuentes	diligenti᷒ intuentes
.qd̃uidelicet.depecc̃iꝑpetrationemerentib;	. qd̃ uidelicet . de pecc̃i ꝑpetratione merentib;
.ñsolũꝮmissamisericordit̃dimisit.	. ñ solũ Ꝯmissa misericordit̃ dimisit .
s;⁊amissalib̃aliterrestaurauit.qd̃dignossupplicio.	s; ⁊ amissa lib̃aliter restaurauit . qd̃ dignos supplicio .
sanguineꝓpͥo	sanguine ꝓpͥo
demorteredemit.ꝙ	de morte redemit . ꝙ
deniq;ꝑseũantib;infinẽ:eaque	deniq; ꝑseũantib; in finẽ : ea que
ocul᷒ñuid̃.necauris	ocul᷒ ñ uid̃ . nec auris
audiuit.necincorhom̃isascendunt.reꝓmisit:	audiuit . nec in cor hom̃is ascendunt . reꝓmisit :
talesinqͣmspecelestiumbonoꝝꝮfortati.currũt	tales inqͣm spe celestium bonoꝝ Ꝯfortati . currũt
hilariteruiammandatoꝝd̃i.	hilariter uiam mandatoꝝ d̃i .
⁊utmereant᷑	⁊ ut mereant᷑
assequiqd̃d̃sreꝓmittit:studẽtmodisom̃ib;amare	assequi qd̃ d̃s reꝓmittit : studẽt modis om̃ib; amare
ꝙp̃cipit.pregaudiosp̃cĩuocẽlaudis⁊iubilationiserumpũt	ꝙ p̃cipit . pregaudio sp̃c ĩuocẽ laudis ⁊ iubilationis erumpũt
.⁊hiiinlibroqͥ	. ⁊ hii in libro qͥ
xp̃cẽcarmen	xp̃c ẽ carmen
exaratũĩueniunt.dequocarminepsalmistaait.	exaratũ ĩueniunt . de quo carmine psalmista ait .
statuitsuprapetrampedesmeos.⁊	statuit supra petram pedes meos . ⁊
direxitgressusmeos.Et	direxit gressus meos . Et
ĩmisitĩosmeũcanticũnouũ.	ĩmisit ĩ os meũ canticũ nouũ .
carmendeonostro.st̃⁊aliiquiin	carmen deo nostro . st̃ ⁊ alii qui in
ꝓfundouitioꝝꝮstituti.postperpetratamala	ꝓfundo uitioꝝ Ꝯstituti . post per petrata mala
:ceruicẽmentiserigt̃ad	: ceruicẽ mentis erigt̃ ad
nullaspenitentielam̃tationesĩclinant᷑.nullacelestiũgaudioꝝcorrigunt᷑	nullas penitentie lam̃tationes ĩclinant᷑ . nulla celestiũ gaudioꝝ corrigunt᷑
exspectatione.⁊hiiꝓculdubioĩlibroqui	exspectatione . ⁊ hii ꝓculdubio ĩ libro qui
xp̃cest:scͥptumĩueniuntuedãpnationiset̃̄ne.ꝑ	xp̃c est : scͥptum ĩueniunt ue dãpnationis et̃̄ne . ꝑ
lamẽtationesigit᷑:penĩa⁊lacͥme	lamẽtationes igit᷑ : penĩa ⁊ lacͥme
pecc̃orũ.ꝑcarmen:gaudiai᷒toꝝ.ꝑ	pecc̃orũ . ꝑ carmen : gaudia i᷒toꝝ . ꝑ
ue:suppliciareꝓboꝝꝮuenient̃expͥmunt᷑.tibi	ue : supplicia reꝓboꝝ Ꝯuenient̃ expͥmunt᷑ . tibi
gͥuirbone	gͥ uir bone
quiꝑadoptionissp̃minlucesereniorisꝮscientieiocũdaris.	qui ꝑ adoptionis sp̃m in luce serenioris Ꝯscientie iocũdaris .
quirepletusfructui᷒ticie.mordacipecc̃oꝝmemoria.	qui repletus fructu i᷒ticie . mordaci pecc̃oꝝ memoria .
ñpungeris:tibiĩꝗͣ:carmeninhoclibro	ñ pungeris : tibi ĩꝗͣ : carmen in hoc libro
loquit᷑uerbacõsolationis.ũbaspirital̃iocũditatisq̃st̃	loquit᷑ uerba cõsolationis . ũba spirital̃ iocũditatis q̃ st̃
.adepcõgr̃e.feruordeuotionisĩt̃ne.	. ad epcõ gr̃e . feruor deuotionis ĩ t̃ne .
angl̃oꝝꝮsortium.gaudiũ	angl̃oꝝ Ꝯsortium . gaudiũ
sinefinemansurũ.utꝓhuis	sine fine mansurũ . ut ꝓ huis
om̃ib;gr̃asagensdeo	om̃ib; gr̃as agens deo
:ꝑtẽporalẽbonoꝝ	: ꝑ tẽporalẽ bonoꝝ
oꝑumex̄citationẽ.transeas.qñq;felicit̃ad	oꝑum ex̄citationẽ . transeas . qñq; felicit̃ ad
fut̃egl̃ieꝑhennitatẽ.tu	fut̃e gl̃ie ꝑ hennitatẽ . tu
aũh̃opecc̃orqͥiampͥdem	aũ h̃o pecc̃or qͥ iam pͥdem
fedusinisticummorte	fedus in isti cum morte
.⁊pactumcũ	. ⁊ pactum cũ
inferno.quicumlazarosepultusiacesĩsepulcro	inferno . qui cum lazaro sepultus iaces ĩ sepulcro
tenebrosecõscientie.p̃ssuslapidepͣueꝮsuetudinis.	tenebrose cõscientie . p̃ssus lapide pͣue Ꝯsuetudinis .
ligatusinstitispecc̃oꝝ.	ligatus institis pecc̃oꝝ .
⁊uelatãhñsfaciemsudariopessimoint̃nececitatis.	⁊ uelatã hñs faciem sudario pessimo int̃ne cecitatis .
tuinqͣmqͥ	tu inqͣm qͥ
sicdormis:aduocemredẽptorissaltẽnũcexurrge	sic dormis : aduocem redẽptoris saltẽ nũc exurrge
amortius	a mortius
.⁊uteuadasuedãpnationiset̃ne:legein	. ⁊ ut euadas ue dãpnationis et̃ne : lege in
librohoclam̃tationesdoloris⁊penĩe.corpus	libro hoc lam̃tationes doloris ⁊ penĩe . corpus
tuumcrucifigecum	tuum crucifige cum
uiciis⁊Ꝯcupiscentiisei᷒.ut⁊ip̃os	uiciis ⁊ Ꝯcupiscentiis ei᷒ . ut ⁊ ip̃os
sensuscorporis.anoxiispostmodumretrahasexcessib;.ne	sensus corporis . a noxiis postmodum retrahas excessib; . ne
uidl̃c.ocl̃s	uidl̃c . ocl̃s
uideatuanitatẽ.neaurisaudiatiudiciũ	uideat uanitatẽ . ne auris audiat iudiciũ
sanguinisul̃detractionẽ.nonodoratus	sanguinis ul̃ detractionẽ . non odoratus
q̃ratsuauia.ñgustus	q̃rat suauia . ñ gustus
deliciosa:ñdeniq;manusextendat᷑	deliciosa : ñ deniq; manus extendat᷑
adillicita	ad illicita
.certesollicitudinẽredẽptoris	. certe sollicitudinẽ redẽptoris
tuicircatediligenti᷒	tui circa te diligenti᷒
intuearis:	intuearis :
iãdecet̃osalutistuenegligensacdesidiosus	iã de cet̃o salutis tue negligens ac desidiosus
eẽñpot̃is.quinĩmo	eẽ ñ pot̃is . quin ĩmo
reiectacuraꝝ	reiecta curaꝝ
scl̃ariũcuriositate.totamsollicitudinem	scl̃ariũ curiositate . totam sollicitudinem
tuamĩip̃mꝓicies.	tuam ĩ ip̃m ꝓicies .
memorsemꝑuerbiilli᷒.quobeatus	memor semꝑ uerbi illi᷒ . quo beatus
petrusĩepl̃asua	petrus ĩ epl̃a sua
salubrit̃nosãmonensait.Omnem	salubrit̃ nos ãmonens ait . Omnem
sollicitudinẽur̃amꝓicientesineum.q̃mip̃i	sollicitudinẽ ur̃am ꝓicientes ineum . q̃m ip̃i
curaẽdeuob̃	cura ẽ de uob̃
.hecaũsollicitudodiuinecaritatis⁊	. hec aũ sollicitudo diuine caritatis ⁊
compassiõisergamiserũ.⁊uitioꝝfetentiũsordib᷒	compassiõis erga miserũ . ⁊ uitioꝝ fetentiũ sordib᷒
obuolutũ:inũbisque	obuolutũ : in ũbis que
p̃misimuseuident̃expͥmit᷑.ubiscͥptumẽ.	p̃misimus euident̃ expͥmit᷑ . ubi scͥptum ẽ .
fremuitih̃csp̃u.	fremuit ih̃c sp̃u .
⁊c̃Inquib;ũbisqͣtuornob̃diligenti᷒attendendaꝓponũt᷑	⁊c̃ In quib; ũbis qͣtuor nob̃ diligenti᷒ attendenda ꝓponũt᷑
.queĩsuscitationelazari.	. que ĩ suscitatione lazari .
ñsñc̃ticausamist̃ii.dñsegisseperhibet᷑.	ñ sñ c̃ti causamist̃ii . dñs egisse perhibet᷑ .
fremuitenimsp̃u.turbauitse	fremuit enim sp̃u . turbauit se
ip̃m.lacͥmat᷒est.⁊clamauit	ip̃m . lacͥmat᷒ est . ⁊ clamauit
.Queigiturredẽptor	. Que igitur redẽptor
nr̃insuscitatione	nr̃ in suscitatione
lazaricorporal̃rexhibuit:h̃	lazari corporal̃r exhibuit : h̃
iniustificationepecc̃oris.ꝑuisitationissue	in iustificatione pecc̃oris . ꝑ uisitationis sue
gr̃amcotidiespiritalit̃oꝑariñdesisbit.fremit	gr̃am cotidie spiritalit̃ oꝑari ñ desisbit . fremit
enĩsp̃u.dumpecc̃oremꝑillicita	enĩ sp̃u . dum pecc̃orem ꝑ illicita
defluentẽ.det̃ret	defluentẽ . det̃ret
et̃nisuppliciiꝮminatione.quasiturbatũ	et̃ni supplicii Ꝯminatione . quasi turbatũ
seostendit	se ostendit
cuminpenitentẽutadlam̃tapenitentieredeat	cum in penitentẽ ut ad lam̃ta penitentie redeat
:temporalicõcutitadũsitate.necesseest	: temporali cõcutit adũsitate . necesse est
enĩuͭqͤmp̃miañĩuitant:saltemt̃roreseterne	enĩ uͭ qͤm p̃mia ñ ĩuitant : saltem t̃rores eterne
dampnationis.⁊ang᷒tietemporal̃adũsitatis.apecc̃is	dampnationis . ⁊ ang᷒tie temporal̃ adũsitatis . a pecc̃is
retrahant.lacͥmaturaũdumꝑaffectumpat̃nepietatispenitentem	retrahant . lacͥmatur aũ dum ꝑ affectum pat̃ne pietatis penitentem
suscipitadueniam.uoceuͦ	suscipit adueniam . uoce uͦ
clamosamortuũ	clamosa mortuũ
resuscitat:dumde	resuscitat : dum de
ꝓfundauitioꝝuoraginemiscd̃it̃ereptum.ꝑuirtutẽuere	ꝓfunda uitioꝝ uoragine miscd̃it̃ ereptum . ꝑ uirtutẽ uere
confessionis:reuocataduitam.	confessionis : reuocat ad uitam .
nonnemanifesteꝮtra	nonne manifeste Ꝯtra
pecc̃oresfrem̃euidet᷑	pecc̃ores frem̃e uidet᷑
dñs.uͭait.mittent᷑intenebrasext̃iores.	dñs . uͭ ait . mittent᷑ in tenebras ext̃iores .
ibieritfletus⁊stridordentiũ	ibi erit fletus ⁊ stridor dentiũ
:⁊alibi.	: ⁊ alibi .
ꝑysaiãꝓph̃amdeelectisloquit᷑dicens	ꝑ ysaiã ꝓph̃am de electis loquit᷑ dicens
.Egredient᷑.⁊uideb̃tcadaũauͥoꝝ.qͥp̃uaricati	. Egredient᷑ . ⁊ uideb̃t cadaũa uͥoꝝ . qͥ p̃uaricati
suntĩme.	sunt ĩ me .
ũmiseoꝝ	ũmis eoꝝ
ñmoriet᷑.⁊igniᷤñ	ñ moriet᷑ . ⁊ igniᷤ ñ
extinguet᷑.⁊eruntusq;	extinguet᷑ . ⁊ erunt usq;
adsacietatẽuisionisom̃i	ad sacietatẽ uisionis om̃i
carni.h̃cfremitũpreuideratinsp̃uꝓph̃a	carni . h̃c fremitũ preuiderat in sp̃u ꝓph̃a
abacucc̃dicebat.InfremituꝮculcabis	abacuc c̃ dicebat . In fremitu Ꝯculcabis
t̃ram.ĩfurore	t̃ram . ĩ furore
obstupefaciesgentes.InfremituinqͥtꝮculcab̃	obstupefacies gentes . Infremitu inqͥt Ꝯculcab̃
t̃ram.i.hõiest̃renasapiẽtes	t̃ram . i. hõies t̃rena sapiẽtes
.penam⁊̃reꝓboꝝdescͥbensꝓph̃adauid.secretoꝝdei	. penam ⁊̃ reꝓboꝝ descͥbens ꝓph̃a dauid . secretoꝝ dei
Ꝯscius.tuuͦ	Ꝯscius . tu uͦ
inquitduces	inquit duces
eosinputeũ	eos inputeũ
int̃itus.Inquib;ũbisbreuit̃	int̃itus . In quib; ũbis breuit̃
notat᷑penarũgehennaliumꝑpetuitas.	notat᷑ penarũ gehennalium ꝑpetuitas .
ac̃bitassimuletuarietas.ꝑputeum	ac̃bitas simul et uarietas . ꝑ puteum
enĩdecui᷒profunditatenon	enĩ de cui᷒ profunditate non
patetegͤssuspenaꝝꝑpetuitasexpͥmit᷑.ꝑ	patet egͤssus penaꝝ ꝑpetuitas expͥmit᷑ . ꝑ
int̃itum:ac̃bitaseaꝝdemdesignatur.ꝑhoc	int̃itum : ac̃bitas eaꝝdem designatur . ꝑ hoc
aũqd̃dc̃mẽ.deduceseos	aũ qd̃ dc̃m ẽ . deduces eos
:torm̃toꝝuarietasq̃	: torm̃toꝝ uarietas q̃
uariisdebet᷑	uariis debet᷑
pecc̃oꝝgñib;	pecc̃oꝝ gñib;
:Ꝯuenient̃	: Ꝯuenient̃
intelligit᷑.	intelligit᷑ .
uñinlibroiob	uñ in libro iob
scͥptumẽ.tͣnsibuntdeaquisniuiũadcalorẽ	scͥptum ẽ . tͣnsibunt de aquis niuiũ ad calorẽ
nimiũ.nonsolumaũfremuitih̃ussp̃u.	nimiũ . non solum aũ fremuit ih̃us sp̃u .
s;⁊turbauitseip̃mlacmat᷒	s; ⁊ turbauit se ip̃m lacmat᷒
est.⁊clamauit.	est . ⁊ clamauit .
