P A TROLOGIAETOMUSuIII .	-⌫-⌫--------|----|----⌫|
Quoru msin gulis, b onaqueperuniu ersumo rb e mpossi de bat, diuisit.	-----⌫|---⌫-----|-⌫--|--|--|----⌫----|-⌫--⌫-⌫|-----⌫--⌫---|-------|
Inhunc mod um, tes tamentofact o,diem u ltimum clausit,present eetadstanteipsi talitantoquefilio, et omniobseq uiorum generematrem fouent e, manusqueeius amplectente.	-|---|---⌫--|---⌫------|----⌫-|---|-⌫-----|-------|-------⌫|-|-------|---|---|-------|-----|-|---|-----⌫-----|-----|-----|------⌫-|-------|---|-----------|
CAPUTXLuII.	----|-----|
Cadau erautem i psiushonorehau dq u aquamuulgar iaf fectu m fui t.	-----⌫-|----|-⌫----|-----|---⌫--⌫-⌫----|------⌫|--⌫-----⌫|---⌫-|
Namcumingen tisa tellitumnumer oinregiamurb emperuectum,ibideminregali monu ment odepositumest;	--|--|-----⌫-|--⌫-------|-----⌫|-|-----|---⌫-|---------|-----|-|-----|----⌫----⌫|--------|---|
Hocmodoimp erator is materuiuendifinemfecit.	--|---|---⌫------⌫-|----|------|----|-----|
mulier sempiter namemoria dignissi ma, tumobreligiosos a ctu squibuseni tu it ,t um ob prestantissimumillum etadmirabil emfetum qui exillaortus est.	-----|--------⌫-|------|--------⌫--|--|-|---------|-⌫---⌫|-----|---⌫--⌫--⌫|-⌫-|-|--------------|----|-|---------⌫-|----|--|-|---|----|---|
Quemquidemobceter asres, maximeueroob pietateminma trem, beat umconue n itpredic are.	---|-----|-|-----⌫-|---|-----|---|-|-------|-|--⌫----|----⌫-|-----⌫-⌫-|------⌫---|
Quippe illam ,cu man teaD ei cultrix non esset, tampiamac relig iosam prest iti t,uta communi omniumSeruatorei nstitutafui sse uider etur.	-----|-----⌫|--⌫|--⌫--|-⌫-|------|--|-----|--|---|-|-----⌫----|-----⌫---⌫-|-||------|-----|--------|-⌫-------|---⌫--|-----⌫----|
C APUTXL uII I .	-⌫---|--⌫---⌫-⌫|
Cumueroci uitatemno m inissuiadsummamglori amextoller e institu isset,p luri miseam oratoriis ex ornauit ,ampl issimisquemartyri isetsplendi dissi mis edibus, partiminsu burbiis,p artim in ips aciuitateconstructis.	--|---|--⌫------|--⌫-⌫---|--|-|-----|-----⌫-|--------⌫|-------⌫-----|-⌫----⌫--|--|--------|--⌫-------⌫|----⌫---------|-------⌫-|-|-------⌫-----⌫--|------|-----|-|--⌫-------|-⌫----|-|---⌫|-------|-----------|
Atque hocmod osimu lmar tyru mhon oraui tmemoriam,simu lciuitatem suamipsi martyr umD eoconsecrauit;	----|--|---⌫|----⌫|---⌫----⌫|---⌫-----⌫|--------|----⌫|--------|---|---|------⌫-|-⌫-|-----------|
CAPUTXLIX.	----|----|
uidissesigitu r infontibusquisuntin medioforo,b oni pastoris imag ines,diuinorumoracul orumperitisnotissimas, Danielis it em effigiem unac umleoni b us e ree xpressa m,et auribracteisre fu lgen tem.	-------|-----⌫|-|-------|--|---|-|----|----|-⌫--|-------|----⌫----|--------|------⌫---|------|----------|-------|--⌫-|-------|--|-⌫-|-----⌫-⌫-|-⌫-|-⌫-------⌫-|-|---|-------|--⌫--⌫----⌫---|
Tantusporrodiui n inuminisamorimperatori sanimumoccu pauerat,utintotius p al atiieminentissimocubiculo, in maxima tabula, queinmedio lacunaris inau rati e xpans a est,s i gnumdominicepassi onisexauropr etiosisquelapidibusel a b oratuminfixer it.	-----|----|----⌫-⌫|------|---|----------⌫|-----|----⌫-------|-|-|-----|-⌫--⌫---|------------|--------|-|-----|------|--|-|----|--------|----⌫---|-⌫-----⌫|---|-⌫-⌫---|-------|-----⌫---|-|---|--⌫---------|--------|--⌫-⌫-⌫-----|-------⌫--|
Hisigi turo r nament is ciuit atemnomini s suidecorauit.	--|---⌫--|-⌫-⌫------⌫-|-----⌫---|------⌫|--|---------|
Urbem ueroprimariam Bithynie ,pulcherrimeet magnificentissi mee cclesie monumento ex ornaui t,er ectis propriosumpt uinhonor emSeruatoris sui, eoetiaminloco tr opeis uictori equamdehostibus et de aduersariisDei retuler at.	----|---|--------|--------⌫|----------|-|---------------⌫-|-⌫------|--------|--⌫------⌫-|--⌫----|------|-----⌫|-|-----⌫-|---------|---|-|----|-|---|--⌫----|-------⌫|---|-|-------|-|-|----------|--|-------⌫--|
In reliquisetiamp rouinciis, prec ipuasacnobilissimasqu asqueurbes oratoriorumma g nificentia illustrau it:ex empligratiaurbemtotiusOr ientismetropolim,queabAntiocho nomentraxit.	-|-------|----|-⌫---------|----⌫----|-|-----------|--⌫----|----|----------|--⌫-⌫---------|---------⌫--|--⌫----|-----|----|-----|--⌫-----|----------|--|-|-------|----|------|
Inqua t amquamin ue rtic eomniu meius regionis prouinciarum,singularequod damopus,seu ampl itu dinem,seudecoremspectes ,Deoconsecrauit.	-|--|-⌫-----|-|--⌫----⌫|-----⌫|---|-------|------------|--------|----⌫--|----|--|----⌫---⌫-----|--|------|-------⌫|--|-----------|
C A PUT LI.	-⌫-⌫--|--|
Ethecquidem sunt p restan tissimamonumen ta,queimperatorDeoconsecrauit.	-|--|-----|---|-⌫------⌫------|-------⌫--|--|--------|--|-----------|
Cumaut emdidicissetillum ipsum Serua torem,qui nuperinterr isue rsat usfuisset,iampridemuiris quibusdam D ei amantissimispres en tiamDiuinitatissuein Palestinaexhi buisseiux ta Que rcumque di citur Mambre,il licetiambasil icamedificar ip recepit.	--|---⌫-|---------|----|----|-----⌫-----|--|----|-|----⌫-|--⌫----⌫-|-------|--------|----|--------|-⌫-|-----------|----⌫--⌫---|----------|--|-|--------|----⌫-----|---⌫-|---⌫---|--|--⌫----|------|--⌫--|----|-----⌫---|--------⌫|-⌫-------|
Proindea dre cto resquid emprouinci a r um missa estimperatorisauctoritas,datisadsingulos lit terisquibusiubebaturut iniunctumsi bi opusad ex itumpe r ducerematu rarent.	------|-⌫|--⌫---⌫--|----⌫-|--------⌫-⌫-⌫-|----|--|----------|----------|----|-|-------|---⌫----|-----|--------|-|--------|--⌫-|---|-|--⌫---|--⌫-⌫-----|----⌫------|
C APUTLI I.	-⌫---|--⌫-|
Hecom niaimpera tor adgloriamsaluti fere Chr istiuirt utisomnistudiop eragebat,a c Deum quidem Seruatoremsuumhacrationecolere noncessabat.	--|--⌫--|------⌫--|-|------|------⌫---|---⌫---|----⌫---|---|-----|-⌫--------|-⌫|---|-----|---------|---|--|------|-----|--|--------|
Gentiliu m uero s uper stiti osumerroremom nibus modis stude batco n ui ncere ;	--------⌫|---|-⌫----⌫-----⌫---|------|--⌫----|----|-----⌫--|--⌫-⌫--⌫-----⌫|
Itaque quorumdaminurbibusfanorum uestibulanudaban tur, ualuisius s u imp e ratorisorbata.	-----|--------|-|------|------|--------|-------⌫---|-----|---⌫-⌫|---⌫-⌫------|------|
aliorumte ctumcorrumpe batur, tegul isamotis.	------|--⌫---|--------⌫-----|-----⌫-|------|
N onnu llorum uenerandaexeresimulacra,queerr or maio rum m ultisiamannismagnificeiact abat,perfor aurbis abimpera torecogn o minateomnium oculis subiectasunt.	-⌫----⌫-----|--------|-|--|---------|--|---⌫-|----⌫--|-⌫----|--|----|--------|----⌫----|--|---⌫|----|-|------⌫---|----⌫-⌫-----|-----|-----|-------|----|
Adeo utad ludibri umet contumeliam spectantium paterent expositi ,hic Pyt hiusApollo,illic Sminthius,etinips oquidemcirc otr ipodesDelphici;	---|-|-|-------⌫-|-|----------|----------|-------|--------⌫|--|---⌫---|------|----|---------|-|-|---⌫|-----|----⌫|--⌫-----|--------|
Muse autemHeliconidesinpalati o;	---|----|----------|-|------⌫-|
Deni que ciuitasillaim pera tori cognomin is, totapassimreplet a estsigniseneis,queeleg antiopereelab orata,persingulasprouinci asol im dedicata fuera nt.	----⌫--|------|---|--⌫----⌫---|--------⌫--|---|-----|------⌫|--|-----|-----|--|----⌫---|----|----⌫-----|--|-------|--------⌫-|--⌫-|-------|-----⌫--|
Quibus cum h ominesmorboerro risoppressi,longotemporisspatioc entenasuictimas etholocaustaincassum perindea c diisimmolaui ssent, serotandemsaperedidi cerunt,postquamimp e rator iisd emadrisumetoblectamen tum spectantiumu tice pit .	-----|--|-⌫-----|----|----⌫--|--------|----|-------|-----|-⌫------|-------|-|---------|-------|------|-⌫|---|--------⌫-----|---|-----|-----|----⌫------|-------|---⌫-⌫----|----⌫-|-|----|-|----------⌫--|----------|-⌫-|--⌫---⌫|
Simula craueroexa urofab refacta, alioquodamultus est modo.	------⌫--|---|-|-⌫--|---⌫-------|---|-----|----|--|----|
Nam,quoniamimp er itamhominummultitud i nem,infantiumi nstar,huiusmodier rorislaruas exaur oargentoque fa b ref actasfrustracontremis cere cognouerat ,easem ediotollendas esse censuit.	---|------|---⌫--⌫---|------|--------⌫-⌫---|--------|-⌫-----|--------|--⌫----|-----|-|---⌫|---------|--⌫-⌫---⌫----|------|---------⌫---|----------⌫|--||-⌫---|--------|---|-------|
Posthec imperatoruelutlu cidissimam facemexs peculaquad amattollens, undique rega li busoculis circumspiciebat,sicubi fortealiqueadhuc errori s rel iq uieabdit e superessent .	------|--------|----|--⌫---------|----|-|-⌫-----|----⌫-|---------|------|----⌫--⌫--|-----|---------------|-----|----|-----|----|------⌫|---⌫--⌫--|-----⌫|-----------⌫|
Acu elutiAquilapen nisincelum usquesubuect a,cu ma cutissimo u isupre ditasit, ea queinterrislongissime distant, exsublimi facil edes picit.	-|-⌫----|-----|---⌫--|-|----|----|-------⌫-|--⌫|-⌫--------|-⌫--|---⌫---|---|-|--|-|-----|---------|-------|-|------|-----⌫|---⌫-----|
sicille,duminpulcherrime urbissuepalatiouersatur,p erniciosamquamdam animarumdecip ulamin Ph en icelatere, tamq uamesp e cula prospexit.	--|----|--|-|----------|----|--|------|--------|-⌫---------|------|-------|-----⌫---|-|--⌫--⌫--|------|----⌫--||--⌫-⌫---|---------|
Lucumscilice tactemplum,q uod nonin mediaurbe,nec inforoautplatei sposi tume rat,cuius modi mu ltaui sunturinciui tatibus ornamen ti ca usaambitio se edificata.	----|-------⌫|-|-------|-⌫--|--|-|----|----|--|-|---|--|------⌫|----⌫--|-⌫---|-----⌫---|--⌫--|--⌫-----|-|----⌫------|-------⌫-|--⌫--|-------⌫-|---------|
seddeuium,procu l a triuiis etp ublic ocalle,fediss imodemo niquemuenere mappellant ,inparte uerticisLiban imontisapudAph ac aconsecratum.	--|------|-----⌫||------|-|-⌫-----⌫|-----|------⌫--|----⌫-|---|------⌫|---------⌫|-|----|-------|-----⌫|-----|---|---⌫--⌫|-----------|
E rat illicsch ola quedamneq ui tie,omnibusimpurishominib us,etqu icor pussuumomni licen tiaco rruper ant,aperta.	-⌫--|----|---⌫--|-----|---⌫--⌫---|------|------|-------⌫--|-|--⌫|---⌫--|---|---|-----⌫--|--⌫------⌫---|------|
Quippeeffem i natiquidam, et femine po tiusdicendi quamuiri , abdicat asexussuigrauitate,muliebriapatientes,demonem placaban t.	-----|-----⌫-⌫---|------|-|-----|--⌫---|------|---|----⌫|-------⌫|----|--|---------|--------|---------|------|--------⌫-|
Adhecillegi timimulierumc oncubitusetadulteria,f edaqueacnef ari a flagitia ineotemplo tamquaminlocoabomnilegeacrectoreuacuo,p erageb antur.	----|------⌫---|-------|-⌫--------|-|---------|-⌫-----|-|---⌫---⌫|-------|-|-|-----|------|-|---|-|---|---|-|------|-----|-⌫------⌫-----|
Nam cummaxim usacuulgat issimus superstiti oniserrorcirca illumCiliciedem onemu anissimo shomines occ upasset,a cpr ope i nfinitieumtamquam seruatorem acm edicum admirarentur;	--|--|-----⌫-|-|------⌫------|----------⌫---|----|----|----|------|---⌫---|-⌫--------⌫|------|---⌫-------|-⌫|--⌫--|-⌫------|--|------|---------|-|-⌫-----|------------|
qui ppe qui nuncintempl odor mientibus appareret,nuncmorbosegrota ntiumcurar etimperatorp romoreatqu ei nstituto suo: quip pe quizelatorem acue reSer uatorem Deumsi bicolendu mpropos uerat , ho c eti am templumsoloequariprecepit.	---⌫--|--|---|-|-----⌫|---⌫--------|---------|---|-----|------⌫----|-----⌫-|--------|-⌫-|---|----⌫|-⌫-------|---|----⌫-|--|--------|-|--⌫-|---⌫------|---|--⌫-|-------⌫|------⌫-----⌫|--⌫|---⌫-|------|---|-----|--------|
Necmo ra,adunumimpera t orisnutumhumi i acuit manumilitarisubuersum templum,quodnobile sphilosoph i tantopere suspexerant: etunacumtemploilleipse qui intusl a titabat,non demonautDeus,seddeceptorqu idamanimarum, qui long i ssimitemporisspatio hominesin fraud e m induxera t.	--|--⌫--|-|---|------⌫-⌫---|----|---|-⌫----|---|-------|--------|-------|---|------⌫|---------⌫|--------|-----------|-|--|--|-----|---|---|--|----|-⌫-⌫-------|--|----|--|----|--|-------|--⌫---|--------|--|----⌫-⌫----|-------|-----|------|-|-----⌫-⌫|--------⌫-|
S i cigiturillequimalisetcalamitatibu s aliosli beraturums eessespo ndebat , nullumi psesibi remediu mreperit quo sesetueret ur.	-⌫-⌫|-----|---|--|----|-|------------⌫|----|--⌫--------|-⌫|---|---⌫------⌫|-----|-⌫--|---|-------⌫|------|--|---|------⌫--|
CA PU TLuII.	--⌫--⌫|----|
Itaquequotquota nte asupe rstitioso demo num cultuiadd ict ifuerant,cumerrorems uumconfut atumocul iss uisuiderent,etomniumubiquetem p l o ru m acsimulacrorumuastita tem intuer entur ,aliia d salutaremChristi doct rinamseconfere bant;	-----|-------|-⌫---⌫|----⌫--------|----⌫--|-----|---⌫---⌫|-------|--|------|-⌫--|------⌫---|----⌫-|-⌫--|--------|-|-----|-----|---⌫-⌫-⌫-⌫--⌫|-|-----------|-------⌫--|------⌫-----⌫|---|-⌫|--------|------|----⌫----|-|-------⌫----|
alii,licetid emface r enolle nt,maiorum tamenceremoniasut poteuanasatq ueina ne s condemnabant.	----|----|--⌫-|----⌫-⌫|-----⌫--|------|----|---------|--⌫---|----|---⌫-|---⌫--⌫|------------|
et quosanteaprodi ishabuissentderidebant .	-|---|----|--|--⌫-|---------|----------⌫|
Quidni ueroitase ntire nt,c um su bexternasimulacrorumspeci etantam intus latente m spurcitiemcernerent.	-----|---|--|--⌫-----⌫--|-⌫-|--⌫|------|-----------|-----⌫|-----|----|-------⌫|---------|---------|
CAPU T LuIII .	----⌫|-----⌫|
Atq ue hecinter pre cla ra impe ratoris facino rameritorec enseantur,sicut etillaquesi ngillatimin uariisprouinci isconstituit.	---⌫-|--|----|---⌫---⌫-|----⌫------|------⌫-|-----|---⌫---------|----|-|---|--|--⌫--------|-|-----|--------⌫-|----------|
Cuiusmodi illud est quod inurbePheni cesHel io poliabeoges tum uidimus.	--------|----|--|---|-|---|-----⌫--|---⌫--⌫---|-|-|---⌫--|-------|
Q u ainurbeGent ilesquidemquiobsce namlib idin emdee uenerisuoca buloa fficiunt,uxor ibusacfiliabussuisst upriimpu nead mittendi licentiamconcesserant.	-⌫-⌫|-|---|----⌫---|-----|--|-----⌫--|---⌫----⌫-|--|------|----⌫---|-⌫--------|----⌫---|-|-------|---|--⌫---|----⌫-|--⌫-------|--------|------------|
Nunc ueronoua lexa b im peratoredi re cta es tplenamodestie,qua cauetur ne quidquameorumquepri usinm or epositaerant,inposterumpresumatur.	---|---|---|--|-⌫|--⌫-------|--⌫--⌫--|--⌫|----|--------|--|------|-|-------|----|--|---⌫-|-|-⌫--⌫|-----|-----|-|-------|----------|
At quehis rursusscriptasmisi tin stitutiones ,utp ot ehancprec ipueobcausamaDeodestin atus,utuni uersosmortalest empe rantieprecep tisimbueret;	--⌫--|--|-----|-------|----⌫|--⌫-----------⌫|---⌫--⌫|---|----⌫---|-|-----||--|------⌫----|-|---⌫-----|-------|-⌫----⌫-----|------⌫--|--------|
CAP UTLIX.	---⌫-|---|
uerumenimuerocumob hecomnesinsummahilaritateu itamagerent, etEcclesi a Deiapudcunctas ubiquegentesomn i bus modis extolleretur, rursusdemon isliuor qui b o nissemperinsidiasstruit,aduer susta ntamrerum nostrarumfelici tat emcepitinsurgere, ratusimper atoremtumultibusnos trisetinsole n tiaexas peratum,alie n atotan demerganos animofortassis futurum.	----|-------|--|-|--|----|-|----|---------|-⌫---|-------|-|-------⌫|--|---|------|-----|-----|---⌫-⌫--|----|------------|-----|-----⌫-|----|--|-⌫-⌫--|-----|-------|------|-----⌫--|--⌫---|----|--------|------⌫---⌫-|----|---------|----|-----⌫-----|---------|---⌫---|-|------⌫-⌫--|----⌫-------|----⌫-⌫--|---⌫--|---|--|----|--------|-------|
Maxi moigiturincendioconflato,AntiochenorumEcclesiamtra gicis qui busdamcalamit atibusimple uit,adeo ut par u mab f ueritquin totafunditus ci uit assub uertere tur.	----⌫-|-----|-------|--------|------------|--------|---⌫----|---⌫-----|-------⌫-----|-----⌫---|---|-|---⌫-⌫|--⌫-⌫----|---|---|-------|--⌫---⌫-|---⌫-------⌫---|
quip pecumpopulusquidem E cclesieduasinpartesd iuisusess et, reliquaautemciuita ss imu lcummagis t ratibusac militibus , hostili mod ointersedissider et.	----⌫-|--|------|-----|-⌫------|---|-|-----|-⌫-----|---⌫--|------|----|------⌫|-⌫---⌫|--|-----⌫-⌫------|-|---------⌫|------|---⌫|----|-|--------⌫--|
uent umqueesset adglad io s,ni sidiuin aprouidentiaetimper atoris metus p lebis impetumrepressi ssent.	----⌫----|----|-|----⌫--⌫-|--⌫-|-----⌫|----------|-|-----⌫-----|----|-⌫----|------|--------⌫-----|
Atq uehicrursus principi scl eme ntia,instar S eruatorisetan imorumm edici,egri sho minibusm edicinamora tionisadhibuit.	---⌫-|--|-----|--------⌫|--⌫---⌫----|-----|-⌫--------|-|--⌫-----|-⌫-----|----⌫|--⌫------|-⌫-------|---⌫-----|--------|
Q uippe unumexiisquoscircase spectatoshab ebat, c omitishonore decoratum,hominemfidelissimum,eo mis it ,ple bemquasilegation e blanda compel lans.	-⌫----|---|-|--|---|----|-|--------|---⌫----|-⌫-----|-----|---------|------|------------|-|---⌫--⌫|---⌫--|----|--------⌫|-----|------⌫----|
A l iisquesuper aliasscriptislitt e ri sh ort atus esteosutpacistuderent,d ocensqua r a tionediu iner eligionicongruentiagererent.	-⌫-⌫-----|----|----|-------|----⌫-⌫--⌫|-⌫---⌫---|--|--|-|---|---------|-⌫----|--|-⌫-⌫----|---⌫--|-⌫-------|----------|--------|
CA PU TLX.	--⌫--⌫|--|
Tre sepistoleConstantin i:primaadAnti ochenos ne EusebiumCe sareaabstraherent.	---⌫|-------|----------⌫-|----|-|----⌫------|-|-------|--⌫----|------------|
sec undaadEusebi um.	---⌫---|-|------⌫--|
CAPUT LXIII.	----|-----|
H ec imperatorpresu libus Eccle siaru mprecipiens,hortabatur eosutad laudemdiuinereligionispro paganda m cuncta ageren t.	-⌫-|--------|-----⌫----|-----⌫-----⌫|----------|---------|--|-|-|-----|-----|---------|---⌫-------⌫|-----|------⌫-|
Pos t quamuero,sublat isem edio d isse nsion ibus,Eccl e si am Dei a dc oncordi ametunanim em doctr ineconcentumr euocauit ,indetransgressus,al iud impio ru m genus,utpote pe stilenshumanigeneri suenen um,abolendum esse censuit.	---⌫-⌫---|----|------⌫-||-⌫---|-⌫----⌫-----⌫----|----⌫-⌫--⌫-|--|-⌫|-⌫-------⌫-|-|------⌫-|-----⌫--|--------|-⌫--------⌫|---|------------|--⌫--|-----⌫--⌫|-----|-----|--⌫------|-----|------⌫|-----⌫--|--------|---|-------|
Erant h i pern iciosiqu idamhominesquisubfalsam odest i eetgrauitat isspeci e urbes uastabant.	----|-⌫|----⌫-----|--⌫---|------|--|--|----|-⌫-----⌫-⌫|-|--------⌫-|-----⌫|----|---------|
Quos pseudopropheta set rapa ceslupos alicubi Seruator appellathisuerbis: Ca uetea fal si s pr ophetisq ui uenient ad uo s inue stimentisouium,intusautems untlu pi rap aces.	---|--------------⌫|-|----⌫--|----|------|-------|-------|--|------|--⌫---||---⌫--⌫|--⌫------|-⌫-|------|-|--⌫|-|--⌫--------|-----|----|----|-⌫--|--⌫-|---⌫----|
CA PUTLXIu.	--⌫--|----|
CAPUT LXuI.	----|----|
Ho cigiturm odohereticorumcubiliaimp er ialiprecept o di ssipatasunt,etfere i pse,i destimpietatisilloruma uct oresinfugamacti.	--⌫|-----|-⌫--|----------|------|---⌫--⌫---|-------⌫|--⌫------|----|-|---|-⌫---|-⌫|--|---------|------|-⌫---⌫---|-|----|----|
Eorumuero qui abistisdecepti fuerant,alii quidem imperatoris minis p e rterriti, spurioquodamet adulter i nosensu inEccl e siami rrepserun t,protemporecallidedissi mul antes.	----|---|--|-|----|------|-------|---|-----|----------|----|-⌫-⌫--------|-----|-----|-|-------⌫-⌫-|----|-|----⌫-⌫---|-⌫---------⌫-|--|------|------|-----⌫---⌫-----|
Namquonia mlibroseorumperquirilexiubebat ,quicumqueue ti tisartibusoperamdabant,deprehendebant ur.	--|------⌫|-----|----|-------|--|-------⌫|--------|--⌫--⌫--|------|-----|------|--------------⌫--|
Quamob causamsimulat ioneutebantur , cunctaagent esutsalutemsi bic ompararent.	---|-|-----|-------⌫---|---------⌫|-----|-----⌫-|-|------|--⌫-|-⌫----------|
Aliiu erosincereat queexa nimoadspemmeliorum tran sfugerunt.	---|-⌫--|------|--⌫--|-|-⌫---|-|---|-------|----⌫---------|
PorroEcclesiaruman tisti tesin utrosqu esollicita inquisi tione facta,eos quidem quiouium pellib us obte ctisimu la n ter accederetentarent, proc ul a bigebant .	----|----------|--⌫-----⌫--|-|-------⌫|--------|-------⌫----|-----|--|-----|--|----|------⌫-|----⌫--|----⌫--⌫-⌫--|-------|---------|----⌫-|-⌫--------⌫|
E osuer oqui sincereidag e ren t, aliquanto t e mpore exploratos,postid one amprobat ione m innumeru meorumqui adsac ros conuent usa dm itteb anturretulerun t.	-⌫-|---⌫|--|------|-|--⌫-⌫---⌫-|--------|-⌫-⌫----|----------|---|--⌫---⌫-|------⌫----⌫|-|------⌫|----|--|-|---⌫--|-------⌫-|-⌫--⌫-----⌫----|---------⌫-|
ARGUMENTUM .	----------⌫|
Qualiterdonis acpromotion ibusplu rimoscohonestauit.	-------|----|-|---------⌫---|---⌫----|------------|
Remissio quar tepartis censuum.	-------|----⌫-|-----|-------|
Perequatioetreleuatioce ns uum.	---------|-|--------|--⌫--⌫---|
Quomodoi n pecuniariiscausis,iisquicausa ce cide r antipsede suo largie batur.	------|-⌫|----------|------|--|--|----|--⌫----⌫-⌫--|---|-|--|------⌫-----|
Scytharum pe r signumcrucis deuict o rumsub actio.	--------|--⌫|-----|-----|------⌫-⌫--|---⌫-----|
Sar matarum sub acti o,cu mseruiaduersusdominosrebella ssent.	---⌫------|---⌫----⌫-|--⌫|----|-------|------|-------⌫-----|
uario rum bar baro ru mlegatio ne s etmunera eisabimperatore d onata.	-----⌫--|---⌫----⌫--⌫|-------⌫--⌫|-|-----|--|-|---------|-⌫-----|
QuodPe rsarumr egiqui legatosadipsum miserat,scripsitin gratia m Chr i st i anorum il li cagentium.	---|--⌫-----|-⌫--|--|------|-|----|-------|-------|-|------⌫|---⌫-⌫--⌫-⌫-----|--⌫--⌫|--------|
Epist olaConstantiniadSaporemP er sarumregem,summ a cum pietateDeumet Christumconfite ntis.	-----⌫--|----------|-|------|-⌫--⌫----|-----|----⌫|--|------|---|-|-------|-------⌫----|
Contrasimu lacra,et deglorificati oneDei.	-----|----⌫-----|-|-|-----------⌫--|---|
Contra tyr a nnosetpersecutor es,etdecaptiuitat eu aleriani.	-----|---⌫-⌫---|-|----------⌫--|-|-|----------⌫|-⌫--------|
Quodpersecutorumruinamuiderit,quodque i amobChris tian orum pacemletatur.	---|-----------|-----|-------|------|-⌫-|-|-----⌫----⌫---|----|-------|
Exhortatiout Christ ianos inPer sideagentescomplectatu r.	---------|-|------⌫----|-|---⌫---|------|-----------⌫-|
Quo m odoassiduisConstantinipr ecibuspaxda taest Christian is.	---⌫-⌫--|-------|----------|--⌫-----|--|--⌫-|--|---------⌫--|
Quodin nummi setimaginibus , precantishabitueffi ngiseiussit.	---|-|-----⌫|-|----------⌫|--------|-----|----⌫--|-|------|
Quod ima gin essuasin templis idolorum poni legelataproh ibuit.	---|---⌫---⌫-|---|-|------|-------|---|---|---|----⌫-----|
Precat ionesinpalat io,et recitat iosacrarum Scri ptura rum.	------⌫----|-|-----⌫--|-|-------⌫-|-------|----⌫-----⌫---|
---Xu III.	-----⌫---|
UtdiemDominicu metsextamferiamhonorar i prec eperit.	-|---|--------⌫|-|-----|-----|-------⌫|----⌫------|
Quomodo eti amg entiles mil itesdiebusdominicisorared ocuerit.	------|---⌫-|-⌫------|---⌫---|-----|--------|----|-⌫-------|
FormaprecationisaConstan tinomilit ibus tra dita.	----|----------||-------⌫---|-----⌫---|---⌫----|
I n armis mili tum si gnu md ominic ecrucisexprimi iubet.	-⌫|----|----⌫--|--⌫---⌫|-⌫------⌫|-----|------|-----|
Studiumprecandi ,etcultusfesti paschalis;	------|--------⌫|-|-----|----|---------|
-- -XXIII.	--⌫------|
Quomodoidolorum cu ltumproh ibuit, martyrumautem festahonorau it.	------|-------|--⌫---|----⌫-----|-------|----|----|-------⌫--|
Quodrerum externarumqu asiepi s copum seesse dix it.	---|----|---------|--⌫--|---⌫-⌫----|-|---|---⌫--|
De prohibitione sacrif i ci orum etinitiatio nu m, etd eabolitisgladiatoribusetimpu rissacerdo tibus Nili.	-|-----------|------⌫-⌫--⌫---|-|---------⌫--⌫-|-|-⌫|-------|------------|-|----⌫--|-------⌫----|----|
Correctio legisaduersusorb os, etlegisdetestamentis.	--------|----|-------|---⌫--|-|----|-|-----------|
Quodlegemtul itneIudei Ch ristianum mancipiumhaberent,utq uecon ciliorum decreta rataesse nt,etceter a.	---|----|---⌫-|-|----|--⌫--------|--------|--------|---⌫-|---⌫-------|------|---|----⌫--|-|-----⌫-|
---XXuI II.	-------⌫--|
Donainecclesiascollata,etpec unieuirginibusacpauperibuse rog ate.	---|-|--------|-------|-|---⌫---|---------|-|---------|-⌫---⌫---|
Lucubrati onesetdeclam ationesC onstan ti ni.	---------⌫---|-|------⌫------|-⌫------⌫--⌫--|
Quodcuidamau aro sepulc rimod umdeli neauit, ut eipudore mincuteret.	---|-----|--⌫--|------⌫-|---⌫-|----⌫------|-|-|------⌫|---------|
-- - XXXI.	--⌫-⌫----|
Q uodob nimiamclemen tiam irr i s usest.	-⌫--|-|-----|------⌫---|---⌫-⌫-⌫-|---|
-- -XXXII.	--⌫------|
D eConstan tinioratione qua madsanctorum cetum scr ip s i t .	-⌫|-------⌫---|-------|---⌫|-|--------|----|---⌫--⌫-⌫-⌫-⌫|
---XXX III.	------⌫---|
Quom odo Euseb iide Seruatoris sepulcropanegyr icas o ratio nessta nsau dierit.	----⌫--|-----⌫-|-|---------|-------|-------⌫---|-⌫-----⌫--|---⌫-|--⌫------|
---XXX Iu.	------⌫--|
Quod dePascha et de sacr iscodic ibusad Euseb iumscrips it.	---|-|-----|-|-|----⌫-|-----⌫---|-|-----⌫--|------⌫--|
E pistolaCo nstant iniad E usebium,in quaorati onemd ep ascha lau dat.	-⌫------|--⌫------⌫--|-|-⌫-------|-|--|-----⌫---|-⌫|-⌫----|---⌫---|
---XXXu I.	-------⌫-|
Constanti niadE usebiumepistola deconficiendis sac risCodi cibu s.	---------⌫-|-|-⌫------|-------|-|-----------|---⌫--|----⌫----⌫-|
---XXXuII.	---------|
Quomo doconfe cti fuerintCodices.	-----⌫-|-----⌫--|------|-------|
---XXXuIII.	----------|
Q uomodoEmporiumGaze o rum,ob Christi anismu mu rb s factaetC on stantia cognomi nataest.	-⌫-----|-------|----⌫-⌫---|-|-------⌫------⌫|-⌫--⌫|----|-|-⌫--⌫------|-------⌫---|---|
CAPUT PRIMUM.	----|------|
