PATROLOGIAE TO MUSCXXuIII.	----------|--⌫--|-------|
59Zosi mus,nationeG recus ,expatreAbrahamio, sedi ta nnumunum,men ses octo,die suig i ntiquinque [a1Kb].	-|----⌫---|------|-⌫-----⌫|-|----|---------|----⌫|-⌫---|----|---⌫--|----|---⌫|---⌫-⌫--|------|-|---||
Hicmu ltas constituitEcc lesia s[b1Kb]: etfecitconstitutum,utdiaconileua s tectashaberent de palli i s linos timis ,etpe r paroch ia s concessa[c 1Kb]licentiacereosb enedici[d1 Kb].	--|--⌫---|---------|---⌫-----⌫|-|---||-|----|-----------|-|------|----⌫|-----|-------|-|-----⌫-⌫|-----⌫-----⌫|-|--⌫|------⌫--⌫|-------|-|---|-------|-----|-⌫------|-|-⌫--||
Et iussit[e1Kb]utnul lusc l ericu spoculuminpublicopropinaret,nisitantumin cellisf idelium, m aximecler ico ru m.	-|-----|-|---|-|---⌫--|-⌫-⌫-----⌫|------|-|------|----------|---|-----|-|-----|-⌫-------|-⌫----|----⌫---⌫--⌫-|
SANCT USBONI FACIUS.	-----⌫-|----⌫------|
[4 Kb] [Sch elstratius ,Emmanuel:1Kb][Altase rra,Antonius : 1Kb] [Biniu s,Seu eri nus;	--⌫--|----⌫----------⌫|--------|---|-------⌫---|--------⌫|---|------⌫-|---⌫---⌫---|
6 0 Bonifacius,nationeRomanus ,ex patreIocundopresbytero,seditannos tre s,mense s q uatuor,d iestredecim[a1Kb] .	-⌫|----------|------|-------⌫|-|----|------|----------|----|----|---⌫-|-----⌫|-⌫------|-⌫--|-------|-|---||
Hic subcontentionec umEulalioordinatu runadie,etfuitdissensioinclero mensibus septem, etperdiesquindecim[b1Kb].	--|--|----------|-⌫-|------|--------⌫|--|---|-|---|--------|-|----|-------|------|-|--|---|--------|-|---||
Eulaliusueroordinat urin basil ic aConstant iniana, Bonif aciusautem inbasili ca Iu lie.	-------|---|-------⌫-|-|-----⌫--⌫|--------⌫------|-----⌫----|----|-|------⌫-|--⌫---|
Eo demtemporeaudien shocPlaci diaAugustacu mfilio suoua lenti nianoAugus to,dumseder entRauenne,retulit Honorio Augusto Me dio lanisedenti, eode mtemporeamboAugustim is saauctoritate ho cp receperu nt, ut ambo e xirentciuit atem.	--⌫--|------|------⌫|--|-----⌫--|------|--⌫|----|--|--⌫-----⌫----|-----⌫--|--|-----⌫--|-------|------|------|------|--⌫---⌫---|-------|----⌫|------|---|------|-⌫--⌫-|----------|--⌫|-⌫--------⌫--|-|---|-⌫-----|-----⌫----|
Qu i dumc ompulsiexissent,habitau itBoni faciusincemeteri os ancteFelicitati smartyrisui aSalar ia.	--⌫|--|-⌫------|--------|-------⌫-|----⌫-----|-|--------⌫|-⌫----|----------⌫|-------|--⌫|-----⌫--|
Eulalius ueroinciuitate A ntiiads a nctumH ermen.	-------|---|-|-------|-⌫---|-|-⌫-⌫----|-⌫-----|
uenienteautemproximod ie Pasche,presumpsitEulalius,eoquodordinatusfu isset inbasilicaConstant iniana,etintroiuitUrbem,etbaptizauit,e t celebrauitPasch a inb asilica Cons tantin iana.	-------|----|------|-⌫-|------|---------|--------|-|---|--------|--⌫----|-|-------|--------⌫------|-|--------|-----|-|----------|-⌫|---------|-----⌫|-|-⌫------|----⌫------⌫----|
61Hicfe citoratoriu min cemeteriosancte Fel i ci tatis ,iuxtacorpuse ius,etornauitsep ulcrumsancte marty risFelicita tis,etsancti Liuanii [c 1Kb], ubietposuithec:Paten amargentea m,pens antemlib rasuiginti;	-|--|--⌫--|--------⌫|-|--------|-----|---⌫-⌫--⌫-----⌫|----|-----|-⌫---|-|------|---⌫-----|-----|-----⌫--|--------⌫---|-|-----|------|-|---||--|-|-----|---|-----⌫-|--------⌫-|----⌫----|---⌫--|-------|
scyphumarg ent eumpen sant em librasdecem ;	------|---⌫---⌫--|---⌫----⌫-|-----|-----⌫|
amamar genteam,pensante m lib rastr edecim.	---|--⌫-------|--------⌫|---⌫--|--⌫------|
c a licesminor es argenteosduos ,pen santesli bra s qu a tuor;	-⌫-⌫----|-----⌫-|--------|----⌫|---⌫-----|--⌫---⌫|--⌫-⌫----|
[4 Kb][Schelstratiu s,Emmanu el:1Kb][A ltaserra,Anto nius:1Kb][Bencin us: 9Kb][ Bin ius ,Seuerinus;	--⌫--|-------------⌫-|------⌫--|---|--⌫--------|----⌫----|---|-------⌫--|---|-⌫---⌫---⌫|---------|
62Celestinus ,nationeCampanus[a1 Kb],expatre,Prisco,seditannos*nouem,mensem u nu m,diesno uem[b1Kb] .	-|----------⌫|------|-------|-|-⌫--||-|-----|------|----|----||-----|-----|-⌫--⌫-|---|--⌫--|-|---||
Hic fecitmult acon stit uta,etconstituit, ut centum quin quag intapsalmiDauidante sacrificiu mpsaller ent ur antiphonati[c1Kb] ,qu odantenonfiebat,ni sitantum [ d1Kb]recit abant urEpi stolePauliapostol i,et sanct umEu angelium,et sicmissefiebant.	--|----|----⌫|---⌫----⌫---|-|----------|-|-----|----⌫----⌫---|-----|----|---|----------⌫|-------⌫---⌫-|----------|-|---||--⌫-|---|--|------|--⌫-|-----|-⌫|---|-----⌫-----⌫-|---⌫----|----|-------⌫-|-|-----⌫-|--⌫--------|-|--|----|-------|
Hicfecitc onstitut um deom ni Ecclesia,max i me etde regio ne[ e 1Kb]qu ehodie[f 1K b]archiuioEcclesietenen t u r recondite;	--|----|-⌫--------⌫-|-|--⌫-|--------|---⌫-⌫-|-|-|-----⌫-|-⌫|---|--⌫|----|-|--⌫-|-------|-------|-----⌫-⌫-⌫|---------|
Sicde dicauitbasilic am I u l ie[g 1K b],in quaobtulitpost ignemreticum [h1 Kb]patenamargenteampensant emlib rasquindec im;	--|--⌫------|-------⌫-|-⌫-⌫-⌫-|-|--⌫-||-|--|------|---|----|------|-|-⌫--|------|--------|-------⌫-|---⌫--|-------⌫--|
scyphosarge nteos duospensantess ingu li librasocto.	------|----⌫----|---|--------|-⌫----⌫-|-----|----|
amasar genteas duas, p ensante s singulel ibrasd ecem.	---|--⌫------|----|-⌫-------⌫|------|-⌫----|-⌫----|
XLu ISANCTUSSIX TUS II I .	---⌫|------|---⌫--|--⌫-⌫|
[10Kb][ Binius,Seueri nus;	-----|-⌫------|------⌫---|
63 Sixtustertius,na tio ne Rom anus,expatreSixto,sed it annos octo,dies 19[a1Kb].	-|-----|-------|--⌫---⌫-|---⌫----|-|----|-----|---⌫-|----|----|---|-|-|---||
Hic post annumpri mum,e tmensesocto, aquodam[ b1Kb] Bassoincriminatusaccusa tusq uees t .	--|---|----|---⌫---|-⌫|-----|----||-----|-⌫|---|----|-----------|------⌫----⌫-|--⌫-⌫|
Eodem temporeau dienshocualentinianus Augustus, ius sit conciliumsanctesynodicongregar i,et factocon ue ntucummagnaexaminatione iud iciosyno dico[c 1Kb]pu r g atusa quinquag inta sexepiscopis,etcondemnat usBassusa synod o, itatamenutadultimumdiem[ d 1Kb]uiaticu meinonnegar etur propterhu manita tempietatisEcclesie.	----|------|--⌫----|--|------------|--------|---⌫--|--------|-----|-----|---------⌫-|-|----|---⌫--⌫--|--|----|-----------|---⌫---|----⌫---|-|---|--⌫-⌫-⌫---||--------⌫---|--|---------|-|---------⌫-|-----||-----⌫-|--|----|-|-|------|---|-⌫|---|-------⌫|-|--|-----⌫---|------|--⌫------⌫--|-------|--------|
64Hic fecit[f 1Kb]basilicam sanc teMarie,queabantiquisLiberii cognomina b aturiuxtamacellumL ib ye[ g 1 Kb ],ubietobtuli t he c:altare argenteumpurissimumpens anslibrastrecentas;	-|--|----|-|---|--------|----⌫-|-----|--|-|-------|------|---------⌫-⌫---|----|-------|-⌫--⌫-|-⌫|-⌫--⌫||--|-|------⌫|--⌫-|-----|--------|---------|----⌫--|-----|---------|
patenasa rg enteastre s,pensante s librassexag inta;	------|-⌫--⌫-----|---⌫-|--------⌫|-----|-----⌫----|
a masargenteas quatuor,pensanteslibras sexaginta;	-⌫--|--------|-------|--------|-----|---------|
scyphum aureumpurissimum,pensan temlibras quinq uaginta;	------|-----|----------|------⌫--|-----|-----⌫-------|
scyph osarg enteosquinque,pen santeslibrasqui nquaginta;	-----⌫-|---⌫-----|-------|---⌫-----|-----|---⌫---------|
calicesmini sterialesargenteosd e cem, pensante s sin gu li librastres;	------|----⌫--------|--------|-⌫-⌫---|--------⌫|---⌫--⌫-|-----|----|
aquemanilesarg enteos[h1Kb] ,pensantessingulilibras octo;	----------|---⌫-----|-|---||--------|------|-----|----|
coronam p haramantealtareargen team, p e n santeml ibras triginta;	------|-⌫----|---|-----|-----⌫----|-⌫-⌫-⌫-----|-⌫----|--------|
co ronasargentea sph aralestrigintaquatuor, pensa nteslibras decem;	--⌫----|--------⌫|--⌫-----|-------|-------|-----⌫---|-----|-----|
ca ndelab raargenteaqu atuor,pensantialibrasuiginti.	--⌫------⌫-|-------|--⌫-----|--------|-----|-------|
6 5Huiussupplicationeobtulit ualentinianusAugustusimaginemauream[p1Kb] cumduodecim portis,etapostolosduodecim,etSaluator emingemmispretiosis sim is o rnatamsuper confess ione mbe atiPetriapostoli.	-⌫|----|------------|------|------------|-------|-------|-----|-|---|--|-------|------|-|--------|--------|-|--------⌫-|-|-----|---------⌫---⌫-|-⌫-----|----|-------⌫----⌫|--⌫--|----|--------|
Fec itautem ualentinianus e xrog atuSixtiepiscopi fa st igium argenteum inbasilicaConstanti n iana,qu o d a barbarissublatumfuerat,q uod pensabat librasq uinge ntasetundecim[a1 Kb].	---⌫-|----|------------|-⌫|---⌫--|----|-------|--⌫--⌫----|--------|-|-------|---------⌫-⌫----|--⌫-⌫||-------|-------|------|-⌫--|-------|-----|-⌫-----⌫---|-|------|-|-⌫--||
Huiustem poribus fe citual ent i nianusAugustusconfessi o nem beati Pauli aposto liexargento purissi mo,que habetlibrasduce ntas;	----|---⌫------|--⌫--|---⌫---⌫-⌫-----|-------|--------⌫-⌫--|----|----|------⌫-|-|------|-------⌫--|--|----|-----|----⌫----|
Itemf ecitSixt usep isco pusconfessionembeatiLaurentiimartyris cum columnisporphyre ticis,e tornauitt ra ns ennam[b1Kb],e t altare ,etconfessionem sanctimartyrisLaurentiideargento puri ssimo.	---|-⌫---|----⌫-|--⌫----⌫--|-----------|----|--------|-------|--|-------|--------⌫-----|-⌫|------|-⌫--⌫--⌫----|-|---||-⌫|------⌫|-|-----------|-----|-------|--------|-|------|----⌫-----|
Fecit altarepensanslibrasquinquagi nta;	----|-----|------|-----|---------⌫---|
c ancellosargeneossupra pl ato niasporphyre ticas, pensa nt eslibrastr ecenta s;	-⌫-------|-------|----|--⌫---⌫---|--------⌫-----|-----⌫--⌫-|-----|--⌫------⌫-|
ab sid am s uperc a ncelloscum statuabeatiLaurent i ima rtyrisargentea ,pensanteslibrasducentas;	--⌫---⌫-|-⌫---|-⌫-⌫------|--|-----|----|-------⌫-⌫|--⌫-----|--------⌫|--------|-----|--------|
F ec itautemb a si licambeatoLaure ntio,q uodetualentinianusAugu st usconcessit,ubi etobtul itdonahec: patena s argentea stres,pensantes sin g ul eli brasuigin t i;	-⌫--⌫-|----|-⌫-⌫--⌫----|----|-----⌫----|-⌫--|-|------------|----⌫--⌫-|---------|--|-|-----⌫-|---|---|------⌫|--------⌫|----|--------|---⌫-⌫--⌫|--⌫---|-----⌫-⌫-|
amasar genteastres,pe nsant esli brasquindecim;	---|--⌫------|----|--⌫-----⌫-|--⌫---|---------|
scy phosar genteosquatuor,pensanteslibras octo;	---⌫---|--⌫------|-------|--------|-----|----|
Hicfe citin basil ica Constantin ianaornamentumsuperfontem,quodanteibinonerat,idestepistyliamarmorea,etcolu mna s por phyret icas e rexi t,quas C onstantinusAugustuscongregatas dimisit,eti ussituteri g erentur, quasetuersibusexorna uit.	--|--⌫--|-|-----⌫--|----------⌫---|---------|----|------|---|---|--|--|----|-|--|--------|--------|-|----⌫---⌫|---⌫------⌫---|-⌫----⌫-|---|-⌫----------|-------|----------|-------|-|-⌫----|-|---⌫-⌫-------|---|-|-------|------⌫---|
Hic fecit platoniam i nce meteri oCalixti,uiaAppia,ubinomina e piscoporumet martyr umscrips itc ommemorans[d1Kb ];	--|----|--------|-⌫|--⌫------⌫|-------|--|-----|--|-----|-⌫---------|-|------⌫-|------⌫-|-⌫---------|-|---⌫||
Hicfecitordinatione sinurbeRomapermensem D ecembri s.	--|----|-----------⌫|-|---|---|--|-----|-⌫-------⌫-|
SANCTUSL EO.	------|-⌫--|
[5Kb][B encin us: 30 Kb][Binius ,Seuerinus;	----|--⌫-----⌫--|--⌫--|-------⌫|---------|
6 6 Leo,natio neTuscus, expatreQuintiano, se dita nno s21,mensem1, dies26[a1Kb] .	-⌫|---|-----⌫-|------|-|----|---------|--⌫--|-⌫---⌫|--|-----|-|---|-|-|---||
Huiustempori b us fe ci tDemetr i aancillaDei basilicamsan c toStephan ouia Latina milliari o4[b1Kb],i np re diosuo.	----|-------⌫-⌫-|--⌫--⌫|------⌫-⌫|------|--|--------|---⌫-⌫-|-------⌫|--|-----|--------⌫||-|---||-⌫|-⌫--⌫--|---|
Hi cinuenitduasherese s,Eutych ianam etNestorian am,perq uosdamepisc opos.	--⌫|------|---|------⌫-|------⌫----|-|---------⌫--|--|-⌫-----|-----⌫----|
H icordinauitpreceptas uaauctoritate, etmisitad Marcian um A ugustumfidelemprincipemcat h olic u m.	-⌫-|--------|-------|-⌫-|-----------|-|----|-|-------⌫-|-⌫------|------|--------|---⌫-⌫----⌫-⌫-|
Etfac t acollationecum eodem p rincipe, colle ctis untepiscopi, et[c 1Kb] factumestconciliumsanctu mepiscoporumin Chalcedona[d1Kb]inmartyrio sancteEufemie[e 1K b ], et congregatisunt 25 6sacerdot e se talii,quor um chirographumcucur rit406episcopi,quico n gregatiun acum Thomo[f 1Kb] ,hoce stfideaposto liceEcclesie Romanecu m chirographosancti archiepisc opi Leonis.	-|---⌫-⌫|---------|--|----|-⌫-------|-----⌫--|-⌫--|--------|-|-|---|-----|--|--------|------⌫|----------|-|---------|-|---|-|-------|-----|------|-|--⌫-⌫||-|---------|---|--⌫|--------⌫-⌫|-⌫|----|----⌫-|-----------|-----⌫--|--|--------|--|--⌫-⌫------|--⌫|--|----|-|---||--|-⌫-|---|------⌫---|-------|-----|--⌫|----------|-----|----------⌫--|------|
Sedetinpresenti a ca thol iciprincip isMarc ianiAug usticon gregatumconciliumnume ro 400[a1Kb] episcopo rum,unacum Augusto Marciano.	--|-|-|--------⌫|--⌫----⌫--|-------⌫-|----⌫---|---⌫---|---⌫-------|--------|----⌫-|--|-|---|--------⌫---|--|--|------|--------|
Qu iex posueruntfidemcath olicam etap ostol i cam,duasnaturas in unoChristo D eo simuletho mine.	--⌫|--⌫--------|----|----⌫-----|-|--⌫-----⌫-⌫---|---|------|-|--|------|-⌫-|----|-|--⌫----|
6 7 Hicre nouauitp ost cladem u an d alicamomnia ministeriasacra ta argen te aperomnestitulosconflata, hydriassex,duasba silice Constantiniane, duas basilic e B.	-⌫|--|--⌫------|-⌫--|-----|-⌫--⌫-⌫-----|----|---------|-----⌫-|-----⌫--⌫|--|----|------|--------|------|---|---|--⌫-----|--------------|---|-------⌫|-|
Petri apostol i,duas basiliceB .	----|-------⌫-|---|-------|-⌫|
Pauli apostoli :quasCo nst a nt in us Augustuso btulerat,que pensauerunts ingule librascentum.	----|--------⌫|---|--⌫---⌫-⌫--⌫--⌫-|-------|-⌫--------|--|----------|-⌫-----|-----|------|
Q ue omniauasarenouauit sacrata.	-⌫-|----|---|--------|-------|
Hicfec itc amer amba s iliceConstantinia ne ,etal i amcamerambasi licebeati Petri ornauit,etbasilicam beatiPa uliapostoli[e 1Kb]renouauit ,fe c itauteme tba silicamb eatoCornelioe piscopo,etmart yri,iuxtacemeter iumCalixti,ui aAppia.	--|---⌫-|-⌫----⌫-|--⌫-⌫----|------------⌫--⌫|-|--⌫-⌫-|------|----⌫---|----|----|-------|-|--------|----|--⌫--|-------|-|---|---------⌫|--⌫-⌫-|----|-⌫|--⌫------|-⌫---|-------|-⌫-------|-|----⌫---|----|-------⌫--|-------|--⌫|-----|
Hic p ropternomen Roman um suscip i ensl egationemambulau itadregemUnnorum[f1Kb],nomineAthilam [g 1Kb],etl i b erauittot amItal iama pe riculohos tium.	--|-⌫-----|----|-----⌫-|------⌫-⌫--|-⌫--------|-------⌫-|-|----|------|-|---||-----|------|-|---||-|-⌫-⌫-⌫-----|---⌫-|----⌫--||--⌫-----|---⌫----|
Hic c onstituitmo nas teriumapudB .	--|-⌫--------|--⌫---⌫-----|---|-⌫|
SANCTUSHILARUS.	------|-------|
[8Kb][Bencinus:15Kb][Binius,Seu erinus;	----|---------|----|-------|---⌫------|
68H ila rus,nationeSardus,e x patre Cris p ino,seditannis s e x, mens ibus3,diebus10[a 1Kb] .	-|-⌫---⌫---|------|------|-⌫|----|----⌫-⌫---|----|----|-⌫-⌫-|----⌫---|-|-----|-|-|---||
H icfecitdecretalem,et pe runiuersumOrie ntemsparsit Epis tolasde fid e cathol ica et apostolica,confirmanstressynodos N icena m,Ephesinam,etChalced onens e m,ue l[a1K b]tomu mS.	-⌫-|----|----------|-|--⌫|--------|----⌫---|------|----⌫----|-|---⌫|------⌫--|-|----------|---------|---|------|-⌫-----⌫-|---------|-|-------⌫-----⌫-⌫-|--⌫|-|--⌫-|----⌫|-|
69 Hicfecitoratori atr i ainb aptis terio b a s i liceConstantin iane,S.	-|--|----|-------⌫|--⌫-⌫|-|-⌫-----⌫----|-⌫-⌫-⌫-⌫---|----------⌫----|-|
IoannisBaptist e ,etS.	------|-------⌫-⌫|-|-|
Ioan niseuangel ist e,et S.	----⌫--|-------⌫---⌫-|-|-|
Crucis,o mniaexargentoetlapidibus pretiosis.	------|-⌫---|-|------|-|--------|---------|
Con f essionemsa ncti Ioann isBaptiste fe citexargento,qu epen sab at librascentum,etcrucemauream.	---⌫-⌫-------|--⌫---|-----⌫-|-------|--⌫--|-|-------|--⌫|---⌫---⌫-|-----|------|-|-----|------|
Etc onfessionemS;	-|-⌫----------|-|
Ioanniseu angeliste fe cit ex arg ento, quepen sab atlibras10 0, etcruc ema urea m: etin amb obusoratori isianu aser eas ,etargentoclusas;	------|--⌫--------|--⌫--|-|---⌫----|--|---⌫---⌫-|-----|--⌫-|-|----⌫-|-⌫----⌫-|-|-|---⌫---|-------⌫-|----⌫-|--⌫---⌫|-|------|------|
Inoratorio S.	-|-------|-|
Crucis fecit confessionem, ubilignum Domi nicumposuit,cumcru ceaurea, c um gemmi s,quepensa bat pon du slibrarum20;	-----|----|------------|--|-----|----⌫----|------|--|---⌫-|-----|-⌫-|-----⌫-|--|-----⌫--|---⌫--⌫|-------|--|
Fecitex argentopurissimo inconfess ioneianuaspen s a ntespon duslibrarum50;	----|-|------|--------|-|-------⌫---|-----|---⌫-⌫-⌫---|---⌫--|-------|--|
70It em adsanct umIoannemintrasanctum fontemlucernamaureamc u mnixis [h1Kb]luminu mdecem,pensantemlibrasquin que;	-|--⌫-|-|-----⌫-|------|----|------|-----|-------|-----|-⌫-⌫|----|-|---|------⌫|-----|--------|-----|----⌫---|
ceruos argenteos tresfundentes aquam, p ensantess ing.	-----|--------|---|--------|-----|-⌫-------|-⌫---|
turremargenteamcumde lphinis,pe nsan .	-----|--------|--|--⌫-------|--⌫----⌫|
li brassex aginta.	--⌫---|---⌫------|
col umbamauream, pensan.	---⌫----|------|------|
In b asilicamC on stantinianampharacanthara argen tea,quepende ntantealta re dec em,pensan;	-|-⌫-------|-⌫--⌫-----------|------------|-----⌫---|--|-----⌫-|---|----⌫-|---⌫--|------|
singulalibra suiginti.	------|-----⌫|-------|
scyphumaure u m,pensan .	------|----⌫-⌫-|------⌫|
librassex;	-----|---|
calices a ur eo s,pensan.	------|-⌫--⌫--⌫-|------|
s ingulilibr;	-⌫-----|----|
scyphosargen teosduos [i1Kb] p ensa n;	------|-----⌫---|---|-|---|-⌫----⌫-|
singulilibra sdecem.	------|-----⌫|-----|
aliumscyphumaureum,pen san.	----|------|------|---⌫---|
calicesmi nisterialesargenteos uigin ti, pensan.	------|--⌫----------|--------|-----⌫--|------|
singulilib.	------|---|
amasarge nteasquin que,pen santesli bras de cem.	---|----⌫----|----⌫---|---⌫-----|--⌫---|--⌫---|
AdbeatumPe trumap ostolum,scyp hu m a ureum,pens a n.	-|-----|--⌫---|--⌫-------|----⌫--⌫|-⌫-----|----⌫-⌫-|
librasquindecim, a liumsc yp h um aureum cum gemmisprasinisethiacynthinis, pensa n temlibr.	-----|---------|-⌫---|--⌫--⌫-⌫-|-----|--|-----|-------|-|------------|-----⌫-⌫--|----|
ca lices arge nteosministe riales decem ,pensan.	--⌫----|----⌫----|-------⌫-----|-----⌫|------|
amasargenteasdu as,pensan.	---|--------|--⌫--|------|
librasocto.	-----|----|
pharacantharaargente a uigintiquatuor,pensan.	------------|-------⌫|------|-------|------|
sin gulali brasqui nq ue;	---⌫---|--⌫---|---⌫--⌫--|
adbeatum Pau lu mapostolu m scyphumaure um,pensan.	-|-----|---⌫--⌫|--------⌫|------|----⌫--|------|
libras qu inque;	-----|--⌫-----|
71Inurbe Romacon stituitminister iales,q uic ircuirentconstitutas st ationes.	-|-|---|---|---⌫------|--------⌫-----|-⌫-|-⌫--------|----------|--⌫-------|
Scyphumaure umansatum,pen san tem librasocto.	------|----⌫-|-------|---⌫---⌫--|-----|----|
scyp hosarge nteosperti tulos uigintiquinque,pen san.	----⌫--|----⌫----|--|--⌫----|------|-------|---⌫---|
amasar genteasuigintiquinqu e,p ensa ntess ingulelibrasd ece m.	---|--⌫------|------|------⌫-|-⌫----⌫---|-⌫-----|-----|-⌫---⌫-|
cal icesargen teosmini s terialesquinquaginta,pensa ntessing.	---⌫---|-----⌫---|----⌫-⌫-------|------------|-----⌫---|----|
S A NCTUS SI MPLICIUS.	-⌫-⌫----|--⌫--------|
[3Kb] [A ltaserra, Ant onius:5Kb] [Bencin us: 33Kb] [Bi nius,Seue rinus;	----|--⌫--------|---⌫-----|---|-------⌫--|----|---⌫----|----⌫-----|
72 Si mplicius,nati one Tiburtin u s, expatre Cas tino,seditannos qu indecim,diessept em[a1Kb ] .	-|--⌫--------|----⌫--|--------⌫-⌫-|-|----|---⌫----|----|----|--⌫-------|---|----⌫-|-|---⌫||
Hicdedicauit b asilic a mS.	--|--------|-⌫------⌫-⌫|-|
S tep haniinCelio montei nurbe Roma,etb a silicambeatiAn dreeapostoliiu xtabasi licamsancteMar ie, etaliambas ilicamsanc tiStephani iuxtabas i licamsan cti La urentii,etalia m basili camintra Urbem,iuxtapalatiumLi cinianum beatemartyrisBibia ne, ubicorpu seiusreq uiescit;	-⌫---⌫---|-|----|----|-⌫|---|----|-|-⌫-⌫------|----|--⌫---|-------|--⌫--|----⌫----|-----|---⌫--|-|----|---⌫-----|----⌫-|-------|----|---⌫-⌫----|---⌫--|--⌫-------|-|----⌫|------⌫--|----|-----|----|-------|--⌫-------|----|-------|-----⌫--|--|-----⌫|---|---⌫-------|
Hicconstituita d sanct u mPe trumapostol um ,et ad sanct umPa ulum apo stolum,e tadsanc tum Laurentiummartyrem hebdomadam[a1Kb],u t presbyterimanere nt ib ipropter penitentes,etbaptismum.	--|---------|-⌫|-----⌫-⌫|--⌫---|-------⌫--⌫|-|-|-----⌫-|--⌫---|---⌫------|-⌫|-|----⌫--|---------|-------|---------|-|---||-⌫|---------|------⌫-|--⌫|------|----------|-|---------|
Regionemtertiam adsanctumLaurentium.	-------|------|-|------|----------|
[b1Kb ]regione m primam ad san ctumPaulum.	-|---⌫|-------⌫|-----|-|---⌫---|------|
regi onem sex tam, uel septi ma m,a dsanct umP etrum.	----⌫---|---⌫---|--|-----⌫--⌫-|-⌫|-----⌫-|-⌫-----|
Sub huiusepiscopatuu enit relatio de Gr eciaabAcacioConstantinopolita no episc opo,et affirmauit Petr umAlexandrineurbisEutychian ista mhereti cum,facta pe titioneabAcacioEpiscopoc hirog raphoeiusconstructa.	--|----|---------|-⌫---|------|-|--⌫---|-|-----|-----------------⌫-|-----⌫---|-|---------|----⌫-|----------|----|---------⌫----⌫|------⌫---|----|--⌫------|-|-----|-------|-⌫-----⌫----|---|----------|
SANCT USFELIX III.	-----⌫-|----|---|
[3 Kb][Al taserra, Antonius:2K b] [ Benci n us:101Kb][ Binius, Seuerinus;	--⌫--|---⌫-------|--------|--⌫-|-⌫-----⌫-⌫--|-----|-⌫------|---------|
73 Felix tert ius,nationeRo manus,ex p atreFelicepresbyt ero,detituloF asc iole,seditann osocto,mensesundecim, diesuigintitres[a1Kb] Hic fu ittem poribusOdoacrisregisusquead tempor a Theod o ric i.	-|----|----⌫---|------|--⌫-----|-|-⌫---|-----|-------⌫---|-|-----|-⌫---⌫----|----|---⌫-|----|-----|-------|---|------|---|-|---|--|--⌫-|---⌫------|-------|----|----|-|------⌫|-----⌫-⌫---⌫-|
Hicfec i t basilicamsanctiAg ap itiiux ta basilicamsanctiL aurenti imart yris.	--|---⌫-⌫|--------|-----|--⌫--⌫--|---⌫-|--------|-----|-⌫-------⌫|----⌫----|
Su bhuius episcopatuite rumuenitrelatio deGr eciaPetrumAle xandrinu m r euocatum abAc acio episco po Constantinopolita no [b 1Kb ] .	--⌫|----|---------|---⌫--|----|------|-|--⌫---|-----|---⌫--------⌫|-⌫-------|-|--⌫---|------⌫-|-----------------⌫-|-|---⌫||
Tuncuenerabilis Feli xar ch iepisc opusse disap o sto li ce urbisRomemitten sdefensoremcumconcili os edissue,fac toco ncilio,da mnaui tAcacium Constantinopolitanum,etPe trum Alexandrinum.	---|----------|----⌫|--⌫--⌫------⌫---|--⌫--|--⌫-⌫---⌫--⌫-|----|---|------⌫|---------|--|-------⌫|-⌫---|---|---⌫-|--⌫------|--⌫-----⌫|------|--------------------|-|--⌫---|------------|
P ostannost resite rumuenitr elatioabim peratore Zen on e ,ut penitens rediretAcacius.	-⌫--|----|-⌫--|---⌫--|----|-⌫-----|-|--⌫-------|---⌫--⌫-⌫|-|-------|------|-------|
Tuncpa paFelixmi s itdu o sepiscopos Mesenum [c1Kb] , e tuitalem ,utsiinuenirent comp licemP etri Acac i um,damnarenteo s.	---|--⌫-|----|--⌫-⌫-|--⌫-⌫|--------|------|-|---||-⌫|-------⌫|-|-|---------|----⌫----|-⌫---|----⌫-⌫--|--------|--⌫-|
Quidum int roi sse nti nci u itatemHeracleam,c o rruptisuntpecunia, datasupras criptise p iscopis, etnonfecerunt secundumprecept u msedisapostol ice.	--|--|---⌫---⌫---⌫-|-⌫|--⌫-⌫-----|---------|-⌫-⌫-----|---|-------|---|------⌫------|-⌫-⌫-------|-|--|-------|-------|-------⌫-⌫|----|-------⌫---|
SAN C T USGELASIUS.	---⌫-⌫-⌫-|--------|
ANNOC HRISTI482 ,A NASTASI II MP.	---|-⌫-----|---⌫|-⌫-------⌫|-⌫--|
[5K b][Schel str atiu s ,E mman u el: 1Kb ][A ltaserra,Anto n ius: 3Kb] [Ben cinus : 4K b][Binius,Seuerinus ;	---⌫-|------⌫---⌫----⌫-⌫|-⌫----⌫-⌫--|---⌫|--⌫--------|----⌫-⌫---|---|----⌫-----⌫|--⌫-|-------|---------⌫|
74 G elasius, nati oneAfer,expatreua le rio , seditannos qua tuor,mensesoct o,d ies nouem[a1Kb] .	-|-⌫-------|----⌫--|----|-|----|--⌫--⌫---⌫|----|----|---⌫----|-----|---⌫-|-⌫--|----|-|---||
Fuita utemtemporibus[b1Kb] Theodoriciregiset Zen onisAugusti.	---|-⌫---|---------|-|---|---------|----|-|---⌫---|-------|
Huius t e mporibusinuentaest EcclesiasanctiAngeliinMo nteGar gan o.	----|-⌫-⌫-------|------|--|-------|-----|-----|-|--⌫--|---⌫---⌫-|
