Etuocetube	Et uoce tube
contriuitMisitanteeosuiruminseruumuenundatus	contriuit Misit ante eos uirum  in seruum uenundatus
estiosephHumiliaueruntincompedibpedes	est ioseph Humiliauerunt in compedib pedes
eiusferrumꝑtransiitanimameiusdonec	eius ferrum ꝑtransiit animam eius donec
ueniretuerbum	ueniret uerbum
ei᷒Eloquiumdominiinflammauiteummisitrex	ei᷒ Eloquium domini inflammauit eum misit rex
soluiteumpͥncipes	 soluit eum pͥncipes
populorumdimisiteumConstituiteumdñm	populorum  dimisit eum Constituit eum dñm
domussue	domus sue 
pͥncipemomnis	pͥncipem omnis
possessionissueUterudiretprincipeseiussicutsemet	possessionis sue Ut erudiret principes eius sicut semet
ip̃metseneseiusprudentiamdoceret	ip̃m et senes eius prudentiam doceret
Etintrauit	Et intrauit
isr̃linegiptumiacobaccolafuit	isr̃l in egiptum  iacob accola fuit
int̃racham	in t̃ra cham
Etauxitpopl̃msuumuehementer	Et auxit popl̃m suum uehementer
etfirmauiteumsuꝑinimicoseius	et firmauit eum suꝑ inimicos eius
Conuertitcoreorumutodirent	Conuertit cor eorum ut odirent
popl̃meiusdolumfac̃entin	popl̃m eius  dolum fac̃ent in
seruoseiusMisitmoysenseruumsuumaaron	seruos eius Misit moysen seruum suum aaron
quẽelegitipsumPosuitin	quẽ elegit ipsum Posuit in
eisuerbasignorumsuoꝝetꝓdigioruminterracham	eis uerba signorum suoꝝ et ꝓdigiorum in terra cham
Misittenebrasetobscuraũetnonexacerbauitsermonessuos	Misit tenebras et obscuraũ et non exacerbauit sermones suos
Conuertitaquaᷤeoruminsanguinemetocciditpisces	Conuertit aquaᷤ eorum in sanguinem et occidit pisces
eorumEdeditterraeorumranas	eorum Ededit terra eorum ranas
inpenetrabilibregnumipsorumDixitetuenitcynomia	in penetrabilib regnum ipsorum Dixit et uenit cynomia
etcynifexinomnibfinibeorum	et cynifex in omnib finib eorum
PosuitpluuiaseorumgrandinemignemcomburenteminterraipsorũEt	Posuit pluuias eorum grandinem ignem comburentem in terra ipsorũ Et
ꝑcussituineaset	ꝑcussit uineas et
eorumficulneaseorũcontriuitlignumfiniumeorumDixit	eorumficulneas eorũ  contriuit lignum finium eorum Dixit
etuenitlocustaetbrucuscuiusñerat	et uenit locusta et brucus cuius ñ erat
numerusEtcomeditomne	numerus Et comedit omne
fænumint̃raeoꝝ	fænum in t̃ra eoꝝ 
comeditomnemfructumterreeorumEtꝑcussit	comedit omnem fructum terre eorum Et ꝑcussit
omnepͥmogenituminterraeorum	omne pͥmogenitum in terra eorum
primitiasomnislaboris	primitias omnis laboris
eorumEteduxiteoᷤcumargentoetauroetnon	eorum Et eduxit eoᷤ cum argento et auro et non
eratintribubeoꝝĩfirm᷒Letataestegiptusinꝓfectione	erat in tribub eoꝝ ĩfirm᷒ Letata est egiptus in ꝓfectione
eorumquiaincubuittimoreoꝝsuꝑeosExpanditnubemin	eorum quia incubuit timor eoꝝ suꝑ eos Expandit nubem in
ꝓtectionemeoꝝet	ꝓtectionem eoꝝ et
ignemutlucereteisꝑnoctemPetieruntuenit	ignem ut luceret eis ꝑ noctem Petierunt  uenit
conturnixpane	conturnix  pane
celisaturauiteosDisrupitpetram	celi saturauit eos Disrupit petram
etfluxeruntaqueabieruntinsiccoflumina	et fluxerunt aque abierunt in sicco flumina
Qm̃memorfuitũbisc̃isuiquodhabuit	Qm̃ memor fuit ũbi sc̃i sui quod habuit
adabrahampuerumsuũEtedux̃ppl̃m	ad abraham puerum suũ Et edux̃ ppl̃m
suũinexultationeet	suũ in exultatione et
electossuosinleticiaEtdeditillisregionesgentium	electos suos in leticia Et dedit illis regiones gentium
laboresppl̃orumpossederuntUtcustodiãtiustificatõeseius	 labores ppl̃orum possederunt Ut custodiãt iustificatões eius 
legemei᷒reqͥrantCVall̃avoxeccl̃ead	legem ei᷒ reqͥrant CV all̃a vox eccl̃e ad
apl̃osadppl̃mConfitemini	apl̃os  ad ppl̃m Confitemini
dominoqm̃bonusqm̃in	domino qm̃ bonus qm̃ in
scl̃mmĩaeiusQuisloqueturpotentiasdominiauditasfacietom̃s	scl̃m mĩa eius Quis loquetur potentias domini auditas faciet om̃s
laudeseiusBeatiquicustodiunt	laudes eius Beati qui custodiunt
iudiciumetfaciũtiusticiam	iudicium et faciũt iusticiam
inomnitemporeMemento	in omni tempore Memento
nr̃idñeinbeneplacitoppl̃itui	nr̃i dñe in beneplacito ppl̃i tui
uisitanosinsalutarituo	uisita nos in salutari tuo
Aduidenduminbonitate	Ad uidendum in bonitate
electorumtuorũ	electorum tuorũ
adletandum	ad letandum
inleticiagentistueutlauderiscumhereditatetua	in leticia gentis tue ut lauderis cum hereditate tua
Peccauimuscumpatribnr̃isiniusteegimusiniqͥtatem	Peccauimus cum patrib nr̃is iniuste egimus iniqͥtatem
fecimusPatresnr̃iinegyptoñintellexer̃tmirabilia	fecimus Patres nr̃i in egypto ñ intellexer̃t mirabilia
tuanonfueruntmemoresmultitudinis	tua non fuerunt memores multitudinis
mĩetueEtirritauerunt	mĩe tue Et irritauerunt
ascendentesinmaremarerubrum	ascendentes in mare mare rubrum
etsaluauit	et saluauit
eosꝓpt̃nomensuũ	eos ꝓpt̃ nomen suũ
utnotamfac̃etpotentiamsuamEtincrepuitmarerubrũ	ut notam fac̃et potentiam suam Et increpuit mare rubrũ
etexsiccatumestetdeduxiteosin	et exsiccatum est et deduxit eos in
abyssissicutindesertoEtsaluauiteosde	abyssis sicut in deserto Et saluauit eos de
manuodientiumet	manu odientium et
redemiteosdemanuinimiciEtoꝑuitaqua	redemit eos de manu inimici Et oꝑuit aqua
tͥbulanteseosunusexeisnonremansit	tͥbulantes eos unus ex eis non remansit
Etcredideruntinuerbis	Et crediderunt in uerbis
ei᷒etlaudauerunt	ei᷒ et laudauerunt
laudemeiusCitofeceruntobliti	laudem eius Cito fecerunt obliti
suntoꝑmei᷒nonsustinueruntconsiliumei᷒Et	sunt oꝑm ei᷒ non sustinuerunt consilium ei᷒ Et
concupieruntconcupiscentiãindesertoettemptaueruntdeumininaquosoEt	concupierunt concupiscentiã in deserto et temptauerunt deum in inaquoso Et
dediteispeticionẽip̃oꝝet	dedit eis peticionẽ ip̃oꝝ et
misitsaturitateminanimaeoꝝEtirritauerũt	misit saturitatem in anima eoꝝ Et irritauerũt
moysenincastris	moysen in castris
aaronsc̃mdomini	aaron sc̃m domini
Aꝑtaestt̃radeglutiuit	Aꝑta est t̃ra deglutiuit
dathanetoꝑuitsuꝑcongͤgationẽabyronEt	dathan et oꝑuit suꝑ congͤgationẽ abyron Et
exarsitignisinsynagogaeorumflammacõbussitpcc̃orescãman᷒	exarsit ignis in synagoga eorum flamma cõbussit pcc̃ores cã man᷒
ei᷒formauer̃tVeniteadorem᷒	ei᷒ formauer̃t Venite adorem᷒
⁊ꝓcidam᷒⁊plorem᷒añdñmqͥ	⁊ ꝓcidam᷒ ⁊ plorem᷒ añ dñm qͥ
fec̃nosip̃e	fec̃ nos  ip̃e
ẽdñsd̃snr̃Etnosppl̃s	ẽ dñs d̃s nr̃ Et nos ppl̃s
pascueei᷒⁊ouesmanus	pascue ei᷒ ⁊ oues manus
ei᷒hodiesiuocẽeiusaudieritisnoliteobdurarecorda	ei᷒ hodie si uocẽ eius audieritis nolite obdurare corda
ur̃aSic̃	ur̃a Sic̃
inirritatõescd̃mdiẽtẽptatõisindesertoIbitẽptauer̃tme	in irritatõe scd̃m diẽ tẽptatõis in deserto Ibi tẽptauer̃t me
patresur̃iꝓbauer̃tme⁊uider̃toꝑam̃a	patres ur̃i ꝓbauer̃t me ⁊ uider̃t oꝑa m̃a
Quadragĩtaãnisoffens᷒fuigñatõiilli⁊	Quadragĩta ãnis offens᷒ fui gñatõi illi ⁊
dixisemꝑerrantcordeEtistinõ	dixi semꝑ errant corde Et isti nõ
ꝯgnouer̃uiasm̃asutiuraui	ꝯgnouer̃ uias m̃as ut iuraui
iniram̃a	in ira m̃a
siintrabuntinreqͥẽmeã	si intrabunt in reqͥẽ meã
Cãtatedñocãtic̃nouũcãtate	Cãtate dño cãtic̃ nouũ cãtate
dñoõist̃raCãtatedño	dño õis t̃ra Cãtate dño
⁊bñdicitenõiei᷒annũciatededieindiẽsalutare	⁊ bñdicite nõi ei᷒ annũciate de die in diẽ salutare
ei᷒Adnũciateint̃gt̃sgl̃iãei᷒in	ei᷒ Adnũciate int̃ gt̃s gl̃iã ei᷒ in
om̃isppl̃ismirabiliaei᷒Qm̃magn᷒dñs⁊laudabil̃nimis	om̃is ppl̃is mirabilia ei᷒ Qm̃ magn᷒ dñs ⁊ laudabil̃ nimis
t̃ribil̃ẽsuꝑom̃s	t̃ribil̃ ẽ suꝑ om̃s
d̃osQm̃om̃sdiigẽtium	d̃os Qm̃ om̃s dii gẽtium
demoniadñsãcelosfec̃Cõfessio⁊pulcͥtudo	demonia dñs ã celos fec̃ Cõfessio ⁊ pulcͥtudo
incõspectuei᷒sc̃imonia⁊	in cõspectu ei᷒ sc̃imonia ⁊
magnificẽtiainsc̃ificatõeei᷒Affertedñopatriegentium	magnificẽtia in sc̃ificatõe ei᷒ Afferte dño patrie gentium
affertedño	afferte dño
gl̃iã⁊honorẽaffertedñogl̃ãnõiei᷒Tolliteostias	gl̃iã ⁊ honorẽ afferte dño gl̃ã nõi ei᷒ Tollite ostias
⁊intͦiteinatͥaei᷒adoratedñminatrio	⁊ intͦite in atͥa ei᷒ adorate dñm in atrio
sc̃oei᷒Cõmoueat᷑afacieei᷒uniũsat̃radicite	sc̃o ei᷒ Cõmoueat᷑ a facie ei᷒ uniũsa t̃ra dicite
ingẽtib	in gẽtib
dñsregnauitEtenĩcorrex̃orbẽquinõꝯmouebitur	 dñs regnauit Et enĩ correx̃ orbẽ qui nõ ꝯmouebitur
iudicabitppl̃osineqͥtateLetẽt᷑celiexultett̃racõmoueat᷑	iudicabit ppl̃os in eqͥtate Letẽt᷑ celi  exultet t̃ra cõmoueat᷑
mareplenitudoei᷒gaudeb̃tcãpiõaque	mare  plenitudo ei᷒ gaudeb̃t cãpi  õa que
ineiss̃Nũcexultab̃tõialignasiluar̃afacie	in eis s̃ Nũc exultab̃t õia ligna siluar̃ a facie
dñiuenitqm̃uenitiudicaret̃rãIudicabitorbem	dñi  uenit qm̃ uenit iudicare t̃rã Iudicabit orbem
t̃reineqͥtate⁊ppl̃osinũitatesua	t̃re in eqͥtate ⁊ ppl̃os in ũitate sua
Dñsregnauitexultett̃raletent᷑insulemulteNubes⁊caligo	Dñs regnauit exultet t̃ra letent᷑ insule multe Nubes ⁊ caligo
incircuituei᷒iusticia⁊iudiciũcorrectio	in circuitu ei᷒ iusticia ⁊ iudiciũ correctio
sedisei᷒	sedis ei᷒
Ignisañip̃m	Ignis añ ip̃m
cedet⁊inflãmabitincircuitu	cedet ⁊ inflãmabit in circuitu
inimicosei᷒Illuxer̃tfulguraei᷒orbit̃reuidit	inimicos ei᷒ Illuxer̃t fulgura ei᷒ orbi t̃re uidit
⁊ꝯmotaẽt̃raMontes	⁊ ꝯmota ẽ t̃ra Montes
sic̃cerafluxer̃ta	sic̃ cera fluxer̃t a
faciedñiafaciedñiõis	facie dñi a facie dñi õis
om̃ist̃raAdnũciauer̃tceliiusticiãei᷒⁊uider̃t	om̃is t̃ra Adnũciauer̃t celi iusticiã ei᷒ ⁊ uider̃t
om̃sppl̃i	om̃s ppl̃i
gl̃iãei᷒Confundãt᷑õsqui	gl̃iã ei᷒ Confundãt᷑ õs qui
adorãtsculptiliaquigl̃ant᷑insimulacris	adorãt sculptilia qui gl̃ant᷑ in simulacris
suisAdorateeũom̃sangl̃iei᷒	suis Adorate eũ om̃s angl̃i ei᷒
audiuit⁊letataẽsyonEt	audiuit ⁊ letata ẽ syon Et
exultauer̃tfilieiudeꝓpt̃iudiciatuadñeQm̃tudomin᷒	exultauer̃t filie iude ꝓpt̃ iudicia tua dñe Qm̃ tu domin᷒
altistissim᷒suꝑõemt̃rãnimisexaltat᷒essuꝑ	altistissim᷒ suꝑ õem t̃rã nimis exaltat᷒ es suꝑ
om̃sd̃os	om̃s d̃os
Quidiligitisdñmoditemalumcustodit	Qui diligitis dñm odite malum custodit
dñsaĩassc̃oꝝsuoꝝdemanupcc̃orislib̃abiteos	dñs aĩas sc̃oꝝ suoꝝ de manu pcc̃oris lib̃abit eos
Luxortaẽ	Lux orta ẽ
i᷒to⁊rectis	i᷒to ⁊ rectis
cordeleticiaLetaminiiustiindño⁊ꝯfitemini	corde leticia Letamini iusti in dño ⁊ ꝯfitemini
memoriesc̃ificationisei᷒Cantatedñocãtic̃nouummirabilia	memorie sc̃ificationis ei᷒ Cantate dño cãtic̃ nouum  mirabilia
fec̃Saluabitsibidext̃a	fec̃ Saluabit sibi dext̃a
ei᷒⁊brachiumsc̃mei᷒Notũfecitdñs	ei᷒ ⁊ brachium sc̃m ei᷒ Notũ fecit dñs
salutaresuũincõspectugẽtiũ	salutare suũ in cõspectu gẽtiũ
reuelauitiusticiãsuãRecordat᷒ẽmĩesue⁊	reuelauit iusticiã suã Recordat᷒ ẽ mĩe sue ⁊
ũitatisuedomuiisr̃lVider̃tõs	ũitati sue domui isr̃l Vider̃t õs
t̃minit̃resalutared̃i	t̃mini t̃re salutare d̃i
nr̃iIubilatedño	nr̃i Iubilate dño
õist̃racãtate⁊exultate	õis t̃ra cãtate ⁊ exultate
⁊psallitePsallitedño	⁊ psallite Psallite dño
incithara	in cithara
incithara⁊uocepsalmiin	in cithara ⁊ uoce psalmi in
tubisductilib⁊uocetubecorneeIubilateinconspectu	tubis ductilib ⁊ uoce tube cornee Iubilate in conspectu
regisdñimoueaturmare⁊plenitudoei᷒orbis	regis dñi moueatur mare ⁊ plenitudo ei᷒ orbis
t̃rar̃⁊quihabitãtĩeo	t̃rar̃ ⁊ qui habitãt ĩ eo
Fluminaplaudẽtmanusiml̃mõtesexl̃tab̃tacõspectudñiqm̃	Flumina plaudẽt manu siml̃ mõtes exl̃tab̃t a cõspectu dñi qm̃
uenitiudicaret̃ramIudicabitorbẽt̃rar̃	uenit iudicare t̃ram Iudicabit orbẽ t̃rar̃
iniusticia⁊ppl̃osin	in iusticia ⁊ ppl̃os in
equitateDñsregnauit	equitate Dñs regnauit
irascant᷑ppl̃iquisedetsr̃cherubĩmoueat᷑t̃raDñs	irascant᷑ ppl̃i qui sedet sr̃ cherubĩ moueat᷑ t̃ra Dñs
insiõmagn᷒⁊excels᷒suꝑom̃s	in siõ magn᷒ ⁊ excels᷒ suꝑ om̃s
ppl̃osCõfiteãt᷑nõituomagnoqm̃t̃ribile⁊sc̃m	ppl̃os Cõfiteãt᷑ nõi tuo magno qm̃ t̃ribile ⁊ sc̃m
ẽ⁊honorregisiudiciũdiligitTuparastidirectões	ẽ ⁊ honor regis iudiciũ diligit Tu parasti directões
iudiciũ⁊iusticiãiniacobtufecistiExaltatedñm	iudiciũ ⁊ iusticiã in iacob tu fecisti Exaltate dñm
d̃mnr̃m⁊adoratescabellũ	d̃m nr̃m ⁊ adorate scabellũ
pedũei᷒	pedũ ei᷒
qm̃sc̃mẽMoyses⁊aarõinsac̃dotib	qm̃ sc̃m ẽ Moyses ⁊ aarõ in sac̃dotib
ei᷒⁊samuel	ei᷒ ⁊ samuel
int̃eosquiinuocãt	int̃ eos qui inuocãt
nom̃eiusInuocabãtdñm⁊ip̃eexaudiebateos	nom̃ eius Inuocabãt dñm ⁊ ip̃e exaudiebat eos
incolũnanubisloq̃baturad	in colũna nubis loq̃batur ad
eosCustodiebãttestimoniaei᷒⁊ceptũq̃d	eos Custodiebãt testimonia ei᷒ ⁊ ceptũ q̃d
deditillisDñed̃snr̃tuexaudiebas	dedit illis Dñe d̃s nr̃ tu exaudiebas
eosd̃stuꝓpiti᷒fuistieis⁊ulciscens	eos d̃s tu ꝓpiti᷒ fuisti eis ⁊ ulciscens
inom̃sadinuentiones	in om̃s adinuentiones
eoꝝExaltatedñmd̃mnr̃m⁊adorateinmõte	eoꝝ Exaltate dñm d̃m nr̃m ⁊ adorate in mõte
sc̃oei᷒qm̃sc̃sdñsd̃snr̃Iubilate	sc̃o ei᷒ qm̃ sc̃s dñs d̃s nr̃ Iubilate
dñoõist̃raseruitedño	dño õis t̃ra seruite dño
ĩleticiaIntroiteincõspectu	ĩ leticia Introite in cõspectu
ei᷒inexultatõecitoteqm̃ip̃eẽ	ei᷒ in exultatõe citote qm̃ ip̃e ẽ
d̃sip̃efec̃nos⁊nõip̃inosPopl̃s	d̃s ip̃e fec̃ nos ⁊ nõ ip̃i nos Popl̃s
ei᷒⁊ouespascueei᷒introite	ei᷒ ⁊ oues pascue ei᷒ introite
portasei᷒inꝯfessioneatria	portas ei᷒ in ꝯfessione atria
ei᷒inhymnisꝯfiteminiilliLaudate	ei᷒ in hymnis ꝯfitemini illi Laudate
nom̃ei᷒qm̃suauisẽdñsinet̃nũmiscdĩa	nom̃ ei᷒ qm̃ suauis ẽ dñs in et̃nũ miscdĩa
ei᷒⁊usqingñationẽ⁊geñationẽũitas	ei᷒ ⁊ usq in gñationẽ ⁊ geñationẽ ũitas
ei᷒Miscdĩã⁊iudiciũcãtabo	ei᷒ Miscdĩã ⁊ iudiciũ cãtabo
tͥdñePsallã⁊ĩtelligã	tͥ dñe Psallã ⁊ ĩtelligã
inuiaĩmacl̃ataqñuenies	in uia ĩmacl̃ata qñ uenies
admePerambulabãinĩnocẽciacordism̃iinmediodom᷒	ad me Perambulabã in ĩnocẽcia cordis m̃i in medio dom᷒
meeNõꝓponebam	mee Nõ ꝓponebam
añocl̃osm̃os	añ ocl̃os m̃os
rẽiniustãfaciẽtesuaricationesodiuiNonadhesitmͥ	rẽ iniustã faciẽtes uaricationes odiui Non adhesit mͥ
corprauũdeclinãtẽamemalignũnõ	cor prauũ declinãtẽ a me malignũ nõ
cognoscebãDetrahentẽsecretoꝓximosuohũcꝑseq̃barSuꝑboocl̃o⁊	cognoscebã Detrahentẽ secreto ꝓximo suo hũc ꝑseq̃bar Suꝑbo ocl̃o ⁊
insaciabilicordecũhocnõedebãOcl̃im̃iadfideles	insaciabili corde cũ hoc nõ edebã Ocl̃i m̃i ad fideles
t̃reutsedeantmec̃	t̃re ut sedeant mec̃
ambulãsinuia	ambulãs in uia
ĩmacl̃atahͥmͥ	ĩmacl̃ata hͥ mͥ
ministͣbatNonhabitauit	ministͣbat Non habitauit
ĩmediodom᷒	ĩ medio dom᷒
meeqͥfac̃suꝑbiãqui	mee qͥ fac̃ suꝑbiã qui
loquit᷑iniqͣnõ	loquit᷑ iniqͣ nõ
direx̃incõspectuocl̃oꝝm̃oꝝInmatutinoint̃ficiebãom̃s	direx̃ in cõspectu ocl̃oꝝ m̃oꝝ In matutino int̃ficiebã om̃s
peccatorest̃reutdisꝑderẽ	peccatores t̃re ut disꝑderẽ
deciuitatedñiom̃s	de ciuitate dñi om̃s
oꝑantesiniquitatemDñeexaudior̃onẽmeã⁊	oꝑantes iniquitatem Dñe exaudi or̃onẽ meã ⁊
clamorm̃us	clamor m̃us
adteueniat	ad te ueniat
Nõaũtasfaciẽtuã	Nõ aũtas faciẽ tuã
ameinqͣc̃q	a me in qͣc̃q
dietribulorinclina	die tribulor inclina
admeaurẽtuãInqͣc̃q	ad me aurẽ tuã In qͣc̃q
dieinuocaũoteuelocit̃exaudimeQuiadefecer̃tsic̃	die inuocaũo te uelocit̃ exaudi me Quia defecer̃t sic̃
fum᷒diesm̃i⁊ossam̃asic̃cremiũaruer̃tPercussus	fum᷒ dies m̃i ⁊ ossa m̃a sic̃ cremiũ aruer̃t Percussus
sũutfenũ⁊aruitcormeũ	sũ ut fenũ ⁊ aruit cor meũ
oblit᷒sũcomed̃e	 oblit᷒ sũ comed̃e
panẽmeũA	panẽ meũ A
uocegemit᷒	uoce gemit᷒
m̃iadhesitosmeũcarnimeeSimil̃factussũ	m̃i adhesit os meũ carni mee Simil̃ factus sũ
pellicanosolitudinisfact᷒	pellicano solitudinis fact᷒
sumsic̃	sum sic̃
niticoraxindomicilioVigilaui⁊	niticorax in domicilio Vigilaui ⁊
fact᷒sũsic̃passersolitari᷒	fact᷒ sũ sic̃ passer solitari᷒
intectoTotadieexꝓbrabãtmͥinimicim̃i⁊	in tecto Tota die exꝓbrabãt mͥ inimici m̃i ⁊
quilaudabãtme	qui laudabãt me
aduersũmeiurabãt	aduersũ me iurabãt
Quiacinerẽtãꝙͣpanẽmanducabã⁊pocl̃mmeũ	Quia cinerẽ tãꝙͣ panẽ manducabã ⁊ pocl̃m meũ
cũfletumiscebãAfacie	cũ fletu miscebã A facie
ireetindignatõis	ire et indignatõis
tueeleuãsallisistimeDies	tue  eleuãs allisisti me Dies
m̃isic̃umbradeclinauer̃t⁊	m̃i sic̃ umbra declinauer̃t ⁊
egosic̃fenũaruiTuãdñe	ego sic̃ fenũ arui Tu ã dñe
inet̃nũꝑmanes⁊memorialetuũin	in et̃nũ ꝑmanes ⁊ memoriale tuũ in
gñatõnẽ⁊gñatõnẽTuexurgens	gñatõnẽ ⁊ gñatõnẽ Tu exurgens
dñemisereb̃issyontẽp᷒miserendieiusuenittẽp᷒	dñe misereb̃is syon  tẽp᷒ miserendi eius  uenit tẽp᷒
Qm̃placuer̃tseruistuislapidesei᷒⁊	Qm̃ placuer̃t seruis tuis lapides ei᷒ ⁊
t̃reei᷒miserebũt᷑Ettimebũtgt̃snom̃tuũdñe	t̃re ei᷒ miserebũt᷑ Et timebũt gt̃s nom̃ tuũ dñe
⁊om̃sregest̃regl̃iã	⁊ om̃s reges t̃re gl̃iã
tuamQuiaedificabitdñssyõ⁊uidebiturĩ	tuam Quia edificabit dñs syõ ⁊ uidebitur ĩ
gl̃asuaespex̃sicinor̃onẽ	gl̃a sua espex̃ sic in or̃onẽ
humiliũ⁊nõsuitcẽeoꝝScribant᷑h̃in	humiliũ ⁊ nõ suit cẽ eoꝝ Scribant᷑ h̃ in
gñatõealt̃a⁊ppl̃sqͥ	gñatõe alt̃a ⁊ ppl̃s qͥ
creabiturlaudabitdñmQuia	creabitur laudabit dñm Quia
ꝓspexitdeexcelsosc̃o	ꝓspexit de excelso sc̃o
suodñsde	suo dñs de
celoint̃ram	celo in t̃ram
aspexitUtaudiretgemitũꝯpeditoꝝutsolũetfiliosint̃emtoꝝ	aspexit Ut audiret gemitũ ꝯpeditoꝝ ut solũet filios int̃emtoꝝ
Utannũciẽtinsiõnom̃dñi⁊laudemei᷒	Ut annũciẽt in siõ nom̃ dñi ⁊ laudem ei᷒
inihrl̃mIncõueniendoppl̃os	in ihrl̃m In cõueniendo ppl̃os
ĩunũ⁊regesutseruiãtdño	ĩ unũ ⁊ reges ut seruiãt dño
Respõditeiĩuiauͥtutissuepaucitatẽdier̃	Respõdit ei ĩ uia uͥtutis sue paucitatẽ dier̃
m̃oꝝnunciamͥNe	m̃oꝝ nuncia mͥ Ne
reuocesmeĩdimidiodier̃m̃oꝝin	reuoces me ĩ dimidio dier̃ m̃oꝝ in
gñatõe⁊gñatõemãnituiIniciotudñet̃rãfũdasti	gñatõe ⁊ gñatõem ãni tui Inicio tu dñe t̃rã fũdasti
⁊oꝑamanuũtuar̃s̃celi	⁊ oꝑa manuũ tuar̃ s̃ celi
Ipsiꝑib̃ttuãꝑmanes⁊	Ipsi ꝑib̃t tu ã ꝑmanes ⁊
õssic̃	õs sic̃
uestim̃tũuet̃ascẽt	uestim̃tũ uet̃ascẽt
Etsic̃oꝑtoriũmutab̃eos⁊mutabũt᷑tuã	Et sic̃ oꝑtoriũ mutab̃ eos ⁊ mutabũt᷑ tu ã
idẽip̃ees⁊annitui	idẽ ip̃e es ⁊ anni tui
nõdeficiẽtFiliiseruoꝝtuoꝝhabitab̃t⁊sem̃	nõ deficiẽt Filii seruoꝝ tuoꝝ habitab̃t ⁊ sem̃
eoꝝĩscl̃m	eoꝝ ĩ scl̃m
diriget᷑Benedicaĩam̃adño⁊	diriget᷑ Benedic aĩa m̃a dño ⁊
õiaq̃intͣmes̃nõisc̃oei᷒Benedicaĩa	õia q̃ intͣ me s̃ nõi sc̃o ei᷒ Benedic aĩa
m̃adño⁊noliobliuisci	m̃a dño ⁊ noli obliuisci
om̃sretͥbutionesei᷒Qui	om̃s retͥbutiones ei᷒ Qui
ꝓpiciat᷑õibiniquitatibtuisqͥsanatom̃sinfirmitatestuas	ꝓpiciat᷑ õib iniquitatib tuis qͥ sanat om̃s infirmitates tuas
Quiredimitde	Qui redimit de
int̃ituuitãtuãquicoronatteinmĩa⁊miserationib	int̃itu uitã tuã qui coronat te in mĩa ⁊ miserationib
Quireplet	Qui replet
inbonisdesid̃iũ	in bonis desid̃iũ
tuũrenouabiturut	tuũ renouabitur ut
aquileinuẽt᷒tuaFaciẽs	aquile inuẽt᷒ tua Faciẽs
miscd̃iasdñs⁊iuditiũõibiniuriã	miscd̃ias dñs ⁊ iuditiũ õib iniuriã
pacientibNotasfec̃uiassuasmoysifiliisisr̃luolũtatessuas	pacientib Notas fec̃ uias suas moysi filiis isr̃l uolũtates suas
Miserator⁊misericorsdñslõganimis⁊multũ	Miserator ⁊ misericors dñs lõganimis ⁊ multũ
misericorsNoninꝑpetuũirascet᷑neqinet̃nũcomminabit᷑Nõ	misericors Non in ꝑpetuũ irascet᷑ neq in et̃nũ comminabit᷑ Nõ
scd̃mpcc̃anr̃afec̃nob̃neqscd̃miniqͥtates	scd̃m pcc̃a nr̃a fec̃ nob̃ neq scd̃m iniqͥtates
nr̃asretribuitnob̃Qm̃scd̃maltitudinẽceliat̃ra	nr̃as retribuit nob̃ Qm̃ scd̃m altitudinẽ celi a t̃ra
corroborauitmiscdĩãsuãsuꝑtim̃tes	corroborauit miscdĩã suã suꝑ tim̃tes
seQuãtũ	se Quãtũ
distatort᷒aboccidẽtelõgefec̃a	distat ort᷒ ab occidẽte lõge fec̃ a
nob̃iniqͥtatesnr̃asQuomodomiseret᷑	nob̃ iniqͥtates nr̃as Quomodo miseret᷑
pat̃filioꝝmisert᷒ẽdñstim̃tibseqm̃ip̃eꝯgnouit	pat̃ filioꝝ misert᷒ ẽ dñs tim̃tib se qm̃ ip̃e ꝯgnouit
figm̃tũnr̃mRecordat᷒	figm̃tũ nr̃m Recordat᷒
ẽqm̃puluissum᷒homosic̃fenũdiesei᷒tanꝙͣ	ẽ qm̃ puluis sum᷒ homo sic̃ fenũ dies ei᷒ tanꝙͣ
flosagrisicefflorebit	flos agri sic efflorebit
Qm̃sp̃sꝑtͣnsibitin	Qm̃ sp̃s ꝑtͣnsibit in
illo⁊nõ	illo ⁊ nõ
subsistet⁊nõcognosc	subsistet ⁊ nõ cognosc
ampli᷒loc̃suũMiscdĩaãdñi	ampli᷒ loc̃ suũ Miscdĩa ã dñi
abet̃no⁊usqinet̃nũsr̃	ab et̃no ⁊ usq in et̃nũ sr̃
tim̃teseũ	tim̃tes eũ
Etiusticiailli᷒infiliosfilioꝝ	Et iusticia illi᷒ in filios filioꝝ
hisquiseruãt	his qui seruãt
testam̃tũei᷒Etmemoress̃mãdatoꝝip̃i᷒adfaciendũea	testam̃tũ ei᷒ Et memores s̃ mãdatoꝝ ip̃i᷒ ad faciendũ ea
Dñsinceloparauitsedẽsuã⁊regnũipsius	Dñs in celo parauit sedẽ suã ⁊ regnũ ipsius
om̃ibdñabiturBenedicitedñoangl̃i	om̃ib dñabitur Benedicite dño angl̃i
ei᷒potẽtesuirtutefaciẽtesũbũilli᷒	ei᷒ potẽtes uirtute faciẽtes ũbũ illi᷒
adaudiẽdãuocẽsermonũei᷒Benedicitedño	ad audiẽdã uocẽ sermonũ ei᷒ Benedicite dño
õsuͥtutesei᷒ministri	õs uͥtutes ei᷒ ministri
