fecitconstantin᷒	fecit constantin᷒
NONqͦmͦdemonesfontẽuenirentnͥaliqͣdielauarent᷑Istũ	NON qͦmͦ demones fontẽ uenirent nͥ aliqͣ die lauarent᷑ Istũ
aut̃diempoti᷒adhoc	aut̃ diem poti᷒ ad hoc
electũqͦcenadñicaanniuersarie	electũ qͦ cena dñica anniuersarie
celebͣt᷑&qͥa	celebͣt᷑ & qͥa
concessũẽhocbaptismũaccept᷑is,multi	concessũ ẽ hoc baptismũ accept᷑is , multi
cũhislauareuoluer̃ieiuniũqlaxarehisꝓut	cũ his lauare uoluer̃ ieiuniũq laxare his ꝓut
potuidisputati	potui disputati
moneoeaquęlocut᷒	moneo ea quę locut᷒
sũseruesqͣntũpotesutęccl̃ęd	sũ serues qͣntũ potes ut ęccl̃ę d
prudentẽacpacificũfiliũ	prudentẽ ac pacificũ filiũ
Aliaquęquę	Aliaquę quę
int̃rogastisidñsuolueritaliotẽporeexpediamEXPLIC̃LIB̃	int̃rogasti si dñs uoluerit alio tẽpore expediam EXPLIC̃ LIB̃
INCIPITII᷒	INCIPIT II᷒
ADEVNDẼIAÑDEC̃SVETVDINE	AD EVNDẼ IAÑ DE C̃SVETVDINE
ĘCCL̃ĘDILECTISSIMOfilioIanuario	ĘCCL̃Ę DILECTISSIMO filio Ianuario
AUgUSTINUSLectislitt͛istuis	AUgUSTINUS Lectis litt͛is tuis
ubimecõmonuistiutdebitũ	ubi me cõmonuisti ut debitũ
redderẽde	redderẽ de
residuisenodandisquestionib᷒qͣsiãlongeañquesiuerasgͣtissimũmͥ	residuis enodandis questionib᷒ qͣs iã longe añ quesiueras gͣtissimũ mͥ
atqkarissimũdesideriũIncipitsũmamagistͥ	atq karissimũ desideriũ Incipit sũma magistͥ
alanideꝯfessioneet	alani de ꝯfessione et
penitenciaQuoniamcircaconfessionesaĩaꝝꝑicl̃asuntet	penitencia Quoniam circa confessiones aĩaꝝ ꝑicl̃a sunt et
difficultatesqñemerguntId̃oadhonoremd̃isc̃iqNicholaiad	difficultates qñ emergunt Id̃o ad honorem d̃i sc̃iq Nicholai ad
fr̃mutilitatematqconfitentiũsalutemtractatumbreuem	fr̃m utilitatem atq confitentiũ salutem tractatum breuem
deconfessione	de confessione
conpilauisubcertistitulis	conpilaui sub certis titulis
singl̃aq̃	singl̃a q̃
circaꝯfessionemrequirũt᷑etincidũtcõcludensutfacili᷒lector	circa ꝯfessionem requirũt᷑ et incidũt cõcludens ut facili᷒ lector
q̃uelitualeatinuenireCui᷒tͣctat᷒rubrice	q̃ uelit ualeat inuenire Cui᷒ tͣctat᷒ rubrice
suntheI	sunt he I
capitulumQͦtemꝑeinceꝑit	capitulum Qͦ temꝑe inceꝑit
ꝯfessioIIQuaresitinstitutaconfessioIIICuifacienda	ꝯfessio II Quare sit instituta confessio III Cui facienda
sitconfessioQuandositconfitendumVQueprecipue	sit confessio Quando sit confitendum V Que precipue
ĩꝯfessiõereqͥrũt᷑VIQ̃sintnecc̃a	ĩ ꝯfessiõe reqͥrũt᷑ VI Q̃ sint necc̃a
aduerãpeñiamVIIDe	ad uerã peñiam VII De
allocutiõesac͛dotis	allocutiõe sac͛dotis
etĩductiõeadꝯfitẽd̃VIII	et ĩductiõe ad ꝯfitẽd̃ VIII
Decirꝯstanciisquaspcc̃or	De cirꝯstanciis quas pcc̃or
tenet᷑ꝯfiteriIXUtrumcirꝯstancieagrauentpcc̃mX	tenet᷑ ꝯfiteri IX Utrum cirꝯstancie agrauent pcc̃m X
Deint̃rogationibasac̃dotefaciendisXI	De int̃rogationib a sac̃dote faciendis XI
DegeneribusabusionumXII	De generibus abusionum XII
Deofficioetdebitosac̃dotisergapenitẽtesXIIIQͥspcc̃a	De officio et debito sac̃dotis erga penitẽtes XIII Qͥs pcc̃a
dimͭtatetꝑq̃mortaliasiueuenialiadimittãt᷑XIIII	dimͭtat et ꝑ q̃ mortalia siue uenialia dimittãt᷑ XIIII
Demodopenitencie	De modo penitencie
ꝓquolibetpeccatoXVQuedebentconsiderariininposionepenitencie	ꝓ quolibet peccato XV Que debent considerari in inposione penitencie
Non·H·nosmip̃osdicamussih̃mxp̃m	Non ·H· nosm ip̃os dicamus s ih̃m xp̃m
dominũnr̃mnoᷤaũseruosur̃osꝑih̃mqm̃	dominũ nr̃m noᷤ aũ seruos ur̃os ꝑ ih̃m qm̃
d̃sqͥdixitdetenebrislucẽsplendesc̃eipse	d̃s qͥ dixit de tenebris lucẽ splendesc̃e ipse
illux̃incordibnr̃is	illux̃ in cordib nr̃is
adilluminacionẽscĩeclaritatisd̃i	ad illuminacionẽscĩe claritatis d̃i
infaciexͥ	in facie xͥ
ih̃unedicogl̃iexp̃inon	ih̃u nedico gl̃ie xp̃i non
·H·⁊c̃l̃itaꝯtinuaꝯm̃dam᷒nos	·H· ⁊ c̃ l̃ ita ꝯtinua ꝯm̃dam᷒ nos
inmanifestacioneũitatis⁊	in manifestacione ũitatis ⁊
cet̃aͭaliafacimus⁊h̃ꝓp̃xp̃mñ·H·di.	cet̃a ͭalia facimus ⁊ h̃ ꝓp̃ xp̃m ñ ·H· di.
nosmip̃ossih̃m	nosm ip̃os s ih̃m
xp̃mdo.nos..i.dicacio	xp̃m do. nos. .i. dicacio
nr̃anon	nr̃a non
tenditadgl̃iamnr̃aml̃adlucranr̃asad	tendit ad gl̃iam nr̃am l̃ ad lucra nr̃a s ad
gl̃iamxͥꝙ̃predicamus	gl̃iam xͥ ꝙ̃ predicamus
saluatorem⁊dñmnr̃meẽillũdicam᷒	saluatorem ⁊ dñm nr̃m eẽ illũ dicam᷒
eẽdñmNosaũdñiseẽseruos.i.minisstros	eẽ dñm Nos aũ dñis eẽ seruos .i. minisstros
ur̃os⁊h̃ꝑxp̃mquinobis	ur̃os ⁊ h̃ ꝑ xp̃m qui nobis
h̃iniunx̃hocaut̃facimusqm̃d̃sip.	h̃ iniunx̃ hoc aut̃ facimus qm̃ d̃s ip.
illux̃incor.no..i.seqͥ	illux̃ in cor. no. .i. se qͥ
ẽlumennobisinfunditqͥ	ẽ lumen nobis infu n dit qͥ
dixit.i.ceptosolofecitlucemsplend̃edetenebris	dixit .i. cepto solo fecit lucem splend̃e de tenebris
q̃dfuitĩseꝑacioneelem̃toꝝceꝑunt	q̃d fuit ĩ seꝑacione elem̃toꝝ ceꝑunt
·H·tenebreexquoꝯfusa	·H· tenebre ex quo ꝯfusa
molesceli⁊t̃recep̃eẽañqͣmlux	moles celi ⁊ t̃re cep̃ eẽ añqͣm lux
fc̃aeẽtquailluminaret᷑ꝙsñlucefuerattenebrosum	fc̃a eẽt qua illuminaret᷑ ꝙ sñ luce fuerat tenebrosum
p᷒eaeuõaccedenteluceꝙfc̃mest	p᷒ea e uõ accedente luce ꝙ fc̃m est
meliusreddr᷑inqͦꝓficientishõisaffectiosigc̃aturuñ	melius reddr᷑ in qͦ ꝓficientis hõis affectio sigc̃atur uñ
apl̃sloquẽstore&loquutusẽeis	apl̃s loquẽs tore & loquutus ẽ eis
multainparabolisdicensExiit	multa in parabolis dicens Exiit
quiseminat	qui seminat
seminaresemensuumEt	seminare semen suum Et
dumsemiminoressubditiĩeccl̃ia	dum semi minores  subditi ĩ eccl̃ia
intelligunt᷑quiñascenduntinnauimñdum	intelligunt᷑ qui ñ ascendunt in nauim ñdum
celestibmisteriis	celestib misteriis
imbuticumxp̃oin	imbuti cum xp̃o in
ꝑabolisLucasꝑsimilitudinẽq̃didemẽMarcusDicebateis	ꝑabolis Lucas ꝑ similitudinẽ q̃d idem ẽ Marcus Dicebat eis
indoctrinasuaCap̃lxxiiExiitQuidiscipl̃isloq̃bat᷑	in doctrina sua Cap̃ lxxii Exiit Qui discipl̃is loq̃bat᷑
sacramentaexiitseminareũbumdeiinturbas	sacramenta exiit seminare ũbum dei in turbas
parabolasutiuxtauariasuoluntatess.sentencias	 parabolas ut iuxta uarias uoluntates s.  sentencias
suasdiũsasrecipiant	suas diũsas recipiant
disciplinass.utuidentesñuideant	disciplinas s. ut uidentes ñ uideant
c̃Nota	 c̃ Nota 
triplexẽsem̃Sem̃seminatumpuluereecogitationisobscuretQuetamen	triplex ẽ sem̃ Sem̃ seminatum pulueree cogitationis obscuret Que tamen
ñpulsarerectoris	ñ pulsare rectoris
animumnequeuntsfestinare	animum nequeunt s festinare
necesseestut	necesse est ut
repugnationeuincantur	repugnatione uincantur
neuitiumquodꝑsuggestionemtemptatmollicie	ne uitium quod ꝑ suggestionem temptat mollicie
delectationissubigat	delectationis subigat
,cumqhecabanimotarde	, cumq hec ab animo tarde
repelliturmucroneconsensusoccidat.xiiiiSit	repellitur mucrone consensus occidat . xiiii Sit
rectoroꝑationecipuusutuiteuiamsubditisuiuendodenunciet	rector oꝑatione cipuus ut uite uiam subditis uiuendo denunciet 
grexquipastorisuocẽmores	grex qui pastoris uocẽ mores
qsequiturꝑ	q sequitur ꝑ
exemplameliusquãꝑu͛ba	exempla melius quã ꝑ u͛ba
gradiaturQuienimlocisuinecessitateexigitursummadic̃e	gradiatur Qui enim loci sui necessitate exigitur summa dic̃e
haceademnecessitateconpellitur	hac eadem necessitate conpellitur
summamonstrareIllanamquox	summa monstrare Illa namq uox
faciemruboreuestietautpalloreconfũdet	faciem rubore uestiet aut pallore confũdet
cui᷒labia	cui᷒ labia
contrahenturautsalienttoxicabit᷑linguagenuatrementmanusꝓt̃uiet	contrahentur aut salient toxicabit᷑ lingua genua trement manus ꝓt̃uiet
seip̃mnugis	se ip̃m nugis
nr̃isconuincetobnoxiumInqͥbfuitꝓpositi	nr̃is conuincet obnoxium In qͥb fuit ꝓpositi
semꝑanugisadbonatransire	semꝑ a nugis ad bona transire
seria⁊adidquod	seria ⁊ ad id quod
decetautꝓdestrestituere	decet aut ꝓdest restituere
uitamQͥaut̃iustũrehensionilocũuid̃iteaexcaritate	uitam Qͥ aut̃ iustũ rehensioni locũ uid̃it ea ex caritate
licent̃utat᷑⁊deem̃datione	licent̃ utat᷑ ⁊ de em̃datione
meaacquiratsibi⁊possideatmiumuiteScio	mea acquirat sibi ⁊ possideat mium uite Scio
enĩquiainmultiloquiopecc̃mñdeest	enĩ quia in multiloquio pecc̃m ñ deest
sinuito⁊incaritatedeiexhortorlectorẽqͦ	s inuito ⁊ in caritate dei exhortor lectorẽ qͦ
meimemorinorationibussuisimpetret	mei memor in orationibus suis impetret
utfiliusdeiuiui⁊uirginisintemeratedeushomo	ut filius dei uiui ⁊ uirginis intemerate deus homo
manifestetseipsũ⁊palamfaciat	manifestet se ipsũ ⁊ palam faciat
uiamquanob̃incedendumẽinbñplacitosuo⁊	uiam qua nob̃ incedendum ẽ in bñplacito suo ⁊
dirigatineo	dirigat in eo
gressusnostrosAMeNQueaũLiber	gressus nostros AMeN Que aũ Liber
sc̃emarie	sc̃e marie
pontiniaciFinitolibroreddanturiuramagistroD̃squihodiernãdiẽ	pontiniaci Finito libro reddantur iura magistro D̃s qui hodiernã diẽ
apl̃orumtuorumpetri&paulimartirioconsecrastidaeccl̃ietue	apl̃orum tuorum petri & pauli martirio consecrasti da eccl̃ie tue
eoruminomnibsequipreceptũꝑquosreligionissumpsit	eorum in omnib sequi preceptũ ꝑ quos religionis sumpsit
exordiũꝑsc̃rHostiasdñequas	exordiũ ꝑ sc̃r Hostias dñe quas
nominituosacrandasofferimusapl̃ica	nomini tuo sacrandas offerimus apl̃ica
ꝓsequaturoratio	ꝓsequatur oratio
ꝑquamnosexpiaINCIPIT	ꝑ quam nos expia INCIPIT
PREFACIOMAGISTRIGAUFRIDIMONEMUTENSISIN	PREFACIO MAGISTRI GAUFRIDI MONEMUTENSIS IN
historiaBRITONUM	historia BRITONUM
CUMmecũmulta⁊demultissepius	CUM mecũ multa ⁊ de multis sepius
animoreuoluensinystoriamregũbritannieincidereminmir̃q̃d	animo reuoluens in ystoriam regũ britannie inciderem in mir̃ q̃d
ĩframentionemquamdeeisGildas⁊bedaluculentotͣctu	ĩfra mentionem quam de eis Gildas ⁊ beda luculento tͣctu
fecerantnichilderegibquianteincarnationẽxp̃i	fecerant nichil de regib qui ante incarnationẽ xp̃i
inhabitaũãtnichil⁊̃	inhabitaũãt nichil ⁊̃
dearturocet̃isqcõpl̃ibquip᷒incarnationẽsucceᷤserũt	de arturo cet̃isq cõpl̃ib qui p᷒ incarnationẽ succeᷤserũt
repperissemetgestaeoꝝdignaet̃nitatislaude	repperissem et gesta eoꝝ digna et̃nitatis laude
cõstarent⁊amultis	cõstarent ⁊ a multis
populisqͧasi	populis qͧasi
inscͥptaiocunde⁊memorit̃dicenturtalia	inscͥpta iocunde ⁊ memorit̃ dicentur tali a
mͥ⁊detalibmultocienscogitantioptulitWalterusoxinefordensis	mͥ ⁊ de talib multociens cogitanti optulit Walterus oxinefordensis
archidiacon᷒uirinoratoria	archidiacon᷒ uir in oratoria
arteatqinexoticisystoriiserudit᷒	arte atq in exoticis ystoriis erudit᷒
quendambritaBRitanniainsularumoctdentaliocceano	quendam brita BRitannia insularum oct dentali occeano
int̃gallniãsitadccc	int̃ gall niã sita dccc
miliainlong	milia in long
inlatũcõtinens	in latũ cõtinens
quicquidusuicongruitindeficientteministrat	quicquid usui congruit in deficient te ministrat
Om̃i⁊enĩgeñcãposlatesparsosh̃t	Om̃i ⁊ enĩ geñ cãpos late sparsos h̃t
⁊collpollenti	⁊ coll pollenti
cultureaptosindiũsitateᷤubertateglebetp̃ribniũt	culture aptos in diũsitateᷤ ubertate glebe tp̃rib niũt
h̃t⁊nemorauniũsisgeñibrepleta	h̃t ⁊ nemora uniũsis geñib repleta
⁊quoꝝin	⁊ quoꝝ in
saltͥnandisanimaliũpastib.ueniũt⁊auolantib.apib.ũsoꝝ	saltͥ nandis animaliũ pastib. ueniũt ⁊ a uolantib. apib. ũsoꝝ
coloꝝmelladistͥbuittasubaeriismontib.amenrentia	coloꝝ mella distͥbuit ta sub aeriis montib. amen rentia
inqͥb.fonteslucidiriuoslenimurmuremann᷒	in qͥb. fontes lucidi riuos leni murmure man n᷒
suauissoporisin	suauis soporis in
ripisuenietisrequiemanimabuestrisIugũenĩmeũ	ripis uenietis requiem animab uestris Iugũ enĩ meũ
suaueestetonusmeum	suaue est et onus meum
leueOm̃ips̃sempiternedeusadestomagnepietatistuemisteriisadesto	leue Om̃ips̃ sempiterne deus adesto magne pietatis tue misteriis adesto
sacramentiisetadcreandosnouospopl̃osquostibi	sacramentiis et ad creandos nouos popl̃os quos tibi
fonsbaptismacisparturitsp̃madoptionisemitte	fons baptismacis parturit sp̃m adoptionis emitte
Utquodnostrehumilitatisgenrendumẽmisteriotueuirtutisinpleatur	Ut quod nostre humilitatis genrendum ẽ misterio tue uirtutis inpleatur
effectuperdominũDñsuobiscumEtcũsp̃u	effectu per dominũ Dñs uobiscum Et cũ sp̃u
tuoSursumcordaHabemusaddominũGr̃as	tuo Sursum corda Habemus ad dominũ Gr̃as
agamusdominodeonostro	agamus domino deo nostro
DignũetiustumestprefatioUeredignũ&iustũ	Dignũ et iustum est prefatio Uere dignũ & iustũ
estequũ&salutareNoᷤtibisemꝑ	est equũ & salutare Noᷤ tibi semꝑ
&ubiqgr̃asageredñesc̃epateromnipotenset̃ned̃s	& ubiq gr̃as agere dñe sc̃e pater omnipotens et̃ne d̃s
Quiinuisibilipotentiasasitcarnissubstãtiatestant᷑sepuᷝchra	Qui inuisibili potentia sa sit carnis substãtia testant᷑ sepuᷝchra
Quisparẽtumamicoꝝfideliũꝙͣlib&dilectisuitangerescaturien	Quis parẽtum amicoꝝ fideliũ ꝙͣlib& dilecti sui tangere scaturien
u͛mibcarnẽpotest	u͛mib carnẽ potest
Caroitaqcũc̃cupiscitpset᷑qͥdsitexanimis	Caro itaq cũ c̃cupiscit p set᷑ qͥd sit exanimis
&intelligit᷑qͥdamat᷑Nichilqͥppesadedomãdũ	& intelligit᷑ qͥd amat᷑ Nichil qͥppe s ad edomãdũ
carnaliũdesid̃ioꝝappetitũual&quãuun᷒qͥsqhoc	carnaliũ desid̃ioꝝ appetitũ ual& quã u un᷒qͥsq hoc
q̃duiuũdiligitquale	q̃d uiuũ diligit quale
sitmortuũ	sit mortuũ
pensetConsid̃ata&enĩcorruptionecarnaliciti᷒cognoscit᷑	penset Consid̃ata &enĩ corruptione carnali citi᷒ cognoscit᷑
qͥaillicitecarocõcupiscit᷑tabesdesid̃at᷑Benegͦ	qͥa illicite caro cõcupiscit᷑ tabes desid̃at᷑ Bene gͦ
deluxriosi	de lux riosi
m̃tedr̃ddulcedoilli᷒ũmis;qͥa	m̃te dr̃d dulcedo illi᷒ ũmis ; qͥa
isqͥindesid̃iocarlis	is qͥ in desid̃io car lis
corruptionisexestuatadfetorẽputredinisanhelHecsic̃in	corruptionis exestuat ad fetorẽ putredinis anhel Hec sic̃ in
hui᷒partist̃cieinitioꝓmisissememenisubbreuitate	hui᷒ partis t̃cie initio ꝓmisisse me me ni sub breuitate
tͣnscurriuteaqueinhocoꝑesectur	tͣnscurri ut ea que in hoc oꝑe sec tur
qͥamagnaobscuritateimplicatas̃topitulantd̃olatiusdisseranturExplicit	qͥa magna obscuritate implicata s̃t opitulant d̃o latius disserantur Explicit
libersext᷒deciparsterciLibermontissanctmarie	liber sext᷒ deci pars terci Liber mon tis sanct marie
uermenuelatõemIsqin	uer men uelatõem Isq in
itinerecumꝓph̃am	itinere cum ꝓph̃am
aGabumrepperissetqͣntaseadu͛sitasiniherosolimismaneretaudiuit	aGabum repperisset qͣnta se adu͛sitas in iherosolimis maneret audiuit
Scriptum÷qͥppe	Scriptum ÷ qͥppe
q̃didemaGabuszonampaulisuispedibinserens	q̃d idem aGabus zonam pauli suis pedib inserens
dixitVirumcui᷒heczonaestsicalligabunt	dixit Virum cui᷒ hec zona est sic alligabunt
iniherusalemApauloaut̃	in iherusalem A paulo aut̃
ꝓtinusrespondeturEgonõ	ꝓtinus respondetur Ego nõ
solumalligarisetiammoriin	solum alligari s etiam mori in
ihrl̃mparatussumꝓnoĩeih̃uNeqenimciosioremfatio	ihrl̃m paratus sum ꝓ noĩe ih̃u Neq enim ciosiorem fatio
aĩammeamqͣmmeꝑceptionegͥreuelationis	aĩam meam qͣm me ꝑceptione gͥ reuelationis
iherosolimamꝑgensadũsacognoscittam̃	iherosolimam ꝑgens adũsa cognoscit  tam̃
heclibent̃appetitAuditquetimeatsadhecardentior	hec libent̃ appetit Audit que timeat s ad hec ardentior
anhelatMoysesitaqadꝓsꝑadesuonilhabet	anhelat Moyses itaq ad ꝓsꝑa de suo nil habet
cibrenititurneisr̃liticeplebipreferat᷑Paulusadadũsa	 cib renititur ne isr̃litice plebi preferat᷑ Paulus ad adũsa
etiamexsuouotoduciturmaloꝝ	etiam ex suo uoto ducitur  maloꝝ
imminentiũcognitionẽꝑcipitsdeuotione	imminentiũ cognitionẽ ꝑcipit s deuotione
sp̃setiamadacrioraferuescitIllesentis	sp̃s etiam ad acriora feruescit Ille sentis
potestatisgl̃amdeouoluitiubentedeclinareiste	potestatis gl̃am deo uoluit iubente declinare iste
deoasꝑa	deo asꝑa 
duradisponentesestuduitadgrauiorapararePreeuntegͦutrorumq	dura disponente se studuit ad grauiora parare Preeunte gͦ utrorumq
ducũinfractauirtuteinstituimurutsiobedientiepalmam	ducũ infracta uirtute instituimur ut si obedientie palmam
apprehend̃eueracit̃nitim᷑ꝓsꝑis	apprehend̃e ueracit̃ nitim᷑ ꝓsꝑis
h᷒scl̃iculualatronibuulñataꝑfidẽ	h᷒ scl̃i culu a latronib uulñata ꝑ fidẽ
trinitatxxiiiiinhocdeẜtoreꝑatuR	trinitat xxiiii in hoc deẜto reꝑatuR
Aliusẜmoeod̃dQUihabitat	Alius ẜmo eod̃ d QUi habitat
inadiutorioaltissiminꝓtectiõedeiceli	in adiutorio altissim in ꝓtectiõe dei celi
cõmorabiturInclinauitaltissim᷒	cõmorabiturInclinauit altissim᷒
celosetdescẽdit	celos et descẽdit
etadeodescẽditq̃dinsil̃itudinẽhoĩum	et adeo descẽdit q̃d in sil̃itudinẽ hoĩum
factusẽethabituinuẽtusuth̃oAdeodescẽdit	factus ẽ et habitu inuẽtus ut h̃o Adeo descẽdit
q̃dsubmanuẜuihũiliauitse	q̃d sub manu ẜui hũiliauit se
baptizandũuñetbaptistacõtremuitcũuid̃etsub	baptizandũ uñ et baptista cõtremuit cũ uid̃et sub
manibsuis	manib suis
inclinricaputtrem̃dũregibetpotestatibadrandũAdeohũiliauit	inclinri caput trem̃dũ regib et potestatib adrandũ Adeo hũiliauit
seutcũieiunassetesuriretaususẽadeũ	se ut cũ ieiunass et esuriret ausus ẽ ad eũ
acced̃etẽptatout	acced̃e tẽptatout
eisdẽiacul̃cofod̃etquibpͥmũhoĩemseuiuũetuuln͛atũ	eisdẽ iacul̃ cofod̃et quib pͥmũ hoĩem se uiuũ et uuln͛atũ
reliq̃ratsuictusẽt	reliq̃rat s uictus ẽ t
ptatoretuiciteũaltissim᷒Squoadiutorio	ptator et uicit eũ altissim᷒ S quo adiutorio
ususẽaltissimusuteũuinc͛et	usus ẽ altissimus ut eũ uinc͛et
neususadiutoriopotẽtiesueNequaPossenĩ	ne usus adiutorio potẽtie sue NequaPoss enĩ
statĩꝯtereresathanãsiuellet	statĩ ꝯterere sathanã si uellet
sumemoriammĩeignorat	su memoriam mĩe ignorat
xliiCeperuntaũaqueminuip᷒centũquinqͣginta	xlii Ceperunt aũ aque minui p᷒ centũ quinqͣginta
dies&requieuitarcha	dies & requieuit archa
suꝑmontesarmenieInepl̃aadysatium	suꝑ montes armenie In epl̃a ad ysatium
Seruataũitatehystorieqͥdẽaliudq̃ddiluuiitemporegen᷒	Seruata ũitate hystorie qͥd ẽ aliud q̃d diluuii tempore gen᷒
human᷒extͣarcham	human᷒ extͣ archam
morituraduitãuͦinarchaseruaturnͥhoc	moritur ad uitã uͦ in archa seruatur nͥ hoc
q̃dnc̃aꝑtecernimusquiainfidelesquosqextraeccl̃iam	q̃d nc̃ aꝑte cernimus quia in fideles quosq extra eccl̃iam
undapeccatisuiꝑimit&fidelessuosinfide&	unda peccati sui ꝑimit & fideles suos in fide &
caritatesc̃eeccl̃ieunitasqͣsiarcheconpagocustodit	caritate sc̃e eccl̃ie unitas qͣsi arche conpago custodit
Queuidelicetarchade	Que uidelicet archa de
lignisinputͥbilibcõpingit᷑	lignis inputͥbilib cõpingit᷑ 
defortibanimab&inbonosuoꝑseũantibARchain	de fortib animab & in bono suo ꝑseũantib ARcha in
quahoĩes	qua hoĩes
&reptilia	& reptilia
temporediluscameccl̃iamfigurauiti	tempore dilu scam eccl̃iam figurauit i
&maliꝯueniuntꝑmixtasitatefilioꝝsicom̃s	& mali ꝯueniunt ꝑmixta sitatefilioꝝ  sic om̃s
adfuttñ	ad f ut tñ
om̃sꝑinmutatõemutemspiritalisgr̃eculpisexig	om̃s ꝑ inmutatõem u tem spiritalis gr̃e culpis exig
ducatViamitaqsentisscgim᷒	ducat Viam itaq sentis sc gim᷒
tc̃aũdiscernem᷑cũacnerim᷒Boniuͦsisñ	tc̃ aũ discernem᷑ cũ ac nerim᷒ Boni uͦ si sñ
malisffectebonieẽñposs̃tmirgant᷑	malis f fecte boni eẽ ñ poss̃t  mir gant᷑
Ip̃aaũsocietasmalotio	Ip̃a aũ societas malo tio
ẽbonoꝝTResfilios	ẽ bonoꝝ TRes filios
noe⁊iaphetarchacontinuitsDominicaprima	noe ⁊ iaphet archa continuit s Dominica prima
inaduentudomini	in aduentu domini
capl̃mcuSuper	capl̃m cu Super
montemexcelsumascendequieuuangelizassyonexaltainfortitudine	montem excelsum ascende qui euuangelizas syon ex alta in fortitudine
uocemtuamquieuuangelyzashierusalemexaltanolitimeredic	uocem tuam qui euuangelyzas hierusalem ex alta noli timere dic
ciuitatibiudeeccedeusuesterEccedies	ciuitatib iude ecce deus uester Ecce dies
ueniuntdicitdominuset	ueniunt dicit dominus et
suscitabodauidgermeniustumetregnabitrexetsapienserit	suscitabo dauid germen iustum et regnabit rex et sapiens erit
etfacietiuditium	et faciet iuditium
etiustitiamin	et iustitiam in
terraethecestnomenquoduocabunteum	terra et hec est nomen quod uocabunt eum
dominusiustus	dominus iustus
nosterIndiebusillissaluabituriudaetisrahelhabitabit	noster In diebus illis saluabitur iuda et israhel habitabit
confidentesEthoc	confidentes Et hoc
estnomenymnus	est nomen ymnus
Conditoralmesyderumeternaluxcredentiumxpiste	Conditor alme syderum eterna lux credentium xpiste
redemptoromniumexaudicessupplicum	redemptor omnium exaudi ces supplicum
Quicondolensinteritumortis	Qui condolens interitu mortis
perireseculumsaluastimundum	perire seculum saluasti mundum
languidumdonansreisremediumVergentemundiuespereutisponsus	languidum donans reis remedium Vergente mundi uespere uti sponsus
dethalamoegressushonestissimauirginismatrisclausula	de thalamo egressus honestissima uirginis matris clausula
Cuiusforti	Cuius forti
potentiegenucuruanturomniacelestiaterrestrianutufatentur	potentie genu curuantur omnia celestia terrestria nutu fatentur
subditaOcasumsolcustodiens	subdita Ocasum sol custodiens
lunapalloremretinenscandorinastris	luna pallorem retinens candor in astris
relucenscertosobseruat	relucens certos obseruat
limitesTedeprecamuragyeuentureiudexseculiconseruanosin	limites Te deprecamur agye uenture iudex seculi conserua nos in
temporehostisateloperfidiLaus	tempore hostis a telo perfidi Laus
honoruirtus	honor uirtus
gloriadeopatriet	gloria deo patri et
filiounacumsanctospiritu	filio una cum sancto spiritu
insempiternaseculaamenHorateceli	in sempiterna secula amen Horate celi
desuperetnubespluantiustumaperiaturcertaetgerminet	desuper et nubes pluant iustum aperiatur certa et germinet
saluatoremIneug̃ãEcce	saluatorem In eug̃ ã Ecce
nomendominiuenitdelonIncipittercius	nomen domini uenit de lon Incipit tercius
liberFictilisintereauasisꝯpage	liber Fictilis interea uasis ꝯpage
solutacarc̃ecorporeocognatisreddit᷒astͥs	soluta carc̃e corporeo cognatis reddit᷒ astͥs
Illeolĩquiꝓpteropẽꝯtͣitala	Ille olĩ qui ꝓpter opẽ ꝯtͣ itala
regnaPetrũlegaratadrianusppͣꝑegitextremosin	regna Petrũ legarat adrianus ppͣ ꝑegit extremos in
pacediesm̃itiqꝓbaticlerusapl̃icafecitsede	pace dies m̃itiq ꝓbati clerus apl̃ica fecit sede
leonemcuisiinsublimiꝯstaretadorsiorerũAd	leonem cui si in sublimi ꝯstaret adorsio rerũ Ad
sacrũfueratfacil̃fortunacacumenSnonblanda	sacrũ fuerat facil̃ fortuna cacumen S non blanda
satisnͨadomnẽꝓsꝑacasũSic	satis nͨ ad omnẽ ꝓsꝑa casũ Sic
inmundanisabsqõiturbinerebnͨmeraleticia	in mundanis absq õi turbine reb nͨ mera leticia
ẽnͨletaoĩouoluptasPaxubinl̃la	ẽ nͨ leta oĩo uoluptas Pax ubi nl̃la
rataẽubigl̃ianl̃laquieta⁊nl̃lussecur᷒	rata ẽ ubi gl̃ia nl̃la quieta ⁊ nl̃lus secur᷒
honosexꝑtusinaltohocleoꝯscensuẽquitutior	honos exꝑtus in alto hoc leo ꝯscensu ẽ qui tutior
imatenebatHuncinequocũiãpõpamducendo	ima tenebat Hunc in equo cũ iã põpam ducendo
sed̃etAppetiitmanuũuiolentainiectiotͣctũNequit̃⁊sacrade	sed̃et Appetiit manuũ uiolenta iniectio tͣctũ Nequit̃ ⁊ sacra de
maiestatereuulsũQuẽ	maiestate reuulsũ Quẽ
predefunctipapeexcecare	predefuncti pape excecare
parentesExcitoꝯtraseducteturbineplebissumpserenͨex	parentes Excito ꝯtra seducte turbine plebis sumpsere nͨ ex
ocl̃isablata	ocl̃is ablata
luc̃naẽsc̃issimiꝯf̃dignat᷒ẽ	luc̃na ẽ sc̃issimi ꝯf̃ dignat᷒ ẽ
